,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
1957,BOLIVAR MEDICAL CENTER (250093),2015,Acute Care,Proprietary,199.0,33.747471,-90.708128,MS,,,157.0,13500.0,154.0,14611.0
1958,WESLEY MEDICAL CENTER (250094),2015,Acute Care,Voluntary non-profit - Private,187.0,31.323058,-89.3669,MS,138.0,22479.0,241.0,16311.0,215.0,14677.0
1959,SOUTH SUNFLOWER COUNTY HOSPITAL (250095),2015,Acute Care,Government - Local,48.0,33.457234,-90.65024,MS,,,76.0,15295.0,84.0,14822.0
1960,MERIT HEALTH RANKIN (250096),2015,Acute Care,Proprietary,122.0,32.286214,-90.03596,MS,25.0,20569.0,138.0,14688.0,156.0,14401.0
1961,SOUTHWEST MS REGIONAL MEDICAL CENTER (250097),2015,Acute Care,Government - Local,148.0,,,MS,135.0,19752.0,199.0,14299.0,251.0,13825.0
1962,GREENWOOD LEFLORE HOSPITAL (250099),2015,Acute Care,Government - Local,207.0,33.518254,-90.200189,MS,119.0,20474.0,197.0,14076.0,144.0,13510.0
1963,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC (250100),2015,Acute Care,Voluntary non-profit - Private,272.0,33.526488,-88.429071,MS,136.0,22010.0,213.0,14992.0,320.0,14733.0
1964,MISSISSIPPI BAPTIST MEDICAL CENTER (250102),2015,Acute Care,Voluntary non-profit - Private,527.0,32.314278,-90.178228,MS,310.0,20432.0,638.0,14927.0,854.0,14271.0
1965,ANDERSON REGIONAL MEDICAL CTR (250104),2015,Acute Care,Voluntary non-profit - Private,261.0,32.370775,-88.699858,MS,291.0,19830.0,491.0,15372.0,613.0,14466.0
1966,HIGHLAND COMMUNITY  HOSPITAL (250117),2015,Acute Care,Government - Hospital District or Authority,54.0,30.552471,-89.665422,MS,,,83.0,15729.0,189.0,14432.0
1967,NATCHEZ COMMUNITY HOSPITAL (250122),2015,Acute Care,Proprietary,101.0,,,MS,32.0,21441.0,179.0,14652.0,188.0,16139.0
1968,GARDEN PARK MEDICAL CENTER (250123),2015,Acute Care,Proprietary,129.0,30.44201,-89.092766,MS,25.0,21515.0,130.0,14159.0,106.0,14509.0
1969,MAGEE GENERAL HOSPITAL (250124),2015,Acute Care,Voluntary non-profit - Private,50.0,31.870585,-89.728389,MS,,,84.0,15177.0,273.0,12480.0
1970,NORTH OAK REGIONAL MEDICAL CENTER (250126),2015,Acute Care,Proprietary,41.0,,,MS,,,37.0,14516.0,90.0,13035.0
1971,TRI LAKES MEDICAL CENTER (250128),2015,Acute Care,Proprietary,98.0,34.306319,-89.916488,MS,,,70.0,13893.0,106.0,13842.0
1972,MERIT HEALTH RIVER OAKS (250138),2015,Acute Care,Proprietary,158.0,32.32614,-90.106447,MS,,,51.0,15949.0,100.0,14753.0
1973,BAPTIST MEMORIAL HOSPITAL DESOTO (250141),2015,Acute Care,Voluntary non-profit - Private,336.0,34.968348,-89.995535,MS,431.0,24025.0,713.0,16288.0,564.0,14974.0
1974,HANCOCK MEDICAL CENTER (250162),2015,Acute Care,Government - Local,68.0,30.31304,-89.355657,MS,33.0,22123.0,86.0,16450.0,136.0,13774.0
1975,LACKEY MEMORIAL HOSPITAL (251300),2015,Critical Access,Voluntary non-profit - Private,94.0,32.365907,-89.470963,MS,,,52.0,14694.0,107.0,12785.0
1976,TALLAHATCHIE CRITICAL ACCESS HOSPITAL (251304),2015,Critical Access,Government - Local,11.0,34.005079,-90.058165,MS,,,,,61.0,16255.0
1977,LAWRENCE COUNTY HOSPITAL CAH (251305),2015,Critical Access,Government - Local,25.0,31.553419,-90.100262,MS,,,,,72.0,16329.0
1978,PERRY COUNTY GENERAL HOSP (251306),2015,Critical Access,Proprietary,22.0,31.347031,-88.937392,MS,,,,,49.0,16314.0
1979,PONTOTOC HEALTH SERVICE CAH (251308),2015,Critical Access,Voluntary non-profit - Private,25.0,34.242827,-88.9968,MS,,,33.0,14323.0,81.0,13368.0
1980,FIELD MEMORIAL COMMUNITY HOSPITAL (251309),2015,Critical Access,Government - Local,20.0,,,MS,,,35.0,14701.0,58.0,14248.0
1981,TYLER HOLMES MEMORIAL HOSPITAL CAH (251312),2015,Critical Access,Voluntary non-profit - Private,25.0,33.490652,-89.737748,MS,,,54.0,16131.0,80.0,14655.0
1982,KING'S DAUGHTERS HOSPITAL (251313),2015,Critical Access,Voluntary non-profit - Private,27.0,32.85873,-90.403321,MS,,,72.0,16149.0,88.0,15428.0
1983,BAPTIST MEDICAL CENTER-LEAKE (251315),2015,Critical Access,Voluntary non-profit - Private,43.0,32.738533,-89.51641,MS,,,70.0,13977.0,123.0,11620.0
1984,H C WATKINS MEMORIAL HOSPITAL INC (251316),2015,Critical Access,Voluntary non-profit - Other,25.0,32.031259,-88.727955,MS,,,,,68.0,16826.0
1985,SIMPSON GENERAL HOSPITAL CAH (251317),2015,Critical Access,Voluntary non-profit - Private,35.0,31.968094,-89.886996,MS,,,,,42.0,14943.0
1986,NORTH SUNFLOWER MEDICAL CENTER CAH (251318),2015,Critical Access,Government - Local,70.0,33.734839,-90.546823,MS,,,73.0,18283.0,106.0,20633.0
1987,CLAIBORNE COUNTY HOSPITAL (251320),2015,Critical Access,Government - Local,32.0,31.945992,-90.985395,MS,,,28.0,15435.0,45.0,15272.0
1988,LAIRD HOSPITAL INC (251322),2015,Critical Access,Voluntary non-profit - Private,25.0,32.559207,-89.102561,MS,,,,,87.0,13661.0
1989,SCOTT REGIONAL HOSPITAL CAH (251323),2015,Critical Access,Voluntary non-profit - Private,25.0,32.344625,-89.671295,MS,,,43.0,13519.0,59.0,15066.0
1990,WALTHALL COUNTY GENERAL HOSPITAL CAH (251324),2015,Critical Access,Government - Local,25.0,31.119583,-90.155618,MS,,,42.0,15699.0,45.0,13681.0
1991,COVINGTON COUNTY HOSPITAL CAH (251325),2015,Critical Access,Government - Local,30.0,31.638236,-89.554424,MS,,,30.0,14226.0,77.0,14708.0
1992,JEFFERSON DAVIS COMMUNITY HOSPITAL CAH (251326),2015,Critical Access,Government - Local,89.0,31.593991,-89.872381,MS,,,26.0,15777.0,43.0,14698.0
1993,FRANKLIN COUNTY MEMORIAL HOSPITAL (251330),2015,Critical Access,Voluntary non-profit - Other,28.0,31.473248,-90.884924,MS,,,,,66.0,20050.0
1994,CALHOUN HEALTH SERVICES (251331),2015,Critical Access,Government - Local,56.0,33.869665,-89.317176,MS,,,25.0,14751.0,58.0,12599.0
1995,CHOCTAW REGIONAL MEDICAL CENTER (251334),2015,Critical Access,Government - Local,52.0,33.318465,-89.182304,MS,,,,,28.0,13577.0
1996,MONTFORT JONES MEMORIAL HOSPITAL (251336),2015,Critical Access,Voluntary non-profit - Other,25.0,33.065592,-89.596721,MS,,,84.0,14000.0,182.0,11506.0
1997,MERCY HOSPITAL JOPLIN (260001),2015,Acute Care,Voluntary non-profit - Church,222.0,37.034697,-94.511799,MO,145.0,24977.0,224.0,16140.0,374.0,15924.0
1998,COOPER COUNTY MEMORIAL HOSPITAL (260004),2015,Acute Care,Voluntary non-profit - Other,65.0,38.943533,-92.742075,MO,,,31.0,13138.0,64.0,12277.0
1999,SSM ST JOSEPH HEALTH CENTER (260005),2015,Acute Care,Voluntary non-profit - Private,394.0,38.780377,-90.484508,MO,170.0,22958.0,300.0,16329.0,365.0,15518.0
2000,HEARTLAND REGIONAL MEDICAL CENTER (260006),2015,Acute Care,Voluntary non-profit - Private,352.0,39.770201,-94.770247,MO,441.0,21604.0,602.0,15355.0,742.0,14069.0
2001,BOTHWELL REGIONAL HEALTH CENTER (260009),2015,Acute Care,Government - Local,127.0,38.699051,-93.222089,MO,117.0,22418.0,244.0,12824.0,388.0,12136.0
2002,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY (260011),2015,Acute Care,Proprietary,167.0,38.560142,-92.220285,MO,130.0,20462.0,337.0,14751.0,343.0,14087.0
2003,TWIN RIVERS REGIONAL MEDICAL CENTER (260015),2015,Acute Care,Proprietary,116.0,,,MO,,,84.0,15856.0,180.0,14521.0
2004,PHELPS COUNTY REGIONAL MEDICAL CENTER (260017),2015,Acute Care,Government - Local,242.0,37.951442,-91.784993,MO,123.0,22189.0,224.0,17234.0,326.0,14632.0
2005,MERCY HOSPITAL ST LOUIS (260020),2015,Acute Care,Voluntary non-profit - Private,902.0,,,MO,255.0,23593.0,708.0,15744.0,601.0,15363.0
2006,NORTHEAST REGIONAL MEDICAL CENTER (260022),2015,Acute Care,Proprietary,83.0,40.192523,-92.590849,MO,38.0,19072.0,116.0,14960.0,74.0,13591.0
2007,MERCY HOSPITAL JEFFERSON (260023),2015,Acute Care,Voluntary non-profit - Private,303.0,38.195962,-90.395423,MO,288.0,24150.0,450.0,17660.0,401.0,15449.0
2008,TEXAS COUNTY MEMORIAL HOSPITAL (260024),2015,Acute Care,Voluntary non-profit - Other,47.0,37.315756,-91.959559,MO,,,59.0,14489.0,177.0,12377.0
2009,HANNIBAL REGIONAL HOSPITAL (260025),2015,Acute Care,Voluntary non-profit - Private,98.0,39.710595,-91.443967,MO,128.0,20822.0,303.0,14346.0,337.0,13875.0
2010,RESEARCH MEDICAL CENTER (260027),2015,Acute Care,Proprietary,430.0,39.007169,-94.558731,MO,114.0,21951.0,216.0,15010.0,166.0,14518.0
2011,BARNES JEWISH HOSPITAL (260032),2015,Acute Care,Voluntary non-profit - Other,1334.0,,,MO,466.0,23596.0,868.0,15888.0,442.0,15854.0
2012,BATES COUNTY MEMORIAL HOSPITAL (260034),2015,Acute Care,Government - Local,45.0,38.249611,-94.343391,MO,,,59.0,15760.0,144.0,14114.0
2013,COX MEDICAL CENTERS (260040),2015,Acute Care,Voluntary non-profit - Private,713.0,37.144966,-93.27808,MO,478.0,19293.0,731.0,15654.0,,14513.0
2014,CAPITAL REGION MEDICAL CENTER (260047),2015,Acute Care,Voluntary non-profit - Private,114.0,38.567018,-92.181588,MO,168.0,20647.0,322.0,14541.0,367.0,13878.0
2015,TRUMAN MEDICAL CENTER HOSPITAL HILL (260048),2015,Acute Care,Voluntary non-profit - Private,241.0,39.084815,-94.575799,MO,28.0,20595.0,71.0,13099.0,36.0,12956.0
2016,ST FRANCIS HOSPITAL & HEALTH SERVICES (260050),2015,Acute Care,Voluntary non-profit - Church,55.0,40.326053,-94.874038,MO,,,51.0,13787.0,94.0,14745.0
2017,MERCY HOSPITAL WASHINGTON (260052),2015,Acute Care,Voluntary non-profit - Private,160.0,38.5522,-91.002023,MO,127.0,22772.0,239.0,15977.0,246.0,15419.0
2018,CAMERON REGIONAL MEDICAL CENTER (260057),2015,Acute Care,Voluntary non-profit - Private,54.0,39.731504,-94.218308,MO,,,92.0,14715.0,189.0,12567.0
2019,MERCY HOSPITAL LEBANON (260059),2015,Acute Care,Voluntary non-profit - Church,49.0,37.681437,-92.635875,MO,,,104.0,13063.0,133.0,13020.0
2020,NEVADA REGIONAL MEDICAL CENTER (260061),2015,Acute Care,Government - Local,70.0,37.830534,-94.359703,MO,,,60.0,13431.0,64.0,13451.0
2021,SAINT LUKES NORTHLAND HOSPITAL (260062),2015,Acute Care,Voluntary non-profit - Private,133.0,39.246883,-94.647898,MO,93.0,19909.0,216.0,15153.0,153.0,13785.0
2022,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN (260064),2015,Acute Care,Voluntary non-profit - Private,56.0,39.172921,-91.877238,MO,63.0,21118.0,218.0,14972.0,215.0,14456.0
2023,MERCY HOSPITAL SPRINGFIELD (260065),2015,Acute Care,Voluntary non-profit - Church,690.0,37.177969,-93.275276,MO,609.0,23345.0,834.0,15637.0,737.0,14939.0
2024,BOONE HOSPITAL CENTER (260068),2015,Acute Care,Voluntary non-profit - Other,328.0,38.950669,-92.317039,MO,409.0,21937.0,693.0,15969.0,578.0,13979.0
2025,PEMISCOT COUNTY MEMORIAL HOSPITAL (260070),2015,Acute Care,Government - Hospital District or Authority,198.0,36.236855,-89.739975,MO,,,111.0,13302.0,42.0,12085.0
2026,MOBERLY REGIONAL MEDICAL CENTER (260074),2015,Acute Care,Proprietary,75.0,39.423879,-92.414216,MO,61.0,22197.0,116.0,15549.0,120.0,13921.0
2027,ST ANTHONY'S MEDICAL CENTER (260077),2015,Acute Care,Voluntary non-profit - Private,746.0,38.509739,-90.37775,MO,338.0,22832.0,912.0,17312.0,907.0,15911.0
2028,OZARKS MEDICAL CENTER (260078),2015,Acute Care,Voluntary non-profit - Other,104.0,36.737992,-91.875552,MO,170.0,18328.0,179.0,14865.0,259.0,14121.0
2029,SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY (260080),2015,Acute Care,Voluntary non-profit - Private,22.0,,,MO,,,,,99.0,14673.0
2030,SSM ST CLARE HEALTH CENTER (260081),2015,Acute Care,Voluntary non-profit - Private,180.0,38.529043,-90.473625,MO,224.0,22418.0,339.0,15989.0,275.0,15548.0
2031,ST JOSEPH MEDICAL CENTER (260085),2015,Acute Care,Voluntary non-profit - Private,183.0,38.934471,-94.605342,MO,256.0,21965.0,379.0,16105.0,529.0,15725.0
2032,SSM ST MARYS HEALTH CENTER (260091),2015,Acute Care,Voluntary non-profit - Private,609.0,38.633943,-90.310138,MO,188.0,23544.0,447.0,15518.0,255.0,14943.0
2033,COX MEDICAL CENTER BRANSON (260094),2015,Acute Care,Voluntary non-profit - Private,139.0,36.650541,-93.220376,MO,155.0,19010.0,253.0,15930.0,218.0,12732.0
2034,CENTERPOINT MEDICAL CENTER (260095),2015,Acute Care,Voluntary non-profit - Private,246.0,39.047771,-94.349313,MO,221.0,20816.0,372.0,14517.0,364.0,14718.0
2035,NORTH KANSAS CITY HOSPITAL (260096),2015,Acute Care,Government - Local,417.0,39.15081,-94.551852,MO,290.0,22570.0,684.0,15782.0,651.0,15591.0
2036,WESTERN MISSOURI MEDICAL CENTER (260097),2015,Acute Care,Government - Hospital District or Authority,64.0,38.766474,-93.723701,MO,,,91.0,13835.0,171.0,13518.0
2037,TRUMAN MEDICAL CENTER LAKEWOOD (260102),2015,Acute Care,Voluntary non-profit - Private,305.0,38.973583,-94.390407,MO,,,,,26.0,14603.0
2038,SSM DEPAUL HEALTH CENTER (260104),2015,Acute Care,Voluntary non-profit - Private,490.0,38.748965,-90.432379,MO,251.0,23220.0,480.0,17595.0,244.0,17120.0
2039,ST LOUIS UNIVERSITY HOSPITAL (260105),2015,Acute Care,Proprietary,316.0,38.622459,-90.239052,MO,63.0,21321.0,126.0,13757.0,114.0,14709.0
2040,MISSOURI BAPTIST MEDICAL CENTER (260108),2015,Acute Care,Voluntary non-profit - Private,433.0,38.635532,-90.443636,MO,578.0,22868.0,,16673.0,910.0,14501.0
2041,SOUTHEASTHEALTH (260110),2015,Acute Care,Voluntary non-profit - Private,224.0,37.311273,-89.540936,MO,219.0,22271.0,335.0,15385.0,438.0,15371.0
2042,MISSOURI DELTA MEDICAL CENTER (260113),2015,Acute Care,Voluntary non-profit - Other,147.0,36.889048,-89.584346,MO,37.0,21404.0,244.0,14418.0,276.0,14852.0
2043,MINERAL AREA REGIONAL MEDICAL CENTER (260116),2015,Acute Care,Proprietary,96.0,,,MO,,,92.0,14268.0,128.0,13931.0
2044,POPLAR BLUFF REGIONAL MEDICAL CENTER (260119),2015,Acute Care,Proprietary,287.0,36.788987,-90.443287,MO,168.0,25679.0,428.0,14477.0,417.0,13053.0
2045,FREEMAN HEALTH SYSTEM - FREEMAN WEST (260137),2015,Acute Care,Voluntary non-profit - Other,393.0,37.054408,-94.526884,MO,476.0,21996.0,376.0,14740.0,570.0,13898.0
2046,ST LUKES HOSPITAL OF KANSAS CITY (260138),2015,Acute Care,Government - Hospital District or Authority,470.0,39.046134,-94.59015,MO,313.0,23859.0,583.0,16724.0,335.0,15475.0
2047,UNIVERSITY OF MISSOURI HEALTH CARE (260141),2015,Acute Care,Government - State,529.0,,,MO,188.0,22895.0,219.0,15558.0,179.0,15371.0
2048,FITZGIBBON HOSPITAL (260142),2015,Acute Care,Voluntary non-profit - Private,51.0,,,MO,,,102.0,13792.0,174.0,12392.0
2049,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY (260160),2015,Acute Care,Proprietary,47.0,36.807432,-89.969973,MO,,,93.0,14613.0,178.0,13749.0
2050,BARNES-JEWISH WEST COUNTY HOSPITAL (260162),2015,Acute Care,Voluntary non-profit - Private,75.0,38.676997,-90.466227,MO,,,59.0,13097.0,71.0,13325.0
2051,PARKLAND HEALTH CENTER (260163),2015,Acute Care,Voluntary non-profit - Private,105.0,37.780624,-90.438195,MO,40.0,21461.0,206.0,14611.0,235.0,13854.0
2052,GOLDEN VALLEY MEMORIAL HOSPITAL (260175),2015,Acute Care,Government - Hospital District or Authority,49.0,38.391389,-93.770506,MO,,,159.0,14479.0,177.0,12081.0
2053,DES PERES HOSPITAL (260176),2015,Acute Care,Proprietary,109.0,38.581081,-90.450408,MO,118.0,25037.0,137.0,15764.0,202.0,15342.0
2054,LIBERTY HOSPITAL (260177),2015,Acute Care,Government - Hospital District or Authority,215.0,39.276757,-94.424343,MO,194.0,21810.0,328.0,15203.0,481.0,13280.0
2055,ST LUKES HOSPITAL (260179),2015,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,424.0,24358.0,747.0,16947.0,868.0,16400.0
2056,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST (260180),2015,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,258.0,24944.0,550.0,17098.0,284.0,16198.0
2057,SAINT FRANCIS MEDICAL CENTER (260183),2015,Acute Care,Voluntary non-profit - Church,290.0,,,MO,243.0,24574.0,493.0,15097.0,615.0,13590.0
2058,LAKE REGIONAL HEALTH SYSTEM (260186),2015,Acute Care,Voluntary non-profit - Other,116.0,38.118486,-92.681085,MO,274.0,22125.0,250.0,15712.0,343.0,12747.0
2059,LEE'S SUMMIT MEDICAL CENTER (260190),2015,Acute Care,Proprietary,71.0,38.902285,-94.332151,MO,62.0,22269.0,113.0,16270.0,89.0,14269.0
2060,BARNES-JEWISH ST PETERS HOSPITAL (260191),2015,Acute Care,Voluntary non-profit - Other,115.0,38.792719,-90.579377,MO,94.0,23702.0,259.0,15537.0,239.0,14492.0
2061,ST MARY'S MEDICAL CENTER (260193),2015,Acute Care,Voluntary non-profit - Church,98.0,39.023528,-94.266042,MO,102.0,19184.0,117.0,14126.0,212.0,14640.0
2062,CITIZENS MEMORIAL HOSPITAL (260195),2015,Acute Care,Government - Hospital District or Authority,70.0,37.625971,-93.420915,MO,62.0,20078.0,69.0,15717.0,130.0,13657.0
2063,SSM ST JOSEPH HOSPITAL WEST (260200),2015,Acute Care,Voluntary non-profit - Church,157.0,38.803742,-90.774423,MO,194.0,22888.0,342.0,15890.0,245.0,14611.0
2064,OZARKS COMMUNITY HOSPITAL (260207),2015,Acute Care,Proprietary,31.0,,,MO,,,,,87.0,15998.0
2065,CALLAWAY COMMUNITY HOSPITAL (260209),2015,Acute Care,Voluntary non-profit - Private,35.0,38.842247,-91.966202,MO,,,,,47.0,14813.0
2066,ST ALEXIUS HOSPITAL (260210),2015,Acute Care,Proprietary,172.0,38.583359,-90.227557,MO,,,46.0,16870.0,135.0,15104.0
2067,BELTON REGIONAL MEDICAL CENTER (260214),2015,Acute Care,Voluntary non-profit - Private,71.0,,,MO,,,61.0,15176.0,59.0,13927.0
2068,SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL (260216),2015,Acute Care,Voluntary non-profit - Private,168.0,38.940551,-94.378443,MO,170.0,21959.0,416.0,14882.0,355.0,13490.0
2069,PROGRESS WEST HOSPITAL (260219),2015,Acute Care,Voluntary non-profit - Private,71.0,38.715097,-90.696597,MO,55.0,21647.0,79.0,15306.0,127.0,15609.0
2070,MERCY MCCUNE BROOKS HOSPITAL (260228),2015,Acute Care,Voluntary non-profit - Church,26.0,,,MO,,,26.0,13609.0,52.0,13716.0
2071,PUTNAM COUNTY MEMORIAL HOSPITAL (261305),2015,Critical Access,Voluntary non-profit - Other,18.0,40.482025,-93.005987,MO,,,,,47.0,13612.0
2072,SULLIVAN COUNTY MEMORIAL HOSPITAL (261306),2015,Critical Access,Government - Local,24.0,40.202174,-93.131136,MO,,,,,47.0,15782.0
2073,WASHINGTON COUNTY MEMORIAL HOSPITAL (261308),2015,Critical Access,Government - Local,25.0,37.92599,-90.773133,MO,,,80.0,16992.0,104.0,14667.0
2074,WRIGHT MEMORIAL HOSPITAL (261309),2015,Critical Access,Voluntary non-profit - Private,21.0,40.068275,-93.579936,MO,,,67.0,14353.0,92.0,13341.0
2075,SCOTLAND COUNTY  HOSPITAL (261310),2015,Critical Access,Government - Hospital District or Authority,25.0,40.466023,-92.168171,MO,,,32.0,19946.0,78.0,16266.0
2076,PERRY COUNTY MEMORIAL HOSPITAL (261311),2015,Critical Access,Government - Local,25.0,37.73162,-89.864801,MO,,,36.0,14624.0,168.0,16466.0
2077,HARRISON COUNTY COMMUNITY HOSPITAL (261312),2015,Critical Access,Government - Hospital District or Authority,15.0,40.265292,-94.026145,MO,,,33.0,15090.0,63.0,16530.0
2078,MERCY HOSPITAL AURORA (261316),2015,Critical Access,Voluntary non-profit - Church,24.0,36.97051,-93.710962,MO,,,28.0,15389.0,80.0,15182.0
2079,MERCY HOSPITAL CASSVILLE (261317),2015,Critical Access,Voluntary non-profit - Church,20.0,36.674077,-93.871886,MO,,,,,46.0,14898.0
2080,MERCY HOSPITAL LINCOLN (261319),2015,Critical Access,Government - Local,25.0,38.983989,-90.964767,MO,,,41.0,18018.0,78.0,18045.0
2081,LAFAYETTE REGIONAL HEALTH CENTER (261320),2015,Critical Access,Proprietary,25.0,39.189146,-93.877065,MO,,,29.0,13782.0,49.0,12992.0
2082,HEDRICK MEDICAL CENTER (261321),2015,Critical Access,Voluntary non-profit - Private,24.0,39.816125,-93.552781,MO,,,36.0,14961.0,136.0,13490.0
2083,CASS REGIONAL MEDICAL CENTER (261324),2015,Critical Access,Government - Local,35.0,38.663345,-94.375321,MO,,,87.0,13141.0,109.0,12857.0
2084,BARTON COUNTY MEMORIAL HOSPITAL (261325),2015,Critical Access,Government - Local,25.0,37.505282,-94.299482,MO,,,54.0,14200.0,169.0,16141.0
2085,NORTHWEST MEDICAL CENTER (261328),2015,Critical Access,Voluntary non-profit - Private,25.0,40.252124,-94.325476,MO,,,38.0,16007.0,72.0,14068.0
2086,COX MONETT HOSPITAL (261329),2015,Critical Access,Voluntary non-profit - Private,23.0,36.926633,-93.93125,MO,,,,,64.0,14718.0
2087,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL (261330),2015,Critical Access,Government - Hospital District or Authority,25.0,37.968347,-90.053968,MO,,,70.0,15390.0,93.0,14865.0
2088,FREEMAN NEOSHO HOSPITAL (261331),2015,Critical Access,Voluntary non-profit - Private,25.0,36.867614,-94.368787,MO,,,76.0,15122.0,204.0,15392.0
2089,CARROLL COUNTY MEMORIAL HOSPITAL (261332),2015,Critical Access,Voluntary non-profit - Private,22.0,39.376161,-93.494218,MO,,,27.0,15464.0,51.0,13247.0
2090,PIKE COUNTY MEMORIAL HOSPITAL (261333),2015,Critical Access,Government - Local,25.0,39.441679,-91.065383,MO,,,71.0,14618.0,104.0,14268.0
2091,MERCY ST FRANCIS HOSPITAL (261335),2015,Critical Access,Voluntary non-profit - Private,24.0,,,MO,,,36.0,16410.0,126.0,16108.0
2092,MISSOURI BAPTIST SULLIVAN HOSPITAL (261337),2015,Critical Access,Voluntary non-profit - Private,35.0,38.195574,-91.169288,MO,,,50.0,15089.0,50.0,13500.0
2093,ST PETER'S HOSPITAL (270003),2015,Acute Care,Voluntary non-profit - Private,125.0,,,MT,96.0,19727.0,149.0,14069.0,254.0,13530.0
2094,BILLINGS CLINIC HOSPITAL (270004),2015,Acute Care,Voluntary non-profit - Private,288.0,45.790452,-108.51415,MT,304.0,22067.0,327.0,15060.0,318.0,13635.0
2095,BENEFIS HOSPITALS INC (270012),2015,Acute Care,Voluntary non-profit - Private,488.0,47.491848,-111.262615,MT,193.0,21332.0,250.0,13149.0,345.0,13755.0
2096,ST PATRICK HOSPITAL (270014),2015,Acute Care,Voluntary non-profit - Church,200.0,46.873905,-113.999891,MT,249.0,21622.0,289.0,15215.0,258.0,13603.0
2097,ST JAMES HEALTHCARE (270017),2015,Acute Care,Voluntary non-profit - Private,73.0,46.00928,-112.546068,MT,74.0,20752.0,138.0,15221.0,141.0,13574.0
2098,COMMUNITY MEDICAL CENTER (270023),2015,Acute Care,Voluntary non-profit - Private,145.0,46.842062,-114.055919,MT,33.0,20081.0,76.0,14777.0,87.0,13494.0
2099,NORTHERN MONTANA HOSPITAL (270032),2015,Acute Care,Voluntary non-profit - Private,198.0,48.539326,-109.686363,MT,,,38.0,12751.0,94.0,11184.0
2100,ST VINCENT HEALTHCARE (270049),2015,Acute Care,Voluntary non-profit - Church,248.0,45.793166,-108.520281,MT,241.0,21434.0,299.0,13923.0,374.0,12739.0
2101,KALISPELL REGIONAL MEDICAL CENTER (270051),2015,Acute Care,Voluntary non-profit - Private,292.0,48.215685,-114.324753,MT,169.0,19674.0,178.0,16153.0,262.0,12854.0
2102,BOZEMAN DEACONESS HOSPITAL (270057),2015,Acute Care,Voluntary non-profit - Private,89.0,45.670278,-111.017239,MT,91.0,22905.0,131.0,12797.0,188.0,12571.0
2103,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET (270074),2015,Acute Care,Government - Federal,26.0,,,MT,,,,,44.0,10100.0
2104,LIVINGSTON HEALTHCARE (271317),2015,Critical Access,Voluntary non-profit - Private,24.0,45.676043,-110.525425,MT,,,43.0,12150.0,54.0,12435.0
2105,BARRETT MEMORIAL HOSPITAL (271318),2015,Critical Access,Government - Hospital District or Authority,20.0,45.200654,-112.646003,MT,,,33.0,13382.0,64.0,13396.0
2106,ST LUKE COMMUNITY HOSPITAL (271325),2015,Critical Access,Voluntary non-profit - Private,100.0,47.528835,-114.106242,MT,,,38.0,14252.0,80.0,11970.0
2107,GLENDIVE MEDICAL CENTER (271332),2015,Critical Access,Voluntary non-profit - Other,85.0,47.117226,-104.704953,MT,,,,,57.0,13381.0
2108,COMMUNITY HOSPITAL OF ANACONDA (271335),2015,Critical Access,Voluntary non-profit - Private,87.0,46.133111,-112.956153,MT,,,30.0,15726.0,46.0,12694.0
2109,NORTH VALLEY HOSPITAL (271336),2015,Critical Access,Voluntary non-profit - Private,25.0,48.381032,-114.331326,MT,,,,,63.0,13386.0
2110,NORTHERN ROCKIES MEDICAL CENTER (271337),2015,Critical Access,Voluntary non-profit - Private,20.0,48.62878,-112.326345,MT,,,,,30.0,14332.0
2111,MARCUS DALY MEMORIAL HOSPITAL - CAH (271340),2015,Critical Access,Voluntary non-profit - Private,30.0,46.247158,-114.171365,MT,,,79.0,13248.0,105.0,13575.0
2112,PROVIDENCE ST JOSEPH MEDICAL CENTER (271343),2015,Critical Access,Voluntary non-profit - Private,22.0,47.683344,-114.163327,MT,,,31.0,13315.0,,
2113,SIDNEY HEALTH CENTER (271344),2015,Critical Access,Voluntary non-profit - Private,115.0,47.715839,-104.174171,MT,,,45.0,15271.0,66.0,13538.0
2114,CENTRAL MONTANA MEDICAL CENTER (271345),2015,Critical Access,Voluntary non-profit - Private,60.0,47.058464,-109.442243,MT,,,54.0,12531.0,95.0,12436.0
2115,ROUNDUP MEMORIAL HEALTHCARE (271346),2015,Critical Access,Government - Hospital District or Authority,25.0,46.45335,-108.546333,MT,,,,,28.0,15395.0
