,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
1730,GOOD SAMARITAN MEDICAL CENTER (220111),2020,Acute Care,Proprietary,253.0,42.09707,-71.065645,MA,11.3,,6.9,11.6,10.8,13.8
1731,TUFTS MEDICAL CENTER (220116),2020,Acute Care,Voluntary non-profit - Private,388.0,42.349486,-71.063693,MA,13.5,2.3,8.2,14.5,8.7,14.5
1732,FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S (220119),2020,Acute Care,Voluntary non-profit - Private,158.0,42.300886,-71.127203,MA,11.7,,7.4,12.2,8.7,9.8
1733,NORWOOD HOSPITAL (220126),2020,Acute Care,Proprietary,233.0,42.189462,-71.20264,MA,11.6,,8.5,11.5,10.3,15.9
1734,FALMOUTH HOSPITAL (220135),2020,Acute Care,Voluntary non-profit - Private,92.0,41.564962,-70.621126,MA,11.2,,7.6,11.4,10.1,13.7
1735,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS (220163),2020,Acute Care,Voluntary non-profit - Private,652.0,42.27851,-71.759079,MA,12.1,1.9,8.1,15.1,10.0,13.6
1736,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON (220171)",2020,Acute Care,Voluntary non-profit - Private,344.0,42.486578,-71.20563,MA,11.5,2.1,6.2,13.1,8.4,12.5
1737,METROWEST MEDICAL CENTER (220175),2020,Acute Care,Voluntary non-profit - Private,285.0,42.28427,-71.419754,MA,12.9,,8.6,15.8,11.0,14.5
1738,ST VINCENT HOSPITAL (220176),2020,Acute Care,Proprietary,274.0,42.265971,-71.79549,MA,12.7,3.9,7.4,12.6,11.0,18.2
1739,NANTUCKET COTTAGE HOSPITAL (220177),2020,Acute Care,Voluntary non-profit - Private,17.0,41.275542,-70.100261,MA,,,,,13.7,15.0
1740,MARTHA'S VINEYARD HOSPITAL INC (221300),2020,Critical Access,Voluntary non-profit - Private,24.0,,,MA,,,7.7,,11.5,12.7
1741,FAIRVIEW HOSPITAL (221302),2020,Critical Access,Voluntary non-profit - Private,24.0,42.191982,-73.372523,MA,,,10.1,,10.2,13.3
1742,ATHOL MEMORIAL HOSPITAL (221303),2020,Critical Access,Voluntary non-profit - Private,24.0,42.586273,-72.208748,MA,,,8.0,,12.5,16.2
1743,ST JOE MERCY HOSPITAL SYSTEM LIVONIA (230002),2020,Acute Care,Voluntary non-profit - Private,301.0,42.39657,-83.404577,MI,10.9,,8.5,15.5,11.0,14.0
1744,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL (230003),2020,Acute Care,Voluntary non-profit - Private,57.0,42.819539,-85.988129,MI,,,7.6,,9.6,14.4
1745,EMMA L BIXBY MEDICAL CENTER (230005),2020,Acute Care,Voluntary non-profit - Private,80.0,41.912713,-84.049555,MI,12.6,,7.5,12.7,9.8,15.6
1746,THREE RIVERS HEALTH (230015),2020,Acute Care,Government - Hospital District or Authority,60.0,41.934946,-85.647048,MI,,,8.0,,11.2,16.5
1747,BRONSON METHODIST HOSPITAL (230017),2020,Acute Care,Voluntary non-profit - Private,407.0,42.286165,-85.581333,MI,12.2,2.7,7.5,12.4,13.9,16.5
1748,"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI (230019)",2020,Acute Care,Voluntary non-profit - Church,584.0,42.459196,-83.205163,MI,12.2,3.2,6.7,10.7,8.9,14.9
1749,BEAUMONT HOSPITAL - DEARBORN (230020),2020,Acute Care,Voluntary non-profit - Private,595.0,42.291912,-83.211951,MI,12.4,2.0,8.2,12.0,7.8,14.0
1750,"LAKELAND HOSPITAL, ST JOSEPH (230021)",2020,Acute Care,Voluntary non-profit - Private,302.0,42.089742,-86.477194,MI,12.4,2.8,8.4,11.4,14.0,16.0
1751,PROMEDICA COLDWATER REGIONAL HOSPITAL (230022),2020,Acute Care,Government - Local,87.0,41.938969,-84.990585,MI,,,9.5,13.4,14.2,15.1
1752,SINAI-GRACE HOSPITAL (230024),2020,Acute Care,Proprietary,371.0,42.420102,-83.181471,MI,13.3,,7.8,13.0,7.8,14.2
1753,ST JOSEPH MERCY OAKLAND (230029),2020,Acute Care,Voluntary non-profit - Private,432.0,42.614943,-83.2751,MI,12.4,2.5,6.8,15.5,10.4,15.4
1754,MIDMICHIGAN MEDICAL CENTER-GRATIOT (230030),2020,Acute Care,Voluntary non-profit - Private,103.0,43.39168,-84.662278,MI,12.5,,9.0,14.5,14.7,16.1
1755,LAKE HURON MEDICAL CENTER (230031),2020,Acute Care,Voluntary non-profit - Church,164.0,42.955785,-82.431961,MI,12.2,,8.4,12.3,9.5,11.7
1756,SPECTRUM HEALTH UNITED HOSPITAL (230035),2020,Acute Care,Voluntary non-profit - Other,85.0,43.175469,-85.268781,MI,,,8.2,13.4,10.7,12.0
1757,MIDMICHIGAN MEDICAL CENTER - ALPENA (230036),2020,Acute Care,Proprietary,129.0,45.076857,-83.450672,MI,13.0,,9.9,14.5,14.7,15.8
1758,HILLSDALE HOSPITAL (230037),2020,Acute Care,Voluntary non-profit - Private,91.0,41.911437,-84.631702,MI,,,10.1,13.1,10.2,16.3
1759,SPECTRUM HEALTH (230038),2020,Acute Care,Voluntary non-profit - Private,1202.0,42.970527,-85.665319,MI,13.2,2.5,9.6,15.7,10.3,15.9
1760,MCLAREN BAY REGION (230041),2020,Acute Care,Voluntary non-profit - Private,521.0,43.589392,-83.868089,MI,11.7,2.4,8.3,14.4,8.9,13.7
1761,UNIVERSITY OF MICHIGAN HEALTH SYSTEM (230046),2020,Acute Care,Voluntary non-profit - Private,973.0,42.28534,-83.72904,MI,11.3,2.7,7.9,14.3,9.1,10.7
1762,HENRY FORD MACOMB HOSPITAL (230047),2020,Acute Care,Proprietary,455.0,42.612671,-82.963405,MI,11.5,2.1,8.0,13.5,12.4,14.5
1763,HENRY FORD HOSPITAL (230053),2020,Acute Care,Voluntary non-profit - Private,698.0,42.366114,-83.084592,MI,12.1,3.2,8.0,11.7,9.2,13.0
1764,MARQUETTE GENERAL HOSPITAL (230054),2020,Acute Care,Government - Local,268.0,46.543081,-87.411036,MI,13.9,4.4,9.6,17.2,13.9,15.4
1765,DICKINSON COUNTY MEMORIAL HOSPITAL (230055),2020,Acute Care,Government - Local,73.0,45.808572,-88.044268,MI,12.6,,9.0,14.4,10.0,16.4
1766,MUNSON HEALTHCARE GRAYLING HOSPITAL (230058),2020,Acute Care,Voluntary non-profit - Church,92.0,44.667251,-84.707939,MI,12.3,,9.5,13.4,11.5,14.5
1767,MERCY HEALTH SAINT MARY'S (230059),2020,Acute Care,Voluntary non-profit - Church,334.0,42.958252,-85.664114,MI,14.2,,7.6,15.8,14.1,16.0
1768,IRON MOUNTAIN MI VA MEDICAL CENTER (23005F),2020,Acute Care (VA),Government - Federal,,,,,,,7.7,,9.9,12.4
1769,MERCY HEALTH HACKLEY CAMPUS (230066),2020,Acute Care,Voluntary non-profit - Private,298.0,43.221939,-86.243075,MI,11.9,2.7,8.6,12.5,12.0,16.7
1770,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL (230069),2020,Acute Care,Voluntary non-profit - Other,52.0,42.615372,-83.939355,MI,,,8.0,14.9,9.9,14.3
1771,COVENANT MEDICAL CENTER (230070),2020,Acute Care,Voluntary non-profit - Other,529.0,43.428097,-83.955548,MI,13.5,3.1,6.6,12.7,11.4,16.7
1772,HOLLAND COMMUNITY HOSPITAL (230072),2020,Acute Care,Voluntary non-profit - Private,189.0,42.774581,-86.112772,MI,11.9,,8.2,12.7,10.7,14.1
1773,BRONSON BATTLE CREEK HOSPITAL (230075),2020,Acute Care,Proprietary,204.0,42.330618,-85.180404,MI,13.8,,7.8,11.1,13.9,15.5
1774,ASCENSION ST MARY'S HOSPITAL (230077),2020,Acute Care,Voluntary non-profit - Church,220.0,43.426012,-83.941936,MI,12.5,3.0,7.7,12.8,11.1,20.0
1775,MCLAREN CENTRAL MICHIGAN (230080),2020,Acute Care,Voluntary non-profit - Private,72.0,43.598528,-84.761389,MI,12.6,,8.1,14.6,11.0,13.7
1776,MUNSON HEALTHCARE CADILLAC HOSPITAL (230081),2020,Acute Care,Voluntary non-profit - Church,67.0,44.246148,-85.390456,MI,11.8,,7.7,13.9,10.1,14.9
1777,BRONSON SOUTH HAVEN HOSPITAL (230085),2020,Acute Care,Government - Hospital District or Authority,32.0,42.391252,-86.26413,MI,,,10.0,,12.5,15.8
1778,BEAUMONT HOSPITAL - GROSSE POINTE (230089),2020,Acute Care,Voluntary non-profit - Private,241.0,42.384197,-82.915386,MI,12.5,,5.5,10.3,8.2,12.2
1779,HENRY FORD ALLEGIANCE HEALTH (230092),2020,Acute Care,Voluntary non-profit - Other,367.0,42.250356,-84.393603,MI,11.6,2.9,6.5,11.7,11.2,16.5
1780,SPECTRUM HEALTH BIG RAPIDS HOSPITAL (230093),2020,Acute Care,Government - Local,50.0,43.693126,-85.475763,MI,,,8.9,13.8,11.1,16.8
1781,MIDMICHIGAN MEDICAL CENTER-WEST BRANCH (230095),2020,Acute Care,Government - Local,88.0,44.26283,-84.24623,MI,12.3,,7.2,15.1,10.3,15.6
1782,STURGIS HOSPITAL (230096),2020,Acute Care,Government - Local,49.0,41.794193,-85.407308,MI,,,8.7,,13.0,19.0
1783,MUNSON MEDICAL CENTER (230097),2020,Acute Care,Voluntary non-profit - Other,416.0,44.761645,-85.641588,MI,10.8,1.9,10.4,15.6,9.6,14.9
1784,PROMEDICA MONROE REGIONAL HOSPITAL (230099),2020,Acute Care,Voluntary non-profit - Other,172.0,41.925143,-83.389075,MI,13.4,,7.8,12.0,11.6,14.5
1785,TAWAS ST JOSEPH HOSPITAL (230100),2020,Acute Care,Government - Hospital District or Authority,48.0,44.274911,-83.511002,MI,,,8.2,,13.5,15.3
1786,HARPER UNIVERSITY HOSPITAL (230104),2020,Acute Care,Proprietary,363.0,42.351375,-83.057892,MI,12.6,,7.3,11.2,8.8,12.3
1787,MCLAREN NORTHERN MICHIGAN (230105),2020,Acute Care,Voluntary non-profit - Other,197.0,45.373477,-84.969152,MI,12.3,3.2,8.5,14.9,12.1,14.4
1788,UP HEALTH SYSTEM PORTAGE (230108),2020,Acute Care,Voluntary non-profit - Other,96.0,47.141346,-88.585643,MI,,,10.2,13.7,12.7,14.2
1789,SPECTRUM HEALTH LUDINGTON HOSPITAL (230110),2020,Acute Care,Voluntary non-profit - Other,59.0,,,MI,,,7.9,13.4,10.8,16.3
1790,BORGESS MEDICAL CENTER (230117),2020,Acute Care,Voluntary non-profit - Other,355.0,42.304759,-85.561425,MI,11.6,3.6,9.0,14.3,13.7,19.3
1791,MCLAREN THUMB REGION (230118),2020,Acute Care,Voluntary non-profit - Other,50.0,43.802234,-83.030815,MI,12.7,,7.9,13.1,9.4,15.2
1792,VA ANN ARBOR HEALTHCARE SYSTEM (23011F),2020,Acute Care (VA),Government - Federal,,,,,12.0,,7.2,,10.3,11.9
1793,MEMORIAL HEALTHCARE (230121),2020,Acute Care,Voluntary non-profit - Other,156.0,43.005075,-84.182076,MI,,,9.4,12.7,11.8,14.1
1794,BATTLE CREEK VA MEDICAL CENTER (23012F),2020,Acute Care (VA),Government - Federal,,,,,,,8.3,,11.0,15.6
1795,BEAUMONT HOSPITAL ROYAL OAK (230130),2020,Acute Care,Voluntary non-profit - Private,1088.0,42.517687,-83.192142,MI,10.1,2.6,6.8,12.1,8.0,12.9
1796,HURLEY MEDICAL CENTER (230132),2020,Acute Care,Voluntary non-profit - Other,418.0,,,MI,14.1,,8.2,11.8,9.6,13.4
1797,MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL (230133),2020,Acute Care,Voluntary non-profit - Private,80.0,45.035332,-84.673887,MI,,,8.5,12.7,11.1,13.9
1798,MCLAREN FLINT (230141),2020,Acute Care,Voluntary non-profit - Private,337.0,43.014187,-83.733578,MI,11.8,3.0,8.9,13.2,11.8,16.2
1799,BEAUMONT HOSPITAL - WAYNE (230142),2020,Acute Care,Voluntary non-profit - Private,152.0,42.274275,-83.365625,MI,11.5,,7.6,13.7,10.7,15.6
1800,HENRY FORD WYANDOTTE HOSPITAL (230146),2020,Acute Care,Voluntary non-profit - Private,355.0,42.209694,-83.148776,MI,14.3,,8.1,12.1,11.1,16.1
1801,BEAUMONT HOSPITAL - FARMINGTON HILLS (230151),2020,Acute Care,Voluntary non-profit - Private,298.0,42.44363,-83.324789,MI,11.9,,7.0,15.1,8.8,12.9
1802,ST JOSEPH MERCY HOSPITAL (230156),2020,Acute Care,Voluntary non-profit - Church,505.0,42.261803,-83.659819,MI,9.5,2.0,7.2,12.8,10.0,13.3
1803,ASCENSION ST JOHN HOSPITAL (230165),2020,Acute Care,Voluntary non-profit - Church,650.0,42.419011,-82.915008,MI,11.5,3.7,7.9,12.3,9.0,15.2
1804,MCLAREN GREATER LANSING (230167),2020,Acute Care,Voluntary non-profit - Private,282.0,42.704799,-84.555111,MI,12.6,2.7,8.7,12.9,11.5,15.3
1805,NORTH OTTAWA COMMUNITY HEALTH SYSTEM (230174),2020,Acute Care,Government - Hospital District or Authority,70.0,43.05161,-86.227963,MI,,,,12.1,10.4,14.0
1806,BEAUMONT HOSPITAL - TRENTON (230176),2020,Acute Care,Voluntary non-profit - Private,192.0,42.115786,-83.211814,MI,11.5,,7.6,12.4,11.0,13.5
1807,MIDMICHIGAN MEDICAL CENTER-CLARE (230180),2020,Acute Care,Voluntary non-profit - Other,49.0,43.820724,-84.768349,MI,,,6.9,,12.7,15.3
1808,MCLAREN LAPEER REGION (230193),2020,Acute Care,Voluntary non-profit - Private,193.0,43.06271,-83.319345,MI,12.9,,8.9,14.8,12.1,16.4
1809,ASCENSION MACOMB OAKLAND HOSP-WARREN CAMPUS (230195),2020,Acute Care,Voluntary non-profit - Private,518.0,42.507178,-83.003535,MI,13.3,2.9,9.0,13.9,9.0,16.8
1810,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK (230197),2020,Acute Care,Voluntary non-profit - Church,373.0,,,MI,10.7,3.3,7.0,11.8,10.8,14.0
1811,MCLAREN OAKLAND (230207),2020,Acute Care,Voluntary non-profit - Private,166.0,42.638394,-83.291095,MI,13.2,,9.6,11.9,12.2,14.2
1812,SPARROW CARSON HOSPITAL (230208),2020,Acute Care,Voluntary non-profit - Other,52.0,43.175989,-84.843788,MI,,,9.2,,12.7,21.5
1813,MCLAREN PORT HURON (230216),2020,Acute Care,Voluntary non-profit - Private,185.0,42.986743,-82.427839,MI,12.6,3.1,8.5,13.3,13.0,14.3
1814,OAKLAWN HOSPITAL (230217),2020,Acute Care,Voluntary non-profit - Other,78.0,42.273533,-84.957796,MI,13.9,,8.6,14.1,11.1,13.5
1815,MIDMICHIGAN MEDICAL CENTER-MIDLAND (230222),2020,Acute Care,Voluntary non-profit - Other,290.0,43.635617,-84.261689,MI,11.9,2.4,7.9,13.1,13.7,18.9
1816,MCLAREN MACOMB (230227),2020,Acute Care,Proprietary,282.0,42.586795,-82.896918,MI,14.1,2.7,8.0,15.0,11.7,14.4
1817,EDWARD W SPARROW HOSPITAL (230230),2020,Acute Care,Voluntary non-profit - Other,616.0,42.733609,-84.534816,MI,11.2,3.8,8.0,14.3,11.3,18.4
1818,METRO HEALTH HOSPITAL (230236),2020,Acute Care,Voluntary non-profit - Private,208.0,42.858067,-85.722937,MI,13.8,,10.6,13.9,14.1,18.0
1819,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL (230239),2020,Acute Care,Voluntary non-profit - Private,138.0,46.498099,-84.349513,MI,13.4,,8.8,15.1,14.0,19.1
1820,ASCENSION RIVER DISTRICT HOSPITAL (230241),2020,Acute Care,Government - Hospital District or Authority,68.0,42.786505,-82.478208,MI,,,8.4,,13.0,17.5
1821,GARDEN CITY HOSPITAL (230244),2020,Acute Care,Voluntary non-profit - Private,168.0,42.332356,-83.311771,MI,11.5,,8.2,12.5,9.0,15.2
1822,CRITTENTON HOSPITAL MEDICAL CENTER (230254),2020,Acute Care,Voluntary non-profit - Private,230.0,42.680882,-83.149228,MI,12.3,2.6,7.2,10.1,10.1,18.0
1823,ST JOSEPH MERCY CHELSEA (230259),2020,Acute Care,Voluntary non-profit - Private,126.0,42.310594,-84.016571,MI,,,8.7,13.5,10.6,14.7
1824,"BEAUMONT HOSPITAL, TROY (230269)",2020,Acute Care,Voluntary non-profit - Private,484.0,,,MI,11.5,2.8,7.4,9.7,8.5,12.7
1825,BEAUMONT HOSPITAL - TAYLOR (230270),2020,Acute Care,Voluntary non-profit - Private,184.0,42.233501,-83.269667,MI,12.4,,7.4,12.8,10.1,15.5
1826,DETROIT RECEIVING HOSPITAL (230273),2020,Acute Care,Proprietary,229.0,,,MI,13.6,,7.9,13.5,10.1,15.7
1827,HURON VALLEY-SINAI HOSPITAL (230277),2020,Acute Care,Proprietary,142.0,,,MI,13.0,,7.3,11.7,10.0,16.3
1828,KARMANOS CANCER CENTER (230297),2020,Acute Care,Proprietary,122.0,42.35189,-83.058192,MI,,,7.9,,,13.3
1829,HENRY FORD WEST BLOOMFIELD HOSPITAL (230302),2020,Acute Care,Voluntary non-profit - Private,191.0,42.541451,-83.409433,MI,11.8,,8.8,11.5,10.1,12.9
1830,MUNSON HEALTHCARE MANISTEE HOSPITAL (230303),2020,Acute Care,Voluntary non-profit - Other,40.0,44.272355,-86.273439,MI,12.0,,9.4,16.5,12.0,13.7
1831,DETROIT (JOHN D. DINGELL) VA MEDICAL CENTER (23037F),2020,Acute Care (VA),Government - Federal,,,,,12.6,,6.5,,8.1,11.7
1832,KALKASKA MEMORIAL HEALTH CENTER (231301),2020,Critical Access,Government - Hospital District or Authority,104.0,44.730897,-85.183837,MI,,,7.5,,,14.6
1833,SCHOOLCRAFT MEMORIAL HOSPITAL (231303),2020,Critical Access,Government - Local,13.0,45.944963,-86.275716,MI,,,8.1,,,15.6
1834,HELEN NEWBERRY JOY HOSPITAL (231304),2020,Critical Access,Government - Local,67.0,46.352761,-85.515687,MI,,,7.3,,,14.9
1835,SAINT MARY'S STANDISH COMMUNITY HOSPITAL (231305),2020,Critical Access,Voluntary non-profit - Church,57.0,43.98283,-83.969352,MI,,,7.1,,10.3,14.9
1836,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER (231306),2020,Critical Access,Voluntary non-profit - Private,63.0,45.891024,-84.727569,MI,,,7.9,,11.3,12.9
1837,SCHEURER HOSPITAL (231310),2020,Critical Access,Voluntary non-profit - Other,44.0,43.834329,-83.279517,MI,,,8.4,,,13.9
1838,HARBOR BEACH COMMUNITY HOSPITAL (231313),2020,Critical Access,Voluntary non-profit - Private,48.0,43.842429,-82.652527,MI,,,,,,15.5
1839,MCKENZIE HEALTH SYSTEM (231314),2020,Critical Access,Voluntary non-profit - Private,25.0,43.423426,-82.832937,MI,,,7.8,,,13.9
1840,ASCENSION BORGESS LEE HOSPITAL (231315),2020,Critical Access,Voluntary non-profit - Private,25.0,41.982665,-86.115499,MI,,,,,,14.7
1841,HILLS & DALES GENERAL HOSPITAL (231316),2020,Critical Access,Voluntary non-profit - Private,25.0,43.604308,-83.181126,MI,,,7.8,,9.8,13.5
1842,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC (231318)",2020,Critical Access,Voluntary non-profit - Other,25.0,46.09972,-88.620281,MI,,,8.7,,12.7,15.8
1843,ASPIRUS KEWEENAW HOSPITAL AND CLINICS (231319),2020,Critical Access,Voluntary non-profit - Private,25.0,47.237538,-88.444038,MI,13.5,,9.5,,11.5,18.3
1844,BELL HOSPITAL (231321),2020,Critical Access,Proprietary,25.0,46.498665,-87.682993,MI,,,7.7,,12.1,15.0
1845,CHARLEVOIX AREA HOSPITAL (231322),2020,Critical Access,Voluntary non-profit - Other,25.0,,,MI,,,9.6,,,18.4
1846,SPECTRUM HEALTH REED CITY HOSPITAL (231323),2020,Critical Access,Voluntary non-profit - Private,74.0,,,MI,,,7.6,,13.5,17.6
1847,EATON RAPIDS MEDICAL CENTER (231324),2020,Critical Access,Voluntary non-profit - Private,20.0,42.496021,-84.657539,MI,,,9.1,,,13.1
1848,MIDMICHIGAN MEDICAL CENTER-GLADWIN (231325),2020,Critical Access,Voluntary non-profit - Private,25.0,43.975731,-84.495354,MI,,,7.9,,13.3,16.7
1849,SPARROW CLINTON HOSPITAL (231326),2020,Critical Access,Proprietary,25.0,42.993435,-84.555808,MI,,,8.3,,12.2,14.2
1850,SPARROW EATON HOSPITAL (231327),2020,Critical Access,Voluntary non-profit - Other,25.0,42.564928,-84.831826,MI,,,9.0,,12.3,14.0
1851,ALLEGAN GENERAL HOSPITAL (231328),2020,Critical Access,Voluntary non-profit - Other,25.0,42.520259,-85.856939,MI,,,7.2,,11.4,13.4
1852,MARLETTE REGIONAL HOSPITAL (231330),2020,Critical Access,Voluntary non-profit - Private,70.0,43.332579,-83.08016,MI,,,8.5,,,13.2
1853,SPARROW IONIA HOSPITAL (231331),2020,Critical Access,Voluntary non-profit - Private,24.0,42.935608,-85.07478,MI,,,9.2,,12.0,14.5
1854,BRONSON LAKEVIEW HOSPITAL (231332),2020,Critical Access,Government - Hospital District or Authority,33.0,42.221036,-85.898014,MI,,,9.2,,10.7,15.3
1855,ASPIRUS IRONWOOD HOSPITAL (231333),2020,Critical Access,Voluntary non-profit - Private,25.0,46.478193,-90.104689,MI,,,8.0,12.9,13.0,16.1
1856,OSF ST FRANCIS HOSPITAL AND MEDICAL GROUP (231337),2020,Critical Access,Voluntary non-profit - Church,25.0,45.74576,-87.094853,MI,,,8.0,13.1,12.8,15.9
1857,SPECTRUM HEALTH GERBER MEMORIAL (231338),2020,Critical Access,Voluntary non-profit - Private,25.0,43.464383,-85.950763,MI,,,8.0,,11.0,13.4
1858,NORTH MEMORIAL HEALTH (240001),2020,Acute Care,Voluntary non-profit - Private,398.0,45.014214,-93.321172,MN,11.5,3.4,7.6,13.0,11.3,16.5
1859,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER (240002),2020,Acute Care,Voluntary non-profit - Private,335.0,46.792843,-92.096395,MN,10.3,2.6,10.5,12.5,11.6,15.1
1860,HENNEPIN COUNTY MEDICAL CENTER 1 (240004),2020,Acute Care,Government - Local,469.0,44.97285,-93.262707,MN,12.3,,7.9,15.3,10.3,15.8
1861,OLMSTED MEDICAL CENTER (240006),2020,Acute Care,Voluntary non-profit - Private,61.0,44.020994,-92.439958,MN,,,,,12.6,13.8
1862,MAYO CLINIC HOSPITAL ROCHESTER (240010),2020,Acute Care,Voluntary non-profit - Church,1151.0,44.021643,-92.481355,MN,9.3,2.3,6.9,14.9,9.1,11.4
1863,NORTHFIELD HOSPITAL (240014),2020,Acute Care,Government - Local,77.0,44.471386,-93.191159,MN,,,,,10.6,15.7
1864,MAYO CLINIC HEALTH SYSTEM IN RED WING (240018),2020,Acute Care,Voluntary non-profit - Private,62.0,44.560274,-92.575197,MN,,,8.9,,12.7,13.9
1865,ESSENTIA HEALTH DULUTH (240019),2020,Acute Care,Voluntary non-profit - Private,141.0,46.793074,-92.094155,MN,,,,,12.8,14.0
1866,CAMBRIDGE MEDICAL CENTER (240020),2020,Acute Care,Voluntary non-profit - Private,72.0,45.56657,-93.229319,MN,,,7.4,13.3,11.0,13.5
1867,SANFORD MEDICAL CENTER WORTHINGTON (240022),2020,Acute Care,Voluntary non-profit - Private,48.0,43.621858,-95.599179,MN,,,8.0,,11.3,16.8
1868,ALOMERE HEALTH (240030),2020,Acute Care,Government - Local,99.0,45.872669,-95.37638,MN,,,7.8,,11.8,15.6
1869,ST CLOUD HOSPITAL (240036),2020,Acute Care,Voluntary non-profit - Private,482.0,45.575325,-94.17045,MN,12.4,3.0,7.8,12.1,9.5,13.2
1870,ALLINA UNITED HOSPITAL (240038),2020,Acute Care,Voluntary non-profit - Private,372.0,44.94185,-93.108302,MN,11.4,2.9,7.9,13.7,12.0,14.4
1871,MINNEAPOLIS VA MEDICAL CENTER (24003F),2020,Acute Care (VA),Government - Federal,,,,,10.3,,7.6,,8.8,12.6
1872,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS (240040),2020,Acute Care,Voluntary non-profit - Other,78.0,47.411053,-92.929534,MN,,,8.1,,12.4,18.2
1873,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN (240043),2020,Acute Care,Voluntary non-profit - Private,126.0,43.651558,-93.372469,MN,13.1,,6.7,14.2,11.1,12.7
1874,WINONA HEALTH SERVICES (240044),2020,Acute Care,Voluntary non-profit - Private,54.0,44.033016,-91.622136,MN,,,7.2,13.3,11.4,12.0
1875,ST LUKES HOSPITAL (240047),2020,Acute Care,Voluntary non-profit - Private,267.0,46.797027,-92.087038,MN,11.1,3.4,9.3,14.1,10.6,15.4
1876,FAIRVIEW LAKES HEALTH SERVICES (240050),2020,Acute Care,Voluntary non-profit - Private,54.0,45.322267,-92.998466,MN,,,7.3,,11.9,13.1
1877,LAKE REGION HEALTHCARE CORPORATION (240052),2020,Acute Care,Voluntary non-profit - Private,103.0,46.277138,-96.072407,MN,,,9.5,12.5,11.2,17.0
1878,PARK NICOLLET METHODIST HOSPITAL (240053),2020,Acute Care,Voluntary non-profit - Private,374.0,44.927054,-93.362391,MN,12.7,3.5,8.3,13.3,11.4,13.3
1879,RIDGEVIEW MEDICAL CENTER (240056),2020,Acute Care,Voluntary non-profit - Private,118.0,44.843306,-93.790772,MN,12.3,,9.0,12.9,10.6,14.9
1880,ABBOTT NORTHWESTERN HOSPITAL (240057),2020,Acute Care,Voluntary non-profit - Private,670.0,44.951954,-93.262248,MN,11.6,2.5,8.4,10.2,11.9,13.2
1881,REGINA HOSPITAL (240059),2020,Acute Care,Voluntary non-profit - Church,61.0,44.747131,-92.871399,MN,,,7.5,,10.7,15.2
1882,ST JOSEPH'S HOSPITAL (240063),2020,Acute Care,Voluntary non-profit - Private,210.0,44.949062,-93.100127,MN,13.1,2.6,7.8,13.5,10.2,15.1
1883,GRAND ITASCA CLINIC AND HOSPITAL (240064),2020,Acute Care,Voluntary non-profit - Private,38.0,47.221039,-93.554716,MN,,,8.3,13.2,13.9,17.3
1884,LAKEVIEW MEMORIAL HOSPITAL (240066),2020,Acute Care,Voluntary non-profit - Private,68.0,45.048126,-92.818489,MN,,,9.5,12.7,12.2,15.1
1885,OWATONNA HOSPITAL (240069),2020,Acute Care,Voluntary non-profit - Other,40.0,44.109798,-93.236301,MN,,,7.7,,13.0,15.4
1886,DISTRICT ONE HOSPITAL (240071),2020,Acute Care,Voluntary non-profit - Private,34.0,44.288715,-93.256022,MN,,,7.7,,11.8,13.7
1887,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER (240075),2020,Acute Care,Voluntary non-profit - Private,144.0,46.362509,-94.205143,MN,12.1,,9.3,13.0,10.2,14.4
1888,BUFFALO HOSPITAL (240076),2020,Acute Care,Voluntary non-profit - Other,42.0,45.1932,-93.87053,MN,,,8.2,,10.1,14.0
1889,FAIRVIEW SOUTHDALE HOSPITAL (240078),2020,Acute Care,Voluntary non-profit - Other,333.0,44.886279,-93.328857,MN,11.1,3.3,7.5,14.4,9.8,14.4
1890,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW (240080)",2020,Acute Care,Voluntary non-profit - Private,832.0,44.966335,-93.23812,MN,12.7,2.5,7.9,13.5,10.1,13.0
1891,ESSENTIA HEALTH VIRGINIA (240084),2020,Acute Care,Government - Local,146.0,47.530711,-92.548797,MN,,,7.8,,13.1,16.2
