,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Iatrogenic pneumothorax rate (PSI 6),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
1684,HARRINGTON MEMORIAL HOSPITAL-1 (220019),2017,Acute Care,Voluntary non-profit - Private,125.0,42.077182,-72.042065,MA,13.4,,,8.5,14.5,10.7,,,,16.4
1685,SAINT ANNE'S HOSPITAL (220020),2017,Acute Care,Proprietary,182.0,41.693321,-71.163642,MA,11.3,,,6.2,13.7,8.8,,,,14.9
1686,HOLYOKE MEDICAL CENTER (220024),2017,Acute Care,Voluntary non-profit - Private,191.0,42.199616,-72.627087,MA,11.5,,,7.3,14.4,12.7,,,,15.8
1687,ANNA JAQUES HOSPITAL (220029),2017,Acute Care,Voluntary non-profit - Private,138.0,42.814358,-70.889783,MA,13.1,,,6.9,12.9,12.3,,,,14.9
1688,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS (220030),2017,Acute Care,Voluntary non-profit - Other,72.0,42.168727,-72.341031,MA,13.4,,,6.7,14.1,11.3,,,,12.7
1689,BOSTON MEDICAL CENTER CORPORATION- (220031),2017,Acute Care,Voluntary non-profit - Private,438.0,42.33481,-71.07448,MA,13.6,,2.9,6.9,15.1,6.8,,,,13.1
1690,BEVERLY HOSPITAL CORPORATION (220033),2017,Acute Care,Voluntary non-profit - Private,360.0,42.567592,-70.876201,MA,14.3,,,6.0,15.4,9.0,,,,12.2
1691,NORTH SHORE MEDICAL CENTER - (220035),2017,Acute Care,Voluntary non-profit - Private,376.0,42.511747,-70.907251,MA,11.9,,2.7,5.6,12.1,10.0,,,,14.1
1692,ST ELIZABETH'S MEDICAL CENTER (220036),2017,Acute Care,Proprietary,270.0,42.349773,-71.14812,MA,11.6,,2.6,7.4,15.9,8.8,,,,13.4
1693,BERKSHIRE MEDICAL CENTER INC - 1 (220046),2017,Acute Care,Voluntary non-profit - Other,271.0,42.458748,-73.249004,MA,14.1,,,7.5,13.3,12.4,,,,15.2
1694,MARLBOROUGH HOSPITAL (220049),2017,Acute Care,Voluntary non-profit - Private,67.0,42.354317,-71.553864,MA,13.3,,,7.6,15.5,12.7,,,,14.8
1695,BAYSTATE MARY LANE HOSPITAL (220050),2017,Acute Care,Voluntary non-profit - Private,25.0,,,MA,13.3,,,6.4,16.2,11.0,,,,13.7
1696,SIGNATURE HEALTHCARE BROCKTON HOSPITAL (220052),2017,Acute Care,Voluntary non-profit - Other,214.0,42.08621,-70.991083,MA,14.7,,,6.0,16.7,10.0,,,,13.6
1697,CLINTON HOSPITAL ASSOCIATION (220058),2017,Acute Care,Voluntary non-profit - Other,41.0,,,MA,,,,7.3,,12.2,,,,14.3
1698,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH (220060),2017,Acute Care,Voluntary non-profit - Private,160.0,41.944246,-70.64472,MA,12.9,,,7.4,13.4,10.6,,,,15.2
1699,LOWELL GENERAL HOSPITAL (220063),2017,Acute Care,Voluntary non-profit - Private,353.0,42.646307,-71.341323,MA,13.3,,,5.4,12.6,11.9,,,,15.1
1700,NOBLE HOSPITAL (220065),2017,Acute Care,Voluntary non-profit - Private,95.0,42.117789,-72.760397,MA,13.8,,,8.0,14.8,10.4,,,,13.2
1701,MERCY MEDICAL CTR (220066),2017,Acute Care,Voluntary non-profit - Private,338.0,42.115878,-72.595442,MA,13.8,,,9.3,14.3,12.2,,,,19.8
1702,HALLMARK HEALTH SYSTEM (220070),2017,Acute Care,Voluntary non-profit - Private,251.0,42.460278,-71.061993,MA,12.9,,,7.0,12.9,10.4,,,,15.1
1703,MASSACHUSETTS GENERAL HOSPITAL (220071),2017,Acute Care,Voluntary non-profit - Private,1002.0,42.3624,-71.068777,MA,13.0,,2.7,6.1,14.7,8.8,,,,12.8
1704,MORTON HOSPITAL (220073),2017,Acute Care,Proprietary,124.0,41.905583,-71.09435,MA,14.0,,,7.8,13.6,13.3,,,,17.7
1705,"SOUTHCOAST HOSPITAL GROUP, INC (220074)",2017,Acute Care,Voluntary non-profit - Private,842.0,41.710522,-71.146439,MA,11.2,,1.9,6.4,12.0,10.0,,,,15.3
1706,BAYSTATE MEDICAL CENTER (220077),2017,Acute Care,Voluntary non-profit - Private,715.0,42.121712,-72.605956,MA,11.3,,2.7,6.8,14.9,9.4,,,,15.1
1707,HOLY FAMILY HOSPITAL (220080),2017,Acute Care,Proprietary,304.0,42.725829,-71.169618,MA,14.6,,,6.8,13.7,11.3,,,,14.6
1708,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM (220083),2017,Acute Care,Voluntary non-profit - Private,58.0,42.277574,-71.237358,MA,13.9,,,6.8,13.6,11.6,,,,13.2
1709,EMERSON HOSPITAL - (220084),2017,Acute Care,Voluntary non-profit - Private,164.0,42.452628,-71.377231,MA,13.3,,,8.6,11.4,10.4,,,,14.6
1710,BETH ISRAEL DEACONESS MEDICAL CENTER (220086),2017,Acute Care,Voluntary non-profit - Private,677.0,42.340575,-71.105504,MA,12.2,,3.1,6.7,14.8,8.5,,,,14.8
1711,NEW ENGLAND BAPTIST HOSPITAL (220088),2017,Acute Care,Voluntary non-profit - Private,94.0,42.330098,-71.106566,MA,,,,,,11.0,,,,13.9
1712,MILFORD REGIONAL MEDICAL CENTER (220090),2017,Acute Care,Voluntary non-profit - Other,139.0,42.132835,-71.529014,MA,12.2,,,6.7,15.5,11.7,,,,11.5
1713,HEYWOOD HOSPITAL (220095),2017,Acute Care,Voluntary non-profit - Private,138.0,42.586565,-71.986165,MA,12.9,,,8.1,13.4,10.2,,,,16.9
1714,NASHOBA VALLEY MEDICAL CENTER (220098),2017,Acute Care,Proprietary,70.0,42.576412,-71.573053,MA,,,,7.9,14.0,12.8,,,,13.5
1715,SOUTH SHORE HOSPITAL (220100),2017,Acute Care,Voluntary non-profit - Private,363.0,42.17472,-70.954075,MA,12.4,,,7.1,14.5,11.1,,,,15.1
1716,NEWTON-WELLESLEY HOSPITAL (220101),2017,Acute Care,Voluntary non-profit - Other,272.0,42.332339,-71.246592,MA,13.2,,,6.3,12.5,9.8,,,,12.0
1717,WINCHESTER HOSPITAL (220105),2017,Acute Care,Voluntary non-profit - Private,201.0,42.465496,-71.121408,MA,12.8,,,5.8,12.0,8.9,,,,13.1
1718,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC (220108),2017,Acute Care,Government - Federal,93.0,42.252352,-71.075213,MA,12.9,,,5.7,13.3,11.1,,,,12.7
1719,BRIGHAM AND WOMEN'S HOSPITAL (220110),2017,Acute Care,Voluntary non-profit - Private,781.0,42.335954,-71.107661,MA,12.1,,2.1,7.4,13.7,9.2,,,,11.5
1720,GOOD SAMARITAN MEDICAL CENTER (220111),2017,Acute Care,Proprietary,253.0,42.09707,-71.065645,MA,12.1,,,5.9,13.6,10.3,,,,15.8
1721,TUFTS MEDICAL CENTER (220116),2017,Acute Care,Voluntary non-profit - Private,388.0,42.349486,-71.063693,MA,13.5,,2.4,7.6,15.2,11.1,,,,13.4
1722,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL (220119),2017,Acute Care,Voluntary non-profit - Private,158.0,42.300886,-71.127203,MA,12.5,,,6.2,11.3,8.4,,,,12.4
1723,NORWOOD HOSPITAL (220126),2017,Acute Care,Proprietary,233.0,42.189462,-71.20264,MA,15.1,,,6.2,14.7,11.2,,,,15.7
1724,FALMOUTH HOSPITAL (220135),2017,Acute Care,Voluntary non-profit - Private,92.0,41.564962,-70.621126,MA,10.6,,,6.3,10.8,9.3,,,,11.4
1725,UMASS MEMORIAL MEDICAL CENTER INC (220163),2017,Acute Care,Voluntary non-profit - Private,652.0,42.27851,-71.759079,MA,12.3,,2.4,7.7,14.2,9.8,,,,15.5
1726,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON (220171)",2017,Acute Care,Voluntary non-profit - Private,344.0,42.486578,-71.20563,MA,11.5,,2.2,5.2,13.9,9.1,,,,13.3
1727,METROWEST MEDICAL CENTER (220175),2017,Acute Care,Voluntary non-profit - Private,285.0,42.28427,-71.419754,MA,13.1,,,8.5,15.9,10.1,,,,15.1
1728,ST VINCENT HOSPITAL (220176),2017,Acute Care,Proprietary,274.0,42.265971,-71.79549,MA,14.2,,4.7,7.6,14.3,11.8,,,,13.5
1729,NANTUCKET COTTAGE HOSPITAL (220177),2017,Acute Care,Voluntary non-profit - Private,17.0,41.275542,-70.100261,MA,,,,,,12.8,,,,14.8
1730,MARTHA'S VINEYARD HOSPITAL INC (221300),2017,Critical Access,Voluntary non-profit - Private,24.0,,,MA,,,,7.1,14.8,12.0,,,,13.9
1731,FAIRVIEW HOSPITAL (221302),2017,Critical Access,Voluntary non-profit - Private,24.0,42.191982,-73.372523,MA,,,,8.1,,12.5,,,,15.8
1732,ATHOL MEMORIAL HOSPITAL (221303),2017,Critical Access,Voluntary non-profit - Private,24.0,42.586273,-72.208748,MA,,,,8.1,,14.0,,,,14.4
1733,ST MARY MERCY HOSPITAL (230002),2017,Acute Care,Voluntary non-profit - Private,301.0,42.39657,-83.404577,MI,11.3,,,7.0,14.9,10.4,,,,15.8
1734,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL (230003),2017,Acute Care,Voluntary non-profit - Private,57.0,42.819539,-85.988129,MI,,,,7.3,,10.4,,,,15.6
1735,PROMEDICA BIXBY HOSPITAL (230005),2017,Acute Care,Voluntary non-profit - Private,80.0,41.912713,-84.049555,MI,14.7,,,7.2,15.3,12.9,,,,15.2
1736,THREE RIVERS HEALTH (230015),2017,Acute Care,Government - Hospital District or Authority,60.0,41.934946,-85.647048,MI,,,,8.5,,12.0,,,,18.5
1737,BRONSON METHODIST HOSPITAL (230017),2017,Acute Care,Voluntary non-profit - Private,407.0,42.286165,-85.581333,MI,14.8,,3.7,8.9,15.8,14.9,,,,16.3
1738,PROVIDENCE - PROVIDENCE PARK HOSPITAL (230019),2017,Acute Care,Voluntary non-profit - Church,584.0,42.459196,-83.205163,MI,11.7,,1.8,5.4,12.0,9.2,,,,12.0
1739,BEAUMONT HOSPITAL - DEARBORN (230020),2017,Acute Care,Voluntary non-profit - Private,595.0,42.291912,-83.211951,MI,11.0,,2.7,5.8,14.4,9.6,,,,13.5
1740,"LAKELAND HOSPITAL, ST JOSEPH (230021)",2017,Acute Care,Voluntary non-profit - Private,302.0,42.089742,-86.477194,MI,15.1,,3.0,8.1,13.3,13.9,,,,18.7
1741,COMMUNITY HEALTH CENTER OF BRANCH COUNTY (230022),2017,Acute Care,Government - Local,87.0,41.938969,-84.990585,MI,15.8,,,9.0,15.4,14.0,,,,15.7
1742,SINAI-GRACE HOSPITAL (230024),2017,Acute Care,Proprietary,371.0,42.420102,-83.181471,MI,11.7,,4.9,7.3,11.5,9.1,,,,13.6
1743,ST JOSEPH MERCY OAKLAND (230029),2017,Acute Care,Voluntary non-profit - Private,432.0,42.614943,-83.2751,MI,12.0,,4.4,7.7,15.8,11.4,,,,14.0
1744,MIDMICHIGAN MEDICAL CENTER-GRATIOT (230030),2017,Acute Care,Voluntary non-profit - Private,103.0,43.39168,-84.662278,MI,13.9,,,7.8,15.3,10.9,,,,19.7
1745,LAKE HURON MEDICAL CENTER (230031),2017,Acute Care,Voluntary non-profit - Church,164.0,42.955785,-82.431961,MI,14.5,,,8.5,14.2,9.9,,,,16.8
1746,SPECTRUM HEALTH UNITED HOSPITAL (230035),2017,Acute Care,Voluntary non-profit - Other,85.0,43.175469,-85.268781,MI,,,,7.0,14.4,11.5,,,,12.7
1747,MIDMICHIGAN MEDICAL CENTER - ALPENA (230036),2017,Acute Care,Proprietary,129.0,45.076857,-83.450672,MI,15.6,,,9.4,15.8,11.7,,,,14.6
1748,HILLSDALE HOSPITAL (230037),2017,Acute Care,Voluntary non-profit - Private,91.0,41.911437,-84.631702,MI,13.4,,,7.4,15.3,11.8,,,,16.9
1749,SPECTRUM HEALTH - BUTTERWORTH CAMPUS (230038),2017,Acute Care,Voluntary non-profit - Private,1202.0,42.970527,-85.665319,MI,13.3,,2.1,9.4,15.4,13.4,,,,14.5
1750,SPECTRUM HEALTH PENNOCK (230040),2017,Acute Care,Voluntary non-profit - Other,62.0,,,MI,,,,8.5,12.6,14.1,,,,14.5
1751,MCLAREN BAY REGION (230041),2017,Acute Care,Voluntary non-profit - Private,521.0,43.589392,-83.868089,MI,15.0,,2.7,7.3,15.0,10.7,,,,17.4
1752,UNIVERSITY OF MICHIGAN HEALTH SYSTEM (230046),2017,Acute Care,Voluntary non-profit - Private,973.0,42.28534,-83.72904,MI,11.6,,1.9,6.9,15.8,10.6,,,,13.0
1753,HENRY FORD MACOMB HOSPITAL (230047),2017,Acute Care,Proprietary,455.0,42.612671,-82.963405,MI,11.3,,3.1,6.6,13.3,11.1,,,,15.4
1754,HENRY FORD HOSPITAL (230053),2017,Acute Care,Voluntary non-profit - Private,698.0,42.366114,-83.084592,MI,11.8,,2.4,7.6,11.9,11.3,,,,13.9
1755,UP HEALTH SYSTEM - MARQUETTE (230054),2017,Acute Care,Government - Local,268.0,46.543081,-87.411036,MI,13.7,,2.6,9.2,15.8,14.1,,,,16.6
1756,DICKINSON COUNTY MEMORIAL HOSPITAL (230055),2017,Acute Care,Government - Local,73.0,45.808572,-88.044268,MI,12.8,,,7.9,17.3,10.5,,,,13.7
1757,MUNSON HEALTHCARE GRAYLING HOSPITAL (230058),2017,Acute Care,Voluntary non-profit - Church,92.0,44.667251,-84.707939,MI,12.9,,,7.4,12.1,13.2,,,,18.4
1758,SAINT MARY'S HEALTH CARE (230059),2017,Acute Care,Voluntary non-profit - Church,334.0,42.958252,-85.664114,MI,14.6,,,9.2,18.0,9.7,,,,15.0
1759,MERCY HEALTH MUSKEGON (230066),2017,Acute Care,Voluntary non-profit - Private,298.0,43.221939,-86.243075,MI,14.7,,2.5,7.4,15.6,13.9,,,,14.4
1760,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL (230069),2017,Acute Care,Voluntary non-profit - Other,52.0,42.615372,-83.939355,MI,13.5,,,7.6,14.0,12.8,,,,14.5
1761,COVENANT MEDICAL CENTER (230070),2017,Acute Care,Voluntary non-profit - Other,529.0,43.428097,-83.955548,MI,12.8,,4.3,7.5,14.2,11.2,,,,16.4
1762,HOLLAND COMMUNITY HOSPITAL (230072),2017,Acute Care,Voluntary non-profit - Private,189.0,42.774581,-86.112772,MI,13.8,,,9.6,13.3,10.0,,,,12.4
1763,BRONSON BATTLE CREEK HOSPITAL (230075),2017,Acute Care,Proprietary,204.0,42.330618,-85.180404,MI,14.5,,,6.7,13.2,13.4,,,,17.3
1764,ST MARY'S OF MICHIGAN MEDICAL CENTER (230077),2017,Acute Care,Voluntary non-profit - Church,220.0,43.426012,-83.941936,MI,14.6,,3.5,8.5,14.5,11.9,,,,17.4
1765,LAKELAND HOSPITAL WATERVLIET (230078),2017,Acute Care,Voluntary non-profit - Private,46.0,42.184866,-86.25076,MI,,,,8.0,,,,,,15.4
1766,MCLAREN CENTRAL MICHIGAN (230080),2017,Acute Care,Voluntary non-profit - Private,72.0,43.598528,-84.761389,MI,13.2,,,6.4,15.7,11.5,,,,14.4
1767,MUNSON HEALTHCARE CADILLAC HOSPITAL (230081),2017,Acute Care,Voluntary non-profit - Church,67.0,44.246148,-85.390456,MI,13.2,,,6.3,12.3,11.9,,,,16.4
1768,BRONSON SOUTH HAVEN HOSPITAL (230085),2017,Acute Care,Government - Hospital District or Authority,32.0,42.391252,-86.26413,MI,,,,7.8,,12.0,,,,14.6
1769,"BEAUMONT HOSPITAL, GROSSE POINTE (230089)",2017,Acute Care,Voluntary non-profit - Private,241.0,42.384197,-82.915386,MI,10.8,,,6.7,13.3,8.3,,,,11.7
1770,HENRY FORD ALLEGIANCE HEALTH (230092),2017,Acute Care,Voluntary non-profit - Other,367.0,42.250356,-84.393603,MI,12.4,,3.1,6.8,12.4,10.7,,,,16.2
1771,SPECTRUM HEALTH BIG RAPIDS HOSPITAL (230093),2017,Acute Care,Government - Local,50.0,43.693126,-85.475763,MI,,,,7.2,13.7,12.0,,,,14.8
1772,WEST BRANCH REGIONAL MEDICAL CENTER (230095),2017,Acute Care,Government - Local,88.0,44.26283,-84.24623,MI,13.6,,,7.3,16.5,13.4,,,,13.5
1773,STURGIS HOSPITAL (230096),2017,Acute Care,Government - Local,49.0,41.794193,-85.407308,MI,,,,7.2,,12.5,,,,20.6
1774,MUNSON MEDICAL CENTER (230097),2017,Acute Care,Voluntary non-profit - Other,416.0,44.761645,-85.641588,MI,11.3,,2.6,10.5,13.6,10.5,,,,16.4
1775,PROMEDICA MONROE REGIONAL HOSPITAL (230099),2017,Acute Care,Voluntary non-profit - Other,172.0,41.925143,-83.389075,MI,11.8,,,6.7,13.2,10.8,,,,17.3
1776,TAWAS ST JOSEPH HOSPITAL (230100),2017,Acute Care,Government - Hospital District or Authority,48.0,44.274911,-83.511002,MI,,,,10.5,,14.3,,,,14.3
1777,HARPER UNIVERSITY HOSPITAL (230104),2017,Acute Care,Proprietary,363.0,42.351375,-83.057892,MI,11.3,,3.9,5.3,12.6,7.5,,,,12.7
1778,MCLAREN - NORTHERN MICHIGAN (230105),2017,Acute Care,Voluntary non-profit - Other,197.0,45.373477,-84.969152,MI,12.5,,2.4,7.4,14.5,10.8,,,,14.6
1779,UP HEALTH SYSTEM PORTAGE (230108),2017,Acute Care,Voluntary non-profit - Other,96.0,47.141346,-88.585643,MI,14.7,,,7.1,15.3,15.5,,,,20.9
1780,SPECTRUM HEALTH LUDINGTON HOSPITAL (230110),2017,Acute Care,Voluntary non-profit - Other,59.0,,,MI,,,,7.2,15.5,13.9,,,,14.8
1781,BORGESS MEDICAL CENTER (230117),2017,Acute Care,Voluntary non-profit - Other,355.0,42.304759,-85.561425,MI,15.7,,3.4,9.5,18.9,12.9,,,,16.7
1782,HURON MEDICAL CENTER (230118),2017,Acute Care,Voluntary non-profit - Other,50.0,43.802234,-83.030815,MI,13.0,,,7.7,13.9,12.0,,,,13.2
1783,MEMORIAL HEALTHCARE (230121),2017,Acute Care,Voluntary non-profit - Other,156.0,43.005075,-84.182076,MI,14.7,,,12.0,14.5,13.5,,,,18.8
1784,"BEAUMONT HOSPITAL, ROYAL OAK (230130)",2017,Acute Care,Voluntary non-profit - Private,1088.0,42.517687,-83.192142,MI,11.4,,3.0,6.1,12.1,8.3,,,,11.8
1785,HURLEY MEDICAL CENTER (230132),2017,Acute Care,Voluntary non-profit - Other,418.0,,,MI,14.6,,,8.5,15.7,9.6,,,,14.7
1786,OTSEGO MEMORIAL HOSPITAL (230133),2017,Acute Care,Voluntary non-profit - Private,80.0,45.035332,-84.673887,MI,,,,10.1,16.1,12.8,,,,16.6
1787,MCLAREN FLINT (230141),2017,Acute Care,Voluntary non-profit - Private,337.0,43.014187,-83.733578,MI,14.9,,3.1,7.4,15.0,10.0,,,,16.2
1788,BEAUMONT HOSPITAL - WAYNE (230142),2017,Acute Care,Voluntary non-profit - Private,152.0,42.274275,-83.365625,MI,13.2,,,9.8,14.1,10.9,,,,15.7
1789,HENRY FORD WYANDOTTE HOSPITAL (230146),2017,Acute Care,Voluntary non-profit - Private,355.0,42.209694,-83.148776,MI,12.4,,,7.1,12.0,11.7,,,,13.5
1790,BEAUMONT HOSPITAL - FARMINGTON HILLS (230151),2017,Acute Care,Voluntary non-profit - Private,298.0,42.44363,-83.324789,MI,12.9,,,7.7,13.6,10.0,,,,15.8
1791,ST JOSEPH MERCY HOSPITAL (230156),2017,Acute Care,Voluntary non-profit - Church,505.0,42.261803,-83.659819,MI,11.5,,2.3,6.8,13.9,11.0,,,,14.5
1792,ST JOHN HOSPITAL AND MEDICAL CENTER (230165),2017,Acute Care,Voluntary non-profit - Church,650.0,42.419011,-82.915008,MI,15.5,,3.4,10.4,14.6,10.8,,,,16.3
1793,MCLAREN GREATER LANSING (230167),2017,Acute Care,Voluntary non-profit - Private,282.0,42.704799,-84.555111,MI,14.1,,2.5,8.6,12.7,14.0,,,,18.3
1794,NORTH OTTAWA COMMUNITY HEALTH SYSTEM (230174),2017,Acute Care,Government - Hospital District or Authority,70.0,43.05161,-86.227963,MI,,,,8.1,15.1,12.8,,,,15.3
1795,BEAUMONT HOSPITAL - TRENTON (230176),2017,Acute Care,Voluntary non-profit - Private,192.0,42.115786,-83.211814,MI,12.7,,,7.7,16.2,9.6,,,,14.3
1796,MIDMICHIGAN MEDICAL CENTER-CLARE (230180),2017,Acute Care,Voluntary non-profit - Other,49.0,43.820724,-84.768349,MI,,,,6.9,,13.8,,,,19.1
1797,MCLAREN LAPEER REGION (230193),2017,Acute Care,Voluntary non-profit - Private,193.0,43.06271,-83.319345,MI,12.7,,,7.4,15.2,11.2,,,,16.8
1798,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER (230195),2017,Acute Care,Voluntary non-profit - Private,518.0,42.507178,-83.003535,MI,13.4,,4.1,10.0,14.3,10.2,,,,15.7
1799,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK (230197),2017,Acute Care,Voluntary non-profit - Church,373.0,,,MI,12.5,,3.9,6.2,14.4,11.2,,,,14.1
1800,MCLAREN OAKLAND (230207),2017,Acute Care,Voluntary non-profit - Private,166.0,42.638394,-83.291095,MI,12.7,,,10.0,16.2,9.3,,,,16.4
1801,SPARROW CARSON HOSPITAL (230208),2017,Acute Care,Voluntary non-profit - Other,52.0,43.175989,-84.843788,MI,,,,8.4,15.9,12.0,,,,18.0
1802,MCLAREN PORT HURON (230216),2017,Acute Care,Voluntary non-profit - Private,185.0,42.986743,-82.427839,MI,14.0,,3.4,8.9,16.1,14.6,,,,16.3
1803,OAKLAWN HOSPITAL (230217),2017,Acute Care,Voluntary non-profit - Other,78.0,42.273533,-84.957796,MI,,,,7.1,13.1,12.7,,,,12.8
1804,MIDMICHIGAN MEDICAL CENTER-MIDLAND (230222),2017,Acute Care,Voluntary non-profit - Other,290.0,43.635617,-84.261689,MI,12.8,,3.8,10.3,16.0,13.4,,,,16.4
1805,MCLAREN MACOMB (230227),2017,Acute Care,Proprietary,282.0,42.586795,-82.896918,MI,13.0,,2.3,7.7,16.5,10.5,,,,15.3
1806,EDWARD W SPARROW HOSPITAL (230230),2017,Acute Care,Voluntary non-profit - Other,616.0,42.733609,-84.534816,MI,12.8,,3.9,8.8,16.7,13.4,,,,18.5
1807,METRO HEALTH HOSPITAL (230236),2017,Acute Care,Voluntary non-profit - Private,208.0,42.858067,-85.722937,MI,15.1,,,7.7,15.3,11.6,,,,16.0
1808,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL (230239),2017,Acute Care,Voluntary non-profit - Private,138.0,46.498099,-84.349513,MI,14.2,,,8.2,15.7,12.2,,,,16.9
1809,ST JOHN RIVER DISTRICT HOSPITAL (230241),2017,Acute Care,Government - Hospital District or Authority,68.0,42.786505,-82.478208,MI,,,,6.8,15.3,13.9,,,,15.9
1810,GARDEN CITY HOSPITAL (230244),2017,Acute Care,Voluntary non-profit - Private,168.0,42.332356,-83.311771,MI,15.2,,,8.3,13.0,10.4,,,,16.1
1811,CRITTENTON HOSPITAL MEDICAL CENTER (230254),2017,Acute Care,Voluntary non-profit - Private,230.0,42.680882,-83.149228,MI,12.7,,2.9,6.8,14.4,13.2,,,,17.4
1812,ST JOSEPH MERCY CHELSEA (230259),2017,Acute Care,Voluntary non-profit - Private,126.0,42.310594,-84.016571,MI,,,,6.9,14.1,12.6,,,,15.1
1813,"BEAUMONT HOSPITAL, TROY (230269)",2017,Acute Care,Voluntary non-profit - Private,484.0,,,MI,10.6,,3.1,7.0,12.2,8.7,,,,12.5
1814,BEAUMONT HOSPITAL - TAYLOR (230270),2017,Acute Care,Voluntary non-profit - Private,184.0,42.233501,-83.269667,MI,13.4,,,8.9,13.1,11.0,,,,13.7
1815,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER (230273),2017,Acute Care,Proprietary,229.0,,,MI,12.3,,,7.4,14.3,8.2,,,,15.8
1816,HURON VALLEY-SINAI HOSPITAL (230277),2017,Acute Care,Proprietary,142.0,,,MI,11.2,,,8.6,12.9,11.4,,,,13.2
1817,KARMANOS CANCER CENTER (230297),2017,Acute Care,Proprietary,122.0,42.35189,-83.058192,MI,,,,,,,,,,13.0
1818,HENRY FORD WEST BLOOMFIELD HOSPITAL (230302),2017,Acute Care,Voluntary non-profit - Private,191.0,42.541451,-83.409433,MI,13.3,,,7.6,14.0,10.5,,,,14.3
1819,WEST SHORE MEDICAL CENTER (230303),2017,Acute Care,Voluntary non-profit - Other,40.0,44.272355,-86.273439,MI,,,,8.2,15.8,12.2,,,,14.9
1820,SCHOOLCRAFT MEMORIAL HOSPITAL (231303),2017,Critical Access,Government - Local,13.0,45.944963,-86.275716,MI,,,,7.4,,15.8,,,,15.2
1821,HELEN NEWBERRY JOY HOSPITAL (231304),2017,Critical Access,Government - Local,67.0,46.352761,-85.515687,MI,,,,8.3,,13.9,,,,16.3
1822,SAINT MARY'S STANDISH COMMUNITY HOSPITAL (231305),2017,Critical Access,Voluntary non-profit - Church,57.0,43.98283,-83.969352,MI,,,,7.3,,11.2,,,,15.5
1823,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER (231306),2017,Critical Access,Voluntary non-profit - Private,63.0,45.891024,-84.727569,MI,,,,8.9,,,,,,15.2
1824,"ASPIRUS ONTONAGON HOSPITAL, INC (231309)",2017,Critical Access,Government - Local,68.0,46.865635,-89.302976,MI,,,,,,,,,,18.2
1825,SCHEURER HOSPITAL (231310),2017,Critical Access,Voluntary non-profit - Other,44.0,43.834329,-83.279517,MI,,,,7.6,,,,,,14.2
1826,MCKENZIE HEALTH SYSTEM (231314),2017,Critical Access,Voluntary non-profit - Private,25.0,43.423426,-82.832937,MI,,,,,,12.1,,,,17.2
1827,BORGESS-LEE MEMORIAL HOSPITAL (231315),2017,Critical Access,Voluntary non-profit - Private,25.0,41.982665,-86.115499,MI,,,,8.1,,11.1,,,,16.2
1828,HILLS & DALES GENERAL HOSPITAL (231316),2017,Critical Access,Voluntary non-profit - Private,25.0,43.604308,-83.181126,MI,,,,8.8,,12.4,,,,16.3
1829,SPECTRUM HEALTH KELSEY HOSPITAL (231317),2017,Critical Access,Voluntary non-profit - Private,45.0,43.4411,-85.278516,MI,,,,8.3,,,,,,14.8
1830,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC (231318)",2017,Critical Access,Voluntary non-profit - Other,25.0,46.09972,-88.620281,MI,,,,7.7,16.4,13.9,,,,14.9
1831,ASPIRUS KEWEENAW HOSPITAL (231319),2017,Critical Access,Voluntary non-profit - Private,25.0,47.237538,-88.444038,MI,13.4,,,8.3,15.0,13.4,,,,15.5
1832,BELL HOSPITAL (231321),2017,Critical Access,Proprietary,25.0,46.498665,-87.682993,MI,,,,8.2,,13.0,,,,15.3
1833,MUNSON HEALTHCARE CHARLEVOIX HOSPITAL (231322),2017,Critical Access,Voluntary non-profit - Other,25.0,,,MI,,,,10.4,,15.2,,,,19.2
1834,SPECTRUM HEALTH REED CITY HOSPITAL (231323),2017,Critical Access,Voluntary non-profit - Private,74.0,,,MI,,,,8.3,,12.3,,,,16.6
1835,EATON RAPIDS MEDICAL CENTER (231324),2017,Critical Access,Voluntary non-profit - Private,20.0,42.496021,-84.657539,MI,,,,8.3,,12.9,,,,15.8
