,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Acute Myocardial Infarction 30-Day Readmission Rate (READM 30 AMI),Heart failure 30-Day Mortality Rate (MORT 30 HF),Heart failure 30-Day Readmission Rate (READM 30 HF),Hospital-wide readmission rate after discharge (READM 30 HOSP WIDE),Pneumonia 30-Day Mortality Rate (MORT 30 PN),Pneumonia 30-Day Readmission Rate (READM 30 PN),Rate of readmission after hip/knee surgery (READM 30 HIP KNEE)
2379,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER (290054),2014,Acute Care,Proprietary,228.0,36.286014,-115.28773,NV,14.2,18.6,10.6,24.7,,13.8,18.4,6.8
2380,WILLIAM BEE RIRIE HOSPITAL (291302),2014,Critical Access,Government - Hospital District or Authority,25.0,39.256065,-114.860086,NV,,,12.2,22.5,,11.8,16.6,
2381,CARSON VALLEY MEDICAL CENTER (291306),2014,Critical Access,Voluntary non-profit - Private,23.0,,,NV,,,12.1,21.8,,13.6,16.4,5.0
2382,MESA VIEW REGIONAL HOSPITAL (291307),2014,Critical Access,Voluntary non-profit - Private,25.0,36.808859,-114.114456,NV,,,11.5,21.9,,11.3,17.5,5.9
2383,DESERT VIEW REGIONAL MEDICAL CENTER (291311),2014,Critical Access,Proprietary,25.0,36.214376,-116.023381,NV,,,11.6,23.1,,10.3,18.0,
2384,CONCORD HOSPITAL (300001),2014,Acute Care,Voluntary non-profit - Private,212.0,43.196329,-71.562366,NH,16.5,16.6,13.1,23.4,,11.4,18.1,4.5
2385,MARY HITCHCOCK MEMORIAL HOSPITAL (300003),2014,Acute Care,Voluntary non-profit - Other,405.0,43.67797,-72.273746,NH,14.2,16.7,11.7,19.4,,11.2,15.3,4.4
2386,LAKES REGION GENERAL HOSPITAL (300005),2014,Acute Care,Voluntary non-profit - Private,94.0,43.528103,-71.460771,NH,19.2,16.9,14.1,21.7,,15.2,16.6,5.7
2387,ST JOSEPH HOSPITAL (300011),2014,Acute Care,Voluntary non-profit - Other,208.0,42.750441,-71.479886,NH,13.8,18.0,11.2,26.1,,11.7,18.6,6.4
2388,ELLIOT HOSPITAL (300012),2014,Acute Care,Voluntary non-profit - Private,243.0,42.982795,-71.435739,NH,13.6,18.9,12.2,22.4,,12.7,18.1,5.5
2389,FRISBIE MEMORIAL HOSPITAL (300014),2014,Acute Care,Voluntary non-profit - Private,77.0,43.298189,-70.961194,NH,14.4,,11.7,22.9,,8.8,16.4,5.5
2390,PARKLAND MEDICAL CENTER (300017),2014,Acute Care,Proprietary,159.0,42.875825,-71.317578,NH,14.4,18.7,13.3,24.6,,12.5,17.5,
2391,WENTWORTH-DOUGLASS HOSPITAL (300018),2014,Acute Care,Voluntary non-profit - Private,116.0,43.212442,-70.875139,NH,14.4,18.2,9.5,20.9,,10.8,17.4,6.0
2392,CHESHIRE MEDICAL CENTER (300019),2014,Acute Care,Voluntary non-profit - Private,124.0,42.949854,-72.290725,NH,16.6,17.8,13.0,23.5,,12.5,15.6,5.0
2393,SOUTHERN NH MEDICAL CENTER (300020),2014,Acute Care,Voluntary non-profit - Private,163.0,42.756061,-71.461229,NH,15.1,16.7,11.3,20.6,,10.3,16.9,6.0
2394,EXETER HOSPITAL INC (300023),2014,Acute Care,Voluntary non-profit - Private,98.0,42.983066,-70.934319,NH,14.5,18.2,11.7,21.6,,9.3,16.6,5.4
2395,PORTSMOUTH REGIONAL HOSPITAL (300029),2014,Acute Care,Proprietary,168.0,43.064093,-70.787774,NH,14.0,18.0,12.8,22.1,,11.3,16.1,4.2
2396,CATHOLIC MEDICAL CENTER (300034),2014,Acute Care,Voluntary non-profit - Private,246.0,42.991211,-71.47379,NH,12.0,16.2,12.0,21.9,,11.6,17.0,4.7
2397,UPPER CONNECTICUT VALLEY HOSPITAL (301300),2014,Critical Access,Voluntary non-profit - Private,16.0,44.904412,-71.481489,NH,,,10.3,24.3,,13.9,15.8,
2398,COTTAGE HOSPITAL (301301),2014,Critical Access,Voluntary non-profit - Private,30.0,44.136234,-72.022291,NH,,,11.9,22.9,,12.1,17.2,5.6
2399,LITTLETON REGIONAL HEALTHCARE (301302),2014,Critical Access,Voluntary non-profit - Private,25.0,44.316234,-71.825316,NH,,,12.6,21.6,,14.0,19.8,5.0
2400,WEEKS MEDICAL CENTER (301303),2014,Critical Access,Voluntary non-profit - Private,27.0,44.48699,-71.554156,NH,16.7,,11.4,25.0,,12.9,18.2,5.5
2401,NEW LONDON HOSPITAL (301304),2014,Critical Access,Voluntary non-profit - Private,59.0,43.420929,-72.001493,NH,,,12.0,23.2,,14.7,18.0,5.0
2402,ALICE PECK DAY MEMORIAL HOSPITAL (301305),2014,Critical Access,Voluntary non-profit - Private,24.0,43.640293,-72.264366,NH,,,,,,11.0,16.8,5.6
2403,FRANKLIN REGIONAL HOSPITAL (301306),2014,Critical Access,Voluntary non-profit - Private,33.0,43.448071,-71.643684,NH,17.0,17.5,15.0,21.5,,13.2,14.5,
2404,"MEMORIAL HOSPITAL, THE (301307)",2014,Critical Access,Voluntary non-profit - Private,56.0,44.060519,-71.13851,NH,16.2,18.3,12.9,22.8,,14.5,17.1,5.3
2405,VALLEY REGIONAL HOSPITAL (301308),2014,Critical Access,Voluntary non-profit - Private,25.0,43.385143,-72.342465,NH,,,12.0,21.0,,11.5,16.9,6.3
2406,MONADNOCK COMMUNITY HOSPITAL (301309),2014,Critical Access,Voluntary non-profit - Private,25.0,42.893461,-71.937471,NH,14.8,18.3,15.6,22.0,,14.2,15.4,5.1
2407,ANDROSCOGGIN VALLEY HOSPITAL (301310),2014,Critical Access,Voluntary non-profit - Private,25.0,44.487099,-71.156548,NH,16.6,,14.4,23.4,,12.3,17.4,
2408,SPEARE MEMORIAL HOSPITAL (301311),2014,Critical Access,Voluntary non-profit - Private,25.0,43.757886,-71.694837,NH,,,11.7,22.3,,9.8,16.5,5.7
2409,HUGGINS HOSPITAL (301312),2014,Critical Access,Voluntary non-profit - Private,27.0,43.580944,-71.201575,NH,16.4,,13.9,24.4,,11.1,15.9,5.3
2410,HACKENSACK UNIVERSITY MEDICAL CENTER (310001),2014,Acute Care,Voluntary non-profit - Private,710.0,40.884032,-74.057954,NJ,12.1,19.4,10.6,24.4,,10.1,18.8,4.8
2411,NEWARK BETH ISRAEL MEDICAL CENTER (310002),2014,Acute Care,Voluntary non-profit - Private,486.0,40.710054,-74.213787,NJ,14.4,21.2,9.2,25.2,,12.7,18.7,7.0
2412,PALISADES MEDICAL CENTER (310003),2014,Acute Care,Voluntary non-profit - Private,192.0,40.794166,-73.995765,NJ,12.0,19.9,9.6,29.0,,11.1,19.2,5.0
2413,HUNTERDON MEDICAL CENTER (310005),2014,Acute Care,Voluntary non-profit - Private,184.0,40.532524,-74.86041,NJ,12.6,18.1,11.8,21.1,,13.0,18.4,5.3
2414,"ST MARY'S HOSPITAL, PASSAIC (310006)",2014,Acute Care,Proprietary,185.0,40.85828,-74.13721,NJ,16.2,19.4,11.5,22.1,,12.4,19.5,4.7
2415,HOLY NAME MEDICAL CENTER (310008),2014,Acute Care,Voluntary non-profit - Private,309.0,40.882377,-74.008629,NJ,11.3,20.1,8.4,25.6,,9.7,17.8,6.5
2416,CLARA MAASS MEDICAL CENTER (310009),2014,Acute Care,Voluntary non-profit - Private,344.0,,,NJ,13.4,18.0,8.7,24.2,,10.4,19.6,4.6
2417,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO (310010),2014,Acute Care,Voluntary non-profit - Private,344.0,,,NJ,15.6,18.9,11.5,23.6,,9.3,17.6,5.4
2418,CAPE REGIONAL MEDICAL CENTER INC (310011),2014,Acute Care,Voluntary non-profit - Private,157.0,,,NJ,14.5,20.7,9.8,24.5,,10.1,18.5,4.8
2419,VALLEY HOSPITAL (310012),2014,Acute Care,Voluntary non-profit - Private,387.0,40.983204,-74.101761,NJ,12.6,19.5,9.7,25.5,,10.3,18.2,5.9
2420,COOPER UNIVERSITY HOSPITAL (310014),2014,Acute Care,Voluntary non-profit - Private,545.0,39.940802,-75.115757,NJ,16.2,21.1,10.6,24.9,,11.3,20.0,5.8
2421,MORRISTOWN MEDICAL CENTER (310015),2014,Acute Care,Voluntary non-profit - Private,700.0,40.787896,-74.464855,NJ,12.9,17.4,10.0,20.8,,9.7,15.8,5.2
2422,CAREPOINT HEALTH-CHRIST HOSPITAL (310016),2014,Acute Care,Voluntary non-profit - Church,186.0,40.734876,-74.050142,NJ,16.2,18.7,11.9,27.9,,12.9,21.0,6.1
2423,CHILTON MEDICAL CENTER (310017),2014,Acute Care,Voluntary non-profit - Private,207.0,40.959237,-74.308102,NJ,16.0,18.7,11.2,24.3,,11.2,16.8,5.3
2424,ST JOSEPH'S REGIONAL MEDICAL CENTER (310019),2014,Acute Care,Voluntary non-profit - Church,705.0,40.902456,-74.166751,NJ,16.3,21.8,12.2,27.2,,11.9,18.8,6.1
2425,VA NEW JERSEY HEALTH CARE SYSTEM (31001F),2014,Acute Care (VA),Government - Federal,,,,,,,13.1,24.1,,14.3,19.4,
2426,ST FRANCIS MEDICAL CENTER (310021),2014,Acute Care,Voluntary non-profit - Private,157.0,40.217126,-74.742576,NJ,14.2,18.7,11.5,24.5,,12.6,18.4,
2427,VIRTUA WEST JERSEY HOSPITALS BERLIN (310022),2014,Acute Care,Voluntary non-profit - Private,611.0,39.842327,-74.927892,NJ,14.9,19.3,10.8,23.7,,10.9,19.2,5.2
2428,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY (310024),2014,Acute Care,Voluntary non-profit - Private,144.0,40.612237,-74.291688,NJ,20.1,18.7,11.5,24.2,,11.5,16.9,6.3
2429,CAREPOINT HEALTH - BAYONNE HOSPITAL CENTER (310025),2014,Acute Care,Voluntary non-profit - Private,189.0,40.667531,-74.112371,NJ,14.2,19.2,11.8,26.8,,13.6,18.2,
2430,TRINITAS REGIONAL MEDICAL CENTER (310027),2014,Acute Care,Voluntary non-profit - Private,442.0,40.65892,-74.214355,NJ,16.9,18.6,13.7,25.3,,11.7,20.2,6.0
2431,NEWTON MEMORIAL HOSPITAL (310028),2014,Acute Care,Voluntary non-profit - Private,1620.0,41.055649,-74.76494,NJ,14.8,19.1,11.3,24.5,,9.5,15.7,6.0
2432,OUR LADY OF LOURDES MEDICAL CENTER (310029),2014,Acute Care,Voluntary non-profit - Private,328.0,39.927033,-75.095704,NJ,14.6,18.4,9.9,24.6,,8.8,18.6,
2433,DEBORAH HEART AND LUNG CENTER (310031),2014,Acute Care,Voluntary non-profit - Private,85.0,39.977274,-74.58621,NJ,15.3,19.7,9.4,22.2,,13.1,18.1,
2434,INSPIRA MEDICAL CENTER VINELAND (310032),2014,Acute Care,Voluntary non-profit - Private,332.0,39.447444,-75.057329,NJ,13.3,17.4,11.1,22.5,,14.2,16.4,5.2
2435,RIVERVIEW MEDICAL CENTER (310034),2014,Acute Care,Proprietary,289.0,,,NJ,14.4,18.6,11.8,24.2,,9.4,17.8,5.2
2436,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL (310038),2014,Acute Care,Voluntary non-profit - Private,617.0,,,NJ,14.8,20.2,10.2,23.3,,9.6,18.2,6.0
2437,RARITAN BAY MEDICAL CENTER (310039),2014,Acute Care,Voluntary non-profit - Private,292.0,40.518346,-74.28075,NJ,16.6,20.6,9.8,26.7,,9.5,19.4,5.2
2438,CAREPOINT HEALTH-HOBOKEN UMC (310040),2014,Acute Care,Voluntary non-profit - Church,190.0,40.741213,-74.033559,NJ,16.7,18.6,9.4,27.7,,12.7,19.0,5.4
2439,COMMUNITY MEDICAL CENTER (310041),2014,Acute Care,Voluntary non-profit - Private,462.0,39.965083,-74.21449,NJ,15.1,21.2,11.9,25.0,,9.4,17.0,4.8
2440,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL (310044),2014,Acute Care,Voluntary non-profit - Private,179.0,,,NJ,14.0,17.8,10.6,23.9,,14.3,19.0,7.0
2441,ENGLEWOOD HOSPITAL AND MEDICAL CENTER (310045),2014,Acute Care,Voluntary non-profit - Private,302.0,40.902855,-73.967993,NJ,12.6,20.6,11.0,23.1,,9.5,17.7,6.8
2442,SHORE MEDICAL CENTER (310047),2014,Acute Care,Voluntary non-profit - Private,252.0,39.314673,-74.592772,NJ,15.2,19.4,9.3,24.1,,10.0,17.2,4.9
2443,SOMERSET MEDICAL CENTER (310048),2014,Acute Care,Voluntary non-profit - Private,279.0,40.568854,-74.595695,NJ,16.8,17.9,12.8,26.4,,14.1,17.3,4.8
2444,SAINT CLARE'S HOSPITAL (310050),2014,Acute Care,Proprietary,362.0,40.894376,-74.464479,NJ,14.4,21.5,11.8,24.3,,9.4,18.7,5.5
2445,OVERLOOK MEDICAL CENTER (310051),2014,Acute Care,Voluntary non-profit - Other,484.0,40.71241,-74.354023,NJ,11.8,17.3,12.1,20.9,,9.8,16.5,5.4
2446,OCEAN MEDICAL CENTER (310052),2014,Acute Care,Voluntary non-profit - Other,302.0,40.078327,-74.129748,NJ,15.1,19.8,11.3,23.9,,11.5,18.4,4.5
2447,HACKENSACK-UMC MOUNTAINSIDE (310054),2014,Acute Care,Voluntary non-profit - Private,229.0,,,NJ,14.2,18.7,9.9,22.2,,10.4,18.4,6.5
2448,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY (310057),2014,Acute Care,Voluntary non-profit - Private,334.0,39.985698,-74.795832,NJ,13.9,18.4,13.0,23.6,,11.4,14.9,5.5
2449,BERGEN REGIONAL MEDICAL CENTER (310058),2014,Acute Care,Government - Local,1004.0,40.958602,-74.062151,NJ,,,14.3,21.3,,14.1,19.4,
2450,ST LUKE'S WARREN HOSPITAL (310060),2014,Acute Care,Voluntary non-profit - Other,110.0,40.701628,-75.179608,NJ,13.3,19.1,10.0,24.3,,12.7,16.5,5.0
2451,LOURDES MEDICAL CENTER OF BURLINGTON COUNTY (310061),2014,Acute Care,Voluntary non-profit - Private,147.0,40.048632,-74.881982,NJ,14.8,21.2,10.8,23.3,,11.0,18.3,5.5
2452,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV (310064),2014,Acute Care,Voluntary non-profit - Other,537.0,39.357791,-74.433942,NJ,15.0,18.7,9.6,23.5,,10.3,18.4,5.4
2453,INSPIRA MEDICAL CENTER ELMER (310069),2014,Acute Care,Voluntary non-profit - Private,133.0,39.588142,-75.179457,NJ,13.3,19.0,10.7,21.6,,10.5,18.1,5.1
2454,SAINT PETER'S UNIVERSITY HOSPITAL (310070),2014,Acute Care,Voluntary non-profit - Church,359.0,40.501846,-74.45913,NJ,16.7,19.0,11.1,25.7,,10.5,20.5,6.1
2455,JERSEY SHORE UNIVERSITY MEDICAL CENTER (310073),2014,Acute Care,Voluntary non-profit - Private,577.0,,,NJ,14.3,19.0,8.3,22.5,,8.4,16.3,5.7
2456,LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS (310074),2014,Acute Care,Voluntary non-profit - Private,311.0,40.716666,-74.049952,NJ,16.3,21.4,8.7,29.1,,12.1,19.3,6.3
2457,MONMOUTH MEDICAL CENTER (310075),2014,Acute Care,Voluntary non-profit - Private,329.0,40.295448,-73.983598,NJ,13.6,17.6,11.1,21.7,,11.0,17.5,5.5
2458,SAINT BARNABAS MEDICAL CENTER (310076),2014,Acute Care,Voluntary non-profit - Other,571.0,40.764045,-74.302334,NJ,13.6,17.3,10.3,23.5,,11.5,17.0,5.1
2459,INSPIRA MEDICAL CENTER WOODBURY (310081),2014,Acute Care,Voluntary non-profit - Private,256.0,39.843556,-75.149023,NJ,12.7,20.5,11.9,27.0,,11.6,18.8,5.9
2460,EAST ORANGE GENERAL HOSPITAL (310083),2014,Acute Care,Voluntary non-profit - Private,196.0,40.753707,-74.213333,NJ,10.4,21.1,7.3,26.5,,9.5,22.3,
2461,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS (310084),2014,Acute Care,Voluntary non-profit - Private,237.0,40.074178,-74.21735,NJ,13.8,20.1,10.5,27.0,,8.9,20.0,5.6
2462,KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV (310086),2014,Acute Care,Voluntary non-profit - Private,520.0,39.828853,-75.008799,NJ,16.7,18.8,10.8,25.9,,10.3,21.0,5.9
2463,MEMORIAL HOSPITAL OF SALEM COUNTY (310091),2014,Acute Care,Voluntary non-profit - Private,119.0,39.593404,-75.445855,NJ,16.3,18.7,10.2,25.7,,13.4,20.4,
2464,CAPITAL HEALTH SYSTEM-FULD CAMPUS (310092),2014,Acute Care,Voluntary non-profit - Private,185.0,40.235987,-74.752776,NJ,15.5,,11.8,26.8,,11.2,19.5,5.8
2465,"SAINT MICHAEL'S MEDICAL CENTER, INC (310096)",2014,Acute Care,Voluntary non-profit - Private,152.0,40.743034,-74.174503,NJ,14.4,24.3,8.7,24.2,,11.6,20.9,7.3
2466,JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY (310108),2014,Acute Care,Voluntary non-profit - Private,446.0,40.55787,-74.349499,NJ,16.8,18.9,13.7,24.1,,14.5,18.0,5.1
2467,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON (310110),2014,Acute Care,Voluntary non-profit - Private,184.0,,,NJ,16.4,19.8,11.2,24.7,,12.5,18.8,6.0
2468,CENTRASTATE MEDICAL CENTER (310111),2014,Acute Care,Voluntary non-profit - Private,259.0,40.23566,-74.312025,NJ,14.3,18.4,9.7,22.3,,10.5,17.7,7.4
2469,BAYSHORE COMMUNITY HOSPITAL (310112),2014,Acute Care,Proprietary,161.0,40.404203,-74.193354,NJ,15.0,18.6,11.2,25.8,,10.3,17.8,7.4
2470,SOUTHERN OCEAN MEDICAL CENTER (310113),2014,Acute Care,Voluntary non-profit - Private,156.0,39.721499,-74.287136,NJ,14.6,18.0,12.1,22.5,,10.7,16.1,5.1
2471,HACKETTSTOWN REGIONAL MEDICAL CENTER (310115),2014,Acute Care,Voluntary non-profit - Church,83.0,40.861646,-74.81378,NJ,13.8,17.8,9.9,25.4,,12.1,17.2,6.5
2472,MEADOWLANDS HOSPITAL MEDICAL CENTER (310118),2014,Acute Care,Proprietary,116.0,40.791805,-74.072099,NJ,14.7,,11.2,25.1,,11.9,20.7,
2473,UNIVERSITY HOSPITAL (310119),2014,Acute Care,Government - State,372.0,40.74095,-74.19213,NJ,15.5,19.0,10.8,25.9,,10.0,18.3,5.2
2474,UNM HOSPITAL (320001),2014,Acute Care,Voluntary non-profit - Other,557.0,35.087483,-106.618148,NM,16.1,18.0,11.4,22.5,,14.0,15.7,5.4
2475,ST VINCENT HOSPITAL (320002),2014,Acute Care,Voluntary non-profit - Private,201.0,35.657789,-105.946946,NM,13.7,17.7,12.2,18.5,,11.6,19.7,5.8
2476,ALTA VISTA REGIONAL HOSPITAL (320003),2014,Acute Care,Government - Hospital District or Authority,46.0,35.62215,-105.209851,NM,,,11.1,21.2,,13.2,17.5,
2477,GERALD CHAMPION REGIONAL MEDICAL CENTER (320004),2014,Acute Care,Voluntary non-profit - Private,106.0,32.926862,-105.933917,NM,17.2,,11.8,22.8,,13.1,16.3,5.0
2478,SAN JUAN REGIONAL MEDICAL CENTER (320005),2014,Acute Care,Voluntary non-profit - Private,188.0,36.724323,-108.215501,NM,15.0,15.6,14.7,22.6,,11.6,15.3,5.3
2479,EASTERN NEW MEXICO MEDICAL CENTER (320006),2014,Acute Care,Proprietary,162.0,33.4233,-104.527405,NM,16.5,18.1,12.6,22.7,,13.9,17.8,5.4
2480,LOVELACE MEDICAL CENTER (320009),2014,Acute Care,Voluntary non-profit - Private,287.0,35.085622,-106.639765,NM,16.3,14.6,11.2,20.2,,12.7,17.2,6.1
2481,PRESBYTERIAN ESPANOLA HOSPITAL (320011),2014,Acute Care,Voluntary non-profit - Private,60.0,35.997101,-106.086683,NM,,,11.4,22.2,,11.8,17.8,6.1
2482,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS (320013),2014,Acute Care,Voluntary non-profit - Private,38.0,,,NM,,,11.1,24.2,,14.8,17.4,5.5
2483,GILA REGIONAL MEDICAL CENTER (320016),2014,Acute Care,Government - Hospital District or Authority,58.0,32.795524,-108.260908,NM,,,11.7,22.0,,13.3,18.1,4.3
2484,LOVELACE WOMEN'S HOSPITAL (320017),2014,Acute Care,Government - State,164.0,35.131005,-106.591037,NM,,,10.6,21.9,,11.8,15.8,5.4
2485,MEMORIAL MEDICAL CENTER INC (320018),2014,Acute Care,Proprietary,235.0,32.291993,-106.735018,NM,14.3,16.7,13.6,21.3,,12.0,17.8,5.8
2486,PRESBYTERIAN HOSPITAL (320021),2014,Acute Care,Government - Hospital District or Authority,777.0,35.082295,-106.63453,NM,14.3,18.5,11.5,20.3,,14.2,15.3,4.1
2487,PLAINS REGIONAL MEDICAL CENTER (320022),2014,Acute Care,Government - Federal,106.0,34.42049,-103.231763,NM,15.3,17.9,14.1,22.1,,13.5,15.8,5.0
2488,ARTESIA GENERAL HOSPITAL (320030),2014,Acute Care,Government - Hospital District or Authority,45.0,32.848603,-104.412752,NM,,,11.6,22.1,,10.1,17.2,
2489,LOS ALAMOS MEDICAL CENTER (320033),2014,Acute Care,Proprietary,44.0,35.882165,-106.319765,NM,,,11.7,20.6,,10.6,17.5,5.6
2490,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES (320038),2014,Acute Care,Voluntary non-profit - Private,56.0,35.5075,-108.727248,NM,,,12.5,22.3,,11.5,16.4,5.8
2491,MESCALERO PHS INDIAN HOSPITAL (320058),2014,Acute Care,Government - Federal,8.0,,,NM,,,,,,,17.0,
2492,NORTHERN NAVAJO MEDICAL CENTER (320059),2014,Acute Care,Government - Federal,60.0,,,NM,,,11.7,23.9,,12.5,15.5,
2493,VA NEW MEXICO HEALTHCARE SYSTEM (32005F),2014,Acute Care (VA),Government - Federal,,,,,14.2,18.8,13.0,25.4,,10.4,19.4,
2494,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER (320060),2014,Acute Care,Government - Federal,27.0,,,NM,,,,,,11.6,16.8,
2495,GALLUP INDIAN MEDICAL CENTER (320061),2014,Acute Care,Government - Federal,76.0,35.508444,-108.730226,NM,,,10.5,23.4,,12.5,18.7,
2496,CROWNPOINT HEALTHCARE FACILITY (320062),2014,Acute Care,Government - Federal,20.0,,,NM,,,,,,10.3,16.2,
2497,CARLSBAD MEDICAL CENTER (320063),2014,Acute Care,Proprietary,102.0,32.44184,-104.258642,NM,14.8,17.6,10.5,21.4,,12.7,18.0,5.2
2498,LEA REGIONAL MEDICAL CENTER (320065),2014,Acute Care,Proprietary,133.0,32.765988,-103.186034,NM,,,11.7,25.7,,11.8,15.7,5.8
2499,GUADALUPE COUNTY HOSPITAL (320067),2014,Acute Care,Government - Local,10.0,34.929504,-104.694224,NM,,,,,,12.6,17.8,
2500,LOVELACE WESTSIDE HOSPITAL (320074),2014,Acute Care,Government - Federal,74.0,35.207508,-106.675974,NM,,,11.3,22.8,,9.0,16.8,4.9
2501,ROOSEVELT GENERAL HOSPITAL (320084),2014,Acute Care,Government - State,22.0,34.165665,-103.368199,NM,,,14.3,23.4,,14.0,17.9,
2502,MOUNTAIN VIEW REGIONAL MEDICAL CENTER (320085),2014,Acute Care,Proprietary,162.0,32.322639,-106.728297,NM,15.7,17.7,15.7,23.9,,12.6,20.1,6.2
2503,LOVELACE REGIONAL HOSPITAL - ROSWELL (320086),2014,Acute Care,Proprietary,26.0,33.415976,-104.521754,NM,,,10.3,22.3,,11.6,17.3,5.0
2504,SIERRA VISTA HOSPITAL (321300),2014,Critical Access,Proprietary,15.0,33.139104,-107.241975,NM,,,,,,11.5,16.6,
2505,SOCORRO GENERAL HOSPITAL (321301),2014,Critical Access,Proprietary,24.0,34.038721,-106.912014,NM,,,,23.4,,12.4,15.9,
2506,DR DAN C TRIGG MEMORIAL HOSPITAL (321302),2014,Critical Access,Voluntary non-profit - Private,25.0,35.156231,-103.723446,NM,,,,,,13.0,17.1,
2507,NOR-LEA HOSPITAL DISTRICT (321305),2014,Critical Access,Government - Hospital District or Authority,25.0,32.96479,-103.348637,NM,,,10.3,21.0,,14.0,17.9,
2508,LINCOLN COUNTY MEDICAL CENTER (321306),2014,Critical Access,Voluntary non-profit - Private,25.0,33.323052,-105.631136,NM,,,12.1,22.3,,14.4,18.4,
2509,MINERS' COLFAX MEDICAL CENTER (321307),2014,Critical Access,Government - State,66.0,36.863548,-104.443184,NM,,,9.5,23.1,,12.8,16.9,
2510,MIMBRES MEMORIAL HOSPITAL (321309),2014,Critical Access,Proprietary,25.0,,,NM,,,14.3,25.0,,13.2,17.8,
2511,ALBANY MEMORIAL HOSPITAL (330003),2014,Acute Care,Voluntary non-profit - Private,110.0,42.674685,-73.748861,NY,15.5,19.2,14.8,24.2,,13.8,18.6,4.5
2512,HEALTH ALLIANCE HOSPITAL BROADWAY CAMPUS (330004),2014,Acute Care,Voluntary non-profit - Private,146.0,41.92635,-73.995402,NY,16.2,19.1,13.1,25.8,,13.8,19.2,5.7
2513,KALEIDA HEALTH (330005),2014,Acute Care,Voluntary non-profit - Private,1089.0,42.900329,-78.864937,NY,15.2,20.6,12.1,24.4,,13.2,17.2,5.1
2514,ST JOSEPH'S MEDICAL CENTER (330006),2014,Acute Care,Voluntary non-profit - Private,411.0,40.929614,-73.897003,NY,13.4,18.0,11.9,25.9,,11.0,18.9,5.3
2515,WYOMING COUNTY COMMUNITY HOSPITAL (330008),2014,Acute Care,Government - Local,214.0,42.753447,-78.132533,NY,,,12.2,24.0,,13.8,17.8,6.1
2516,BRONX-LEBANON HOSPITAL CENTER (330009),2014,Acute Care,Proprietary,570.0,40.83175,-73.903756,NY,14.6,18.9,10.7,25.4,,12.7,22.1,
2517,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC (330011)",2014,Acute Care,Voluntary non-profit - Private,158.0,42.09264,-75.935558,NY,13.8,19.4,13.4,23.5,,13.2,17.4,5.1
2518,ALBANY MEDICAL CENTER HOSPITAL (330013),2014,Acute Care,Voluntary non-profit - Private,736.0,42.653254,-73.77386,NY,15.9,18.1,9.3,23.5,,9.8,18.2,4.7
2519,JAMAICA HOSPITAL MEDICAL CENTER (330014),2014,Acute Care,Voluntary non-profit - Private,608.0,40.701412,-73.816302,NY,15.1,21.0,10.4,25.6,,13.9,18.9,
2520,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC. (330019)",2014,Acute Care,Voluntary non-profit - Private,134.0,40.613783,-73.948321,NY,15.6,19.6,11.0,26.5,,12.3,19.3,
2521,VASSAR BROTHERS MEDICAL CENTER (330023),2014,Acute Care,Voluntary non-profit - Private,361.0,41.694567,-73.935723,NY,14.4,18.0,11.1,25.1,,11.7,20.4,5.1
2522,MOUNT SINAI HOSPITAL (330024),2014,Acute Care,Voluntary non-profit - Private,1166.0,,,NY,12.8,19.9,9.3,24.4,,9.8,19.8,4.6
2523,NASSAU UNIVERSITY MEDICAL CENTER (330027),2014,Acute Care,Government - Local,710.0,40.725298,-73.554413,NY,15.8,19.5,13.9,29.0,,13.4,21.6,
2524,RICHMOND UNIVERSITY MEDICAL CENTER (330028),2014,Acute Care,Voluntary non-profit - Private,315.0,40.63551,-74.106693,NY,14.6,19.7,10.6,25.6,,12.5,18.4,5.9
2525,NEWARK-WAYNE COMMUNITY HOSPITAL (330030),2014,Acute Care,Voluntary non-profit - Private,300.0,43.059959,-77.100736,NY,13.6,18.3,13.1,24.1,,12.7,18.8,5.4
2526,"CHENANGO MEMORIAL HOSPITAL, INC (330033)",2014,Acute Care,Voluntary non-profit - Private,138.0,42.542038,-75.524724,NY,16.0,17.5,12.0,23.0,,12.2,16.8,5.1
