,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
1626,HARDTNER MEDICAL CENTER (191315),2019,Critical Access,Government - Hospital District or Authority,35.0,31.85976,-92.27602,LA,,,8.4,,10.7,13.6
1627,BIENVILLE MEDICAL CENTER (191320),2019,Critical Access,Proprietary,23.0,32.553085,-92.915777,LA,,,,,,17.6
1628,ABROM KAPLAN MEMORIAL HOSPITAL (191322),2019,Critical Access,Government - Hospital District or Authority,35.0,30.007591,-92.297337,LA,,,8.6,,10.7,15.2
1629,OCHSNER ST ANNE GENERAL HOSPITAL (191324),2019,Critical Access,Voluntary non-profit - Private,35.0,29.703447,-90.564133,LA,,,9.3,,10.7,14.3
1630,ST JOSEPH HOSPITAL (200001),2019,Acute Care,Voluntary non-profit - Church,107.0,44.81453,-68.77126,ME,12.5,,7.7,12.5,12.5,14.9
1631,NORTHERN LIGHT HEALTH (200008),2019,Acute Care,Voluntary non-profit - Church,115.0,43.652088,-70.265209,ME,14.4,,8.7,14.5,11.8,16.7
1632,MAINE MEDICAL CENTER (200009),2019,Acute Care,Voluntary non-profit - Private,630.0,43.652193,-70.275104,ME,12.7,3.1,7.9,18.5,12.7,19.5
1633,NORTHERN LIGHT A R GOULD HOSPITAL (200018),2019,Acute Care,Voluntary non-profit - Private,126.0,,,ME,11.1,,9.9,14.4,10.0,13.6
1634,SOUTHERN MAINE HEALTH CARE (200019),2019,Acute Care,Voluntary non-profit - Private,214.0,43.478436,-70.492174,ME,14.4,,9.0,14.6,14.5,17.5
1635,YORK HOSPITAL (200020),2019,Acute Care,Voluntary non-profit - Private,63.0,43.142799,-70.651094,ME,13.6,,9.1,12.9,13.3,10.2
1636,MID COAST HOSPITAL (200021),2019,Acute Care,Voluntary non-profit - Private,92.0,43.905661,-69.892006,ME,15.2,,7.9,15.9,15.6,15.0
1637,CENTRAL MAINE MEDICAL CENTER (200024),2019,Acute Care,Voluntary non-profit - Private,233.0,44.100976,-70.214557,ME,10.8,3.1,11.9,15.3,14.2,14.9
1638,CARY MEDICAL CENTER (200031),2019,Acute Care,Government - Local,56.0,46.878237,-68.009639,ME,14.0,,9.0,16.4,14.1,20.9
1639,EASTERN MAINE MEDICAL CENTER (200033),2019,Acute Care,Voluntary non-profit - Private,356.0,,,ME,11.9,3.9,9.1,16.5,12.4,15.7
1640,ST MARY'S REGIONAL MEDICAL CENTER (200034),2019,Acute Care,Voluntary non-profit - Private,311.0,44.101414,-70.198216,ME,12.6,,7.7,13.7,12.3,14.8
1641,FRANKLIN MEMORIAL HOSPITAL (200037),2019,Acute Care,Voluntary non-profit - Private,48.0,44.625115,-70.161244,ME,14.7,,8.9,13.7,11.5,15.3
1642,MAINEGENERAL MEDICAL CENTER (200039),2019,Acute Care,Voluntary non-profit - Other,206.0,44.360853,-69.785718,ME,14.0,,9.4,13.6,11.9,14.1
1643,TOGUS VA MEDICAL CENTER (20003F),2019,Acute Care (VA),Government - Federal,,,,,12.1,,,,8.9,12.6
1644,NORTHERN LIGHT INLAND HOSPITAL (200041),2019,Acute Care,Voluntary non-profit - Private,41.0,44.54269,-69.661405,ME,,,9.2,15.1,13.8,15.3
1645,NORTHERN LIGHT MAINE COAST HOSPITAL (200050),2019,Acute Care,Voluntary non-profit - Other,47.0,44.546574,-68.415526,ME,12.6,,8.4,15.2,11.4,15.2
1646,NORTHERN MAINE MEDICAL CENTER (200052),2019,Acute Care,Voluntary non-profit - Private,94.0,47.265068,-68.591177,ME,13.6,,9.0,14.2,11.3,13.6
1647,PENOBSCOT BAY MEDICAL CENTER (200063),2019,Acute Care,Voluntary non-profit - Private,165.0,44.144434,-69.086537,ME,15.8,,9.8,13.1,12.1,14.6
1648,NORTHERN LIGHT BLUE HILL MEMORIAL HOSPITAL (201300),2019,Critical Access,Voluntary non-profit - Private,25.0,44.41142,-68.586213,ME,,,8.2,,12.0,13.5
1649,LINCOLN HEALTH (201302),2019,Critical Access,Voluntary non-profit - Private,62.0,44.026199,-69.527164,ME,,,8.1,15.0,12.9,14.4
1650,PENOBSCOT VALLEY HOSPITAL (201303),2019,Critical Access,Voluntary non-profit - Private,25.0,45.348733,-68.516258,ME,13.4,,8.2,14.6,13.0,16.2
1651,MOUNT DESERT ISLAND HOSPITAL (201304),2019,Critical Access,Voluntary non-profit - Private,25.0,44.384369,-68.202331,ME,,,,13.5,11.2,14.6
1652,CALAIS REGIONAL HOSPITAL (201305),2019,Critical Access,Voluntary non-profit - Private,25.0,45.180639,-67.270521,ME,12.4,,8.0,13.3,12.1,14.4
1653,RUMFORD  HOSPITAL (201306),2019,Critical Access,Voluntary non-profit - Private,25.0,44.551721,-70.557171,ME,,,11.0,13.2,11.2,18.3
1654,MILLINOCKET REGIONAL HOSPITAL (201307),2019,Critical Access,Voluntary non-profit - Private,25.0,45.652729,-68.715076,ME,12.6,,8.4,,12.2,14.9
1655,HOULTON REGIONAL HOSPITAL (201308),2019,Critical Access,Voluntary non-profit - Private,32.0,46.132962,-67.842644,ME,,,10.0,13.3,11.7,16.0
1656,MAYO REGIONAL HOSPITAL (201309),2019,Critical Access,Government - Hospital District or Authority,25.0,45.186556,-69.237798,ME,13.0,,9.6,15.0,12.1,15.4
1657,BRIDGTON HOSPITAL (201310),2019,Critical Access,Voluntary non-profit - Private,25.0,44.047249,-70.712777,ME,,,9.1,16.3,11.0,15.8
1658,DOWN EAST COMMUNITY HOSPITAL (201311),2019,Critical Access,Voluntary non-profit - Private,25.0,44.713411,-67.477203,ME,13.9,,8.2,,11.2,16.5
1659,WALDO COUNTY GENERAL HOSPITAL (201312),2019,Critical Access,Voluntary non-profit - Private,28.0,44.412759,-68.995102,ME,13.0,,8.1,14.0,12.5,16.0
1660,SEBASTICOOK VALLEY HEALTH (201313),2019,Critical Access,Voluntary non-profit - Private,25.0,44.790826,-69.371269,ME,12.9,,9.6,15.2,13.0,15.9
1661,REDINGTON FAIRVIEW GENERAL HOSPITAL (201314),2019,Critical Access,Voluntary non-profit - Other,25.0,44.758336,-69.713495,ME,12.2,,10.4,13.5,11.1,14.0
1662,STEPHENS MEMORIAL HOSPITAL (201315),2019,Critical Access,Voluntary non-profit - Private,25.0,44.209539,-70.532978,ME,,,11.4,12.9,12.8,14.8
1663,MERITUS MEDICAL CENTER (210001),2019,Acute Care,Voluntary non-profit - Private,258.0,39.623764,-77.683344,MD,14.2,,7.8,11.8,11.6,15.9
1664,UNIVERSITY OF MARYLAND MEDICAL CENTER (210002),2019,Acute Care,Voluntary non-profit - Private,764.0,39.28747,-76.623577,MD,13.2,1.8,7.2,21.4,11.0,15.9
1665,UNIVERSITY OF MD PRINCE GEORGE'S HOSPITAL CTR (210003),2019,Acute Care,Voluntary non-profit - Private,273.0,38.930923,-76.922638,MD,13.2,2.6,8.3,13.6,10.6,13.5
1666,HOLY CROSS HOSPITAL (210004),2019,Acute Care,Voluntary non-profit - Church,443.0,39.016055,-77.034198,MD,11.3,,9.2,12.4,9.3,15.8
1667,FREDERICK MEMORIAL HOSPITAL (210005),2019,Acute Care,Voluntary non-profit - Private,277.0,39.423745,-77.41407,MD,13.5,,9.6,14.1,11.0,15.8
1668,UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL (210006),2019,Acute Care,Voluntary non-profit - Private,87.0,39.54348,-76.091528,MD,13.1,,8.5,15.0,14.1,16.4
1669,MERCY MEDICAL CENTER INC (210008),2019,Acute Care,Voluntary non-profit - Church,254.0,39.29255,-76.61355,MD,12.3,,7.8,11.6,8.3,17.9
1670,"JOHNS HOPKINS HOSPITAL, THE (210009)",2019,Acute Care,Voluntary non-profit - Private,984.0,39.297502,-76.590807,MD,11.0,3.7,7.8,13.0,9.3,14.6
1671,SAINT AGNES HOSPITAL (210011),2019,Acute Care,Voluntary non-profit - Church,290.0,39.272628,-76.670816,MD,15.3,,8.1,13.4,10.9,18.7
1672,SINAI HOSPITAL OF BALTIMORE (210012),2019,Acute Care,Voluntary non-profit - Other,440.0,39.354645,-76.66233,MD,14.8,3.3,9.4,15.9,9.7,15.5
1673,BON SECOURS HOSPITAL (210013),2019,Acute Care,Voluntary non-profit - Private,89.0,39.288027,-76.648633,MD,,,8.3,,12.4,15.7
1674,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER (210015),2019,Acute Care,Voluntary non-profit - Private,364.0,39.350335,-76.481012,MD,12.6,,7.5,15.1,10.3,16.5
1675,ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL (210016),2019,Acute Care,Voluntary non-profit - Private,216.0,39.0506,-76.956948,MD,12.3,2.7,8.1,14.5,11.8,14.8
1676,GARRETT COUNTY MEMORIAL HOSPITAL (210017),2019,Acute Care,Voluntary non-profit - Private,36.0,39.413325,-79.40273,MD,12.8,,6.9,13.9,11.7,17.2
1677,MEDSTAR MONTGOMERY MEDICAL CENTER (210018),2019,Acute Care,Voluntary non-profit - Private,126.0,39.153858,-77.056819,MD,13.9,,8.7,11.0,10.0,16.7
1678,PENINSULA REGIONAL MEDICAL CENTER (210019),2019,Acute Care,Voluntary non-profit - Private,298.0,38.363068,-75.599489,MD,12.1,3.1,9.7,11.6,10.9,14.3
1679,SUBURBAN HOSPITAL (210022),2019,Acute Care,Voluntary non-profit - Private,229.0,38.997251,-77.10922,MD,10.6,2.6,9.4,13.3,10.8,15.7
1680,ANNE ARUNDEL MEDICAL CENTER (210023),2019,Acute Care,Voluntary non-profit - Private,376.0,38.991115,-76.536058,MD,14.3,,12.1,13.9,12.8,17.5
1681,MEDSTAR UNION MEMORIAL HOSPITAL (210024),2019,Acute Care,Voluntary non-profit - Other,208.0,39.330382,-76.61438,MD,12.4,3.0,7.1,13.7,9.3,13.0
1682,WESTERN MARYLAND REGIONAL MEDICAL CENTER (210027),2019,Acute Care,Voluntary non-profit - Private,226.0,39.650091,-78.732777,MD,12.2,2.2,9.0,11.6,11.5,16.3
1683,MEDSTAR SAINT MARY'S HOSPITAL (210028),2019,Acute Care,Voluntary non-profit - Private,95.0,38.299239,-76.640383,MD,12.7,,9.4,13.0,13.9,17.1
1684,JOHNS HOPKINS BAYVIEW MEDICAL CENTER (210029),2019,Acute Care,Voluntary non-profit - Private,441.0,39.287285,-76.552134,MD,12.2,,6.4,15.9,9.0,16.2
1685,UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN (210030),2019,Acute Care,Voluntary non-profit - Private,29.0,39.216845,-76.064492,MD,16.3,,8.5,13.8,12.5,18.4
1686,UNION HOSPITAL OF CECIL COUNTY (210032),2019,Acute Care,Voluntary non-profit - Private,120.0,39.60801,-75.831028,MD,12.9,,9.6,15.0,12.2,18.1
1687,CARROLL HOSPITAL CENTER (210033),2019,Acute Care,Voluntary non-profit - Private,161.0,39.556135,-76.991655,MD,14.1,,11.0,16.4,15.6,19.9
1688,MEDSTAR HARBOR HOSPITAL (210034),2019,Acute Care,Voluntary non-profit - Private,144.0,39.251349,-76.615048,MD,13.1,,8.1,13.6,9.3,15.3
1689,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER (210035),2019,Acute Care,Voluntary non-profit - Private,106.0,38.529266,-76.970818,MD,12.9,,10.2,13.1,12.2,16.7
1690,UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON (210037),2019,Acute Care,Voluntary non-profit - Private,169.0,38.769655,-76.075825,MD,14.4,,10.9,15.4,12.0,14.9
1691,UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS (210038),2019,Acute Care,Voluntary non-profit - Other,177.0,39.300389,-76.62086,MD,,,7.6,13.2,8.0,14.9
1692,CALVERTHEALTH MEDICAL CENTER (210039),2019,Acute Care,Voluntary non-profit - Other,92.0,38.558601,-76.597788,MD,11.7,,7.3,12.0,10.1,13.0
1693,NORTHWEST HOSPITAL CENTER (210040),2019,Acute Care,Voluntary non-profit - Private,242.0,39.359208,-76.782944,MD,13.4,,8.9,11.4,12.2,18.1
1694,UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER (210043),2019,Acute Care,Voluntary non-profit - Other,298.0,39.138784,-76.622247,MD,13.5,,10.6,16.7,12.7,19.5
1695,GREATER BALTIMORE MEDICAL CENTER (210044),2019,Acute Care,Voluntary non-profit - Private,329.0,39.393497,-76.628092,MD,14.1,,7.6,12.8,11.4,15.9
1696,EDWARD MCCREADY MEMORIAL HOSPITAL (210045),2019,Acute Care,Voluntary non-profit - Private,7.0,37.996011,-75.852366,MD,,,,,,16.3
1697,HOWARD COUNTY GENERAL HOSPITAL (210048),2019,Acute Care,Voluntary non-profit - Private,247.0,39.214405,-76.887198,MD,11.3,,6.8,11.3,9.8,14.5
1698,UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER (210049),2019,Acute Care,Voluntary non-profit - Other,171.0,39.519469,-76.348354,MD,12.0,,12.3,14.5,11.7,17.1
1699,DOCTORS'  COMMUNITY HOSPITAL (210051),2019,Acute Care,Proprietary,198.0,38.980428,-76.864641,MD,13.3,,6.9,12.3,7.8,12.3
1700,UNIVERSITY OF MD LAUREL REGIONAL HOSPITAL (210055),2019,Acute Care,Voluntary non-profit - Private,137.0,39.084742,-76.881591,MD,,,8.8,12.1,13.6,19.8
1701,MEDSTAR GOOD SAMARITAN HOSPITAL (210056),2019,Acute Care,Voluntary non-profit - Other,260.0,39.359301,-76.588684,MD,12.5,,6.7,12.5,8.7,17.0
1702,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER (210057),2019,Acute Care,Voluntary non-profit - Church,346.0,39.098046,-77.201027,MD,11.3,,8.4,11.8,12.2,15.2
1703,FORT WASHINGTON HOSPITAL (210060),2019,Acute Care,Voluntary non-profit - Other,30.0,38.728813,-76.991588,MD,,,7.9,13.0,10.4,14.3
1704,ATLANTIC GENERAL HOSPITAL (210061),2019,Acute Care,Voluntary non-profit - Private,51.0,38.338604,-75.210472,MD,13.7,,7.7,14.7,11.0,15.0
1705,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER (210062),2019,Acute Care,Voluntary non-profit - Private,206.0,38.75025,-76.874997,MD,12.3,,7.7,12.7,10.3,17.0
1706,UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER (210063),2019,Acute Care,Voluntary non-profit - Private,250.0,39.388123,-76.613278,MD,11.3,1.8,9.2,15.3,12.0,16.5
1707,HOLY CROSS GERMANTOWN HOSPITAL (210065),2019,Acute Care,Voluntary non-profit - Private,83.0,39.179034,-77.242442,MD,,,11.2,12.1,9.2,15.3
1708,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE (21020F),2019,Acute Care (VA),Government - Federal,,,,,11.9,,,,9.1,12.8
1709,HEALTH ALLIANCE - CLINTON HOSPITAL (220001),2019,Acute Care,Voluntary non-profit - Other,125.0,42.541193,-71.763033,MA,12.9,,6.0,13.6,11.1,16.6
1710,MOUNT AUBURN HOSPITAL (220002),2019,Acute Care,Voluntary non-profit - Private,202.0,42.374917,-71.134107,MA,12.5,2.0,6.3,9.9,10.1,11.3
1711,STURDY MEMORIAL HOSPITAL (220008),2019,Acute Care,Voluntary non-profit - Other,129.0,41.942695,-71.275279,MA,12.6,,9.1,13.7,12.1,13.3
1712,LAWRENCE GENERAL HOSPITAL (220010),2019,Acute Care,Voluntary non-profit - Private,188.0,,,MA,12.8,,7.2,13.0,11.2,13.7
1713,CAMBRIDGE HEALTH ALLIANCE (220011),2019,Acute Care,Government - Local,257.0,42.374186,-71.104455,MA,12.7,,6.5,13.2,9.4,14.3
1714,CAPE COD HOSPITAL (220012),2019,Acute Care,Voluntary non-profit - Private,259.0,41.652823,-70.274847,MA,10.8,2.3,5.6,11.7,10.5,14.6
1715,"COOLEY DICKINSON HOSPITAL INC,THE (220015)",2019,Acute Care,Voluntary non-profit - Private,140.0,42.331626,-72.653372,MA,12.5,,7.8,11.6,11.7,14.8
1716,BAYSTATE FRANKLIN MEDICAL CENTER (220016),2019,Acute Care,Voluntary non-profit - Private,89.0,42.595606,-72.591287,MA,11.7,,6.8,15.4,11.5,14.5
1717,CARNEY HOSPITAL (220017),2019,Acute Care,Proprietary,134.0,42.278108,-71.066442,MA,12.2,,9.0,14.2,11.3,15.3
1718,HARRINGTON MEMORIAL HOSPITAL-1 (220019),2019,Acute Care,Voluntary non-profit - Private,125.0,42.077182,-72.042065,MA,12.9,,7.4,15.8,13.1,13.5
1719,SAINT ANNE'S HOSPITAL (220020),2019,Acute Care,Proprietary,182.0,41.693321,-71.163642,MA,12.6,,6.3,13.3,9.7,14.2
1720,HOLYOKE MEDICAL CENTER (220024),2019,Acute Care,Voluntary non-profit - Private,191.0,42.199616,-72.627087,MA,12.2,,8.5,12.3,12.3,14.9
1721,ANNA JAQUES HOSPITAL (220029),2019,Acute Care,Voluntary non-profit - Private,138.0,42.814358,-70.889783,MA,13.5,,5.9,12.4,11.3,13.1
1722,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS (220030),2019,Acute Care,Voluntary non-profit - Other,72.0,42.168727,-72.341031,MA,12.0,,5.9,14.2,10.5,12.3
1723,BOSTON MEDICAL CENTER CORPORATION- (220031),2019,Acute Care,Voluntary non-profit - Private,438.0,42.33481,-71.07448,MA,12.8,3.6,7.5,15.7,7.1,14.2
1724,BEVERLY HOSPITAL CORPORATION (220033),2019,Acute Care,Voluntary non-profit - Private,360.0,42.567592,-70.876201,MA,13.2,,5.9,14.4,9.9,14.6
1725,NORTH SHORE MEDICAL CENTER - (220035),2019,Acute Care,Voluntary non-profit - Private,376.0,42.511747,-70.907251,MA,12.5,2.6,5.4,11.0,8.4,13.3
1726,ST ELIZABETH'S MEDICAL CENTER (220036),2019,Acute Care,Proprietary,270.0,42.349773,-71.14812,MA,12.6,2.4,8.6,14.2,9.4,12.8
1727,BERKSHIRE MEDICAL CENTER INC - 1 (220046),2019,Acute Care,Voluntary non-profit - Other,271.0,42.458748,-73.249004,MA,13.2,,8.1,13.0,12.0,15.5
1728,MARLBOROUGH HOSPITAL (220049),2019,Acute Care,Voluntary non-profit - Private,67.0,42.354317,-71.553864,MA,13.2,,9.6,14.3,10.3,14.1
1729,SIGNATURE HEALTHCARE BROCKTON HOSPITAL (220052),2019,Acute Care,Voluntary non-profit - Other,214.0,42.08621,-70.991083,MA,13.2,,5.8,14.0,9.6,14.3
1730,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH (220060),2019,Acute Care,Voluntary non-profit - Private,160.0,41.944246,-70.64472,MA,11.9,,7.0,11.6,9.6,12.0
1731,LOWELL GENERAL HOSPITAL (220063),2019,Acute Care,Voluntary non-profit - Private,353.0,42.646307,-71.341323,MA,13.1,,6.2,13.5,10.6,15.6
1732,BAYSTATE NOBLE HOSPITAL (220065),2019,Acute Care,Voluntary non-profit - Private,95.0,42.117789,-72.760397,MA,12.9,,8.7,12.8,9.6,13.8
1733,MERCY MEDICAL CTR (220066),2019,Acute Care,Voluntary non-profit - Private,338.0,42.115878,-72.595442,MA,13.3,,9.9,11.4,11.5,18.1
1734,MELROSEWAKEFIELD HEALTHCARE (220070),2019,Acute Care,Voluntary non-profit - Private,251.0,42.460278,-71.061993,MA,13.5,,9.1,13.5,11.5,16.5
1735,MASSACHUSETTS GENERAL HOSPITAL (220071),2019,Acute Care,Voluntary non-profit - Private,1002.0,42.3624,-71.068777,MA,10.2,2.0,6.7,15.0,7.7,13.0
1736,MORTON HOSPITAL (220073),2019,Acute Care,Proprietary,124.0,41.905583,-71.09435,MA,13.2,,9.0,13.2,11.2,16.4
1737,"SOUTHCOAST HOSPITAL GROUP, INC (220074)",2019,Acute Care,Voluntary non-profit - Private,842.0,41.710522,-71.146439,MA,11.7,2.6,6.3,13.4,10.8,15.9
1738,BAYSTATE MEDICAL CENTER (220077),2019,Acute Care,Voluntary non-profit - Private,715.0,42.121712,-72.605956,MA,11.1,2.3,8.2,13.8,9.8,14.9
1739,HOLY FAMILY HOSPITAL (220080),2019,Acute Care,Proprietary,304.0,42.725829,-71.169618,MA,13.6,,8.5,13.1,11.5,15.1
1740,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM (220083),2019,Acute Care,Voluntary non-profit - Private,58.0,42.277574,-71.237358,MA,13.2,,7.3,13.2,8.9,11.4
1741,EMERSON HOSPITAL - (220084),2019,Acute Care,Voluntary non-profit - Private,164.0,42.452628,-71.377231,MA,13.1,,6.9,11.6,9.7,15.4
1742,BETH ISRAEL DEACONESS MEDICAL CENTER (220086),2019,Acute Care,Voluntary non-profit - Private,677.0,42.340575,-71.105504,MA,11.1,2.2,7.8,13.4,8.6,11.3
1743,MILFORD REGIONAL MEDICAL CENTER (220090),2019,Acute Care,Voluntary non-profit - Other,139.0,42.132835,-71.529014,MA,12.0,,6.7,14.1,11.6,10.7
1744,HEYWOOD HOSPITAL - (220095),2019,Acute Care,Voluntary non-profit - Private,138.0,42.586565,-71.986165,MA,12.3,,8.8,12.5,11.7,15.7
1745,NASHOBA VALLEY MEDICAL CENTER (220098),2019,Acute Care,Proprietary,70.0,42.576412,-71.573053,MA,,,8.0,14.5,10.7,13.2
1746,SOUTH SHORE HOSPITAL (220100),2019,Acute Care,Voluntary non-profit - Private,363.0,42.17472,-70.954075,MA,11.7,,7.6,12.8,9.5,14.1
1747,NEWTON-WELLESLEY HOSPITAL (220101),2019,Acute Care,Voluntary non-profit - Other,272.0,42.332339,-71.246592,MA,11.4,,7.3,11.0,9.3,9.8
1748,WINCHESTER HOSPITAL (220105),2019,Acute Care,Voluntary non-profit - Private,201.0,42.465496,-71.121408,MA,11.4,,5.8,12.0,9.6,12.1
1749,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC (220108),2019,Acute Care,Government - Federal,93.0,42.252352,-71.075213,MA,11.8,,6.3,12.7,10.5,10.2
1750,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN (22010F),2019,Acute Care (VA),Government - Federal,,,,,12.4,,,,7.2,13.0
1751,BRIGHAM AND WOMEN'S HOSPITAL (220110),2019,Acute Care,Voluntary non-profit - Private,781.0,42.335954,-71.107661,MA,10.3,2.0,6.2,15.2,8.1,12.0
1752,GOOD SAMARITAN MEDICAL CENTER (220111),2019,Acute Care,Proprietary,253.0,42.09707,-71.065645,MA,11.7,,7.1,13.5,11.7,14.9
1753,TUFTS MEDICAL CENTER (220116),2019,Acute Care,Voluntary non-profit - Private,388.0,42.349486,-71.063693,MA,13.3,2.9,8.8,14.6,10.2,15.2
1754,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL (220119),2019,Acute Care,Voluntary non-profit - Private,158.0,42.300886,-71.127203,MA,11.4,,8.0,12.4,8.9,10.8
1755,NORWOOD HOSPITAL (220126),2019,Acute Care,Proprietary,233.0,42.189462,-71.20264,MA,12.0,,7.9,12.9,11.2,17.2
1756,FALMOUTH HOSPITAL (220135),2019,Acute Care,Voluntary non-profit - Private,92.0,41.564962,-70.621126,MA,10.8,,7.6,11.9,9.8,11.5
1757,UMASS MEMORIAL MEDICAL CENTER INC (220163),2019,Acute Care,Voluntary non-profit - Private,652.0,42.27851,-71.759079,MA,13.0,1.9,7.7,15.8,9.6,14.1
1758,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON (220171)",2019,Acute Care,Voluntary non-profit - Private,344.0,42.486578,-71.20563,MA,11.0,2.1,5.6,12.9,9.1,12.3
1759,METROWEST MEDICAL CENTER (220175),2019,Acute Care,Voluntary non-profit - Private,285.0,42.28427,-71.419754,MA,12.8,,7.8,16.1,9.5,14.6
1760,ST VINCENT HOSPITAL (220176),2019,Acute Care,Proprietary,274.0,42.265971,-71.79549,MA,12.5,3.9,7.6,13.6,10.9,17.4
1761,NANTUCKET COTTAGE HOSPITAL (220177),2019,Acute Care,Voluntary non-profit - Private,17.0,41.275542,-70.100261,MA,,,,,13.4,14.3
1762,MARTHA'S VINEYARD HOSPITAL INC (221300),2019,Critical Access,Voluntary non-profit - Private,24.0,,,MA,,,7.7,,11.1,13.2
1763,FAIRVIEW HOSPITAL (221302),2019,Critical Access,Voluntary non-profit - Private,24.0,42.191982,-73.372523,MA,,,10.2,,11.6,14.1
1764,ATHOL MEMORIAL HOSPITAL (221303),2019,Critical Access,Voluntary non-profit - Private,24.0,42.586273,-72.208748,MA,,,8.6,,11.7,15.5
1765,ST MARY MERCY HOSPITAL (230002),2019,Acute Care,Voluntary non-profit - Private,301.0,42.39657,-83.404577,MI,11.3,,8.1,15.1,10.9,14.4
1766,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL (230003),2019,Acute Care,Voluntary non-profit - Private,57.0,42.819539,-85.988129,MI,,,7.6,,10.7,14.9
1767,PROMEDICA BIXBY HOSPITAL (230005),2019,Acute Care,Voluntary non-profit - Private,80.0,41.912713,-84.049555,MI,13.5,,7.4,14.1,10.8,15.8
1768,THREE RIVERS HEALTH (230015),2019,Acute Care,Government - Hospital District or Authority,60.0,41.934946,-85.647048,MI,,,8.1,,11.1,17.8
1769,BRONSON METHODIST HOSPITAL (230017),2019,Acute Care,Voluntary non-profit - Private,407.0,42.286165,-85.581333,MI,13.5,3.4,7.6,13.6,14.4,17.1
1770,PROVIDENCE - PROVIDENCE PARK HOSPITAL (230019),2019,Acute Care,Voluntary non-profit - Church,584.0,42.459196,-83.205163,MI,12.5,3.1,6.7,10.5,8.6,13.1
1771,BEAUMONT HOSPITAL - DEARBORN (230020),2019,Acute Care,Voluntary non-profit - Private,595.0,42.291912,-83.211951,MI,11.6,1.9,7.2,13.4,8.3,11.8
1772,"LAKELAND HOSPITAL, ST JOSEPH (230021)",2019,Acute Care,Voluntary non-profit - Private,302.0,42.089742,-86.477194,MI,12.5,2.7,8.3,12.0,13.1,18.4
1773,PROMEDICA COLDWATER REGIONAL HOSPITAL (230022),2019,Acute Care,Government - Local,87.0,41.938969,-84.990585,MI,,,9.5,13.5,14.8,15.9
1774,SINAI-GRACE HOSPITAL (230024),2019,Acute Care,Proprietary,371.0,42.420102,-83.181471,MI,12.8,4.1,7.9,11.6,8.0,15.1
1775,ST JOSEPH MERCY OAKLAND (230029),2019,Acute Care,Voluntary non-profit - Private,432.0,42.614943,-83.2751,MI,11.3,2.9,6.9,15.4,10.8,15.1
1776,MIDMICHIGAN MEDICAL CENTER-GRATIOT (230030),2019,Acute Care,Voluntary non-profit - Private,103.0,43.39168,-84.662278,MI,13.8,,10.3,13.2,13.7,17.6
1777,LAKE HURON MEDICAL CENTER (230031),2019,Acute Care,Voluntary non-profit - Church,164.0,42.955785,-82.431961,MI,13.0,,8.8,12.7,9.6,14.4
1778,SPECTRUM HEALTH UNITED HOSPITAL (230035),2019,Acute Care,Voluntary non-profit - Other,85.0,43.175469,-85.268781,MI,,,7.6,14.0,12.5,12.4
1779,MIDMICHIGAN MEDICAL CENTER - ALPENA (230036),2019,Acute Care,Proprietary,129.0,45.076857,-83.450672,MI,13.4,,9.6,14.8,14.5,15.5
1780,HILLSDALE HOSPITAL (230037),2019,Acute Care,Voluntary non-profit - Private,91.0,41.911437,-84.631702,MI,12.6,,8.1,14.0,11.6,16.2
1781,SPECTRUM HEALTH - BUTTERWORTH CAMPUS (230038),2019,Acute Care,Voluntary non-profit - Private,1202.0,42.970527,-85.665319,MI,14.3,2.8,10.7,16.3,12.0,16.3
1782,SPECTRUM HEALTH PENNOCK (230040),2019,Acute Care,Voluntary non-profit - Other,62.0,,,MI,,,7.6,11.8,14.2,14.8
