,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for surgical inpatients w/ serious treatable complications (PSI 4),Iatrogenic pneumothorax rate (PSI 6),In-hospital fall with hip fracture rate (PSI 8),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Perioperative pulmonary embolism or deep vein thrombosis rate (PSI 12),Postoperative sepsis rate (PSI 13),Postoperative wound dehiscence rate (PSI 14),Pressure ulcer rate (PSI 3)
1406,SINAI-GRACE HOSPITAL (230024),2016,Acute Care,Proprietary,371.0,42.420102,-83.181471,MI,2.0,140.02,0.56,0.06,0.35,1.39,9.63,13.3,3.05,0.41
1407,ST JOSEPH MERCY OAKLAND (230029),2016,Acute Care,Voluntary non-profit - Private,432.0,42.614943,-83.2751,MI,2.45,128.39,0.25,0.06,0.14,0.94,3.08,9.48,2.85,0.24
1408,MIDMICHIGAN MEDICAL CENTER-GRATIOT (230030),2016,Acute Care,Voluntary non-profit - Private,103.0,43.39168,-84.662278,MI,1.15,,0.41,0.06,0.15,0.89,5.55,9.32,2.14,1.08
1409,LAKE HURON MEDICAL CENTER (230031),2016,Acute Care,Voluntary non-profit - Church,164.0,42.955785,-82.431961,MI,1.86,131.85,0.35,0.06,0.14,0.88,3.66,12.01,2.16,0.23
1410,SPECTRUM HEALTH UNITED HOSPITAL (230035),2016,Acute Care,Voluntary non-profit - Other,85.0,43.175469,-85.268781,MI,1.08,,0.45,0.06,0.15,0.81,4.98,11.48,2.25,0.32
1411,MIDMICHIGAN MEDICAL CENTER - ALPENA (230036),2016,Acute Care,Proprietary,129.0,45.076857,-83.450672,MI,1.21,132.98,0.39,0.06,0.13,0.75,3.65,9.44,2.14,0.71
1412,HILLSDALE HOSPITAL (230037),2016,Acute Care,Voluntary non-profit - Private,91.0,41.911437,-84.631702,MI,1.15,,0.36,0.06,0.15,0.79,4.88,,2.25,0.32
1413,SPECTRUM HEALTH - BUTTERWORTH CAMPUS (230038),2016,Acute Care,Voluntary non-profit - Private,1202.0,42.970527,-85.665319,MI,2.35,112.91,0.42,0.06,0.19,1.03,4.31,8.18,1.44,0.37
1414,SPECTRUM HEALTH PENNOCK (230040),2016,Acute Care,Voluntary non-profit - Other,62.0,,,MI,2.57,,0.39,0.06,0.16,1.24,6.33,,2.25,0.34
1415,MCLAREN BAY REGION (230041),2016,Acute Care,Voluntary non-profit - Private,521.0,43.589392,-83.868089,MI,0.65,135.54,0.31,0.06,0.07,0.8,7.61,9.75,2.41,0.07
1416,UNIVERSITY OF MICHIGAN HEALTH SYSTEM (230046),2016,Acute Care,Voluntary non-profit - Private,973.0,42.28534,-83.72904,MI,0.7,116.67,0.3,0.06,0.25,0.61,3.47,6.36,2.75,0.76
1417,HENRY FORD MACOMB HOSPITAL (230047),2016,Acute Care,Proprietary,455.0,42.612671,-82.963405,MI,1.3,120.29,0.36,0.06,0.16,1.17,9.73,10.36,2.41,0.87
1418,HENRY FORD HOSPITAL (230053),2016,Acute Care,Voluntary non-profit - Private,698.0,42.366114,-83.084592,MI,1.75,160.59,0.5,0.06,0.42,1.53,12.99,9.77,2.81,0.67
1419,UP HEALTH SYSTEM - MARQUETTE (230054),2016,Acute Care,Government - Local,268.0,46.543081,-87.411036,MI,2.12,155.58,0.47,0.06,0.09,0.9,3.46,6.57,1.9,0.19
1420,DICKINSON COUNTY MEMORIAL HOSPITAL (230055),2016,Acute Care,Government - Local,73.0,45.808572,-88.044268,MI,0.92,129.9,0.37,0.06,0.15,0.83,6.36,9.41,3.33,0.25
1421,MUNSON HEALTHCARE GRAYLING HOSPITAL (230058),2016,Acute Care,Voluntary non-profit - Church,92.0,44.667251,-84.707939,MI,1.49,,0.44,0.06,0.15,0.85,4.41,9.55,2.27,0.31
1422,SAINT MARY'S HEALTH CARE (230059),2016,Acute Care,Voluntary non-profit - Church,334.0,42.958252,-85.664114,MI,1.8,141.27,0.38,0.06,0.2,0.93,3.77,11.65,2.92,0.79
1423,MERCY HEALTH MUSKEGON (230066),2016,Acute Care,Voluntary non-profit - Private,298.0,43.221939,-86.243075,MI,1.33,127.93,0.35,0.06,0.13,0.72,3.09,11.05,2.52,0.24
1424,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL (230069),2016,Acute Care,Voluntary non-profit - Other,52.0,42.615372,-83.939355,MI,1.66,,0.37,0.06,0.15,0.84,3.83,,2.27,0.34
1425,COVENANT MEDICAL CENTER (230070),2016,Acute Care,Voluntary non-profit - Other,529.0,43.428097,-83.955548,MI,1.37,131.25,0.44,0.06,0.12,1.0,6.59,11.84,2.73,0.7
1426,STRAITH HOSPITAL FOR SPECIAL SURGERY (230071),2016,Acute Care,Voluntary non-profit - Private,34.0,42.464332,-83.260394,MI,1.39,,0.41,,0.17,0.89,,,,0.36
1427,HOLLAND COMMUNITY HOSPITAL (230072),2016,Acute Care,Voluntary non-profit - Private,189.0,42.774581,-86.112772,MI,1.53,141.17,0.4,0.06,0.24,0.82,2.93,10.4,2.74,0.76
1428,BRONSON BATTLE CREEK HOSPITAL (230075),2016,Acute Care,Proprietary,204.0,42.330618,-85.180404,MI,1.17,114.0,0.43,0.06,0.11,0.92,6.55,9.74,2.44,0.47
1429,ST MARY'S OF MICHIGAN MEDICAL CENTER (230077),2016,Acute Care,Voluntary non-profit - Church,220.0,43.426012,-83.941936,MI,1.39,151.78,0.35,0.06,0.17,1.06,7.56,15.92,2.32,0.38
1430,LAKELAND HOSPITAL WATERVLIET (230078),2016,Acute Care,Voluntary non-profit - Private,46.0,42.184866,-86.25076,MI,1.39,,0.4,,0.17,0.84,4.45,,,0.46
1431,MCLAREN CENTRAL MICHIGAN (230080),2016,Acute Care,Voluntary non-profit - Private,72.0,43.598528,-84.761389,MI,0.88,,0.33,0.06,0.14,0.74,4.6,,2.25,0.32
1432,MUNSON HEALTHCARE CADILLAC HOSPITAL (230081),2016,Acute Care,Voluntary non-profit - Church,67.0,44.246148,-85.390456,MI,2.96,,0.41,0.06,0.14,1.11,3.29,10.67,2.19,0.24
1433,SOUTH HAVEN COMMUNITY HOSPITAL (230085),2016,Acute Care,Government - Hospital District or Authority,32.0,42.391252,-86.26413,MI,1.23,,0.4,0.06,0.17,0.82,4.7,,,0.45
1434,"BEAUMONT HOSPITAL, GROSSE POINTE (230089)",2016,Acute Care,Voluntary non-profit - Private,241.0,42.384197,-82.915386,MI,0.94,123.38,0.32,0.06,0.26,0.81,5.63,11.81,2.1,0.42
1435,HENRY FORD ALLEGIANCE HEALTH (230092),2016,Acute Care,Voluntary non-profit - Other,367.0,42.250356,-84.393603,MI,0.89,132.15,0.41,0.06,0.08,0.59,2.64,12.74,1.91,0.08
1436,SPECTRUM HEALTH BIG RAPIDS HOSPITAL (230093),2016,Acute Care,Government - Local,50.0,43.693126,-85.475763,MI,1.7,,0.39,0.06,0.16,0.94,4.96,11.49,2.28,0.4
1437,WEST BRANCH REGIONAL MEDICAL CENTER (230095),2016,Acute Care,Government - Local,88.0,44.26283,-84.24623,MI,1.23,,0.36,0.06,0.15,0.77,3.74,9.31,2.23,0.85
1438,STURGIS HOSPITAL (230096),2016,Acute Care,Government - Local,49.0,41.794193,-85.407308,MI,1.39,,0.39,0.06,0.16,0.81,4.21,,2.26,0.39
1439,MUNSON MEDICAL CENTER (230097),2016,Acute Care,Voluntary non-profit - Other,416.0,44.761645,-85.641588,MI,2.23,115.53,0.34,0.06,0.06,1.08,3.37,13.13,3.34,1.91
1440,PROMEDICA MONROE REGIONAL HOSPITAL (230099),2016,Acute Care,Voluntary non-profit - Other,172.0,41.925143,-83.389075,MI,0.73,104.75,0.32,0.06,0.21,0.88,8.51,7.55,2.13,0.14
1441,TAWAS ST JOSEPH HOSPITAL (230100),2016,Acute Care,Government - Hospital District or Authority,48.0,44.274911,-83.511002,MI,1.26,,0.39,0.06,0.16,0.82,4.79,,2.24,0.41
1442,HARPER UNIVERSITY HOSPITAL (230104),2016,Acute Care,Proprietary,363.0,42.351375,-83.057892,MI,2.24,135.13,0.41,0.06,0.19,1.29,8.3,13.87,1.87,0.28
1443,MCLAREN - NORTHERN MICHIGAN (230105),2016,Acute Care,Voluntary non-profit - Other,197.0,45.373477,-84.969152,MI,0.99,113.26,0.58,0.06,0.09,0.62,2.5,5.82,1.81,0.46
1444,UP HEALTH SYSTEM PORTAGE (230108),2016,Acute Care,Voluntary non-profit - Other,96.0,47.141346,-88.585643,MI,1.76,,0.4,0.06,0.16,1.03,5.16,9.54,3.41,1.26
1445,SPECTRUM HEALTH LUDINGTON HOSPITAL (230110),2016,Acute Care,Voluntary non-profit - Other,59.0,,,MI,0.94,,0.38,0.06,0.15,0.71,4.47,9.56,2.23,0.3
1446,BORGESS MEDICAL CENTER (230117),2016,Acute Care,Voluntary non-profit - Other,355.0,42.304759,-85.561425,MI,2.61,163.53,0.36,0.06,0.18,1.08,3.66,13.53,2.31,0.34
1447,HURON MEDICAL CENTER (230118),2016,Acute Care,Voluntary non-profit - Other,50.0,43.802234,-83.030815,MI,1.7,,0.36,0.06,0.15,0.85,3.96,,,0.3
1448,MEMORIAL HEALTHCARE (230121),2016,Acute Care,Voluntary non-profit - Other,156.0,43.005075,-84.182076,MI,1.82,,0.36,0.06,0.15,1.06,6.74,9.47,4.38,0.26
1449,"BEAUMONT HOSPITAL, ROYAL OAK (230130)",2016,Acute Care,Voluntary non-profit - Private,1088.0,42.517687,-83.192142,MI,1.03,132.54,0.26,0.06,0.19,1.06,9.1,7.49,3.09,1.25
1450,HURLEY MEDICAL CENTER (230132),2016,Acute Care,Voluntary non-profit - Other,418.0,,,MI,2.01,139.85,0.62,0.06,0.43,1.39,7.19,10.71,4.36,2.18
1451,OTSEGO MEMORIAL HOSPITAL (230133),2016,Acute Care,Voluntary non-profit - Private,80.0,45.035332,-84.673887,MI,1.27,,0.39,0.06,0.16,0.82,4.85,9.7,2.25,0.37
1452,MCLAREN FLINT (230141),2016,Acute Care,Voluntary non-profit - Private,337.0,43.014187,-83.733578,MI,2.32,122.74,0.28,0.06,0.24,1.24,5.38,26.27,2.16,0.75
1453,BEAUMONT HOSPITAL - WAYNE (230142),2016,Acute Care,Voluntary non-profit - Private,152.0,42.274275,-83.365625,MI,1.26,124.82,0.35,0.06,0.11,0.69,3.17,10.47,2.16,0.13
1454,FOREST HEALTH MEDICAL CENTER (230144),2016,Acute Care,Government - Hospital District or Authority,24.0,42.237383,-83.601916,MI,0.93,,0.4,0.06,0.16,0.73,4.54,,2.19,0.46
1455,HENRY FORD WYANDOTTE HOSPITAL (230146),2016,Acute Care,Voluntary non-profit - Private,355.0,42.209694,-83.148776,MI,0.83,133.61,0.37,0.06,0.16,1.13,11.28,11.59,1.97,0.31
1456,BEAUMONT HOSPITAL - FARMINGTON HILLS (230151),2016,Acute Care,Voluntary non-profit - Private,298.0,42.44363,-83.324789,MI,1.39,153.85,0.25,0.06,0.09,1.01,8.2,10.06,2.07,0.25
1457,ST JOSEPH MERCY HOSPITAL (230156),2016,Acute Care,Voluntary non-profit - Church,505.0,42.261803,-83.659819,MI,2.01,120.26,0.52,0.06,0.06,1.37,8.11,13.9,2.02,2.06
1458,ST JOHN HOSPITAL AND MEDICAL CENTER (230165),2016,Acute Care,Voluntary non-profit - Church,650.0,42.419011,-82.915008,MI,1.14,150.9,0.37,0.06,0.07,0.77,4.5,14.65,2.27,0.05
1459,MCLAREN GREATER LANSING (230167),2016,Acute Care,Voluntary non-profit - Private,282.0,42.704799,-84.555111,MI,0.78,153.94,0.42,0.06,0.09,0.64,3.89,11.27,2.52,0.09
1460,NORTH OTTAWA COMMUNITY HEALTH SYSTEM (230174),2016,Acute Care,Government - Hospital District or Authority,70.0,43.05161,-86.227963,MI,1.91,,0.39,0.06,0.16,0.95,4.15,,2.26,0.39
1461,BEAUMONT HOSPITAL - TRENTON (230176),2016,Acute Care,Voluntary non-profit - Private,192.0,42.115786,-83.211814,MI,0.81,107.64,0.48,0.06,0.11,0.87,6.74,9.14,2.14,0.75
1462,MIDMICHIGAN MEDICAL CENTER-CLARE (230180),2016,Acute Care,Voluntary non-profit - Other,49.0,43.820724,-84.768349,MI,1.95,,0.39,0.06,0.16,0.96,4.46,,2.82,0.4
1463,MCLAREN LAPEER REGION (230193),2016,Acute Care,Voluntary non-profit - Private,193.0,43.06271,-83.319345,MI,1.15,106.81,0.39,0.06,0.11,0.85,5.57,10.65,2.1,0.5
1464,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER (230195),2016,Acute Care,Voluntary non-profit - Private,518.0,42.507178,-83.003535,MI,0.74,153.68,0.52,0.06,0.23,0.79,4.69,15.55,2.7,0.53
1465,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK (230197),2016,Acute Care,Voluntary non-profit - Church,373.0,,,MI,2.8,116.25,0.41,0.06,0.29,1.49,9.01,12.42,2.15,0.6
1466,MCLAREN OAKLAND (230207),2016,Acute Care,Voluntary non-profit - Private,166.0,42.638394,-83.291095,MI,0.74,128.63,0.48,0.06,0.1,1.02,9.46,10.73,2.23,0.55
1467,SPARROW CARSON HOSPITAL (230208),2016,Acute Care,Voluntary non-profit - Other,52.0,43.175989,-84.843788,MI,2.39,,0.4,0.06,0.16,1.13,5.09,12.99,,0.42
1468,MCLAREN PORT HURON (230216),2016,Acute Care,Voluntary non-profit - Private,185.0,42.986743,-82.427839,MI,1.66,133.53,0.28,0.06,0.2,0.87,4.38,9.18,2.06,0.45
1469,OAKLAWN HOSPITAL (230217),2016,Acute Care,Voluntary non-profit - Other,78.0,42.273533,-84.957796,MI,1.79,143.45,0.43,0.06,0.15,0.82,2.77,9.7,2.75,0.31
1470,MIDMICHIGAN MEDICAL CENTER-MIDLAND (230222),2016,Acute Care,Voluntary non-profit - Other,290.0,43.635617,-84.261689,MI,1.39,116.14,0.37,0.06,0.09,0.75,3.62,11.07,1.91,0.16
1471,MCLAREN MACOMB (230227),2016,Acute Care,Proprietary,282.0,42.586795,-82.896918,MI,2.25,121.0,0.23,0.06,0.09,0.97,4.36,8.71,3.27,0.3
1472,EDWARD W SPARROW HOSPITAL (230230),2016,Acute Care,Voluntary non-profit - Other,616.0,42.733609,-84.534816,MI,1.76,160.21,0.49,0.06,0.16,1.02,5.4,16.23,2.06,0.06
1473,METRO HEALTH HOSPITAL (230236),2016,Acute Care,Voluntary non-profit - Private,208.0,42.858067,-85.722937,MI,3.26,108.58,0.58,0.06,0.12,1.25,3.71,8.37,2.07,0.59
1474,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL (230239),2016,Acute Care,Voluntary non-profit - Private,138.0,46.498099,-84.349513,MI,1.31,,0.39,0.06,0.16,0.79,3.96,12.37,2.25,0.29
1475,ST JOHN RIVER DISTRICT HOSPITAL (230241),2016,Acute Care,Government - Hospital District or Authority,68.0,42.786505,-82.478208,MI,1.18,,0.39,0.06,0.16,0.77,4.3,,,0.34
1476,GARDEN CITY HOSPITAL (230244),2016,Acute Care,Voluntary non-profit - Private,168.0,42.332356,-83.311771,MI,1.1,118.2,0.33,0.06,0.12,0.71,4.12,10.54,2.13,0.12
1477,CRITTENTON HOSPITAL MEDICAL CENTER (230254),2016,Acute Care,Voluntary non-profit - Private,230.0,42.680882,-83.149228,MI,1.73,107.93,0.37,0.06,0.11,0.91,4.58,12.38,2.49,0.13
1478,ST JOSEPH MERCY CHELSEA (230259),2016,Acute Care,Voluntary non-profit - Private,126.0,42.310594,-84.016571,MI,1.3,,0.38,0.06,0.16,0.71,3.07,9.14,2.23,0.37
1479,SOUTHEAST MICHIGAN SURGICAL HOSPITAL (230264),2016,Acute Care,Voluntary non-profit - Private,13.0,42.451395,-83.08356,MI,,,0.41,,0.17,0.89,5.1,,,
1480,"BEAUMONT HOSPITAL, TROY (230269)",2016,Acute Care,Voluntary non-profit - Private,484.0,,,MI,0.57,100.15,0.4,0.06,0.07,0.74,6.4,10.54,1.69,0.29
1481,BEAUMONT HOSPITAL - TAYLOR (230270),2016,Acute Care,Voluntary non-profit - Private,184.0,42.233501,-83.269667,MI,1.04,,0.43,0.06,0.22,0.71,3.88,9.62,2.23,0.18
1482,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER (230273),2016,Acute Care,Proprietary,229.0,,,MI,1.94,141.28,0.5,0.06,0.52,1.35,9.4,11.66,2.11,0.39
1483,HEALTHSOURCE SAGINAW (230275),2016,Acute Care,Voluntary non-profit - Other,335.0,43.456418,-84.052048,MI,1.42,,0.41,,0.17,0.9,,,,
1484,HURON VALLEY-SINAI HOSPITAL (230277),2016,Acute Care,Proprietary,142.0,,,MI,1.66,105.76,0.4,0.06,0.12,0.99,5.86,10.09,2.62,0.51
1485,BRIGHTON HOSPITAL (230279),2016,Acute Care,Voluntary non-profit - Private,99.0,42.51766,-83.694523,MI,1.35,,0.4,,0.15,0.88,,,,0.44
1486,KARMANOS CANCER CENTER (230297),2016,Acute Care,Proprietary,122.0,42.35189,-83.058192,MI,1.94,139.08,0.48,0.06,0.17,1.16,6.76,,2.6,0.78
1487,OAKLAND REGIONAL HOSPITAL (230301),2016,Acute Care,Proprietary,61.0,42.457316,-83.202675,MI,1.39,,0.41,,0.17,0.88,4.99,,,
1488,HENRY FORD WEST BLOOMFIELD HOSPITAL (230302),2016,Acute Care,Voluntary non-profit - Private,191.0,42.541451,-83.409433,MI,1.75,117.14,0.44,0.06,0.3,1.31,10.14,11.55,2.13,0.39
1489,WEST SHORE MEDICAL CENTER (230303),2016,Acute Care,Voluntary non-profit - Other,40.0,44.272355,-86.273439,MI,1.8,,0.38,0.06,0.16,0.91,4.2,,2.81,0.37
1490,NORTH MEMORIAL MEDICAL CENTER (240001),2016,Acute Care,Voluntary non-profit - Private,398.0,45.014214,-93.321172,MN,1.62,109.0,0.32,0.06,0.1,0.82,3.88,12.08,2.07,0.16
1491,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER (240002),2016,Acute Care,Voluntary non-profit - Private,335.0,46.792843,-92.096395,MN,2.07,138.77,0.45,0.06,0.08,0.98,4.24,13.37,2.79,0.13
1492,HENNEPIN COUNTY MEDICAL CENTER 1 (240004),2016,Acute Care,Government - Local,469.0,44.97285,-93.262707,MN,1.17,149.04,0.4,0.06,0.1,0.9,5.48,9.18,2.13,1.3
1493,OLMSTED MEDICAL CENTER (240006),2016,Acute Care,Voluntary non-profit - Private,61.0,44.020994,-92.439958,MN,1.28,,0.4,0.06,0.17,0.89,5.67,,,0.45
1494,MAYO CLINIC HOSPITAL ROCHESTER (240010),2016,Acute Care,Voluntary non-profit - Church,1151.0,44.021643,-92.481355,MN,1.15,97.05,0.46,0.06,0.18,0.86,5.17,12.52,2.55,0.35
1495,NORTHFIELD HOSPITAL (240014),2016,Acute Care,Government - Local,77.0,44.471386,-93.191159,MN,1.6,,0.4,0.06,0.17,1.1,7.91,,,0.46
1496,MAYO CLINIC HEALTH SYSTEM IN RED WING (240018),2016,Acute Care,Voluntary non-profit - Private,62.0,44.560274,-92.575197,MN,1.14,,0.4,0.06,0.17,0.82,5.08,,2.28,0.43
1497,ESSENTIA HEALTH DULUTH (240019),2016,Acute Care,Voluntary non-profit - Private,141.0,46.793074,-92.094155,MN,1.32,,0.45,0.06,0.13,0.91,5.71,10.78,,0.41
1498,CAMBRIDGE MEDICAL CENTER (240020),2016,Acute Care,Voluntary non-profit - Private,72.0,45.56657,-93.229319,MN,1.49,,0.47,0.06,0.16,0.94,5.55,,2.29,0.42
1499,SANFORD WORTHINGTON MEDICAL CENTER (240022),2016,Acute Care,Voluntary non-profit - Private,48.0,43.621858,-95.599179,MN,1.24,,0.4,0.06,0.17,0.82,4.73,,,0.43
1500,DOUGLAS COUNTY HOSPITAL (240030),2016,Acute Care,Government - Local,99.0,45.872669,-95.37638,MN,1.91,,0.45,0.06,0.16,0.98,4.77,10.61,2.24,0.35
1501,ST CLOUD HOSPITAL (240036),2016,Acute Care,Voluntary non-profit - Private,482.0,45.575325,-94.17045,MN,1.44,132.33,0.47,0.06,0.14,0.84,4.65,8.62,2.33,0.14
1502,UNITED HOSPITAL (240038),2016,Acute Care,Voluntary non-profit - Private,372.0,44.94185,-93.108302,MN,2.1,135.74,0.3,0.06,0.09,0.93,4.41,8.41,2.42,0.16
1503,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS (240040),2016,Acute Care,Voluntary non-profit - Other,78.0,47.411053,-92.929534,MN,1.2,,0.4,0.06,0.16,0.81,4.71,,2.29,0.42
1504,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA (240043),2016,Acute Care,Voluntary non-profit - Private,126.0,43.651558,-93.372469,MN,1.45,,0.38,0.06,0.15,0.86,4.08,9.51,2.78,1.01
1505,WINONA HEALTH SERVICES (240044),2016,Acute Care,Voluntary non-profit - Private,54.0,44.033016,-91.622136,MN,1.02,,0.39,0.06,0.29,0.93,7.24,9.65,2.26,0.36
1506,ST LUKES HOSPITAL (240047),2016,Acute Care,Voluntary non-profit - Private,267.0,46.797027,-92.087038,MN,2.59,132.18,0.31,0.06,0.21,1.02,3.61,8.91,2.63,0.16
1507,FAIRVIEW LAKES MEDICAL CENTER (240050),2016,Acute Care,Voluntary non-profit - Private,54.0,45.322267,-92.998466,MN,1.47,,0.4,0.06,0.16,0.89,5.04,,,0.41
1508,LAKE REGION HEALTHCARE CORPORATION (240052),2016,Acute Care,Voluntary non-profit - Private,103.0,46.277138,-96.072407,MN,2.03,,0.45,0.06,0.16,0.95,3.83,,2.24,0.38
1509,PARK NICOLLET METHODIST HOSPITAL (240053),2016,Acute Care,Voluntary non-profit - Private,374.0,44.927054,-93.362391,MN,1.68,108.69,0.36,0.06,0.19,0.88,4.14,14.16,2.03,0.12
1510,RIDGEVIEW MEDICAL CENTER (240056),2016,Acute Care,Voluntary non-profit - Private,118.0,44.843306,-93.790772,MN,2.25,,0.38,0.06,0.16,0.97,3.77,9.62,2.24,0.33
1511,ABBOTT NORTHWESTERN HOSPITAL (240057),2016,Acute Care,Voluntary non-profit - Private,670.0,44.951954,-93.262248,MN,1.96,124.52,0.32,0.06,0.11,0.97,5.23,11.26,1.78,0.1
1512,REGINA HOSPITAL (240059),2016,Acute Care,Voluntary non-profit - Church,61.0,44.747131,-92.871399,MN,1.51,,0.4,0.06,0.17,0.87,4.3,,,0.44
1513,ST JOSEPH'S HOSPITAL (240063),2016,Acute Care,Voluntary non-profit - Private,210.0,44.949062,-93.100127,MN,1.13,103.17,0.37,0.06,0.1,0.77,5.16,8.16,2.14,0.17
1514,GRAND ITASCA CLINIC AND HOSPITAL (240064),2016,Acute Care,Voluntary non-profit - Private,38.0,47.221039,-93.554716,MN,1.44,,0.46,0.06,0.16,0.86,4.52,,2.27,0.4
1515,LAKEVIEW MEMORIAL HOSPITAL (240066),2016,Acute Care,Voluntary non-profit - Private,68.0,45.048126,-92.818489,MN,1.69,,0.45,0.06,0.16,0.99,5.86,9.53,2.25,0.39
1516,OWATONNA HOSPITAL (240069),2016,Acute Care,Voluntary non-profit - Other,40.0,44.109798,-93.236301,MN,1.53,,0.4,0.06,0.17,0.87,4.5,9.85,,0.42
1517,DISTRICT ONE HOSPITAL (240071),2016,Acute Care,Voluntary non-profit - Private,34.0,44.288715,-93.256022,MN,1.61,,0.4,0.06,0.17,0.96,5.66,9.79,,0.42
1518,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER (240075),2016,Acute Care,Voluntary non-profit - Private,144.0,46.362509,-94.205143,MN,2.37,,0.36,0.06,0.15,1.08,4.22,10.13,2.78,0.95
1519,BUFFALO HOSPITAL (240076),2016,Acute Care,Voluntary non-profit - Other,42.0,45.1932,-93.87053,MN,1.26,,0.4,0.06,0.17,0.81,4.53,9.91,,0.45
1520,FAIRVIEW SOUTHDALE HOSPITAL (240078),2016,Acute Care,Voluntary non-profit - Other,333.0,44.886279,-93.328857,MN,1.09,131.14,0.32,0.06,0.11,0.73,4.33,8.64,2.02,0.54
1521,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW (240080)",2016,Acute Care,Voluntary non-profit - Private,832.0,44.966335,-93.23812,MN,1.42,130.62,0.39,0.06,0.4,1.0,6.64,9.79,2.29,0.37
1522,ESSENTIA HEALTH VIRGINIA (240084),2016,Acute Care,Government - Local,146.0,47.530711,-92.548797,MN,1.07,,0.4,0.06,0.16,0.77,4.52,9.6,2.82,0.41
1523,RICE MEMORIAL HOSPITAL (240088),2016,Acute Care,Government - Local,164.0,45.120514,-95.046366,MN,1.08,,0.45,0.06,0.15,0.77,4.65,9.36,2.77,0.32
1524,MAYO CLINIC HEALTH SYSTEM - MANKATO (240093),2016,Acute Care,Voluntary non-profit - Private,168.0,44.165047,-93.983738,MN,1.84,107.93,0.38,0.06,0.13,0.92,4.78,8.84,2.09,0.17
1525,SANFORD BEMIDJI MEDICAL CENTER (240100),2016,Acute Care,Voluntary non-profit - Private,192.0,47.505009,-94.898125,MN,1.2,143.88,0.61,0.06,0.14,0.82,3.25,12.49,2.75,0.93
1526,ESSENTIA HEALTH ST MARYS - DETROIT LAKES (240101),2016,Acute Care,Voluntary non-profit - Church,133.0,46.815307,-95.845453,MN,1.88,,0.4,0.06,0.17,0.94,4.12,11.58,,0.4
1527,ST FRANCIS REGIONAL MEDICAL CENTER (240104),2016,Acute Care,Voluntary non-profit - Church,85.0,44.770075,-93.503569,MN,2.04,,0.39,0.06,0.16,0.92,3.56,9.8,2.81,0.38
1528,REGIONS HOSPITAL (240106),2016,Acute Care,Voluntary non-profit - Private,450.0,44.955338,-93.096277,MN,1.88,156.21,0.41,0.06,0.08,1.09,7.21,7.36,2.0,0.44
1529,MERCY HOSPITAL (240115),2016,Acute Care,Voluntary non-profit - Private,360.0,45.183842,-93.368221,MN,1.43,104.46,0.48,0.06,0.11,0.66,1.94,7.32,2.01,0.18
1530,UNITY HOSPITAL (240132),2016,Acute Care,Voluntary non-profit - Other,194.0,,,MN,1.3,125.62,0.45,0.06,0.13,0.86,4.54,11.1,2.22,0.8
1531,FAIRVIEW NORTHLAND REGIONAL HOSPITAL (240141),2016,Acute Care,Voluntary non-profit - Other,38.0,45.55888,-93.588931,MN,1.24,,0.4,0.06,0.17,0.81,4.54,,,0.44
1532,MAYO CLINIC HEALTH SYSTEM - FAIRMONT (240166),2016,Acute Care,Voluntary non-profit - Private,78.0,43.637688,-94.451728,MN,1.56,,0.4,0.06,0.17,0.92,5.31,9.79,,0.37
1533,HUTCHINSON HEALTH (240187),2016,Acute Care,Voluntary non-profit - Private,119.0,44.875105,-94.375533,MN,1.24,,0.4,0.06,0.17,0.87,5.6,9.8,,0.41
1534,PHILLIPS EYE INSTITUTE (240196),2016,Acute Care,Government - Federal,8.0,,,MN,1.41,,0.41,,,0.89,,,,
1535,RED LAKE HOSPITAL A (240206),2016,Acute Care,Government - Federal,23.0,,,MN,1.42,,0.41,,0.17,0.9,,,,0.47
1536,FAIRVIEW RIDGES HOSPITAL (240207),2016,Acute Care,Voluntary non-profit - Church,170.0,44.749947,-93.274858,MN,0.77,121.84,0.36,0.06,0.25,0.77,5.66,10.76,2.75,0.24
1537,HEALTHEAST ST JOHN'S HOSPITAL (240210),2016,Acute Care,Voluntary non-profit - Private,184.0,45.028131,-93.033508,MN,1.57,139.21,0.39,0.06,0.13,1.05,7.17,9.97,2.12,0.66
1538,HEALTHEAST WOODWINDS HOSPITAL (240213),2016,Acute Care,Voluntary non-profit - Private,86.0,44.92351,-92.975353,MN,1.94,,0.38,0.06,0.15,0.91,3.82,9.57,2.81,0.33
1539,MAPLE GROVE HOSPITAL (240214),2016,Acute Care,Voluntary non-profit - Private,121.0,45.133377,-93.479488,MN,1.78,,0.39,0.06,0.16,0.89,4.11,9.65,2.26,0.4
