,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI SIR,CDI SIR,CLABSI SIR,MRSA SIR,SSI SIR,Total HAC Score
1621,BATES COUNTY MEMORIAL HOSPITAL (260034),2023,Acute Care,Government - Local,45.0,38.249611,-94.343391,MO,,0.0,,,,0.0
1622,COX MEDICAL CENTERS (260040),2023,Acute Care,Voluntary non-profit - Private,713.0,37.144966,-93.27808,MO,0.553,0.569,0.504,1.016,0.881,0.0
1623,CAPITAL REGION MEDICAL CENTER (260047),2023,Acute Care,Voluntary non-profit - Private,114.0,38.567018,-92.181588,MO,3.642,0.632,,,0.553,0.0
1624,TRUMAN MEDICAL CENTER HOSPITAL HILL (260048),2023,Acute Care,Voluntary non-profit - Private,241.0,39.084815,-94.575799,MO,1.995,0.091,1.199,0.311,0.806,0.0
1625,SSM HEALTH ST. FRANCIS HOSPITAL- MARYVILLE (260050),2023,Acute Care,Voluntary non-profit - Church,55.0,40.326053,-94.874038,MO,,,,,,0.0
1626,MERCY HOSPITAL WASHINGTON (260052),2023,Acute Care,Voluntary non-profit - Private,160.0,38.5522,-91.002023,MO,1.187,0.213,1.041,3.499,0.471,0.0
1627,CAMERON REGIONAL MEDICAL CENTER (260057),2023,Acute Care,Voluntary non-profit - Private,54.0,39.731504,-94.218308,MO,0.0,0.0,,,,0.0
1628,MERCY HOSPITAL LEBANON (260059),2023,Acute Care,Voluntary non-profit - Church,49.0,37.681437,-92.635875,MO,,1.053,,,,0.0
1629,NEVADA REGIONAL MEDICAL CENTER (260061),2023,Acute Care,Government - Local,70.0,37.830534,-94.359703,MO,,0.974,,,,0.0
1630,SAINT LUKES NORTH HOSPITAL (260062),2023,Acute Care,Voluntary non-profit - Private,133.0,39.246883,-94.647898,MO,0.61,0.263,3.92,0.872,1.093,0.0
1631,NOBLE HEALTH AUDRAIN COMMUNITY HOSPITAL (260064),2023,Acute Care,Voluntary non-profit - Private,56.0,39.172921,-91.877238,MO,,,,,,0.0
1632,MERCY HOSPITAL SPRINGFIELD (260065),2023,Acute Care,Voluntary non-profit - Church,690.0,37.177969,-93.275276,MO,0.652,0.406,1.2,1.241,1.271,0.0
1633,BOONE HOSPITAL CENTER (260068),2023,Acute Care,Voluntary non-profit - Other,328.0,38.950669,-92.317039,MO,0.91,0.9,1.204,0.702,0.0,0.0
1634,PEMISCOT COUNTY MEMORIAL HOSPITAL (260070),2023,Acute Care,Government - Hospital District or Authority,198.0,36.236855,-89.739975,MO,,0.0,,,,0.0
1635,MOBERLY REGIONAL MEDICAL CENTER (260074),2023,Acute Care,Proprietary,75.0,39.423879,-92.414216,MO,0.855,0.367,,,,0.0
1636,MERCY HOSPITAL SOUTH (260077),2023,Acute Care,Voluntary non-profit - Private,746.0,38.509739,-90.37775,MO,0.5,0.265,1.445,1.403,1.04,0.0
1637,OZARKS HEALTHCARE (260078),2023,Acute Care,Voluntary non-profit - Other,104.0,36.737992,-91.875552,MO,0.0,1.194,0.0,,0.958,0.0
1638,SSM ST CLARE HEALTH CENTER (260081),2023,Acute Care,Voluntary non-profit - Private,180.0,38.529043,-90.473625,MO,1.214,0.573,0.628,1.073,1.05,0.0
1639,ST JOSEPH MEDICAL CENTER (260085),2023,Acute Care,Voluntary non-profit - Private,183.0,38.934471,-94.605342,MO,1.652,0.939,1.353,1.688,0.787,0.0
1640,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS (260091),2023,Acute Care,Voluntary non-profit - Private,609.0,38.633943,-90.310138,MO,0.473,0.636,0.672,0.997,1.116,0.0
1641,COX MEDICAL CENTER BRANSON (260094),2023,Acute Care,Voluntary non-profit - Private,139.0,36.650541,-93.220376,MO,1.805,0.288,1.252,0.643,0.601,0.0
1642,CENTERPOINT MEDICAL CENTER (260095),2023,Acute Care,Voluntary non-profit - Private,246.0,39.047771,-94.349313,MO,1.12,0.275,0.455,0.834,0.514,0.0
1643,NORTH KANSAS CITY HOSPITAL (260096),2023,Acute Care,Government - Local,417.0,39.15081,-94.551852,MO,1.593,0.361,0.965,0.406,0.506,0.0
1644,WESTERN MISSOURI MEDICAL CENTER (260097),2023,Acute Care,Government - Hospital District or Authority,64.0,38.766474,-93.723701,MO,,0.0,,,,0.0
1645,UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER (260102),2023,Acute Care,Voluntary non-profit - Private,305.0,38.973583,-94.390407,MO,,0.157,,,1.279,0.0
1646,SSM HEALTH DEPAUL HOSPITAL ST LOUIS (260104),2023,Acute Care,Voluntary non-profit - Private,490.0,38.748965,-90.432379,MO,0.471,0.663,1.559,1.591,1.271,0.0
1647,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL (260105),2023,Acute Care,Proprietary,316.0,38.622459,-90.239052,MO,0.356,1.295,1.037,1.158,1.516,0.0
1648,MISSOURI BAPTIST MEDICAL CENTER (260108),2023,Acute Care,Voluntary non-profit - Private,433.0,38.635532,-90.443636,MO,0.546,0.45,0.916,0.583,1.007,0.0
1649,SOUTHEASTHEALTH (260110),2023,Acute Care,Voluntary non-profit - Private,224.0,37.311273,-89.540936,MO,0.665,0.49,1.965,1.16,1.187,0.0
1650,MISSOURI DELTA MEDICAL CENTER (260113),2023,Acute Care,Voluntary non-profit - Other,147.0,36.889048,-89.584346,MO,0.0,0.735,,,0.563,0.0
1651,POPLAR BLUFF REGIONAL MEDICAL CENTER (260119),2023,Acute Care,Proprietary,287.0,36.788987,-90.443287,MO,0.406,0.167,0.0,0.703,0.0,0.0
1652,FREEMAN HEALTH SYSTEM - FREEMAN WEST (260137),2023,Acute Care,Voluntary non-profit - Other,393.0,37.054408,-94.526884,MO,0.355,0.561,2.568,1.229,0.692,0.0
1653,ST LUKES HOSPITAL OF KANSAS CITY (260138),2023,Acute Care,Government - Hospital District or Authority,470.0,39.046134,-94.59015,MO,1.073,0.521,0.618,1.199,1.093,0.0
1654,UNIVERSITY OF MISSOURI HEALTH CARE (260141),2023,Acute Care,Government - State,529.0,,,MO,0.598,0.346,0.481,1.074,0.901,0.0
1655,FITZGIBBON HOSPITAL (260142),2023,Acute Care,Voluntary non-profit - Private,51.0,,,MO,,0.975,,,,0.0
1656,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY (260160),2023,Acute Care,Proprietary,47.0,36.807432,-89.969973,MO,,,,,,0.0
1657,BARNES-JEWISH WEST COUNTY HOSPITAL (260162),2023,Acute Care,Voluntary non-profit - Private,75.0,38.676997,-90.466227,MO,0.7,0.422,0.0,,0.842,0.0
1658,PARKLAND HEALTH CENTER (260163),2023,Acute Care,Voluntary non-profit - Private,105.0,37.780624,-90.438195,MO,0.0,1.254,3.259,,7.373,0.0
1659,GOLDEN VALLEY MEMORIAL HOSPITAL (260175),2023,Acute Care,Government - Hospital District or Authority,49.0,38.391389,-93.770506,MO,,0.0,,,0.0,0.0
1660,ST LUKE'S DES PERES HOSPITAL (260176),2023,Acute Care,Proprietary,109.0,38.581081,-90.450408,MO,,0.376,,,,0.0
1661,NEW LIBERTY HOSPITAL DISTRICT (260177),2023,Acute Care,Government - Hospital District or Authority,215.0,39.276757,-94.424343,MO,0.231,0.967,1.32,1.01,0.282,0.0
1662,ST LUKES HOSPITAL (260179),2023,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,0.133,0.483,0.283,1.1,1.008,0.0
1663,CHRISTIAN HOSPITAL NORTHEAST (260180),2023,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,0.647,0.758,1.868,1.836,0.905,0.0
1664,SAINT FRANCIS MEDICAL CENTER (260183),2023,Acute Care,Voluntary non-profit - Church,290.0,,,MO,0.783,0.332,0.372,1.585,0.201,0.0
1665,LAKE REGIONAL HEALTH SYSTEM (260186),2023,Acute Care,Voluntary non-profit - Other,116.0,38.118486,-92.681085,MO,1.148,0.891,1.585,,2.326,0.0
1666,LEE'S SUMMIT MEDICAL CENTER (260190),2023,Acute Care,Proprietary,71.0,38.902285,-94.332151,MO,0.88,0.449,0.486,0.906,0.481,0.0
1667,BARNES-JEWISH ST PETERS HOSPITAL (260191),2023,Acute Care,Voluntary non-profit - Other,115.0,38.792719,-90.579377,MO,0.901,0.0,0.798,1.82,0.501,0.0
1668,ST MARY'S MEDICAL CENTER (260193),2023,Acute Care,Voluntary non-profit - Church,98.0,39.023528,-94.266042,MO,0.0,0.573,1.282,,,0.0
1669,CITIZENS MEMORIAL HOSPITAL (260195),2023,Acute Care,Government - Hospital District or Authority,70.0,37.625971,-93.420915,MO,3.728,0.733,,,,0.0
1670,SSM ST JOSEPH HOSPITAL WEST (260200),2023,Acute Care,Voluntary non-profit - Church,157.0,38.803742,-90.774423,MO,0.589,0.538,0.944,4.415,0.0,0.0
1671,NOBLE HEALTH CALLAWAY COMMUNITY HOSPITAL (260209),2023,Acute Care,Voluntary non-profit - Private,35.0,38.842247,-91.966202,MO,,,,,,0.0
1672,ST ALEXIUS HOSPITAL (260210),2023,Acute Care,Proprietary,172.0,38.583359,-90.227557,MO,,0.0,,,,0.0
1673,BELTON REGIONAL MEDICAL CENTER (260214),2023,Acute Care,Voluntary non-profit - Private,71.0,,,MO,,0.0,,,,0.0
1674,SAINT LUKE'S EAST  HOSPITAL (260216),2023,Acute Care,Voluntary non-profit - Private,168.0,38.940551,-94.378443,MO,1.28,0.572,1.871,0.356,1.502,0.0
1675,PROGRESS WEST HOSPITAL (260219),2023,Acute Care,Voluntary non-profit - Private,71.0,38.715097,-90.696597,MO,0.987,0.203,,,,0.0
1676,ST PETERS HEALTH (270003),2023,Acute Care,Voluntary non-profit - Private,125.0,,,MT,1.007,0.0,0.706,0.983,0.516,0.0
1677,BILLINGS CLINIC (270004),2023,Acute Care,Voluntary non-profit - Private,288.0,45.790452,-108.51415,MT,0.37,0.231,0.724,0.69,0.264,0.0
1678,BENEFIS HOSPITALS INC (270012),2023,Acute Care,Voluntary non-profit - Private,488.0,47.491848,-111.262615,MT,0.15,0.932,1.145,0.0,,0.0
1679,ST. PATRICK HOSPITAL (270014),2023,Acute Care,Voluntary non-profit - Church,200.0,46.873905,-113.999891,MT,1.11,0.59,1.055,1.119,0.249,0.0
1680,ST JAMES HEALTHCARE (270017),2023,Acute Care,Voluntary non-profit - Private,73.0,46.00928,-112.546068,MT,1.845,0.495,,,2.628,0.0
1681,COMMUNITY MEDICAL CENTER (270023),2023,Acute Care,Voluntary non-profit - Private,145.0,46.842062,-114.055919,MT,0.961,0.735,0.466,0.864,0.819,0.0
1682,NORTHERN MONTANA HOSPITAL (270032),2023,Acute Care,Voluntary non-profit - Private,198.0,48.539326,-109.686363,MT,,0.0,,,,0.0
1683,ST VINCENT HEALTHCARE (270049),2023,Acute Care,Voluntary non-profit - Church,248.0,45.793166,-108.520281,MT,0.111,0.225,0.885,0.659,2.083,0.0
1684,LOGAN HEALTH MEDICAL CENTER (270051),2023,Acute Care,Voluntary non-profit - Private,292.0,48.215685,-114.324753,MT,0.833,0.568,0.417,1.154,0.934,0.0
1685,BOZEMAN HEALTH DEACONESS HOSPITAL (270057),2023,Acute Care,Voluntary non-profit - Private,89.0,45.670278,-111.017239,MT,4.808,0.308,0.72,0.0,1.815,0.0
1686,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET (270074),2023,Acute Care,Government - Federal,26.0,,,MT,,,,,,0.0
1687,GREAT FALLS CLINIC HOSPITAL (270086),2023,Acute Care,Proprietary,20.0,47.487737,-111.254561,MT,,0.857,,,,0.0
1688,BRYAN MEDICAL CENTER (280003),2023,Acute Care,Voluntary non-profit - Private,569.0,40.796598,-96.653661,NE,0.938,0.368,0.835,0.863,0.789,0.0
1689,CHI HEALTH GOOD SAMARITAN (280009),2023,Acute Care,Voluntary non-profit - Church,250.0,,,NE,1.712,0.279,0.0,2.562,0.0,0.0
1690,THE NEBRASKA MEDICAL CENTER (280013),2023,Acute Care,Voluntary non-profit - Private,542.0,,,NE,1.229,0.763,0.737,1.193,2.134,0.0
1691,CHI HEALTH ST. ELIZABETH (280020),2023,Acute Care,Voluntary non-profit - Private,244.0,40.807609,-96.625179,NE,0.391,0.409,1.233,0.0,1.45,0.0
1692,CHI HEALTH ST. FRANCIS (280023),2023,Acute Care,Voluntary non-profit - Church,184.0,40.924267,-98.370887,NE,1.232,0.239,0.0,1.696,,0.0
1693,MARY LANNING HEALTHCARE (280032),2023,Acute Care,Voluntary non-profit - Other,138.0,40.592416,-98.387474,NE,1.776,0.474,,,,0.0
1694,THE NEBRASKA METHODIST HOSPITAL (280040),2023,Acute Care,Voluntary non-profit - Private,369.0,41.259682,-96.041771,NE,1.213,0.68,0.41,0.36,1.466,0.0
1695,CHI HEALTH BERGAN MERCY (280060),2023,Acute Care,Voluntary non-profit - Private,358.0,41.237904,-96.028717,NE,0.193,0.487,0.604,0.283,1.048,0.0
1696,REGIONAL WEST MEDICAL CENTER (280061),2023,Acute Care,Voluntary non-profit - Private,164.0,41.885055,-103.665837,NE,0.241,0.826,1.175,0.818,1.948,0.0
1697,GREAT PLAINS HEALTH (280065),2023,Acute Care,Voluntary non-profit - Private,105.0,41.120746,-100.770199,NE,,0.152,,,1.717,0.0
1698,METHODIST FREMONT HEALTH (280077),2023,Acute Care,Government - Local,187.0,41.451464,-96.492473,NE,,0.64,,,,0.0
1699,CHI HEALTH IMMANUEL (280081),2023,Acute Care,Voluntary non-profit - Private,308.0,41.321839,-96.023788,NE,0.663,0.337,0.0,1.374,,0.0
1700,CHI HEALTH MIDLANDS (280105),2023,Acute Care,Voluntary non-profit - Church,46.0,41.136866,-96.042825,NE,,0.0,,,,0.0
1701,COLUMBUS COMMUNITY HOSPITAL (280111),2023,Acute Care,Voluntary non-profit - Other,51.0,41.453273,-97.3849,NE,,0.367,,,,0.0
1702,FAITH REGIONAL HEALTH SERVICES (280125),2023,Acute Care,Voluntary non-profit - Private,127.0,42.032526,-97.450942,NE,0.85,0.0,,,0.955,0.0
1703,LINCOLN SURGICAL HOSPITAL (280127),2023,Acute Care,Proprietary,21.0,40.794718,-96.624974,NE,,,,,,0.0
1704,CHI HEALTH NEBRASKA HEART (280128),2023,Acute Care,Voluntary non-profit - Private,54.0,40.735476,-96.594607,NE,,0.725,,,,0.0
1705,NEBRASKA ORTHOPAEDIC HOSPITAL (280129),2023,Acute Care,Physician,24.0,41.232001,-96.135396,NE,,,,,,0.0
1706,CHI HEALTH LAKESIDE (280130),2023,Acute Care,Voluntary non-profit - Church,121.0,41.23904,-96.180532,NE,0.318,0.516,0.0,0.0,0.515,0.0
1707,MIDWEST SURGICAL HOSPITAL LLC (280131),2023,Acute Care,Physician,19.0,41.258155,-96.036891,NE,,,,,,0.0
1708,"BELLEVUE MEDICAL CENTER, LLC (280132)",2023,Acute Care,Proprietary,62.0,41.13639,-95.94586,NE,0.65,0.401,0.0,,0.741,0.0
1709,"NEBRASKA SPINE HOSPITAL, LLC (280133)",2023,Acute Care,Proprietary,34.0,,,NE,,,,,,0.0
1710,KEARNEY REGIONAL MEDICAL CENTER (280134),2023,Acute Care,Proprietary,70.0,40.6975,-99.0931,NE,1.333,0.0,0.0,,0.0,0.0
1711,GRAND ISLAND REGIONAL MEDICAL CENTER (280139),2023,Acute Care,Voluntary non-profit - Private,56.0,,,NE,,0.0,,,0.628,0.0
1712,RENOWN REGIONAL MEDICAL CENTER (290001),2023,Acute Care,Voluntary non-profit - Other,604.0,39.524747,-119.796721,NV,0.416,0.315,1.442,1.159,1.047,0.0
1713,SUNRISE HOSPITAL AND MEDICAL CENTER (290003),2023,Acute Care,Proprietary,645.0,36.134586,-115.136883,NV,0.719,0.104,0.451,1.187,0.136,0.0
1714,NORTH VISTA HOSPITAL (290005),2023,Acute Care,Voluntary non-profit - Private,178.0,36.195739,-115.122986,NV,2.448,0.642,1.399,0.587,,0.0
1715,UNIVERSITY MEDICAL CENTER (290007),2023,Acute Care,Government - Local,502.0,36.158941,-115.165945,NV,0.787,1.008,1.181,2.594,1.141,0.0
1716,NORTHEASTERN NEVADA REGIONAL HOSPITAL (290008),2023,Acute Care,Voluntary non-profit - Private,65.0,40.822508,-115.729026,NV,,0.636,,,,0.0
1717,SAINT MARY'S REGIONAL MEDICAL CENTER (290009),2023,Acute Care,Voluntary non-profit - Private,282.0,39.531619,-119.818243,NV,1.021,0.308,0.445,2.04,0.647,0.0
1718,SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA (290012),2023,Acute Care,Voluntary non-profit - Church,86.0,36.038829,-114.983192,NV,,,,,,0.0
1719,CARSON TAHOE REGIONAL MEDICAL CENTER (290019),2023,Acute Care,Voluntary non-profit - Private,202.0,39.201899,-119.781729,NV,1.897,0.95,1.257,0.907,2.982,0.0
1720,VALLEY HOSPITAL MEDICAL CENTER (290021),2023,Acute Care,Proprietary,286.0,36.163914,-115.165463,NV,0.275,0.257,1.255,0.329,1.477,0.0
1721,DESERT SPRINGS HOSPITAL (290022),2023,Acute Care,Proprietary,271.0,36.114561,-115.125548,NV,0.106,0.106,0.419,1.075,1.273,0.0
1722,NORTHERN NEVADA MEDICAL CENTER (290032),2023,Acute Care,Proprietary,113.0,39.542488,-119.697974,NV,,1.081,,,0.0,0.0
1723,MOUNTAINVIEW HOSPITAL (290039),2023,Acute Care,Proprietary,346.0,36.2156,-115.250795,NV,0.41,0.084,1.185,0.683,1.211,0.0
1724,SUMMERLIN HOSPITAL MEDICAL CENTER (290041),2023,Acute Care,Proprietary,432.0,36.179638,-115.315776,NV,0.655,0.479,0.566,0.964,2.107,0.0
1725,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS (290045),2023,Acute Care,Voluntary non-profit - Private,283.0,,,NV,0.638,0.373,1.254,0.722,1.161,0.0
1726,SPRING VALLEY HOSPITAL MEDICAL CENTER (290046),2023,Acute Care,Proprietary,287.0,36.089714,-115.242882,NV,0.436,0.171,0.51,1.145,1.109,0.0
1727,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER (290047),2023,Acute Care,Voluntary non-profit - Private,182.0,36.070256,-115.295512,NV,0.655,0.242,0.674,0.0,0.552,0.0
1728,RENOWN SOUTH MEADOWS MEDICAL CENTER (290049),2023,Acute Care,Voluntary non-profit - Private,138.0,39.435894,-119.758393,NV,0.647,0.304,0.833,,,0.0
1729,SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS (290053),2023,Acute Care,Voluntary non-profit - Church,140.0,36.055545,-115.271323,NV,0.687,0.318,0.978,0.0,0.383,0.0
1730,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER (290054),2023,Acute Care,Proprietary,228.0,36.286014,-115.28773,NV,0.528,0.453,0.997,1.19,0.598,0.0
1731,HENDERSON HOSPITAL (290057),2023,Acute Care,Proprietary,181.0,,,NV,0.209,0.115,0.503,0.36,0.415,0.0
1732,SAINT ROSE DOMINICAN HOSPITALS - NORTH LAS VEGAS (290058),2023,Acute Care,Proprietary,32.0,,,NV,,0.0,,,,0.0
1733,CONCORD HOSPITAL (300001),2023,Acute Care,Voluntary non-profit - Private,212.0,43.196329,-71.562366,NH,0.44,1.014,0.694,0.816,1.248,0.0
1734,MARY HITCHCOCK MEMORIAL HOSPITAL (300003),2023,Acute Care,Voluntary non-profit - Other,405.0,43.67797,-72.273746,NH,0.769,0.793,0.699,0.582,1.208,0.0
1735,CONCORD HOSPITAL- LACONIA (300005),2023,Acute Care,Voluntary non-profit - Private,94.0,43.528103,-71.460771,NH,3.478,0.127,,,,0.0
1736,ST JOSEPH HOSPITAL (300011),2023,Acute Care,Voluntary non-profit - Other,208.0,42.750441,-71.479886,NH,0.682,0.271,0.0,0.0,0.0,0.0
1737,ELLIOT HOSPITAL (300012),2023,Acute Care,Voluntary non-profit - Private,243.0,42.982795,-71.435739,NH,2.539,0.729,0.577,0.0,1.316,0.0
1738,FRISBIE MEMORIAL HOSPITAL (300014),2023,Acute Care,Voluntary non-profit - Private,77.0,43.298189,-70.961194,NH,,0.0,,,0.77,0.0
1739,PARKLAND MEDICAL CENTER (300017),2023,Acute Care,Proprietary,159.0,42.875825,-71.317578,NH,,0.17,,,,0.0
1740,WENTWORTH-DOUGLASS HOSPITAL (300018),2023,Acute Care,Voluntary non-profit - Private,116.0,43.212442,-70.875139,NH,1.133,0.6,0.444,1.807,1.108,0.0
1741,CHESHIRE MEDICAL CENTER (300019),2023,Acute Care,Voluntary non-profit - Private,124.0,42.949854,-72.290725,NH,1.554,0.795,2.23,,0.0,0.0
1742,SOUTHERN NH MEDICAL CENTER (300020),2023,Acute Care,Voluntary non-profit - Private,163.0,42.756061,-71.461229,NH,2.081,0.384,1.56,1.498,0.0,0.0
1743,EXETER HOSPITAL INC (300023),2023,Acute Care,Voluntary non-profit - Private,98.0,42.983066,-70.934319,NH,1.248,0.246,0.0,0.84,0.967,0.0
1744,PORTSMOUTH REGIONAL HOSPITAL (300029),2023,Acute Care,Proprietary,168.0,43.064093,-70.787774,NH,0.715,0.448,0.222,0.353,0.497,0.0
1745,CATHOLIC MEDICAL CENTER (300034),2023,Acute Care,Voluntary non-profit - Private,246.0,42.991211,-71.47379,NH,1.335,1.404,1.233,1.404,0.414,0.0
1746,HACKENSACK UNIVERSITY MEDICAL CENTER (310001),2023,Acute Care,Voluntary non-profit - Private,710.0,40.884032,-74.057954,NJ,0.657,0.41,0.511,0.729,0.688,0.0
1747,NEWARK BETH ISRAEL MEDICAL CENTER (310002),2023,Acute Care,Voluntary non-profit - Private,486.0,40.710054,-74.213787,NJ,1.035,0.308,0.625,1.096,0.904,0.0
1748,PALISADES MEDICAL CENTER (310003),2023,Acute Care,Voluntary non-profit - Private,192.0,40.794166,-73.995765,NJ,0.675,0.279,1.168,1.028,0.0,0.0
1749,HUNTERDON MEDICAL CENTER (310005),2023,Acute Care,Voluntary non-profit - Private,184.0,40.532524,-74.86041,NJ,1.432,0.503,0.678,0.0,0.298,0.0
1750,ST MARY'S GENERAL HOSPITAL (310006),2023,Acute Care,Proprietary,185.0,40.85828,-74.13721,NJ,0.741,0.0,0.0,1.832,0.0,0.0
1751,HOLY NAME MEDICAL CENTER (310008),2023,Acute Care,Voluntary non-profit - Private,309.0,40.882377,-74.008629,NJ,0.596,1.084,4.533,3.685,1.525,0.0
1752,CLARA MAASS MEDICAL CENTER (310009),2023,Acute Care,Voluntary non-profit - Private,344.0,,,NJ,0.559,0.274,0.632,1.739,0.618,0.0
1753,UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO (310010),2023,Acute Care,Voluntary non-profit - Private,344.0,,,NJ,0.134,0.554,0.0,1.907,0.193,0.0
1754,CAPE REGIONAL MEDICAL CENTER INC (310011),2023,Acute Care,Voluntary non-profit - Private,157.0,,,NJ,2.584,0.583,0.639,2.086,0.0,0.0
1755,VALLEY HOSPITAL (310012),2023,Acute Care,Voluntary non-profit - Private,387.0,40.983204,-74.101761,NJ,2.277,0.262,2.076,1.598,0.443,0.0
1756,COOPER UNIVERSITY HOSPITAL (310014),2023,Acute Care,Voluntary non-profit - Private,545.0,39.940802,-75.115757,NJ,1.076,0.928,0.995,1.743,0.665,0.0
1757,MORRISTOWN MEDICAL CENTER (310015),2023,Acute Care,Voluntary non-profit - Private,700.0,40.787896,-74.464855,NJ,0.436,0.309,0.363,0.479,0.754,0.0
1758,CAREPOINT HEALTH-CHRIST HOSPITAL (310016),2023,Acute Care,Voluntary non-profit - Church,186.0,40.734876,-74.050142,NJ,0.293,0.635,2.293,0.0,0.819,0.0
1759,CHILTON MEDICAL CENTER (310017),2023,Acute Care,Voluntary non-profit - Private,207.0,40.959237,-74.308102,NJ,0.661,0.271,0.622,1.689,0.441,0.0
1760,ST JOSEPH'S UNIVERSITY MEDICAL CENTER (310019),2023,Acute Care,Voluntary non-profit - Church,705.0,40.902456,-74.166751,NJ,0.333,0.785,1.179,1.224,0.966,0.0
1761,ST FRANCIS MEDICAL CENTER (310021),2023,Acute Care,Voluntary non-profit - Private,157.0,40.217126,-74.742576,NJ,0.499,1.513,0.337,,,0.0
1762,VIRTUA WEST JERSEY HOSPITALS (310022),2023,Acute Care,Voluntary non-profit - Private,611.0,39.842327,-74.927892,NJ,0.517,0.523,1.017,0.229,0.741,0.0
1763,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY (310024),2023,Acute Care,Voluntary non-profit - Private,144.0,40.612237,-74.291688,NJ,0.0,0.173,1.073,0.733,,0.0
1764,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER (310025),2023,Acute Care,Voluntary non-profit - Private,189.0,40.667531,-74.112371,NJ,0.428,0.314,2.558,0.0,,0.0
1765,TRINITAS REGIONAL MEDICAL CENTER (310027),2023,Acute Care,Voluntary non-profit - Private,442.0,40.65892,-74.214355,NJ,1.347,0.574,2.059,2.011,0.0,0.0
1766,NEWTON MEDICAL CENTER (310028),2023,Acute Care,Voluntary non-profit - Private,1620.0,41.055649,-74.76494,NJ,1.56,0.276,1.507,1.001,0.38,0.0
1767,VIRTUA OUR LADY OF LOURDES HOSPITAL (310029),2023,Acute Care,Voluntary non-profit - Private,328.0,39.927033,-75.095704,NJ,0.65,0.432,0.291,0.255,0.936,0.0
1768,DEBORAH HEART AND LUNG CENTER (310031),2023,Acute Care,Voluntary non-profit - Private,85.0,39.977274,-74.58621,NJ,0.341,0.313,0.784,,,0.0
1769,INSPIRA MEDICAL CENTER VINELAND (310032),2023,Acute Care,Voluntary non-profit - Private,332.0,39.447444,-75.057329,NJ,0.095,0.429,0.0,1.264,0.2,0.0
1770,RIVERVIEW MEDICAL CENTER (310034),2023,Acute Care,Proprietary,289.0,,,NJ,1.338,0.08,2.44,1.08,0.227,0.0
1771,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL (310038),2023,Acute Care,Voluntary non-profit - Private,617.0,,,NJ,0.728,0.687,0.54,1.069,0.538,0.0
1772,RARITAN BAY MEDICAL CENTER (310039),2023,Acute Care,Voluntary non-profit - Private,292.0,40.518346,-74.28075,NJ,1.191,0.333,0.624,0.395,0.824,0.0
1773,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER (310040),2023,Acute Care,Voluntary non-profit - Church,190.0,40.741213,-74.033559,NJ,1.89,1.073,2.971,,,0.0
1774,COMMUNITY MEDICAL CENTER (310041),2023,Acute Care,Voluntary non-profit - Private,462.0,39.965083,-74.21449,NJ,0.19,0.237,0.86,0.493,0.11,0.0
1775,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL (310044),2023,Acute Care,Voluntary non-profit - Private,179.0,,,NJ,1.052,0.284,0.154,0.88,0.186,0.0
1776,ENGLEWOOD HOSPITAL AND MEDICAL CENTER (310045),2023,Acute Care,Voluntary non-profit - Private,302.0,40.902855,-73.967993,NJ,0.267,0.611,0.532,0.629,1.048,0.0
1777,SHORE MEDICAL CENTER (310047),2023,Acute Care,Voluntary non-profit - Private,252.0,39.314673,-74.592772,NJ,0.558,0.977,1.168,0.0,1.408,0.0
1778,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET (310048),2023,Acute Care,Voluntary non-profit - Private,279.0,40.568854,-74.595695,NJ,0.777,0.683,2.698,1.139,1.243,0.0
1779,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS (310050),2023,Acute Care,Proprietary,362.0,40.894376,-74.464479,NJ,3.167,0.784,2.094,1.718,0.0,0.0
1780,OVERLOOK MEDICAL CENTER (310051),2023,Acute Care,Voluntary non-profit - Other,484.0,40.71241,-74.354023,NJ,1.186,0.423,0.504,0.269,0.936,0.0
1781,OCEAN MEDICAL CENTER (310052),2023,Acute Care,Voluntary non-profit - Other,302.0,40.078327,-74.129748,NJ,0.595,0.306,1.025,2.316,1.271,0.0
