,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Total HAC Score,Payment Reduction
1672,FREEMAN HEALTH SYSTEM - FREEMAN WEST (260137),2020,Acute Care,Voluntary non-profit - Other,393.0,37.054408,-94.526884,MO,-0.8,-0.0304,-0.8094,-1.2276,-0.3708,0.9823,-0.376,No
1673,ST LUKES HOSPITAL OF KANSAS CITY (260138),2020,Acute Care,Government - Hospital District or Authority,470.0,39.046134,-94.59015,MO,0.8153,0.6668,0.2428,-0.7497,-0.4279,0.5368,0.1807,No
1674,UNIVERSITY OF MISSOURI HEALTH CARE (260141),2020,Acute Care,Government - State,529.0,,,MO,-0.247,0.0237,0.0817,1.0095,0.0271,1.9996,0.4824,Yes
1675,FITZGIBBON HOSPITAL (260142),2020,Acute Care,Voluntary non-profit - Private,51.0,,,MO,,1.971,,,,-0.2509,0.86,Yes
1676,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY (260160),2020,Acute Care,Proprietary,47.0,36.807432,-89.969973,MO,,1.971,,,,-0.0582,0.9564,Yes
1677,BARNES-JEWISH WEST COUNTY HOSPITAL (260162),2020,Acute Care,Voluntary non-profit - Private,75.0,38.676997,-90.466227,MO,-1.5354,-1.4788,-1.4459,,-0.5624,-1.2286,-1.2502,No
1678,PARKLAND HEALTH CENTER (260163),2020,Acute Care,Voluntary non-profit - Private,105.0,37.780624,-90.438195,MO,0.6842,-0.5953,,-0.171,1.4677,-0.6959,0.1379,No
1679,GOLDEN VALLEY MEMORIAL HOSPITAL (260175),2020,Acute Care,Government - Hospital District or Authority,49.0,38.391389,-93.770506,MO,,0.6427,,,,0.1021,0.3724,Yes
1680,ST LUKE'S DES PERES HOSPITAL (260176),2020,Acute Care,Proprietary,109.0,38.581081,-90.450408,MO,-1.5354,-0.7847,2.1941,,-1.5,-0.367,-0.3986,No
1681,LIBERTY HOSPITAL (260177),2020,Acute Care,Government - Hospital District or Authority,215.0,39.276757,-94.424343,MO,0.211,0.3152,-1.0203,-1.4453,-0.391,-0.7282,-0.5098,No
1682,ST LUKES HOSPITAL (260179),2020,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,-0.8988,0.3963,-0.0397,-1.0471,0.0437,0.2115,-0.2223,No
1683,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST (260180),2020,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,-0.8684,0.4654,-0.2843,1.0007,1.0938,2.3575,0.6274,Yes
1684,SAINT FRANCIS MEDICAL CENTER (260183),2020,Acute Care,Voluntary non-profit - Church,290.0,,,MO,-0.4465,-1.4668,1.2075,-0.6913,-0.7613,-1.5258,-0.614,No
1685,LAKE REGIONAL HEALTH SYSTEM (260186),2020,Acute Care,Voluntary non-profit - Other,116.0,38.118486,-92.681085,MO,0.6576,-0.3039,1.2135,0.0237,0.858,0.1302,0.4298,Yes
1686,LEE'S SUMMIT MEDICAL CENTER (260190),2020,Acute Care,Proprietary,71.0,38.902285,-94.332151,MO,0.1103,1.8327,0.5173,2.2502,0.3201,0.8575,0.9813,Yes
1687,BARNES-JEWISH ST PETERS HOSPITAL (260191),2020,Acute Care,Voluntary non-profit - Other,115.0,38.792719,-90.579377,MO,1.0243,-0.4241,-0.6682,-0.4984,-0.3192,1.6527,0.1279,No
1688,ST MARY'S MEDICAL CENTER (260193),2020,Acute Care,Voluntary non-profit - Church,98.0,39.023528,-94.266042,MO,-0.1254,0.3332,-0.6264,1.3281,1.4585,-1.5258,0.1404,No
1689,CITIZENS MEMORIAL HOSPITAL (260195),2020,Acute Care,Government - Hospital District or Authority,70.0,37.625971,-93.420915,MO,2.1854,1.1686,,,-0.5495,0.3406,0.7863,Yes
1690,SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS (260200),2020,Acute Care,Voluntary non-profit - Church,157.0,38.803742,-90.774423,MO,1.182,-1.2204,2.1941,0.4697,-1.0616,-0.6488,0.1525,No
1691,FULTON MEDICAL CENTER LLC (260209),2020,Acute Care,Voluntary non-profit - Private,35.0,38.842247,-91.966202,MO,,,,,,0.0688,0.0688,No
1692,ST ALEXIUS HOSPITAL (260210),2020,Acute Care,Proprietary,172.0,38.583359,-90.227557,MO,1.7046,-0.8778,2.1941,-0.4772,,2.3575,0.9802,Yes
1693,BELTON REGIONAL MEDICAL CENTER (260214),2020,Acute Care,Voluntary non-profit - Private,71.0,,,MO,2.0847,0.1319,-1.4459,,0.8359,-0.8744,0.1464,No
1694,SAINT LUKE'S EAST HOSPITAL (260216),2020,Acute Care,Voluntary non-profit - Private,168.0,38.940551,-94.378443,MO,-0.076,0.3753,-1.0899,0.5529,-0.625,-0.1191,-0.1636,No
1695,PROGRESS WEST HOSPITAL (260219),2020,Acute Care,Voluntary non-profit - Private,71.0,38.715097,-90.696597,MO,-0.1786,-0.4571,,,2.0996,-0.2523,0.3029,No
1696,BLACK RIVER COMMUNITY MEDICAL CENTER (260227),2020,Acute Care,Voluntary non-profit - Private,5.0,36.770882,-90.456445,MO,,,,,,-0.0071,-0.0071,No
1697,ST PETERS HOSPITAL (270003),2020,Acute Care,Voluntary non-profit - Private,125.0,,,MT,-0.9805,-0.415,-0.6483,-1.4453,-0.87,2.3575,-0.3336,No
1698,BILLINGS CLINIC HOSPITAL (270004),2020,Acute Care,Voluntary non-profit - Private,288.0,45.790452,-108.51415,MT,1.2733,0.5706,-0.2863,-0.509,1.1509,1.4887,0.6147,Yes
1699,BENEFIS HOSPITALS INC (270012),2020,Acute Care,Voluntary non-profit - Private,488.0,47.491848,-111.262615,MT,-0.6289,0.4174,-0.9447,-1.4453,,0.7298,-0.3744,No
1700,ST PATRICK HOSPITAL (270014),2020,Acute Care,Voluntary non-profit - Church,200.0,46.873905,-113.999891,MT,0.0248,-0.8988,-0.9288,-1.4453,-1.2219,-1.5258,-0.9993,No
1701,ST JAMES HEALTHCARE (270017),2020,Acute Care,Voluntary non-profit - Private,73.0,46.00928,-112.546068,MT,-0.055,0.4444,-1.4459,2.0414,-1.5,-0.0065,-0.087,No
1702,COMMUNITY MEDICAL CENTER (270023),2020,Acute Care,Voluntary non-profit - Private,145.0,46.842062,-114.055919,MT,-1.5354,1.7696,1.4004,-0.4312,1.2706,-0.499,0.3292,No
1703,NORTHERN MONTANA HOSPITAL (270032),2020,Acute Care,Voluntary non-profit - Private,198.0,48.539326,-109.686363,MT,,-1.0731,,,,-0.6039,-0.8385,No
1704,ST VINCENT HEALTHCARE (270049),2020,Acute Care,Voluntary non-profit - Church,248.0,45.793166,-108.520281,MT,-0.9349,-0.8778,-0.0954,-0.2595,-0.1847,-0.7081,-0.51,No
1705,KALISPELL REGIONAL MEDICAL CENTER (270051),2020,Acute Care,Voluntary non-profit - Private,292.0,48.215685,-114.324753,MT,-0.0018,0.0267,0.2786,-0.1639,1.3848,-1.5258,-0.0002,No
1706,BOZEMAN HEALTH DEACONESS HOSPITAL (270057),2020,Acute Care,Voluntary non-profit - Private,89.0,45.670278,-111.017239,MT,2.1854,-0.0244,-1.4459,-1.4453,0.3477,1.1071,0.1208,No
1707,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET (270074),2020,Acute Care,Government - Federal,26.0,,,MT,,,,,,0.0397,0.0397,No
1708,GREAT FALLS CLINIC HOSPITAL (270086),2020,Acute Care,Proprietary,20.0,47.487737,-111.254561,MT,,0.1499,,,0.1635,-1.0107,-0.2324,No
1709,THE HEALTHCENTER (270087),2020,Acute Care,Proprietary,30.0,48.216208,-114.324047,MT,,,,,1.009,-0.3639,0.3226,No
1710,BIG SKY MEDICAL CENTER (270089),2020,Acute Care,Voluntary non-profit - Private,4.0,,,MT,,,,,,0.0854,0.0854,No
1711,BRYAN MEDICAL CENTER (280003),2020,Acute Care,Voluntary non-profit - Private,569.0,40.796598,-96.653661,NE,-0.1919,0.1259,-0.2823,-0.2152,-0.1515,0.5197,-0.0326,No
1712,CHI HEALTH GOOD SAMARITAN (280009),2020,Acute Care,Voluntary non-profit - Church,250.0,,,NE,2.1854,0.2761,-0.5867,-1.4453,-0.7484,2.0019,0.2805,No
1713,THE NEBRASKA MEDICAL CENTER (280013),2020,Acute Care,Voluntary non-profit - Private,542.0,,,NE,0.325,0.8891,0.3661,-0.371,2.0996,-0.7972,0.4186,Yes
1714,CHI HEALTH ST ELIZABETH (280020),2020,Acute Care,Voluntary non-profit - Private,244.0,40.807609,-96.625179,NE,-0.3192,1.4361,0.3343,-0.5727,0.7824,-0.9532,0.1179,No
1715,CHI HEALTH ST FRANCIS (280023),2020,Acute Care,Voluntary non-profit - Church,184.0,40.924267,-98.370887,NE,0.1578,-0.1716,-0.6722,-1.4453,-0.1294,2.3575,0.0161,No
1716,MARY LANNING HEALTHCARE (280032),2020,Acute Care,Voluntary non-profit - Other,138.0,40.592416,-98.387474,NE,2.1854,0.177,1.6212,1.1246,1.0459,-0.8613,0.8821,Yes
1717,METHODIST HOSPITAL (280040),2020,Acute Care,Voluntary non-profit - Private,369.0,41.259682,-96.041771,NE,-0.5054,0.186,-0.3042,-1.132,1.0403,1.8143,0.1832,No
1718,CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER - B (280060),2020,Acute Care,Voluntary non-profit - Private,358.0,41.237904,-96.028717,NE,0.1996,0.0598,-0.2803,0.0963,0.379,0.8099,0.2107,No
1719,REGIONAL WEST MEDICAL CENTER (280061),2020,Acute Care,Voluntary non-profit - Private,164.0,41.885055,-103.665837,NE,-1.5354,1.376,-0.7836,-1.4453,0.5853,2.3575,0.0924,No
1720,GREAT PLAINS HEALTH (280065),2020,Acute Care,Voluntary non-profit - Private,105.0,41.120746,-100.770199,NE,2.1854,-0.5413,-1.4459,-1.4453,-0.1479,-0.7427,-0.3563,No
1721,METHODIST FREMONT HEALTH (280077),2020,Acute Care,Government - Local,187.0,41.451464,-96.492473,NE,-1.5354,0.3933,-1.4459,,,0.6452,-0.4857,No
1722,CHI HEALTH IMMANUEL (280081),2020,Acute Care,Voluntary non-profit - Private,308.0,41.321839,-96.023788,NE,-0.0836,-1.0521,0.7759,0.9918,-1.5,-0.8321,-0.2834,No
1723,CHI HEALTH MIDLANDS (280105),2020,Acute Care,Voluntary non-profit - Church,46.0,41.136866,-96.042825,NE,,1.7997,,,-1.5,-0.6102,-0.1035,No
1724,COLUMBUS COMMUNITY HOSPITAL (280111),2020,Acute Care,Voluntary non-profit - Other,51.0,41.453273,-97.3849,NE,,-0.8027,,,2.0996,0.2649,0.5206,Yes
1725,FAITH REGIONAL HEALTH SERVICES (280125),2020,Acute Care,Voluntary non-profit - Private,127.0,42.032526,-97.450942,NE,-0.1501,0.189,-1.4459,-0.5444,0.4564,-0.2498,-0.2908,No
1726,LINCOLN SURGICAL HOSPITAL (280127),2020,Acute Care,Proprietary,21.0,40.794718,-96.624974,NE,,,,,,-1.2351,-1.2351,No
1727,CHI HEALTH NEBRASKA HEART (280128),2020,Acute Care,Voluntary non-profit - Private,54.0,40.735476,-96.594607,NE,,1.8207,,,,-1.5258,0.1475,No
1728,ORTHONEBRASKA HOSPITAL (280129),2020,Acute Care,Physician,24.0,41.232001,-96.135396,NE,,,,,,-1.5258,-1.5258,No
1729,CHI HEALTH LAKESIDE (280130),2020,Acute Care,Voluntary non-profit - Church,121.0,41.23904,-96.180532,NE,-0.2432,-0.4271,-0.5867,-0.9356,-0.0521,1.79,-0.0758,No
1730,MIDWEST SURGICAL HOSPITAL LLC (280131),2020,Acute Care,Physician,19.0,41.258155,-96.036891,NE,,,,,,-1.1758,-1.1758,No
1731,BELLEVUE MEDICAL CENTER (280132),2020,Acute Care,Proprietary,62.0,41.13639,-95.94586,NE,1.8548,0.177,-1.4459,-1.4453,0.624,-0.6189,-0.1424,No
1732,"NEBRASKA SPINE HOSPITAL, LLC (280133)",2020,Acute Care,Proprietary,34.0,,,NE,,,,,,-0.9953,-0.9953,No
1733,KEARNEY REGIONAL MEDICAL CENTER (280134),2020,Acute Care,Proprietary,70.0,40.6975,-99.0931,NE,-1.5354,0.7239,,,-1.5,0.4965,-0.4538,No
1734,RENOWN REGIONAL MEDICAL CENTER (290001),2020,Acute Care,Voluntary non-profit - Other,604.0,39.524747,-119.796721,NV,-0.7563,-0.5923,-0.3261,-0.948,0.6332,1.681,-0.0514,No
1735,SUNRISE HOSPITAL AND MEDICAL CENTER (290003),2020,Acute Care,Proprietary,645.0,36.134586,-115.136883,NV,0.2262,0.2641,0.384,1.2679,1.0753,1.7298,0.8246,Yes
1736,NORTH VISTA HOSPITAL (290005),2020,Acute Care,Voluntary non-profit - Private,178.0,36.195739,-115.122986,NV,0.8039,0.9793,-0.9984,2.2502,-1.5,-1.5258,0.0015,No
1737,UNIVERSITY MEDICAL CENTER (290007),2020,Acute Care,Government - Local,502.0,36.158941,-115.165945,NV,0.4637,0.9162,0.4437,-0.0099,1.6575,2.3575,0.9714,Yes
1738,NORTHEASTERN NEVADA REGIONAL HOSPITAL (290008),2020,Acute Care,Voluntary non-profit - Private,65.0,40.822508,-115.729026,NV,-1.5354,-0.5112,,,,-0.0491,-0.6986,No
1739,SAINT MARY'S REGIONAL MEDICAL CENTER (290009),2020,Acute Care,Voluntary non-profit - Private,282.0,39.531619,-119.818243,NV,-0.8836,-0.397,-1.4459,-0.8772,-1.0266,-1.5258,-1.026,No
1740,SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA (290012),2020,Acute Care,Voluntary non-profit - Church,86.0,36.038829,-114.983192,NV,-1.085,1.2738,-0.9964,-0.1214,0.1911,0.176,-0.0937,No
1741,CARSON TAHOE REGIONAL MEDICAL CENTER (290019),2020,Acute Care,Voluntary non-profit - Private,202.0,39.201899,-119.781729,NV,0.7564,-0.0845,0.5372,-0.0046,1.1914,0.1088,0.4174,Yes
1742,VALLEY HOSPITAL MEDICAL CENTER (290021),2020,Acute Care,Proprietary,286.0,36.163914,-115.165463,NV,0.4979,0.1319,0.9847,0.1865,1.2154,0.8242,0.6401,Yes
1743,DESERT SPRINGS HOSPITAL (290022),2020,Acute Care,Proprietary,271.0,36.114561,-115.125548,NV,0.3611,0.0507,2.1941,1.7706,-0.3192,1.2042,0.8769,Yes
1744,NORTHERN NEVADA MEDICAL CENTER (290032),2020,Acute Care,Proprietary,113.0,39.542488,-119.697974,NV,,0.814,,,-1.5,-1.5258,-0.7373,No
1745,MOUNTAINVIEW HOSPITAL (290039),2020,Acute Care,Proprietary,346.0,36.2156,-115.250795,NV,-0.8646,-0.6825,-0.4096,1.0963,-1.1187,-0.7245,-0.4506,No
1746,SUMMERLIN HOSPITAL MEDICAL CENTER (290041),2020,Acute Care,Proprietary,432.0,36.179638,-115.315776,NV,0.6253,0.2761,0.0817,0.7494,0.6572,2.3575,0.7912,Yes
1747,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS (290045),2020,Acute Care,Voluntary non-profit - Private,283.0,,,NV,0.2756,0.0477,-0.4196,-1.2701,0.2998,1.4923,0.071,No
1748,SPRING VALLEY HOSPITAL MEDICAL CENTER (290046),2020,Acute Care,Proprietary,287.0,36.089714,-115.242882,NV,0.4314,0.1199,1.663,1.3971,0.1764,1.8247,0.9354,Yes
1749,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER (290047),2020,Acute Care,Voluntary non-profit - Private,182.0,36.070256,-115.295512,NV,-0.9444,0.6397,2.1941,-0.4329,0.6001,2.0649,0.6869,Yes
1750,RENOWN SOUTH MEADOWS MEDICAL CENTER (290049),2020,Acute Care,Voluntary non-profit - Private,138.0,39.435894,-119.758393,NV,-1.5354,-0.4511,-1.4459,-1.4453,,-0.5373,-1.083,No
1751,SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS (290053),2020,Acute Care,Voluntary non-profit - Church,140.0,36.055545,-115.271323,NV,-0.876,0.8561,-0.531,-0.8878,-0.9087,2.3575,0.0017,No
1752,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER (290054),2020,Acute Care,Proprietary,228.0,36.286014,-115.28773,NV,-0.6232,0.802,1.0822,0.121,-0.7724,0.4624,0.1787,No
1753,ORTHOPEDIC SPECIALTY HOSPITAL OF NEVADA (290056),2020,Acute Care,Voluntary non-profit - Private,130.0,36.077811,-115.281036,NV,,1.971,2.1941,2.2502,2.0996,0.0069,1.7044,Yes
1754,HENDERSON HOSPITAL (290057),2020,Acute Care,Proprietary,181.0,,,NV,-1.1819,-0.2678,0.4516,-1.4453,-1.5,-0.8548,-0.7997,No
1755,DIGNITY HEALTH ST ROSE DOMINICAN N L V  CAMPUS (290058),2020,Acute Care,Proprietary,32.0,,,NV,,,,,,,,No
1756,CONCORD HOSPITAL (300001),2020,Acute Care,Voluntary non-profit - Private,212.0,43.196329,-71.562366,NH,-0.3629,0.7419,-1.2271,-0.755,-0.6121,-1.5258,-0.6235,No
1757,MARY HITCHCOCK MEMORIAL HOSPITAL (300003),2020,Acute Care,Voluntary non-profit - Other,405.0,43.67797,-72.273746,NH,1.1003,0.1108,0.0558,-0.3143,1.628,-0.1193,0.4102,Yes
1758,LAKES REGION GENERAL HOSPITAL (300005),2020,Acute Care,Voluntary non-profit - Private,94.0,43.528103,-71.460771,NH,-1.5354,0.2341,0.0996,1.1812,0.403,-1.127,-0.1241,No
1759,ST JOSEPH HOSPITAL (300011),2020,Acute Care,Voluntary non-profit - Other,208.0,42.750441,-71.479886,NH,-0.9387,1.0574,-1.4459,-1.4453,-1.5,1.7998,-0.4121,No
1760,ELLIOT HOSPITAL (300012),2020,Acute Care,Voluntary non-profit - Private,243.0,42.982795,-71.435739,NH,0.059,-0.3189,-1.245,-0.4842,-0.4113,-0.9668,-0.5612,No
1761,FRISBIE MEMORIAL HOSPITAL (300014),2020,Acute Care,Voluntary non-profit - Private,77.0,43.298189,-70.961194,NH,1.5754,1.971,2.1941,,-0.3173,0.9342,1.2715,Yes
1762,PARKLAND MEDICAL CENTER (300017),2020,Acute Care,Proprietary,159.0,42.875825,-71.317578,NH,-0.6688,0.1048,0.4835,-1.4453,2.0996,-1.1089,-0.0892,No
1763,WENTWORTH-DOUGLASS HOSPITAL (300018),2020,Acute Care,Voluntary non-profit - Private,116.0,43.212442,-70.875139,NH,1.1136,1.2437,-0.5548,-0.8488,-0.7539,-1.4293,-0.2049,No
1764,CHESHIRE MEDICAL CENTER (300019),2020,Acute Care,Voluntary non-profit - Private,124.0,42.949854,-72.290725,NH,0.4789,-0.0514,0.2527,-0.5444,2.0996,-0.9285,0.2178,No
1765,SOUTHERN NH MEDICAL CENTER (300020),2020,Acute Care,Voluntary non-profit - Private,163.0,42.756061,-71.461229,NH,0.2775,0.4775,0.9708,1.2095,-0.2731,-0.4486,0.3689,Yes
1766,EXETER HOSPITAL INC (300023),2020,Acute Care,Voluntary non-profit - Private,98.0,42.983066,-70.934319,NH,2.1854,-0.2197,0.6764,-0.4453,-0.3616,-0.9609,0.1457,No
1767,PORTSMOUTH REGIONAL HOSPITAL (300029),2020,Acute Care,Proprietary,168.0,43.064093,-70.787774,NH,0.8875,1.4301,-0.3917,0.6697,-0.3597,-0.0756,0.36,Yes
1768,CATHOLIC MEDICAL CENTER (300034),2020,Acute Care,Voluntary non-profit - Private,246.0,42.991211,-71.47379,NH,-0.7886,1.6013,-0.2306,-0.463,1.3443,1.5829,0.5077,Yes
1769,HACKENSACK UNIVERSITY MEDICAL CENTER (310001),2020,Acute Care,Voluntary non-profit - Private,710.0,40.884032,-74.057954,NJ,0.401,-0.0634,-0.3321,1.0502,0.8967,0.726,0.4464,Yes
1770,NEWARK BETH ISRAEL MEDICAL CENTER (310002),2020,Acute Care,Voluntary non-profit - Private,486.0,40.710054,-74.213787,NJ,-0.933,-0.5022,-0.6563,0.1741,0.4048,-1.0673,-0.43,No
1771,PALISADES MEDICAL CENTER (310003),2020,Acute Care,Voluntary non-profit - Private,192.0,40.794166,-73.995765,NJ,-0.4864,0.5255,0.9032,0.1582,2.0996,0.2007,0.5668,Yes
1772,HUNTERDON MEDICAL CENTER (310005),2020,Acute Care,Voluntary non-profit - Private,184.0,40.532524,-74.86041,NJ,0.3193,1.971,0.8375,0.091,0.1893,0.1699,0.5963,Yes
1773,ST MARY'S GENERAL HOSPITAL (310006),2020,Acute Care,Proprietary,185.0,40.85828,-74.13721,NJ,-1.1458,-0.5713,0.0101,0.8361,-0.9529,-1.3497,-0.5289,No
1774,HOLY NAME MEDICAL CENTER (310008),2020,Acute Care,Voluntary non-profit - Private,309.0,40.882377,-74.008629,NJ,-0.5415,1.1025,-0.6205,0.0927,0.6609,1.5254,0.3699,Yes
1775,CLARA MAASS MEDICAL CENTER (310009),2020,Acute Care,Voluntary non-profit - Private,344.0,,,NJ,-0.57,1.7005,-0.6563,0.4733,0.6019,-0.1961,0.2255,No
1776,PENN MEDICINE PRINCETON MEDICAL CENTER (310010),2020,Acute Care,Voluntary non-profit - Private,344.0,,,NJ,-0.9748,0.1439,-0.8592,0.3564,-0.3229,1.4012,-0.0425,No
1777,CAPE REGIONAL MEDICAL CENTER INC (310011),2020,Acute Care,Voluntary non-profit - Private,157.0,,,NJ,2.1854,1.7456,0.384,0.4095,-0.0539,-0.6882,0.6637,Yes
1778,VALLEY HOSPITAL (310012),2020,Acute Care,Voluntary non-profit - Private,387.0,40.983204,-74.101761,NJ,0.5169,-0.8568,0.6505,-0.1303,-0.1515,-0.2074,-0.0298,No
1779,COOPER UNIVERSITY HOSPITAL (310014),2020,Acute Care,Voluntary non-profit - Private,545.0,39.940802,-75.115757,NJ,0.9065,1.0274,1.6511,1.4874,0.4711,-0.0706,0.9121,Yes
1780,MORRISTOWN MEDICAL CENTER (310015),2020,Acute Care,Voluntary non-profit - Private,700.0,40.787896,-74.464855,NJ,-0.1045,-0.1296,-0.3539,-0.3285,-0.5752,-0.9032,-0.3991,No
1781,CAREPOINT HEALTH-CHRIST HOSPITAL (310016),2020,Acute Care,Voluntary non-profit - Church,186.0,40.734876,-74.050142,NJ,-0.7297,0.4805,0.384,0.2803,-0.9455,2.3575,0.3045,No
1782,CHILTON MEDICAL CENTER (310017),2020,Acute Care,Voluntary non-profit - Private,207.0,40.959237,-74.308102,NJ,-0.5681,-0.2498,0.4874,1.0502,-0.6784,0.5326,0.0957,No
1783,ST JOSEPH'S UNIVERSITY MEDICAL CENTER (310019),2020,Acute Care,Voluntary non-profit - Church,705.0,40.902456,-74.166751,NJ,-0.2451,-0.4751,0.0319,-0.7674,-0.9032,2.3575,-0.0002,No
1784,ST FRANCIS MEDICAL CENTER (310021),2020,Acute Care,Voluntary non-profit - Private,157.0,40.217126,-74.742576,NJ,1.0585,0.5856,-1.4459,-0.7834,-1.5,1.7344,-0.0584,No
1785,VIRTUA WEST JERSEY HOSPITALS VOORHEES (310022),2020,Acute Care,Voluntary non-profit - Private,611.0,39.842327,-74.927892,NJ,1.2144,-0.0755,0.2249,-0.7179,0.3072,-0.7891,0.0273,No
1786,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY (310024),2020,Acute Care,Voluntary non-profit - Private,144.0,40.612237,-74.291688,NJ,-0.4237,0.8831,0.5133,2.2502,-0.7355,0.21,0.4496,Yes
1787,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER (310025),2020,Acute Care,Voluntary non-profit - Private,189.0,40.667531,-74.112371,NJ,-0.247,-0.6434,-0.3639,0.5016,-0.0189,0.3293,-0.0737,No
1788,TRINITAS REGIONAL MEDICAL CENTER (310027),2020,Acute Care,Voluntary non-profit - Private,442.0,40.65892,-74.214355,NJ,2.1854,-0.2768,1.2194,0.3299,1.184,-0.3868,0.7092,Yes
1789,NEWTON MEDICAL CENTER (310028),2020,Acute Care,Voluntary non-profit - Private,1620.0,41.055649,-74.76494,NJ,0.1027,1.1175,-0.9845,-0.9179,-0.4702,-0.7659,-0.3197,No
1790,VIRTUA OUR LADY OF LOURDES HOSPITAL (310029),2020,Acute Care,Voluntary non-profit - Private,328.0,39.927033,-75.095704,NJ,0.173,0.6367,0.2209,-0.7922,-0.6305,-1.5258,-0.3196,No
1791,DEBORAH HEART AND LUNG CENTER (310031),2020,Acute Care,Voluntary non-profit - Private,85.0,39.977274,-74.58621,NJ,-0.1045,0.4895,2.031,0.6538,,0.0983,0.6336,Yes
1792,INSPIRA MEDICAL CENTER VINELAND (310032),2020,Acute Care,Voluntary non-profit - Private,332.0,39.447444,-75.057329,NJ,-0.266,0.3482,-0.9944,-1.0294,1.0219,1.547,0.1046,No
1793,RIVERVIEW MEDICAL CENTER (310034),2020,Acute Care,Proprietary,289.0,,,NJ,-0.5396,-0.9049,-0.7577,0.3122,-0.8295,-0.713,-0.5721,No
1794,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL (310038),2020,Acute Care,Voluntary non-profit - Private,617.0,,,NJ,1.0167,0.9012,-0.5727,1.3706,-0.7687,0.6262,0.4289,Yes
1795,RARITAN BAY MEDICAL CENTER PERTH AMBOY DIVISION (310039),2020,Acute Care,Voluntary non-profit - Private,292.0,40.518346,-74.28075,NJ,-1.0432,0.5406,-0.8313,0.4467,0.8856,-1.1204,-0.187,No
1796,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER (310040),2020,Acute Care,Voluntary non-profit - Church,190.0,40.741213,-74.033559,NJ,1.6248,-1.1332,0.4914,-0.7869,-0.555,1.5652,0.201,No
1797,COMMUNITY MEDICAL CENTER (310041),2020,Acute Care,Voluntary non-profit - Private,462.0,39.965083,-74.21449,NJ,-0.494,1.0815,-0.527,0.5281,-0.5974,-1.3032,-0.2187,No
1798,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL (310044),2020,Acute Care,Voluntary non-profit - Private,179.0,,,NJ,-0.3496,-0.7426,-0.8273,-0.1692,-0.0226,1.5737,-0.0896,No
1799,ENGLEWOOD HOSPITAL AND MEDICAL CENTER (310045),2020,Acute Care,Voluntary non-profit - Private,302.0,40.902855,-73.967993,NJ,-0.9824,1.6795,-0.6384,0.0326,-1.3084,0.1686,-0.1748,No
1800,SHORE MEDICAL CENTER (310047),2020,Acute Care,Voluntary non-profit - Private,252.0,39.314673,-74.592772,NJ,-0.9425,0.5616,-0.9268,-0.7586,0.7014,0.976,-0.0648,No
1801,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET (310048),2020,Acute Care,Voluntary non-profit - Private,279.0,40.568854,-74.595695,NJ,-1.0394,0.5045,-0.7955,-0.2312,-0.9879,-1.5258,-0.6792,No
1802,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS (310050),2020,Acute Care,Proprietary,362.0,40.894376,-74.464479,NJ,0.5683,0.5346,2.0847,1.875,-1.1629,-1.5258,0.3956,Yes
1803,OVERLOOK MEDICAL CENTER (310051),2020,Acute Care,Voluntary non-profit - Other,484.0,40.71241,-74.354023,NJ,0.3231,0.5406,0.03,0.3016,-0.4518,-0.1723,0.0952,No
1804,OCEAN MEDICAL CENTER (310052),2020,Acute Care,Voluntary non-profit - Other,302.0,40.078327,-74.129748,NJ,-0.8798,0.5466,-1.2948,1.1794,-1.0413,-1.1409,-0.4385,No
1805,HACKENSACK-UMC MOUNTAINSIDE (310054),2020,Acute Care,Voluntary non-profit - Private,229.0,,,NJ,0.1369,0.0958,2.1941,0.8998,1.068,0.0822,0.7461,Yes
1806,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY (310057),2020,Acute Care,Voluntary non-profit - Private,334.0,39.985698,-74.795832,NJ,1.0395,0.1499,0.386,-0.5002,0.2851,2.3575,0.6196,Yes
