,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CLABSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score
1675,MERCY HOSPITAL SPRINGFIELD (260065),2015,Acute Care,Voluntary non-profit - Church,690.0,37.177969,-93.275276,MO,5.0,2.0,6.0,6.0,3.5,4.375
1676,BOONE HOSPITAL CENTER (260068),2015,Acute Care,Voluntary non-profit - Other,328.0,38.950669,-92.317039,MO,4.0,1.0,5.0,5.0,2.5,3.375
1677,PEMISCOT COUNTY MEMORIAL HOSPITAL (260070),2015,Acute Care,Government - Hospital District or Authority,198.0,36.236855,-89.739975,MO,1.0,1.0,3.0,3.0,1.0,1.7
1678,MOBERLY REGIONAL MEDICAL CENTER (260074),2015,Acute Care,Proprietary,75.0,39.423879,-92.414216,MO,10.0,,2.0,2.0,10.0,7.2
1679,ST ANTHONY'S MEDICAL CENTER (260077),2015,Acute Care,Voluntary non-profit - Private,746.0,38.509739,-90.37775,MO,4.0,3.0,9.0,9.0,3.5,5.425
1680,OZARKS MEDICAL CENTER (260078),2015,Acute Care,Voluntary non-profit - Other,104.0,36.737992,-91.875552,MO,5.0,1.0,10.0,10.0,3.0,5.45
1681,SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY (260080),2015,Acute Care,Voluntary non-profit - Private,22.0,,,MO,,,7.0,7.0,,7.0
1682,SSM ST CLARE HEALTH CENTER (260081),2015,Acute Care,Voluntary non-profit - Private,180.0,38.529043,-90.473625,MO,5.0,3.0,6.0,6.0,4.0,4.7
1683,ST JOSEPH MEDICAL CENTER (260085),2015,Acute Care,Voluntary non-profit - Private,183.0,38.934471,-94.605342,MO,2.0,2.0,3.0,3.0,2.0,2.35
1684,SSM ST MARYS HEALTH CENTER (260091),2015,Acute Care,Voluntary non-profit - Private,609.0,38.633943,-90.310138,MO,4.0,4.0,6.0,6.0,4.0,4.7
1685,COX MEDICAL CENTER BRANSON (260094),2015,Acute Care,Voluntary non-profit - Private,139.0,36.650541,-93.220376,MO,7.0,8.0,4.0,4.0,7.5,6.275
1686,CENTERPOINT MEDICAL CENTER (260095),2015,Acute Care,Voluntary non-profit - Private,246.0,39.047771,-94.349313,MO,9.0,9.0,8.0,8.0,9.0,8.65
1687,NORTH KANSAS CITY HOSPITAL (260096),2015,Acute Care,Government - Local,417.0,39.15081,-94.551852,MO,6.0,3.0,2.0,2.0,4.5,3.625
1688,WESTERN MISSOURI MEDICAL CENTER (260097),2015,Acute Care,Government - Hospital District or Authority,64.0,38.766474,-93.723701,MO,1.0,,5.0,5.0,1.0,2.4
1689,TRUMAN MEDICAL CENTER LAKEWOOD (260102),2015,Acute Care,Voluntary non-profit - Private,305.0,38.973583,-94.390407,MO,1.0,,7.0,7.0,1.0,3.1
1690,SSM DEPAUL HEALTH CENTER (260104),2015,Acute Care,Voluntary non-profit - Private,490.0,38.748965,-90.432379,MO,5.0,6.0,8.0,8.0,5.5,6.375
1691,ST LOUIS UNIVERSITY HOSPITAL (260105),2015,Acute Care,Proprietary,316.0,38.622459,-90.239052,MO,7.0,9.0,10.0,10.0,8.0,8.7
1692,MISSOURI BAPTIST MEDICAL CENTER (260108),2015,Acute Care,Voluntary non-profit - Private,433.0,38.635532,-90.443636,MO,6.0,7.0,5.0,5.0,6.5,5.975
1693,SOUTHEAST MISSOURI HOSPITAL (260110),2015,Acute Care,Voluntary non-profit - Private,224.0,37.311273,-89.540936,MO,7.0,10.0,8.0,8.0,8.5,8.325
1694,MISSOURI DELTA MEDICAL CENTER (260113),2015,Acute Care,Voluntary non-profit - Other,147.0,36.889048,-89.584346,MO,1.0,1.0,4.0,4.0,1.0,2.05
1695,MINERAL AREA REGIONAL MEDICAL CENTER (260116),2015,Acute Care,Proprietary,96.0,,,MO,5.0,,2.0,2.0,5.0,3.95
1696,POPLAR BLUFF REGIONAL MEDICAL CENTER (260119),2015,Acute Care,Proprietary,287.0,36.788987,-90.443287,MO,3.0,9.0,10.0,10.0,6.0,7.4
1697,FREEMAN HEALTH SYSTEM - FREEMAN WEST (260137),2015,Acute Care,Voluntary non-profit - Other,393.0,37.054408,-94.526884,MO,3.0,4.0,8.0,8.0,3.5,5.075
1698,ST LUKES HOSPITAL OF KANSAS CITY (260138),2015,Acute Care,Government - Hospital District or Authority,470.0,39.046134,-94.59015,MO,6.0,6.0,9.0,9.0,6.0,7.05
1699,UNIVERSITY OF MISSOURI HEALTH CARE (260141),2015,Acute Care,Government - State,529.0,,,MO,7.0,4.0,9.0,9.0,5.5,6.725
1700,FITZGIBBON HOSPITAL (260142),2015,Acute Care,Voluntary non-profit - Private,51.0,,,MO,,,5.0,5.0,,5.0
1701,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY (260160),2015,Acute Care,Proprietary,47.0,36.807432,-89.969973,MO,,,5.0,5.0,,5.0
1702,BARNES-JEWISH WEST COUNTY HOSPITAL (260162),2015,Acute Care,Voluntary non-profit - Private,75.0,38.676997,-90.466227,MO,5.0,8.0,10.0,10.0,6.5,7.725
1703,PARKLAND HEALTH CENTER (260163),2015,Acute Care,Voluntary non-profit - Private,105.0,37.780624,-90.438195,MO,,,7.0,7.0,,7.0
1704,GOLDEN VALLEY MEMORIAL HOSPITAL (260175),2015,Acute Care,Government - Hospital District or Authority,49.0,38.391389,-93.770506,MO,10.0,1.0,5.0,5.0,5.5,5.325
1705,DES PERES HOSPITAL (260176),2015,Acute Care,Proprietary,109.0,38.581081,-90.450408,MO,8.0,3.0,7.0,7.0,5.5,6.025
1706,LIBERTY HOSPITAL (260177),2015,Acute Care,Government - Hospital District or Authority,215.0,39.276757,-94.424343,MO,9.0,4.0,6.0,6.0,6.5,6.325
1707,ST LUKES HOSPITAL (260179),2015,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,1.0,2.0,10.0,10.0,1.5,4.475
1708,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST (260180),2015,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,9.0,2.0,10.0,10.0,5.5,7.075
1709,SAINT FRANCIS MEDICAL CENTER (260183),2015,Acute Care,Voluntary non-profit - Church,290.0,,,MO,8.0,7.0,8.0,8.0,7.5,7.675
1710,LAKE REGIONAL HEALTH SYSTEM (260186),2015,Acute Care,Voluntary non-profit - Other,116.0,38.118486,-92.681085,MO,9.0,1.0,3.0,3.0,5.0,4.3
1711,LEE'S SUMMIT MEDICAL CENTER (260190),2015,Acute Care,Proprietary,71.0,38.902285,-94.332151,MO,10.0,10.0,4.0,4.0,10.0,7.9
1712,BARNES-JEWISH ST PETERS HOSPITAL (260191),2015,Acute Care,Voluntary non-profit - Other,115.0,38.792719,-90.579377,MO,4.0,7.0,7.0,7.0,5.5,6.025
1713,ST MARY'S MEDICAL CENTER (260193),2015,Acute Care,Voluntary non-profit - Church,98.0,39.023528,-94.266042,MO,4.0,9.0,9.0,9.0,6.5,7.375
1714,CITIZENS MEMORIAL HOSPITAL (260195),2015,Acute Care,Government - Hospital District or Authority,70.0,37.625971,-93.420915,MO,,,1.0,1.0,,1.0
1715,SSM ST JOSEPH HOSPITAL WEST (260200),2015,Acute Care,Voluntary non-profit - Church,157.0,38.803742,-90.774423,MO,9.0,10.0,5.0,5.0,9.5,7.925
1716,OZARKS COMMUNITY HOSPITAL (260207),2015,Acute Care,Proprietary,31.0,,,MO,,,8.0,8.0,,8.0
1717,CALLAWAY COMMUNITY HOSPITAL (260209),2015,Acute Care,Voluntary non-profit - Private,35.0,38.842247,-91.966202,MO,,,6.0,6.0,,6.0
1718,ST ALEXIUS HOSPITAL (260210),2015,Acute Care,Proprietary,172.0,38.583359,-90.227557,MO,4.0,9.0,6.0,6.0,6.5,6.325
1719,BELTON REGIONAL MEDICAL CENTER (260214),2015,Acute Care,Voluntary non-profit - Private,71.0,,,MO,,,3.0,3.0,,3.0
1720,SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL (260216),2015,Acute Care,Voluntary non-profit - Private,168.0,38.940551,-94.378443,MO,10.0,4.0,6.0,6.0,7.0,6.65
1721,PROGRESS WEST HOSPITAL (260219),2015,Acute Care,Voluntary non-profit - Private,71.0,38.715097,-90.696597,MO,1.0,8.0,10.0,10.0,4.5,6.425
1722,BLACK RIVER COMMUNITY MEDICAL CENTER (260227),2015,Acute Care,Voluntary non-profit - Private,5.0,36.770882,-90.456445,MO,,,7.0,7.0,,7.0
1723,MERCY MCCUNE BROOKS HOSPITAL (260228),2015,Acute Care,Voluntary non-profit - Church,26.0,,,MO,,,5.0,5.0,,5.0
1724,ST PETER'S HOSPITAL (270003),2015,Acute Care,Voluntary non-profit - Private,125.0,,,MT,8.0,6.0,7.0,7.0,7.0,7.0
1725,BILLINGS CLINIC HOSPITAL (270004),2015,Acute Care,Voluntary non-profit - Private,288.0,45.790452,-108.51415,MT,7.0,8.0,1.0,1.0,7.5,5.225
1726,BENEFIS HOSPITALS INC (270012),2015,Acute Care,Voluntary non-profit - Private,488.0,47.491848,-111.262615,MT,9.0,8.0,4.0,4.0,8.5,6.925
1727,ST PATRICK HOSPITAL (270014),2015,Acute Care,Voluntary non-profit - Church,200.0,46.873905,-113.999891,MT,9.0,5.0,8.0,8.0,7.0,7.35
1728,ST JAMES HEALTHCARE (270017),2015,Acute Care,Voluntary non-profit - Private,73.0,46.00928,-112.546068,MT,7.0,8.0,8.0,8.0,7.5,7.675
1729,COMMUNITY MEDICAL CENTER (270023),2015,Acute Care,Voluntary non-profit - Private,145.0,46.842062,-114.055919,MT,1.0,4.0,5.0,5.0,2.5,3.375
1730,NORTHERN MONTANA HOSPITAL (270032),2015,Acute Care,Voluntary non-profit - Private,198.0,48.539326,-109.686363,MT,,,9.0,9.0,,9.0
1731,ST VINCENT HEALTHCARE (270049),2015,Acute Care,Voluntary non-profit - Church,248.0,45.793166,-108.520281,MT,7.0,8.0,6.0,6.0,7.5,6.975
1732,KALISPELL REGIONAL MEDICAL CENTER (270051),2015,Acute Care,Voluntary non-profit - Private,292.0,48.215685,-114.324753,MT,4.0,8.0,3.0,3.0,6.0,4.95
1733,BOZEMAN DEACONESS HOSPITAL (270057),2015,Acute Care,Voluntary non-profit - Private,89.0,45.670278,-111.017239,MT,5.0,3.0,8.0,8.0,4.0,5.4
1734,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET (270074),2015,Acute Care,Government - Federal,26.0,,,MT,,,6.0,6.0,,6.0
1735,GREAT FALLS CLINIC MEDICAL CENTER (270086),2015,Acute Care,Proprietary,20.0,47.487737,-111.254561,MT,,,2.0,2.0,,2.0
1736,THE HEALTHCENTER (270087),2015,Acute Care,Proprietary,30.0,48.216208,-114.324047,MT,,,4.0,4.0,,4.0
1737,BRYAN MEDICAL CENTER (280003),2015,Acute Care,Voluntary non-profit - Private,569.0,40.796598,-96.653661,NE,9.0,4.0,6.0,6.0,6.5,6.325
1738,CHI HEALTH GOOD SAMARITAN (280009),2015,Acute Care,Voluntary non-profit - Church,250.0,,,NE,8.0,1.0,4.0,4.0,4.5,4.325
1739,THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE (280013),2015,Acute Care,Voluntary non-profit - Private,542.0,,,NE,8.0,8.0,8.0,8.0,8.0,8.0
1740,CHI HEALTH ST ELIZABETH (280020),2015,Acute Care,Voluntary non-profit - Private,244.0,40.807609,-96.625179,NE,4.0,8.0,8.0,8.0,6.0,6.7
1741,CHI HEALTH ST FRANCIS (280023),2015,Acute Care,Voluntary non-profit - Church,184.0,40.924267,-98.370887,NE,6.0,5.0,10.0,10.0,5.5,7.075
1742,CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER (280030),2015,Acute Care,Voluntary non-profit - Other,213.0,,,NE,9.0,4.0,8.0,8.0,6.5,7.025
1743,MARY LANNING HEALTHCARE (280032),2015,Acute Care,Voluntary non-profit - Other,138.0,40.592416,-98.387474,NE,1.0,1.0,8.0,8.0,1.0,3.45
1744,THE NEBRASKA METHODIST HOSPITAL (280040),2015,Acute Care,Voluntary non-profit - Private,369.0,41.259682,-96.041771,NE,6.0,6.0,10.0,10.0,6.0,7.4
1745,CHI HEALTH BERGAN MERCY (280060),2015,Acute Care,Voluntary non-profit - Private,358.0,41.237904,-96.028717,NE,9.0,7.0,1.0,1.0,8.0,5.55
1746,REGIONAL WEST MEDICAL CENTER (280061),2015,Acute Care,Voluntary non-profit - Private,164.0,41.885055,-103.665837,NE,2.0,8.0,7.0,7.0,5.0,5.7
1747,GREAT PLAINS HEALTH (280065),2015,Acute Care,Voluntary non-profit - Private,105.0,41.120746,-100.770199,NE,10.0,9.0,7.0,7.0,9.5,8.625
1748,FREMONT HEALTH MEDICAL CENTER (280077),2015,Acute Care,Government - Local,187.0,41.451464,-96.492473,NE,1.0,10.0,7.0,7.0,5.5,6.025
1749,CHI HEALTH IMMANUEL (280081),2015,Acute Care,Voluntary non-profit - Private,308.0,41.321839,-96.023788,NE,10.0,9.0,1.0,1.0,9.5,6.525
1750,CHI HEALTH MIDLANDS (280105),2015,Acute Care,Voluntary non-profit - Church,46.0,41.136866,-96.042825,NE,1.0,7.0,5.0,5.0,4.0,4.35
1751,COLUMBUS COMMUNITY HOSPITAL (280111),2015,Acute Care,Voluntary non-profit - Other,51.0,41.453273,-97.3849,NE,,,3.0,3.0,,3.0
1752,FAITH REGIONAL HEALTH SERVICES (280125),2015,Acute Care,Voluntary non-profit - Private,127.0,42.032526,-97.450942,NE,8.0,10.0,9.0,9.0,9.0,9.0
1753,LINCOLN SURGICAL HOSPITAL (280127),2015,Acute Care,Proprietary,21.0,40.794718,-96.624974,NE,,,3.0,3.0,,3.0
1754,CHI HEALTH NEBRASKA HEART (280128),2015,Acute Care,Voluntary non-profit - Private,54.0,40.735476,-96.594607,NE,,,1.0,1.0,,1.0
1755,NEBRASKA ORTHOPAEDIC HOSPITAL (280129),2015,Acute Care,Physician,24.0,41.232001,-96.135396,NE,,,4.0,4.0,,4.0
1756,CHI HEALTH LAKESIDE (280130),2015,Acute Care,Voluntary non-profit - Church,121.0,41.23904,-96.180532,NE,8.0,8.0,3.0,3.0,8.0,6.25
1757,MIDWEST SURGICAL HOSPITAL LLC (280131),2015,Acute Care,Physician,19.0,41.258155,-96.036891,NE,,,5.0,5.0,,5.0
1758,BELLEVUE MEDICAL CENTER DBA NEBRASKA MEDICINE-BELL (280132),2015,Acute Care,Proprietary,62.0,41.13639,-95.94586,NE,1.0,1.0,4.0,4.0,1.0,2.05
1759,"NEBRASKA SPINE HOSPITAL, LLC (280133)",2015,Acute Care,Proprietary,34.0,,,NE,,,7.0,7.0,,7.0
1760,RENOWN REGIONAL MEDICAL CENTER (290001),2015,Acute Care,Voluntary non-profit - Other,604.0,39.524747,-119.796721,NV,7.0,5.0,8.0,8.0,6.0,6.7
1761,SUNRISE HOSPITAL AND MEDICAL CENTER (290003),2015,Acute Care,Proprietary,645.0,36.134586,-115.136883,NV,6.0,3.0,8.0,8.0,4.5,5.725
1762,NORTH VISTA HOSPITAL (290005),2015,Acute Care,Voluntary non-profit - Private,178.0,36.195739,-115.122986,NV,10.0,10.0,5.0,5.0,10.0,8.25
1763,BANNER CHURCHILL COMMUNITY HOSPITAL (290006),2015,Acute Care,Voluntary non-profit - Private,37.0,,,NV,,,2.0,2.0,,2.0
1764,UNIVERSITY MEDICAL CENTER (290007),2015,Acute Care,Government - Local,502.0,36.158941,-115.165945,NV,10.0,9.0,10.0,10.0,9.5,9.675
1765,NORTHEASTERN NEVADA REGIONAL HOSPITAL (290008),2015,Acute Care,Voluntary non-profit - Private,65.0,40.822508,-115.729026,NV,1.0,,2.0,2.0,1.0,1.35
1766,SAINT MARY'S REGIONAL MEDICAL CENTER (290009),2015,Acute Care,Voluntary non-profit - Private,282.0,39.531619,-119.818243,NV,7.0,4.0,6.0,6.0,5.5,5.675
1767,ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS (290012),2015,Acute Care,Voluntary non-profit - Church,86.0,36.038829,-114.983192,NV,4.0,2.0,5.0,5.0,3.0,3.7
1768,CARSON TAHOE REGIONAL MEDICAL CENTER (290019),2015,Acute Care,Voluntary non-profit - Private,202.0,39.201899,-119.781729,NV,6.0,2.0,8.0,8.0,4.0,5.4
1769,VALLEY HOSPITAL MEDICAL CENTER (290021),2015,Acute Care,Proprietary,286.0,36.163914,-115.165463,NV,5.0,9.0,8.0,8.0,7.0,7.35
1770,DESERT SPRINGS HOSPITAL (290022),2015,Acute Care,Proprietary,271.0,36.114561,-115.125548,NV,2.0,2.0,1.0,1.0,2.0,1.65
1771,NORTHERN NEVADA MEDICAL CENTER (290032),2015,Acute Care,Proprietary,113.0,39.542488,-119.697974,NV,,9.0,9.0,9.0,9.0,9.0
1772,MOUNTAINVIEW HOSPITAL (290039),2015,Acute Care,Proprietary,346.0,36.2156,-115.250795,NV,9.0,7.0,7.0,7.0,8.0,7.65
1773,SUMMERLIN HOSPITAL MEDICAL CENTER (290041),2015,Acute Care,Proprietary,432.0,36.179638,-115.315776,NV,4.0,4.0,4.0,4.0,4.0,4.0
1774,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS (290045),2015,Acute Care,Voluntary non-profit - Private,283.0,,,NV,7.0,6.0,8.0,8.0,6.5,7.025
1775,SPRING VALLEY HOSPITAL MEDICAL CENTER (290046),2015,Acute Care,Proprietary,287.0,36.089714,-115.242882,NV,7.0,7.0,7.0,7.0,7.0,7.0
1776,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER (290047),2015,Acute Care,Voluntary non-profit - Private,182.0,36.070256,-115.295512,NV,6.0,8.0,8.0,8.0,7.0,7.35
1777,RENOWN SOUTH MEADOWS MEDICAL CENTER (290049),2015,Acute Care,Voluntary non-profit - Private,138.0,39.435894,-119.758393,NV,4.0,9.0,3.0,3.0,6.5,5.275
1778,SIERRA SURGERY HOSPITAL (290051),2015,Acute Care,Proprietary,15.0,,,NV,,,6.0,6.0,,6.0
1779,ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS (290053),2015,Acute Care,Voluntary non-profit - Church,140.0,36.055545,-115.271323,NV,7.0,3.0,3.0,3.0,5.0,4.3
1780,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER (290054),2015,Acute Care,Proprietary,228.0,36.286014,-115.28773,NV,1.0,3.0,7.0,7.0,2.0,3.75
1781,CONCORD HOSPITAL (300001),2015,Acute Care,Voluntary non-profit - Private,212.0,43.196329,-71.562366,NH,10.0,4.0,2.0,2.0,7.0,5.25
1782,MARY HITCHCOCK MEMORIAL HOSPITAL (300003),2015,Acute Care,Voluntary non-profit - Other,405.0,43.67797,-72.273746,NH,6.0,6.0,10.0,10.0,6.0,7.4
1783,LAKES REGION GENERAL HOSPITAL (300005),2015,Acute Care,Voluntary non-profit - Private,94.0,43.528103,-71.460771,NH,1.0,,3.0,3.0,1.0,1.7
1784,ST JOSEPH HOSPITAL (300011),2015,Acute Care,Voluntary non-profit - Other,208.0,42.750441,-71.479886,NH,8.0,1.0,10.0,10.0,4.5,6.425
1785,ELLIOT HOSPITAL (300012),2015,Acute Care,Voluntary non-profit - Private,243.0,42.982795,-71.435739,NH,10.0,3.0,8.0,8.0,6.5,7.025
1786,FRISBIE MEMORIAL HOSPITAL (300014),2015,Acute Care,Voluntary non-profit - Private,77.0,43.298189,-70.961194,NH,,,7.0,7.0,,7.0
1787,PARKLAND MEDICAL CENTER (300017),2015,Acute Care,Proprietary,159.0,42.875825,-71.317578,NH,6.0,1.0,5.0,5.0,3.5,4.025
1788,WENTWORTH-DOUGLASS HOSPITAL (300018),2015,Acute Care,Voluntary non-profit - Private,116.0,43.212442,-70.875139,NH,3.0,1.0,5.0,5.0,2.0,3.05
1789,CHESHIRE MEDICAL CENTER (300019),2015,Acute Care,Voluntary non-profit - Private,124.0,42.949854,-72.290725,NH,4.0,,8.0,8.0,4.0,5.4
1790,SOUTHERN NH MEDICAL CENTER (300020),2015,Acute Care,Voluntary non-profit - Private,163.0,42.756061,-71.461229,NH,7.0,1.0,6.0,6.0,4.0,4.7
1791,EXETER HOSPITAL INC (300023),2015,Acute Care,Voluntary non-profit - Private,98.0,42.983066,-70.934319,NH,7.0,1.0,1.0,1.0,4.0,2.95
1792,PORTSMOUTH REGIONAL HOSPITAL (300029),2015,Acute Care,Proprietary,168.0,43.064093,-70.787774,NH,5.0,7.0,2.0,2.0,6.0,4.6
1793,CATHOLIC MEDICAL CENTER (300034),2015,Acute Care,Voluntary non-profit - Private,246.0,42.991211,-71.47379,NH,10.0,7.0,8.0,8.0,8.5,8.325
1794,HACKENSACK UNIVERSITY MEDICAL CENTER (310001),2015,Acute Care,Voluntary non-profit - Private,710.0,40.884032,-74.057954,NJ,4.0,8.0,9.0,9.0,6.0,7.05
1795,NEWARK BETH ISRAEL MEDICAL CENTER (310002),2015,Acute Care,Voluntary non-profit - Private,486.0,40.710054,-74.213787,NJ,6.0,7.0,10.0,10.0,6.5,7.725
1796,PALISADES MEDICAL CENTER (310003),2015,Acute Care,Voluntary non-profit - Private,192.0,40.794166,-73.995765,NJ,8.0,9.0,8.0,8.0,8.5,8.325
1797,HUNTERDON MEDICAL CENTER (310005),2015,Acute Care,Voluntary non-profit - Private,184.0,40.532524,-74.86041,NJ,7.0,1.0,4.0,4.0,4.0,4.0
1798,ST MARY'S GENERAL HOSPITAL (310006),2015,Acute Care,Proprietary,185.0,40.85828,-74.13721,NJ,10.0,10.0,8.0,8.0,10.0,9.3
1799,HOLY NAME MEDICAL CENTER (310008),2015,Acute Care,Voluntary non-profit - Private,309.0,40.882377,-74.008629,NJ,3.0,9.0,8.0,8.0,6.0,6.7
1800,CLARA MAASS MEDICAL CENTER (310009),2015,Acute Care,Voluntary non-profit - Private,344.0,,,NJ,4.0,10.0,2.0,2.0,7.0,5.25
1801,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO (310010),2015,Acute Care,Voluntary non-profit - Private,344.0,,,NJ,6.0,9.0,8.0,8.0,7.5,7.675
1802,CAPE REGIONAL MEDICAL CENTER INC (310011),2015,Acute Care,Voluntary non-profit - Private,157.0,,,NJ,1.0,4.0,6.0,6.0,2.5,3.725
1803,VALLEY HOSPITAL (310012),2015,Acute Care,Voluntary non-profit - Private,387.0,40.983204,-74.101761,NJ,9.0,9.0,2.0,2.0,9.0,6.55
1804,COOPER UNIVERSITY HOSPITAL (310014),2015,Acute Care,Voluntary non-profit - Private,545.0,39.940802,-75.115757,NJ,6.0,4.0,9.0,9.0,5.0,6.4
1805,MORRISTOWN MEDICAL CENTER (310015),2015,Acute Care,Voluntary non-profit - Private,700.0,40.787896,-74.464855,NJ,5.0,6.0,5.0,5.0,5.5,5.325
1806,CAREPOINT HEALTH-CHRIST HOSPITAL (310016),2015,Acute Care,Voluntary non-profit - Church,186.0,40.734876,-74.050142,NJ,1.0,9.0,8.0,8.0,5.0,6.05
1807,CHILTON MEDICAL CENTER (310017),2015,Acute Care,Voluntary non-profit - Private,207.0,40.959237,-74.308102,NJ,3.0,8.0,10.0,10.0,5.5,7.075
1808,ST JOSEPH'S REGIONAL MEDICAL CENTER (310019),2015,Acute Care,Voluntary non-profit - Church,705.0,40.902456,-74.166751,NJ,5.0,8.0,5.0,5.0,6.5,5.975
1809,ST FRANCIS MEDICAL CENTER (310021),2015,Acute Care,Voluntary non-profit - Private,157.0,40.217126,-74.742576,NJ,6.0,4.0,10.0,10.0,5.0,6.75
1810,VIRTUA WEST JERSEY HOSPITALS BERLIN (310022),2015,Acute Care,Voluntary non-profit - Private,611.0,39.842327,-74.927892,NJ,6.0,4.0,1.0,1.0,5.0,3.6
1811,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY (310024),2015,Acute Care,Voluntary non-profit - Private,144.0,40.612237,-74.291688,NJ,2.0,5.0,1.0,1.0,3.5,2.625
1812,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER (310025),2015,Acute Care,Voluntary non-profit - Private,189.0,40.667531,-74.112371,NJ,7.0,9.0,1.0,1.0,8.0,5.55
1813,TRINITAS REGIONAL MEDICAL CENTER (310027),2015,Acute Care,Voluntary non-profit - Private,442.0,40.65892,-74.214355,NJ,5.0,9.0,5.0,5.0,7.0,6.3
1814,NEWTON MEDICAL CENTER (310028),2015,Acute Care,Voluntary non-profit - Private,1620.0,41.055649,-74.76494,NJ,3.0,1.0,1.0,1.0,2.0,1.65
1815,OUR LADY OF LOURDES MEDICAL CENTER (310029),2015,Acute Care,Voluntary non-profit - Private,328.0,39.927033,-75.095704,NJ,8.0,4.0,2.0,2.0,6.0,4.6
1816,DEBORAH HEART AND LUNG CENTER (310031),2015,Acute Care,Voluntary non-profit - Private,85.0,39.977274,-74.58621,NJ,4.0,4.0,1.0,1.0,4.0,2.95
1817,INSPIRA MEDICAL CENTER VINELAND (310032),2015,Acute Care,Voluntary non-profit - Private,332.0,39.447444,-75.057329,NJ,7.0,9.0,10.0,10.0,8.0,8.7
1818,RIVERVIEW MEDICAL CENTER (310034),2015,Acute Care,Proprietary,289.0,,,NJ,9.0,7.0,5.0,5.0,8.0,6.95
1819,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL (310038),2015,Acute Care,Voluntary non-profit - Private,617.0,,,NJ,9.0,8.0,10.0,10.0,8.5,9.025
1820,RARITAN BAY MEDICAL CENTER (310039),2015,Acute Care,Voluntary non-profit - Private,292.0,40.518346,-74.28075,NJ,8.0,5.0,7.0,7.0,6.5,6.675
1821,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER (310040),2015,Acute Care,Voluntary non-profit - Church,190.0,40.741213,-74.033559,NJ,9.0,6.0,6.0,6.0,7.5,6.975
1822,COMMUNITY MEDICAL CENTER (310041),2015,Acute Care,Voluntary non-profit - Private,462.0,39.965083,-74.21449,NJ,5.0,6.0,2.0,2.0,5.5,4.275
1823,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL (310044),2015,Acute Care,Voluntary non-profit - Private,179.0,,,NJ,10.0,10.0,10.0,10.0,10.0,10.0
1824,ENGLEWOOD HOSPITAL AND MEDICAL CENTER (310045),2015,Acute Care,Voluntary non-profit - Private,302.0,40.902855,-73.967993,NJ,6.0,3.0,1.0,1.0,4.5,3.275
1825,SHORE MEDICAL CENTER (310047),2015,Acute Care,Voluntary non-profit - Private,252.0,39.314673,-74.592772,NJ,10.0,10.0,3.0,3.0,10.0,7.55
1826,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET (310048),2015,Acute Care,Voluntary non-profit - Private,279.0,40.568854,-74.595695,NJ,9.0,6.0,9.0,9.0,7.5,8.025
1827,SAINT CLARE'S HOSPITAL (310050),2015,Acute Care,Proprietary,362.0,40.894376,-74.464479,NJ,4.0,8.0,1.0,1.0,6.0,4.25
1828,OVERLOOK MEDICAL CENTER (310051),2015,Acute Care,Voluntary non-profit - Other,484.0,40.71241,-74.354023,NJ,9.0,7.0,10.0,10.0,8.0,8.7
1829,OCEAN MEDICAL CENTER (310052),2015,Acute Care,Voluntary non-profit - Other,302.0,40.078327,-74.129748,NJ,9.0,10.0,8.0,8.0,9.5,8.975
1830,HACKENSACK-UMC MOUNTAINSIDE (310054),2015,Acute Care,Voluntary non-profit - Private,229.0,,,NJ,8.0,10.0,2.0,2.0,9.0,6.55
1831,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY (310057),2015,Acute Care,Voluntary non-profit - Private,334.0,39.985698,-74.795832,NJ,3.0,1.0,2.0,2.0,2.0,2.0
1832,BERGEN REGIONAL MEDICAL CENTER (310058),2015,Acute Care,Government - Local,1004.0,40.958602,-74.062151,NJ,7.0,10.0,5.0,5.0,8.5,7.275
