,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CDI Score,CLABSI Score,MRSA Score,SSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
1579,MAYO CLINIC HEALTH SYSTEM - MANKATO (240093),2016,Acute Care,Voluntary non-profit - Private,168.0,44.165047,-93.983738,MN,1.0,7.0,1.0,1.0,8.0,7.0,7.0,3.6,4.11,No
1580,SANFORD BEMIDJI MEDICAL CENTER (240100),2016,Acute Care,Voluntary non-profit - Private,192.0,47.505009,-94.898125,MN,8.0,8.0,10.0,1.0,9.0,4.0,4.0,7.2,6.72,Yes
1581,ESSENTIA HEALTH ST MARYS - DETROIT LAKES (240101),2016,Acute Care,Voluntary non-profit - Church,133.0,46.815307,-95.845453,MN,,2.0,,,,7.0,7.0,2.0,2.75,No
1582,ST FRANCIS REGIONAL MEDICAL CENTER (240104),2016,Acute Care,Voluntary non-profit - Church,85.0,44.770075,-93.503569,MN,1.0,8.0,,1.0,8.0,7.0,7.0,4.5,4.875,No
1583,REGIONS HOSPITAL (240106),2016,Acute Care,Voluntary non-profit - Private,450.0,44.955338,-93.096277,MN,9.0,5.0,7.0,3.0,9.0,9.0,9.0,6.6,6.96,Yes
1584,MERCY HOSPITAL (240115),2016,Acute Care,Voluntary non-profit - Private,360.0,45.183842,-93.368221,MN,9.0,7.0,3.0,3.0,5.0,1.0,1.0,5.4,4.74,No
1585,UNITY HOSPITAL (240132),2016,Acute Care,Voluntary non-profit - Other,194.0,,,MN,8.0,4.0,1.0,2.0,10.0,5.0,5.0,5.0,5.0,No
1586,FAIRVIEW NORTHLAND REGIONAL HOSPITAL (240141),2016,Acute Care,Voluntary non-profit - Other,38.0,45.55888,-93.588931,MN,,8.0,,,6.0,4.0,4.0,7.0,6.55,No
1587,MAYO CLINIC HEALTH SYSTEM - FAIRMONT (240166),2016,Acute Care,Voluntary non-profit - Private,78.0,43.637688,-94.451728,MN,,10.0,,,,7.0,7.0,10.0,9.55,Yes
1588,HUTCHINSON HEALTH (240187),2016,Acute Care,Voluntary non-profit - Private,119.0,44.875105,-94.375533,MN,,2.0,,,10.0,5.0,5.0,6.0,5.85,No
1589,PHILLIPS EYE INSTITUTE (240196),2016,Acute Care,Government - Federal,8.0,,,MN,,,,,,6.0,6.0,,6.0,No
1590,RED LAKE HOSPITAL A (240206),2016,Acute Care,Government - Federal,23.0,,,MN,,,,,,7.0,,,,No
1591,FAIRVIEW RIDGES HOSPITAL (240207),2016,Acute Care,Voluntary non-profit - Church,170.0,44.749947,-93.274858,MN,10.0,9.0,6.0,1.0,8.0,3.0,3.0,6.8,6.23,No
1592,HEALTHEAST ST JOHN'S HOSPITAL (240210),2016,Acute Care,Voluntary non-profit - Private,184.0,45.028131,-93.033508,MN,5.0,3.0,6.0,3.0,3.0,9.0,9.0,4.0,4.75,No
1593,HEALTHEAST WOODWINDS HOSPITAL (240213),2016,Acute Care,Voluntary non-profit - Private,86.0,44.92351,-92.975353,MN,,4.0,,1.0,9.0,7.0,7.0,4.6667,5.0167,No
1594,MAPLE GROVE HOSPITAL (240214),2016,Acute Care,Voluntary non-profit - Private,121.0,45.133377,-93.479488,MN,,2.0,,1.0,8.0,6.0,6.0,3.6667,4.0167,No
1595,UNIVERSITY OF MISSISSIPPI MED CENTER (250001),2016,Acute Care,Government - State,685.0,32.328783,-90.17558,MS,5.0,6.0,7.0,9.0,8.0,10.0,10.0,7.0,7.45,Yes
1596,TISHOMINGO HEALTH SERVICES INC (250002),2016,Acute Care,Voluntary non-profit - Private,48.0,34.803686,-88.209218,MS,,1.0,,,,6.0,6.0,1.0,1.75,No
1597,NORTH MISSISSIPPI MEDICAL CENTER (250004),2016,Acute Care,Voluntary non-profit - Private,627.0,34.242203,-88.717758,MS,9.0,3.0,8.0,9.0,4.0,2.0,2.0,6.6,5.91,No
1598,BAPTIST MEMORIAL HOSPITAL UNION COUNTY (250006),2016,Acute Care,Voluntary non-profit - Other,98.0,,,MS,1.0,1.0,,,6.0,1.0,1.0,2.6667,2.4167,No
1599,MERIT HEALTH BILOXI (250007),2016,Acute Care,Proprietary,190.0,30.396112,-88.890438,MS,2.0,3.0,1.0,1.0,4.0,7.0,7.0,2.2,2.92,No
1600,MAGNOLIA REGIONAL HEALTH CENTER (250009),2016,Acute Care,Voluntary non-profit - Other,193.0,34.935867,-88.558648,MS,4.0,10.0,1.0,2.0,2.0,9.0,9.0,3.8,4.58,No
1601,ALLIANCE HEALTHCARE SYSTEM (250012),2016,Acute Care,Physician,40.0,34.786835,-89.415027,MS,,1.0,,,,6.0,6.0,1.0,1.75,No
1602,TRACE REGIONAL HOSP AND SWING BED (250017),2016,Acute Care,Proprietary,119.0,33.89479,-88.985085,MS,,1.0,,,,6.0,6.0,1.0,1.75,No
1603,JASPER GENERAL HOSPITAL (250018),2016,Acute Care,Government - Local,20.0,31.976688,-89.290555,MS,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,9.55,Yes
1604,MEMORIAL HOSPITAL AT GULFPORT (250019),2016,Acute Care,Government - Local,431.0,30.366928,-89.114907,MS,4.0,5.0,3.0,3.0,6.0,8.0,8.0,4.2,4.77,No
1605,WEBSTER GENERAL HOSPITAL/ SWING BED (250020),2016,Acute Care,Voluntary non-profit - Other,38.0,33.534736,-89.266943,MS,,1.0,,,,6.0,6.0,1.0,1.75,No
1606,MERIT HEALTH GILMORE MEMORIAL (250025),2016,Acute Care,Proprietary,95.0,33.977551,-88.477625,MS,1.0,1.0,,,8.0,3.0,3.0,3.3333,3.2833,No
1607,WINSTON MEDICAL CENTER & SWINGBED (250027),2016,Acute Care,Voluntary non-profit - Private,136.0,33.124291,-89.036671,MS,,,,,,7.0,,,,No
1608,MERIT HEALTH RIVER REGION (250031),2016,Acute Care,Proprietary,298.0,32.374802,-90.827497,MS,6.0,2.0,10.0,6.0,2.0,8.0,8.0,5.2,5.62,No
1609,BAPTIST MEMORIAL HOSPITAL NORTH MS (250034),2016,Acute Care,Voluntary non-profit - Private,209.0,34.346609,-89.5212,MS,5.0,9.0,5.0,4.0,4.0,1.0,1.0,5.4,4.74,No
1610,GEORGE REGIONAL HEALTH SYSTEM (250036),2016,Acute Care,Government - Local,41.0,30.922235,-88.592853,MS,10.0,1.0,,,,5.0,5.0,5.5,5.425,No
1611,MERIT HEALTH MADISON (250038),2016,Acute Care,Proprietary,67.0,32.582157,-90.081677,MS,1.0,2.0,10.0,,9.0,8.0,8.0,5.5,5.875,No
1612,SINGING RIVER HOSPITAL (250040),2016,Acute Care,Government - Local,393.0,30.374871,-88.532404,MS,4.0,8.0,9.0,10.0,2.0,6.0,6.0,6.6,6.51,No
1613,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER (250042),2016,Acute Care,Proprietary,181.0,34.197133,-90.552764,MS,4.0,4.0,7.0,4.0,8.0,2.0,2.0,5.4,4.89,No
1614,NESHOBA COUNTY GENERAL HOSPITAL (250043),2016,Acute Care,Government - Local,207.0,32.757816,-89.105415,MS,,2.0,,,,6.0,6.0,2.0,2.6,No
1615,BAPTIST MEMORIAL HOSPITAL BOONEVILLE (250044),2016,Acute Care,Voluntary non-profit - Church,55.0,34.656337,-88.565763,MS,,5.0,,,,6.0,6.0,5.0,5.15,No
1616,ST DOMINIC-JACKSON MEMORIAL HOSPITAL (250048),2016,Acute Care,Voluntary non-profit - Church,548.0,32.333691,-90.165103,MS,9.0,3.0,3.0,6.0,3.0,6.0,6.0,4.8,4.98,No
1617,BEACHAM MEMORIAL HOSPITAL (250049),2016,Acute Care,Proprietary,34.0,31.145626,-90.45929,MS,,1.0,,,,6.0,6.0,1.0,1.75,No
1618,OCH REGIONAL MEDICAL CENTER (250050),2016,Acute Care,Government - Local,90.0,33.474957,-88.820554,MS,4.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,No
1619,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN (250057),2016,Acute Care,Voluntary non-profit - Other,96.0,,,MS,9.0,2.0,,6.0,5.0,3.0,3.0,5.5,5.125,No
1620,SOUTH CENTRAL REG MED CTR (250058),2016,Acute Care,Government - Local,267.0,31.685911,-89.14135,MS,8.0,5.0,4.0,9.0,10.0,10.0,10.0,7.2,7.62,Yes
1621,JEFFERSON COUNTY HOSPITAL (250060),2016,Acute Care,Government - Local,30.0,,,MS,,,,,,7.0,,,,No
1622,YALOBUSHA GENERAL HOSPITAL (250061),2016,Acute Care,Government - Local,148.0,34.1307,-89.641013,MS,,,,,,6.0,6.0,,6.0,No
1623,CLAY COUNTY MEDICAL CENTER (250067),2016,Acute Care,Voluntary non-profit - Private,54.0,33.618616,-88.661549,MS,,3.0,,,4.0,5.0,5.0,3.5,3.725,No
1624,RUSH FOUNDATION HOSPITAL (250069),2016,Acute Care,Voluntary non-profit - Private,183.0,32.370664,-88.697779,MS,9.0,5.0,10.0,5.0,8.0,8.0,8.0,7.4,7.49,Yes
1625,MERIT HEALTH CENTRAL (250072),2016,Acute Care,Proprietary,336.0,32.286929,-90.255755,MS,8.0,5.0,10.0,4.0,4.0,2.0,2.0,6.2,5.57,No
1626,WAYNE GENERAL HOSPITAL (250077),2016,Acute Care,Government - Local,61.0,31.673601,-88.633312,MS,1.0,1.0,1.0,,,4.0,4.0,1.0,1.45,No
1627,FORREST GENERAL HOSPITAL (250078),2016,Acute Care,Government - Local,458.0,,,MS,7.0,5.0,10.0,3.0,7.0,4.0,4.0,6.4,6.04,No
1628,ANDERSON RMC SOUTH (250081),2016,Acute Care,Proprietary,75.0,32.36779,-88.699315,MS,,8.0,,,,7.0,7.0,8.0,7.85,Yes
1629,DELTA REGIONAL MEDICAL CENTER (250082),2016,Acute Care,Government - Local,200.0,33.409907,-91.035243,MS,9.0,3.0,10.0,10.0,4.0,4.0,4.0,7.2,6.72,Yes
1630,MERIT HEALTH NATCHEZ (250084),2016,Acute Care,Proprietary,179.0,,,MS,1.0,3.0,1.0,,10.0,5.0,5.0,3.75,3.9375,No
1631,MARION GENERAL HOSPITAL (250085),2016,Acute Care,Voluntary non-profit - Other,47.0,31.256354,-89.806273,MS,6.0,9.0,,,,6.0,6.0,7.5,7.275,Yes
1632,BOLIVAR MEDICAL CENTER (250093),2016,Acute Care,Proprietary,199.0,33.747471,-90.708128,MS,1.0,1.0,,1.0,2.0,9.0,9.0,1.25,2.4125,No
1633,MERIT HEALTH WESLEY (250094),2016,Acute Care,Voluntary non-profit - Private,187.0,31.323058,-89.3669,MS,1.0,2.0,1.0,1.0,1.0,7.0,7.0,1.2,2.07,No
1634,SOUTH SUNFLOWER COUNTY HOSPITAL (250095),2016,Acute Care,Government - Local,48.0,33.457234,-90.65024,MS,,10.0,,,,8.0,8.0,10.0,9.7,Yes
1635,MERIT HEALTH RANKIN (250096),2016,Acute Care,Proprietary,122.0,32.286214,-90.03596,MS,1.0,1.0,1.0,6.0,,10.0,10.0,2.25,3.4125,No
1636,SOUTHWEST MS REGIONAL MEDICAL CENTER (250097),2016,Acute Care,Government - Local,148.0,,,MS,5.0,1.0,10.0,1.0,2.0,10.0,10.0,3.8,4.73,No
1637,GREENWOOD LEFLORE HOSPITAL (250099),2016,Acute Care,Government - Local,207.0,33.518254,-90.200189,MS,4.0,8.0,10.0,5.0,1.0,1.0,1.0,5.6,4.91,No
1638,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC (250100),2016,Acute Care,Voluntary non-profit - Private,272.0,33.526488,-88.429071,MS,7.0,2.0,4.0,2.0,2.0,3.0,3.0,3.4,3.34,No
1639,MISSISSIPPI BAPTIST MEDICAL CENTER (250102),2016,Acute Care,Voluntary non-profit - Private,527.0,32.314278,-90.178228,MS,9.0,7.0,10.0,7.0,7.0,5.0,5.0,8.0,7.55,Yes
1640,ANDERSON REGIONAL MEDICAL CTR (250104),2016,Acute Care,Voluntary non-profit - Private,261.0,32.370775,-88.699858,MS,6.0,3.0,5.0,6.0,7.0,2.0,2.0,5.4,4.89,No
1641,HIGHLAND COMMUNITY  HOSPITAL (250117),2016,Acute Care,Government - Hospital District or Authority,54.0,30.552471,-89.665422,MS,1.0,3.0,,,6.0,9.0,9.0,3.3333,4.1833,No
1642,GARDEN PARK MEDICAL CENTER (250123),2016,Acute Care,Proprietary,129.0,30.44201,-89.092766,MS,1.0,2.0,1.0,1.0,2.0,5.0,5.0,1.4,1.94,No
1643,MAGEE GENERAL HOSPITAL (250124),2016,Acute Care,Voluntary non-profit - Private,50.0,31.870585,-89.728389,MS,,1.0,,,,6.0,6.0,1.0,1.75,No
1644,NORTH OAK REGIONAL MEDICAL CENTER (250126),2016,Acute Care,Proprietary,41.0,,,MS,,2.0,,,,5.0,5.0,2.0,2.45,No
1645,CHOCTAW HEALTH CENTER (250127),2016,Acute Care,Government - Federal,20.0,,,MS,,,,,,7.0,,,,No
1646,MERIT HEALTH BATESVILLE (250128),2016,Acute Care,Proprietary,98.0,34.306319,-89.916488,MS,10.0,1.0,,1.0,,4.0,4.0,4.0,4.0,No
1647,WHITFIELD MEDICAL SURGICAL HOSPITAL (250134),2016,Acute Care,Government - State,32.0,,,MS,,9.0,,,,7.0,7.0,9.0,8.7,Yes
1648,MERIT HEALTH WOMEN'S HOSPITAL (250136),2016,Acute Care,Proprietary,59.0,32.32583,-90.106656,MS,,1.0,,,7.0,6.0,6.0,4.0,4.3,No
1649,MERIT HEALTH RIVER OAKS (250138),2016,Acute Care,Proprietary,158.0,32.32614,-90.106447,MS,1.0,2.0,10.0,7.0,9.0,8.0,8.0,5.8,6.13,No
1650,BAPTIST MEMORIAL HOSPITAL DESOTO (250141),2016,Acute Care,Voluntary non-profit - Private,336.0,34.968348,-89.995535,MS,10.0,5.0,8.0,8.0,5.0,6.0,6.0,7.2,7.02,Yes
1651,ALLIANCE HEALTH CENTER (250151),2016,Acute Care,Proprietary,195.0,32.409988,-88.678811,MS,,1.0,,1.0,,5.0,5.0,1.0,1.6,No
1652,MISSISSIPPI METHODIST REHAB CTR (250152),2016,Acute Care,Voluntary non-profit - Private,184.0,32.32683,-90.17218,MS,,10.0,,10.0,10.0,,,10.0,10.0,Yes
1653,HANCOCK MEDICAL CENTER (250162),2016,Acute Care,Government - Local,68.0,30.31304,-89.355657,MS,1.0,1.0,,,1.0,5.0,5.0,1.0,1.6,No
1654,PATIENTS CHOICE MEDICAL CENTER (250163),2016,Acute Care,Proprietary,24.0,32.000998,-89.520667,MS,,10.0,,10.0,,,,10.0,10.0,Yes
1655,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL (250167),2016,Acute Care,Voluntary non-profit - Private,51.0,34.922615,-89.794873,MS,1.0,4.0,1.0,,9.0,4.0,4.0,3.75,3.7875,No
1656,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA (250168),2016,Acute Care,Government - State,80.0,33.763307,-89.817532,MS,1.0,7.0,1.0,7.0,4.0,9.0,9.0,4.0,4.75,No
1657,MERCY HOSPITAL JOPLIN (260001),2016,Acute Care,Voluntary non-profit - Church,222.0,37.034697,-94.511799,MO,6.0,10.0,4.0,4.0,4.0,1.0,1.0,5.6,4.91,No
1658,COOPER COUNTY MEMORIAL HOSPITAL (260004),2016,Acute Care,Voluntary non-profit - Other,65.0,38.943533,-92.742075,MO,,1.0,,,,7.0,7.0,1.0,1.9,No
1659,SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES (260005),2016,Acute Care,Voluntary non-profit - Private,394.0,38.780377,-90.484508,MO,9.0,2.0,10.0,3.0,5.0,4.0,4.0,5.8,5.53,No
1660,MOSAIC LIFE CARE AT ST JOSEPH (260006),2016,Acute Care,Voluntary non-profit - Private,352.0,39.770201,-94.770247,MO,5.0,4.0,3.0,8.0,8.0,1.0,1.0,5.6,4.91,No
1661,BOTHWELL REGIONAL HEALTH CENTER (260009),2016,Acute Care,Government - Local,127.0,38.699051,-93.222089,MO,3.0,2.0,,5.0,3.0,10.0,10.0,3.25,4.2625,No
1662,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY (260011),2016,Acute Care,Proprietary,167.0,38.560142,-92.220285,MO,7.0,3.0,10.0,7.0,2.0,2.0,2.0,5.8,5.23,No
1663,TWIN RIVERS REGIONAL MEDICAL CENTER (260015),2016,Acute Care,Proprietary,116.0,,,MO,10.0,2.0,,,,3.0,3.0,6.0,5.55,No
1664,PHELPS COUNTY REGIONAL MEDICAL CENTER (260017),2016,Acute Care,Government - Local,242.0,37.951442,-91.784993,MO,9.0,4.0,1.0,3.0,2.0,3.0,3.0,3.8,3.68,No
1665,MERCY HOSPITAL ST LOUIS (260020),2016,Acute Care,Voluntary non-profit - Private,902.0,,,MO,6.0,8.0,4.0,6.0,2.0,3.0,3.0,5.2,4.87,No
1666,NORTHEAST REGIONAL MEDICAL CENTER (260022),2016,Acute Care,Proprietary,83.0,40.192523,-92.590849,MO,6.0,10.0,1.0,1.0,3.0,2.0,2.0,4.2,3.87,No
1667,MERCY HOSPITAL JEFFERSON (260023),2016,Acute Care,Voluntary non-profit - Private,303.0,38.195962,-90.395423,MO,3.0,7.0,3.0,2.0,3.0,1.0,1.0,3.6,3.21,No
1668,TEXAS COUNTY MEMORIAL HOSPITAL (260024),2016,Acute Care,Voluntary non-profit - Other,47.0,37.315756,-91.959559,MO,,10.0,,,,4.0,4.0,10.0,9.1,Yes
1669,HANNIBAL REGIONAL HOSPITAL (260025),2016,Acute Care,Voluntary non-profit - Private,98.0,39.710595,-91.443967,MO,9.0,4.0,10.0,10.0,1.0,6.0,6.0,6.8,6.68,Yes
1670,RESEARCH MEDICAL CENTER (260027),2016,Acute Care,Proprietary,430.0,39.007169,-94.558731,MO,8.0,8.0,3.0,3.0,8.0,4.0,4.0,6.0,5.7,No
1671,BARNES JEWISH HOSPITAL (260032),2016,Acute Care,Voluntary non-profit - Other,1334.0,,,MO,7.0,7.0,6.0,7.0,8.0,10.0,10.0,7.0,7.45,Yes
1672,BATES COUNTY MEMORIAL HOSPITAL (260034),2016,Acute Care,Government - Local,45.0,38.249611,-94.343391,MO,,2.0,,,,9.0,9.0,2.0,3.05,No
1673,COX MEDICAL CENTERS (260040),2016,Acute Care,Voluntary non-profit - Private,713.0,37.144966,-93.27808,MO,5.0,5.0,3.0,2.0,4.0,1.0,1.0,3.8,3.38,No
1674,CAPITAL REGION MEDICAL CENTER (260047),2016,Acute Care,Voluntary non-profit - Private,114.0,38.567018,-92.181588,MO,9.0,5.0,1.0,9.0,6.0,5.0,5.0,6.0,5.85,No
1675,TRUMAN MEDICAL CENTER HOSPITAL HILL (260048),2016,Acute Care,Voluntary non-profit - Private,241.0,39.084815,-94.575799,MO,7.0,3.0,9.0,7.0,7.0,9.0,9.0,6.6,6.96,Yes
1676,SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE (260050),2016,Acute Care,Voluntary non-profit - Church,55.0,40.326053,-94.874038,MO,,1.0,,,,7.0,7.0,1.0,1.9,No
1677,MERCY HOSPITAL WASHINGTON (260052),2016,Acute Care,Voluntary non-profit - Private,160.0,38.5522,-91.002023,MO,6.0,5.0,7.0,4.0,10.0,1.0,1.0,6.4,5.59,No
1678,CAMERON REGIONAL MEDICAL CENTER (260057),2016,Acute Care,Voluntary non-profit - Private,54.0,39.731504,-94.218308,MO,1.0,1.0,1.0,,,5.0,5.0,1.0,1.6,No
1679,MERCY HOSPITAL LEBANON (260059),2016,Acute Care,Voluntary non-profit - Church,49.0,37.681437,-92.635875,MO,,8.0,,,6.0,3.0,3.0,7.0,6.4,No
1680,NEVADA REGIONAL MEDICAL CENTER (260061),2016,Acute Care,Government - Local,70.0,37.830534,-94.359703,MO,,1.0,,,,7.0,7.0,1.0,1.9,No
1681,SAINT LUKES NORTHLAND HOSPITAL (260062),2016,Acute Care,Voluntary non-profit - Private,133.0,39.246883,-94.647898,MO,10.0,8.0,1.0,1.0,10.0,5.0,5.0,6.0,5.85,No
1682,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN (260064),2016,Acute Care,Voluntary non-profit - Private,56.0,39.172921,-91.877238,MO,1.0,5.0,,,9.0,2.0,2.0,5.0,4.55,No
1683,MERCY HOSPITAL SPRINGFIELD (260065),2016,Acute Care,Voluntary non-profit - Church,690.0,37.177969,-93.275276,MO,8.0,9.0,4.0,5.0,4.0,7.0,7.0,6.0,6.15,No
1684,BOONE HOSPITAL CENTER (260068),2016,Acute Care,Voluntary non-profit - Other,328.0,38.950669,-92.317039,MO,7.0,9.0,7.0,8.0,6.0,2.0,2.0,7.4,6.59,Yes
1685,PEMISCOT COUNTY MEMORIAL HOSPITAL (260070),2016,Acute Care,Government - Hospital District or Authority,198.0,36.236855,-89.739975,MO,1.0,1.0,1.0,,,4.0,4.0,1.0,1.45,No
1686,MOBERLY REGIONAL MEDICAL CENTER (260074),2016,Acute Care,Proprietary,75.0,39.423879,-92.414216,MO,,4.0,,,,9.0,9.0,4.0,4.75,No
1687,ST ANTHONY'S MEDICAL CENTER (260077),2016,Acute Care,Voluntary non-profit - Private,746.0,38.509739,-90.37775,MO,5.0,8.0,3.0,5.0,6.0,10.0,10.0,5.4,6.09,No
1688,OZARKS MEDICAL CENTER (260078),2016,Acute Care,Voluntary non-profit - Other,104.0,36.737992,-91.875552,MO,3.0,4.0,8.0,7.0,2.0,1.0,1.0,4.8,4.23,No
1689,SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY (260080),2016,Acute Care,Voluntary non-profit - Private,22.0,,,MO,,,,,,6.0,6.0,,6.0,No
1690,SSM HEALTH ST CLARE HOSPITAL - FENTON (260081),2016,Acute Care,Voluntary non-profit - Private,180.0,38.529043,-90.473625,MO,8.0,3.0,9.0,10.0,3.0,3.0,3.0,6.6,6.06,No
1691,ST JOSEPH MEDICAL CENTER (260085),2016,Acute Care,Voluntary non-profit - Private,183.0,38.934471,-94.605342,MO,3.0,10.0,3.0,4.0,2.0,4.0,4.0,4.4,4.34,No
1692,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS (260091),2016,Acute Care,Voluntary non-profit - Private,609.0,38.633943,-90.310138,MO,8.0,3.0,5.0,5.0,3.0,8.0,8.0,4.8,5.28,No
1693,COX MEDICAL CENTER BRANSON (260094),2016,Acute Care,Voluntary non-profit - Private,139.0,36.650541,-93.220376,MO,7.0,6.0,1.0,6.0,3.0,5.0,5.0,4.6,4.66,No
1694,CENTERPOINT MEDICAL CENTER (260095),2016,Acute Care,Voluntary non-profit - Private,246.0,39.047771,-94.349313,MO,9.0,9.0,4.0,8.0,7.0,1.0,1.0,7.4,6.44,No
1695,NORTH KANSAS CITY HOSPITAL (260096),2016,Acute Care,Government - Local,417.0,39.15081,-94.551852,MO,6.0,10.0,4.0,6.0,4.0,2.0,2.0,6.0,5.4,No
1696,WESTERN MISSOURI MEDICAL CENTER (260097),2016,Acute Care,Government - Hospital District or Authority,64.0,38.766474,-93.723701,MO,1.0,1.0,,,1.0,4.0,4.0,1.0,1.45,No
1697,TRUMAN MEDICAL CENTER LAKEWOOD (260102),2016,Acute Care,Voluntary non-profit - Private,305.0,38.973583,-94.390407,MO,8.0,3.0,1.0,6.0,10.0,9.0,9.0,5.6,6.11,No
1698,SSM HEALTH DEPAUL HOSPITAL ST LOUIS (260104),2016,Acute Care,Voluntary non-profit - Private,490.0,38.748965,-90.432379,MO,8.0,5.0,10.0,9.0,2.0,7.0,7.0,6.8,6.83,Yes
1699,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL (260105),2016,Acute Care,Proprietary,316.0,38.622459,-90.239052,MO,8.0,4.0,8.0,7.0,8.0,10.0,10.0,7.0,7.45,Yes
1700,MISSOURI BAPTIST MEDICAL CENTER (260108),2016,Acute Care,Voluntary non-profit - Private,433.0,38.635532,-90.443636,MO,8.0,3.0,6.0,4.0,7.0,7.0,7.0,5.6,5.81,No
1701,SOUTHEASTHEALTH (260110),2016,Acute Care,Voluntary non-profit - Private,224.0,37.311273,-89.540936,MO,10.0,6.0,9.0,6.0,6.0,9.0,9.0,7.4,7.64,Yes
1702,MISSOURI DELTA MEDICAL CENTER (260113),2016,Acute Care,Voluntary non-profit - Other,147.0,36.889048,-89.584346,MO,4.0,4.0,9.0,6.0,10.0,6.0,6.0,6.6,6.51,No
1703,POPLAR BLUFF REGIONAL MEDICAL CENTER (260119),2016,Acute Care,Proprietary,287.0,36.788987,-90.443287,MO,4.0,6.0,5.0,9.0,9.0,5.0,5.0,6.6,6.36,No
1704,FREEMAN HEALTH SYSTEM - FREEMAN WEST (260137),2016,Acute Care,Voluntary non-profit - Other,393.0,37.054408,-94.526884,MO,3.0,4.0,2.0,2.0,2.0,4.0,4.0,2.6,2.81,No
1705,ST LUKES HOSPITAL OF KANSAS CITY (260138),2016,Acute Care,Government - Hospital District or Authority,470.0,39.046134,-94.59015,MO,7.0,7.0,9.0,6.0,3.0,5.0,5.0,6.4,6.19,No
1706,UNIVERSITY OF MISSOURI HEALTH CARE (260141),2016,Acute Care,Government - State,529.0,,,MO,7.0,8.0,4.0,6.0,4.0,10.0,10.0,5.8,6.43,No
1707,FITZGIBBON HOSPITAL (260142),2016,Acute Care,Voluntary non-profit - Private,51.0,,,MO,,3.0,,,,5.0,5.0,3.0,3.3,No
1708,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY (260160),2016,Acute Care,Proprietary,47.0,36.807432,-89.969973,MO,,1.0,,,,8.0,8.0,1.0,2.05,No
1709,BARNES-JEWISH WEST COUNTY HOSPITAL (260162),2016,Acute Care,Voluntary non-profit - Private,75.0,38.676997,-90.466227,MO,,3.0,,,5.0,2.0,2.0,4.0,3.7,No
1710,PARKLAND HEALTH CENTER (260163),2016,Acute Care,Voluntary non-profit - Private,105.0,37.780624,-90.438195,MO,,7.0,,1.0,10.0,7.0,7.0,6.0,6.15,No
1711,GOLDEN VALLEY MEMORIAL HOSPITAL (260175),2016,Acute Care,Government - Hospital District or Authority,49.0,38.391389,-93.770506,MO,1.0,3.0,,,1.0,1.0,1.0,1.6667,1.5667,No
1712,DES PERES HOSPITAL (260176),2016,Acute Care,Proprietary,109.0,38.581081,-90.450408,MO,8.0,5.0,1.0,1.0,7.0,8.0,8.0,4.4,4.94,No
1713,LIBERTY HOSPITAL (260177),2016,Acute Care,Government - Hospital District or Authority,215.0,39.276757,-94.424343,MO,6.0,6.0,5.0,2.0,7.0,3.0,3.0,5.2,4.87,No
1714,ST LUKES HOSPITAL (260179),2016,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,4.0,3.0,3.0,3.0,6.0,10.0,10.0,3.8,4.73,No
1715,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST (260180),2016,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,9.0,5.0,9.0,8.0,7.0,7.0,7.0,7.6,7.51,Yes
1716,SAINT FRANCIS MEDICAL CENTER (260183),2016,Acute Care,Voluntary non-profit - Church,290.0,,,MO,6.0,7.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,Yes
1717,LAKE REGIONAL HEALTH SYSTEM (260186),2016,Acute Care,Voluntary non-profit - Other,116.0,38.118486,-92.681085,MO,9.0,6.0,5.0,10.0,6.0,1.0,1.0,7.2,6.27,No
1718,LEE'S SUMMIT MEDICAL CENTER (260190),2016,Acute Care,Proprietary,71.0,38.902285,-94.332151,MO,8.0,6.0,4.0,6.0,4.0,2.0,2.0,5.6,5.06,No
1719,BARNES-JEWISH ST PETERS HOSPITAL (260191),2016,Acute Care,Voluntary non-profit - Other,115.0,38.792719,-90.579377,MO,9.0,3.0,10.0,3.0,5.0,10.0,10.0,6.0,6.6,Yes
