,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
1484,MUNSON MEDICAL CENTER (230097),2019,Acute Care,Voluntary non-profit - Other,416.0,44.761645,-85.641588,MI,0.7667,-0.1067,-0.1841,-0.5962,0.4961,0.3954,0.3954,0.0752,0.1232,No
1485,PROMEDICA MONROE REGIONAL HOSPITAL (230099),2019,Acute Care,Voluntary non-profit - Other,172.0,41.925143,-83.389075,MI,-0.7614,1.9711,-0.45,-0.7467,0.2612,-0.4263,-0.4263,0.0548,-0.0173,No
1486,TAWAS ST JOSEPH HOSPITAL (230100),2019,Acute Care,Government - Hospital District or Authority,48.0,44.274911,-83.511002,MI,,0.667,,,,-0.7491,-0.7491,0.667,0.4546,Yes
1487,HARPER UNIVERSITY HOSPITAL (230104),2019,Acute Care,Proprietary,363.0,42.351375,-83.057892,MI,-0.737,-0.5377,0.2093,1.3617,1.5089,0.6241,0.6241,0.361,0.4005,Yes
1488,MCLAREN NORTHERN MICHIGAN (230105),2019,Acute Care,Voluntary non-profit - Other,197.0,45.373477,-84.969152,MI,-0.0497,-0.2227,-0.7307,-1.0126,-1.0416,-1.5577,-1.5577,-0.6114,-0.7534,No
1489,UP HEALTH SYSTEM PORTAGE (230108),2019,Acute Care,Voluntary non-profit - Other,96.0,47.141346,-88.585643,MI,,-0.8555,,,,-0.0283,-0.0283,-0.8555,-0.7314,No
1490,SPECTRUM HEALTH LUDINGTON HOSPITAL (230110),2019,Acute Care,Voluntary non-profit - Other,59.0,,,MI,1.4558,0.3437,,,-1.4966,-0.5343,-0.5343,0.101,0.0057,No
1491,BORGESS MEDICAL CENTER (230117),2019,Acute Care,Voluntary non-profit - Other,355.0,42.304759,-85.561425,MI,-0.5032,-0.8748,0.152,-0.307,-0.5939,-0.9878,-0.9878,-0.4254,-0.5097,No
1492,MCLAREN THUMB REGION (230118),2019,Acute Care,Voluntary non-profit - Other,50.0,43.802234,-83.030815,MI,,-1.2312,,,,-0.7285,-0.7285,-1.2312,-1.1558,No
1493,MEMORIAL HEALTHCARE (230121),2019,Acute Care,Voluntary non-profit - Other,156.0,43.005075,-84.182076,MI,-1.0039,0.877,1.1215,,0.4172,0.1988,0.1988,0.3529,0.3298,No
1494,"BEAUMONT HOSPITAL, ROYAL OAK (230130)",2019,Acute Care,Voluntary non-profit - Private,1088.0,42.517687,-83.192142,MI,0.6411,0.2138,1.2157,0.1946,1.4154,2.347,2.347,0.7361,0.9778,Yes
1495,HURLEY MEDICAL CENTER (230132),2019,Acute Care,Voluntary non-profit - Other,418.0,,,MI,-0.1404,0.7802,-0.3429,1.2998,2.1365,2.347,2.347,0.7467,0.9867,Yes
1496,MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL (230133),2019,Acute Care,Voluntary non-profit - Private,80.0,45.035332,-84.673887,MI,,-1.9247,,,-0.2159,0.089,0.089,-1.0703,-0.8964,No
1497,MCLAREN FLINT (230141),2019,Acute Care,Voluntary non-profit - Private,337.0,43.014187,-83.733578,MI,0.7284,0.5841,0.3939,0.3367,0.8465,1.5764,1.5764,0.5779,0.7277,Yes
1498,BEAUMONT HOSPITAL - WAYNE (230142),2019,Acute Care,Voluntary non-profit - Private,152.0,42.274275,-83.365625,MI,-0.1596,0.2498,-1.4878,1.6543,0.641,-1.4553,-1.4553,0.1795,-0.0657,No
1499,FOREST HEALTH MEDICAL CENTER (230144),2019,Acute Care,Government - Hospital District or Authority,24.0,42.237383,-83.601916,MI,,,,,,-0.9473,-0.9473,,-0.9473,No
1500,HENRY FORD WYANDOTTE HOSPITAL (230146),2019,Acute Care,Voluntary non-profit - Private,355.0,42.209694,-83.148776,MI,0.1858,0.0784,0.0172,1.3751,-0.0269,0.8861,0.8861,0.3259,0.41,Yes
1501,BEAUMONT HOSPITAL - FARMINGTON HILLS (230151),2019,Acute Care,Voluntary non-profit - Private,298.0,42.44363,-83.324789,MI,0.1196,-0.0569,-0.4112,0.3702,-0.7682,-0.2553,-0.2553,-0.1493,-0.1652,No
1502,ST JOSEPH MERCY HOSPITAL (230156),2019,Acute Care,Voluntary non-profit - Church,505.0,42.261803,-83.659819,MI,0.9028,-0.0155,0.2351,-0.1013,0.2704,2.347,2.347,0.2583,0.5716,Yes
1503,ASCENSION ST JOHN HOSPITAL (230165),2019,Acute Care,Voluntary non-profit - Church,650.0,42.419011,-82.915008,MI,-0.4142,-0.3084,0.0043,0.203,0.2557,-0.1662,-0.1662,-0.0519,-0.0691,No
1504,MCLAREN GREATER LANSING (230167),2019,Acute Care,Voluntary non-profit - Private,282.0,42.704799,-84.555111,MI,-0.2729,-0.7173,-1.2736,-0.526,0.1897,-1.2835,-1.2835,-0.52,-0.6346,No
1505,NORTH OTTAWA COMMUNITY HEALTH SYSTEM (230174),2019,Acute Care,Government - Hospital District or Authority,70.0,43.05161,-86.227963,MI,,-0.0348,,,,-0.3519,-0.3519,-0.0348,-0.0824,No
1506,BEAUMONT HOSPITAL - TRENTON (230176),2019,Acute Care,Voluntary non-profit - Private,192.0,42.115786,-83.211814,MI,-0.8347,0.7609,0.7799,1.029,0.4649,-0.5258,-0.5258,0.44,0.2951,No
1507,MIDMICHIGAN MEDICAL CENTER-CLARE (230180),2019,Acute Care,Voluntary non-profit - Other,49.0,43.820724,-84.768349,MI,,0.3962,,,,0.1714,0.1714,0.3962,0.3625,Yes
1508,MCLAREN LAPEER REGION (230193),2019,Acute Care,Voluntary non-profit - Private,193.0,43.06271,-83.319345,MI,1.236,1.2555,-1.4878,0.8233,0.8612,-0.6676,-0.6676,0.5376,0.3569,Yes
1509,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER (230195),2019,Acute Care,Voluntary non-profit - Private,518.0,42.507178,-83.003535,MI,-0.4875,1.0814,-0.4389,0.4672,-0.4489,0.2962,0.2962,0.0347,0.0739,No
1510,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK (230197),2019,Acute Care,Voluntary non-profit - Church,373.0,,,MI,0.1143,0.0425,-0.1028,-0.618,-0.6819,0.8536,0.8536,-0.2492,-0.0838,No
1511,MCLAREN OAKLAND (230207),2019,Acute Care,Voluntary non-profit - Private,166.0,42.638394,-83.291095,MI,-0.2014,-0.0293,-0.4057,-0.939,-0.3443,-1.0067,-1.0067,-0.3839,-0.4774,No
1512,SPARROW CARSON HOSPITAL (230208),2019,Acute Care,Voluntary non-profit - Other,52.0,43.175989,-84.843788,MI,,,,,,-0.4713,-0.4713,,-0.4713,No
1513,MCLAREN PORT HURON (230216),2019,Acute Care,Voluntary non-profit - Private,185.0,42.986743,-82.427839,MI,1.0092,0.2829,-0.5774,0.2949,-0.5205,-1.2946,-1.2946,0.0978,-0.111,No
1514,OAKLAWN HOSPITAL (230217),2019,Acute Care,Voluntary non-profit - Other,78.0,42.273533,-84.957796,MI,-1.5202,-0.9439,,,0.1181,0.4615,0.4615,-0.782,-0.5955,No
1515,MIDMICHIGAN MEDICAL CENTER-MIDLAND (230222),2019,Acute Care,Voluntary non-profit - Other,290.0,43.635617,-84.261689,MI,-1.0597,-0.0818,-0.9615,-0.9624,-1.4966,0.253,0.253,-0.9124,-0.7376,No
1516,MCLAREN MACOMB (230227),2019,Acute Care,Proprietary,282.0,42.586795,-82.896918,MI,-0.5207,-0.3913,-0.7288,-0.1281,-0.2085,-0.2807,-0.2807,-0.3955,-0.3783,No
1517,EDWARD W SPARROW HOSPITAL (230230),2019,Acute Care,Voluntary non-profit - Other,616.0,42.733609,-84.534816,MI,-0.7579,-0.1785,0.477,-0.6297,0.8869,1.1785,1.1785,-0.0404,0.1424,No
1518,METRO HEALTH HOSPITAL (230236),2019,Acute Care,Voluntary non-profit - Private,208.0,42.858067,-85.722937,MI,0.0585,-0.3498,-0.1656,2.196,2.1365,1.4386,1.4386,0.7751,0.8746,Yes
1519,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL (230239),2019,Acute Care,Voluntary non-profit - Private,138.0,46.498099,-84.349513,MI,-0.7143,0.5537,,,,0.6626,0.6626,-0.0803,0.0311,No
1520,ST JOHN RIVER DISTRICT HOSPITAL (230241),2019,Acute Care,Government - Hospital District or Authority,68.0,42.786505,-82.478208,MI,,1.891,,,0.2942,-0.4741,-0.4741,1.0926,0.8576,Yes
1521,GARDEN CITY HOSPITAL (230244),2019,Acute Care,Voluntary non-profit - Private,168.0,42.332356,-83.311771,MI,1.536,-1.0793,2.2018,1.5841,2.1365,-1.3776,-1.3776,1.2758,0.8778,Yes
1522,ASCENSION CRITTENTON HOSPITAL (230254),2019,Acute Care,Voluntary non-profit - Private,230.0,42.680882,-83.149228,MI,-0.5521,-0.0569,0.4623,-0.506,0.3676,1.0866,1.0866,-0.057,0.1145,No
1523,ST JOSEPH MERCY CHELSEA (230259),2019,Acute Care,Voluntary non-profit - Private,126.0,42.310594,-84.016571,MI,0.369,-0.7228,,,-0.6911,-0.9176,-0.9176,-0.3483,-0.4337,No
1524,SOUTHEAST MICHIGAN SURGICAL HOSPITAL (230264),2019,Acute Care,Voluntary non-profit - Private,13.0,42.451395,-83.08356,MI,,,,,,-0.0049,-0.0049,,-0.0049,No
1525,"BEAUMONT HOSPITAL, TROY (230269)",2019,Acute Care,Voluntary non-profit - Private,484.0,,,MI,-0.3619,0.5979,-0.0216,0.009,-0.0048,-1.5577,-1.5577,0.0437,-0.1965,No
1526,BEAUMONT HOSPITAL - TAYLOR (230270),2019,Acute Care,Voluntary non-profit - Private,184.0,42.233501,-83.269667,MI,2.1658,0.6476,-0.112,-0.7651,2.1365,-0.2578,-0.2578,0.8145,0.6537,Yes
1527,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER (230273),2019,Acute Care,Proprietary,229.0,,,MI,-0.6637,0.0342,0.5177,2.196,0.4979,1.412,1.412,0.5164,0.6508,Yes
1528,HEALTHSOURCE SAGINAW (230275),2019,Acute Care,Voluntary non-profit - Other,335.0,43.456418,-84.052048,MI,,-1.9247,,,,0.065,0.065,-1.9247,-1.6263,No
1529,HURON VALLEY-SINAI HOSPITAL (230277),2019,Acute Care,Proprietary,142.0,,,MI,-0.9812,0.3299,-0.8526,0.3267,0.4062,0.0859,0.0859,-0.1542,-0.1182,No
1530,BRIGHTON HOSPITAL (230279),2019,Acute Care,Voluntary non-profit - Private,99.0,42.51766,-83.694523,MI,,-1.9247,,,,0.0722,0.0722,-1.9247,-1.6252,No
1531,KARMANOS CANCER CENTER (230297),2019,Acute Care,Proprietary,122.0,42.35189,-83.058192,MI,-0.4387,1.4213,-1.4878,2.196,,2.347,2.347,0.4227,0.7113,Yes
1532,OAKLAND REGIONAL HOSPITAL (230301),2019,Acute Care,Proprietary,61.0,42.457316,-83.202675,MI,,,,,,-0.2348,-0.2348,,-0.2348,No
1533,HENRY FORD WEST BLOOMFIELD HOSPITAL (230302),2019,Acute Care,Voluntary non-profit - Private,191.0,42.541451,-83.409433,MI,-0.6253,0.1309,-0.0474,-1.1129,1.1456,-0.3697,-0.3697,-0.1018,-0.142,No
1534,MUNSON HEALTHCARE MANISTEE HOSPITAL (230303),2019,Acute Care,Voluntary non-profit - Other,40.0,44.272355,-86.273439,MI,,-0.6289,,,0.2704,-0.7821,-0.7821,-0.1792,-0.2697,No
1535,NORTH MEMORIAL MEDICAL CENTER (240001),2019,Acute Care,Voluntary non-profit - Private,398.0,45.014214,-93.321172,MN,0.0568,1.2223,-0.5977,-0.6815,0.8154,2.347,2.347,0.163,0.4906,Yes
1536,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER (240002),2019,Acute Care,Voluntary non-profit - Private,335.0,46.792843,-92.096395,MN,-0.0758,0.7084,-0.7528,-0.4809,1.0686,-1.5577,-1.5577,0.0935,-0.1542,No
1537,HENNEPIN COUNTY MEDICAL CENTER 1 (240004),2019,Acute Care,Government - Local,469.0,44.97285,-93.262707,MN,0.8505,0.1558,-0.2986,-0.1632,1.6429,1.1713,1.1713,0.4375,0.5476,Yes
1538,OLMSTED MEDICAL CENTER (240006),2019,Acute Care,Voluntary non-profit - Private,61.0,44.020994,-92.439958,MN,,0.4432,,,-1.4966,-0.2988,-0.2988,-0.5267,-0.4925,No
1539,MAYO CLINIC HOSPITAL ROCHESTER (240010),2019,Acute Care,Voluntary non-profit - Church,1151.0,44.021643,-92.481355,MN,-0.9934,-0.5073,0.1908,-0.1866,0.7897,-0.5469,-0.5469,-0.1414,-0.2022,No
1540,NORTHFIELD HOSPITAL (240014),2019,Acute Care,Government - Local,77.0,44.471386,-93.191159,MN,,-0.6261,,,0.0814,0.8042,0.8042,-0.2724,-0.1109,No
1541,MAYO CLINIC HEALTH SYSTEM - RED WING (240018),2019,Acute Care,Voluntary non-profit - Private,62.0,44.560274,-92.575197,MN,,1.4489,,,-0.2782,-0.6439,-0.6439,0.5853,0.4009,Yes
1542,ESSENTIA HEALTH DULUTH (240019),2019,Acute Care,Voluntary non-profit - Private,141.0,46.793074,-92.094155,MN,1.2447,-0.5819,-1.4878,-1.4406,,0.3064,0.3064,-0.5664,-0.4355,No
1543,CAMBRIDGE MEDICAL CENTER (240020),2019,Acute Care,Voluntary non-profit - Private,72.0,45.56657,-93.229319,MN,,-0.7532,,,-1.4966,-0.1526,-0.1526,-1.1249,-0.9791,No
1544,SANFORD WORTHINGTON MEDICAL CENTER (240022),2019,Acute Care,Voluntary non-profit - Private,48.0,43.621858,-95.599179,MN,,-1.9247,,,,0.333,0.333,-1.9247,-1.5861,No
1545,DOUGLAS COUNTY HOSPITAL (240030),2019,Acute Care,Government - Local,99.0,45.872669,-95.37638,MN,1.2517,0.2774,,,0.8374,-0.5905,-0.5905,0.7888,0.5819,Yes
1546,ST CLOUD HOSPITAL (240036),2019,Acute Care,Voluntary non-profit - Private,482.0,45.575325,-94.17045,MN,0.458,0.6062,-0.5017,-0.404,0.5933,-1.4571,-1.4571,0.1504,-0.0908,No
1547,UNITED HOSPITAL (240038),2019,Acute Care,Voluntary non-profit - Private,372.0,44.94185,-93.108302,MN,0.2486,-0.3996,0.0671,-0.73,0.9585,-1.1745,-1.1745,0.0289,-0.1516,No
1548,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS (240040),2019,Acute Care,Voluntary non-profit - Other,78.0,47.411053,-92.929534,MN,,-1.5987,,,-1.4966,-0.2943,-0.2943,-1.5477,-1.3597,No
1549,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN (240043),2019,Acute Care,Voluntary non-profit - Private,126.0,43.651558,-93.372469,MN,-1.5202,0.6974,,-1.4406,-0.7039,-0.9087,-0.9087,-0.7419,-0.7669,No
1550,WINONA HEALTH SERVICES (240044),2019,Acute Care,Voluntary non-profit - Private,54.0,44.033016,-91.622136,MN,-0.6096,0.1061,,,0.8888,0.5089,0.5089,0.1284,0.1855,No
1551,ST LUKES HOSPITAL (240047),2019,Acute Care,Voluntary non-profit - Private,267.0,46.797027,-92.087038,MN,-0.7963,0.3492,-0.9597,-0.3939,0.1071,1.4687,1.4687,-0.3387,-0.0676,No
1552,FAIRVIEW LAKES MEDICAL CENTER (240050),2019,Acute Care,Voluntary non-profit - Private,54.0,45.322267,-92.998466,MN,,0.3465,,,,-0.4991,-0.4991,0.3465,0.2196,No
1553,LAKE REGION HEALTHCARE CORPORATION (240052),2019,Acute Care,Voluntary non-profit - Private,103.0,46.277138,-96.072407,MN,-1.5202,-0.0348,,,-1.4966,-0.0494,-0.0494,-1.0172,-0.8721,No
1554,PARK NICOLLET METHODIST HOSPITAL (240053),2019,Acute Care,Voluntary non-profit - Private,374.0,44.927054,-93.362391,MN,-0.006,0.2221,-0.7362,-0.5461,0.0997,0.485,0.485,-0.1933,-0.0916,No
1555,RIDGEVIEW MEDICAL CENTER (240056),2019,Acute Care,Voluntary non-profit - Private,118.0,44.843306,-93.790772,MN,-0.1526,0.3271,0.2794,-1.4406,-1.0801,1.0527,1.0527,-0.4133,-0.1934,No
1556,ABBOTT NORTHWESTERN HOSPITAL (240057),2019,Acute Care,Voluntary non-profit - Private,670.0,44.951954,-93.262248,MN,0.2329,-0.3498,0.165,-1.265,1.2851,0.1644,0.1644,0.0136,0.0362,No
1557,REGINA HOSPITAL (240059),2019,Acute Care,Voluntary non-profit - Church,61.0,44.747131,-92.871399,MN,,-1.9247,,,,-0.3163,-0.3163,-1.9247,-1.6835,No
1558,ST JOSEPH'S HOSPITAL (240063),2019,Acute Care,Voluntary non-profit - Private,210.0,44.949062,-93.100127,MN,-0.7579,1.1284,-0.5331,-0.7735,-0.4416,2.347,2.347,-0.2755,0.1178,No
1559,GRAND ITASCA CLINIC AND HOSPITAL (240064),2019,Acute Care,Voluntary non-profit - Private,38.0,47.221039,-93.554716,MN,,0.7278,,,,-0.4061,-0.4061,0.7278,0.5577,Yes
1560,LAKEVIEW MEMORIAL HOSPITAL (240066),2019,Acute Care,Voluntary non-profit - Private,68.0,45.048126,-92.818489,MN,2.1658,-1.3279,,,-0.6526,0.3164,0.3164,0.0618,0.1,No
1561,OWATONNA HOSPITAL (240069),2019,Acute Care,Voluntary non-profit - Other,40.0,44.109798,-93.236301,MN,,-0.9052,,,-0.1737,-0.1684,-0.1684,-0.5394,-0.4838,No
1562,DISTRICT ONE HOSPITAL (240071),2019,Acute Care,Voluntary non-profit - Private,34.0,44.288715,-93.256022,MN,,-0.068,,,,-0.1169,-0.1169,-0.068,-0.0753,No
1563,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER (240075),2019,Acute Care,Voluntary non-profit - Private,144.0,46.362509,-94.205143,MN,-0.9289,-1.3196,-1.4878,-0.4357,-1.4966,0.3878,0.3878,-1.1337,-0.9055,No
1564,BUFFALO HOSPITAL (240076),2019,Acute Care,Voluntary non-profit - Other,42.0,45.1932,-93.87053,MN,,-0.8748,,,-1.4966,-0.428,-0.428,-1.1857,-1.0721,No
1565,FAIRVIEW SOUTHDALE HOSPITAL (240078),2019,Acute Care,Voluntary non-profit - Other,333.0,44.886279,-93.328857,MN,1.2081,1.9711,0.8796,-1.1346,-0.5682,-1.5577,-1.5577,0.4712,0.1669,No
1566,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW (240080)",2019,Acute Care,Voluntary non-profit - Private,832.0,44.966335,-93.23812,MN,1.6355,1.6755,0.7947,0.0492,1.175,-1.0457,-1.0457,1.0659,0.7492,Yes
1567,ESSENTIA HEALTH VIRGINIA (240084),2019,Acute Care,Government - Local,146.0,47.530711,-92.548797,MN,,-1.1704,,,-0.5994,0.3825,0.3825,-0.8849,-0.6948,No
1568,CARRIS HEALTH LLC (240088),2019,Acute Care,Government - Local,164.0,45.120514,-95.046366,MN,1.5081,1.7114,,,1.6025,0.3662,0.3662,1.6073,1.4212,Yes
1569,MAYO CLINIC HEALTH SYSTEM - MANKATO (240093),2019,Acute Care,Voluntary non-profit - Private,168.0,44.165047,-93.983738,MN,1.8134,1.3605,-1.1665,-0.934,-0.559,-1.5577,-1.5577,0.1029,-0.1462,No
1570,SANFORD BEMIDJI MEDICAL CENTER (240100),2019,Acute Care,Voluntary non-profit - Private,192.0,47.505009,-94.898125,MN,-0.5695,1.0179,2.2018,-0.511,-0.548,2.347,2.347,0.3182,0.6226,Yes
1571,ESSENTIA HEALTH ST MARYS - DETROIT LAKES (240101),2019,Acute Care,Voluntary non-profit - Church,133.0,46.815307,-95.845453,MN,,-0.278,,,-0.003,-0.4854,-0.4854,-0.1405,-0.1922,No
1572,ST FRANCIS REGIONAL MEDICAL CENTER (240104),2019,Acute Care,Voluntary non-profit - Church,85.0,44.770075,-93.503569,MN,-0.7021,-0.1122,-1.4878,-1.4406,0.3456,-0.9459,-0.9459,-0.6794,-0.7194,No
1573,REGIONS HOSPITAL (240106),2019,Acute Care,Voluntary non-profit - Private,450.0,44.955338,-93.096277,MN,-0.1002,-0.6178,-0.5423,-0.2602,0.4704,-1.1174,-1.1174,-0.21,-0.3461,No
1574,MERCY HOSPITAL (240115),2019,Acute Care,Voluntary non-profit - Private,360.0,45.183842,-93.368221,MN,-0.0252,-0.0708,0.0486,-0.9591,1.1897,-1.5577,-1.5577,0.0366,-0.2025,No
1575,FAIRVIEW NORTHLAND REGIONAL HOSPITAL (240141),2019,Acute Care,Voluntary non-profit - Other,38.0,45.55888,-93.588931,MN,,-0.0597,,,2.0484,-0.3295,-0.3295,0.9944,0.7958,Yes
1576,MAYO CLINIC HEALTH SYSTEM - FAIRMONT (240166),2019,Acute Care,Voluntary non-profit - Private,78.0,43.637688,-94.451728,MN,0.0602,1.9711,,,,-0.4096,-0.4096,1.0157,0.8019,Yes
1577,HUTCHINSON HEALTH (240187),2019,Acute Care,Voluntary non-profit - Private,119.0,44.875105,-94.375533,MN,,0.631,,,1.5456,-0.0477,-0.0477,1.0883,0.9179,Yes
1578,PHILLIPS EYE INSTITUTE (240196),2019,Acute Care,Government - Federal,8.0,,,MN,,,,,,0.0604,0.0604,,0.0604,No
1579,RED LAKE HOSPITAL A (240206),2019,Acute Care,Government - Federal,23.0,,,MN,,,,,,0.0734,0.0734,,0.0734,No
1580,FAIRVIEW RIDGES HOSPITAL (240207),2019,Acute Care,Voluntary non-profit - Church,170.0,44.749947,-93.274858,MN,2.1658,1.1919,1.6681,-0.9072,0.4319,-1.2672,-1.2672,0.9101,0.5835,Yes
1581,HEALTHEAST ST JOHN'S HOSPITAL (240210),2019,Acute Care,Voluntary non-profit - Private,184.0,45.028131,-93.033508,MN,-0.2695,-0.0625,-1.004,-1.1396,0.3291,2.347,2.347,-0.4293,-0.0129,No
1582,HEALTHEAST WOODWINDS HOSPITAL (240213),2019,Acute Care,Voluntary non-profit - Private,86.0,44.92351,-92.975353,MN,-1.5202,0.1005,,-1.4406,0.2686,1.2513,1.2513,-0.6479,-0.3631,No
1583,MAPLE GROVE HOSPITAL (240214),2019,Acute Care,Voluntary non-profit - Private,121.0,45.133377,-93.479488,MN,-0.1386,-0.557,-1.4878,-1.4406,2.1365,-0.0411,-0.0411,-0.2975,-0.2591,No
1584,UNIVERSITY OF MISSISSIPPI MED CENTER (250001),2019,Acute Care,Government - State,685.0,32.328783,-90.17558,MS,-0.5957,-0.1426,0.2093,0.8183,2.1365,2.347,2.347,0.4852,0.7644,Yes
1585,TISHOMINGO HEALTH SERVICES INC (250002),2019,Acute Care,Voluntary non-profit - Private,48.0,34.803686,-88.209218,MS,,1.7086,,,,-0.0605,-0.0605,1.7086,1.4433,Yes
1586,NORTH MISSISSIPPI MEDICAL CENTER (250004),2019,Acute Care,Voluntary non-profit - Private,627.0,34.242203,-88.717758,MS,-0.0392,-0.1868,-0.642,-0.0662,0.5658,-1.3721,-1.3721,-0.0737,-0.2684,No
1587,BAPTIST MEMORIAL HOSPITAL UNION COUNTY (250006),2019,Acute Care,Voluntary non-profit - Other,98.0,,,MS,-0.4177,1.4434,,,-1.4966,-0.3099,-0.3099,-0.157,-0.1799,No
1588,MERIT HEALTH BILOXI (250007),2019,Acute Care,Proprietary,190.0,30.396112,-88.890438,MS,-0.416,-1.2202,0.4493,-0.9457,0.1126,0.2408,0.2408,-0.404,-0.3073,No
1589,MAGNOLIA REGIONAL HEALTH CENTER (250009),2019,Acute Care,Voluntary non-profit - Other,193.0,34.935867,-88.558648,MS,-0.8155,0.4542,-1.0243,-0.4775,-1.4966,0.7691,0.7691,-0.6719,-0.4558,No
1590,ALLIANCE HEALTHCARE SYSTEM (250012),2019,Acute Care,Physician,40.0,34.786835,-89.415027,MS,,-1.9247,,,,-0.0046,-0.0046,-1.9247,-1.6367,No
1591,TRACE REGIONAL HOSP AND SWING BED (250017),2019,Acute Care,Proprietary,119.0,33.89479,-88.985085,MS,,,,,,0.0456,0.0456,,0.0456,No
1592,JASPER GENERAL HOSPITAL (250018),2019,Acute Care,Government - Local,20.0,31.976688,-89.290555,MS,,1.9711,,2.196,2.1365,0.0801,0.0801,2.1012,1.798,Yes
1593,MEMORIAL HOSPITAL AT GULFPORT (250019),2019,Acute Care,Government - Local,431.0,30.366928,-89.114907,MS,-0.5765,0.8217,-0.5534,-0.9039,-1.0342,2.347,2.347,-0.4493,-0.0298,No
1594,WEBSTER GENERAL HOSPITAL/ SWING BED (250020),2019,Acute Care,Voluntary non-profit - Other,38.0,33.534736,-89.266943,MS,-1.5202,-0.872,,,,-0.2335,-0.2335,-1.1961,-1.0517,No
1595,GILMORE MEMORIAL HOSPITAL (250025),2019,Acute Care,Proprietary,95.0,33.977551,-88.477625,MS,-1.5202,-1.9247,,,-0.9186,-0.7925,-0.7925,-1.4545,-1.3552,No
1596,WINSTON MEDICAL CENTER & SWINGBED (250027),2019,Acute Care,Voluntary non-profit - Private,136.0,33.124291,-89.036671,MS,,,,,,0.0202,0.0202,,0.0202,No
1597,MERIT HEALTH RIVER REGION (250031),2019,Acute Care,Proprietary,298.0,32.374802,-90.827497,MS,0.1143,-0.3471,0.1742,2.196,-0.7663,2.347,2.347,0.2742,0.5851,Yes
1598,BAPTIST MEMORIAL HOSPITAL NORTH MS (250034),2019,Acute Care,Voluntary non-profit - Private,209.0,34.346609,-89.5212,MS,0.055,0.7278,-0.354,0.2565,0.9566,0.1816,0.1816,0.3284,0.3064,No
1599,GEORGE REGIONAL HEALTH SYSTEM (250036),2019,Acute Care,Government - Local,41.0,30.922235,-88.592853,MS,1.4331,-1.9247,,,,-0.2012,-0.2012,-0.2458,-0.2391,No
1600,MERIT HEALTH MADISON (250038),2019,Acute Care,Proprietary,67.0,32.582157,-90.081677,MS,,-1.3777,,,,0.6337,0.6337,-1.3777,-1.076,No
1601,SINGING RIVER HOSPITAL (250040),2019,Acute Care,Government - Local,393.0,30.374871,-88.532404,MS,-0.0706,0.5454,2.2018,-0.4107,-0.5535,0.3793,0.3793,0.3425,0.348,Yes
1602,NORTHWEST MISSISSIPPI MEDICAL CENTER (250042),2019,Acute Care,Proprietary,181.0,34.197133,-90.552764,MS,1.6843,0.8521,0.9978,1.4453,-1.4966,-0.2505,-0.2505,0.6966,0.5545,Yes
1603,NESHOBA COUNTY GENERAL HOSPITAL (250043),2019,Acute Care,Government - Local,207.0,32.757816,-89.105415,MS,,-0.8582,,,,-0.0866,-0.0866,-0.8582,-0.7425,No
1604,BAPTIST MEMORIAL HOSPITAL BOONEVILLE (250044),2019,Acute Care,Voluntary non-profit - Church,55.0,34.656337,-88.565763,MS,,-0.2227,,,,-0.1284,-0.1284,-0.2227,-0.2086,No
1605,ST DOMINIC-JACKSON MEMORIAL HOSPITAL (250048),2019,Acute Care,Voluntary non-profit - Church,548.0,32.333691,-90.165103,MS,0.8854,-0.7366,-0.5275,0.0709,-1.1572,2.0639,2.0639,-0.293,0.0605,No
1606,BEACHAM MEMORIAL HOSPITAL (250049),2019,Acute Care,Proprietary,34.0,31.145626,-90.45929,MS,,,,,,-0.0548,-0.0548,,-0.0548,No
1607,OCH REGIONAL MEDICAL CENTER (250050),2019,Acute Care,Government - Local,90.0,33.474957,-88.820554,MS,-0.9341,-1.2202,,,-0.8085,-0.0437,-0.0437,-0.9876,-0.846,No
1608,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN (250057),2019,Acute Care,Voluntary non-profit - Other,96.0,,,MS,-0.7998,-1.3887,-1.4878,0.2164,-0.9535,0.1357,0.1357,-0.8827,-0.7299,No
1609,SOUTH CENTRAL REG MED CTR (250058),2019,Acute Care,Government - Local,267.0,31.685911,-89.14135,MS,-0.3654,-0.698,-0.7695,0.2431,-0.948,-1.4087,-1.4087,-0.5075,-0.6427,No
