,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Thrombolytic Therapy (STK_4 - Stroke Care),Thrombolytic Therapy (STK_4 - Stroke Care) (Sample),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment) (Sample)
1976,MAYO CLINIC HEALTH SYSTEM IN RED WING (240018),2016,Acute Care,Voluntary non-profit - Private,62.0,44.560274,-92.575197,MN,96.0,57.0,21.0,408.0,100.0,78.0,100.0,82.0,,,,,89.0,1018.0,,,99.0,260.0,,,2.0,11559.0,8.0,58.0,,,,,54.0,224.0,130.0,370.0,206.0,225.0,45.0,48.0,0.0,21.0,,,85.0,20.0
1977,ESSENTIA HEALTH DULUTH (240019),2016,Acute Care,Voluntary non-profit - Private,141.0,46.793074,-92.094155,MN,,,,,,,,,,,,,74.0,864.0,,,90.0,296.0,,,,,,,,,,,,,,,,,,,,,,,100.0,11.0
1978,CAMBRIDGE MEDICAL CENTER (240020),2016,Acute Care,Voluntary non-profit - Private,72.0,45.56657,-93.229319,MN,95.0,64.0,10.0,568.0,93.0,267.0,99.0,155.0,,,,,73.0,983.0,,,99.0,231.0,,,0.0,18840.0,8.0,64.0,,,,,68.0,271.0,129.0,541.0,238.0,290.0,31.0,35.0,18.0,50.0,,,,
1979,SANFORD WORTHINGTON MEDICAL CENTER (240022),2016,Acute Care,Voluntary non-profit - Private,48.0,43.621858,-95.599179,MN,96.0,54.0,9.0,499.0,97.0,91.0,96.0,25.0,,,,,96.0,607.0,,,96.0,215.0,,,1.0,7469.0,8.0,56.0,,,,,34.0,265.0,80.0,424.0,152.0,282.0,31.0,41.0,0.0,94.0,,,,
1980,DOUGLAS COUNTY HOSPITAL (240030),2016,Acute Care,Government - Local,99.0,45.872669,-95.37638,MN,95.0,131.0,25.0,800.0,95.0,394.0,99.0,185.0,,,85.0,27.0,77.0,983.0,,,95.0,349.0,,,1.0,16887.0,4.0,132.0,,,,,52.0,274.0,118.0,953.0,208.0,380.0,41.0,111.0,0.0,41.0,,,100.0,15.0
1981,ST CLOUD HOSPITAL (240036),2016,Acute Care,Voluntary non-profit - Private,482.0,45.575325,-94.17045,MN,,,27.0,398.0,98.0,97.0,98.0,111.0,,,,,91.0,7809.0,0.0,28.0,98.0,520.0,,,1.0,63338.0,,,,,,,109.0,398.0,169.0,377.0,214.0,415.0,56.0,189.0,0.0,270.0,91.0,58.0,96.0,158.0
1982,UNITED HOSPITAL (240038),2016,Acute Care,Voluntary non-profit - Private,372.0,44.94185,-93.108302,MN,,,20.0,735.0,81.0,16.0,95.0,20.0,,,,,74.0,4197.0,0.0,24.0,86.0,590.0,,,2.0,50668.0,,,,,,,129.0,484.0,188.0,639.0,285.0,486.0,57.0,38.0,15.0,72.0,99.0,76.0,90.0,154.0
1983,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS (240040),2016,Acute Care,Voluntary non-profit - Other,78.0,47.411053,-92.929534,MN,97.0,90.0,20.0,381.0,68.0,93.0,76.0,63.0,,,47.0,15.0,75.0,1193.0,,,99.0,237.0,,,1.0,13311.0,8.0,90.0,,,65.0,11.0,112.0,332.0,161.0,336.0,212.0,332.0,38.0,40.0,0.0,45.0,,,,
1984,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA (240043),2016,Acute Care,Voluntary non-profit - Private,126.0,43.651558,-93.372469,MN,99.0,198.0,14.0,404.0,84.0,83.0,100.0,59.0,,,87.0,23.0,75.0,2488.0,,,97.0,423.0,,,1.0,33358.0,10.0,214.0,,,,,48.0,503.0,123.0,359.0,214.0,508.0,28.0,147.0,2.0,87.0,,,97.0,32.0
1985,WINONA HEALTH SERVICES (240044),2016,Acute Care,Voluntary non-profit - Private,54.0,44.033016,-91.622136,MN,100.0,68.0,12.0,368.0,96.0,191.0,94.0,209.0,,,76.0,17.0,63.0,873.0,,,81.0,255.0,,,0.0,16602.0,6.0,67.0,,,,,27.0,296.0,96.0,342.0,151.0,321.0,31.0,95.0,0.0,28.0,,,83.0,18.0
1986,ST LUKES HOSPITAL (240047),2016,Acute Care,Voluntary non-profit - Private,267.0,46.797027,-92.087038,MN,,,39.0,473.0,99.0,109.0,100.0,99.0,,,,,78.0,3528.0,5.0,22.0,98.0,572.0,,,2.0,29236.0,,,,,,,95.0,491.0,152.0,431.0,221.0,491.0,54.0,83.0,0.0,29.0,,,81.0,32.0
1987,FAIRVIEW LAKES MEDICAL CENTER (240050),2016,Acute Care,Voluntary non-profit - Private,54.0,45.322267,-92.998466,MN,99.0,196.0,18.0,383.0,100.0,63.0,100.0,63.0,,,55.0,20.0,72.0,1441.0,,,99.0,237.0,,,1.0,27176.0,10.0,209.0,,,52.0,38.0,126.0,311.0,151.0,355.0,286.0,311.0,44.0,184.0,0.0,85.0,,,95.0,20.0
1988,LAKE REGION HEALTHCARE CORPORATION (240052),2016,Acute Care,Voluntary non-profit - Private,103.0,46.277138,-96.072407,MN,96.0,69.0,15.0,380.0,0.0,97.0,99.0,179.0,,,,,84.0,1217.0,,,93.0,297.0,,,0.0,11133.0,3.0,71.0,,,,,39.0,217.0,91.0,406.0,163.0,288.0,33.0,30.0,0.0,41.0,,,,
1989,PARK NICOLLET METHODIST HOSPITAL (240053),2016,Acute Care,Voluntary non-profit - Private,374.0,44.927054,-93.362391,MN,,,35.0,427.0,95.0,96.0,93.0,96.0,,,,,74.0,6059.0,19.0,27.0,96.0,560.0,,,1.0,51217.0,,,,,,,94.0,630.0,196.0,406.0,247.0,630.0,58.0,113.0,0.0,213.0,95.0,40.0,100.0,115.0
1990,RIDGEVIEW MEDICAL CENTER (240056),2016,Acute Care,Voluntary non-profit - Private,118.0,44.843306,-93.790772,MN,98.0,120.0,26.0,451.0,100.0,107.0,100.0,85.0,,,68.0,31.0,68.0,2725.0,,,88.0,501.0,,,1.0,58170.0,7.0,159.0,,,,,58.0,507.0,142.0,423.0,208.0,508.0,31.0,217.0,0.0,37.0,,,93.0,29.0
1991,ABBOTT NORTHWESTERN HOSPITAL (240057),2016,Acute Care,Voluntary non-profit - Private,670.0,44.951954,-93.262248,MN,90.0,30.0,21.0,1226.0,81.0,32.0,100.0,34.0,,,,,77.0,6534.0,0.0,50.0,94.0,687.0,,,2.0,49806.0,10.0,31.0,,,,,127.0,373.0,168.0,1121.0,258.0,376.0,51.0,97.0,3.0,79.0,100.0,35.0,91.0,126.0
1992,REGINA HOSPITAL (240059),2016,Acute Care,Voluntary non-profit - Church,61.0,44.747131,-92.871399,MN,95.0,56.0,16.0,420.0,95.0,206.0,98.0,187.0,,,,,69.0,613.0,,,89.0,237.0,,,0.0,11311.0,11.0,59.0,,,,,61.0,256.0,130.0,392.0,204.0,259.0,34.0,32.0,24.0,42.0,,,92.0,12.0
1993,ST JOSEPH'S HOSPITAL (240063),2016,Acute Care,Voluntary non-profit - Private,210.0,44.949062,-93.100127,MN,93.0,15.0,30.0,409.0,,,,,,,,,55.0,4008.0,,,94.0,568.0,,,5.0,24651.0,6.0,20.0,,,,,79.0,595.0,208.0,336.0,254.0,600.0,60.0,30.0,0.0,39.0,100.0,22.0,100.0,48.0
1994,GRAND ITASCA CLINIC AND HOSPITAL (240064),2016,Acute Care,Voluntary non-profit - Private,38.0,47.221039,-93.554716,MN,99.0,115.0,21.0,386.0,100.0,74.0,100.0,62.0,,,93.0,15.0,80.0,786.0,,,97.0,230.0,,,1.0,16247.0,5.0,115.0,,,71.0,19.0,56.0,300.0,131.0,350.0,246.0,300.0,38.0,56.0,2.0,40.0,,,93.0,14.0
1995,LAKEVIEW MEMORIAL HOSPITAL (240066),2016,Acute Care,Voluntary non-profit - Private,68.0,45.048126,-92.818489,MN,100.0,79.0,13.0,521.0,98.0,548.0,98.0,314.0,,,82.0,11.0,85.0,1236.0,,,98.0,383.0,,,0.0,13373.0,7.0,81.0,,,32.0,13.0,63.0,269.0,122.0,480.0,221.0,272.0,38.0,75.0,1.0,70.0,,,93.0,14.0
1996,OWATONNA HOSPITAL (240069),2016,Acute Care,Voluntary non-profit - Other,40.0,44.109798,-93.236301,MN,99.0,92.0,11.0,526.0,96.0,137.0,99.0,94.0,,,,,73.0,637.0,,,95.0,242.0,,,1.0,16413.0,9.0,94.0,,,,,72.0,242.0,114.0,471.0,238.0,244.0,38.0,36.0,12.0,78.0,,,,
1997,DISTRICT ONE HOSPITAL (240071),2016,Acute Care,Voluntary non-profit - Private,34.0,44.288715,-93.256022,MN,95.0,96.0,21.0,421.0,97.0,65.0,93.0,139.0,,,,,80.0,461.0,,,98.0,240.0,,,1.0,14774.0,7.0,97.0,,,,,50.0,241.0,122.0,402.0,224.0,272.0,35.0,37.0,6.0,54.0,,,,
1998,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER (240075),2016,Acute Care,Voluntary non-profit - Private,144.0,46.362509,-94.205143,MN,100.0,64.0,20.0,424.0,93.0,74.0,96.0,74.0,,,95.0,19.0,81.0,1257.0,,,100.0,433.0,,,1.0,26796.0,7.0,64.0,,,57.0,19.0,39.0,546.0,121.0,391.0,186.0,546.0,44.0,106.0,2.0,59.0,,,100.0,31.0
1999,BUFFALO HOSPITAL (240076),2016,Acute Care,Voluntary non-profit - Other,42.0,45.1932,-93.87053,MN,98.0,89.0,6.0,512.0,92.0,432.0,94.0,178.0,,,77.0,13.0,77.0,679.0,,,98.0,231.0,,,0.0,18872.0,7.0,90.0,,,43.0,16.0,54.0,265.0,114.0,469.0,210.0,266.0,30.0,52.0,3.0,61.0,,,95.0,21.0
2000,FAIRVIEW SOUTHDALE HOSPITAL (240078),2016,Acute Care,Voluntary non-profit - Other,333.0,44.886279,-93.328857,MN,,,12.0,444.0,100.0,231.0,99.0,142.0,,,,,71.0,4381.0,0.0,16.0,98.0,519.0,,,1.0,48543.0,,,,,,,110.0,505.0,149.0,402.0,235.0,507.0,39.0,213.0,1.0,71.0,97.0,29.0,96.0,89.0
2001,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW (240080)",2016,Acute Care,Voluntary non-profit - Private,832.0,44.966335,-93.23812,MN,,,18.0,406.0,87.0,70.0,82.0,79.0,,,,,79.0,13588.0,5.0,57.0,95.0,514.0,,,2.0,65203.0,,,,,,,118.0,442.0,154.0,351.0,308.0,446.0,34.0,170.0,4.0,25.0,100.0,18.0,84.0,104.0
2002,ESSENTIA HEALTH VIRGINIA (240084),2016,Acute Care,Government - Local,146.0,47.530711,-92.548797,MN,97.0,114.0,24.0,397.0,83.0,123.0,98.0,63.0,,,,,45.0,586.0,,,94.0,232.0,,,2.0,12751.0,8.0,116.0,,,,,36.0,308.0,131.0,353.0,179.0,309.0,55.0,57.0,0.0,33.0,,,,
2003,RICE MEMORIAL HOSPITAL (240088),2016,Acute Care,Government - Local,164.0,45.120514,-95.046366,MN,97.0,63.0,24.0,552.0,92.0,108.0,96.0,46.0,,,,,87.0,1373.0,,,98.0,307.0,,,2.0,13691.0,11.0,62.0,,,,,69.0,213.0,120.0,526.0,201.0,228.0,34.0,74.0,11.0,28.0,,,100.0,11.0
2004,MAYO CLINIC HEALTH SYSTEM - MANKATO (240093),2016,Acute Care,Voluntary non-profit - Private,168.0,44.165047,-93.983738,MN,,,12.0,412.0,95.0,74.0,95.0,87.0,,,,,80.0,2449.0,0.0,21.0,97.0,521.0,,,1.0,32031.0,,,,,,,143.0,527.0,137.0,381.0,216.0,527.0,40.0,111.0,7.0,183.0,100.0,11.0,90.0,101.0
2005,SANFORD BEMIDJI MEDICAL CENTER (240100),2016,Acute Care,Voluntary non-profit - Private,192.0,47.505009,-94.898125,MN,,,14.0,406.0,91.0,82.0,99.0,79.0,,,82.0,17.0,88.0,2002.0,,,91.0,468.0,,,3.0,27049.0,,,,,,,101.0,449.0,130.0,373.0,243.0,458.0,49.0,89.0,1.0,81.0,,,89.0,27.0
2006,ESSENTIA HEALTH ST MARYS - DETROIT LAKES (240101),2016,Acute Care,Voluntary non-profit - Church,133.0,46.815307,-95.845453,MN,98.0,170.0,10.0,456.0,90.0,72.0,92.0,75.0,,,87.0,15.0,83.0,899.0,,,98.0,223.0,,,1.0,13057.0,7.0,170.0,,,,,70.0,233.0,119.0,381.0,208.0,241.0,33.0,95.0,0.0,31.0,,,77.0,13.0
2007,ST FRANCIS REGIONAL MEDICAL CENTER (240104),2016,Acute Care,Voluntary non-profit - Church,85.0,44.770075,-93.503569,MN,96.0,116.0,13.0,492.0,89.0,157.0,93.0,185.0,,,,,79.0,1179.0,,,95.0,534.0,,,1.0,38819.0,7.0,119.0,,,,,78.0,652.0,124.0,452.0,222.0,660.0,40.0,99.0,9.0,47.0,,,90.0,39.0
2008,REGIONS HOSPITAL (240106),2016,Acute Care,Voluntary non-profit - Private,450.0,44.955338,-93.096277,MN,,,34.0,406.0,80.0,101.0,88.0,124.0,,,,,90.0,7286.0,0.0,41.0,98.0,541.0,,,3.0,82516.0,,,,,,,115.0,531.0,176.0,374.0,273.0,538.0,47.0,197.0,1.0,187.0,93.0,42.0,99.0,114.0
2009,MERCY HOSPITAL (240115),2016,Acute Care,Voluntary non-profit - Private,360.0,45.183842,-93.368221,MN,97.0,36.0,26.0,581.0,95.0,183.0,97.0,240.0,,,83.0,18.0,73.0,3474.0,,,93.0,623.0,,,2.0,62245.0,4.0,37.0,,,,,116.0,664.0,182.0,521.0,295.0,684.0,48.0,154.0,24.0,70.0,100.0,42.0,100.0,109.0
2010,UNITY HOSPITAL (240132),2016,Acute Care,Voluntary non-profit - Other,194.0,,,MN,100.0,56.0,22.0,488.0,95.0,42.0,89.0,38.0,,,,,74.0,1940.0,,,98.0,569.0,,,3.0,50413.0,6.0,57.0,,,39.0,15.0,155.0,719.0,141.0,453.0,278.0,721.0,46.0,110.0,17.0,12.0,100.0,12.0,99.0,86.0
2011,FAIRVIEW NORTHLAND REGIONAL HOSPITAL (240141),2016,Acute Care,Voluntary non-profit - Other,38.0,45.55888,-93.588931,MN,100.0,59.0,15.0,384.0,100.0,63.0,100.0,63.0,,,82.0,11.0,79.0,879.0,,,100.0,231.0,,,0.0,20823.0,13.0,63.0,,,41.0,11.0,108.0,287.0,114.0,368.0,242.0,289.0,46.0,136.0,2.0,52.0,,,100.0,11.0
2012,MAYO CLINIC HEALTH SYSTEM - FAIRMONT (240166),2016,Acute Care,Voluntary non-profit - Private,78.0,43.637688,-94.451728,MN,98.0,45.0,11.0,407.0,100.0,81.0,93.0,73.0,,,,,75.0,538.0,,,96.0,251.0,,,1.0,11675.0,9.0,46.0,,,,,91.0,343.0,86.0,364.0,156.0,350.0,44.0,33.0,6.0,16.0,,,95.0,22.0
2013,HUTCHINSON HEALTH (240187),2016,Acute Care,Voluntary non-profit - Private,119.0,44.875105,-94.375533,MN,100.0,58.0,14.0,643.0,98.0,81.0,99.0,79.0,,,83.0,12.0,93.0,978.0,,,99.0,406.0,,,1.0,9035.0,7.0,58.0,,,,,48.0,347.0,107.0,593.0,195.0,350.0,22.0,53.0,0.0,22.0,,,,
2014,PHILLIPS EYE INSTITUTE (240196),2016,Acute Care,Government - Federal,8.0,,,MN,,,,,,,,,,,,,79.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,RED LAKE HOSPITAL A (240206),2016,Acute Care,Government - Federal,23.0,,,MN,,,,,,,,,,,,,80.0,262.0,,,65.0,48.0,,,,,,,,,,,90.0,73.0,,,253.0,75.0,,,,,,,,
2016,FAIRVIEW RIDGES HOSPITAL (240207),2016,Acute Care,Voluntary non-profit - Church,170.0,44.749947,-93.274858,MN,100.0,66.0,11.0,408.0,100.0,231.0,100.0,169.0,,,37.0,19.0,72.0,3180.0,,,96.0,471.0,,,1.0,60020.0,7.0,71.0,,,43.0,18.0,115.0,565.0,145.0,389.0,267.0,567.0,29.0,306.0,2.0,51.0,,,94.0,87.0
2017,HEALTHEAST ST JOHN'S HOSPITAL (240210),2016,Acute Care,Voluntary non-profit - Private,184.0,45.028131,-93.033508,MN,98.0,101.0,19.0,409.0,,,77.0,13.0,,,,,55.0,3602.0,,,96.0,495.0,,,2.0,38393.0,6.0,109.0,,,42.0,32.0,55.0,541.0,173.0,391.0,236.0,542.0,58.0,107.0,3.0,61.0,93.0,15.0,100.0,74.0
2018,HEALTHEAST WOODWINDS HOSPITAL (240213),2016,Acute Care,Voluntary non-profit - Private,86.0,44.92351,-92.975353,MN,93.0,87.0,20.0,408.0,,,,,,,,,52.0,2738.0,0.0,12.0,97.0,497.0,,,2.0,27625.0,11.0,93.0,,,,,74.0,349.0,168.0,375.0,266.0,350.0,49.0,139.0,6.0,31.0,,,100.0,62.0
2019,MAPLE GROVE HOSPITAL (240214),2016,Acute Care,Voluntary non-profit - Private,121.0,45.133377,-93.479488,MN,97.0,171.0,15.0,447.0,97.0,29.0,99.0,141.0,,,40.0,15.0,67.0,1329.0,,,98.0,390.0,,,1.0,38297.0,11.0,180.0,,,37.0,29.0,68.0,256.0,126.0,421.0,219.0,256.0,40.0,111.0,0.0,111.0,,,95.0,43.0
2020,MAHNOMEN HEALTH CENTER (241300),2016,Critical Access,Government - Local,47.0,,,MN,82.0,17.0,13.0,85.0,,,,,,,,,93.0,154.0,,,37.0,19.0,,,,,9.0,19.0,,,,,,,76.0,138.0,,,,,,,,,,
2021,LAKEWOOD HEALTH CENTER (241301),2016,Critical Access,Voluntary non-profit - Church,56.0,48.707427,-94.601172,MN,80.0,20.0,,,,,,,,,,,,,,,87.0,63.0,,,,,16.0,18.0,,,,,34.0,44.0,,,138.0,66.0,,,,,,,,
2022,SANFORD WESTBROOK MEDICAL CENTER (241302),2016,Critical Access,Voluntary non-profit - Private,8.0,44.045285,-95.438891,MN,,,10.0,125.0,,,,,,,,,98.0,105.0,,,86.0,36.0,,,0.0,610.0,,,,,,,,,81.0,104.0,106.0,17.0,,,,,,,,
2023,SANFORD TRACY MEDICAL CENTER (241303),2016,Critical Access,Voluntary non-profit - Private,25.0,44.232237,-95.60675,MN,,,10.0,204.0,,,,,,,,,100.0,143.0,,,90.0,31.0,,,0.0,1041.0,,,,,,,92.0,40.0,90.0,167.0,128.0,48.0,,,,,,,,
2024,SANFORD MEDICAL CENTER WHEATON (241304),2016,Critical Access,Voluntary non-profit - Private,15.0,45.80901,-96.500504,MN,,,16.0,64.0,,,,,,,,,100.0,97.0,,,100.0,12.0,,,0.0,934.0,,,,,,,9.0,13.0,71.0,52.0,152.0,13.0,,,,,,,,
2025,RIVERWOOD HEALTHCARE CENTER (241305),2016,Critical Access,Voluntary non-profit - Private,25.0,46.529202,-93.696808,MN,,,15.0,92.0,,,,,,,,,86.0,552.0,,,86.0,283.0,,,1.0,9113.0,,,,,,,54.0,113.0,83.0,194.0,167.0,245.0,40.0,12.0,,,,,,
2026,RENVILLE COUNTY HOSPITAL AND CLINICS (241306),2016,Critical Access,Government - Local,26.0,,,MN,,,,,,,,,,,,,90.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,ESSENTIA HEALTH SANDSTONE (241309),2016,Critical Access,Voluntary non-profit - Private,44.0,46.118408,-92.882967,MN,96.0,54.0,21.0,166.0,,,,,,,,,69.0,199.0,,,90.0,69.0,,,0.0,3365.0,12.0,55.0,,,,,26.0,118.0,108.0,174.0,198.0,141.0,44.0,23.0,,,,,,
2028,RIDGEVIEW SIBLEY MEDICAL CENTER (241311),2016,Critical Access,Voluntary non-profit - Private,19.0,44.609782,-94.084631,MN,71.0,24.0,9.0,154.0,,,,,,,,,76.0,95.0,,,75.0,56.0,,,,,3.0,25.0,,,,,8.0,154.0,177.0,150.0,186.0,154.0,,,,,,,,
2029,COOK HOSPITAL (241312),2016,Critical Access,Government - Hospital District or Authority,42.0,47.853468,-92.680032,MN,100.0,16.0,11.0,84.0,,,,,,,,,79.0,151.0,,,63.0,38.0,,,,,10.0,15.0,,,,,,,128.0,70.0,,,,,,,,,,
2030,ESSENTIA HEALTH ADA (241313),2016,Critical Access,Voluntary non-profit - Private,14.0,47.296091,-96.53019,MN,,,3.0,21.0,,,,,,,,,83.0,83.0,,,,,,,0.0,1276.0,,,,,,,10.0,22.0,87.0,19.0,180.0,23.0,,,,,,,,
2031,JOHNSON MEMORIAL HOSPITAL (241314),2016,Critical Access,Government - Hospital District or Authority,78.0,44.930971,-96.067063,MN,,,17.0,73.0,,,,,,,,,,,,,90.0,60.0,,,,,,,,,,,0.0,56.0,106.0,65.0,102.0,70.0,,,,,,,,
2032,SANFORD JACKSON MEDICAL CENTER (241315),2016,Critical Access,Voluntary non-profit - Private,15.0,43.623723,-95.004516,MN,96.0,23.0,26.0,50.0,,,,,,,,,100.0,101.0,,,94.0,50.0,,,0.0,1815.0,7.0,23.0,,,,,,,109.0,88.0,151.0,96.0,40.0,18.0,,,,,,
2033,BIGFORK VALLEY HOSPITAL (241316),2016,Critical Access,Government - Hospital District or Authority,62.0,47.746885,-93.646822,MN,100.0,25.0,10.0,261.0,,,,,,,,,86.0,222.0,,,94.0,142.0,,,,,8.0,25.0,,,,,4.0,159.0,95.0,134.0,98.0,177.0,39.0,23.0,,,,,,
2034,COOK COUNTY NORTHSHORE HOSPITAL (241317),2016,Critical Access,Government - Hospital District or Authority,54.0,47.756744,-90.340179,MN,,,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,48.0,,,51.0,25.0,,,,,,
2035,MURRAY COUNTY MEMORIAL HOSPITAL (241319),2016,Critical Access,Government - Local,23.0,43.992795,-95.759226,MN,,,8.0,88.0,,,,,,,,,84.0,183.0,,,88.0,57.0,,,,,,,,,,,11.0,32.0,111.0,105.0,146.0,59.0,,,,,,,,
2036,RIVERVIEW HOSPITAL (241320),2016,Critical Access,Voluntary non-profit - Private,56.0,47.772083,-96.618106,MN,100.0,24.0,10.0,566.0,31.0,77.0,89.0,152.0,,,45.0,11.0,84.0,559.0,,,84.0,394.0,,,0.0,6386.0,10.0,24.0,,,,,37.0,276.0,81.0,543.0,158.0,300.0,43.0,48.0,,,,,,
2037,ESSENTIA HEALTH HOLY TRINITY HOSPITAL (241321),2016,Critical Access,Voluntary non-profit - Private,59.0,45.56241,-96.433452,MN,,,19.0,102.0,,,,,,,,,85.0,41.0,,,95.0,19.0,,,0.0,450.0,,,,,,,,,86.0,108.0,,,,,,,,,,
2038,RAINY LAKE MEDICAL CENTER (241322),2016,Critical Access,Voluntary non-profit - Private,20.0,48.593984,-93.430774,MN,95.0,62.0,24.0,64.0,,,,,,,,,,,,,96.0,46.0,,,,,12.0,65.0,,,,,48.0,26.0,158.0,42.0,200.0,28.0,,,0.0,20.0,,,,
2039,MADELIA COMMUNITY HOSPITAL (241323),2016,Critical Access,Voluntary non-profit - Other,25.0,44.049536,-94.409365,MN,,,,,,,,,,,,,99.0,130.0,,,78.0,64.0,,,,,,,,,,,3.0,20.0,,,156.0,27.0,,,,,,,,
2040,CHIPPEWA COUNTY HOSPITAL (241325),2016,Critical Access,Government - Local,25.0,44.953989,-95.713586,MN,,,14.0,69.0,,,,,,,,,83.0,345.0,,,53.0,258.0,,,,,,,,,,,45.0,60.0,157.0,62.0,135.0,63.0,,,,,,,,
2041,CENTRACARE HEALTH SYSTEM - LONG PRAIRIE (241326),2016,Critical Access,Voluntary non-profit - Private,96.0,,,MN,96.0,26.0,4.0,16.0,,,,,,,,,,,,,70.0,151.0,,,,,1.0,25.0,,,,,122.0,170.0,99.0,209.0,141.0,202.0,40.0,14.0,,,,,,
2042,SLEEPY EYE MUNICIPAL HOSPITAL (241327),2016,Critical Access,Government - Local,18.0,44.299319,-94.727315,MN,,,28.0,159.0,,,,,,,,,96.0,134.0,,,82.0,94.0,,,,,,,,,,,25.0,24.0,99.0,144.0,130.0,24.0,,,,,,,,
2043,SANFORD BAGLEY MEDICAL CENTER (241328),2016,Critical Access,Voluntary non-profit - Private,25.0,47.525837,-95.401676,MN,,,,,,,,,,,,,98.0,95.0,,,35.0,26.0,,,,,,,,,,,16.0,29.0,,,176.0,50.0,,,,,,,,
2044,LAKEWOOD HEALTH SYSTEM (241329),2016,Critical Access,Voluntary non-profit - Other,135.0,46.350869,-94.748393,MN,93.0,28.0,31.0,161.0,,,,,,,,,73.0,638.0,,,90.0,241.0,,,1.0,7923.0,16.0,29.0,,,,,30.0,221.0,102.0,181.0,170.0,224.0,32.0,31.0,,,,,,
