,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
2022,CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL (241330),2021,Critical Access,Voluntary non-profit - Private,95.0,45.674916,-94.823435,MN,,,,,,,,,,,69.0,229.0,,,0.0,3591.0,,,,,128.0,180.0,,,,,,,,,,
2023,WINDOM AREA HEALTH (241332),2021,Critical Access,Government - Local,20.0,43.878587,-95.113659,MN,,,,,,,,,,,,,,,0.0,3767.0,,,,,126.0,109.0,,,,,,,,,,
2024,MAYO CLINIC HEALTH SYSTEM - ST JAMES (241333),2021,Critical Access,Voluntary non-profit - Other,25.0,43.96949,-94.621515,MN,,,,,,,,,,,83.0,115.0,,,0.0,3088.0,,,,,87.0,106.0,,,,,,,,,,
2025,RIVER'S EDGE HOSPITAL & CLINIC (241334),2021,Critical Access,Government - Local,20.0,44.347846,-93.970875,MN,,,,,,,,,,,91.0,317.0,,,1.0,8438.0,,,144.0,48.0,112.0,960.0,,,,,,,,,,
2026,ST ELIZABETH MEDICAL CENTER (241335),2021,Critical Access,Voluntary non-profit - Private,116.0,44.386416,-92.04914,MN,,,,,,,,,,,,,,,0.0,2385.0,,,,,95.0,117.0,,,,,,,,,,
2027,MAYO CLINIC HEALTH SYSTEM - LAKE CITY (241338),2021,Critical Access,Voluntary non-profit - Private,108.0,44.458335,-92.288365,MN,,,,,,,,,,,82.0,359.0,,,0.0,3298.0,,,,,99.0,109.0,,,,,,,,,,
2028,ESSENTIA HEALTH NORTHERN PINES MEDICAL CENTER (241340),2021,Critical Access,Voluntary non-profit - Private,62.0,47.517212,-92.229687,MN,,,,,,,,,,,98.0,88.0,,,0.0,3330.0,,,599.0,13.0,110.0,118.0,,,,,,,,,,
2029,APPLETON AREA HEALTH (241341),2021,Critical Access,Government - Local,67.0,45.199658,-96.009224,MN,,,,,,,,,,,,,,,0.0,763.0,,,116.0,19.0,108.0,299.0,,,,,,,,,,
2030,ORTONVILLE AREA HEALTH SERVICES (241342),2021,Critical Access,Government - Local,82.0,45.314769,-96.446563,MN,,,,,,,,,,,87.0,318.0,,,0.0,1202.0,,,,,119.0,108.0,8.0,13.0,,,,,,,,
2031,AVERA GRANITE FALLS (241343),2021,Critical Access,Government - Local,76.0,44.808737,-95.542467,MN,,,,,,,,,,,100.0,262.0,,,,,,,142.0,37.0,142.0,336.0,,,,,,,,,,
2032,LIFECARE MEDICAL CENTER (241344),2021,Critical Access,Voluntary non-profit - Private,79.0,48.839822,-95.759947,MN,,,,,,,,,,,,,,,0.0,7845.0,,,,,108.0,165.0,,,,,,,,,,
2033,MAYO CLINIC HEALTH SYSTEM - WASECA (241345),2021,Critical Access,Voluntary non-profit - Private,15.0,44.081525,-93.507297,MN,,,93.0,15.0,,,,,,,93.0,138.0,,,1.0,4768.0,,,113.0,14.0,88.0,164.0,,,,,,,,,,
2034,MAYO CLINIC HEALTH SYSTEM - CANNON FALLS (241346),2021,Critical Access,Voluntary non-profit - Private,16.0,44.4859,-92.90325,MN,,,,,,,,,,,92.0,209.0,,,0.0,4149.0,,,,,92.0,152.0,,,,,,,,,,
2035,SANFORD CANBY MEDICAL CENTER (241347),2021,Critical Access,Government - Hospital District or Authority,84.0,44.707899,-96.277555,MN,,,,,,,,,,,98.0,321.0,,,0.0,1115.0,,,,,104.0,54.0,,,,,,,,,,
2036,AVERA TYLER HOSPITAL (241348),2021,Critical Access,Voluntary non-profit - Private,56.0,44.272274,-96.130943,MN,,,,,,,,,,,,,,,,,,,190.0,28.0,114.0,250.0,,,,,,,,,,
2037,CENTRACARE HEALTH PAYNESVILLE HOSPITAL (241349),2021,Critical Access,Voluntary non-profit - Private,66.0,45.374893,-94.716253,MN,,,,,,,,,,,88.0,304.0,,,0.0,3571.0,,,,,118.0,181.0,,,,,,,,,,
2038,ESSENTIA HEALTH MOOSE LAKE (241350),2021,Critical Access,Government - Hospital District or Authority,25.0,46.442545,-92.775725,MN,,,,,,,,,,,99.0,241.0,,,0.0,4980.0,,,,,98.0,86.0,0.0,30.0,,,,,,,,
2039,"CARRIS HEALTH - REDWOOD, LLC (241351)",2021,Critical Access,Government - Local,25.0,44.53703,-95.107268,MN,,,,,,,,,,,80.0,308.0,,,,,,,304.0,18.0,136.0,132.0,,,,,,,,,,
2040,CUYUNA REGIONAL MEDICAL CENTER (241353),2021,Critical Access,Government - Hospital District or Authority,130.0,46.482408,-93.94525,MN,,,,,,,,,,,69.0,1284.0,,,0.0,10169.0,,,,,119.0,97.0,,,,,,,,,,
2041,TRI COUNTY HOSPITAL (241354),2021,Critical Access,Voluntary non-profit - Other,25.0,46.446565,-95.132748,MN,,,,,,,,,,,,,,,,,,,266.0,22.0,131.0,298.0,,,,,,,,,,
2042,GLENCOE REGIONAL HEALTH SERVICES (241355),2021,Critical Access,Voluntary non-profit - Private,132.0,44.77755,-94.151714,MN,,,,,,,,,,,80.0,568.0,,,1.0,5152.0,,,,,154.0,169.0,0.0,16.0,,,,,,,,
2043,MILLE LACS HEALTH SYSTEM (241356),2021,Critical Access,Voluntary non-profit - Private,89.0,46.072467,-93.661823,MN,,,100.0,40.0,,,,,,,,,100.0,41.0,1.0,8755.0,,,79.0,17.0,83.0,205.0,,,,,,,,,,
2044,ESSENTIA HEALTH FOSSTON (241357),2021,Critical Access,Voluntary non-profit - Private,75.0,47.572149,-95.740607,MN,,,,,,,,,,,96.0,181.0,,,0.0,2839.0,,,,,94.0,119.0,,,,,,,,,,
2045,CASS LAKE INDIAN HEALTH SERVICES HOSPITAL (241358),2021,Critical Access,Government - Federal,10.0,47.384094,-94.609515,MN,,,,,,,,,,,97.0,178.0,,,7.0,13991.0,,,,,70.0,92.0,,,,,,,,,,
2046,AVERA MARSHALL REGIONAL MEDICAL CTR (241359),2021,Critical Access,Voluntary non-profit - Private,111.0,44.447634,-95.776185,MN,,,,,,,,,,,100.0,675.0,,,0.0,7204.0,,,196.0,14.0,118.0,173.0,6.0,16.0,,,,,,,,
2047,ESSENTIA HEALTH DEER RIVER (241360),2021,Critical Access,Voluntary non-profit - Private,52.0,47.343503,-93.791299,MN,,,,,,,,,,,96.0,254.0,,,0.0,4653.0,,,,,110.0,152.0,,,,,,,,,,
2048,MAYO CLINIC HEALTH SYSTEM-NEW PRAGUE (241361),2021,Critical Access,Voluntary non-profit - Private,20.0,44.545926,-93.574903,MN,,,,,,,,,,,90.0,276.0,,,1.0,6473.0,,,,,134.0,172.0,,,,,,,,,,
2049,CENTRACARE HEALTH - MONTICELLO (241362),2021,Critical Access,Government - Hospital District or Authority,124.0,45.30017,-93.779107,MN,,,,,,,,,,,77.0,513.0,,,0.0,12436.0,,,258.0,14.0,105.0,179.0,0.0,12.0,,,,,,,,
2050,COMMUNITY MEMORIAL HOSPITAL (241364),2021,Critical Access,Voluntary non-profit - Private,76.0,46.731844,-92.462459,MN,,,,,,,,,,,81.0,457.0,,,1.0,11180.0,,,120.0,11.0,129.0,174.0,,,,,,,,,,
2051,MEEKER MEMORIAL HOSPITAL (241366),2021,Critical Access,Proprietary,32.0,45.120003,-94.528031,MN,,,,,,,,,,,,,,,0.0,5007.0,,,,,103.0,119.0,,,,,,,,,,
2052,WELIA HEALTH (241367),2021,Critical Access,Government - Local,25.0,45.87339,-93.289955,MN,,,,,,,,,,,91.0,758.0,,,0.0,11732.0,,,187.0,11.0,135.0,215.0,,,,,,,,,,
2053,CENTRACARE HEALTH SYSTEM - SAUK CENTRE (241368),2021,Critical Access,Voluntary non-profit - Private,83.0,45.74589,-94.954567,MN,,,,,,,,,,,81.0,178.0,,,0.0,3311.0,,,,,122.0,178.0,,,,,,,,,,
2054,UNITED HOSPITAL DISTRICT (241369),2021,Critical Access,Government - Hospital District or Authority,25.0,43.63429,-94.100884,MN,,,,,,,,,,,,,,,1.0,5198.0,,,288.0,14.0,140.0,264.0,,,,,,,,,,
2055,ST GABRIELS HOSPITAL (241370),2021,Critical Access,Voluntary non-profit - Private,25.0,45.967711,-94.362651,MN,,,,,,,,,,,73.0,705.0,,,,,,,274.0,11.0,119.0,168.0,,,,,,,,,,
2056,SANFORD LUVERNE MEDICAL CENTER (241371),2021,Critical Access,Voluntary non-profit - Private,25.0,43.671605,-96.212523,MN,,,,,,,,,,,,,,,0.0,3365.0,,,,,106.0,111.0,,,,,,,,,,
2057,PERHAM HEALTH (241373),2021,Critical Access,Government - Hospital District or Authority,120.0,46.592685,-95.595165,MN,,,,,,,,,,,90.0,825.0,,,0.0,6212.0,,,,,,,4.0,26.0,,,,,,,,
2058,PIPESTONE COUNTY  MEDICAL CENTER (241374),2021,Critical Access,Government - Local,22.0,43.991082,-96.322107,MN,,,,,,,,,,,93.0,219.0,,,0.0,1655.0,,,198.0,75.0,151.0,973.0,0.0,29.0,,,,,,,,
2059,MINNESOTA VALLEY HEALTH CENTER  INC (241375),2021,Critical Access,Voluntary non-profit - Private,69.0,44.454198,-93.916267,MN,,,,,,,,,,,83.0,133.0,,,0.0,1539.0,,,,,,,,,,,,,,,,
2060,GLACIAL RIDGE HOSPITAL (241376),2021,Critical Access,Government - Hospital District or Authority,19.0,45.646757,-95.38987,MN,,,,,,,,,,,92.0,423.0,,,,,,,,,144.0,147.0,0.0,13.0,,,,,,,,
2061,ST FRANCIS MEDICAL CENTER (241377),2021,Critical Access,Voluntary non-profit - Church,122.0,46.291314,-96.590433,MN,,,,,,,,,,,74.0,117.0,,,1.0,4250.0,,,165.0,11.0,124.0,119.0,,,,,,,,,,
2062,NEW ULM MEDICAL CENTER (241378),2021,Critical Access,Voluntary non-profit - Private,33.0,44.312504,-94.475174,MN,62.0,29.0,,,,,,,,,77.0,906.0,,,,,,,,,160.0,294.0,,,78.0,23.0,,,79.0,29.0,100.0,17.0
2063,PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES (241379),2021,Critical Access,Voluntary non-profit - Private,12.0,45.992223,-95.957777,MN,,,,,,,,,,,81.0,184.0,,,1.0,1090.0,,,,,,,,,,,,,,,,
2064,ST JOSEPHS AREA  HEALTH SERVICES (241380),2021,Critical Access,Voluntary non-profit - Private,25.0,46.9157,-95.061504,MN,,,,,,,,,,,81.0,313.0,,,1.0,8590.0,,,134.0,12.0,128.0,157.0,,,,,,,,,,
2065,SANFORD THIEF RIVER FALLS MEDICAL CENTER (241381),2021,Critical Access,Voluntary non-profit - Private,30.0,48.088654,-96.197788,MN,,,,,,,,,,,95.0,634.0,,,1.0,7101.0,,,150.0,15.0,107.0,139.0,,,,,,,,,,
2066,UNIVERSITY OF MISSISSIPPI MED CENTER (250001),2021,Acute Care,Government - State,685.0,32.328783,-90.17558,MS,22.0,41.0,90.0,29.0,,,,,,,100.0,12643.0,,,5.0,119129.0,,,,,181.0,194.0,0.0,13.0,71.0,14.0,,,51.0,41.0,46.0,13.0
2067,TISHOMINGO HEALTH SERVICES INC (250002),2021,Acute Care,Voluntary non-profit - Private,48.0,34.803686,-88.209218,MS,92.0,12.0,,,,,,,,,99.0,168.0,,,,,,,,,97.0,207.0,,,92.0,12.0,,,100.0,12.0,,
2068,NORTH MISSISSIPPI MEDICAL CENTER (250004),2021,Acute Care,Voluntary non-profit - Private,627.0,34.242203,-88.717758,MS,63.0,93.0,,,,,,,,,77.0,5735.0,,,,,,,,,144.0,219.0,3.0,30.0,83.0,72.0,92.0,13.0,84.0,93.0,90.0,58.0
2069,BAPTIST MEMORIAL HOSPITAL UNION COUNTY (250006),2021,Acute Care,Voluntary non-profit - Other,98.0,,,MS,83.0,69.0,100.0,162.0,,,,,,,100.0,503.0,,,1.0,29916.0,50.0,13.0,,,114.0,188.0,0.0,49.0,98.0,60.0,,,87.0,69.0,100.0,56.0
2070,MERIT HEALTH BILOXI (250007),2021,Acute Care,Proprietary,190.0,30.396112,-88.890438,MS,62.0,42.0,80.0,49.0,,,,,,,50.0,665.0,,,2.0,33136.0,,,220.0,16.0,142.0,195.0,4.0,24.0,90.0,30.0,,,79.0,42.0,86.0,22.0
2071,MAGNOLIA REGIONAL HEALTH CENTER (250009),2021,Acute Care,Voluntary non-profit - Other,193.0,34.935867,-88.558648,MS,37.0,181.0,,,,,,,69.0,16.0,70.0,1440.0,,,,,,,,,156.0,181.0,0.0,40.0,73.0,98.0,69.0,13.0,56.0,181.0,96.0,69.0
2072,ALLIANCE HEALTHCARE SYSTEM (250012),2021,Acute Care,Physician,40.0,34.786835,-89.415027,MS,,,,,,,,,,,,,,,1.0,3114.0,,,,,108.0,134.0,,,,,,,,,,
2073,TRACE REGIONAL HOSPITAL AND SWING BED (250017),2021,Acute Care,Proprietary,119.0,33.89479,-88.985085,MS,,,,,,,,,,,92.0,95.0,,,,,,,,,,,,,,,,,,,,
2074,JASPER GENERAL HOSPITAL (250018),2021,Acute Care,Government - Local,20.0,31.976688,-89.290555,MS,,,,,,,,,,,73.0,255.0,,,,,,,,,,,,,,,,,,,,
2075,MEMORIAL HOSPITAL AT GULFPORT (250019),2021,Acute Care,Government - Local,431.0,30.366928,-89.114907,MS,62.0,82.0,93.0,131.0,,,,,,,64.0,6231.0,,,3.0,67564.0,,,487.0,11.0,164.0,231.0,6.0,93.0,82.0,62.0,100.0,12.0,84.0,82.0,87.0,54.0
2076,WEBSTER GENERAL HOSPITAL/ SWING BED (250020),2021,Acute Care,Voluntary non-profit - Other,38.0,33.534736,-89.266943,MS,,,,,,,,,,,91.0,273.0,,,,,,,,,80.0,216.0,,,,,,,,,,
2077,NORTH MISSISSIPPI MEDICAL CENTER-GILMORE AMORY (250025),2021,Acute Care,Proprietary,95.0,33.977551,-88.477625,MS,63.0,27.0,,,,,,,,,82.0,662.0,,,,,,,,,119.0,183.0,9.0,22.0,76.0,21.0,,,81.0,27.0,100.0,12.0
2078,WINSTON MEDICAL CENTER & SWINGBED (250027),2021,Acute Care,Voluntary non-profit - Private,136.0,33.124291,-89.036671,MS,,,,,,,,,,,50.0,305.0,,,4.0,10068.0,,,,,98.0,322.0,,,,,,,,,,
2079,MERIT HEALTH RIVER REGION (250031),2021,Acute Care,Proprietary,298.0,32.374802,-90.827497,MS,38.0,47.0,,,,,,,69.0,13.0,43.0,1181.0,,,2.0,31590.0,,,,,157.0,179.0,11.0,19.0,76.0,25.0,,,62.0,47.0,82.0,22.0
2080,BAPTIST MEMORIAL HOSPITAL NORTH MS (250034),2021,Acute Care,Voluntary non-profit - Private,209.0,34.346609,-89.5212,MS,76.0,99.0,71.0,82.0,,,,,82.0,11.0,100.0,1541.0,,,0.0,42898.0,,,,,132.0,197.0,0.0,67.0,100.0,76.0,95.0,19.0,82.0,101.0,93.0,70.0
2081,GEORGE REGIONAL HEALTH SYSTEM (250036),2021,Acute Care,Government - Local,41.0,30.922235,-88.592853,MS,,,,,,,,,,,43.0,392.0,,,,,,,,,117.0,195.0,0.0,11.0,,,,,,,,
2082,MERIT HEALTH MADISON (250038),2021,Acute Care,Proprietary,67.0,32.582157,-90.081677,MS,25.0,20.0,100.0,21.0,,,,,,,87.0,434.0,,,1.0,22341.0,,,,,96.0,201.0,,,55.0,11.0,,,70.0,20.0,73.0,11.0
2083,SINGING RIVER HEALTH SYSTEM (250040),2021,Acute Care,Government - Local,393.0,30.374871,-88.532404,MS,64.0,246.0,54.0,28.0,100.0,30.0,,,100.0,13.0,85.0,4084.0,,,2.0,96767.0,,,,,146.0,187.0,7.0,28.0,81.0,200.0,92.0,38.0,88.0,249.0,89.0,149.0
2084,DELTA HEALTH-NORTHWEST REGIONAL (250042),2021,Acute Care,Proprietary,181.0,34.197133,-90.552764,MS,69.0,13.0,97.0,67.0,,,,,,,79.0,354.0,,,2.0,25376.0,,,204.0,33.0,180.0,1277.0,4.0,56.0,82.0,11.0,,,85.0,13.0,,
2085,NESHOBA COUNTY GENERAL HOSPITAL (250043),2021,Acute Care,Government - Local,207.0,32.757816,-89.105415,MS,45.0,22.0,,,,,,,,,100.0,504.0,,,,,,,,,98.0,201.0,,,83.0,12.0,,,68.0,22.0,77.0,13.0
2086,BAPTIST MEMORIAL HOSPITAL BOONEVILLE (250044),2021,Acute Care,Voluntary non-profit - Church,55.0,34.656337,-88.565763,MS,68.0,40.0,100.0,61.0,,,,,,,98.0,184.0,,,1.0,12651.0,,,,,80.0,178.0,,,97.0,29.0,,,75.0,40.0,96.0,24.0
2087,ST DOMINIC-JACKSON MEMORIAL HOSPITAL (250048),2021,Acute Care,Voluntary non-profit - Church,548.0,32.333691,-90.165103,MS,29.0,58.0,93.0,67.0,33.0,39.0,,,,,95.0,4681.0,,,,,,,188.0,15.0,229.0,203.0,3.0,38.0,64.0,28.0,,,52.0,58.0,88.0,17.0
2088,BEACHAM MEMORIAL HOSPITAL (250049),2021,Acute Care,Proprietary,34.0,31.145626,-90.45929,MS,,,,,,,,,,,44.0,96.0,,,,,,,,,,,,,,,,,,,,
2089,OCH REGIONAL MEDICAL CENTER (250050),2021,Acute Care,Government - Local,90.0,33.474957,-88.820554,MS,44.0,54.0,99.0,69.0,,,,,,,92.0,729.0,100.0,524.0,2.0,26625.0,,,,,124.0,180.0,0.0,29.0,85.0,33.0,69.0,13.0,83.0,54.0,62.0,32.0
2090,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN (250057),2021,Acute Care,Voluntary non-profit - Other,96.0,,,MS,47.0,49.0,99.0,95.0,,,,,88.0,17.0,65.0,914.0,,,1.0,23768.0,,,,,132.0,158.0,3.0,38.0,83.0,29.0,,,69.0,49.0,77.0,22.0
2091,SOUTH CENTRAL REG MED CTR (250058),2021,Acute Care,Government - Local,267.0,31.685911,-89.14135,MS,42.0,19.0,75.0,24.0,,,,,85.0,13.0,79.0,2528.0,,,,,,,,,94.0,204.0,0.0,29.0,75.0,12.0,,,63.0,19.0,100.0,11.0
2092,JEFFERSON COUNTY HOSPITAL (250060),2021,Acute Care,Government - Local,30.0,,,MS,,,,,,,,,,,,,,,,,,,137.0,30.0,156.0,73.0,,,,,,,,,,
2093,YALOBUSHA GENERAL HOSPITAL (250061),2021,Acute Care,Government - Local,148.0,34.1307,-89.641013,MS,,,,,,,,,,,33.0,312.0,,,,,,,,,,,,,,,,,,,,
2094,CLAY COUNTY MEDICAL CORPORATION (250067),2021,Acute Care,Voluntary non-profit - Private,54.0,33.618616,-88.661549,MS,73.0,26.0,,,,,,,,,91.0,369.0,,,,,,,,,104.0,212.0,,,86.0,22.0,,,85.0,26.0,100.0,16.0
2095,RUSH FOUNDATION HOSPITAL (250069),2021,Acute Care,Voluntary non-profit - Private,183.0,32.370664,-88.697779,MS,82.0,34.0,100.0,64.0,,,,,73.0,11.0,99.0,970.0,,,1.0,27822.0,,,,,126.0,195.0,0.0,18.0,100.0,28.0,100.0,13.0,88.0,34.0,90.0,21.0
2096,MERIT HEALTH CENTRAL (250072),2021,Acute Care,Proprietary,336.0,32.286929,-90.255755,MS,30.0,20.0,100.0,120.0,,,,,,,49.0,1215.0,,,3.0,44645.0,,,,,144.0,198.0,4.0,24.0,67.0,12.0,,,60.0,20.0,,
2097,WAYNE GENERAL HOSPITAL (250077),2021,Acute Care,Government - Local,61.0,31.673601,-88.633312,MS,,,,,,,,,,,81.0,547.0,,,,,,,158.0,13.0,109.0,148.0,,,,,,,,,,
2098,FORREST GENERAL HOSPITAL (250078),2021,Acute Care,Government - Local,458.0,,,MS,56.0,379.0,,,79.0,87.0,,,92.0,12.0,49.0,4365.0,,,4.0,86100.0,,,,,208.0,188.0,5.0,139.0,79.0,276.0,86.0,56.0,79.0,379.0,90.0,209.0
2099,ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS (250081),2021,Acute Care,Proprietary,75.0,32.36779,-88.699315,MS,,,,,,,,,,,96.0,202.0,,,,,,,,,,,,,,,,,,,,
2100,DELTA HEALTH- THE MEDICAL CENTER (250082),2021,Acute Care,Government - Local,200.0,33.409907,-91.035243,MS,25.0,32.0,97.0,60.0,,,,,100.0,11.0,84.0,1057.0,,,8.0,38096.0,,,,,135.0,181.0,2.0,45.0,62.0,13.0,,,78.0,32.0,40.0,20.0
2101,MERIT HEALTH NATCHEZ (250084),2021,Acute Care,Proprietary,179.0,,,MS,38.0,60.0,100.0,63.0,,,,,,,65.0,531.0,,,1.0,27451.0,,,,,183.0,194.0,0.0,34.0,69.0,39.0,,,73.0,60.0,84.0,32.0
2102,MARION GENERAL HOSPITAL (250085),2021,Acute Care,Voluntary non-profit - Other,47.0,31.256354,-89.806273,MS,,,,,,,,,,,42.0,245.0,,,2.0,13547.0,,,,,124.0,168.0,,,,,,,,,,
2103,BOLIVAR MEDICAL CENTER (250093),2021,Acute Care,Proprietary,199.0,33.747471,-90.708128,MS,45.0,22.0,91.0,101.0,,,,,,,98.0,415.0,,,1.0,20673.0,,,,,134.0,198.0,0.0,22.0,71.0,14.0,,,68.0,22.0,92.0,13.0
2104,MERIT HEALTH WESLEY (250094),2021,Acute Care,Voluntary non-profit - Private,187.0,31.323058,-89.3669,MS,54.0,46.0,,,,,,,,,73.0,1336.0,,,1.0,37686.0,,,,,128.0,198.0,0.0,31.0,74.0,39.0,,,87.0,46.0,96.0,23.0
2105,SOUTH SUNFLOWER COUNTY HOSPITAL (250095),2021,Acute Care,Government - Local,48.0,33.457234,-90.65024,MS,,,95.0,64.0,,,,,,,82.0,217.0,,,5.0,9932.0,,,,,132.0,138.0,,,,,,,,,,
2106,CROSSGATES RIVER OAKS HOSPITAL (250096),2021,Acute Care,Proprietary,122.0,32.286214,-90.03596,MS,50.0,14.0,88.0,25.0,,,,,,,76.0,301.0,,,1.0,16310.0,,,,,107.0,202.0,,,,,,,79.0,14.0,,
2107,SOUTHWEST MS REGIONAL MEDICAL CENTER (250097),2021,Acute Care,Government - Local,148.0,,,MS,43.0,95.0,92.0,168.0,21.0,29.0,,,94.0,18.0,79.0,1587.0,,,0.0,37840.0,,,130.0,11.0,112.0,202.0,5.0,21.0,74.0,65.0,,,80.0,96.0,81.0,57.0
2108,GREENWOOD LEFLORE HOSPITAL (250099),2021,Acute Care,Government - Local,207.0,33.518254,-90.200189,MS,41.0,34.0,,,,,,,,,90.0,1013.0,,,,,,,,,135.0,209.0,0.0,27.0,89.0,19.0,,,65.0,34.0,84.0,19.0
2109,BMH-GOLDEN TRIANGLE (250100),2021,Acute Care,Voluntary non-profit - Private,272.0,33.526488,-88.429071,MS,75.0,212.0,,,83.0,18.0,,,94.0,16.0,98.0,1743.0,,,1.0,62035.0,,,,,120.0,185.0,2.0,53.0,89.0,161.0,100.0,29.0,87.0,216.0,95.0,130.0
2110,MISSISSIPPI BAPTIST MEDICAL CENTER (250102),2021,Acute Care,Voluntary non-profit - Private,527.0,32.314278,-90.178228,MS,30.0,274.0,97.0,59.0,91.0,70.0,,,,,93.0,4121.0,,,2.0,64608.0,,,,,172.0,196.0,0.0,72.0,72.0,125.0,50.0,14.0,54.0,274.0,76.0,100.0
2111,ANDERSON REGIONAL MEDICAL CTR (250104),2021,Acute Care,Voluntary non-profit - Private,261.0,32.370775,-88.699858,MS,39.0,132.0,94.0,65.0,60.0,53.0,,,75.0,16.0,92.0,1400.0,,,3.0,38653.0,,,,,184.0,196.0,1.0,78.0,66.0,86.0,76.0,21.0,67.0,132.0,96.0,67.0
2112,HIGHLAND COMMUNITY  HOSPITAL (250117),2021,Acute Care,Government - Hospital District or Authority,54.0,30.552471,-89.665422,MS,67.0,87.0,100.0,112.0,,,,,73.0,11.0,72.0,597.0,,,2.0,22358.0,,,,,125.0,160.0,0.0,29.0,93.0,14.0,,,67.0,21.0,,
2113,SINGING RIVER GULFPORT (250123),2021,Acute Care,Proprietary,129.0,30.44201,-89.092766,MS,31.0,26.0,89.0,18.0,,,,,100.0,14.0,70.0,689.0,,,1.0,42347.0,,,501.0,27.0,128.0,225.0,0.0,13.0,53.0,15.0,,,73.0,26.0,73.0,15.0
2114,MAGEE GENERAL HOSPITAL (250124),2021,Acute Care,Voluntary non-profit - Private,50.0,31.870585,-89.728389,MS,7.0,28.0,26.0,139.0,,,,,,,74.0,352.0,,,,,,,,,91.0,159.0,,,,,,,39.0,28.0,18.0,11.0
2115,CHOCTAW HEALTH CENTER (250127),2021,Acute Care,Government - Federal,20.0,,,MS,,,,,,,,,,,95.0,416.0,,,,,,,,,113.0,229.0,,,,,,,,,,
2116,PANOLA MEDICAL CENTER (250128),2021,Acute Care,Proprietary,98.0,34.306319,-89.916488,MS,54.0,13.0,92.0,36.0,,,,,,,38.0,415.0,,,2.0,20076.0,,,,,141.0,165.0,,,,,,,92.0,13.0,,
2117,WHITFIELD MEDICAL SURGICAL HOSPITAL (250134),2021,Acute Care,Government - State,32.0,,,MS,,,,,,,,,,,37.0,78.0,,,,,,,,,,,,,,,,,,,,
2118,MERIT HEALTH WOMEN'S HOSPITAL (250136),2021,Acute Care,Proprietary,59.0,32.32583,-90.106656,MS,,,,,,,,,,,75.0,374.0,,,,,,,,,,,0.0,29.0,,,,,,,,
