,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
4487,ST LUKES HOSPITAL (260179),2018,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,34.0,206.0,,,30.0,720.0,98.0,263.0,97.0,543.0,75.0,12.0,,,71.0,14.0,93.0,5539.0,11.0,19.0,97.0,546.0,,,1.0,32448.0,,,,,,,205.0,29.0,79.0,627.0,185.0,681.0,231.0,634.0,66.0,165.0,1.0,188.0
4488,ST LUKES HOSPITAL (260179),2018,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,34.0,283.0,,,30.0,720.0,98.0,263.0,97.0,543.0,75.0,12.0,,,75.0,16.0,95.0,5412.0,15.0,20.0,97.0,546.0,,,1.0,32448.0,,,,,,,202.0,32.0,78.0,640.0,186.0,679.0,232.0,648.0,63.0,171.0,2.0,185.0
4489,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST (260180),2018,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,21.0,90.0,89.0,70.0,30.0,479.0,93.0,175.0,83.0,158.0,91.0,11.0,,,84.0,37.0,96.0,3059.0,0.0,41.0,99.0,562.0,,,3.0,112388.0,7.0,72.0,,,,,,,210.0,851.0,133.0,463.0,449.0,851.0,49.0,132.0,,
4490,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST (260180),2018,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,19.0,116.0,93.0,69.0,31.0,492.0,93.0,175.0,83.0,158.0,91.0,11.0,,,76.0,45.0,95.0,3169.0,0.0,37.0,99.0,562.0,,,3.0,112388.0,8.0,72.0,,,,,,,202.0,843.0,137.0,477.0,445.0,843.0,46.0,119.0,,
4491,SAINT FRANCIS MEDICAL CENTER (260183),2018,Acute Care,Voluntary non-profit - Church,290.0,,,MO,53.0,382.0,,,20.0,408.0,,,100.0,52.0,,,,,,,98.0,3311.0,0.0,17.0,100.0,582.0,,,1.0,41151.0,,,,,,,,,46.0,691.0,136.0,401.0,189.0,691.0,54.0,159.0,0.0,57.0
4492,SAINT FRANCIS MEDICAL CENTER (260183),2018,Acute Care,Voluntary non-profit - Church,290.0,,,MO,58.0,546.0,,,19.0,414.0,,,100.0,52.0,,,,,,,97.0,3479.0,0.0,14.0,100.0,582.0,,,1.0,41151.0,,,,,,,,,46.0,697.0,136.0,408.0,190.0,699.0,57.0,159.0,0.0,46.0
4493,LAKE REGIONAL HEALTH SYSTEM (260186),2018,Acute Care,Voluntary non-profit - Other,116.0,38.118486,-92.681085,MO,72.0,220.0,,,13.0,772.0,97.0,349.0,100.0,210.0,100.0,18.0,,,75.0,20.0,99.0,1829.0,,,94.0,577.0,,,1.0,37307.0,,,,,,,195.0,18.0,86.0,897.0,141.0,729.0,239.0,905.0,33.0,157.0,1.0,74.0
4494,LAKE REGIONAL HEALTH SYSTEM (260186),2018,Acute Care,Voluntary non-profit - Other,116.0,38.118486,-92.681085,MO,73.0,318.0,,,12.0,771.0,97.0,349.0,100.0,210.0,100.0,18.0,,,89.0,18.0,99.0,1668.0,,,94.0,577.0,,,1.0,37307.0,,,,,,,199.0,23.0,78.0,900.0,142.0,722.0,234.0,911.0,30.0,152.0,0.0,60.0
4495,LEE'S SUMMIT MEDICAL CENTER (260190),2018,Acute Care,Proprietary,71.0,38.902285,-94.332151,MO,60.0,70.0,,,6.0,528.0,100.0,45.0,100.0,46.0,,,,,,,93.0,869.0,,,99.0,572.0,,,1.0,19102.0,,,,,,,159.0,21.0,75.0,882.0,115.0,498.0,213.0,901.0,33.0,107.0,,
4496,LEE'S SUMMIT MEDICAL CENTER (260190),2018,Acute Care,Proprietary,71.0,38.902285,-94.332151,MO,57.0,90.0,,,6.0,522.0,100.0,45.0,100.0,46.0,,,,,,,94.0,922.0,,,99.0,572.0,,,1.0,19102.0,,,,,,,125.0,19.0,75.0,845.0,115.0,493.0,208.0,860.0,33.0,94.0,,
4497,BARNES-JEWISH ST PETERS HOSPITAL (260191),2018,Acute Care,Voluntary non-profit - Other,115.0,38.792719,-90.579377,MO,15.0,55.0,93.0,14.0,42.0,490.0,86.0,139.0,95.0,242.0,85.0,26.0,,,95.0,19.0,95.0,1316.0,,,96.0,478.0,,,3.0,27054.0,3.0,16.0,,,,,180.0,12.0,86.0,774.0,204.0,470.0,300.0,774.0,49.0,100.0,,
4498,BARNES-JEWISH ST PETERS HOSPITAL (260191),2018,Acute Care,Voluntary non-profit - Other,115.0,38.792719,-90.579377,MO,16.0,73.0,94.0,17.0,42.0,500.0,86.0,139.0,95.0,242.0,85.0,26.0,,,95.0,21.0,97.0,1453.0,,,96.0,478.0,,,3.0,27054.0,8.0,20.0,,,,,187.0,11.0,96.0,772.0,202.0,484.0,309.0,772.0,53.0,99.0,,
4499,ST MARY'S MEDICAL CENTER (260193),2018,Acute Care,Voluntary non-profit - Church,98.0,39.023528,-94.266042,MO,88.0,42.0,,,13.0,437.0,,,,,,,,,,,74.0,1224.0,,,98.0,533.0,,,0.0,26697.0,,,,,,,,,102.0,874.0,96.0,416.0,234.0,874.0,38.0,110.0,,
4500,ST MARY'S MEDICAL CENTER (260193),2018,Acute Care,Voluntary non-profit - Church,98.0,39.023528,-94.266042,MO,86.0,57.0,,,12.0,437.0,,,,,,,,,,,91.0,1159.0,,,98.0,533.0,,,0.0,26697.0,,,,,,,118.0,14.0,97.0,812.0,100.0,415.0,235.0,813.0,39.0,104.0,,
4501,CITIZENS MEMORIAL HOSPITAL (260195),2018,Acute Care,Government - Hospital District or Authority,70.0,37.625971,-93.420915,MO,31.0,162.0,92.0,24.0,30.0,1159.0,97.0,195.0,96.0,250.0,,,,,85.0,20.0,92.0,1606.0,,,89.0,290.0,,,2.0,19355.0,3.0,25.0,,,,,300.0,53.0,72.0,370.0,162.0,1063.0,206.0,373.0,54.0,60.0,0.0,56.0
4502,CITIZENS MEMORIAL HOSPITAL (260195),2018,Acute Care,Government - Hospital District or Authority,70.0,37.625971,-93.420915,MO,32.0,207.0,93.0,29.0,33.0,1177.0,97.0,195.0,96.0,250.0,,,,,81.0,21.0,97.0,1637.0,,,89.0,290.0,,,2.0,19355.0,4.0,30.0,,,,,314.0,56.0,72.0,363.0,165.0,1074.0,204.0,364.0,51.0,64.0,0.0,56.0
4503,SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS (260200),2018,Acute Care,Voluntary non-profit - Church,157.0,38.803742,-90.774423,MO,34.0,126.0,77.0,22.0,34.0,407.0,97.0,35.0,100.0,63.0,,,,,88.0,42.0,92.0,1667.0,,,100.0,534.0,,,1.0,45745.0,6.0,22.0,,,,,,,98.0,705.0,162.0,386.0,270.0,706.0,32.0,156.0,0.0,27.0
4504,SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS (260200),2018,Acute Care,Voluntary non-profit - Church,157.0,38.803742,-90.774423,MO,37.0,162.0,83.0,18.0,36.0,407.0,97.0,35.0,100.0,63.0,,,,,86.0,43.0,94.0,1756.0,,,100.0,534.0,,,1.0,45745.0,6.0,19.0,,,,,,,98.0,678.0,165.0,387.0,268.0,678.0,31.0,141.0,0.0,24.0
4505,FULTON MEDICAL CENTER LLC (260209),2018,Acute Care,Voluntary non-profit - Private,35.0,38.842247,-91.966202,MO,,,93.0,42.0,22.0,434.0,78.0,37.0,100.0,45.0,,,,,,,99.0,150.0,,,88.0,41.0,,,2.0,9519.0,6.0,47.0,,,,,,,60.0,46.0,95.0,389.0,252.0,46.0,45.0,31.0,,
4506,FULTON MEDICAL CENTER LLC (260209),2018,Acute Care,Voluntary non-profit - Private,35.0,38.842247,-91.966202,MO,,,88.0,41.0,23.0,428.0,78.0,37.0,100.0,45.0,,,,,,,87.0,112.0,,,88.0,41.0,,,2.0,9519.0,7.0,46.0,,,,,,,60.0,27.0,92.0,391.0,230.0,28.0,41.0,31.0,,
4507,ST ALEXIUS HOSPITAL (260210),2018,Acute Care,Proprietary,172.0,38.583359,-90.227557,MO,,,100.0,12.0,41.0,1152.0,98.0,58.0,64.0,14.0,,,,,,,98.0,885.0,,,94.0,283.0,,,4.0,16944.0,48.0,12.0,,,,,316.0,99.0,73.0,200.0,160.0,998.0,344.0,200.0,76.0,51.0,,
4508,ST ALEXIUS HOSPITAL (260210),2018,Acute Care,Proprietary,172.0,38.583359,-90.227557,MO,27.0,11.0,91.0,11.0,42.0,1486.0,98.0,58.0,64.0,14.0,,,,,,,99.0,827.0,,,94.0,283.0,,,4.0,16944.0,35.0,11.0,,,,,330.0,117.0,74.0,197.0,156.0,1291.0,325.0,197.0,76.0,49.0,,
4509,BELTON REGIONAL MEDICAL CENTER (260214),2018,Acute Care,Voluntary non-profit - Private,71.0,,,MO,73.0,56.0,97.0,72.0,3.0,455.0,97.0,102.0,96.0,78.0,,,,,95.0,22.0,95.0,627.0,,,100.0,406.0,,,0.0,28164.0,5.0,75.0,,,32.0,20.0,196.0,16.0,62.0,751.0,86.0,419.0,197.0,751.0,30.0,100.0,,
4510,BELTON REGIONAL MEDICAL CENTER (260214),2018,Acute Care,Voluntary non-profit - Private,71.0,,,MO,76.0,72.0,98.0,53.0,3.0,454.0,97.0,102.0,96.0,78.0,,,,,96.0,25.0,89.0,792.0,,,100.0,406.0,,,0.0,28164.0,4.0,57.0,,,31.0,13.0,,,61.0,819.0,85.0,427.0,193.0,819.0,34.0,98.0,,
4511,SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL (260216),2018,Acute Care,Voluntary non-profit - Private,168.0,38.940551,-94.378443,MO,60.0,110.0,100.0,21.0,40.0,406.0,100.0,21.0,90.0,144.0,85.0,34.0,,,92.0,37.0,97.0,1798.0,0.0,17.0,99.0,507.0,,,2.0,49492.0,6.0,24.0,,,,,217.0,12.0,93.0,715.0,184.0,391.0,266.0,716.0,56.0,196.0,3.0,30.0
4512,SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL (260216),2018,Acute Care,Voluntary non-profit - Private,168.0,38.940551,-94.378443,MO,60.0,134.0,100.0,22.0,39.0,408.0,100.0,21.0,90.0,144.0,85.0,34.0,,,87.0,39.0,94.0,2004.0,0.0,18.0,99.0,507.0,,,2.0,49492.0,6.0,25.0,,,,,219.0,11.0,84.0,734.0,175.0,391.0,258.0,736.0,60.0,174.0,3.0,36.0
4513,PROGRESS WEST HOSPITAL (260219),2018,Acute Care,Voluntary non-profit - Private,71.0,38.715097,-90.696597,MO,25.0,59.0,100.0,13.0,28.0,487.0,93.0,73.0,65.0,212.0,,,,,,,94.0,1104.0,,,95.0,312.0,,,3.0,24339.0,5.0,15.0,,,,,198.0,18.0,80.0,380.0,166.0,457.0,282.0,380.0,38.0,147.0,2.0,42.0
4514,PROGRESS WEST HOSPITAL (260219),2018,Acute Care,Voluntary non-profit - Private,71.0,38.715097,-90.696597,MO,26.0,80.0,100.0,13.0,28.0,495.0,93.0,73.0,65.0,212.0,,,,,82.0,11.0,96.0,1228.0,,,95.0,312.0,,,3.0,24339.0,5.0,15.0,,,,,206.0,19.0,84.0,386.0,173.0,468.0,285.0,386.0,38.0,155.0,2.0,41.0
4515,BLACK RIVER COMMUNITY MEDICAL CENTER (260227),2018,Acute Care,Voluntary non-profit - Private,5.0,36.770882,-90.456445,MO,27.0,11.0,92.0,97.0,19.0,507.0,90.0,110.0,92.0,79.0,,,,,,,78.0,206.0,,,79.0,214.0,,,3.0,10576.0,5.0,110.0,,,34.0,16.0,,,35.0,355.0,78.0,463.0,172.0,355.0,64.0,52.0,,
4516,BLACK RIVER COMMUNITY MEDICAL CENTER (260227),2018,Acute Care,Voluntary non-profit - Private,5.0,36.770882,-90.456445,MO,29.0,14.0,89.0,114.0,18.0,560.0,90.0,110.0,92.0,79.0,,,,,,,82.0,208.0,,,79.0,214.0,,,3.0,10576.0,5.0,127.0,,,36.0,18.0,115.0,11.0,36.0,326.0,82.0,472.0,168.0,326.0,68.0,64.0,,
4517,SULLIVAN COUNTY MEMORIAL HOSPITAL (261306),2018,Critical Access,Government - Local,24.0,40.202174,-93.131136,MO,,,,,20.0,161.0,,,,,,,,,,,65.0,110.0,,,,,,,0.0,2156.0,,,,,,,,,,,90.0,156.0,,,,,,
4518,SULLIVAN COUNTY MEMORIAL HOSPITAL (261306),2018,Critical Access,Government - Local,24.0,40.202174,-93.131136,MO,,,,,21.0,229.0,,,,,,,,,,,86.0,111.0,,,,,,,0.0,2156.0,,,,,,,,,17.0,16.0,90.0,222.0,128.0,25.0,,,,
4519,WASHINGTON COUNTY MEMORIAL HOSPITAL (261308),2018,Critical Access,Government - Local,25.0,37.92599,-90.773133,MO,,,91.0,68.0,24.0,496.0,,,,,,,,,,,87.0,338.0,,,80.0,285.0,,,2.0,13112.0,8.0,71.0,,,,,182.0,18.0,89.0,563.0,100.0,435.0,233.0,563.0,51.0,58.0,,
4520,WASHINGTON COUNTY MEMORIAL HOSPITAL (261308),2018,Critical Access,Government - Local,25.0,37.92599,-90.773133,MO,,,93.0,75.0,24.0,495.0,,,,,,,,,,,87.0,395.0,,,80.0,285.0,,,2.0,13112.0,8.0,80.0,,,,,266.0,16.0,96.0,552.0,112.0,425.0,244.0,552.0,52.0,59.0,,
4521,WRIGHT MEMORIAL HOSPITAL (261309),2018,Critical Access,Voluntary non-profit - Private,21.0,40.068275,-93.579936,MO,62.0,32.0,,,21.0,177.0,,,,,,,,,,,,,,,97.0,201.0,,,,,,,,,,,183.0,13.0,50.0,286.0,122.0,271.0,216.0,291.0,56.0,50.0,,
4522,WRIGHT MEMORIAL HOSPITAL (261309),2018,Critical Access,Voluntary non-profit - Private,21.0,40.068275,-93.579936,MO,66.0,44.0,,,20.0,175.0,,,,,,,,,,,98.0,300.0,,,97.0,201.0,,,,,,,,,,,173.0,13.0,47.0,308.0,135.0,262.0,220.0,311.0,61.0,49.0,,
4523,SCOTLAND COUNTY  HOSPITAL (261310),2018,Critical Access,Government - Hospital District or Authority,25.0,40.466023,-92.168171,MO,,,97.0,31.0,13.0,251.0,89.0,44.0,,,,,,,,,40.0,234.0,,,57.0,137.0,,,1.0,3049.0,12.0,31.0,,,,,,,72.0,250.0,132.0,228.0,194.0,250.0,27.0,35.0,5.0,20.0
4524,SCOTLAND COUNTY  HOSPITAL (261310),2018,Critical Access,Government - Hospital District or Authority,25.0,40.466023,-92.168171,MO,,,97.0,35.0,15.0,250.0,89.0,44.0,,,,,,,,,,,,,57.0,137.0,,,1.0,3049.0,12.0,35.0,,,,,,,92.0,242.0,133.0,235.0,210.0,249.0,27.0,39.0,6.0,17.0
4525,PERRY COUNTY MEMORIAL HOSPITAL (261311),2018,Critical Access,Government - Local,25.0,37.73162,-89.864801,MO,,,100.0,26.0,15.0,449.0,,,,,,,,,,,97.0,739.0,,,89.0,306.0,,,3.0,8637.0,6.0,26.0,,,,,200.0,20.0,43.0,157.0,113.0,383.0,189.0,157.0,29.0,34.0,,
4526,PERRY COUNTY MEMORIAL HOSPITAL (261311),2018,Critical Access,Government - Local,25.0,37.73162,-89.864801,MO,,,,,18.0,444.0,,,,,,,,,,,95.0,817.0,,,89.0,306.0,,,3.0,8637.0,,,,,,,208.0,17.0,46.0,167.0,119.0,389.0,185.0,167.0,38.0,38.0,,
4527,HARRISON COUNTY COMMUNITY HOSPITAL (261312),2018,Critical Access,Government - Hospital District or Authority,15.0,40.265292,-94.026145,MO,,,,,,,,,,,,,,,,,81.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4528,HARRISON COUNTY COMMUNITY HOSPITAL (261312),2018,Critical Access,Government - Hospital District or Authority,15.0,40.265292,-94.026145,MO,,,,,,,,,,,,,,,,,91.0,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4529,MERCY HOSPITAL AURORA (261316),2018,Critical Access,Voluntary non-profit - Church,24.0,36.97051,-93.710962,MO,,,,,,,,,,,,,,,,,100.0,238.0,,,97.0,214.0,,,,,,,,,,,,,,,,,,,,,0.0,32.0
4530,MERCY HOSPITAL AURORA (261316),2018,Critical Access,Voluntary non-profit - Church,24.0,36.97051,-93.710962,MO,,,,,,,,,,,,,,,,,100.0,238.0,,,97.0,214.0,,,,,,,,,,,,,,,,,,,,,0.0,32.0
4531,MERCY HOSPITAL CASSVILLE (261317),2018,Critical Access,Voluntary non-profit - Church,20.0,36.674077,-93.871886,MO,,,,,,,,,,,,,,,,,100.0,149.0,,,93.0,109.0,,,,,,,,,,,,,,,,,,,,,,
4532,MERCY HOSPITAL CASSVILLE (261317),2018,Critical Access,Voluntary non-profit - Church,20.0,36.674077,-93.871886,MO,,,,,,,,,,,,,,,,,100.0,169.0,,,93.0,109.0,,,,,,,,,,,,,,,,,,,,,,
4533,MERCY HOSPITAL LINCOLN (261319),2018,Critical Access,Government - Local,25.0,38.983989,-90.964767,MO,,,82.0,50.0,10.0,197.0,,,,,,,,,,,98.0,522.0,,,97.0,264.0,,,,,6.0,50.0,,,,,,,,,126.0,176.0,,,58.0,25.0,,
4534,MERCY HOSPITAL LINCOLN (261319),2018,Critical Access,Government - Local,25.0,38.983989,-90.964767,MO,,,83.0,64.0,9.0,296.0,,,,,,,,,,,100.0,419.0,,,97.0,264.0,,,,,6.0,64.0,,,,,,,,,124.0,259.0,,,46.0,34.0,,
4535,LAFAYETTE REGIONAL HEALTH CENTER (261320),2018,Critical Access,Proprietary,25.0,39.189146,-93.877065,MO,100.0,15.0,100.0,23.0,4.0,452.0,100.0,30.0,91.0,11.0,,,,,,,96.0,498.0,,,100.0,312.0,,,1.0,9027.0,4.0,26.0,,,,,202.0,17.0,40.0,568.0,100.0,409.0,161.0,569.0,27.0,41.0,,
4536,LAFAYETTE REGIONAL HEALTH CENTER (261320),2018,Critical Access,Proprietary,25.0,39.189146,-93.877065,MO,100.0,20.0,100.0,20.0,4.0,448.0,100.0,30.0,91.0,11.0,,,,,,,94.0,467.0,,,100.0,312.0,,,1.0,9027.0,4.0,23.0,,,,,213.0,18.0,39.0,558.0,96.0,403.0,160.0,558.0,26.0,36.0,,
4537,HEDRICK MEDICAL CENTER (261321),2018,Critical Access,Voluntary non-profit - Private,24.0,39.816125,-93.552781,MO,82.0,33.0,,,,,,,,,,,,,,,100.0,370.0,,,100.0,240.0,,,,,,,,,,,,,55.0,275.0,,,204.0,275.0,,,0.0,16.0
4538,HEDRICK MEDICAL CENTER (261321),2018,Critical Access,Voluntary non-profit - Private,24.0,39.816125,-93.552781,MO,80.0,45.0,,,,,,,,,,,,,,,100.0,471.0,,,100.0,240.0,,,,,,,,,,,,,48.0,261.0,,,203.0,261.0,,,0.0,30.0
4539,CEDAR COUNTY MEMORIAL HOSPITAL (261323),2018,Critical Access,Government - Local,25.0,37.860674,-94.018505,MO,,,91.0,32.0,20.0,388.0,100.0,12.0,,,,,,,,,47.0,197.0,,,,,,,1.0,5140.0,20.0,32.0,,,,,137.0,13.0,,,92.0,375.0,,,35.0,13.0,,
4540,CEDAR COUNTY MEMORIAL HOSPITAL (261323),2018,Critical Access,Government - Local,25.0,37.860674,-94.018505,MO,,,82.0,22.0,20.0,388.0,100.0,12.0,,,,,,,,,60.0,136.0,,,,,,,1.0,5140.0,19.0,22.0,,,,,115.0,14.0,,,94.0,374.0,,,35.0,13.0,,
4541,CASS REGIONAL MEDICAL CENTER (261324),2018,Critical Access,Government - Local,35.0,38.663345,-94.375321,MO,82.0,33.0,100.0,93.0,8.0,380.0,,,,,,,82.0,11.0,,,93.0,518.0,,,96.0,281.0,,,,,11.0,94.0,22.0,11.0,,,197.0,17.0,,,103.0,344.0,,,38.0,82.0,,
4542,CASS REGIONAL MEDICAL CENTER (261324),2018,Critical Access,Government - Local,35.0,38.663345,-94.375321,MO,78.0,18.0,100.0,100.0,9.0,379.0,,,,,,,,,,,92.0,573.0,,,96.0,281.0,,,,,12.0,102.0,,,,,198.0,14.0,,,97.0,342.0,,,39.0,85.0,,
4543,COX BARTON COUNTY HOSPITAL (261325),2018,Critical Access,Government - Local,25.0,37.505282,-94.299482,MO,,,,,,,,,,,,,,,,,82.0,236.0,,,98.0,280.0,,,,,,,,,,,,,51.0,117.0,,,183.0,117.0,,,,
4544,COX BARTON COUNTY HOSPITAL (261325),2018,Critical Access,Government - Local,25.0,37.505282,-94.299482,MO,,,,,,,,,,,,,,,,,85.0,267.0,,,98.0,280.0,,,,,,,,,,,,,52.0,195.0,,,189.0,195.0,,,,
4545,NORTHWEST MEDICAL CENTER (261328),2018,Critical Access,Voluntary non-profit - Private,25.0,40.252124,-94.325476,MO,,,100.0,13.0,6.0,60.0,,,,,,,,,,,100.0,176.0,,,80.0,79.0,,,,,3.0,13.0,,,,,,,,,101.0,36.0,,,36.0,19.0,,
4546,NORTHWEST MEDICAL CENTER (261328),2018,Critical Access,Voluntary non-profit - Private,25.0,40.252124,-94.325476,MO,,,100.0,13.0,6.0,60.0,,,,,,,,,,,100.0,193.0,,,80.0,79.0,,,,,3.0,13.0,,,,,,,,,101.0,36.0,,,36.0,19.0,,
4547,COX MONETT HOSPITAL (261329),2018,Critical Access,Voluntary non-profit - Private,23.0,36.926633,-93.93125,MO,,,,,,,,,,,,,,,,,98.0,356.0,,,99.0,233.0,,,,,,,,,,,,,41.0,291.0,,,169.0,292.0,,,5.0,42.0
4548,COX MONETT HOSPITAL (261329),2018,Critical Access,Voluntary non-profit - Private,23.0,36.926633,-93.93125,MO,,,,,,,,,,,,,,,,,98.0,384.0,,,99.0,233.0,,,,,,,,,,,,,43.0,265.0,,,176.0,265.0,,,2.0,43.0
4549,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL (261330),2018,Critical Access,Government - Hospital District or Authority,25.0,37.968347,-90.053968,MO,,,88.0,16.0,16.0,273.0,,,,,,,,,,,97.0,568.0,,,100.0,32.0,,,0.0,5527.0,11.0,17.0,,,,,236.0,11.0,,,112.0,252.0,,,30.0,33.0,,
4550,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL (261330),2018,Critical Access,Government - Hospital District or Authority,25.0,37.968347,-90.053968,MO,,,87.0,15.0,15.0,312.0,,,,,,,,,,,100.0,628.0,,,100.0,32.0,,,0.0,5527.0,11.0,16.0,,,,,226.0,16.0,40.0,50.0,107.0,286.0,208.0,84.0,30.0,35.0,,
4551,FREEMAN NEOSHO HOSPITAL (261331),2018,Critical Access,Voluntary non-profit - Private,25.0,36.867614,-94.368787,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,132.0,,,227.0,133.0,,,,
4552,FREEMAN NEOSHO HOSPITAL (261331),2018,Critical Access,Voluntary non-profit - Private,25.0,36.867614,-94.368787,MO,29.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,267.0,,,216.0,268.0,,,,
4553,CARROLL COUNTY MEMORIAL HOSPITAL (261332),2018,Critical Access,Voluntary non-profit - Private,22.0,39.376161,-93.494218,MO,75.0,12.0,,,,,,,,,,,,,,,98.0,276.0,,,97.0,143.0,,,,,,,,,,,,,35.0,171.0,,,160.0,176.0,,,,
4554,CARROLL COUNTY MEMORIAL HOSPITAL (261332),2018,Critical Access,Voluntary non-profit - Private,22.0,39.376161,-93.494218,MO,73.0,15.0,,,,,,,,,,,,,,,94.0,261.0,,,97.0,143.0,,,,,,,,,,,,,34.0,154.0,,,158.0,160.0,,,,
4555,PIKE COUNTY MEMORIAL HOSPITAL (261333),2018,Critical Access,Government - Local,25.0,39.441679,-91.065383,MO,,,97.0,71.0,17.0,503.0,100.0,77.0,100.0,42.0,,,,,,,99.0,260.0,,,98.0,97.0,100.0,45.0,1.0,6737.0,6.0,76.0,,,,,148.0,13.0,98.0,157.0,115.0,323.0,270.0,157.0,68.0,26.0,,
4556,PIKE COUNTY MEMORIAL HOSPITAL (261333),2018,Critical Access,Government - Local,25.0,39.441679,-91.065383,MO,,,99.0,68.0,16.0,524.0,100.0,77.0,100.0,42.0,,,,,,,96.0,292.0,,,98.0,97.0,100.0,45.0,1.0,6737.0,6.0,74.0,,,,,148.0,17.0,94.0,181.0,117.0,330.0,270.0,181.0,64.0,23.0,,
