,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure) (Sample),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure) (Sample),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure) (Sample),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure) (Sample),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure) (Sample),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination) (Sample),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure) (Sample)
1788,UMD UPPER CHESAPEAKE MEDICAL CENTER (210049),2023,Acute Care,Voluntary non-profit - Other,171.0,39.519469,-76.348354,MD,,,,,,,,,48.0,122.0,98.0,129.0,97.0,130.0,75.0,12.0,,,54.0,35.0,95.0,3503.0,,,96.0,350.0,7.0,32545.0,,,754.0,16.0,208.0,348.0,95.1,2989.0,,,63.0,38.0,93.0,14.0,75.0,122.0,76.0,70.0,97.0,3261.0
1789,"LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR, INC (210051)",2023,Acute Care,Proprietary,198.0,38.980428,-76.864641,MD,118.0,3342.0,111.0,95.0,,,,,77.0,532.0,99.0,96.0,,,,,,,76.0,29.0,,,,,97.0,641.0,,,85.0,23.0,402.0,1050.0,282.0,31564.0,99.7,2110.0,,,85.0,142.0,96.0,103.0,89.0,533.0,89.0,361.0,95.0,2917.0
1790,MEDSTAR GOOD SAMARITAN HOSPITAL (210056),2023,Acute Care,Voluntary non-profit - Other,260.0,39.359301,-76.588684,MD,,,,,,,,,73.0,100.0,92.0,53.0,94.0,52.0,100.0,95.0,,,,,94.0,2640.0,,,98.0,333.0,4.0,39569.0,101.0,11.0,458.0,20.0,248.0,392.0,98.2,1941.0,22.0,1057.0,92.0,25.0,93.0,15.0,87.0,100.0,83.0,64.0,97.0,2844.0
1791,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER (210057),2023,Acute Care,Voluntary non-profit - Church,346.0,39.098046,-77.201027,MD,126.0,2304.0,116.0,58.0,,,,,73.0,103.0,,,,,93.0,148.0,,,42.0,19.0,99.0,3413.0,,,91.0,635.0,1.0,70074.0,,,290.0,27.0,227.0,482.0,99.3,3572.0,,,87.0,45.0,94.0,32.0,90.0,103.0,86.0,73.0,77.0,2955.0
1792,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR (210060),2023,Acute Care,Voluntary non-profit - Other,30.0,38.728813,-76.991588,MD,160.0,224.0,,,,,,,71.0,97.0,,,,,94.0,62.0,,,,,98.0,553.0,,,,,8.0,23941.0,,,,,265.0,502.0,99.6,566.0,,,100.0,33.0,100.0,28.0,77.0,97.0,91.0,69.0,80.0,671.0
1793,ATLANTIC GENERAL HOSPITAL (210061),2023,Acute Care,Voluntary non-profit - Private,51.0,38.338604,-75.210472,MD,,,,,,,,,25.0,89.0,93.0,29.0,93.0,29.0,96.0,84.0,,,65.0,17.0,98.0,985.0,,,,,1.0,33078.0,,,154.0,14.0,135.0,384.0,93.0,995.0,,,64.0,11.0,,,84.0,89.0,31.0,65.0,,
1794,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER (210062),2023,Acute Care,Voluntary non-profit - Private,206.0,38.75025,-76.874997,MD,,,,,,,,,22.0,110.0,96.0,144.0,97.0,140.0,99.0,95.0,,,75.0,44.0,94.0,2158.0,,,97.0,215.0,4.0,48007.0,,,501.0,21.0,302.0,338.0,99.3,1600.0,13.0,888.0,50.0,16.0,,,37.0,110.0,81.0,32.0,97.0,2321.0
1795,UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER (210063),2023,Acute Care,Voluntary non-profit - Private,250.0,39.388123,-76.613278,MD,,,,,,,,,52.0,126.0,100.0,76.0,99.0,75.0,100.0,71.0,,,100.0,12.0,,,,,100.0,743.0,5.0,37036.0,,,512.0,22.0,288.0,364.0,96.8,2884.0,,,67.0,33.0,94.0,18.0,77.0,126.0,73.0,74.0,99.0,3002.0
1796,LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL (210064),2023,Acute Care,Voluntary non-profit - Private,330.0,39.353266,-76.665024,MD,,,,,,,,,,,,,,,,,,,,,74.0,771.0,,,100.0,71.0,,,,,,,,,95.3,707.0,,,,,,,,,,,,
1797,HOLY CROSS GERMANTOWN HOSPITAL (210065),2023,Acute Care,Voluntary non-profit - Private,83.0,39.179034,-77.242442,MD,,,,,,,,,72.0,72.0,98.0,46.0,91.0,45.0,,,,,,,82.0,1377.0,,,,,5.0,25553.0,,,815.0,30.0,274.0,432.0,98.2,1753.0,14.0,516.0,94.0,18.0,,,85.0,72.0,90.0,52.0,100.0,813.0
1798,Walter Reed National Military Med Cen (21007F),2023,Acute Care (DOD),Department of Defense,,,,,,,,,,,,,55.0,29.0,,,,,94.0,299.0,,,,,,,,,,,1.0,27726.0,,,,,188.0,408.0,,,,,,,,,,,,,,
1799,"HEALTHALLIANCE HOSPITALS, INC (220001)",2023,Acute Care,Voluntary non-profit - Other,125.0,42.541193,-71.763033,MA,166.0,1965.0,173.0,58.0,,,,,32.0,96.0,96.0,45.0,95.0,44.0,87.0,94.0,,,66.0,38.0,93.0,1720.0,,,,,9.0,52275.0,65.0,13.0,784.0,22.0,247.0,351.0,99.4,1250.0,,,29.0,17.0,,,67.0,96.0,63.0,51.0,82.0,1893.0
1800,MOUNT AUBURN HOSPITAL (220002),2023,Acute Care,Voluntary non-profit - Private,202.0,42.374917,-71.134107,MA,77.0,1803.0,90.0,30.0,,,,,44.0,262.0,,,91.0,97.0,100.0,82.0,,,,,98.0,3014.0,,,99.0,438.0,1.0,31179.0,,,63.0,35.0,144.0,386.0,99.8,2527.0,,,51.0,112.0,85.0,41.0,72.0,264.0,91.0,132.0,88.0,2407.0
1801,STURDY MEMORIAL HOSPITAL (220008),2023,Acute Care,Voluntary non-profit - Other,129.0,41.942695,-71.275279,MA,,,,,,,91.0,58.0,77.0,75.0,88.0,69.0,88.0,66.0,100.0,131.0,,,69.0,26.0,85.0,2364.0,,,81.0,299.0,2.0,46830.0,,,370.0,38.0,194.0,364.0,100.0,2241.0,,,92.0,40.0,100.0,23.0,84.0,75.0,96.0,50.0,,
1802,LAWRENCE GENERAL HOSPITAL (220010),2023,Acute Care,Voluntary non-profit - Private,188.0,,,MA,,,,,,,88.0,65.0,43.0,202.0,89.0,73.0,85.0,72.0,98.0,96.0,,,76.0,21.0,95.0,2832.0,,,,,4.0,58530.0,,,330.0,21.0,240.0,401.0,99.1,2026.0,,,42.0,69.0,48.0,25.0,77.0,202.0,89.0,122.0,86.0,3284.0
1803,CAMBRIDGE HEALTH ALLIANCE (220011),2023,Acute Care,Government - Local,257.0,42.374186,-71.104455,MA,,,,,,,,,79.0,42.0,,,95.0,38.0,97.0,89.0,,,,,99.0,5017.0,,,100.0,390.0,2.0,81294.0,108.0,19.0,388.0,46.0,170.0,348.0,99.6,6417.0,15.0,781.0,75.0,12.0,,,93.0,42.0,92.0,36.0,100.0,1733.0
1804,CAPE COD HEALTHCARE (220012),2023,Acute Care,Voluntary non-profit - Private,259.0,41.652823,-70.274847,MA,,,,,,,97.0,162.0,52.0,105.0,97.0,189.0,89.0,186.0,99.0,70.0,,,89.0,28.0,90.0,2535.0,,,95.0,768.0,3.0,73768.0,,,331.0,33.0,181.0,371.0,95.2,2535.0,,,36.0,28.0,,,76.0,105.0,93.0,58.0,,
1805,"COOLEY DICKINSON HOSPITAL INC,THE (220015)",2023,Acute Care,Voluntary non-profit - Private,140.0,42.331626,-72.653372,MA,,,,,,,97.0,35.0,65.0,167.0,98.0,43.0,98.0,43.0,100.0,77.0,,,64.0,28.0,94.0,2712.0,,,100.0,270.0,2.0,34026.0,46.0,23.0,283.0,30.0,208.0,370.0,99.8,2335.0,,,61.0,46.0,87.0,23.0,84.0,167.0,88.0,100.0,,
1806,BAYSTATE FRANKLIN MEDICAL CENTER (220016),2023,Acute Care,Voluntary non-profit - Private,89.0,42.595606,-72.591287,MA,173.0,1141.0,159.0,66.0,,,,,67.0,70.0,,,100.0,34.0,100.0,72.0,33.0,18.0,73.0,15.0,96.0,1123.0,,,,,4.0,23102.0,,,464.0,29.0,182.0,351.0,97.6,687.0,,,64.0,11.0,,,79.0,70.0,95.0,38.0,89.0,990.0
1807,CARNEY HOSPITAL (220017),2023,Acute Care,Proprietary,134.0,42.278108,-71.066442,MA,,,,,,,97.0,31.0,58.0,50.0,100.0,32.0,94.0,32.0,100.0,176.0,,,,,87.0,1650.0,,,,,3.0,32123.0,,,340.0,48.0,165.0,328.0,73.8,976.0,,,57.0,14.0,,,74.0,50.0,91.0,22.0,,
1808,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL (220019),2023,Acute Care,Voluntary non-profit - Private,125.0,42.077182,-72.042065,MA,,,,,,,93.0,28.0,30.0,93.0,,,,,94.0,444.0,,,97.0,30.0,89.0,1900.0,,,97.0,181.0,6.0,37271.0,80.0,26.0,432.0,25.0,200.0,343.0,99.5,1918.0,,,47.0,36.0,33.0,12.0,65.0,93.0,86.0,37.0,87.0,1247.0
1809,SAINT ANNE'S HOSPITAL (220020),2023,Acute Care,Proprietary,182.0,41.693321,-71.163642,MA,,,,,,,97.0,62.0,81.0,53.0,93.0,56.0,96.0,56.0,100.0,210.0,,,,,90.0,2480.0,,,,,5.0,45319.0,,,501.0,36.0,201.0,322.0,77.3,1830.0,,,89.0,19.0,92.0,12.0,91.0,53.0,94.0,33.0,,
1810,HOLYOKE MEDICAL CENTER (220024),2023,Acute Care,Voluntary non-profit - Private,191.0,42.199616,-72.627087,MA,495.0,1786.0,135.0,139.0,,,97.0,29.0,80.0,281.0,83.0,41.0,,,95.0,199.0,,,,,67.0,1656.0,,,,,7.0,42148.0,,,519.0,28.0,232.0,418.0,64.5,1557.0,,,79.0,82.0,98.0,49.0,89.0,282.0,99.0,176.0,80.0,1736.0
1811,ANNA JAQUES HOSPITAL (220029),2023,Acute Care,Voluntary non-profit - Private,138.0,42.814358,-70.889783,MA,,,,,,,97.0,36.0,52.0,61.0,94.0,33.0,97.0,32.0,100.0,91.0,,,,,99.0,1432.0,,,,,3.0,17979.0,84.0,14.0,354.0,42.0,202.0,512.0,99.9,1654.0,,,42.0,19.0,,,75.0,61.0,95.0,37.0,90.0,1096.0
1812,BAYSTATE WING HOSPITAL (220030),2023,Acute Care,Voluntary non-profit - Other,72.0,42.168727,-72.341031,MA,266.0,1161.0,230.0,36.0,,,,,72.0,60.0,,,96.0,26.0,99.0,72.0,,,,,96.0,810.0,,,,,7.0,28318.0,,,409.0,24.0,190.0,362.0,97.4,640.0,,,,,,,83.0,60.0,90.0,41.0,91.0,1219.0
1813,BOSTON MEDICAL CENTER (220031),2023,Acute Care,Voluntary non-profit - Private,438.0,42.33481,-71.07448,MA,,,,,88.0,34.0,84.0,172.0,60.0,157.0,98.0,199.0,95.0,196.0,94.0,266.0,,,9.0,11.0,98.0,11108.0,,,,,9.0,126575.0,,,568.0,40.0,265.0,431.0,99.9,12240.0,19.0,3348.0,66.0,73.0,87.0,45.0,85.0,157.0,91.0,100.0,,
1814,NORTHEAST HOSPITAL CORPORATION (220033),2023,Acute Care,Voluntary non-profit - Private,360.0,42.567592,-70.876201,MA,,,,,,,,,57.0,128.0,99.0,71.0,100.0,69.0,100.0,93.0,,,70.0,54.0,100.0,5373.0,,,99.0,401.0,2.0,45567.0,,,458.0,29.0,190.0,359.0,99.9,4837.0,,,89.0,36.0,92.0,13.0,73.0,128.0,77.0,65.0,,
1815,NORTH SHORE MEDICAL CENTER - (220035),2023,Acute Care,Voluntary non-profit - Private,376.0,42.511747,-70.907251,MA,,,,,72.0,36.0,90.0,97.0,52.0,197.0,97.0,108.0,95.0,102.0,99.0,102.0,,,68.0,25.0,97.0,5300.0,,,,,8.0,74756.0,,,284.0,30.0,220.0,355.0,99.9,6641.0,,,58.0,88.0,56.0,39.0,82.0,197.0,94.0,108.0,,
1816,ST ELIZABETH'S MEDICAL CENTER (220036),2023,Acute Care,Proprietary,270.0,42.349773,-71.14812,MA,,,,,,,89.0,28.0,63.0,30.0,97.0,35.0,89.0,35.0,100.0,136.0,,,,,91.0,3241.0,,,,,2.0,27422.0,,,235.0,45.0,152.0,344.0,59.0,2809.0,,,67.0,12.0,,,80.0,30.0,94.0,17.0,,
1817,BERKSHIRE MEDICAL CENTER (220046),2023,Acute Care,Voluntary non-profit - Other,271.0,42.458748,-73.249004,MA,149.0,1571.0,134.0,120.0,,,93.0,67.0,63.0,601.0,99.0,78.0,99.0,76.0,92.0,459.0,67.0,49.0,41.0,17.0,99.0,3943.0,,,,,3.0,58984.0,,,297.0,23.0,201.0,367.0,99.8,3647.0,,,84.0,180.0,65.0,116.0,82.0,608.0,89.0,367.0,,
1818,UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL (220049),2023,Acute Care,Voluntary non-profit - Private,67.0,42.354317,-71.553864,MA,142.0,839.0,146.0,40.0,,,,,56.0,79.0,,,,,95.0,92.0,,,70.0,23.0,91.0,968.0,,,,,4.0,26560.0,,,963.0,33.0,213.0,353.0,99.2,747.0,,,78.0,18.0,58.0,12.0,72.0,79.0,94.0,33.0,89.0,682.0
1819,SIGNATURE HEALTHCARE BROCKTON HOSPITAL (220052),2023,Acute Care,Voluntary non-profit - Other,214.0,42.08621,-70.991083,MA,,,,,,,100.0,49.0,62.0,126.0,98.0,52.0,98.0,52.0,100.0,83.0,,,86.0,21.0,,,,,99.0,482.0,6.0,53520.0,,,570.0,32.0,279.0,352.0,93.1,2954.0,,,75.0,48.0,83.0,18.0,83.0,126.0,86.0,78.0,,
1820,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH (220060),2023,Acute Care,Voluntary non-profit - Private,160.0,41.944246,-70.64472,MA,,,,,,,93.0,69.0,57.0,115.0,50.0,70.0,0.0,53.0,96.0,112.0,,,83.0,18.0,99.0,2466.0,,,,,2.0,41882.0,,,214.0,40.0,268.0,343.0,99.9,2578.0,,,65.0,23.0,92.0,13.0,71.0,115.0,84.0,50.0,,
1821,ADCARE HOSPITAL OF WORCESTER INC (220062),2023,Acute Care,Proprietary,114.0,42.276182,-71.795576,MA,,,,,,,,,,,,,,,,,,,,,52.0,545.0,,,,,,,,,,,,,99.1,368.0,,,,,,,,,,,6.0,2571.0
1822,LOWELL GENERAL HOSPITAL (220063),2023,Acute Care,Voluntary non-profit - Private,353.0,42.646307,-71.341323,MA,,,,,,,97.0,107.0,45.0,151.0,97.0,123.0,96.0,118.0,83.0,66.0,,,88.0,34.0,97.0,9416.0,,,,,8.0,87163.0,,,490.0,37.0,257.0,339.0,99.5,8985.0,,,52.0,40.0,54.0,13.0,67.0,151.0,89.0,72.0,96.0,4711.0
1823,BAYSTATE NOBLE HOSPITAL (220065),2023,Acute Care,Voluntary non-profit - Private,95.0,42.117789,-72.760397,MA,237.0,865.0,218.0,40.0,,,,,62.0,61.0,,,92.0,25.0,100.0,72.0,,,76.0,21.0,94.0,834.0,,,,,7.0,27648.0,,,330.0,21.0,205.0,346.0,94.9,441.0,,,64.0,14.0,,,87.0,61.0,86.0,43.0,86.0,783.0
1824,MERCY MEDICAL CTR (220066),2023,Acute Care,Voluntary non-profit - Private,338.0,42.115878,-72.595442,MA,243.0,2860.0,224.0,68.0,,,93.0,55.0,55.0,98.0,95.0,64.0,,,100.0,109.0,,,,,82.0,1806.0,,,,,2.0,68620.0,76.0,13.0,260.0,16.0,246.0,383.0,92.3,1952.0,,,54.0,24.0,,,74.0,98.0,88.0,49.0,92.0,2644.0
1825,MELROSEWAKEFIELD HEALTHCARE (220070),2023,Acute Care,Voluntary non-profit - Private,251.0,42.460278,-71.061993,MA,,,,,,,95.0,37.0,43.0,90.0,100.0,36.0,97.0,36.0,98.0,112.0,,,62.0,13.0,97.0,3105.0,,,,,8.0,32024.0,,,532.0,418.0,239.0,4891.0,98.3,2322.0,,,55.0,33.0,91.0,11.0,68.0,90.0,87.0,45.0,,
1826,MASSACHUSETTS GENERAL HOSPITAL (220071),2023,Acute Care,Voluntary non-profit - Private,1002.0,42.3624,-71.068777,MA,,,,,,,88.0,262.0,66.0,140.0,,,95.0,274.0,97.0,119.0,,,0.0,13.0,97.0,34906.0,,,99.0,2628.0,2.0,110321.0,,,197.0,43.0,280.0,356.0,99.8,34960.0,,,62.0,77.0,93.0,30.0,91.0,140.0,95.0,81.0,93.0,13766.0
1827,MORTON HOSPITAL (220073),2023,Acute Care,Proprietary,124.0,41.905583,-71.09435,MA,,,,,,,96.0,45.0,60.0,68.0,93.0,44.0,84.0,44.0,100.0,157.0,,,70.0,23.0,93.0,1809.0,,,,,3.0,42649.0,,,814.0,26.0,200.0,326.0,87.3,1284.0,,,58.0,12.0,,,74.0,68.0,89.0,35.0,,
1828,SOUTHCOAST HOSPITALS GROUP (220074),2023,Acute Care,Voluntary non-profit - Private,842.0,41.710522,-71.146439,MA,,,,,,,98.0,167.0,58.0,298.0,100.0,173.0,99.0,174.0,95.0,63.0,,,78.0,51.0,92.0,6053.0,,,,,5.0,166395.0,54.0,14.0,319.0,48.0,197.0,427.0,100.0,5451.0,,,59.0,113.0,84.0,51.0,80.0,299.0,94.0,174.0,99.0,8830.0
1829,MASSACHUSETTS EYE AND EAR INFIRMARY - (220075),2023,Acute Care,Voluntary non-profit - Private,41.0,42.362861,-71.070521,MA,70.0,148.0,,,,,,,,,,,,,,,,,,,96.0,2895.0,,,,,1.0,22128.0,,,,,153.0,461.0,99.7,2754.0,,,,,,,,,,,95.0,383.0
1830,BAYSTATE MEDICAL CENTER (220077),2023,Acute Care,Voluntary non-profit - Private,715.0,42.121712,-72.605956,MA,313.0,6128.0,519.0,257.0,77.0,47.0,,,51.0,166.0,,,94.0,264.0,100.0,103.0,,,,,96.0,13177.0,,,,,12.0,105871.0,,,790.0,38.0,260.0,346.0,97.9,11780.0,,,60.0,35.0,76.0,17.0,74.0,167.0,80.0,90.0,87.0,11536.0
1831,HOLY FAMILY HOSPITAL (220080),2023,Acute Care,Proprietary,304.0,42.725829,-71.169618,MA,,,,,,,93.0,72.0,52.0,67.0,95.0,75.0,93.0,75.0,100.0,210.0,,,73.0,15.0,84.0,3471.0,,,,,3.0,67492.0,,,339.0,26.0,192.0,344.0,79.6,3994.0,,,75.0,20.0,100.0,13.0,70.0,67.0,82.0,38.0,,
1832,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM (220083),2023,Acute Care,Voluntary non-profit - Private,58.0,42.277574,-71.237358,MA,,,,,,,97.0,33.0,34.0,62.0,100.0,41.0,100.0,41.0,100.0,84.0,,,65.0,31.0,98.0,1533.0,,,,,2.0,17406.0,92.0,12.0,345.0,31.0,257.0,333.0,99.7,1327.0,,,71.0,21.0,,,52.0,62.0,94.0,17.0,,
1833,EMERSON HOSPITAL - (220084),2023,Acute Care,Voluntary non-profit - Private,164.0,42.452628,-71.377231,MA,,,,,,,92.0,40.0,72.0,151.0,95.0,43.0,,,100.0,117.0,,,84.0,19.0,90.0,2362.0,,,100.0,282.0,1.0,30103.0,73.0,13.0,418.0,20.0,186.0,349.0,94.8,2681.0,,,81.0,67.0,86.0,35.0,86.0,153.0,98.0,80.0,91.0,1651.0
1834,BETH ISRAEL DEACONESS MEDICAL CENTER (220086),2023,Acute Care,Voluntary non-profit - Private,677.0,42.340575,-71.105504,MA,,,,,87.0,52.0,78.0,187.0,36.0,116.0,94.0,200.0,87.0,199.0,98.0,115.0,,,,,99.0,14453.0,,,,,1.0,49347.0,,,346.0,34.0,320.0,352.0,97.5,11812.0,,,40.0,55.0,92.0,12.0,75.0,116.0,83.0,63.0,,
1835,NEW ENGLAND BAPTIST HOSPITAL (220088),2023,Acute Care,Voluntary non-profit - Private,94.0,42.330098,-71.106566,MA,,,,,,,,,,,,,,,,,,,,,98.0,1626.0,,,,,,,,,,,,,100.0,1646.0,18.0,1683.0,,,,,,,,,99.0,619.0
1836,MILFORD REGIONAL MEDICAL CENTER (220090),2023,Acute Care,Voluntary non-profit - Other,139.0,42.132835,-71.529014,MA,,,,,,,94.0,53.0,41.0,94.0,98.0,61.0,95.0,61.0,100.0,91.0,,,26.0,68.0,99.0,2718.0,,,91.0,289.0,4.0,53951.0,96.0,27.0,560.0,31.0,252.0,404.0,100.0,2739.0,17.0,934.0,32.0,31.0,,,66.0,94.0,95.0,44.0,,
1837,HEYWOOD HOSPITAL (220095),2023,Acute Care,Voluntary non-profit - Private,138.0,42.586565,-71.986165,MA,232.0,675.0,,,,,,,65.0,144.0,,,,,97.0,68.0,,,54.0,13.0,90.0,1195.0,,,,,1.0,24006.0,108.0,11.0,660.0,14.0,159.0,354.0,95.7,1197.0,,,67.0,64.0,96.0,27.0,81.0,144.0,98.0,85.0,85.0,923.0
1838,NASHOBA VALLEY MEDICAL CENTER (220098),2023,Acute Care,Proprietary,70.0,42.576412,-71.573053,MA,,,,,,,,,70.0,46.0,,,,,100.0,138.0,,,,,91.0,847.0,,,,,1.0,13828.0,,,217.0,20.0,135.0,354.0,85.3,639.0,,,81.0,16.0,83.0,12.0,83.0,46.0,97.0,30.0,,
1839,SOUTH SHORE HOSPITAL (220100),2023,Acute Care,Voluntary non-profit - Private,363.0,42.17472,-70.954075,MA,226.0,8398.0,355.0,326.0,,,,,58.0,172.0,98.0,194.0,96.0,189.0,99.0,84.0,,,62.0,34.0,94.0,6583.0,,,,,4.0,103372.0,,,1006.0,26.0,222.0,370.0,91.1,6795.0,,,57.0,56.0,100.0,24.0,79.0,173.0,89.0,101.0,82.0,7528.0
1840,NEWTON-WELLESLEY HOSPITAL (220101),2023,Acute Care,Voluntary non-profit - Other,272.0,42.332339,-71.246592,MA,,,,,,,,,49.0,90.0,97.0,74.0,99.0,74.0,100.0,88.0,,,,,92.0,6252.0,,,98.0,395.0,2.0,63831.0,62.0,18.0,298.0,15.0,247.0,361.0,99.8,6954.0,,,57.0,28.0,86.0,14.0,74.0,90.0,84.0,51.0,94.0,3513.0
1841,WINCHESTER HOSPITAL (220105),2023,Acute Care,Voluntary non-profit - Private,201.0,42.465496,-71.121408,MA,,,,,,,100.0,38.0,51.0,45.0,,,95.0,43.0,96.0,90.0,,,,,100.0,3270.0,,,96.0,302.0,2.0,45347.0,43.0,21.0,534.0,30.0,215.0,369.0,97.5,3269.0,,,63.0,19.0,,,89.0,45.0,77.0,31.0,93.0,2978.0
1842,BETH ISRAEL DEACONESS HOSPITAL - MILTON (220108),2023,Acute Care,Government - Federal,93.0,42.252352,-71.075213,MA,,,,,,,91.0,55.0,48.0,61.0,98.0,49.0,100.0,50.0,97.0,210.0,,,58.0,12.0,98.0,1777.0,,,,,4.0,32536.0,77.0,12.0,929.0,16.0,205.0,369.0,99.7,1597.0,,,,,,,62.0,61.0,77.0,31.0,,
1843,BRIGHAM AND WOMEN'S HOSPITAL (220110),2023,Acute Care,Voluntary non-profit - Private,781.0,42.335954,-71.107661,MA,,,,,,,,,53.0,60.0,99.0,184.0,96.0,170.0,100.0,89.0,,,,,97.0,24134.0,,,96.0,2434.0,4.0,59206.0,,,226.0,21.0,316.0,362.0,99.8,22456.0,,,66.0,29.0,92.0,12.0,72.0,60.0,100.0,27.0,94.0,10391.0
1844,GOOD SAMARITAN MEDICAL CENTER (220111),2023,Acute Care,Proprietary,253.0,42.09707,-71.065645,MA,,,,,,,87.0,94.0,45.0,89.0,99.0,91.0,96.0,91.0,100.0,210.0,,,80.0,25.0,87.0,2564.0,,,,,10.0,54045.0,,,720.0,26.0,265.0,289.0,81.8,1951.0,,,54.0,24.0,,,63.0,89.0,92.0,40.0,,
