,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
2450,LOVELACE MEDICAL CENTER (320009),2020,Acute Care,Voluntary non-profit - Private,287.0,35.085622,-106.639765,NM,79.0,279.0,,,,,100.0,11.0,,,,,70.0,2652.0,,,1.0,41359.0,,,249.0,33.0,309.0,746.0,190.0,350.0,,,100.0,222.0,100.0,43.0,89.0,281.0,89.0,223.0
2451,PRESBYTERIAN ESPANOLA HOSPITAL (320011),2020,Acute Care,Voluntary non-profit - Private,60.0,35.997101,-106.086683,NM,63.0,92.0,51.0,95.0,100.0,20.0,,,,,83.0,12.0,85.0,492.0,,,1.0,28248.0,,,180.0,23.0,114.0,351.0,162.0,365.0,6.0,33.0,95.0,62.0,,,75.0,92.0,85.0,46.0
2452,GILA REGIONAL MEDICAL CENTER (320016),2020,Acute Care,Government - Hospital District or Authority,58.0,32.795524,-108.260908,NM,51.0,73.0,90.0,91.0,90.0,164.0,,,,,,,,,,,1.0,16416.0,,,184.0,48.0,90.0,538.0,141.0,816.0,0.0,39.0,72.0,58.0,62.0,13.0,82.0,73.0,96.0,48.0
2453,LOVELACE WOMEN'S HOSPITAL (320017),2020,Acute Care,Government - State,164.0,35.131005,-106.591037,NM,72.0,181.0,99.0,72.0,100.0,71.0,,,,,,,68.0,1488.0,,,1.0,35216.0,,,176.0,26.0,160.0,311.0,180.0,379.0,0.0,232.0,95.0,140.0,88.0,26.0,86.0,181.0,87.0,126.0
2454,MEMORIAL MEDICAL CENTER (320018),2020,Acute Care,Proprietary,235.0,32.291993,-106.735018,NM,62.0,138.0,,,100.0,15.0,83.0,23.0,,,,,,,,,1.0,37448.0,,,288.0,28.0,109.0,695.0,151.0,436.0,0.0,39.0,87.0,107.0,67.0,27.0,79.0,138.0,98.0,88.0
2455,PRESBYTERIAN HOSPITAL (320021),2020,Acute Care,Government - Hospital District or Authority,777.0,35.082295,-106.63453,NM,32.0,167.0,96.0,91.0,98.0,102.0,,,,,66.0,53.0,91.0,9609.0,,,7.0,171463.0,,,525.0,48.0,186.0,674.0,258.0,347.0,1.0,96.0,88.0,65.0,,,62.0,167.0,52.0,81.0
2456,PLAINS REGIONAL MEDICAL CENTER (320022),2020,Acute Care,Government - Federal,106.0,34.42049,-103.231763,NM,33.0,88.0,68.0,31.0,100.0,13.0,,,,,71.0,14.0,94.0,722.0,,,1.0,33926.0,,,264.0,13.0,94.0,398.0,176.0,374.0,0.0,36.0,71.0,42.0,,,66.0,88.0,60.0,40.0
2457,ARTESIA GENERAL HOSPITAL (320030),2020,Acute Care,Government - Hospital District or Authority,45.0,32.848603,-104.412752,NM,65.0,17.0,60.0,15.0,67.0,12.0,,,,,,,76.0,552.0,,,3.0,13014.0,,,267.0,13.0,59.0,420.0,98.0,406.0,,,92.0,12.0,,,76.0,17.0,92.0,12.0
2458,LOS ALAMOS MEDICAL CENTER (320033),2020,Acute Care,Proprietary,44.0,35.882165,-106.319765,NM,50.0,56.0,100.0,103.0,100.0,100.0,,,,,,,93.0,294.0,,,1.0,8216.0,,,175.0,21.0,109.0,490.0,141.0,373.0,,,70.0,44.0,,,80.0,56.0,97.0,36.0
2459,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES (320038),2020,Acute Care,Voluntary non-profit - Private,56.0,35.5075,-108.727248,NM,38.0,61.0,84.0,64.0,100.0,22.0,,,,,,,88.0,709.0,,,3.0,18667.0,,,286.0,21.0,167.0,206.0,176.0,339.0,0.0,23.0,81.0,31.0,,,61.0,61.0,82.0,33.0
2460,MESCALERO PHS INDIAN HOSPITAL (320058),2020,Acute Care,Government - Federal,8.0,,,NM,,,,,,,,,,,,,99.0,78.0,,,,,,,,,,,,,,,,,,,,,,
2461,NORTHERN NAVAJO MEDICAL CENTER (320059),2020,Acute Care,Government - Federal,60.0,,,NM,31.0,83.0,,,,,,,,,,,99.0,1047.0,,,,,,,,,237.0,460.0,,,0.0,99.0,83.0,36.0,,,81.0,83.0,47.0,58.0
2462,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER (320060),2020,Acute Care,Government - Federal,27.0,,,NM,,,,,,,,,,,,,,,,,,,,,,,134.0,37.0,,,,,,,,,,,,
2463,GALLUP INDIAN MEDICAL CENTER (320061),2020,Acute Care,Government - Federal,76.0,35.508444,-108.730226,NM,50.0,70.0,,,,,,,,,,,99.0,1270.0,,,,,,,,,112.0,508.0,,,0.0,33.0,97.0,36.0,,,67.0,70.0,75.0,44.0
2464,CROWNPOINT PHS INDIAN HOSPITAL (320062),2020,Acute Care,Government - Federal,20.0,,,NM,,,,,,,,,,,,,99.0,385.0,,,,,,,,,108.0,110.0,,,,,,,,,,,,
2465,CARLSBAD MEDICAL CENTER (320063),2020,Acute Care,Proprietary,102.0,32.44184,-104.258642,NM,64.0,173.0,80.0,76.0,96.0,115.0,,,,,65.0,17.0,65.0,404.0,,,2.0,23552.0,,,214.0,28.0,98.0,396.0,123.0,382.0,0.0,47.0,83.0,139.0,65.0,26.0,81.0,173.0,99.0,102.0
2466,LEA REGIONAL MEDICAL CENTER (320065),2020,Acute Care,Proprietary,133.0,32.765988,-103.186034,NM,85.0,74.0,100.0,43.0,100.0,51.0,,,,,83.0,12.0,62.0,441.0,,,2.0,20958.0,,,152.0,18.0,72.0,342.0,141.0,397.0,2.0,53.0,98.0,65.0,94.0,16.0,88.0,74.0,100.0,44.0
2467,GUADALUPE COUNTY HOSPITAL (320067),2020,Acute Care,Government - Local,10.0,34.929504,-104.694224,NM,,,,,,,,,,,,,46.0,59.0,,,1.0,2733.0,,,,,19.0,145.0,113.0,265.0,,,,,,,,,,
2468,ACOMA-CANONCITO-LAGUNA IHS HOSPITAL (320070),2020,Acute Care,Government - Federal,6.0,,,NM,,,,,,,,,,,,,,,,,,,,,,,55.0,121.0,,,,,,,,,,,,
2469,LOVELACE WESTSIDE HOSPITAL (320074),2020,Acute Care,Government - Federal,74.0,35.207508,-106.675974,NM,80.0,169.0,,,,,,,,,64.0,11.0,84.0,542.0,,,1.0,24846.0,,,184.0,19.0,113.0,411.0,143.0,389.0,5.0,43.0,99.0,139.0,93.0,28.0,86.0,169.0,94.0,120.0
2470,ROOSEVELT GENERAL HOSPITAL (320084),2020,Acute Care,Government - State,22.0,34.165665,-103.368199,NM,23.0,13.0,0.0,40.0,,,,,,,,,,,,,4.0,7492.0,,,191.0,15.0,59.0,269.0,140.0,316.0,,,,,,,85.0,13.0,36.0,11.0
2471,MOUNTAIN VIEW REGIONAL MEDICAL CENTER (320085),2020,Acute Care,Proprietary,162.0,32.322639,-106.728297,NM,63.0,240.0,97.0,72.0,96.0,75.0,,,,,73.0,11.0,80.0,1654.0,,,1.0,50308.0,,,207.0,16.0,160.0,732.0,135.0,393.0,0.0,40.0,95.0,165.0,84.0,38.0,77.0,240.0,87.0,149.0
2472,LOVELACE REGIONAL HOSPITAL - ROSWELL (320086),2020,Acute Care,Proprietary,26.0,33.415976,-104.521754,NM,78.0,27.0,,,,,,,,,,,69.0,422.0,,,1.0,12759.0,,,132.0,13.0,71.0,160.0,100.0,412.0,2.0,137.0,96.0,23.0,,,89.0,27.0,95.0,20.0
2473,UNM SANDOVAL REGIONAL MEDICAL CENTER (320089),2020,Acute Care,Voluntary non-profit - Private,66.0,35.307351,-106.677003,NM,42.0,119.0,67.0,55.0,90.0,40.0,,,,,,,,,,,3.0,20825.0,345.0,12.0,296.0,26.0,144.0,232.0,220.0,412.0,,,93.0,56.0,,,62.0,120.0,69.0,58.0
2474,PRESBYTERIAN SANTA FE MEDICAL CENTER (320090),2020,Acute Care,Voluntary non-profit - Private,36.0,,,NM,47.0,70.0,,,,,,,,,,,86.0,422.0,,,,,,,346.0,42.0,106.0,354.0,187.0,335.0,0.0,24.0,100.0,33.0,,,64.0,70.0,60.0,30.0
2475,SOCORRO GENERAL HOSPITAL (321301),2020,Critical Access,Proprietary,24.0,34.038721,-106.912014,NM,,,,,,,,,,,,,97.0,216.0,,,,,,,166.0,20.0,58.0,213.0,112.0,360.0,,,,,,,,,,
2476,DR DAN C TRIGG MEMORIAL HOSPITAL (321302),2020,Critical Access,Voluntary non-profit - Private,25.0,35.156231,-103.723446,NM,,,,,,,,,,,,,96.0,118.0,,,,,,,167.0,17.0,66.0,57.0,108.0,347.0,,,,,,,,,,
2477,NOR-LEA HOSPITAL DISTRICT (321305),2020,Critical Access,Government - Hospital District or Authority,25.0,32.96479,-103.348637,NM,,,,,,,,,,,,,,,,,,,,,239.0,311.0,62.0,269.0,164.0,8253.0,,,,,,,,,,
2478,LINCOLN COUNTY MEDICAL CENTER (321306),2020,Critical Access,Voluntary non-profit - Private,25.0,33.323052,-105.631136,NM,,,,,,,,,,,,,84.0,393.0,,,,,,,213.0,19.0,67.0,372.0,120.0,369.0,,,,,,,,,,
2479,MINERS' COLFAX MEDICAL CENTER (321307),2020,Critical Access,Government - State,66.0,36.863548,-104.443184,NM,,,,,,,,,,,,,,,,,,,,,,,31.0,209.0,125.0,233.0,,,,,,,,,,
2480,MIMBRES MEMORIAL HOSPITAL (321309),2020,Critical Access,Proprietary,25.0,,,NM,89.0,92.0,94.0,52.0,93.0,28.0,,,,,100.0,16.0,92.0,287.0,,,2.0,14774.0,,,210.0,18.0,88.0,376.0,136.0,348.0,0.0,38.0,99.0,83.0,100.0,23.0,90.0,92.0,100.0,65.0
2481,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS (321310),2020,Critical Access,Voluntary non-profit - Private,25.0,36.367397,-105.577458,NM,83.0,83.0,100.0,65.0,100.0,74.0,,,,,100.0,15.0,,,,,5.0,14589.0,,,374.0,30.0,133.0,380.0,179.0,331.0,0.0,23.0,99.0,70.0,100.0,18.0,98.0,83.0,81.0,59.0
2482,ALBANY MEMORIAL HOSPITAL (330003),2020,Acute Care,Voluntary non-profit - Private,110.0,42.674685,-73.748861,NY,51.0,51.0,91.0,76.0,90.0,71.0,,,,,40.0,20.0,,,,,2.0,41279.0,130.0,27.0,,,94.0,559.0,155.0,381.0,,,84.0,31.0,,,71.0,51.0,80.0,25.0
2483,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS (330004),2020,Acute Care,Voluntary non-profit - Private,146.0,41.92635,-73.995402,NY,80.0,114.0,85.0,13.0,100.0,16.0,,,82.0,11.0,52.0,29.0,,,,,0.0,39118.0,,,308.0,42.0,169.0,1053.0,152.0,349.0,0.0,27.0,91.0,100.0,100.0,17.0,89.0,114.0,98.0,57.0
2484,KALEIDA HEALTH (330005),2020,Acute Care,Voluntary non-profit - Private,1089.0,42.900329,-78.864937,NY,48.0,745.0,100.0,114.0,100.0,114.0,,,,,,,80.0,6360.0,,,2.0,174709.0,,,,,144.0,19427.0,213.0,351.0,0.0,54.0,84.0,447.0,61.0,79.0,67.0,745.0,82.0,281.0
2485,ST JOSEPH'S MEDICAL CENTER (330006),2020,Acute Care,Voluntary non-profit - Private,411.0,40.929614,-73.897003,NY,63.0,46.0,100.0,48.0,100.0,20.0,,,,,,,,,,,6.0,30821.0,,,275.0,61.0,108.0,584.0,140.0,308.0,,,79.0,38.0,,,85.0,46.0,97.0,29.0
2486,WYOMING COUNTY COMMUNITY HOSPITAL (330008),2020,Acute Care,Government - Local,214.0,42.753447,-78.132533,NY,64.0,61.0,100.0,94.0,96.0,171.0,,,,,,,,,,,0.0,13559.0,,,265.0,32.0,89.0,339.0,136.0,476.0,0.0,14.0,90.0,49.0,,,90.0,61.0,86.0,43.0
2487,BRONX HEALTH SYSTEM (330009),2020,Acute Care,Proprietary,570.0,40.83175,-73.903756,NY,56.0,195.0,100.0,101.0,100.0,105.0,,,,,,,66.0,3174.0,,,3.0,133011.0,,,379.0,81.0,207.0,858.0,215.0,607.0,0.0,31.0,80.0,136.0,100.0,18.0,82.0,195.0,76.0,100.0
2488,LOURDES HOSPITAL (330011),2020,Acute Care,Voluntary non-profit - Private,158.0,42.09264,-75.935558,NY,85.0,99.0,100.0,72.0,100.0,100.0,100.0,25.0,,,71.0,14.0,,,,,2.0,45914.0,,,,,126.0,634.0,203.0,293.0,0.0,32.0,97.0,88.0,92.0,13.0,94.0,99.0,89.0,46.0
2489,ALBANY MEDICAL CENTER HOSPITAL (330013),2020,Acute Care,Voluntary non-profit - Private,736.0,42.653254,-73.77386,NY,15.0,81.0,88.0,64.0,78.0,67.0,,,,,,,98.0,12977.0,,,2.0,84607.0,,,529.0,22.0,197.0,561.0,287.0,337.0,,,70.0,20.0,,,37.0,81.0,33.0,15.0
2490,JAMAICA HOSPITAL MEDICAL CENTER (330014),2020,Acute Care,Voluntary non-profit - Private,608.0,40.701412,-73.816302,NY,62.0,154.0,84.0,318.0,80.0,353.0,,,,,75.0,20.0,,,,,3.0,116819.0,,,354.0,30.0,251.0,907.0,250.0,392.0,0.0,45.0,84.0,115.0,89.0,19.0,82.0,154.0,88.0,101.0
2491,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC. (330019)",2020,Acute Care,Voluntary non-profit - Private,134.0,40.613783,-73.948321,NY,60.0,126.0,,,,,,,,,,,60.0,762.0,,,1.0,23311.0,,,414.0,14.0,162.0,1164.0,153.0,349.0,,,92.0,83.0,92.0,24.0,72.0,126.0,87.0,61.0
2492,VASSAR BROTHERS MEDICAL CENTER (330023),2020,Acute Care,Voluntary non-profit - Private,361.0,41.694567,-73.935723,NY,67.0,143.0,85.0,104.0,92.0,173.0,,,,,,,,,,,1.0,76941.0,,,,,226.0,770.0,205.0,395.0,2.0,53.0,87.0,115.0,33.0,12.0,87.0,143.0,88.0,77.0
2493,MOUNT SINAI HOSPITAL (330024),2020,Acute Care,Voluntary non-profit - Private,1166.0,,,NY,51.0,245.0,53.0,416.0,94.0,282.0,99.0,72.0,,,,,91.0,2450.0,,,3.0,178631.0,,,218.0,29.0,366.0,1490.0,205.0,745.0,0.0,65.0,78.0,172.0,52.0,25.0,82.0,245.0,80.0,143.0
2494,NASSAU UNIVERSITY MEDICAL CENTER (330027),2020,Acute Care,Government - Local,710.0,40.725298,-73.554413,NY,42.0,122.0,99.0,84.0,100.0,33.0,,,,,85.0,13.0,67.0,4505.0,,,3.0,60029.0,,,236.0,66.0,98.0,552.0,168.0,240.0,0.0,43.0,76.0,72.0,48.0,27.0,71.0,122.0,77.0,65.0
2495,RICHMOND UNIVERSITY MEDICAL CENTER (330028),2020,Acute Care,Voluntary non-profit - Private,315.0,40.63551,-74.106693,NY,33.0,217.0,51.0,137.0,83.0,162.0,,,,,,,82.0,3219.0,,,1.0,63511.0,,,170.0,38.0,297.0,607.0,131.0,367.0,0.0,95.0,62.0,122.0,38.0,13.0,69.0,217.0,73.0,104.0
2496,NEWARK-WAYNE COMMUNITY HOSPITAL (330030),2020,Acute Care,Voluntary non-profit - Private,300.0,43.059959,-77.100736,NY,38.0,77.0,100.0,63.0,100.0,66.0,,,,,100.0,13.0,,,,,1.0,26274.0,,,229.0,1179.0,102.0,817.0,172.0,19281.0,0.0,22.0,79.0,38.0,,,61.0,77.0,74.0,35.0
2497,CHENANGO MEMORIAL HOSPITAL (330033),2020,Acute Care,Voluntary non-profit - Private,138.0,42.542038,-75.524724,NY,62.0,40.0,99.0,134.0,99.0,96.0,,,,,,,,,,,1.0,18181.0,,,167.0,11.0,56.0,362.0,84.0,392.0,6.0,33.0,77.0,35.0,,,88.0,40.0,100.0,27.0
2498,NS/LIJ HS SOUTHSIDE HOSPITAL (330043),2020,Acute Care,Voluntary non-profit - Private,294.0,40.724858,-73.240889,NY,62.0,128.0,100.0,110.0,100.0,118.0,,,,,94.0,17.0,,,,,1.0,75421.0,,,539.0,27.0,352.0,369.0,213.0,282.0,2.0,49.0,96.0,92.0,37.0,19.0,81.0,129.0,86.0,76.0
2499,FAXTON-ST LUKE'S HEALTHCARE (330044),2020,Acute Care,Voluntary non-profit - Private,271.0,,,NY,22.0,89.0,91.0,69.0,99.0,73.0,,,,,,,,,,,5.0,30192.0,,,316.0,27.0,124.0,718.0,196.0,366.0,0.0,44.0,78.0,40.0,27.0,15.0,79.0,90.0,48.0,58.0
2500,NS/LIJ HS HUNTINGTON HOSPITAL (330045),2020,Acute Care,Voluntary non-profit - Private,287.0,40.879201,-73.417488,NY,73.0,132.0,40.0,113.0,74.0,378.0,,,,,82.0,17.0,90.0,2603.0,,,0.0,54418.0,,,297.0,19.0,198.0,698.0,168.0,362.0,3.0,37.0,93.0,111.0,53.0,17.0,87.0,132.0,96.0,89.0
2501,MOUNT SINAI ST LUKE'S ROOSEVELT HOSPITAL (330046),2020,Acute Care,Voluntary non-profit - Private,814.0,40.770129,-73.987846,NY,70.0,141.0,92.0,123.0,78.0,134.0,96.0,23.0,,,82.0,11.0,92.0,9660.0,,,1.0,161551.0,,,250.0,38.0,179.0,530.0,178.0,374.0,2.0,49.0,96.0,103.0,95.0,19.0,86.0,143.0,81.0,97.0
2502,ST MARY'S HEALTHCARE (330047),2020,Acute Care,Voluntary non-profit - Private,290.0,42.953648,-74.216041,NY,44.0,125.0,93.0,67.0,100.0,62.0,,,,,,,,,,,1.0,31105.0,58.0,20.0,208.0,27.0,55.0,658.0,147.0,398.0,0.0,44.0,89.0,62.0,,,66.0,125.0,61.0,54.0
2503,NORTHERN DUTCHESS HOSPITAL (330049),2020,Acute Care,Voluntary non-profit - Private,76.0,,,NY,69.0,207.0,100.0,143.0,97.0,238.0,,,,,,,,,,,1.0,24330.0,,,,,86.0,671.0,147.0,388.0,0.0,18.0,90.0,164.0,65.0,26.0,85.0,209.0,91.0,124.0
2504,NEW YORK-PRESBYTERIAN/QUEENS (330055),2020,Acute Care,Voluntary non-profit - Private,484.0,,,NY,70.0,171.0,96.0,206.0,93.0,216.0,100.0,27.0,,,80.0,15.0,93.0,5647.0,,,1.0,120976.0,,,,,229.0,875.0,214.0,390.0,0.0,77.0,89.0,145.0,69.0,29.0,87.0,171.0,96.0,99.0
2505,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS (330056),2020,Acute Care,Voluntary non-profit - Private,292.0,40.689785,-73.9774,NY,77.0,90.0,100.0,80.0,,,,,,,,,74.0,3331.0,,,3.0,73153.0,,,258.0,12.0,248.0,821.0,162.0,371.0,0.0,47.0,93.0,75.0,93.0,14.0,89.0,90.0,91.0,53.0
2506,ST PETER'S HOSPITAL (330057),2020,Acute Care,Voluntary non-profit - Private,474.0,42.660176,-73.802382,NY,57.0,114.0,91.0,75.0,86.0,84.0,,,,,16.0,19.0,,,,,4.0,55490.0,,,212.0,19.0,132.0,627.0,197.0,383.0,0.0,49.0,84.0,83.0,,,77.0,114.0,92.0,60.0
2507,FINGER LAKE HEALTH-GENEVA GENERAL HOSPITAL (330058),2020,Acute Care,Voluntary non-profit - Private,473.0,,,NY,58.0,259.0,92.0,52.0,95.0,208.0,,,,,100.0,16.0,96.0,1056.0,,,2.0,22321.0,,,,,149.0,574.0,148.0,476.0,,,85.0,191.0,47.0,30.0,79.0,259.0,91.0,154.0
2508,MONTEFIORE MEDICAL CENTER (330059),2020,Acute Care,Voluntary non-profit - Private,1501.0,40.879777,-73.879975,NY,26.0,139.0,69.0,107.0,81.0,122.0,67.0,27.0,,,,,88.0,20471.0,,,2.0,332088.0,,,336.0,16.0,306.0,839.0,251.0,391.0,0.0,36.0,78.0,49.0,,,60.0,142.0,49.0,65.0
2509,NIAGARA FALLS MEMORIAL MEDICAL CENTER (330065),2020,Acute Care,Voluntary non-profit - Other,134.0,43.093433,-79.050429,NY,55.0,96.0,99.0,80.0,100.0,105.0,,,,,84.0,19.0,,,,,4.0,31606.0,,,208.0,21.0,77.0,602.0,189.0,317.0,0.0,61.0,80.0,69.0,83.0,12.0,76.0,96.0,93.0,54.0
2510,UNITED MEMORIAL MEDICAL CENTER (330073),2020,Acute Care,Voluntary non-profit - Private,131.0,43.003997,-78.177592,NY,62.0,80.0,76.0,63.0,73.0,63.0,,,,,,,,,,,1.0,22529.0,,,206.0,15.0,62.0,554.0,131.0,371.0,5.0,20.0,95.0,58.0,45.0,11.0,76.0,82.0,95.0,38.0
2511,F F THOMPSON HOSPITAL (330074),2020,Acute Care,Voluntary non-profit - Private,277.0,42.875591,-77.288198,NY,37.0,115.0,100.0,84.0,100.0,106.0,,,,,67.0,12.0,96.0,1861.0,100.0,1425.0,1.0,2261.0,,,209.0,17.0,124.0,768.0,189.0,449.0,4.0,27.0,94.0,47.0,,,66.0,116.0,51.0,59.0
2512,SISTERS OF CHARITY HOSPITAL (330078),2020,Acute Care,Voluntary non-profit - Private,462.0,42.92917,-78.849916,NY,58.0,77.0,92.0,71.0,86.0,104.0,,,,,,,,,,,3.0,74034.0,59.0,24.0,,,112.0,516.0,184.0,369.0,1.0,185.0,73.0,62.0,,,84.0,77.0,94.0,49.0
2513,ADIRONDACK MEDICAL CENTER (330079),2020,Acute Care,Voluntary non-profit - Other,152.0,44.344548,-74.144597,NY,32.0,76.0,74.0,85.0,83.0,84.0,,,,,,,90.0,1030.0,,,0.0,14929.0,,,246.0,16.0,125.0,274.0,107.0,381.0,,,65.0,46.0,,,79.0,76.0,72.0,50.0
2514,LINCOLN MEDICAL & MENTAL HEALTH CENTER (330080),2020,Acute Care,Government - Local,344.0,40.817681,-73.924072,NY,21.0,805.0,97.0,77.0,100.0,25.0,,,,,,,,,,,12.0,153503.0,,,414.0,30.0,183.0,832.0,177.0,327.0,0.0,33.0,68.0,289.0,20.0,35.0,46.0,806.0,69.0,261.0
2515,ALICE HYDE MEDICAL CENTER (330084),2020,Acute Care,Voluntary non-profit - Other,198.0,44.856658,-74.29193,NY,69.0,48.0,100.0,39.0,98.0,66.0,,,53.0,15.0,,,97.0,856.0,,,1.0,13835.0,,,307.0,23.0,66.0,405.0,172.0,364.0,0.0,21.0,100.0,34.0,,,83.0,48.0,77.0,26.0
2516,AURELIA OSBORN FOX MEMORIAL HOSPITAL (330085),2020,Acute Care,Voluntary non-profit - Other,198.0,,,NY,48.0,75.0,98.0,84.0,98.0,83.0,,,,,,,81.0,1371.0,,,2.0,26721.0,,,359.0,11.0,152.0,308.0,134.0,257.0,,,69.0,55.0,,,78.0,76.0,94.0,49.0
2517,MONTEFIORE MOUNT VERNON HOSPITAL (330086),2020,Acute Care,Voluntary non-profit - Private,94.0,40.912754,-73.840011,NY,45.0,83.0,78.0,138.0,78.0,18.0,,,,,,,91.0,693.0,,,1.0,21375.0,,,253.0,27.0,101.0,1162.0,188.0,382.0,,,84.0,50.0,58.0,12.0,75.0,83.0,74.0,46.0
2518,STONY BROOK EASTERN LONG ISLAND HOSPITAL (330088),2020,Acute Care,Voluntary non-profit - Private,90.0,41.110951,-72.361459,NY,56.0,18.0,0.0,31.0,90.0,83.0,,,,,,,,,,,1.0,8469.0,,,,,99.0,46.0,144.0,160.0,,,73.0,15.0,,,89.0,18.0,92.0,13.0
2519,ARNOT OGDEN MEDICAL CENTER (330090),2020,Acute Care,Voluntary non-profit - Private,256.0,42.099256,-76.826668,NY,57.0,382.0,,,,,,,,,79.0,19.0,,,,,2.0,39873.0,,,242.0,62.0,231.0,633.0,125.0,577.0,7.0,30.0,78.0,287.0,74.0,53.0,86.0,382.0,81.0,213.0
2520,COLUMBIA MEMORIAL HOSPITAL (330094),2020,Acute Care,Voluntary non-profit - Private,194.0,42.246254,-73.776128,NY,88.0,66.0,100.0,133.0,99.0,125.0,,,,,,,,,,,0.0,28301.0,,,322.0,25.0,126.0,639.0,161.0,363.0,0.0,17.0,97.0,59.0,,,94.0,67.0,97.0,61.0
2521,JONES MEMORIAL HOSPITAL (330096),2020,Acute Care,Voluntary non-profit - Private,60.0,42.122878,-77.949784,NY,62.0,133.0,100.0,114.0,100.0,104.0,,,,,,,96.0,425.0,,,1.0,11930.0,,,308.0,11.0,70.0,325.0,136.0,368.0,0.0,34.0,87.0,101.0,,,86.0,134.0,86.0,90.0
2522,NEW YORK-PRESBYTERIAN HOSPITAL (330101),2020,Acute Care,Voluntary non-profit - Private,2546.0,40.76415,-73.954335,NY,58.0,118.0,95.0,142.0,80.0,163.0,97.0,110.0,,,,,88.0,42921.0,,,2.0,341413.0,,,254.0,24.0,418.0,476.0,232.0,352.0,0.0,83.0,82.0,85.0,90.0,20.0,80.0,118.0,87.0,71.0
2523,KENMORE MERCY HOSPITAL (330102),2020,Acute Care,Voluntary non-profit - Church,344.0,42.9779,-78.878678,NY,57.0,117.0,96.0,72.0,92.0,72.0,,,,,,,,,,,3.0,39218.0,76.0,29.0,,,114.0,850.0,202.0,382.0,,,80.0,92.0,,,84.0,117.0,90.0,59.0
