,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Thrombolytic Therapy (STK_4 - Stroke Care),Thrombolytic Therapy (STK_4 - Stroke Care) (Sample),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment) (Sample)
1680,STERLING SURGICAL HOSPITAL (190256),2017,Acute Care,Proprietary,10.0,30.29078,-89.769402,LA,,,,,,,,,,,,,60.0,90.0,,,98.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,
1681,LAFAYETTE SURGICAL SPECIALTY HOSPITAL (190259),2017,Acute Care,Physician,20.0,30.175866,-92.02802,LA,,,,,,,,,,,,,76.0,556.0,,,100.0,479.0,,,,,,,,,,,,,,,,,,,,,,,,
1682,HEART HOSPITAL OF LAFAYETTE (190263),2017,Acute Care,Proprietary,32.0,30.174933,-92.028311,LA,,,6.0,300.0,,,,,,,,,82.0,480.0,,,96.0,314.0,,,0.0,2636.0,,,,,,,81.0,188.0,124.0,279.0,182.0,188.0,,,,,,,,
1683,THE SPINE HOSPITAL OF LOUISIANA (190266),2017,Acute Care,Proprietary,23.0,30.380304,-91.094453,LA,,,,,,,,,,,,,79.0,282.0,,,99.0,362.0,,,,,,,,,,,,,,,,,,,,,,,,
1684,FAIRWAY MEDICAL CENTER (190267),2017,Acute Care,Physician,21.0,30.408713,-90.082943,LA,,,,,94.0,67.0,94.0,162.0,,,,,63.0,270.0,,,67.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,
1685,LAFAYETTE GENERAL SURGICAL HOSPITAL (190268),2017,Acute Care,Proprietary,10.0,,,LA,,,,,,,,,,,,,80.0,196.0,,,98.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,
1686,SOUTHERN SURGICAL HOSPITAL (190270),2017,Acute Care,Physician,37.0,30.273779,-89.754498,LA,,,,,,,,,,,,,36.0,241.0,,,97.0,303.0,,,,,,,,,,,,,,,,,,,,,,,,
1687,OCHSNER MEDICAL CENTER KENNER (190274),2017,Acute Care,Voluntary non-profit - Private,116.0,30.02322,-90.27294,LA,100.0,14.0,18.0,384.0,99.0,72.0,97.0,63.0,,,78.0,41.0,86.0,1085.0,9.0,11.0,89.0,482.0,,,2.0,36963.0,6.0,14.0,,,,,158.0,603.0,136.0,357.0,356.0,603.0,35.0,184.0,3.0,29.0,,,,
1688,SPECIALISTS HOSPITAL SHREVEPORT (190278),2017,Acute Care,Physician,18.0,32.496926,-93.746046,LA,,,,,,,,,,,,,85.0,349.0,,,53.0,310.0,,,,,,,,,,,,,,,,,,,,,,,,
1689,DOCTORS HOSPITAL AT DEER CREEK L L C (190297),2017,Acute Care,Proprietary,10.0,,,LA,,,,,,,,,,,,,59.0,151.0,,,72.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,
1690,CENTRAL LOUISIANA SURGICAL HOSPITAL (190298),2017,Acute Care,Physician,24.0,31.315236,-92.467478,LA,,,,,75.0,96.0,100.0,81.0,,,,,83.0,410.0,,,100.0,332.0,,,,,,,,,,,,,,,,,,,,,,,,
1691,CYPRESS POINTE SURGICAL HOSPITAL (190303),2017,Acute Care,Physician,30.0,30.477042,-90.414264,LA,,,,,0.0,15.0,39.0,18.0,,,,,69.0,363.0,,,92.0,306.0,,,,,,,,,,,,,,,,,,,,,,,,
1692,SOUTH CAMERON MEMORIAL HOSPITAL (190307),2017,Acute Care,Proprietary,49.0,29.807173,-93.165245,LA,,,5.0,562.0,,,,,,,,,82.0,22.0,,,,,,,,,,,,,,,,,69.0,527.0,,,,,,,,,,
1693,ST BERNARD PARISH HOSPITAL (190308),2017,Acute Care,Government - Hospital District or Authority,40.0,29.957043,-89.98842,LA,100.0,33.0,32.0,436.0,45.0,62.0,31.0,13.0,,,,,63.0,433.0,,,95.0,300.0,,,2.0,22835.0,9.0,33.0,,,,,66.0,551.0,114.0,408.0,265.0,554.0,59.0,121.0,,,,,,
1694,OUR LADY OF THE ANGELS HOSPITAL (190312),2017,Acute Care,Government - State,48.0,30.778263,-89.868455,LA,96.0,84.0,20.0,355.0,46.0,65.0,,,,,,,96.0,646.0,,,89.0,245.0,,,1.0,22422.0,16.0,86.0,,,,,85.0,377.0,124.0,339.0,286.0,378.0,71.0,101.0,5.0,42.0,,,,
1695,NEW ORLEANS EAST HOSPITAL (190313),2017,Acute Care,Government - Hospital District or Authority,64.0,30.030738,-89.971583,LA,93.0,27.0,22.0,316.0,,,,,,,,,95.0,466.0,,,45.0,293.0,,,,,6.0,27.0,,,,,73.0,590.0,130.0,297.0,274.0,590.0,53.0,65.0,,,,,,
1696,ST MARTIN HOSPITAL (191302),2017,Critical Access,Voluntary non-profit - Private,25.0,30.282445,-91.890553,LA,,,,,,,,,,,,,53.0,273.0,,,98.0,100.0,,,,,,,,,,,33.0,156.0,,,161.0,167.0,,,,,,,,
1697,ASSUMPTION COMMUNITY HOSPITAL (191303),2017,Critical Access,Voluntary non-profit - Private,15.0,29.957585,-91.033875,LA,,,,,,,,,,,,,,,,,91.0,23.0,,,,,,,,,,,14.0,16.0,,,174.0,30.0,,,,,,,,
1698,ST JAMES PARISH HOSPITAL (191305),2017,Critical Access,Government - Hospital District or Authority,25.0,30.051391,-90.70189,LA,98.0,43.0,7.0,57.0,,,,,,,,,98.0,318.0,,,,,,,1.0,13906.0,4.0,43.0,,,,,51.0,25.0,,,177.0,25.0,,,,,,,,
1699,FRANKLIN FOUNDATION HOSPITAL (191310),2017,Critical Access,Government - Hospital District or Authority,25.0,29.80187,-91.525272,LA,,,,,,,,,,,,,,,,,99.0,233.0,,,,,,,,,,,70.0,318.0,,,228.0,318.0,,,,,,,,
1700,HARDTNER MEDICAL CENTER (191315),2017,Critical Access,Government - Hospital District or Authority,35.0,31.85976,-92.27602,LA,84.0,31.0,23.0,296.0,53.0,19.0,73.0,11.0,,,,,56.0,341.0,,,70.0,296.0,,,1.0,6931.0,10.0,31.0,,,,,,,113.0,253.0,,,36.0,27.0,,,,,,
1701,LALLIE KEMP MEDICAL CENTER (191321),2017,Critical Access,Government - State,24.0,30.622194,-90.496999,LA,,,,,,,,,,,,,98.0,413.0,,,95.0,296.0,,,,,,,,,,,46.0,500.0,,,233.0,503.0,,,,,,,,
1702,ABROM KAPLAN MEMORIAL HOSPITAL (191322),2017,Critical Access,Government - Hospital District or Authority,35.0,30.007591,-92.297337,LA,,,,,,,,,,,,,73.0,100.0,,,90.0,103.0,,,,,,,,,,,40.0,151.0,,,232.0,158.0,,,,,,,,
1703,OCHSNER ST ANNE GENERAL HOSPITAL (191324),2017,Critical Access,Voluntary non-profit - Private,35.0,29.703447,-90.564133,LA,88.0,34.0,2.0,380.0,94.0,70.0,76.0,41.0,,,,,95.0,403.0,,,94.0,212.0,,,1.0,16106.0,3.0,45.0,,,,,51.0,238.0,69.0,346.0,198.0,238.0,43.0,63.0,0.0,25.0,,,,
1704,ST JOSEPH HOSPITAL (200001),2017,Acute Care,Voluntary non-profit - Church,107.0,44.81453,-68.77126,ME,98.0,45.0,28.0,406.0,100.0,70.0,100.0,74.0,,,55.0,11.0,59.0,1544.0,,,94.0,393.0,,,2.0,26628.0,8.0,47.0,,,,,119.0,620.0,159.0,369.0,324.0,620.0,58.0,110.0,,,,,100.0,14.0
1705,MERCY HOSPITAL (200008),2017,Acute Care,Voluntary non-profit - Church,115.0,43.652088,-70.265209,ME,100.0,13.0,38.0,397.0,100.0,71.0,100.0,72.0,,,,,92.0,1961.0,,,94.0,507.0,,,2.0,22998.0,8.0,14.0,,,,,144.0,340.0,180.0,363.0,318.0,340.0,69.0,40.0,1.0,69.0,,,72.0,18.0
1706,MAINE MEDICAL CENTER (200009),2017,Acute Care,Voluntary non-profit - Private,630.0,43.652193,-70.275104,ME,,,48.0,398.0,100.0,69.0,98.0,98.0,,,,,74.0,7765.0,0.0,81.0,88.0,545.0,,,2.0,68340.0,,,,,,,108.0,525.0,256.0,358.0,326.0,529.0,28.0,136.0,0.0,27.0,98.0,42.0,85.0,85.0
1707,AROOSTOOK MEDICAL CENTER (200018),2017,Acute Care,Voluntary non-profit - Private,126.0,,,ME,100.0,24.0,27.0,400.0,95.0,130.0,98.0,188.0,,,,,79.0,936.0,,,96.0,262.0,,,1.0,14622.0,9.0,25.0,,,,,131.0,391.0,134.0,408.0,279.0,391.0,48.0,88.0,0.0,11.0,,,,
1708,SOUTHERN MAINE HEALTH CARE (200019),2017,Acute Care,Voluntary non-profit - Private,214.0,43.478436,-70.492174,ME,97.0,118.0,33.0,607.0,98.0,63.0,92.0,63.0,,,29.0,14.0,90.0,2373.0,,,96.0,554.0,,,4.0,55087.0,7.0,124.0,,,36.0,25.0,124.0,724.0,140.0,672.0,375.0,726.0,62.0,231.0,2.0,54.0,,,93.0,15.0
1709,YORK HOSPITAL (200020),2017,Acute Care,Voluntary non-profit - Private,63.0,43.142799,-70.651094,ME,,,9.0,407.0,90.0,88.0,99.0,79.0,,,55.0,11.0,94.0,1599.0,,,100.0,299.0,,,0.0,34107.0,,,,,,,61.0,471.0,112.0,380.0,242.0,471.0,38.0,68.0,0.0,12.0,,,,
1710,MID COAST HOSPITAL (200021),2017,Acute Care,Voluntary non-profit - Private,92.0,43.905661,-69.892006,ME,99.0,87.0,23.0,433.0,100.0,102.0,100.0,74.0,80.0,15.0,77.0,13.0,91.0,1761.0,,,97.0,413.0,,,1.0,28198.0,5.0,91.0,24.0,15.0,,,133.0,731.0,196.0,393.0,318.0,731.0,54.0,108.0,0.0,70.0,,,100.0,17.0
1711,CENTRAL MAINE MEDICAL CENTER (200024),2017,Acute Care,Voluntary non-profit - Private,233.0,44.100976,-70.214557,ME,,,24.0,405.0,96.0,74.0,100.0,99.0,,,84.0,19.0,79.0,2653.0,0.0,11.0,99.0,565.0,,,1.0,42086.0,,,,,,,127.0,637.0,151.0,380.0,320.0,640.0,59.0,120.0,0.0,68.0,,,85.0,39.0
1712,CARY MEDICAL CENTER (200031),2017,Acute Care,Government - Local,56.0,46.878237,-68.009639,ME,100.0,22.0,28.0,435.0,100.0,29.0,95.0,41.0,75.0,12.0,,,92.0,596.0,,,96.0,257.0,,,1.0,16767.0,6.0,23.0,22.0,12.0,,,75.0,402.0,106.0,413.0,278.0,403.0,52.0,53.0,0.0,22.0,,,,
1713,EASTERN MAINE MEDICAL CENTER (200033),2017,Acute Care,Voluntary non-profit - Private,356.0,,,ME,,,60.0,335.0,100.0,73.0,100.0,69.0,,,58.0,12.0,80.0,4428.0,0.0,56.0,99.0,527.0,,,3.0,35142.0,,,,,,,180.0,297.0,210.0,329.0,422.0,297.0,53.0,81.0,0.0,149.0,94.0,17.0,96.0,96.0
1714,ST MARYS REGIONAL MEDICAL CENTER (200034),2017,Acute Care,Voluntary non-profit - Private,311.0,44.101414,-70.198216,ME,97.0,59.0,21.0,413.0,100.0,77.0,100.0,72.0,,,,,90.0,2804.0,,,98.0,427.0,,,1.0,31616.0,9.0,62.0,,,49.0,13.0,125.0,367.0,145.0,357.0,345.0,367.0,60.0,83.0,0.0,39.0,,,100.0,12.0
1715,FRANKLIN MEMORIAL HOSPITAL (200037),2017,Acute Care,Voluntary non-profit - Private,48.0,44.625115,-70.161244,ME,92.0,50.0,42.0,449.0,88.0,129.0,91.0,116.0,,,,,91.0,919.0,,,99.0,274.0,,,2.0,16506.0,10.0,57.0,,,,,107.0,411.0,138.0,412.0,292.0,440.0,43.0,151.0,0.0,18.0,,,,
1716,MAINEGENERAL MEDICAL CENTER (200039),2017,Acute Care,Voluntary non-profit - Other,206.0,44.360853,-69.785718,ME,99.0,112.0,25.0,422.0,100.0,1108.0,98.0,1497.0,95.0,37.0,96.0,24.0,85.0,5041.0,0.0,11.0,99.0,518.0,,,1.0,52631.0,5.0,115.0,19.0,37.0,,,115.0,774.0,127.0,382.0,303.0,777.0,41.0,180.0,0.0,73.0,,,95.0,43.0
1717,INLAND HOSPITAL (200041),2017,Acute Care,Voluntary non-profit - Private,41.0,44.54269,-69.661405,ME,100.0,51.0,22.0,415.0,100.0,170.0,95.0,20.0,,,,,97.0,779.0,,,98.0,272.0,,,1.0,13563.0,0.0,50.0,,,,,100.0,348.0,116.0,396.0,264.0,350.0,41.0,50.0,0.0,57.0,,,,
1718,MAINE COAST MEMORIAL HOSPITAL (200050),2017,Acute Care,Voluntary non-profit - Other,47.0,44.546574,-68.415526,ME,100.0,56.0,24.0,462.0,93.0,166.0,100.0,261.0,,,,,97.0,682.0,,,98.0,265.0,,,0.0,13993.0,12.0,59.0,,,,,202.0,469.0,130.0,469.0,352.0,469.0,54.0,69.0,12.0,16.0,,,100.0,19.0
1719,NORTHERN MAINE MEDICAL CENTER (200052),2017,Acute Care,Voluntary non-profit - Private,94.0,47.265068,-68.591177,ME,100.0,26.0,11.0,406.0,98.0,47.0,100.0,121.0,,,,,96.0,408.0,,,100.0,264.0,,,0.0,6803.0,2.0,26.0,,,,,72.0,342.0,103.0,376.0,232.0,342.0,23.0,34.0,,,,,,
1720,PENOBSCOT BAY MEDICAL CENTER (200063),2017,Acute Care,Voluntary non-profit - Private,165.0,44.144434,-69.086537,ME,100.0,69.0,21.0,407.0,89.0,72.0,96.0,72.0,,,83.0,12.0,86.0,972.0,,,92.0,260.0,,,1.0,22924.0,8.0,71.0,,,,,132.0,411.0,138.0,378.0,302.0,411.0,32.0,72.0,6.0,17.0,,,94.0,16.0
1721,BLUE HILL MEMORIAL HOSPITAL (201300),2017,Critical Access,Voluntary non-profit - Private,25.0,44.41142,-68.586213,ME,100.0,24.0,22.0,225.0,,,,,,,,,92.0,412.0,,,99.0,153.0,,,,,4.0,24.0,,,,,180.0,87.0,119.0,214.0,328.0,178.0,86.0,51.0,,,,,,
1722,CHARLES A DEAN MEMORIAL HOSPITAL (201301),2017,Critical Access,Voluntary non-profit - Private,25.0,,,ME,,,14.0,63.0,,,,,,,,,,,,,92.0,24.0,,,0.0,1883.0,,,,,,,,,56.0,230.0,,,50.0,18.0,,,,,,
1723,ST ANDREWS HOSPITAL (201302),2017,Critical Access,Voluntary non-profit - Private,62.0,44.026199,-69.527164,ME,98.0,82.0,,,,,,,91.0,11.0,,,93.0,563.0,,,99.0,290.0,,,0.0,11781.0,6.0,82.0,15.0,11.0,,,102.0,393.0,,,280.0,453.0,54.0,60.0,0.0,11.0,,,,
1724,PENOBSCOT VALLEY HOSPITAL (201303),2017,Critical Access,Voluntary non-profit - Private,25.0,45.348733,-68.516258,ME,100.0,43.0,22.0,381.0,,,,,,,,,,,,,100.0,219.0,,,,,8.0,47.0,,,,,109.0,488.0,97.0,353.0,297.0,517.0,30.0,29.0,,,,,,
1725,MOUNT DESERT ISLAND HOSPITAL (201304),2017,Critical Access,Voluntary non-profit - Private,25.0,44.384369,-68.202331,ME,94.0,16.0,8.0,467.0,42.0,19.0,,,,,,,86.0,500.0,,,100.0,40.0,,,0.0,6497.0,6.0,16.0,,,,,138.0,174.0,156.0,437.0,316.0,174.0,17.0,19.0,,,,,,
1726,CALAIS REGIONAL HOSPITAL (201305),2017,Critical Access,Voluntary non-profit - Private,25.0,45.180639,-67.270521,ME,100.0,101.0,,,,,,,,,,,95.0,314.0,,,98.0,372.0,,,,,6.0,105.0,,,,,84.0,185.0,,,349.0,185.0,45.0,48.0,,,,,,
1727,RUMFORD  HOSPITAL (201306),2017,Critical Access,Voluntary non-profit - Private,25.0,44.551721,-70.557171,ME,,,22.0,203.0,,,,,,,,,98.0,420.0,,,,,,,,,,,,,,,,,130.0,195.0,,,62.0,15.0,,,,,,
1728,HOULTON REGIONAL HOSPITAL (201308),2017,Critical Access,Voluntary non-profit - Private,32.0,46.132962,-67.842644,ME,100.0,47.0,29.0,361.0,,,,,,,,,88.0,432.0,,,97.0,271.0,,,2.0,10673.0,8.0,48.0,,,,,51.0,201.0,141.0,337.0,315.0,203.0,50.0,28.0,,,,,,
1729,MAYO REGIONAL HOSPITAL (201309),2017,Critical Access,Government - Hospital District or Authority,25.0,45.186556,-69.237798,ME,99.0,68.0,23.0,619.0,,,,,,,50.0,12.0,,,,,95.0,364.0,,,3.0,11663.0,7.0,72.0,,,,,65.0,847.0,148.0,566.0,333.0,860.0,51.0,80.0,0.0,17.0,,,,
1730,BRIDGTON HOSPITAL (201310),2017,Critical Access,Voluntary non-profit - Private,25.0,44.047249,-70.712777,ME,100.0,12.0,18.0,201.0,,,,,,,,,94.0,408.0,,,,,,,,,8.0,12.0,,,,,,,116.0,192.0,,,64.0,31.0,,,,,,
1731,DOWN EAST COMMUNITY HOSPITAL (201311),2017,Critical Access,Voluntary non-profit - Private,25.0,44.713411,-67.477203,ME,96.0,57.0,28.0,295.0,,,,,,,,,77.0,406.0,,,94.0,144.0,,,2.0,9226.0,7.0,59.0,,,,,,,128.0,269.0,,,52.0,54.0,,,,,,
1732,WALDO COUNTY GENERAL HOSPITAL (201312),2017,Critical Access,Voluntary non-profit - Private,28.0,44.412759,-68.995102,ME,,,,,,,,,,,,,86.0,757.0,,,,,,,,,,,,,,,,,,,,,,,4.0,28.0,,,,
1733,SEBASTICOOK VALLEY HEALTH (201313),2017,Critical Access,Voluntary non-profit - Private,25.0,44.790826,-69.371269,ME,,,,,,,,,,,,,,,,,85.0,225.0,,,,,,,,,,,87.0,487.0,,,267.0,487.0,58.0,17.0,,,,,,
1734,REDINGTON FAIRVIEW GENERAL HOSPITAL (201314),2017,Critical Access,Voluntary non-profit - Other,25.0,44.758336,-69.713495,ME,93.0,90.0,21.0,406.0,,,,,,,80.0,15.0,95.0,878.0,,,100.0,226.0,,,1.0,22067.0,7.0,94.0,,,,,60.0,454.0,112.0,377.0,284.0,455.0,44.0,165.0,0.0,16.0,,,94.0,16.0
1735,STEPHENS MEMORIAL HOSPITAL (201315),2017,Critical Access,Voluntary non-profit - Private,25.0,44.209539,-70.532978,ME,100.0,57.0,28.0,394.0,100.0,72.0,100.0,67.0,,,,,95.0,738.0,,,95.0,317.0,,,1.0,3826.0,7.0,58.0,,,38.0,11.0,61.0,489.0,128.0,372.0,290.0,500.0,44.0,100.0,0.0,15.0,,,,
1736,MERITUS MEDICAL CENTER (210001),2017,Acute Care,Voluntary non-profit - Private,258.0,39.623764,-77.683344,MD,93.0,27.0,38.0,1469.0,95.0,20.0,97.0,30.0,,,85.0,20.0,99.0,6097.0,0.0,16.0,100.0,610.0,,,3.0,74173.0,6.0,28.0,,,,,185.0,876.0,207.0,1315.0,374.0,888.0,68.0,340.0,1.0,115.0,,,100.0,59.0
1737,UNIVERSITY OF MARYLAND MEDICAL CENTER (210002),2017,Acute Care,Voluntary non-profit - Private,764.0,39.28747,-76.623577,MD,,,60.0,381.0,90.0,174.0,75.0,73.0,,,,,96.0,13654.0,0.0,140.0,92.0,1124.0,,,3.0,62864.0,,,,,,,326.0,692.0,226.0,355.0,662.0,758.0,69.0,142.0,0.0,100.0,,,96.0,76.0
1738,PRINCE GEORGES  HOSPITAL CENTER (210003),2017,Acute Care,Voluntary non-profit - Private,273.0,38.930923,-76.922638,MD,95.0,154.0,36.0,396.0,53.0,38.0,91.0,74.0,,,,,72.0,2929.0,0.0,35.0,98.0,471.0,,,4.0,46375.0,25.0,159.0,,,,,303.0,741.0,181.0,357.0,587.0,742.0,80.0,223.0,4.0,167.0,100.0,11.0,90.0,58.0
1739,HOLY CROSS HOSPITAL (210004),2017,Acute Care,Voluntary non-profit - Church,443.0,39.016055,-77.034198,MD,96.0,25.0,69.0,299.0,92.0,13.0,96.0,26.0,,,,,100.0,4657.0,0.0,60.0,98.0,475.0,,,3.0,83844.0,8.0,26.0,,,,,210.0,406.0,243.0,289.0,463.0,407.0,54.0,209.0,1.0,121.0,,,100.0,100.0
1740,FREDERICK MEMORIAL HOSPITAL (210005),2017,Acute Care,Voluntary non-profit - Private,277.0,39.423745,-77.41407,MD,,,,,,,,,,,,,88.0,3743.0,0.0,28.0,99.0,498.0,,,,,,,,,,,108.0,648.0,,,335.0,659.0,,,0.0,44.0,71.0,14.0,89.0,76.0
1741,UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL (210006),2017,Acute Care,Voluntary non-profit - Private,87.0,39.54348,-76.091528,MD,100.0,76.0,35.0,401.0,,,,,,,79.0,29.0,94.0,1385.0,,,100.0,444.0,,,,,8.0,80.0,,,,,112.0,644.0,175.0,367.0,335.0,644.0,63.0,83.0,,,,,94.0,17.0
1742,MERCY MEDICAL CENTER INC (210008),2017,Acute Care,Voluntary non-profit - Church,254.0,39.29255,-76.61355,MD,100.0,39.0,37.0,407.0,92.0,180.0,100.0,174.0,,,,,99.0,4409.0,0.0,25.0,94.0,515.0,,,3.0,60295.0,7.0,40.0,,,,,130.0,288.0,152.0,357.0,362.0,288.0,36.0,34.0,2.0,81.0,,,100.0,11.0
1743,SAINT AGNES HOSPITAL (210011),2017,Acute Care,Voluntary non-profit - Church,290.0,39.272628,-76.670816,MD,100.0,11.0,60.0,420.0,,,,,,,41.0,22.0,98.0,4966.0,0.0,32.0,93.0,571.0,,,2.0,91354.0,13.0,14.0,,,,,128.0,804.0,190.0,402.0,370.0,804.0,72.0,263.0,0.0,46.0,100.0,26.0,96.0,82.0
1744,SINAI HOSPITAL OF BALTIMORE (210012),2017,Acute Care,Voluntary non-profit - Other,440.0,39.354645,-76.66233,MD,100.0,18.0,112.0,1275.0,100.0,49.0,100.0,76.0,,,95.0,20.0,96.0,6429.0,0.0,42.0,100.0,714.0,,,6.0,75362.0,13.0,18.0,,,,,239.0,759.0,287.0,1204.0,610.0,759.0,75.0,233.0,0.0,107.0,100.0,27.0,98.0,87.0
1745,BON SECOURS HOSPITAL (210013),2017,Acute Care,Voluntary non-profit - Private,89.0,39.288027,-76.648633,MD,,,20.0,393.0,,,,,,,,,95.0,959.0,,,81.0,419.0,,,,,,,,,,,169.0,455.0,140.0,320.0,366.0,455.0,72.0,71.0,,,,,,
1746,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER (210015),2017,Acute Care,Voluntary non-profit - Private,364.0,39.350335,-76.481012,MD,97.0,275.0,64.0,345.0,52.0,71.0,76.0,67.0,,,81.0,16.0,99.0,4073.0,0.0,22.0,96.0,487.0,,,4.0,99567.0,12.0,285.0,,,,,175.0,662.0,262.0,319.0,463.0,665.0,79.0,240.0,0.0,205.0,,,88.0,80.0
1747,ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL (210016),2017,Acute Care,Voluntary non-profit - Private,216.0,39.0506,-76.956948,MD,100.0,40.0,15.0,391.0,71.0,14.0,,,,,,,97.0,1926.0,0.0,24.0,99.0,496.0,,,1.0,45645.0,8.0,41.0,,,,,226.0,688.0,173.0,352.0,434.0,688.0,26.0,168.0,1.0,164.0,,,96.0,24.0
1748,GARRETT COUNTY MEMORIAL HOSPITAL (210017),2017,Acute Care,Voluntary non-profit - Private,36.0,39.413325,-79.40273,MD,98.0,135.0,32.0,890.0,99.0,78.0,100.0,203.0,100.0,18.0,92.0,13.0,91.0,543.0,,,97.0,908.0,,,1.0,19686.0,7.0,142.0,22.0,18.0,,,60.0,1230.0,97.0,844.0,206.0,1230.0,48.0,118.0,0.0,30.0,,,,
1749,MEDSTAR MONTGOMERY MEDICAL CENTER (210018),2017,Acute Care,Voluntary non-profit - Private,126.0,39.153858,-77.056819,MD,99.0,77.0,24.0,382.0,96.0,80.0,100.0,100.0,,,82.0,11.0,98.0,1528.0,0.0,11.0,97.0,546.0,,,1.0,37959.0,9.0,81.0,,,,,157.0,748.0,171.0,354.0,332.0,751.0,43.0,206.0,2.0,47.0,,,,
1750,PENINSULA REGIONAL MEDICAL CENTER (210019),2017,Acute Care,Voluntary non-profit - Private,298.0,38.363068,-75.599489,MD,,,37.0,331.0,99.0,156.0,94.0,104.0,,,,,99.0,4131.0,0.0,18.0,92.0,522.0,,,2.0,91178.0,,,,,,,152.0,728.0,136.0,353.0,310.0,728.0,58.0,243.0,0.0,36.0,,,100.0,45.0
1751,SUBURBAN HOSPITAL (210022),2017,Acute Care,Voluntary non-profit - Private,229.0,38.997251,-77.10922,MD,,,29.0,405.0,84.0,32.0,,,,,25.0,12.0,99.0,3503.0,3.0,32.0,97.0,582.0,,,1.0,44477.0,,,,,,,182.0,738.0,178.0,367.0,353.0,752.0,50.0,280.0,,,83.0,36.0,94.0,51.0
