,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
2209,RESEARCH MEDICAL CENTER (260027),2019,Acute Care,Proprietary,430.0,39.007169,-94.558731,MO,87.0,95.0,100.0,106.0,100.0,101.0,89.0,19.0,,,,,78.0,4153.0,0.0,56.0,99.0,683.0,,,0.0,75824.0,,,,,224.0,34.0,72.0,761.0,86.0,469.0,191.0,761.0,2.0,43.0
2210,BARNES JEWISH HOSPITAL (260032),2019,Acute Care,Voluntary non-profit - Other,1334.0,,,MO,22.0,99.0,95.0,137.0,84.0,153.0,100.0,96.0,,,,,96.0,14711.0,3.0,180.0,98.0,542.0,,,7.0,92804.0,18.0,12.0,,,336.0,38.0,252.0,480.0,320.0,426.0,465.0,481.0,2.0,47.0
2211,BATES COUNTY MEMORIAL HOSPITAL (260034),2019,Acute Care,Government - Local,45.0,38.249611,-94.343391,MO,44.0,43.0,86.0,14.0,88.0,24.0,,,,,,,91.0,411.0,,,91.0,282.0,,,0.0,9071.0,6.0,28.0,,,137.0,12.0,37.0,428.0,94.0,413.0,156.0,435.0,,
2212,COX MEDICAL CENTERS (260040),2019,Acute Care,Voluntary non-profit - Private,713.0,37.144966,-93.27808,MO,20.0,148.0,97.0,130.0,99.0,124.0,73.0,62.0,,,,,91.0,9443.0,9.0,33.0,95.0,848.0,,,3.0,117475.0,,,,,173.0,24.0,142.0,1008.0,194.0,367.0,330.0,1009.0,1.0,98.0
2213,CAPITAL REGION MEDICAL CENTER (260047),2019,Acute Care,Voluntary non-profit - Private,114.0,38.567018,-92.181588,MO,82.0,179.0,98.0,321.0,97.0,303.0,64.0,25.0,,,89.0,37.0,94.0,1775.0,,,97.0,501.0,,,1.0,35787.0,7.0,15.0,,,186.0,12.0,93.0,672.0,135.0,375.0,228.0,676.0,0.0,74.0
2214,TRUMAN MEDICAL CENTER HOSPITAL HILL (260048),2019,Acute Care,Voluntary non-profit - Private,241.0,39.084815,-94.575799,MO,39.0,62.0,82.0,72.0,86.0,71.0,,,,,,,97.0,4721.0,4.0,23.0,95.0,592.0,,,7.0,62892.0,,,,,322.0,44.0,170.0,694.0,212.0,300.0,396.0,700.0,0.0,13.0
2215,SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE (260050),2019,Acute Care,Voluntary non-profit - Church,55.0,40.326053,-94.874038,MO,71.0,51.0,80.0,55.0,100.0,105.0,,,,,,,99.0,546.0,,,100.0,399.0,,,1.0,7806.0,10.0,65.0,,,164.0,25.0,31.0,509.0,118.0,350.0,206.0,509.0,0.0,26.0
2216,MERCY HOSPITAL WASHINGTON (260052),2019,Acute Care,Voluntary non-profit - Private,160.0,38.5522,-91.002023,MO,35.0,104.0,99.0,84.0,94.0,84.0,88.0,25.0,,,89.0,28.0,100.0,1214.0,,,99.0,501.0,,,1.0,38763.0,8.0,41.0,,,212.0,17.0,177.0,459.0,122.0,370.0,211.0,460.0,2.0,83.0
2217,CAMERON REGIONAL MEDICAL CENTER (260057),2019,Acute Care,Voluntary non-profit - Private,54.0,39.731504,-94.218308,MO,24.0,51.0,90.0,58.0,88.0,50.0,,,,,100.0,11.0,99.0,595.0,,,94.0,309.0,,,1.0,10348.0,7.0,82.0,,,116.0,18.0,50.0,498.0,87.0,513.0,174.0,504.0,0.0,13.0
2218,MERCY HOSPITAL LEBANON (260059),2019,Acute Care,Voluntary non-profit - Church,49.0,37.681437,-92.635875,MO,30.0,92.0,100.0,84.0,82.0,84.0,,,,,80.0,15.0,99.0,705.0,,,99.0,244.0,,,4.0,30394.0,7.0,233.0,,,214.0,11.0,106.0,241.0,128.0,362.0,255.0,242.0,4.0,45.0
2219,NEVADA REGIONAL MEDICAL CENTER (260061),2019,Acute Care,Government - Local,70.0,37.830534,-94.359703,MO,53.0,38.0,79.0,61.0,94.0,81.0,,,,,,,94.0,581.0,,,89.0,234.0,,,2.0,10186.0,5.0,114.0,,,80.0,11.0,47.0,291.0,90.0,405.0,172.0,300.0,0.0,19.0
2220,SAINT LUKES NORTH HOSPITAL (260062),2019,Acute Care,Voluntary non-profit - Private,133.0,39.246883,-94.647898,MO,50.0,92.0,100.0,153.0,100.0,180.0,,,,,100.0,13.0,95.0,1117.0,,,99.0,537.0,,,3.0,36302.0,6.0,29.0,,,196.0,29.0,93.0,624.0,148.0,384.0,270.0,624.0,5.0,37.0
2221,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN (260064),2019,Acute Care,Voluntary non-profit - Private,56.0,39.172921,-91.877238,MO,36.0,74.0,99.0,120.0,98.0,55.0,,,,,,,89.0,593.0,,,95.0,258.0,,,1.0,13611.0,,,,,222.0,16.0,51.0,365.0,128.0,378.0,212.0,365.0,3.0,30.0
2222,MERCY HOSPITAL SPRINGFIELD (260065),2019,Acute Care,Voluntary non-profit - Church,690.0,37.177969,-93.275276,MO,26.0,136.0,100.0,108.0,98.0,92.0,100.0,29.0,,,,,91.0,7424.0,5.0,58.0,78.0,529.0,,,6.0,88423.0,8.0,15.0,,,482.0,28.0,111.0,541.0,234.0,360.0,306.0,543.0,0.0,53.0
2223,BOONE HOSPITAL CENTER (260068),2019,Acute Care,Voluntary non-profit - Other,328.0,38.950669,-92.317039,MO,37.0,124.0,94.0,106.0,100.0,117.0,,,,,,,83.0,3018.0,13.0,23.0,88.0,525.0,,,3.0,29119.0,,,,,196.0,16.0,90.0,444.0,178.0,462.0,240.0,444.0,3.0,37.0
2224,PEMISCOT COUNTY MEMORIAL HOSPITAL (260070),2019,Acute Care,Government - Hospital District or Authority,198.0,36.236855,-89.739975,MO,5.0,59.0,,,,,,,,,,,77.0,381.0,,,14.0,294.0,,,7.0,7928.0,30.0,31.0,,,168.0,36.0,65.0,283.0,154.0,490.0,216.0,286.0,,
2225,MOBERLY REGIONAL MEDICAL CENTER (260074),2019,Acute Care,Proprietary,75.0,39.423879,-92.414216,MO,68.0,99.0,98.0,50.0,100.0,48.0,,,,,,,69.0,405.0,,,100.0,304.0,,,1.0,12521.0,5.0,61.0,,,,,57.0,596.0,109.0,387.0,197.0,596.0,,
2226,MERCY HOSPITAL SOUTH (260077),2019,Acute Care,Voluntary non-profit - Private,746.0,38.509739,-90.37775,MO,27.0,194.0,100.0,71.0,100.0,71.0,95.0,39.0,,,71.0,17.0,93.0,6370.0,5.0,21.0,99.0,589.0,,,1.0,46495.0,,,,,244.0,23.0,182.0,784.0,198.0,382.0,290.0,784.0,0.0,45.0
2227,OZARKS MEDICAL CENTER (260078),2019,Acute Care,Voluntary non-profit - Other,104.0,36.737992,-91.875552,MO,58.0,223.0,97.0,156.0,99.0,76.0,60.0,25.0,,,,,75.0,1655.0,,,99.0,1186.0,,,3.0,27589.0,10.0,20.0,,,234.0,28.0,77.0,918.0,153.0,647.0,258.0,1462.0,0.0,99.0
2228,SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY (260080),2019,Acute Care,Voluntary non-profit - Private,22.0,,,MO,18.0,11.0,,,,,,,,,,,93.0,102.0,,,81.0,99.0,,,1.0,6405.0,7.0,32.0,,,,,75.0,209.0,119.0,343.0,247.0,209.0,,
2229,SSM HEALTH ST CLARE HOSPITAL - FENTON (260081),2019,Acute Care,Voluntary non-profit - Private,180.0,38.529043,-90.473625,MO,47.0,163.0,100.0,119.0,100.0,119.0,,,,,,,94.0,1881.0,7.0,15.0,97.0,543.0,,,2.0,42880.0,,,,,215.0,11.0,123.0,555.0,196.0,387.0,289.0,555.0,0.0,36.0
2230,ST JOSEPH MEDICAL CENTER (260085),2019,Acute Care,Voluntary non-profit - Private,183.0,38.934471,-94.605342,MO,82.0,74.0,97.0,30.0,98.0,43.0,,,,,,,89.0,1808.0,,,97.0,579.0,,,0.0,26637.0,,,,,120.0,12.0,102.0,935.0,129.0,377.0,233.0,936.0,,
2231,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS (260091),2019,Acute Care,Voluntary non-profit - Private,609.0,38.633943,-90.310138,MO,33.0,159.0,99.0,121.0,100.0,111.0,89.0,38.0,,,69.0,16.0,95.0,6624.0,0.0,19.0,96.0,496.0,,,4.0,61495.0,10.0,20.0,,,227.0,16.0,156.0,286.0,144.0,376.0,289.0,286.0,4.0,51.0
2232,COX MEDICAL CENTER BRANSON (260094),2019,Acute Care,Voluntary non-profit - Private,139.0,36.650541,-93.220376,MO,28.0,120.0,99.0,107.0,100.0,92.0,100.0,13.0,,,74.0,19.0,80.0,1625.0,,,96.0,630.0,,,2.0,30837.0,0.0,15.0,,,157.0,23.0,162.0,960.0,145.0,387.0,312.0,960.0,0.0,34.0
2233,CENTERPOINT MEDICAL CENTER (260095),2019,Acute Care,Voluntary non-profit - Private,246.0,39.047771,-94.349313,MO,57.0,153.0,97.0,64.0,99.0,92.0,100.0,14.0,,,74.0,23.0,38.0,2360.0,0.0,27.0,100.0,701.0,,,1.0,63187.0,,,,,327.0,18.0,127.0,1094.0,143.0,437.0,308.0,1094.0,3.0,38.0
2234,NORTH KANSAS CITY HOSPITAL (260096),2019,Acute Care,Government - Local,417.0,39.15081,-94.551852,MO,40.0,156.0,94.0,132.0,99.0,132.0,,,,,55.0,11.0,99.0,4500.0,0.0,21.0,97.0,587.0,,,2.0,71280.0,,,,,196.0,37.0,94.0,796.0,146.0,574.0,216.0,796.0,1.0,168.0
2235,WESTERN MISSOURI MEDICAL CENTER (260097),2019,Acute Care,Government - Hospital District or Authority,64.0,38.766474,-93.723701,MO,59.0,103.0,69.0,32.0,87.0,55.0,,,,,94.0,18.0,94.0,834.0,,,99.0,250.0,,,2.0,20757.0,8.0,96.0,,,195.0,20.0,85.0,245.0,118.0,403.0,271.0,245.0,3.0,34.0
2236,TRUMAN MEDICAL CENTER LAKEWOOD (260102),2019,Acute Care,Voluntary non-profit - Private,305.0,38.973583,-94.390407,MO,46.0,79.0,83.0,54.0,97.0,71.0,,,,,,,97.0,1558.0,,,98.0,353.0,,,3.0,28685.0,2.0,30.0,,,206.0,16.0,90.0,358.0,140.0,374.0,271.0,359.0,0.0,21.0
2237,SSM HEALTH DEPAUL HOSPITAL ST LOUIS (260104),2019,Acute Care,Voluntary non-profit - Private,490.0,38.748965,-90.432379,MO,32.0,156.0,98.0,121.0,99.0,120.0,76.0,55.0,,,,,94.0,3772.0,0.0,33.0,98.0,561.0,,,5.0,68913.0,6.0,16.0,,,352.0,42.0,160.0,488.0,227.0,345.0,346.0,488.0,0.0,52.0
2238,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL (260105),2019,Acute Care,Proprietary,316.0,38.622459,-90.239052,MO,30.0,103.0,99.0,116.0,97.0,95.0,86.0,22.0,,,,,96.0,4997.0,1.0,69.0,96.0,572.0,,,5.0,47034.0,12.0,26.0,,,380.0,41.0,291.0,507.0,279.0,317.0,492.0,508.0,,
2239,MISSOURI BAPTIST MEDICAL CENTER (260108),2019,Acute Care,Voluntary non-profit - Private,433.0,38.635532,-90.443636,MO,38.0,96.0,99.0,136.0,99.0,153.0,91.0,32.0,,,73.0,11.0,94.0,4747.0,0.0,11.0,94.0,489.0,,,2.0,42960.0,,,,,248.0,17.0,126.0,495.0,196.0,464.0,328.0,498.0,0.0,61.0
2240,SOUTHEASTHEALTH (260110),2019,Acute Care,Voluntary non-profit - Private,224.0,37.311273,-89.540936,MO,29.0,133.0,100.0,55.0,99.0,317.0,88.0,24.0,,,,,97.0,2536.0,,,82.0,522.0,,,1.0,35066.0,,,,,285.0,52.0,80.0,518.0,146.0,602.0,260.0,518.0,2.0,86.0
2241,MISSOURI DELTA MEDICAL CENTER (260113),2019,Acute Care,Voluntary non-profit - Other,147.0,36.889048,-89.584346,MO,48.0,145.0,69.0,32.0,100.0,27.0,,,,,,,100.0,881.0,,,98.0,331.0,,,3.0,21392.0,10.0,90.0,,,165.0,13.0,54.0,490.0,153.0,407.0,232.0,494.0,0.0,40.0
2242,POPLAR BLUFF REGIONAL MEDICAL CENTER (260119),2019,Acute Care,Proprietary,287.0,36.788987,-90.443287,MO,35.0,345.0,93.0,46.0,89.0,148.0,,,,,86.0,14.0,86.0,1343.0,5.0,19.0,97.0,535.0,,,2.0,36580.0,8.0,36.0,,,235.0,21.0,119.0,567.0,143.0,377.0,287.0,567.0,16.0,91.0
2243,FREEMAN HEALTH SYSTEM - FREEMAN WEST (260137),2019,Acute Care,Voluntary non-profit - Other,393.0,37.054408,-94.526884,MO,53.0,136.0,93.0,250.0,55.0,282.0,90.0,21.0,,,83.0,18.0,91.0,4371.0,4.0,27.0,94.0,515.0,,,1.0,45612.0,,,,,368.0,16.0,200.0,472.0,181.0,347.0,341.0,472.0,0.0,43.0
2244,ST LUKES HOSPITAL OF KANSAS CITY (260138),2019,Acute Care,Government - Hospital District or Authority,470.0,39.046134,-94.59015,MO,43.0,223.0,93.0,276.0,92.0,384.0,98.0,42.0,,,,,92.0,5104.0,0.0,44.0,100.0,548.0,,,2.0,44796.0,,,,,232.0,26.0,78.0,522.0,164.0,444.0,234.0,526.0,0.0,60.0
2245,UNIVERSITY OF MISSOURI HEALTH CARE (260141),2019,Acute Care,Government - State,529.0,,,MO,88.0,456.0,100.0,64.0,100.0,89.0,100.0,20.0,,,,,99.0,8425.0,0.0,63.0,99.0,518.0,,,1.0,75310.0,,,,,332.0,32.0,76.0,470.0,141.0,479.0,251.0,473.0,0.0,89.0
2246,FITZGIBBON HOSPITAL (260142),2019,Acute Care,Voluntary non-profit - Private,51.0,,,MO,49.0,75.0,85.0,133.0,92.0,150.0,,,,,,,96.0,664.0,,,87.0,259.0,,,1.0,10665.0,13.0,66.0,,,144.0,18.0,29.0,346.0,86.0,408.0,134.0,354.0,0.0,15.0
2247,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY (260160),2019,Acute Care,Proprietary,47.0,36.807432,-89.969973,MO,39.0,28.0,88.0,16.0,96.0,26.0,,,,,,,98.0,259.0,,,23.0,369.0,,,10.0,10364.0,8.0,97.0,29.0,11.0,179.0,13.0,85.0,689.0,157.0,315.0,273.0,688.0,,
2248,BARNES-JEWISH WEST COUNTY HOSPITAL (260162),2019,Acute Care,Voluntary non-profit - Private,75.0,38.676997,-90.466227,MO,36.0,56.0,93.0,128.0,83.0,153.0,100.0,20.0,,,,,91.0,1421.0,,,99.0,301.0,,,3.0,11150.0,12.0,50.0,,,,,53.0,188.0,182.0,441.0,271.0,188.0,,
2249,PARKLAND HEALTH CENTER (260163),2019,Acute Care,Voluntary non-profit - Private,105.0,37.780624,-90.438195,MO,28.0,80.0,100.0,139.0,94.0,134.0,,,,,80.0,49.0,88.0,967.0,,,80.0,286.0,,,3.0,45821.0,9.0,275.0,84.0,36.0,514.0,28.0,79.0,378.0,186.0,419.0,291.0,379.0,2.0,43.0
2250,GOLDEN VALLEY MEMORIAL HOSPITAL (260175),2019,Acute Care,Government - Hospital District or Authority,49.0,38.391389,-93.770506,MO,37.0,130.0,97.0,315.0,74.0,50.0,,,,,91.0,11.0,97.0,1027.0,,,96.0,255.0,,,2.0,16032.0,5.0,202.0,,,271.0,28.0,94.0,338.0,171.0,361.0,281.0,338.0,3.0,29.0
2251,ST LUKE'S DES PERES HOSPITAL (260176),2019,Acute Care,Proprietary,109.0,38.581081,-90.450408,MO,41.0,37.0,91.0,81.0,94.0,88.0,,,,,,,97.0,961.0,,,99.0,468.0,,,0.0,7336.0,,,,,155.0,16.0,85.0,266.0,152.0,390.0,212.0,269.0,,
2252,LIBERTY HOSPITAL (260177),2019,Acute Care,Government - Hospital District or Authority,215.0,39.276757,-94.424343,MO,70.0,107.0,100.0,46.0,100.0,78.0,,,,,,,96.0,1929.0,,,95.0,657.0,,,2.0,32144.0,,,,,243.0,40.0,69.0,808.0,142.0,679.0,213.0,808.0,0.0,54.0
2253,ST LUKES HOSPITAL (260179),2019,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,36.0,289.0,94.0,248.0,94.0,552.0,,,,,,,95.0,5412.0,27.0,22.0,92.0,559.0,,,1.0,32117.0,,,,,190.0,26.0,74.0,647.0,179.0,684.0,221.0,649.0,2.0,147.0
2254,CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST (260180),2019,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,18.0,128.0,99.0,181.0,99.0,185.0,100.0,16.0,,,70.0,30.0,95.0,3169.0,0.0,16.0,96.0,572.0,,,3.0,110206.0,8.0,63.0,,,,,188.0,839.0,136.0,476.0,423.0,840.0,,
2255,SAINT FRANCIS MEDICAL CENTER (260183),2019,Acute Care,Voluntary non-profit - Church,290.0,,,MO,74.0,650.0,100.0,33.0,100.0,65.0,87.0,15.0,,,94.0,17.0,97.0,3479.0,,,100.0,574.0,,,2.0,44739.0,,,,,,,49.0,660.0,152.0,403.0,203.0,672.0,0.0,16.0
2256,LAKE REGIONAL HEALTH SYSTEM (260186),2019,Acute Care,Voluntary non-profit - Other,116.0,38.118486,-92.681085,MO,63.0,303.0,97.0,297.0,98.0,256.0,,,,,83.0,18.0,99.0,1668.0,,,97.0,598.0,,,2.0,32384.0,,,,,224.0,34.0,89.0,959.0,142.0,691.0,257.0,969.0,0.0,63.0
2257,LEE'S SUMMIT MEDICAL CENTER (260190),2019,Acute Care,Proprietary,71.0,38.902285,-94.332151,MO,51.0,82.0,100.0,105.0,100.0,101.0,,,,,,,94.0,922.0,,,100.0,555.0,,,1.0,20195.0,,,,,134.0,19.0,76.0,895.0,119.0,514.0,207.0,899.0,,
2258,BARNES-JEWISH ST PETERS HOSPITAL (260191),2019,Acute Care,Voluntary non-profit - Other,115.0,38.792719,-90.579377,MO,24.0,89.0,93.0,85.0,90.0,137.0,100.0,29.0,,,82.0,17.0,97.0,1453.0,,,90.0,490.0,,,3.0,26455.0,7.0,25.0,,,202.0,12.0,109.0,805.0,192.0,472.0,299.0,805.0,,
2259,ST MARY'S MEDICAL CENTER (260193),2019,Acute Care,Voluntary non-profit - Church,98.0,39.023528,-94.266042,MO,85.0,59.0,,,,,,,,,,,91.0,1159.0,,,99.0,469.0,,,0.0,27108.0,17.0,11.0,,,200.0,19.0,87.0,819.0,100.0,388.0,220.0,820.0,,
2260,CITIZENS MEMORIAL HOSPITAL (260195),2019,Acute Care,Government - Hospital District or Authority,70.0,37.625971,-93.420915,MO,43.0,138.0,97.0,185.0,95.0,344.0,,,,,63.0,19.0,97.0,1637.0,,,94.0,296.0,,,4.0,19371.0,7.0,25.0,,,347.0,72.0,65.0,357.0,157.0,1041.0,199.0,358.0,0.0,45.0
2261,SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS (260200),2019,Acute Care,Voluntary non-profit - Church,157.0,38.803742,-90.774423,MO,42.0,160.0,98.0,44.0,98.0,103.0,,,,,83.0,30.0,94.0,1756.0,0.0,12.0,99.0,533.0,,,2.0,46506.0,6.0,19.0,,,,,85.0,503.0,191.0,381.0,259.0,503.0,0.0,27.0
2262,FULTON MEDICAL CENTER LLC (260209),2019,Acute Care,Voluntary non-profit - Private,35.0,38.842247,-91.966202,MO,,,96.0,24.0,100.0,16.0,,,,,,,87.0,112.0,,,82.0,17.0,,,2.0,8404.0,9.0,44.0,,,123.0,12.0,60.0,40.0,93.0,388.0,190.0,41.0,,
2263,ST ALEXIUS HOSPITAL (260210),2019,Acute Care,Proprietary,172.0,38.583359,-90.227557,MO,40.0,15.0,100.0,47.0,62.0,21.0,,,,,,,99.0,827.0,,,98.0,282.0,,,2.0,15093.0,,,,,329.0,122.0,89.0,210.0,152.0,1219.0,330.0,210.0,,
2264,BELTON REGIONAL MEDICAL CENTER (260214),2019,Acute Care,Voluntary non-profit - Private,71.0,,,MO,84.0,61.0,100.0,101.0,100.0,84.0,,,,,100.0,21.0,89.0,792.0,,,100.0,465.0,,,0.0,29280.0,5.0,54.0,39.0,11.0,111.0,12.0,70.0,876.0,82.0,438.0,193.0,876.0,,
2265,SAINT LUKE'S EAST HOSPITAL (260216),2019,Acute Care,Voluntary non-profit - Private,168.0,38.940551,-94.378443,MO,72.0,134.0,100.0,32.0,85.0,209.0,100.0,42.0,,,63.0,27.0,94.0,2004.0,0.0,11.0,99.0,532.0,,,3.0,51083.0,7.0,27.0,,,214.0,13.0,85.0,701.0,172.0,387.0,265.0,702.0,0.0,41.0
2266,PROGRESS WEST HOSPITAL (260219),2019,Acute Care,Voluntary non-profit - Private,71.0,38.715097,-90.696597,MO,27.0,75.0,100.0,56.0,98.0,128.0,,,,,,,96.0,1228.0,,,91.0,306.0,,,2.0,23450.0,6.0,11.0,,,234.0,13.0,88.0,376.0,166.0,469.0,282.0,376.0,4.0,46.0
2267,BLACK RIVER COMMUNITY MEDICAL CENTER (260227),2019,Acute Care,Voluntary non-profit - Private,5.0,36.770882,-90.456445,MO,,,100.0,65.0,86.0,74.0,,,,,,,82.0,208.0,,,87.0,179.0,,,2.0,10988.0,8.0,100.0,,,,,36.0,256.0,90.0,376.0,180.0,256.0,,
2268,PUTNAM COUNTY MEMORIAL HOSPITAL (261305),2019,Critical Access,Voluntary non-profit - Other,18.0,40.482025,-93.005987,MO,,,,,,,,,,,,,,,,,,,,,0.0,1268.0,,,,,,,18.0,28.0,95.0,133.0,118.0,28.0,,
2269,SULLIVAN COUNTY MEMORIAL HOSPITAL (261306),2019,Critical Access,Government - Local,24.0,40.202174,-93.131136,MO,,,,,,,,,,,,,86.0,111.0,,,85.0,65.0,,,0.0,2184.0,,,,,,,28.0,64.0,84.0,195.0,147.0,85.0,,
2270,WASHINGTON COUNTY MEMORIAL HOSPITAL (261308),2019,Critical Access,Government - Local,25.0,37.92599,-90.773133,MO,,,,,,,,,,,91.0,11.0,87.0,395.0,,,73.0,273.0,,,1.0,12802.0,9.0,105.0,46.0,14.0,270.0,20.0,108.0,481.0,130.0,413.0,263.0,483.0,,
2271,WRIGHT MEMORIAL HOSPITAL (261309),2019,Critical Access,Voluntary non-profit - Private,21.0,40.068275,-93.579936,MO,81.0,36.0,,,,,,,,,,,98.0,300.0,,,99.0,157.0,,,1.0,5738.0,5.0,45.0,,,198.0,15.0,45.0,251.0,124.0,345.0,219.0,251.0,,
2272,SCOTLAND COUNTY  HOSPITAL (261310),2019,Critical Access,Government - Hospital District or Authority,25.0,40.466023,-92.168171,MO,,,91.0,35.0,100.0,38.0,,,,,,,,,,,81.0,252.0,,,1.0,3144.0,12.0,22.0,,,,,74.0,254.0,122.0,176.0,246.0,276.0,5.0,21.0
2273,PERRY COUNTY MEMORIAL HOSPITAL (261311),2019,Critical Access,Government - Local,25.0,37.73162,-89.864801,MO,,,,,,,,,,,,,95.0,817.0,,,93.0,296.0,,,2.0,8779.0,,,,,196.0,12.0,44.0,670.0,122.0,413.0,194.0,670.0,,
2274,HARRISON COUNTY COMMUNITY HOSPITAL (261312),2019,Critical Access,Government - Hospital District or Authority,15.0,40.265292,-94.026145,MO,,,,,,,,,,,,,91.0,294.0,,,100.0,31.0,,,1.0,4691.0,14.0,16.0,,,166.0,11.0,48.0,64.0,113.0,165.0,214.0,67.0,,
2275,MACON COUNTY SAMARITAN MEMORIAL HOSPITAL (261313),2019,Critical Access,Government - Local,25.0,39.747885,-92.468031,MO,,,,,,,,,,,,,,,,,,,,,1.0,4878.0,,,,,,,,,,,,,,
2276,MERCY HOSPITAL AURORA (261316),2019,Critical Access,Voluntary non-profit - Church,24.0,36.97051,-93.710962,MO,,,91.0,32.0,55.0,11.0,,,,,,,100.0,238.0,,,94.0,213.0,,,1.0,12057.0,10.0,68.0,,,,,,,104.0,371.0,,,0.0,24.0
2277,MERCY HOSPITAL CASSVILLE (261317),2019,Critical Access,Voluntary non-profit - Church,20.0,36.674077,-93.871886,MO,,,64.0,22.0,84.0,50.0,,,,,,,100.0,169.0,,,80.0,117.0,,,2.0,12073.0,8.0,70.0,,,,,,,110.0,355.0,,,,
2278,MERCY HOSPITAL LINCOLN (261319),2019,Critical Access,Government - Local,25.0,38.983989,-90.964767,MO,,,100.0,46.0,100.0,36.0,,,,,,,100.0,419.0,,,98.0,266.0,,,0.0,13034.0,8.0,94.0,,,151.0,14.0,,,120.0,351.0,,,,
2279,LAFAYETTE REGIONAL HEALTH CENTER (261320),2019,Critical Access,Proprietary,25.0,39.189146,-93.877065,MO,94.0,16.0,100.0,32.0,100.0,17.0,,,,,,,94.0,467.0,,,100.0,295.0,,,1.0,8681.0,7.0,31.0,,,126.0,17.0,42.0,523.0,101.0,403.0,154.0,523.0,,
