,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
2508,KINGS COUNTY HOSPITAL CENTER (330202),2020,Acute Care,Government - Local,633.0,40.655773,-73.944039,NY,1.267,16.0,12.633,8714.0,0.549,33.0,60.065,92741.0,0.765,9932.0,8.0,10.464,0.838,5.0,5.97,100733.0,,108.0,3.0,0.982,76.0,3.0,2.31,1.299
2509,CROUSE HOSPITAL (330203),2020,Acute Care,Voluntary non-profit - Private,498.0,43.041666,-76.137853,NY,0.553,7.0,12.65,13336.0,0.513,29.0,56.488,76580.0,1.235,14403.0,19.0,15.382,0.86,5.0,5.811,103539.0,0.455,532.0,2.0,4.394,264.0,7.0,6.698,1.045
2510,BELLEVUE HOSPITAL CENTER (330204),2020,Acute Care,Government - Local,904.0,40.740079,-73.97625,NY,1.486,20.0,13.463,8763.0,0.557,43.0,77.233,102218.0,1.327,12205.0,18.0,13.566,0.85,8.0,9.412,112964.0,,80.0,0.0,0.602,93.0,4.0,2.518,1.589
2511,ST ANTHONY COMMUNITY HOSPITAL (330205),2020,Acute Care,Voluntary non-profit - Church,64.0,41.261094,-74.356945,NY,,0.0,0.476,918.0,0.313,1.0,3.192,6960.0,,382.0,0.0,0.238,,0.0,0.244,7632.0,,39.0,0.0,0.266,15.0,0.0,0.367,
2512,ST JOHN'S RIVERSIDE HOSPITAL (330208),2020,Acute Care,Voluntary non-profit - Private,346.0,40.96784,-73.885107,NY,1.493,8.0,5.36,5256.0,0.432,12.0,27.775,96308.0,0.0,3417.0,0.0,3.034,0.0,0.0,4.4,99884.0,,70.0,2.0,0.503,58.0,0.0,1.474,0.0
2513,CLAXTON-HEPBURN MEDICAL CENTER (330211),2020,Acute Care,Voluntary non-profit - Private,110.0,44.692091,-75.499934,NY,0.0,0.0,1.313,1909.0,1.748,13.0,7.438,10585.0,2.022,2173.0,3.0,1.484,,1.0,0.463,11084.0,,7.0,0.0,0.061,14.0,0.0,0.331,
2514,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER (330214),2020,Acute Care,Voluntary non-profit - Private,1085.0,40.74226,-73.974661,NY,0.619,23.0,37.165,25836.0,0.593,106.0,178.888,267787.0,0.843,36565.0,34.0,40.343,0.426,7.0,16.451,302981.0,0.564,467.0,2.0,3.547,687.0,12.0,17.992,0.667
2515,"ROME MEMORIAL HOSPITAL, INC (330215)",2020,Acute Care,Voluntary non-profit - Private,176.0,43.228954,-75.444248,NY,,0.0,0.387,707.0,1.725,7.0,4.057,7255.0,,375.0,0.0,0.248,,0.0,0.153,7932.0,,4.0,0.0,0.038,17.0,0.0,0.452,
2516,OSWEGO HOSPITAL (330218),2020,Acute Care,Voluntary non-profit - Private,164.0,43.454141,-76.516001,NY,0.0,0.0,1.173,2275.0,0.363,2.0,5.508,12017.0,,839.0,0.0,0.502,,0.0,0.523,13140.0,,34.0,3.0,0.357,26.0,2.0,0.702,
2517,ERIE COUNTY MEDICAL CENTER (330219),2020,Acute Care,Voluntary non-profit - Private,931.0,42.927236,-78.829151,NY,0.447,14.0,31.324,18047.0,0.55,35.0,63.628,101549.0,0.338,14554.0,6.0,17.777,0.904,9.0,9.951,101549.0,,,,,85.0,2.0,2.713,0.737
2518,WYCKOFF HEIGHTS MEDICAL CENTER (330221),2020,Acute Care,Voluntary non-profit - Private,260.0,40.704699,-73.917648,NY,1.175,4.0,3.405,2747.0,0.379,12.0,31.704,51592.0,0.562,5193.0,3.0,5.341,0.875,2.0,2.285,56718.0,,75.0,2.0,0.609,52.0,1.0,1.542,0.649
2519,SARATOGA HOSPITAL (330222),2020,Acute Care,Voluntary non-profit - Private,189.0,43.084794,-73.796223,NY,0.759,5.0,6.589,7167.0,0.376,9.0,23.908,57084.0,0.664,5387.0,3.0,4.515,0.476,1.0,2.099,58518.0,,51.0,0.0,0.39,167.0,10.0,4.083,2.449
2520,MASSENA HOSPITAL INC (330223),2020,Acute Care,Government - Local,42.0,44.936344,-74.907828,NY,,0.0,0.467,912.0,1.39,2.0,1.439,6007.0,,88.0,0.0,0.052,,0.0,0.135,6392.0,,7.0,0.0,0.079,4.0,0.0,0.126,
2521,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS (330224),2020,Acute Care,Voluntary non-profit - Church,120.0,41.922453,-73.999335,NY,,0.0,0.111,170.0,0.426,1.0,2.348,7426.0,,130.0,0.0,0.084,,0.0,0.28,7426.0,,,,,,,,
2522,UNITY HOSPITAL (330226),2020,Acute Care,Voluntary non-profit - Private,470.0,43.191544,-77.701464,NY,0.881,12.0,13.625,11278.0,0.779,44.0,56.471,85900.0,0.454,17413.0,8.0,17.617,0.757,3.0,3.963,89239.0,0.0,169.0,0.0,1.427,199.0,2.0,5.068,0.395
2523,"BROOKS-TLC HOSPITAL SYSTEM, INC (330229)",2020,Acute Care,Voluntary non-profit - Private,65.0,42.480106,-79.333617,NY,,0.0,0.688,1345.0,0.0,0.0,3.253,6847.0,,473.0,0.0,0.295,,0.0,0.258,7457.0,,11.0,0.0,0.094,7.0,0.0,0.18,
2524,QUEENS HOSPITAL CENTER (330231),2020,Acute Care,Government - Local,262.0,40.71698,-73.803431,NY,1.068,6.0,5.62,4432.0,0.416,14.0,33.687,54893.0,0.298,6275.0,2.0,6.701,0.618,2.0,3.238,60685.0,,67.0,0.0,0.549,49.0,1.0,1.331,0.751
2525,BROOKDALE HOSPITAL MEDICAL CENTER (330233),2020,Acute Care,Voluntary non-profit - Private,863.0,40.6545,-73.91275,NY,0.944,10.0,10.592,9674.0,0.196,6.0,30.689,68515.0,0.877,9359.0,8.0,9.124,0.84,5.0,5.952,74903.0,,67.0,0.0,0.576,87.0,4.0,2.615,1.53
2526,WESTCHESTER MEDICAL CENTER (330234),2020,Acute Care,Government - Hospital District or Authority,830.0,41.08768,-73.803897,NY,1.057,44.0,41.611,23123.0,0.962,123.0,127.884,164817.0,0.792,36117.0,34.0,42.936,1.847,24.0,12.995,185388.0,1.224,318.0,3.0,2.451,202.0,6.0,5.868,1.022
2527,AUBURN  COMMUNITY  HOSPITAL (330235),2020,Acute Care,Voluntary non-profit - Private,179.0,42.940761,-76.564607,NY,0.375,1.0,2.667,3927.0,0.749,9.0,12.009,15373.0,,1118.0,2.0,0.776,,0.0,0.655,16144.0,,19.0,0.0,0.179,24.0,0.0,0.662,
2528,NEW YORK-PRESBYTERIAN/BROOKLYN METHODIST HOSPITAL (330236),2020,Acute Care,Voluntary non-profit - Private,586.0,40.668263,-73.979141,NY,0.943,20.0,21.2,17200.0,0.807,93.0,115.173,156954.0,0.579,15783.0,10.0,17.272,0.34,4.0,11.766,174481.0,0.0,231.0,0.0,2.007,181.0,2.0,4.566,0.438
2529,NICHOLAS H NOYES MEMORIAL HOSPITAL (330238),2020,Acute Care,Voluntary non-profit - Private,68.0,42.55213,-77.700356,NY,,0.0,0.771,1412.0,0.21,1.0,4.755,8832.0,,750.0,2.0,0.464,,0.0,0.272,9552.0,,18.0,0.0,0.158,23.0,1.0,0.628,
2530,UPMC CHAUTAUQUA AT WCA (330239),2020,Acute Care,Voluntary non-profit - Private,217.0,42.091237,-79.23295,NY,0.687,2.0,2.91,4101.0,0.708,11.0,15.541,22975.0,2.107,2753.0,4.0,1.898,0.903,1.0,1.107,24407.0,,14.0,0.0,0.15,51.0,1.0,1.292,0.774
2531,HARLEM HOSPITAL CENTER (330240),2020,Acute Care,Government - Local,280.0,40.814482,-73.940495,NY,0.399,2.0,5.011,3726.0,0.407,13.0,31.951,54649.0,0.501,4909.0,3.0,5.989,1.372,6.0,4.373,58282.0,,21.0,1.0,0.178,28.0,1.0,0.985,
2532,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER (330241),2020,Acute Care,Government - State,734.0,43.042677,-76.139323,NY,1.256,54.0,42.985,26676.0,0.579,46.0,79.426,157224.0,0.399,37624.0,16.0,40.15,0.679,10.0,14.734,159433.0,,114.0,3.0,0.963,314.0,12.0,9.169,1.309
2533,ST ELIZABETH MEDICAL CENTER (330245),2020,Acute Care,Voluntary non-profit - Private,201.0,43.083646,-75.267158,NY,1.715,12.0,6.997,8875.0,1.166,38.0,32.588,48363.0,1.691,5754.0,8.0,4.731,1.009,3.0,2.973,48363.0,,11.0,0.0,0.095,84.0,1.0,2.153,0.464
2534,ST CHARLES HOSPITAL (330246),2020,Acute Care,Voluntary non-profit - Church,239.0,40.947392,-73.059832,NY,1.289,4.0,3.102,3158.0,0.823,25.0,30.361,46230.0,0.0,1730.0,0.0,1.618,0.384,1.0,2.601,49898.0,,66.0,0.0,0.481,53.0,0.0,1.373,0.0
2535,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR (330250),2020,Acute Care,Voluntary non-profit - Private,375.0,44.700122,-73.466647,NY,0.0,0.0,3.505,4493.0,1.074,37.0,34.452,53206.0,0.567,4417.0,2.0,3.529,0.716,2.0,2.794,54708.0,,113.0,1.0,0.943,102.0,5.0,2.597,1.925
2536,MERCY MEDICAL CENTER (330259),2020,Acute Care,Voluntary non-profit - Private,375.0,40.688191,-73.633236,NY,0.0,0.0,4.082,3192.0,0.382,11.0,28.791,43781.0,0.0,1929.0,0.0,2.175,0.0,0.0,3.587,47330.0,,39.0,0.0,0.288,50.0,1.0,1.328,0.753
2537,PHELPS MEMORIAL HOSPITAL CENTER (330261),2020,Acute Care,Voluntary non-profit - Other,205.0,41.107555,-73.859639,NY,2.425,5.0,2.062,2530.0,0.514,10.0,19.467,38835.0,1.101,2252.0,2.0,1.816,0.0,0.0,1.879,41217.0,,20.0,0.0,0.128,41.0,0.0,1.017,0.0
2538,ST LUKE'S CORNWALL HOSPITAL (330264),2020,Acute Care,Voluntary non-profit - Other,192.0,41.503744,-74.015176,NY,0.0,0.0,4.237,6233.0,0.55,14.0,25.453,43037.0,0.0,5048.0,0.0,3.523,0.499,1.0,2.004,46817.0,,29.0,1.0,0.249,61.0,0.0,1.773,0.0
2539,CLIFTON SPRINGS HOSPITAL AND CLINIC (330265),2020,Acute Care,Voluntary non-profit - Private,208.0,42.960473,-77.139252,NY,,0.0,0.484,883.0,0.299,2.0,6.694,15986.0,,1291.0,0.0,0.768,,0.0,0.454,15986.0,,3.0,0.0,0.021,7.0,0.0,0.196,
2540,HUDSON VALLEY HOSPITAL CENTER (330267),2020,Acute Care,Voluntary non-profit - Private,127.0,41.291457,-73.893601,NY,1.422,2.0,1.406,2070.0,0.813,15.0,18.446,31377.0,0.0,1806.0,0.0,1.224,2.188,3.0,1.371,32998.0,,10.0,0.0,0.09,54.0,1.0,1.431,0.699
2541,HOSPITAL FOR SPECIAL SURGERY (330270),2020,Acute Care,Voluntary non-profit - Private,202.0,40.764866,-73.953128,NY,0.66,3.0,4.548,3910.0,0.356,3.0,8.423,47051.0,0.415,2828.0,1.0,2.41,0.0,0.0,1.08,47051.0,,,,,,,,
2542,PUTNAM HOSPITAL CENTER (330273),2020,Acute Care,Voluntary non-profit - Private,144.0,41.384844,-73.664475,NY,0.48,1.0,2.083,2590.0,0.388,3.0,7.725,17846.0,0.0,1857.0,0.0,1.439,,0.0,0.866,18781.0,,74.0,1.0,0.532,63.0,1.0,1.626,0.615
2543,NATHAN LITTAUER HOSPITAL (330276),2020,Acute Care,Voluntary non-profit - Private,149.0,43.068029,-74.330817,NY,,0.0,0.777,1498.0,1.858,5.0,2.691,7520.0,,1336.0,1.0,0.831,,1.0,0.298,8362.0,,30.0,0.0,0.284,11.0,0.0,0.291,
2544,CORNING HOSPITAL (330277),2020,Acute Care,Voluntary non-profit - Private,72.0,42.136107,-76.969841,NY,0.637,1.0,1.57,3001.0,0.734,6.0,8.174,14434.0,,1062.0,0.0,0.644,,0.0,0.617,15239.0,,35.0,0.0,0.279,14.0,0.0,0.329,
2545,MERCY HOSPITAL OF BUFFALO (330279),2020,Acute Care,Voluntary non-profit - Private,470.0,42.847875,-78.811876,NY,0.387,9.0,23.264,19083.0,0.484,34.0,70.265,94497.0,0.324,11860.0,4.0,12.352,0.368,3.0,8.156,100556.0,0.0,228.0,0.0,1.802,253.0,6.0,6.871,0.873
2546,STRONG MEMORIAL HOSPITAL (330285),2020,Acute Care,Voluntary non-profit - Private,822.0,43.124394,-77.623692,NY,0.992,37.0,37.28,22984.0,0.81,148.0,182.771,239183.0,0.673,52706.0,40.0,59.462,0.559,12.0,21.461,268651.0,3.046,151.0,4.0,1.313,379.0,17.0,10.301,1.65
2547,GOOD SAMARITAN HOSPITAL MEDICAL CENTER (330286),2020,Acute Care,Voluntary non-profit - Church,437.0,40.696807,-73.286321,NY,0.567,10.0,17.649,11696.0,0.586,42.0,71.621,106083.0,0.325,10933.0,4.0,12.289,1.76,11.0,6.251,118503.0,0.578,425.0,2.0,3.458,281.0,10.0,7.371,1.357
2548,WHITE PLAINS HOSPITAL CENTER (330304),2020,Acute Care,Voluntary non-profit - Private,292.0,,,NY,0.786,5.0,6.359,7679.0,0.299,16.0,53.522,83640.0,0.416,6009.0,2.0,4.812,0.832,3.0,3.605,91308.0,0.0,406.0,0.0,2.657,220.0,3.0,5.016,0.598
2549,CAYUGA MEDICAL CENTER AT ITHACA (330307),2020,Acute Care,Voluntary non-profit - Private,174.0,42.467096,-76.538808,NY,1.72,4.0,2.325,3435.0,0.438,7.0,15.991,28093.0,0.693,2102.0,1.0,1.444,0.0,0.0,1.113,30254.0,,11.0,0.0,0.086,52.0,2.0,1.392,1.437
2550,PLAINVIEW HOSPITAL (330331),2020,Acute Care,Voluntary non-profit - Private,169.0,40.774456,-73.478063,NY,0.574,2.0,3.483,3533.0,0.416,10.0,24.012,38268.0,0.969,2345.0,2.0,2.063,1.363,3.0,2.201,38268.0,,37.0,0.0,0.297,98.0,1.0,2.583,0.387
2551,CHSLI ST JOSEPH HOSPITAL (330332),2020,Acute Care,Voluntary non-profit - Private,201.0,40.725795,-73.478755,NY,0.384,1.0,2.601,3756.0,0.339,6.0,17.702,28947.0,0.0,2255.0,0.0,1.602,1.587,2.0,1.26,28947.0,,1.0,0.0,0.008,26.0,0.0,0.638,
2552,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN (330350),2020,Acute Care,Government - State,450.0,40.654457,-73.94516,NY,1.108,5.0,4.512,4135.0,0.459,17.0,37.031,55235.0,0.835,8029.0,7.0,8.387,0.525,2.0,3.809,63014.0,,81.0,2.0,0.756,44.0,1.0,1.222,0.818
2553,NORTH CENTRAL BRONX HOSPITAL (330385),2020,Acute Care,Government - Local,205.0,,,NY,0.829,1.0,1.206,941.0,0.301,4.0,13.297,21651.0,,815.0,0.0,0.838,0.799,1.0,1.252,26058.0,,34.0,0.0,0.266,22.0,0.0,0.695,
2554,GARNET HEALTH  MEDICAL CENTER CATSKILLS (330386),2020,Acute Care,Voluntary non-profit - Private,167.0,41.70642,-74.736752,NY,1.246,2.0,1.605,2059.0,1.641,16.0,9.751,15591.0,,835.0,0.0,0.608,,0.0,0.998,17015.0,,30.0,2.0,0.261,20.0,0.0,0.539,
2555,SUNY/STONY BROOK UNIVERSITY HOSPITAL (330393),2020,Acute Care,Government - State,662.0,,,NY,0.54,21.0,38.89,28379.0,0.901,138.0,153.215,195115.0,0.726,25674.0,20.0,27.562,1.138,18.0,15.815,216184.0,1.397,178.0,2.0,1.432,267.0,13.0,7.294,1.782
2556,"UNITED HEALTH SERVICES HOSPITALS, INC (330394)",2020,Acute Care,Voluntary non-profit - Private,485.0,42.088097,-75.914166,NY,0.905,14.0,15.465,11885.0,0.768,40.0,52.073,83477.0,0.697,11330.0,8.0,11.48,1.331,8.0,6.009,91491.0,0.969,131.0,1.0,1.032,246.0,6.0,6.062,0.99
2557,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE (330395),2020,Acute Care,Voluntary non-profit - Private,268.0,40.598675,-73.75268,NY,0.533,6.0,11.265,11451.0,0.474,13.0,27.414,42006.0,0.887,3668.0,3.0,3.381,1.175,3.0,2.554,43677.0,,21.0,0.0,0.158,34.0,0.0,0.933,
2558,WOODHULL MEDICAL & MENTAL HEALTH CENTER (330396),2020,Acute Care,Government - Local,371.0,40.700512,-73.941557,NY,0.67,3.0,4.477,3614.0,0.588,13.0,22.121,42318.0,1.04,3650.0,4.0,3.848,1.289,3.0,2.328,44278.0,,41.0,0.0,0.342,18.0,0.0,0.474,
2559,INTERFAITH MEDICAL CENTER (330397),2020,Acute Care,Voluntary non-profit - Private,256.0,40.677866,-73.937154,NY,0.429,1.0,2.33,2398.0,0.34,4.0,11.771,28799.0,0.258,4230.0,1.0,3.881,0.602,1.0,1.662,28799.0,,10.0,0.0,0.1,10.0,0.0,0.274,
2560,ST BARNABAS HOSPITAL (330399),2020,Acute Care,Voluntary non-profit - Private,445.0,40.85277,-73.892168,NY,0.742,2.0,2.694,1898.0,0.207,7.0,33.805,60055.0,0.774,3719.0,3.0,3.877,1.057,4.0,3.786,63870.0,,13.0,0.0,0.112,54.0,0.0,1.745,0.0
2561,ST CATHERINE OF SIENA HOSPITAL (330401),2020,Acute Care,Voluntary non-profit - Private,548.0,40.867592,-73.220142,NY,0.767,4.0,5.218,5678.0,0.319,11.0,34.431,51109.0,0.0,4598.0,0.0,3.625,0.33,1.0,3.028,53470.0,,29.0,1.0,0.213,105.0,3.0,2.742,1.094
2562,MONROE COMMUNITY HOSPITAL (330403),2020,Acute Care,Government - State,571.0,43.111856,-77.616078,NY,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,
2563,HELEN HAYES HOSPITAL (330405),2020,Acute Care,Government - Local,155.0,41.212779,-73.985768,NY,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,
2564,SUNNYVIEW HOSPITAL AND REHABILITATION CENTER (330406),2020,Acute Care,Voluntary non-profit - Private,115.0,42.822229,-73.91386,NY,,0.0,0.105,141.0,0.0,0.0,1.061,3697.0,,83.0,0.0,0.063,,0.0,0.096,3697.0,,,,,,,,
2565,"DELAWARE VALLEY HOSPITAL, INC (331312)",2020,Critical Access,Voluntary non-profit - Private,25.0,42.165522,-75.128087,NY,,0.0,0.001,1.0,,,,,,38.0,0.0,0.01,,,,,,,,,,,,
2566,SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES (331314),2020,Critical Access,Voluntary non-profit - Other,171.0,42.670468,-77.059591,NY,,1.0,0.206,316.0,,2.0,0.91,2754.0,,467.0,0.0,0.127,,0.0,0.058,2754.0,,,,,2.0,0.0,0.063,
2567,"COMMUNITY MEMORIAL HOSPITAL, INC (331316)",2020,Critical Access,Voluntary non-profit - Private,25.0,42.813906,-75.541908,NY,,0.0,0.199,304.0,0.0,0.0,1.617,4716.0,,174.0,0.0,0.048,,0.0,0.098,4716.0,,14.0,0.0,0.111,5.0,0.0,0.12,
2568,LEWIS COUNTY GENERAL HOSPITAL (331317),2020,Critical Access,Voluntary non-profit - Other,185.0,43.79583,-75.498152,NY,,3.0,0.581,890.0,3.788,9.0,2.376,5231.0,,132.0,0.0,0.037,,0.0,0.12,5813.0,,2.0,0.0,0.017,8.0,0.0,0.186,
2569,MEDINA MEMORIAL HOSPITAL (331319),2020,Critical Access,Voluntary non-profit - Private,61.0,43.223707,-78.397073,NY,,,,,,0.0,0.646,2927.0,,,,,,0.0,0.06,2927.0,,,,,,,,
2570,CAROLINAS MEDICAL CENTER-NORTHEAST (340001),2020,Acute Care,Government - Hospital District or Authority,457.0,35.434313,-80.603088,NC,0.36,5.0,13.877,14020.0,0.419,32.0,76.423,108174.0,1.488,11233.0,16.0,10.752,0.795,7.0,8.806,118223.0,1.564,375.0,5.0,3.197,337.0,10.0,9.041,1.106
2571,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE (340002),2020,Acute Care,Voluntary non-profit - Private,753.0,35.577942,-82.54837,NC,0.575,21.0,36.522,22583.0,0.892,141.0,158.131,198535.0,0.906,25295.0,25.0,27.591,0.472,9.0,19.086,220494.0,0.339,695.0,2.0,5.898,544.0,17.0,13.958,1.218
2572,NORTHERN REGIONAL HOSPITAL (340003),2020,Acute Care,Government - Hospital District or Authority,133.0,36.488418,-80.611181,NC,0.88,1.0,1.137,1671.0,0.586,9.0,15.357,16717.0,,708.0,0.0,0.492,,0.0,0.869,17351.0,,23.0,0.0,0.221,49.0,2.0,1.261,1.586
2573,HIGH POINT REGIONAL HEALTH SYSTEM (340004),2020,Acute Care,Voluntary non-profit - Private,317.0,35.962486,-80.012027,NC,0.977,9.0,9.21,7239.0,0.384,15.0,39.017,67873.0,0.833,8172.0,7.0,8.407,0.779,4.0,5.132,70898.0,1.552,134.0,2.0,1.289,134.0,4.0,3.54,1.13
2574,SCOTLAND MEMORIAL HOSPITAL (340008),2020,Acute Care,Voluntary non-profit - Private,125.0,34.7517,-79.47042,NC,0.0,0.0,1.456,1955.0,0.272,4.0,14.732,23818.0,,883.0,1.0,0.689,0.0,0.0,1.042,26022.0,,104.0,0.0,0.939,47.0,0.0,1.305,0.0
2575,WAYNE MEMORIAL HOSPITAL (340010),2020,Acute Care,Voluntary non-profit - Private,258.0,35.400831,-77.953342,NC,0.649,5.0,7.706,7751.0,0.777,26.0,33.482,49526.0,1.141,6548.0,7.0,6.135,1.619,5.0,3.089,52322.0,0.0,117.0,0.0,1.01,78.0,4.0,2.045,1.956
2576,RUTHERFORD REGIONAL MEDICAL CENTER (340013),2020,Acute Care,Proprietary,137.0,35.363396,-81.964842,NC,2.327,3.0,1.289,1881.0,1.024,7.0,6.838,11750.0,0.962,1533.0,1.0,1.039,,1.0,0.727,11750.0,,2.0,0.0,0.027,50.0,2.0,1.36,1.471
2577,NOVANT HEALTH FORSYTH MEDICAL CENTER (340014),2020,Acute Care,Voluntary non-profit - Private,890.0,36.073942,-80.298565,NC,0.929,22.0,23.693,16549.0,0.327,65.0,198.895,228406.0,0.725,23357.0,18.0,24.842,0.903,20.0,22.154,251073.0,0.238,517.0,1.0,4.205,390.0,8.0,10.443,0.766
2578,NOVANT HEALTH ROWAN MEDICAL CENTER (340015),2020,Acute Care,Voluntary non-profit - Private,208.0,35.681766,-80.471456,NC,1.063,2.0,1.882,2155.0,0.0,0.0,27.374,39457.0,0.0,2804.0,0.0,2.223,1.506,3.0,1.992,41134.0,,81.0,0.0,0.702,98.0,1.0,2.529,0.395
2579,HARRIS REGIONAL HOSPITAL (340016),2020,Acute Care,Voluntary non-profit - Private,83.0,35.383923,-83.20279,NC,0.0,0.0,1.388,2562.0,1.006,5.0,4.968,13814.0,0.0,2175.0,0.0,1.337,,0.0,0.442,13814.0,,7.0,0.0,0.068,38.0,1.0,0.952,
2580,MARGARET R PARDEE MEMORIAL HOSPITAL (340017),2020,Acute Care,Government - Local,188.0,35.320814,-82.468153,NC,1.098,4.0,3.643,4689.0,0.671,12.0,17.875,35413.0,1.46,2606.0,3.0,2.055,0.756,1.0,1.323,35413.0,,59.0,0.0,0.535,126.0,1.0,3.018,0.331
2581,CENTRAL CAROLINA HOSPITAL (340020),2020,Acute Care,Voluntary non-profit - Private,127.0,35.469093,-79.1888,NC,0.766,1.0,1.306,2112.0,0.294,2.0,6.802,13007.0,,1591.0,1.0,0.975,,1.0,0.788,14222.0,,10.0,0.0,0.077,47.0,1.0,1.246,0.803
2582,ATRIUM HEALTH CLEVELAND (340021),2020,Acute Care,Government - Hospital District or Authority,301.0,35.301837,-81.535343,NC,1.278,7.0,5.477,6277.0,0.37,9.0,24.314,44921.0,0.259,4799.0,1.0,3.855,0.777,2.0,2.573,47813.0,,99.0,0.0,0.85,65.0,4.0,1.642,2.436
2583,PARK RIDGE HEALTH (340023),2020,Acute Care,Voluntary non-profit - Private,98.0,35.391907,-82.488056,NC,0.674,1.0,1.483,2172.0,0.3,1.0,3.337,8793.0,,507.0,0.0,0.352,,1.0,0.247,10045.0,,91.0,0.0,0.793,41.0,1.0,1.053,0.95
2584,SAMPSON REGIONAL MEDICAL CENTER (340024),2020,Acute Care,Government - Local,78.0,35.007783,-78.323635,NC,0.622,1.0,1.609,2068.0,1.471,5.0,3.398,10525.0,,520.0,0.0,0.416,,0.0,0.54,11239.0,,2.0,0.0,0.019,15.0,0.0,0.415,
2585,UNC LENOIR HEALTH CARE (340027),2020,Acute Care,Voluntary non-profit - Private,180.0,35.290955,-77.581407,NC,1.687,3.0,1.778,2547.0,0.872,14.0,16.052,25956.0,0.545,2729.0,1.0,1.834,0.0,0.0,1.454,26897.0,,27.0,0.0,0.227,79.0,1.0,2.259,0.443
2586,CAPE FEAR VALLEY MEDICAL CENTER (340028),2020,Acute Care,Voluntary non-profit - Private,617.0,35.032412,-78.931096,NC,0.557,7.0,12.569,9971.0,0.723,73.0,100.95,152328.0,0.933,12755.0,13.0,13.93,0.757,9.0,11.884,172214.0,1.161,275.0,3.0,2.584,267.0,3.0,7.77,0.386
2587,DUKE UNIVERSITY HOSPITAL (340030),2020,Acute Care,Proprietary,924.0,,,NC,0.659,41.0,62.231,39489.0,0.965,243.0,251.756,292395.0,0.934,71186.0,76.0,81.402,0.646,19.0,29.414,315685.0,0.591,609.0,3.0,5.077,1035.0,22.0,29.144,0.755
2588,CAROMONT REGIONAL MEDICAL CENTER (340032),2020,Acute Care,Government - Local,377.0,35.274593,-81.143023,NC,0.134,2.0,14.905,10817.0,0.166,13.0,78.202,108179.0,0.0,9084.0,0.0,9.653,0.268,2.0,7.472,113298.0,1.779,197.0,3.0,1.686,183.0,3.0,4.962,0.605
2589,IREDELL MEMORIAL HOSPITAL INC (340039),2020,Acute Care,Voluntary non-profit - Private,204.0,35.79986,-80.876817,NC,0.309,1.0,3.237,4634.0,1.188,35.0,29.469,36491.0,0.715,4011.0,2.0,2.799,0.0,0.0,1.199,38170.0,,61.0,0.0,0.503,104.0,6.0,2.622,2.288
2590,VIDANT MEDICAL CENTER (340040),2020,Acute Care,Voluntary non-profit - Private,933.0,35.60581,-77.400952,NC,1.534,57.0,37.166,22486.0,0.389,75.0,192.634,248984.0,0.822,41119.0,37.0,45.036,0.759,21.0,27.655,274220.0,1.807,427.0,7.0,3.874,469.0,20.0,12.995,1.539
2591,CALDWELL MEMORIAL HOSPITAL (340041),2020,Acute Care,Voluntary non-profit - Other,114.0,35.910633,-81.536239,NC,1.475,5.0,3.39,5128.0,0.583,9.0,15.432,19681.0,0.656,4559.0,2.0,3.048,,3.0,0.893,20493.0,,21.0,0.0,0.177,46.0,0.0,1.248,0.0
2592,ONSLOW MEMORIAL HOSPITAL (340042),2020,Acute Care,Government - Hospital District or Authority,162.0,34.762285,-77.382571,NC,2.571,4.0,1.556,2126.0,1.36,20.0,14.704,28120.0,,1310.0,1.0,0.986,1.522,2.0,1.314,31908.0,,17.0,0.0,0.124,78.0,3.0,2.162,1.388
2593,NORTH CAROLINA BAPTIST HOSPITAL (340047),2020,Acute Care,Voluntary non-profit - Private,863.0,,,NC,0.35,21.0,59.921,37267.0,0.492,60.0,122.029,219887.0,1.241,36569.0,53.0,42.715,1.818,47.0,25.856,237561.0,0.839,381.0,3.0,3.574,507.0,10.0,14.822,0.675
