,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
2901,TREGO COUNTY LEMKE MEMORIAL HOSPITAL (171355),2018,Critical Access,Government - Local,62.0,39.027219,-99.87162,KS,,,,,,1.0,0.089,402.0,,,,,,0.0,0.008,402.0,,,,,,,,
2902,LINDSBORG COMMUNITY HOSPITAL (171358),2018,Critical Access,Voluntary non-profit - Private,22.0,38.573435,-97.68359,KS,,,,,,0.0,0.005,24.0,,,,,,0.0,0.001,55.0,,,,,,,,
2903,REPUBLIC COUNTY HOSPITAL (171361),2018,Critical Access,Voluntary non-profit - Private,50.0,39.818087,-97.636926,KS,,,,,,0.0,0.138,303.0,,,,,,,,,,,,,,,,
2904,REPUBLIC COUNTY HOSPITAL (171361),2018,Critical Access,Voluntary non-profit - Private,50.0,39.818087,-97.636926,KS,,,,,,1.0,0.824,1813.0,,,,,,,,,,,,,,,,
2905,CITIZENS MEDICAL CENTER (171362),2018,Critical Access,Voluntary non-profit - Private,82.0,39.379755,-101.045049,KS,,,,,,0.0,0.69,3123.0,,,,,,0.0,0.066,3123.0,,13.0,0.0,0.097,9.0,1.0,0.197,
2906,CITIZENS MEDICAL CENTER (171362),2018,Critical Access,Voluntary non-profit - Private,82.0,39.379755,-101.045049,KS,,,,,,0.0,0.698,3160.0,,,,,,0.0,0.067,3160.0,,12.0,0.0,0.097,10.0,1.0,0.234,
2907,HARPER HOSPITAL DISTRICT NO 5 (171366),2018,Critical Access,Government - Hospital District or Authority,25.0,,,KS,,0.0,0.004,6.0,,,,,,,,,,,,,,,,,,,,
2908,HARPER HOSPITAL DISTRICT NO 5 (171366),2018,Critical Access,Government - Hospital District or Authority,25.0,,,KS,,0.0,0.001,1.0,,,,,,,,,,,,,,,,,,,,
2909,GOVE COUNTY MEDICAL CENTER (171367),2018,Critical Access,Voluntary non-profit - Other,64.0,39.067161,-100.241311,KS,,,,,,0.0,0.457,2071.0,,,,,,0.0,0.046,2183.0,,,,,,,,
2910,GOVE COUNTY MEDICAL CENTER (171367),2018,Critical Access,Voluntary non-profit - Other,64.0,39.067161,-100.241311,KS,,,,,,0.0,0.431,1954.0,,,,,,0.0,0.043,2054.0,,,,,,,,
2911,MINNEOLA DISTRICT HOSPITAL NBR 2 (171368),2018,Critical Access,Government - Hospital District or Authority,52.0,37.441504,-100.013812,KS,,0.0,0.034,50.0,,0.0,0.223,1006.0,,,,,,0.0,0.021,1006.0,,,,,,,,
2912,MINNEOLA DISTRICT HOSPITAL NBR 2 (171368),2018,Critical Access,Government - Hospital District or Authority,52.0,37.441504,-100.013812,KS,,0.0,0.034,50.0,,0.0,0.253,1141.0,,15.0,0.0,0.004,,0.0,0.024,1141.0,,,,,,,,
2913,GOODLAND REGIONAL MEDICAL CENTER (171370),2018,Critical Access,Government - Local,21.0,39.35759,-101.713256,KS,,,,,,1.0,0.428,1938.0,,,,,,0.0,0.041,1938.0,,,,,,,,
2914,GOODLAND REGIONAL MEDICAL CENTER (171370),2018,Critical Access,Government - Local,21.0,39.35759,-101.713256,KS,,,,,,1.0,0.444,2010.0,,,,,,0.0,0.042,2010.0,,,,,,,,
2915,CLAY COUNTY MEDICAL CENTER (171371),2018,Critical Access,Government - Local,19.0,39.391681,-97.124196,KS,,0.0,0.121,186.0,,1.0,0.396,1789.0,,178.0,0.0,0.049,,0.0,0.037,1782.0,,,,,,,,
2916,CLAY COUNTY MEDICAL CENTER (171371),2018,Critical Access,Government - Local,19.0,39.391681,-97.124196,KS,,0.0,0.044,68.0,,1.0,0.592,2681.0,,76.0,0.0,0.021,,0.0,0.056,2681.0,,,,,,,,
2917,SCOTT COUNTY HOSPITAL (171372),2018,Critical Access,Voluntary non-profit - Private,25.0,38.48487,-100.9035,KS,,,,,,3.0,0.326,1155.0,,,,,,0.0,0.027,1324.0,,,,,,,,
2918,SCOTT COUNTY HOSPITAL (171372),2018,Critical Access,Voluntary non-profit - Private,25.0,38.48487,-100.9035,KS,,,,,,2.0,0.322,1138.0,,,,,,0.0,0.028,1361.0,,,,,,,,
2919,ALLEN COUNTY REGIONAL HOSPITAL (171373),2018,Critical Access,Proprietary,25.0,37.950342,-95.390674,KS,,,,,,0.0,0.004,20.0,,276.0,0.0,0.076,,,,,,,,,,,,
2920,ALLEN COUNTY REGIONAL HOSPITAL (171373),2018,Critical Access,Proprietary,25.0,37.950342,-95.390674,KS,,,,,,,,,,276.0,0.0,0.076,,,,,,,,,1.0,0.0,0.033,
2921,FREDONIA REGIONAL HOSPITAL (171374),2018,Critical Access,Government - Local,31.0,37.533641,-95.814816,KS,,0.0,0.102,156.0,,1.0,0.093,422.0,,,,,,0.0,0.009,422.0,,,,,,,,
2922,FREDONIA REGIONAL HOSPITAL (171374),2018,Critical Access,Government - Local,31.0,37.533641,-95.814816,KS,,0.0,0.079,122.0,,,,,,,,,,,,,,,,,,,,
2923,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS (171375),2018,Critical Access,Government - Local,68.0,39.466499,-98.114235,KS,,,,,,,,,,,,,,0.0,0.035,1690.0,,,,,,,,
2924,GIRARD MEDICAL CENTER (171376),2018,Critical Access,Government - Hospital District or Authority,32.0,37.513852,-94.858541,KS,,0.0,0.151,232.0,,1.0,0.24,1088.0,,69.0,0.0,0.019,,0.0,0.024,1179.0,,,,,1.0,0.0,0.024,
2925,GIRARD MEDICAL CENTER (171376),2018,Critical Access,Government - Hospital District or Authority,32.0,37.513852,-94.858541,KS,,0.0,0.151,232.0,,1.0,0.376,1275.0,,93.0,0.0,0.025,,0.0,0.026,1275.0,,,,,2.0,0.0,0.049,
2926,SMITH COUNTY MEMORIAL HOSPITAL (171377),2018,Critical Access,Government - Local,34.0,39.785249,-98.772768,KS,,,,,,0.0,0.082,370.0,,,,,,0.0,0.009,391.0,,,,,,,,
2927,SMITH COUNTY MEMORIAL HOSPITAL (171377),2018,Critical Access,Government - Local,34.0,39.785249,-98.772768,KS,,,,,,0.0,0.139,629.0,,,,,,0.0,0.015,679.0,,,,,,,,
2928,KINGMAN COMMUNITY HOSPITAL (171378),2018,Critical Access,Voluntary non-profit - Private,25.0,37.646734,-98.123552,KS,,,,,,0.0,0.488,2211.0,,,,,,0.0,0.046,2211.0,,,,,,,,
2929,KINGMAN COMMUNITY HOSPITAL (171378),2018,Critical Access,Voluntary non-profit - Private,25.0,37.646734,-98.123552,KS,,,,,,0.0,0.458,2078.0,,,,,,0.0,0.044,2078.0,,,,,,,,
2930,MORRIS COUNTY HOSPITAL (171379),2018,Critical Access,Government - Local,24.0,38.665115,-96.500129,KS,,,,,,1.0,0.327,1481.0,,,,,,0.0,0.03,1506.0,,3.0,0.0,0.021,,,,
2931,MORRIS COUNTY HOSPITAL (171379),2018,Critical Access,Government - Local,24.0,38.665115,-96.500129,KS,,,,,,1.0,0.313,1420.0,,,,,,0.0,0.029,1448.0,,4.0,0.0,0.028,,,,
2932,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER (171380),2018,Critical Access,Government - Local,22.0,37.67518,-95.470896,KS,,0.0,0.223,342.0,2.948,5.0,1.696,5994.0,,171.0,0.0,0.047,,0.0,0.14,6678.0,,46.0,0.0,0.358,11.0,1.0,0.27,
2933,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER (171380),2018,Critical Access,Government - Local,22.0,37.67518,-95.470896,KS,,0.0,0.208,318.0,1.754,3.0,1.71,6054.0,,148.0,0.0,0.041,,0.0,0.141,6737.0,,50.0,0.0,0.395,16.0,1.0,0.401,
2934,MEMORIAL HOSPITAL (171381),2018,Critical Access,Government - Hospital District or Authority,106.0,38.924961,-97.206483,KS,,1.0,0.119,182.0,,1.0,0.857,3211.0,,382.0,0.0,0.104,,0.0,0.069,3250.0,,,,,3.0,0.0,0.052,
2935,MEMORIAL HOSPITAL (171381),2018,Critical Access,Government - Hospital District or Authority,106.0,38.924961,-97.206483,KS,,0.0,0.13,198.0,,1.0,0.882,3327.0,,418.0,0.0,0.114,,0.0,0.071,3364.0,,,,,2.0,0.0,0.026,
2936,ATCHISON HOSPITAL (171382),2018,Critical Access,Voluntary non-profit - Private,25.0,,,KS,,0.0,0.209,320.0,,1.0,0.993,2187.0,,123.0,0.0,0.033,,0.0,0.048,2310.0,,,,,,,,
2937,ATCHISON HOSPITAL (171382),2018,Critical Access,Voluntary non-profit - Private,25.0,,,KS,,0.0,0.344,526.0,1.675,2.0,1.194,3096.0,,170.0,0.0,0.046,,0.0,0.068,3272.0,,,,,,,,
2938,WILLIAM NEWTON HOSPITAL (171383),2018,Critical Access,Government - Local,22.0,37.244649,-96.98247,KS,0.308,1.0,3.242,1642.0,,1.0,0.988,4471.0,,125.0,0.0,0.033,,0.0,0.094,4505.0,,4.0,0.0,0.032,5.0,0.0,0.113,
2939,WILLIAM NEWTON HOSPITAL (171383),2018,Critical Access,Government - Local,22.0,37.244649,-96.98247,KS,0.421,1.0,2.377,1451.0,0.0,0.0,1.044,4724.0,,178.0,0.0,0.048,,0.0,0.099,4758.0,,2.0,0.0,0.018,4.0,0.0,0.081,
2940,NEWMAN REGIONAL HEALTH (171384),2018,Critical Access,Government - Local,30.0,38.412305,-96.195024,KS,,0.0,0.197,178.0,1.823,5.0,2.743,6040.0,,125.0,0.0,0.034,,0.0,0.146,6955.0,,17.0,0.0,0.19,6.0,0.0,0.139,
2941,NEWMAN REGIONAL HEALTH (171384),2018,Critical Access,Government - Local,30.0,38.412305,-96.195024,KS,,0.0,0.312,195.0,1.851,5.0,2.701,5947.0,,144.0,0.0,0.04,,0.0,0.143,6824.0,,20.0,0.0,0.213,4.0,1.0,0.092,
2942,ST ELIZABETH FT THOMAS (180001),2018,Acute Care,Voluntary non-profit - Private,160.0,39.078281,-84.464654,KY,0.262,1.0,3.811,3768.0,1.018,25.0,24.566,38944.0,0.429,5184.0,2.0,4.659,0.877,2.0,2.281,38944.0,,87.0,1.0,0.797,113.0,0.0,3.056,0.0
2943,ST ELIZABETH FT THOMAS (180001),2018,Acute Care,Voluntary non-profit - Private,160.0,39.078281,-84.464654,KY,0.254,1.0,3.932,3889.0,0.877,22.0,25.083,39044.0,0.415,5371.0,2.0,4.82,0.784,2.0,2.55,39044.0,,80.0,1.0,0.714,118.0,3.0,3.163,0.948
2944,WHITESBURG ARH HOSPITAL (180002),2018,Acute Care,Voluntary non-profit - Other,87.0,37.11182,-82.813612,KY,0.0,0.0,2.639,3782.0,0.959,4.0,4.169,11550.0,,1541.0,0.0,0.919,,0.0,0.32,12624.0,,36.0,0.0,0.381,13.0,1.0,0.329,
2945,WHITESBURG ARH HOSPITAL (180002),2018,Acute Care,Voluntary non-profit - Other,87.0,37.11182,-82.813612,KY,0.0,0.0,2.502,3590.0,1.582,7.0,4.424,11261.0,,1591.0,0.0,0.949,,0.0,0.344,12422.0,,34.0,0.0,0.325,11.0,1.0,0.249,
2946,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL (180004),2018,Acute Care,Voluntary non-profit - Private,97.0,37.196925,-87.189639,KY,,1.0,0.782,1074.0,1.871,6.0,3.206,5087.0,,368.0,0.0,0.25,,0.0,0.161,5087.0,,,,,4.0,0.0,0.102,
2947,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL (180004),2018,Acute Care,Voluntary non-profit - Private,97.0,37.196925,-87.189639,KY,,1.0,0.774,1063.0,0.993,3.0,3.021,5143.0,,356.0,0.0,0.242,,0.0,0.137,5143.0,,,,,3.0,0.0,0.081,
2948,HIGHLANDS REGIONAL MEDICAL CENTER (180005),2018,Acute Care,Proprietary,148.0,37.71054,-82.77025,KY,2.139,7.0,3.272,4676.0,0.224,2.0,8.915,16696.0,2.01,2794.0,4.0,1.99,,5.0,0.756,17822.0,,19.0,0.0,0.192,21.0,0.0,0.589,
2949,HIGHLANDS REGIONAL MEDICAL CENTER (180005),2018,Acute Care,Proprietary,148.0,37.71054,-82.77025,KY,2.034,7.0,3.441,4942.0,0.228,2.0,8.784,17071.0,1.999,2816.0,4.0,2.001,,4.0,0.862,18236.0,,18.0,0.0,0.168,25.0,0.0,0.704,
2950,KING'S DAUGHTERS' MEDICAL CENTER (180009),2018,Acute Care,Voluntary non-profit - Private,444.0,38.470401,-82.635916,KY,0.588,4.0,6.803,7972.0,0.721,47.0,65.22,71779.0,0.746,4849.0,3.0,4.019,1.491,7.0,4.695,76524.0,0.543,214.0,1.0,1.84,138.0,3.0,3.752,0.8
2951,KING'S DAUGHTERS' MEDICAL CENTER (180009),2018,Acute Care,Voluntary non-profit - Private,444.0,38.470401,-82.635916,KY,0.288,2.0,6.933,8112.0,0.814,48.0,58.974,71276.0,0.245,4918.0,1.0,4.082,0.856,4.0,4.672,76049.0,1.592,209.0,3.0,1.885,148.0,5.0,3.963,1.262
2952,SAINT JOSEPH HOSPITAL (180010),2018,Acute Care,Voluntary non-profit - Church,265.0,,,KY,0.693,10.0,14.425,13238.0,1.066,48.0,45.028,63229.0,0.108,9364.0,1.0,9.271,0.753,4.0,5.314,63229.0,,15.0,0.0,0.107,211.0,0.0,5.577,0.0
2953,SAINT JOSEPH HOSPITAL (180010),2018,Acute Care,Voluntary non-profit - Church,265.0,,,KY,0.658,10.0,15.19,13052.0,1.103,48.0,43.528,59924.0,0.107,9200.0,1.0,9.385,0.552,3.0,5.432,59924.0,,25.0,0.0,0.21,204.0,0.0,5.372,0.0
2954,SAINT JOSEPH LONDON (180011),2018,Acute Care,Voluntary non-profit - Private,144.0,37.118553,-84.106349,KY,1.538,4.0,2.601,3766.0,0.377,5.0,13.275,23318.0,0.604,2371.0,1.0,1.657,,1.0,0.846,25556.0,,56.0,0.0,0.502,19.0,0.0,0.521,
2955,SAINT JOSEPH LONDON (180011),2018,Acute Care,Voluntary non-profit - Private,144.0,37.118553,-84.106349,KY,1.553,4.0,2.575,3730.0,0.504,7.0,13.9,24243.0,0.617,2332.0,1.0,1.622,,0.0,0.881,26516.0,,59.0,0.0,0.494,20.0,0.0,0.552,
2956,HARDIN MEMORIAL HOSPITAL (180012),2018,Acute Care,Government - Local,297.0,37.709917,-85.875048,KY,0.447,3.0,6.717,6975.0,0.451,41.0,90.902,52470.0,1.021,7410.0,6.0,5.876,0.342,1.0,2.92,57084.0,0.747,164.0,1.0,1.339,114.0,1.0,3.049,0.328
2957,HARDIN MEMORIAL HOSPITAL (180012),2018,Acute Care,Government - Local,297.0,37.709917,-85.875048,KY,0.567,4.0,7.06,7341.0,0.451,41.0,90.902,53188.0,1.019,7410.0,6.0,5.887,0.321,1.0,3.12,57588.0,0.685,180.0,1.0,1.459,125.0,1.0,3.393,0.295
2958,THE MEDICAL CENTER AT BOWLING GREEN (180013),2018,Acute Care,Voluntary non-profit - Private,314.0,36.996366,-86.430232,KY,0.63,9.0,14.283,11782.0,0.67,39.0,58.19,86334.0,1.067,7800.0,8.0,7.497,1.186,9.0,7.591,92944.0,,54.0,2.0,0.484,127.0,0.0,3.452,0.0
2959,THE MEDICAL CENTER AT BOWLING GREEN (180013),2018,Acute Care,Voluntary non-profit - Private,314.0,36.996366,-86.430232,KY,0.779,13.0,16.68,12418.0,0.621,36.0,57.968,85990.0,1.653,7846.0,13.0,7.864,1.024,8.0,7.812,92321.0,,63.0,1.0,0.599,132.0,0.0,3.596,0.0
2960,JEWISH HOSPITAL - SHELBYVILLE (180016),2018,Acute Care,Voluntary non-profit - Private,33.0,38.208808,-85.236145,KY,,1.0,0.175,358.0,0.808,1.0,1.238,2375.0,,84.0,0.0,0.049,,0.0,0.045,2375.0,,,,,11.0,0.0,0.276,
2961,JEWISH HOSPITAL - SHELBYVILLE (180016),2018,Acute Care,Voluntary non-profit - Private,33.0,38.208808,-85.236145,KY,,1.0,0.17,349.0,0.769,1.0,1.3,2172.0,,72.0,0.0,0.042,,0.0,0.045,2172.0,,,,,12.0,0.0,0.31,
2962,T J SAMSON COMMUNITY HOSPITAL (180017),2018,Acute Care,Voluntary non-profit - Other,136.0,37.011566,-85.903862,KY,0.0,0.0,2.386,3061.0,0.473,8.0,16.9,20302.0,,906.0,0.0,0.764,0.962,1.0,1.04,22553.0,,55.0,1.0,0.461,60.0,2.0,1.466,1.364
2963,T J SAMSON COMMUNITY HOSPITAL (180017),2018,Acute Care,Voluntary non-profit - Other,136.0,37.011566,-85.903862,KY,0.0,0.0,2.311,2974.0,0.551,9.0,16.332,20589.0,,836.0,1.0,0.704,0.976,1.0,1.025,22863.0,,37.0,1.0,0.309,68.0,2.0,1.692,1.182
2964,ST CLAIRE REGIONAL MEDICAL CENTER (180018),2018,Acute Care,Government - Federal,128.0,38.180016,-83.442454,KY,0.487,1.0,2.052,2608.0,0.859,9.0,10.48,15211.0,0.0,2145.0,0.0,1.66,,0.0,0.492,15990.0,,20.0,0.0,0.209,43.0,4.0,1.324,3.021
2965,ST CLAIRE REGIONAL MEDICAL CENTER (180018),2018,Acute Care,Government - Federal,128.0,38.180016,-83.442454,KY,0.507,1.0,1.973,2511.0,0.794,9.0,11.341,15547.0,0.0,2005.0,0.0,1.551,,0.0,0.491,16338.0,,24.0,0.0,0.255,46.0,2.0,1.406,1.422
2966,MEADOWVIEW REGIONAL MEDICAL CENTER (180019),2018,Acute Care,Proprietary,100.0,38.639572,-83.808804,KY,0.85,1.0,1.177,1487.0,0.684,3.0,4.384,6647.0,,642.0,0.0,0.525,,0.0,0.15,7531.0,,36.0,1.0,0.352,14.0,0.0,0.326,
2967,MEADOWVIEW REGIONAL MEDICAL CENTER (180019),2018,Acute Care,Proprietary,100.0,38.639572,-83.808804,KY,0.981,1.0,1.019,1320.0,0.619,3.0,4.846,6587.0,,594.0,0.0,0.465,,0.0,0.149,7507.0,,34.0,1.0,0.311,14.0,0.0,0.322,
2968,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT (180020),2018,Acute Care,Voluntary non-profit - Private,66.0,36.605199,-83.740056,KY,0.0,0.0,1.412,1930.0,0.964,2.0,2.074,7290.0,,613.0,0.0,0.462,,0.0,0.254,7801.0,,2.0,0.0,0.019,6.0,0.0,0.147,
2969,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT (180020),2018,Acute Care,Voluntary non-profit - Private,66.0,36.605199,-83.740056,KY,0.0,0.0,1.358,1856.0,0.959,2.0,2.085,7683.0,,611.0,0.0,0.46,,0.0,0.273,8240.0,,2.0,0.0,0.019,7.0,0.0,0.173,
2970,SOUTHEASTERN KY MEDICAL CENTER (180021),2018,Acute Care,Voluntary non-profit - Other,107.0,36.763077,-83.708574,KY,,0.0,0.64,962.0,0.0,0.0,3.05,10205.0,,486.0,0.0,0.323,,0.0,0.358,10205.0,,14.0,1.0,0.176,14.0,0.0,0.38,
2971,SOUTHEASTERN KY MEDICAL CENTER (180021),2018,Acute Care,Voluntary non-profit - Other,107.0,36.763077,-83.708574,KY,,1.0,0.514,834.0,0.0,0.0,2.028,7048.0,,414.0,0.0,0.261,,0.0,0.241,7048.0,,16.0,1.0,0.184,13.0,0.0,0.366,
2972,SPRING VIEW HOSPITAL (180024),2018,Acute Care,Proprietary,75.0,37.570325,-85.259397,KY,,0.0,0.371,726.0,0.0,0.0,1.288,2668.0,,83.0,0.0,0.049,,0.0,0.09,3803.0,,40.0,1.0,0.328,3.0,0.0,0.072,
2973,SPRING VIEW HOSPITAL (180024),2018,Acute Care,Proprietary,75.0,37.570325,-85.259397,KY,,0.0,0.368,717.0,0.0,0.0,1.227,2721.0,,98.0,0.0,0.059,,0.0,0.088,3447.0,,36.0,1.0,0.286,2.0,0.0,0.043,
2974,FLAGET MEMORIAL HOSPITAL (180025),2018,Acute Care,Voluntary non-profit - Private,52.0,37.863995,-85.52376,KY,,0.0,0.527,1284.0,3.603,7.0,1.943,6834.0,,527.0,0.0,0.329,,0.0,0.138,6838.0,,15.0,0.0,0.138,7.0,1.0,0.144,
2975,FLAGET MEMORIAL HOSPITAL (180025),2018,Acute Care,Voluntary non-profit - Private,52.0,37.863995,-85.52376,KY,,0.0,0.409,948.0,2.355,5.0,2.123,6522.0,,463.0,0.0,0.291,,0.0,0.121,6526.0,,18.0,0.0,0.163,10.0,1.0,0.232,
2976,MURRAY-CALLOWAY COUNTY HOSPITAL (180027),2018,Acute Care,Voluntary non-profit - Other,296.0,36.60866,-88.309498,KY,0.0,0.0,2.378,3380.0,0.87,6.0,6.898,17285.0,0.0,1660.0,0.0,1.131,,1.0,0.764,18673.0,,81.0,0.0,0.78,66.0,2.0,1.779,1.124
2977,MURRAY-CALLOWAY COUNTY HOSPITAL (180027),2018,Acute Care,Voluntary non-profit - Other,296.0,36.60866,-88.309498,KY,0.424,1.0,2.359,3361.0,0.609,4.0,6.569,17806.0,0.0,1787.0,0.0,1.212,,2.0,0.826,19155.0,,65.0,0.0,0.634,76.0,2.0,2.006,0.997
2978,HAZARD ARH REGIONAL MEDICAL CENTER (180029),2018,Acute Care,Voluntary non-profit - Private,320.0,37.279027,-83.227413,KY,0.655,3.0,4.582,5018.0,0.403,10.0,24.789,59351.0,0.297,4031.0,1.0,3.371,4.649,12.0,2.581,59351.0,,,,,1.0,0.0,0.029,
2979,HAZARD ARH REGIONAL MEDICAL CENTER (180029),2018,Acute Care,Voluntary non-profit - Private,320.0,37.279027,-83.227413,KY,0.664,3.0,4.516,4988.0,0.493,14.0,28.383,55914.0,0.304,3944.0,1.0,3.292,4.608,12.0,2.604,56039.0,,2.0,0.0,0.023,,,,
2980,ST ELIZABETH MEDICAL CENTER NORTH (180035),2018,Acute Care,Voluntary non-profit - Church,500.0,39.014683,-84.561842,KY,1.194,16.0,13.403,9295.0,0.785,77.0,98.062,133787.0,0.841,10796.0,10.0,11.891,0.438,4.0,9.129,143500.0,0.603,357.0,2.0,3.317,384.0,6.0,10.702,0.561
2981,ST ELIZABETH MEDICAL CENTER NORTH (180035),2018,Acute Care,Voluntary non-profit - Church,500.0,39.014683,-84.561842,KY,1.266,17.0,13.426,9269.0,0.804,83.0,103.275,135244.0,1.091,10814.0,13.0,11.911,0.197,2.0,10.144,145378.0,0.613,347.0,2.0,3.264,349.0,5.0,9.884,0.506
2982,OUR LADY OF BELLEFONTE HOSPITAL (180036),2018,Acute Care,Voluntary non-profit - Private,157.0,38.509303,-82.69305,KY,0.364,1.0,2.748,2663.0,0.562,13.0,23.15,32960.0,1.07,1981.0,2.0,1.869,0.556,1.0,1.798,32960.0,,99.0,0.0,0.936,61.0,1.0,1.642,0.609
2983,OUR LADY OF BELLEFONTE HOSPITAL (180036),2018,Acute Care,Voluntary non-profit - Private,157.0,38.509303,-82.69305,KY,0.363,1.0,2.757,2670.0,0.676,15.0,22.201,32353.0,0.525,2017.0,1.0,1.903,0.617,1.0,1.62,32353.0,,93.0,0.0,0.909,64.0,1.0,1.762,0.568
2984,OWENSBORO HEALTH REGIONAL HOSPITAL (180038),2018,Acute Care,Voluntary non-profit - Private,447.0,37.777296,-87.069958,KY,1.04,8.0,7.691,8937.0,0.468,20.0,42.744,62830.0,1.164,11439.0,11.0,9.452,0.862,4.0,4.643,70239.0,,17.0,0.0,0.151,176.0,1.0,4.64,0.216
2985,OWENSBORO HEALTH REGIONAL HOSPITAL (180038),2018,Acute Care,Voluntary non-profit - Private,447.0,37.777296,-87.069958,KY,0.407,3.0,7.366,8558.0,0.395,16.0,40.477,59483.0,1.111,10894.0,10.0,8.998,0.448,2.0,4.464,66548.0,,14.0,0.0,0.104,170.0,1.0,4.414,0.227
2986,JEWISH HOSPITAL & ST MARY'S HEALTHCARE (180040),2018,Acute Care,Voluntary non-profit - Private,839.0,38.249328,-85.751137,KY,0.838,16.0,19.096,18042.0,0.969,105.0,108.325,144330.0,1.074,20867.0,20.0,18.614,0.711,9.0,12.664,147423.0,,9.0,0.0,0.068,208.0,8.0,5.634,1.42
2987,JEWISH HOSPITAL & ST MARY'S HEALTHCARE (180040),2018,Acute Care,Voluntary non-profit - Private,839.0,38.249328,-85.751137,KY,1.269,23.0,18.121,17069.0,1.104,119.0,107.753,140522.0,0.988,20383.0,18.0,18.226,0.826,10.0,12.108,140522.0,,15.0,0.0,0.119,202.0,10.0,5.585,1.791
2988,MEMORIAL HOSPITAL (180043),2018,Acute Care,Voluntary non-profit - Church,57.0,37.162154,-83.761356,KY,,0.0,0.583,1085.0,1.172,6.0,5.118,7148.0,,356.0,1.0,0.226,,0.0,0.254,7485.0,,1.0,0.0,0.004,2.0,0.0,0.049,
2989,MEMORIAL HOSPITAL (180043),2018,Acute Care,Voluntary non-profit - Church,57.0,37.162154,-83.761356,KY,,0.0,0.571,1066.0,1.44,6.0,4.167,7252.0,,312.0,1.0,0.198,,0.0,0.258,7576.0,,,,,2.0,0.0,0.049,
2990,PIKEVILLE MEDICAL CENTER (180044),2018,Acute Care,Voluntary non-profit - Private,292.0,37.47251,-82.52395,KY,0.298,11.0,36.873,27922.0,0.914,68.0,74.438,85312.0,0.134,21295.0,3.0,22.357,1.334,13.0,9.746,89536.0,0.0,237.0,0.0,2.228,144.0,0.0,4.221,0.0
2991,PIKEVILLE MEDICAL CENTER (180044),2018,Acute Care,Voluntary non-profit - Private,292.0,37.47251,-82.52395,KY,0.359,13.0,36.237,27337.0,0.981,71.0,72.363,83599.0,0.353,21563.0,8.0,22.655,1.362,13.0,9.545,87687.0,0.425,250.0,1.0,2.353,155.0,0.0,4.495,0.0
2992,ST ELIZABETH FLORENCE (180045),2018,Acute Care,Voluntary non-profit - Private,159.0,39.017615,-84.63279,KY,1.144,5.0,4.371,4257.0,0.681,19.0,27.885,48136.0,0.0,4798.0,0.0,4.427,1.756,4.0,2.278,48136.0,,82.0,0.0,0.744,107.0,0.0,3.044,0.0
2993,ST ELIZABETH FLORENCE (180045),2018,Acute Care,Voluntary non-profit - Private,159.0,39.017615,-84.63279,KY,0.495,2.0,4.044,3934.0,0.817,23.0,28.157,48127.0,0.0,4682.0,0.0,4.314,1.963,4.0,2.038,48127.0,,80.0,0.0,0.704,97.0,1.0,2.777,0.36
2994,BOURBON COMMUNITY HOSPITAL (180046),2018,Acute Care,Proprietary,58.0,38.220655,-84.238896,KY,,0.0,0.293,573.0,,1.0,0.457,2486.0,,158.0,0.0,0.099,,0.0,0.048,2486.0,,,,,2.0,1.0,0.057,
2995,BOURBON COMMUNITY HOSPITAL (180046),2018,Acute Care,Proprietary,58.0,38.220655,-84.238896,KY,,0.0,0.279,543.0,,0.0,0.479,2615.0,,177.0,0.0,0.113,,0.0,0.051,2615.0,,,,,1.0,1.0,0.028,
2996,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER (180048),2018,Acute Care,Voluntary non-profit - Private,206.0,37.643818,-84.772638,KY,1.423,5.0,3.514,4270.0,1.435,32.0,22.306,30902.0,0.365,3982.0,1.0,2.738,1.939,3.0,1.547,32643.0,,65.0,0.0,0.528,96.0,4.0,2.52,1.587
2997,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER (180048),2018,Acute Care,Voluntary non-profit - Private,206.0,37.643818,-84.772638,KY,1.576,5.0,3.172,3853.0,1.43,30.0,20.982,29728.0,1.272,3447.0,3.0,2.359,2.618,4.0,1.528,31375.0,,75.0,0.0,0.638,88.0,4.0,2.364,1.692
