,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
1734,PROMEDICA MONROE REGIONAL HOSPITAL (230099),2016,Acute Care,Voluntary non-profit - Other,172.0,41.925143,-83.389075,MI,0.954,30.0,31.438,34081.0,0.617,1926.0,1.0,1.62,1.324,2.0,1.511,34081.0,,0.0,0.482,5.0,1.951,2.563
1735,TAWAS ST JOSEPH HOSPITAL (230100),2016,Acute Care,Government - Hospital District or Authority,48.0,44.274911,-83.511002,MI,,1.0,0.783,3636.0,,182.0,0.0,0.123,,0.0,0.077,3941.0,,0.0,0.068,1.0,1.103,0.907
1736,HARPER UNIVERSITY HOSPITAL (230104),2016,Acute Care,Proprietary,363.0,42.351375,-83.057892,MI,0.735,45.0,61.186,97677.0,1.359,16181.0,24.0,17.655,2.073,16.0,7.719,102639.0,1.079,4.0,3.708,10.0,6.06,1.65
1737,MCLAREN - NORTHERN MICHIGAN (230105),2016,Acute Care,Voluntary non-profit - Other,197.0,45.373477,-84.969152,MI,1.502,33.0,21.964,39500.0,0.277,5279.0,1.0,3.609,0.625,1.0,1.6,40624.0,,0.0,0.475,1.0,3.494,0.286
1738,UP HEALTH SYSTEM PORTAGE (230108),2016,Acute Care,Voluntary non-profit - Other,96.0,47.141346,-88.585643,MI,0.658,1.0,1.52,4828.0,,455.0,0.0,0.366,,0.0,0.121,5374.0,,0.0,0.126,1.0,0.203,
1739,SPECTRUM HEALTH LUDINGTON HOSPITAL (230110),2016,Acute Care,Voluntary non-profit - Other,59.0,,,MI,2.894,7.0,2.419,8554.0,,107.0,0.0,0.078,,0.0,0.16,9028.0,,0.0,0.116,0.0,0.981,
1740,BORGESS MEDICAL CENTER (230117),2016,Acute Care,Voluntary non-profit - Other,355.0,42.304759,-85.561425,MI,0.637,27.0,42.373,53713.0,0.196,9969.0,2.0,10.179,1.286,3.0,2.332,56153.0,0.0,0.0,1.584,2.0,4.56,0.439
1741,HURON MEDICAL CENTER (230118),2016,Acute Care,Voluntary non-profit - Other,50.0,43.802234,-83.030815,MI,0.0,0.0,2.749,4464.0,,234.0,0.0,0.188,,0.0,0.114,5154.0,,0.0,0.287,0.0,0.018,
1742,MEMORIAL HEALTHCARE (230121),2016,Acute Care,Voluntary non-profit - Other,156.0,43.005075,-84.182076,MI,1.919,9.0,4.69,10083.0,,1085.0,1.0,0.74,,1.0,0.475,10083.0,,1.0,0.435,1.0,0.422,
1743,"BEAUMONT HOSPITAL, ROYAL OAK (230130)",2016,Acute Care,Voluntary non-profit - Private,1088.0,42.517687,-83.192142,MI,0.718,305.0,424.571,303351.0,1.467,39043.0,61.0,41.578,1.056,33.0,31.255,328850.0,0.328,1.0,3.052,10.0,15.955,0.627
1744,HURLEY MEDICAL CENTER (230132),2016,Acute Care,Voluntary non-profit - Other,418.0,,,MI,0.987,59.0,59.748,80316.0,1.804,14733.0,30.0,16.627,1.457,11.0,7.55,97281.0,2.408,4.0,1.661,8.0,3.208,2.494
1745,OTSEGO MEMORIAL HOSPITAL (230133),2016,Acute Care,Voluntary non-profit - Private,80.0,45.035332,-84.673887,MI,0.282,1.0,3.55,5453.0,,273.0,0.0,0.185,,0.0,0.146,6041.0,,0.0,0.127,2.0,1.007,1.986
1746,MCLAREN FLINT (230141),2016,Acute Care,Voluntary non-profit - Private,337.0,43.014187,-83.733578,MI,0.933,55.0,58.954,79776.0,1.656,8761.0,15.0,9.057,1.277,8.0,6.264,81038.0,1.433,3.0,2.094,9.0,6.318,1.425
1747,BEAUMONT HOSPITAL - WAYNE (230142),2016,Acute Care,Voluntary non-profit - Private,152.0,42.274275,-83.365625,MI,0.975,22.0,22.574,33036.0,0.945,2532.0,2.0,2.117,2.123,3.0,1.413,34509.0,,2.0,0.82,3.0,1.613,1.86
1748,FOREST HEALTH MEDICAL CENTER (230144),2016,Acute Care,Government - Hospital District or Authority,24.0,42.237383,-83.601916,MI,,0.0,0.187,1665.0,,2.0,0.0,0.001,,0.0,0.019,1665.0,,,,,,
1749,HENRY FORD WYANDOTTE HOSPITAL (230146),2016,Acute Care,Voluntary non-profit - Private,355.0,42.209694,-83.148776,MI,1.333,47.0,35.258,54486.0,1.395,8971.0,13.0,9.317,0.912,2.0,2.192,54486.0,0.898,2.0,2.227,3.0,3.667,0.818
1750,BEAUMONT HOSPITAL - FARMINGTON HILLS (230151),2016,Acute Care,Voluntary non-profit - Private,298.0,42.44363,-83.324789,MI,0.77,40.0,51.94,61073.0,1.168,11366.0,12.0,10.27,1.972,9.0,4.563,62709.0,,0.0,0.819,2.0,3.463,0.578
1751,ST JOSEPH MERCY HOSPITAL (230156),2016,Acute Care,Voluntary non-profit - Church,505.0,42.261803,-83.659819,MI,1.121,114.0,101.65,121211.0,1.171,13703.0,17.0,14.516,0.616,4.0,6.49,133016.0,0.0,0.0,2.126,10.0,7.073,1.414
1752,ST JOHN HOSPITAL AND MEDICAL CENTER (230165),2016,Acute Care,Voluntary non-profit - Church,650.0,42.419011,-82.915008,MI,0.832,69.0,82.884,136047.0,0.738,17707.0,15.0,20.325,2.266,18.0,7.943,154322.0,0.556,1.0,1.798,1.0,7.287,0.137
1753,MCLAREN GREATER LANSING (230167),2016,Acute Care,Voluntary non-profit - Private,282.0,42.704799,-84.555111,MI,0.398,16.0,40.214,57271.0,0.0,4284.0,0.0,4.252,0.657,2.0,3.043,59557.0,0.0,0.0,1.661,3.0,2.988,1.004
1754,NORTH OTTAWA COMMUNITY HEALTH SYSTEM (230174),2016,Acute Care,Government - Hospital District or Authority,70.0,43.05161,-86.227963,MI,0.651,3.0,4.61,4516.0,,165.0,0.0,0.115,,0.0,0.211,5148.0,,1.0,0.032,0.0,0.202,
1755,BEAUMONT HOSPITAL - TRENTON (230176),2016,Acute Care,Voluntary non-profit - Private,192.0,42.115786,-83.211814,MI,1.1,32.0,29.095,37575.0,0.929,3805.0,3.0,3.229,0.0,0.0,2.534,39379.0,,0.0,0.173,1.0,2.277,0.439
1756,MIDMICHIGAN MEDICAL CENTER-CLARE (230180),2016,Acute Care,Voluntary non-profit - Other,49.0,43.820724,-84.768349,MI,,3.0,0.444,3047.0,,110.0,0.0,0.075,,0.0,0.044,3047.0,,,,0.0,0.193,
1757,MCLAREN LAPEER REGION (230193),2016,Acute Care,Voluntary non-profit - Private,193.0,43.06271,-83.319345,MI,0.884,17.0,19.222,28222.0,0.0,1835.0,0.0,1.298,0.711,1.0,1.406,28656.0,,1.0,0.666,0.0,1.756,0.0
1758,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER (230195),2016,Acute Care,Voluntary non-profit - Private,518.0,42.507178,-83.003535,MI,1.553,99.0,63.754,119314.0,0.975,10749.0,10.0,10.252,0.935,9.0,9.626,119314.0,,1.0,0.583,4.0,5.216,0.767
1759,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK (230197),2016,Acute Care,Voluntary non-profit - Church,373.0,,,MI,0.77,42.0,54.53,99725.0,0.489,13918.0,7.0,14.309,1.224,9.0,7.35,103408.0,0.342,1.0,2.92,7.0,7.598,0.921
1760,MCLAREN OAKLAND (230207),2016,Acute Care,Voluntary non-profit - Private,166.0,42.638394,-83.291095,MI,0.395,7.0,17.738,27439.0,0.285,3225.0,1.0,3.505,0.0,0.0,1.936,26829.0,,0.0,0.567,2.0,1.069,1.871
1761,SPARROW CARSON HOSPITAL (230208),2016,Acute Care,Voluntary non-profit - Other,52.0,43.175989,-84.843788,MI,,,,,,61.0,0.0,0.043,,0.0,0.0,1.0,,,,0.0,0.019,
1762,MCLAREN PORT HURON (230216),2016,Acute Care,Voluntary non-profit - Private,185.0,42.986743,-82.427839,MI,1.226,31.0,25.282,35351.0,0.404,3666.0,1.0,2.478,0.625,1.0,1.601,38061.0,,0.0,0.611,0.0,2.333,0.0
1763,OAKLAWN HOSPITAL (230217),2016,Acute Care,Voluntary non-profit - Other,78.0,42.273533,-84.957796,MI,0.16,1.0,6.245,13205.0,,741.0,1.0,0.514,,0.0,0.306,13205.0,,0.0,0.172,0.0,0.67,
1764,MIDMICHIGAN MEDICAL CENTER-MIDLAND (230222),2016,Acute Care,Voluntary non-profit - Other,290.0,43.635617,-84.261689,MI,0.826,17.0,20.587,41825.0,0.218,5055.0,1.0,4.585,0.0,0.0,1.411,43647.0,,3.0,0.475,0.0,3.309,0.0
1765,MCLAREN MACOMB (230227),2016,Acute Care,Proprietary,282.0,42.586795,-82.896918,MI,0.798,35.0,43.875,58874.0,0.232,4980.0,1.0,4.309,0.41,1.0,2.44,61228.0,0.0,0.0,2.117,1.0,2.978,0.336
1766,EDWARD W SPARROW HOSPITAL (230230),2016,Acute Care,Voluntary non-profit - Other,616.0,42.733609,-84.534816,MI,0.712,96.0,134.831,148551.0,0.501,15009.0,9.0,17.98,0.718,7.0,9.744,162195.0,0.726,2.0,2.756,14.0,7.668,1.826
1767,METRO HEALTH HOSPITAL (230236),2016,Acute Care,Voluntary non-profit - Private,208.0,42.858067,-85.722937,MI,0.526,10.0,19.025,45798.0,0.702,3418.0,2.0,2.85,0.494,1.0,2.025,48934.0,,7.0,0.521,8.0,3.451,2.318
1768,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL (230239),2016,Acute Care,Voluntary non-profit - Private,138.0,46.498099,-84.349513,MI,1.419,9.0,6.343,10326.0,,470.0,0.0,0.376,,0.0,0.253,14233.0,,0.0,0.016,0.0,0.264,
1769,ST JOHN RIVER DISTRICT HOSPITAL (230241),2016,Acute Care,Government - Hospital District or Authority,68.0,42.786505,-82.478208,MI,1.016,2.0,1.968,5691.0,,398.0,0.0,0.269,,0.0,0.145,5691.0,,0.0,0.211,0.0,0.165,
1770,GARDEN CITY HOSPITAL (230244),2016,Acute Care,Voluntary non-profit - Private,168.0,42.332356,-83.311771,MI,1.247,27.0,21.659,32661.0,5.705,3606.0,17.0,2.98,1.145,2.0,1.747,35983.0,,2.0,0.56,4.0,2.095,1.909
1771,CRITTENTON HOSPITAL MEDICAL CENTER (230254),2016,Acute Care,Voluntary non-profit - Private,230.0,42.680882,-83.149228,MI,0.426,9.0,21.148,44643.0,1.017,3537.0,3.0,2.95,0.439,1.0,2.279,47095.0,,0.0,0.458,1.0,2.37,0.422
1772,ST JOSEPH MERCY CHELSEA (230259),2016,Acute Care,Voluntary non-profit - Private,126.0,42.310594,-84.016571,MI,0.215,1.0,4.653,10027.0,,402.0,0.0,0.325,,1.0,0.242,10027.0,,0.0,0.674,0.0,2.094,0.0
1773,SOUTHEAST MICHIGAN SURGICAL HOSPITAL (230264),2016,Acute Care,Voluntary non-profit - Private,13.0,42.451395,-83.08356,MI,,0.0,0.024,159.0,,2.0,0.0,0.002,,0.0,0.003,159.0,,,,,,
1774,"BEAUMONT HOSPITAL, TROY (230269)",2016,Acute Care,Voluntary non-profit - Private,484.0,,,MI,0.853,93.0,108.98,131211.0,0.493,7709.0,4.0,8.106,1.297,13.0,10.025,144381.0,1.549,4.0,2.583,6.0,10.899,0.551
1775,BEAUMONT HOSPITAL - TAYLOR (230270),2016,Acute Care,Voluntary non-profit - Private,184.0,42.233501,-83.269667,MI,1.026,21.0,20.473,25391.0,1.076,2193.0,2.0,1.858,0.0,0.0,1.08,25391.0,,0.0,0.037,0.0,0.441,
1776,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER (230273),2016,Acute Care,Proprietary,229.0,,,MI,0.847,41.0,48.383,68745.0,1.453,9152.0,15.0,10.324,3.827,22.0,5.749,68745.0,,0.0,0.022,5.0,3.511,1.424
1777,HEALTHSOURCE SAGINAW (230275),2016,Acute Care,Voluntary non-profit - Other,335.0,43.456418,-84.052048,MI,,0.0,0.157,962.0,,,,,,0.0,0.023,962.0,,,,,,
1778,HURON VALLEY-SINAI HOSPITAL (230277),2016,Acute Care,Proprietary,142.0,,,MI,1.184,20.0,16.894,29899.0,0.391,3012.0,1.0,2.556,1.178,2.0,1.698,33521.0,,1.0,0.668,3.0,2.086,1.438
1779,BRIGHTON HOSPITAL (230279),2016,Acute Care,Voluntary non-profit - Private,99.0,42.51766,-83.694523,MI,0.0,0.0,4.577,27002.0,,,,,,0.0,0.632,27002.0,,,,,,
1780,KARMANOS CANCER CENTER (230297),2016,Acute Care,Proprietary,122.0,42.35189,-83.058192,MI,1.339,39.0,29.126,25099.0,0.0,1094.0,0.0,1.139,4.721,11.0,2.33,25099.0,,,,,,
1781,OAKLAND REGIONAL HOSPITAL (230301),2016,Acute Care,Proprietary,61.0,42.457316,-83.202675,MI,,0.0,0.843,3875.0,,6.0,0.0,0.004,,0.0,0.09,3867.0,,,,,,
1782,HENRY FORD WEST BLOOMFIELD HOSPITAL (230302),2016,Acute Care,Voluntary non-profit - Private,191.0,42.541451,-83.409433,MI,1.053,31.0,29.446,48558.0,1.677,6548.0,9.0,5.366,0.66,2.0,3.032,52877.0,0.0,0.0,1.664,3.0,3.127,0.959
1783,WEST SHORE MEDICAL CENTER (230303),2016,Acute Care,Voluntary non-profit - Other,40.0,44.272355,-86.273439,MI,1.124,2.0,1.78,5736.0,,335.0,0.0,0.218,,0.0,0.106,5968.0,,0.0,0.403,1.0,0.874,
1784,SAINT MARY'S STANDISH COMMUNITY HOSPITAL (231305),2016,Critical Access,Voluntary non-profit - Church,57.0,43.98283,-83.969352,MI,,1.0,0.685,2476.0,,255.0,0.0,0.075,,0.0,0.051,2476.0,,,,,,
1785,BORGESS-LEE MEMORIAL HOSPITAL (231315),2016,Critical Access,Voluntary non-profit - Private,25.0,41.982665,-86.115499,MI,,,,,,5.0,0.0,0.002,,,,,,,,,,
1786,SPECTRUM HEALTH KELSEY HOSPITAL (231317),2016,Critical Access,Voluntary non-profit - Private,45.0,43.4411,-85.278516,MI,,0.0,0.529,1641.0,,139.0,0.0,0.042,,0.0,0.034,1641.0,,,,,,
1787,BELL HOSPITAL (231321),2016,Critical Access,Proprietary,25.0,46.498665,-87.682993,MI,,0.0,0.172,779.0,,,,,,0.0,0.016,816.0,,0.0,0.007,,,
1788,SPECTRUM HEALTH REED CITY HOSPITAL (231323),2016,Critical Access,Voluntary non-profit - Private,74.0,,,MI,0.224,1.0,4.464,16566.0,,100.0,0.0,0.029,,0.0,0.344,16566.0,,0.0,0.062,,,
1789,MIDMICHIGAN MEDICAL CENTER-GLADWIN (231325),2016,Critical Access,Voluntary non-profit - Private,25.0,43.975731,-84.495354,MI,,0.0,0.446,1576.0,,40.0,0.0,0.012,,0.0,0.033,1576.0,,,,,,
1790,SPARROW CLINTON HOSPITAL (231326),2016,Critical Access,Proprietary,25.0,42.993435,-84.555808,MI,,,,,,,,,,,,,,,,0.0,0.477,
1791,ALLEGAN GENERAL HOSPITAL (231328),2016,Critical Access,Voluntary non-profit - Other,25.0,42.520259,-85.856939,MI,,0.0,0.077,348.0,,27.0,0.0,0.008,,0.0,0.007,348.0,,,,,,
1792,MARLETTE REGIONAL HOSPITAL (231330),2016,Critical Access,Voluntary non-profit - Private,70.0,43.332579,-83.08016,MI,,,,,,41.0,0.0,0.012,,,,,,,,,,
1793,BRONSON LAKEVIEW HOSPITAL (231332),2016,Critical Access,Government - Hospital District or Authority,33.0,42.221036,-85.898014,MI,0.496,1.0,2.018,5186.0,,,,,,0.0,0.109,5186.0,,,,0.0,0.042,
1794,ASPIRUS IRONWOOD HOSPITAL (231333),2016,Critical Access,Voluntary non-profit - Private,25.0,46.478193,-90.104689,MI,,,,,,38.0,0.0,0.011,,,,,,0.0,0.029,0.0,0.027,
1795,PROMEDICA HERRICK HOSPITAL (231334),2016,Critical Access,Government - Federal,35.0,42.002909,-83.93755,MI,,0.0,0.651,1951.0,,63.0,0.0,0.019,,0.0,0.041,1951.0,,,,,,
1796,ST FRANCIS HOSPITAL (231337),2016,Critical Access,Voluntary non-profit - Church,25.0,45.74576,-87.094853,MI,,1.0,0.301,664.0,,36.0,0.0,0.011,,0.0,0.014,664.0,,0.0,0.091,0.0,0.282,
1797,SPECTRUM HEALTH GERBER MEMORIAL (231338),2016,Critical Access,Voluntary non-profit - Private,25.0,43.464383,-85.950763,MI,0.438,1.0,2.284,5030.0,,80.0,0.0,0.023,,0.0,0.105,5030.0,,0.0,0.093,0.0,0.262,
1798,NORTH MEMORIAL MEDICAL CENTER (240001),2016,Acute Care,Voluntary non-profit - Private,398.0,45.014214,-93.321172,MN,1.145,62.0,54.166,71809.0,0.731,15540.0,12.0,16.424,0.771,3.0,3.89,77056.0,,0.0,0.143,2.0,4.664,0.429
1799,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER (240002),2016,Acute Care,Voluntary non-profit - Private,335.0,46.792843,-92.096395,MN,0.943,59.0,62.536,81500.0,0.328,14973.0,5.0,15.227,0.128,1.0,7.812,88987.0,0.0,0.0,1.026,9.0,5.46,1.648
1800,HENNEPIN COUNTY MEDICAL CENTER 1 (240004),2016,Acute Care,Government - Local,469.0,44.97285,-93.262707,MN,0.689,40.0,58.091,80269.0,0.499,11228.0,6.0,12.034,1.176,8.0,6.805,89062.0,,3.0,0.394,9.0,3.228,2.788
1801,OLMSTED MEDICAL CENTER (240006),2016,Acute Care,Voluntary non-profit - Private,61.0,44.020994,-92.439958,MN,0.577,1.0,1.734,6242.0,,60.0,0.0,0.043,,0.0,0.125,7037.0,,0.0,0.217,0.0,0.439,
1802,MAYO CLINIC HOSPITAL ROCHESTER (240010),2016,Acute Care,Voluntary non-profit - Church,1151.0,44.021643,-92.481355,MN,0.721,181.0,251.084,307032.0,1.192,65414.0,80.0,67.105,0.386,11.0,28.494,324631.0,0.909,5.0,5.501,36.0,35.342,1.019
1803,NORTHFIELD HOSPITAL (240014),2016,Acute Care,Government - Local,77.0,44.471386,-93.191159,MN,0.0,0.0,1.306,4212.0,,85.0,0.0,0.055,,0.0,0.113,5189.0,,0.0,0.266,0.0,0.681,
1804,MAYO CLINIC HEALTH SYSTEM IN RED WING (240018),2016,Acute Care,Voluntary non-profit - Private,62.0,44.560274,-92.575197,MN,0.612,1.0,1.634,5632.0,,154.0,0.0,0.103,,0.0,0.136,6299.0,,0.0,0.227,0.0,0.547,
1805,ESSENTIA HEALTH DULUTH (240019),2016,Acute Care,Voluntary non-profit - Private,141.0,46.793074,-92.094155,MN,0.517,4.0,7.743,16473.0,0.821,1366.0,1.0,1.218,,0.0,0.536,16473.0,,2.0,0.389,,,
1806,CAMBRIDGE MEDICAL CENTER (240020),2016,Acute Care,Voluntary non-profit - Private,72.0,45.56657,-93.229319,MN,0.886,5.0,5.645,11518.0,,278.0,0.0,0.186,,0.0,0.266,12246.0,,0.0,0.073,0.0,0.159,
1807,SANFORD WORTHINGTON MEDICAL CENTER (240022),2016,Acute Care,Voluntary non-profit - Private,48.0,43.621858,-95.599179,MN,,0.0,0.599,2964.0,,9.0,0.0,0.008,,0.0,0.075,3246.0,,1.0,0.032,0.0,0.163,
1808,DOUGLAS COUNTY HOSPITAL (240030),2016,Acute Care,Government - Local,99.0,45.872669,-95.37638,MN,1.265,8.0,6.323,11914.0,,274.0,0.0,0.183,,0.0,0.543,13427.0,,2.0,0.61,1.0,1.405,0.712
1809,ST CLOUD HOSPITAL (240036),2016,Acute Care,Voluntary non-profit - Private,482.0,45.575325,-94.17045,MN,1.139,106.0,93.068,106047.0,0.645,17640.0,10.0,15.502,1.464,8.0,5.463,118199.0,0.0,0.0,1.368,5.0,7.577,0.66
1810,UNITED HOSPITAL (240038),2016,Acute Care,Voluntary non-profit - Private,372.0,44.94185,-93.108302,MN,0.663,44.0,66.376,91760.0,0.143,6938.0,1.0,6.997,0.445,2.0,4.496,96710.0,2.37,5.0,2.11,9.0,5.537,1.625
1811,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS (240040),2016,Acute Care,Voluntary non-profit - Other,78.0,47.411053,-92.929534,MN,0.187,1.0,5.351,13217.0,,361.0,0.0,0.233,,0.0,0.416,13882.0,,2.0,0.207,0.0,0.388,
1812,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA (240043),2016,Acute Care,Voluntary non-profit - Private,126.0,43.651558,-93.372469,MN,0.294,2.0,6.796,12259.0,,261.0,0.0,0.18,,1.0,0.434,13737.0,,1.0,0.196,1.0,0.902,
1813,WINONA HEALTH SERVICES (240044),2016,Acute Care,Voluntary non-profit - Private,54.0,44.033016,-91.622136,MN,0.947,5.0,5.28,7986.0,,207.0,0.0,0.153,,0.0,0.248,8729.0,,0.0,0.088,1.0,0.608,
1814,ST LUKES HOSPITAL (240047),2016,Acute Care,Voluntary non-profit - Private,267.0,46.797027,-92.087038,MN,1.505,55.0,36.537,48075.0,0.149,8084.0,1.0,6.692,0.0,0.0,2.296,49682.0,,0.0,0.194,3.0,3.06,0.98
1815,FAIRVIEW LAKES MEDICAL CENTER (240050),2016,Acute Care,Voluntary non-profit - Private,54.0,45.322267,-92.998466,MN,0.548,3.0,5.47,8729.0,,536.0,1.0,0.348,,0.0,0.338,10170.0,,0.0,0.135,1.0,0.462,
1816,LAKE REGION HEALTHCARE CORPORATION (240052),2016,Acute Care,Voluntary non-profit - Private,103.0,46.277138,-96.072407,MN,2.168,5.0,2.306,6223.0,,507.0,1.0,0.341,,0.0,0.205,6871.0,,0.0,0.256,0.0,0.642,
1817,PARK NICOLLET METHODIST HOSPITAL (240053),2016,Acute Care,Voluntary non-profit - Private,374.0,44.927054,-93.362391,MN,1.096,65.0,59.29,78329.0,0.794,7282.0,5.0,6.299,0.311,1.0,3.212,87438.0,1.41,2.0,1.418,2.0,4.907,0.408
1818,RIDGEVIEW MEDICAL CENTER (240056),2016,Acute Care,Voluntary non-profit - Private,118.0,44.843306,-93.790772,MN,0.835,8.0,9.586,19072.0,,718.0,1.0,0.489,,0.0,0.585,16363.0,,0.0,0.453,3.0,2.437,1.231
1819,ABBOTT NORTHWESTERN HOSPITAL (240057),2016,Acute Care,Voluntary non-profit - Private,670.0,44.951954,-93.262248,MN,1.002,128.0,127.774,162874.0,0.967,21680.0,21.0,21.708,0.339,3.0,8.84,168240.0,2.361,6.0,2.541,7.0,8.695,0.805
1820,REGINA HOSPITAL (240059),2016,Acute Care,Voluntary non-profit - Church,61.0,44.747131,-92.871399,MN,0.0,0.0,1.132,3693.0,,237.0,0.0,0.154,,0.0,0.076,4239.0,,0.0,0.034,1.0,0.297,
1821,ST JOSEPH'S HOSPITAL (240063),2016,Acute Care,Voluntary non-profit - Private,210.0,44.949062,-93.100127,MN,0.793,16.0,20.167,61609.0,0.0,1819.0,0.0,1.438,0.768,2.0,2.604,63775.0,,0.0,0.01,5.0,1.52,3.289
1822,GRAND ITASCA CLINIC AND HOSPITAL (240064),2016,Acute Care,Voluntary non-profit - Private,38.0,47.221039,-93.554716,MN,0.0,0.0,1.37,3640.0,,77.0,0.0,0.051,,0.0,0.099,3640.0,,0.0,0.159,3.0,0.504,
1823,LAKEVIEW MEMORIAL HOSPITAL (240066),2016,Acute Care,Voluntary non-profit - Private,68.0,45.048126,-92.818489,MN,0.0,0.0,2.932,11349.0,,269.0,0.0,0.183,,0.0,0.222,12541.0,,0.0,0.045,2.0,0.751,
1824,OWATONNA HOSPITAL (240069),2016,Acute Care,Voluntary non-profit - Other,40.0,44.109798,-93.236301,MN,0.962,2.0,2.079,6991.0,,152.0,0.0,0.106,,0.0,0.143,8073.0,,0.0,0.183,0.0,0.3,
1825,DISTRICT ONE HOSPITAL (240071),2016,Acute Care,Voluntary non-profit - Private,34.0,44.288715,-93.256022,MN,0.0,0.0,1.952,4469.0,,190.0,0.0,0.129,,0.0,0.1,5232.0,,0.0,0.104,0.0,0.098,
1826,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER (240075),2016,Acute Care,Voluntary non-profit - Private,144.0,46.362509,-94.205143,MN,0.562,7.0,12.462,21373.0,,1186.0,1.0,0.785,,0.0,0.854,22304.0,,0.0,0.143,5.0,1.304,3.834
1827,BUFFALO HOSPITAL (240076),2016,Acute Care,Voluntary non-profit - Other,42.0,45.1932,-93.87053,MN,0.832,3.0,3.605,7254.0,,297.0,0.0,0.198,,0.0,0.252,8414.0,,0.0,0.08,1.0,0.63,
1828,FAIRVIEW SOUTHDALE HOSPITAL (240078),2016,Acute Care,Voluntary non-profit - Other,333.0,44.886279,-93.328857,MN,0.967,51.0,52.764,74252.0,0.639,9684.0,5.0,7.828,0.286,1.0,3.491,84653.0,0.755,1.0,1.325,2.0,5.176,0.386
1829,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW (240080)",2016,Acute Care,Voluntary non-profit - Private,832.0,44.966335,-93.23812,MN,1.098,186.0,169.404,192788.0,0.388,30911.0,13.0,33.508,0.565,9.0,15.939,207823.0,1.249,3.0,2.401,7.0,8.101,0.864
1830,ESSENTIA HEALTH VIRGINIA (240084),2016,Acute Care,Government - Local,146.0,47.530711,-92.548797,MN,0.0,0.0,2.611,4865.0,,163.0,0.0,0.148,,0.0,0.15,5430.0,,0.0,0.06,0.0,0.768,
1831,RICE MEMORIAL HOSPITAL (240088),2016,Acute Care,Government - Local,164.0,45.120514,-95.046366,MN,1.546,9.0,5.823,13385.0,,397.0,2.0,0.263,,0.0,0.402,15247.0,,0.0,0.059,2.0,1.092,1.832
1832,MAYO CLINIC HEALTH SYSTEM - MANKATO (240093),2016,Acute Care,Voluntary non-profit - Private,168.0,44.165047,-93.983738,MN,1.358,30.0,22.089,38782.0,0.0,3158.0,0.0,2.59,0.0,0.0,1.239,38782.0,,0.0,0.892,1.0,2.776,0.36
1833,SANFORD BEMIDJI MEDICAL CENTER (240100),2016,Acute Care,Voluntary non-profit - Private,192.0,47.505009,-94.898125,MN,0.615,10.0,16.261,18140.0,,1328.0,5.0,0.898,,0.0,0.927,20929.0,,0.0,0.745,5.0,1.398,3.577
1834,ESSENTIA HEALTH ST MARYS - DETROIT LAKES (240101),2016,Acute Care,Voluntary non-profit - Church,133.0,46.815307,-95.845453,MN,0.0,0.0,3.483,7114.0,,234.0,0.0,0.155,,0.0,0.31,8167.0,,0.0,0.122,0.0,0.298,
1835,ST FRANCIS REGIONAL MEDICAL CENTER (240104),2016,Acute Care,Voluntary non-profit - Church,85.0,44.770075,-93.503569,MN,0.977,8.0,8.191,17026.0,,1415.0,0.0,0.947,,0.0,0.594,19743.0,,0.0,0.341,3.0,1.735,1.729
1836,REGIONS HOSPITAL (240106),2016,Acute Care,Voluntary non-profit - Private,450.0,44.955338,-93.096277,MN,0.95,78.0,82.111,117924.0,1.421,11297.0,16.0,11.257,0.768,5.0,6.512,122776.0,1.842,2.0,1.086,9.0,5.52,1.63
1837,MERCY HOSPITAL (240115),2016,Acute Care,Voluntary non-profit - Private,360.0,45.183842,-93.368221,MN,1.094,51.0,46.608,76773.0,1.117,3925.0,3.0,2.685,0.415,1.0,2.407,81309.0,1.61,3.0,1.863,4.0,5.108,0.783
1838,UNITY HOSPITAL (240132),2016,Acute Care,Voluntary non-profit - Other,194.0,,,MN,0.579,16.0,27.62,40201.0,0.0,3658.0,0.0,2.477,0.0,0.0,1.477,41012.0,,1.0,0.307,3.0,2.02,1.485
1839,FAIRVIEW NORTHLAND REGIONAL HOSPITAL (240141),2016,Acute Care,Voluntary non-profit - Other,38.0,45.55888,-93.588931,MN,1.103,2.0,1.814,5096.0,,473.0,0.0,0.318,,0.0,0.105,5889.0,,0.0,0.04,1.0,0.323,
