,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
1471,MERCY MEDICAL CENTER INC (210008),2021,Acute Care,Voluntary non-profit - Church,254.0,39.29255,-76.61355,MD,1.8,,6.3
1472,"JOHNS HOPKINS HOSPITAL, THE (210009)",2021,Acute Care,Voluntary non-profit - Private,984.0,39.297502,-76.590807,MD,0.3,,4.4
1473,SAINT AGNES HOSPITAL (210011),2021,Acute Care,Voluntary non-profit - Church,290.0,39.272628,-76.670816,MD,0.0,,
1474,SINAI HOSPITAL OF BALTIMORE (210012),2021,Acute Care,Voluntary non-profit - Other,440.0,39.354645,-76.66233,MD,0.7,,9.2
1475,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER (210015),2021,Acute Care,Voluntary non-profit - Private,364.0,39.350335,-76.481012,MD,0.0,,
1476,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER (210016),2021,Acute Care,Voluntary non-profit - Private,216.0,39.0506,-76.956948,MD,0.0,,2.2
1477,GARRETT COUNTY MEMORIAL HOSPITAL (210017),2021,Acute Care,Voluntary non-profit - Private,36.0,39.413325,-79.40273,MD,0.9,,6.2
1478,MEDSTAR MONTGOMERY MEDICAL CENTER (210018),2021,Acute Care,Voluntary non-profit - Private,126.0,39.153858,-77.056819,MD,0.3,,
1479,PENINSULA REGIONAL MEDICAL CENTER (210019),2021,Acute Care,Voluntary non-profit - Private,298.0,38.363068,-75.599489,MD,0.4,,5.5
1480,SUBURBAN HOSPITAL (210022),2021,Acute Care,Voluntary non-profit - Private,229.0,38.997251,-77.10922,MD,0.0,,
1481,ANNE ARUNDEL MEDICAL CENTER (210023),2021,Acute Care,Voluntary non-profit - Private,376.0,38.991115,-76.536058,MD,0.0,,
1482,MEDSTAR UNION MEMORIAL HOSPITAL (210024),2021,Acute Care,Voluntary non-profit - Other,208.0,39.330382,-76.61438,MD,0.0,,6.6
1483,WESTERN MARYLAND REGIONAL MEDICAL CENTER (210027),2021,Acute Care,Voluntary non-profit - Private,226.0,39.650091,-78.732777,MD,0.5,,4.4
1484,MEDSTAR SAINT MARY'S HOSPITAL (210028),2021,Acute Care,Voluntary non-profit - Private,95.0,38.299239,-76.640383,MD,0.8,,
1485,JOHNS HOPKINS BAYVIEW MEDICAL CENTER (210029),2021,Acute Care,Voluntary non-profit - Private,441.0,39.287285,-76.552134,MD,0.0,,3.3
1486,UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN (210030),2021,Acute Care,Voluntary non-profit - Private,29.0,39.216845,-76.064492,MD,3.3,,
1487,UNION HOSPITAL OF CECIL COUNTY (210032),2021,Acute Care,Voluntary non-profit - Private,120.0,39.60801,-75.831028,MD,1.5,,4.5
1488,CARROLL HOSPITAL CENTER (210033),2021,Acute Care,Voluntary non-profit - Private,161.0,39.556135,-76.991655,MD,0.0,,
1489,MEDSTAR HARBOR HOSPITAL (210034),2021,Acute Care,Voluntary non-profit - Private,144.0,39.251349,-76.615048,MD,0.0,,
1490,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER (210035),2021,Acute Care,Voluntary non-profit - Private,106.0,38.529266,-76.970818,MD,0.3,,
1491,UMD SHORE MEDICAL CENTER AT EASTON (210037),2021,Acute Care,Voluntary non-profit - Private,169.0,38.769655,-76.075825,MD,1.4,,
1492,UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS (210038),2021,Acute Care,Voluntary non-profit - Other,177.0,39.300389,-76.62086,MD,0.0,,
1493,CALVERTHEALTH MEDICAL CENTER (210039),2021,Acute Care,Voluntary non-profit - Other,92.0,38.558601,-76.597788,MD,0.0,,3.1
1494,NORTHWEST HOSPITAL CENTER (210040),2021,Acute Care,Voluntary non-profit - Private,242.0,39.359208,-76.782944,MD,0.0,,
1495,UNIVERSITY OF MD BALTIMORE WASHINGTON MEDICAL CENTER (210043),2021,Acute Care,Voluntary non-profit - Other,298.0,39.138784,-76.622247,MD,0.0,,
1496,GREATER BALTIMORE MEDICAL CENTER (210044),2021,Acute Care,Voluntary non-profit - Private,329.0,39.393497,-76.628092,MD,0.8,,9.5
1497,HOWARD COUNTY GENERAL HOSPITAL (210048),2021,Acute Care,Voluntary non-profit - Private,247.0,39.214405,-76.887198,MD,0.0,,
1498,UMD UPPER CHESAPEAKE MEDICAL CENTER (210049),2021,Acute Care,Voluntary non-profit - Other,171.0,39.519469,-76.348354,MD,0.1,,3.2
1499,DOCTORS'  COMMUNITY HOSPITAL (210051),2021,Acute Care,Proprietary,198.0,38.980428,-76.864641,MD,37.0,,
1500,MEDSTAR GOOD SAMARITAN HOSPITAL (210056),2021,Acute Care,Voluntary non-profit - Other,260.0,39.359301,-76.588684,MD,1.3,,
1501,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER (210057),2021,Acute Care,Voluntary non-profit - Church,346.0,39.098046,-77.201027,MD,0.0,,
1502,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR (210060),2021,Acute Care,Voluntary non-profit - Other,30.0,38.728813,-76.991588,MD,0.0,,
1503,ATLANTIC GENERAL HOSPITAL (210061),2021,Acute Care,Voluntary non-profit - Private,51.0,38.338604,-75.210472,MD,2.1,,
1504,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER (210062),2021,Acute Care,Voluntary non-profit - Private,206.0,38.75025,-76.874997,MD,0.0,,
1505,UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER (210063),2021,Acute Care,Voluntary non-profit - Private,250.0,39.388123,-76.613278,MD,0.5,,3.8
1506,HOLY CROSS GERMANTOWN HOSPITAL (210065),2021,Acute Care,Voluntary non-profit - Private,83.0,39.179034,-77.242442,MD,0.0,,
1507,"HEALTHALLIANCE HOSPITALS, INC (220001)",2021,Acute Care,Voluntary non-profit - Other,125.0,42.541193,-71.763033,MA,1.8,,4.5
1508,MOUNT AUBURN HOSPITAL (220002),2021,Acute Care,Voluntary non-profit - Private,202.0,42.374917,-71.134107,MA,2.4,44.4,3.8
1509,STURDY MEMORIAL HOSPITAL (220008),2021,Acute Care,Voluntary non-profit - Other,129.0,41.942695,-71.275279,MA,1.9,50.0,2.0
1510,LAWRENCE GENERAL HOSPITAL (220010),2021,Acute Care,Voluntary non-profit - Private,188.0,,,MA,2.3,,4.7
1511,CAMBRIDGE HEALTH ALLIANCE (220011),2021,Acute Care,Government - Local,257.0,42.374186,-71.104455,MA,0.6,,1.1
1512,CAPE COD HEALTHCARE (220012),2021,Acute Care,Voluntary non-profit - Private,259.0,41.652823,-70.274847,MA,1.5,38.1,3.9
1513,"COOLEY DICKINSON HOSPITAL INC,THE (220015)",2021,Acute Care,Voluntary non-profit - Private,140.0,42.331626,-72.653372,MA,0.9,36.2,4.8
1514,BAYSTATE FRANKLIN MEDICAL CENTER (220016),2021,Acute Care,Voluntary non-profit - Private,89.0,42.595606,-72.591287,MA,1.4,,9.1
1515,CARNEY HOSPITAL (220017),2021,Acute Care,Proprietary,134.0,42.278108,-71.066442,MA,0.0,,
1516,HARRINGTON MEMORIAL HOSPITAL-1 (220019),2021,Acute Care,Voluntary non-profit - Private,125.0,42.077182,-72.042065,MA,1.5,,
1517,SAINT ANNE'S HOSPITAL (220020),2021,Acute Care,Proprietary,182.0,41.693321,-71.163642,MA,1.2,42.9,3.8
1518,HOLYOKE MEDICAL CENTER (220024),2021,Acute Care,Voluntary non-profit - Private,191.0,42.199616,-72.627087,MA,0.7,,1.0
1519,ANNA JAQUES HOSPITAL (220029),2021,Acute Care,Voluntary non-profit - Private,138.0,42.814358,-70.889783,MA,1.0,,
1520,BAYSTATE WING HOSPITAL (220030),2021,Acute Care,Voluntary non-profit - Other,72.0,42.168727,-72.341031,MA,0.5,,5.0
1521,BOSTON MEDICAL CENTER (220031),2021,Acute Care,Voluntary non-profit - Private,438.0,42.33481,-71.07448,MA,1.3,34.2,3.1
1522,NORTHEAST HOSPITAL CORPORATION (220033),2021,Acute Care,Voluntary non-profit - Private,360.0,42.567592,-70.876201,MA,3.2,26.5,2.0
1523,NORTH SHORE MEDICAL CENTER - (220035),2021,Acute Care,Voluntary non-profit - Private,376.0,42.511747,-70.907251,MA,1.0,29.5,3.1
1524,ST ELIZABETH'S MEDICAL CENTER (220036),2021,Acute Care,Proprietary,270.0,42.349773,-71.14812,MA,4.6,,3.9
1525,BERKSHIRE MEDICAL CENTER (220046),2021,Acute Care,Voluntary non-profit - Other,271.0,42.458748,-73.249004,MA,3.0,47.7,4.7
1526,UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL (220049),2021,Acute Care,Voluntary non-profit - Private,67.0,42.354317,-71.553864,MA,0.0,,2.3
1527,SIGNATURE HEALTHCARE BROCKTON HOSPITAL (220052),2021,Acute Care,Voluntary non-profit - Other,214.0,42.08621,-70.991083,MA,0.9,46.9,5.1
1528,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH (220060),2021,Acute Care,Voluntary non-profit - Private,160.0,41.944246,-70.64472,MA,1.5,45.1,4.1
1529,LOWELL GENERAL HOSPITAL (220063),2021,Acute Care,Voluntary non-profit - Private,353.0,42.646307,-71.341323,MA,0.8,,7.4
1530,BAYSTATE NOBLE HOSPITAL (220065),2021,Acute Care,Voluntary non-profit - Private,95.0,42.117789,-72.760397,MA,1.0,,
1531,MERCY MEDICAL CTR (220066),2021,Acute Care,Voluntary non-profit - Private,338.0,42.115878,-72.595442,MA,0.3,,1.9
1532,MELROSEWAKEFIELD HEALTHCARE (220070),2021,Acute Care,Voluntary non-profit - Private,251.0,42.460278,-71.061993,MA,1.9,,4.4
1533,MASSACHUSETTS GENERAL HOSPITAL (220071),2021,Acute Care,Voluntary non-profit - Private,1002.0,42.3624,-71.068777,MA,0.6,,4.4
1534,MORTON HOSPITAL (220073),2021,Acute Care,Proprietary,124.0,41.905583,-71.09435,MA,0.8,39.3,
1535,SOUTHCOAST HOSPITALS GROUP (220074),2021,Acute Care,Voluntary non-profit - Private,842.0,41.710522,-71.146439,MA,1.9,35.5,6.4
1536,BAYSTATE MEDICAL CENTER (220077),2021,Acute Care,Voluntary non-profit - Private,715.0,42.121712,-72.605956,MA,0.0,,3.3
1537,HOLY FAMILY HOSPITAL (220080),2021,Acute Care,Proprietary,304.0,42.725829,-71.169618,MA,0.9,34.4,6.0
1538,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM (220083),2021,Acute Care,Voluntary non-profit - Private,58.0,42.277574,-71.237358,MA,1.2,,6.3
1539,EMERSON HOSPITAL - (220084),2021,Acute Care,Voluntary non-profit - Private,164.0,42.452628,-71.377231,MA,1.2,35.4,3.0
1540,BETH ISRAEL DEACONESS MEDICAL CENTER (220086),2021,Acute Care,Voluntary non-profit - Private,677.0,42.340575,-71.105504,MA,3.7,36.2,5.4
1541,MILFORD REGIONAL MEDICAL CENTER (220090),2021,Acute Care,Voluntary non-profit - Other,139.0,42.132835,-71.529014,MA,0.8,41.3,3.5
1542,HEYWOOD HOSPITAL - (220095),2021,Acute Care,Voluntary non-profit - Private,138.0,42.586565,-71.986165,MA,1.5,45.9,1.7
1543,NASHOBA VALLEY MEDICAL CENTER (220098),2021,Acute Care,Proprietary,70.0,42.576412,-71.573053,MA,1.2,,7.0
1544,SOUTH SHORE HOSPITAL (220100),2021,Acute Care,Voluntary non-profit - Private,363.0,42.17472,-70.954075,MA,1.3,45.7,2.9
1545,NEWTON-WELLESLEY HOSPITAL (220101),2021,Acute Care,Voluntary non-profit - Other,272.0,42.332339,-71.246592,MA,1.6,,5.5
1546,WINCHESTER HOSPITAL (220105),2021,Acute Care,Voluntary non-profit - Private,201.0,42.465496,-71.121408,MA,1.3,,6.4
1547,BETH ISRAEL DEACONESS HOSPITAL - MILTON (220108),2021,Acute Care,Government - Federal,93.0,42.252352,-71.075213,MA,0.6,,4.4
1548,BRIGHAM AND WOMEN'S HOSPITAL (220110),2021,Acute Care,Voluntary non-profit - Private,781.0,42.335954,-71.107661,MA,1.9,44.2,6.7
1549,GOOD SAMARITAN MEDICAL CENTER (220111),2021,Acute Care,Proprietary,253.0,42.09707,-71.065645,MA,2.3,31.4,7.0
1550,TUFTS MEDICAL CENTER (220116),2021,Acute Care,Voluntary non-profit - Private,388.0,42.349486,-71.063693,MA,2.6,,1.9
1551,FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S (220119),2021,Acute Care,Voluntary non-profit - Private,158.0,42.300886,-71.127203,MA,3.3,,5.4
1552,NORWOOD HOSPITAL (220126),2021,Acute Care,Proprietary,233.0,42.189462,-71.20264,MA,2.4,,1.6
1553,FALMOUTH HOSPITAL (220135),2021,Acute Care,Voluntary non-profit - Private,92.0,41.564962,-70.621126,MA,2.3,31.3,2.3
1554,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS (220163),2021,Acute Care,Voluntary non-profit - Private,652.0,42.27851,-71.759079,MA,1.7,,5.9
1555,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON (220171)",2021,Acute Care,Voluntary non-profit - Private,344.0,42.486578,-71.20563,MA,1.6,32.2,5.4
1556,METROWEST MEDICAL CENTER (220175),2021,Acute Care,Voluntary non-profit - Private,285.0,42.28427,-71.419754,MA,2.7,,
1557,ST VINCENT HOSPITAL (220176),2021,Acute Care,Proprietary,274.0,42.265971,-71.79549,MA,0.2,,4.2
1558,NANTUCKET COTTAGE HOSPITAL (220177),2021,Acute Care,Voluntary non-profit - Private,17.0,41.275542,-70.100261,MA,1.0,,
1559,MARTHA'S VINEYARD HOSPITAL INC (221300),2021,Critical Access,Voluntary non-profit - Private,24.0,,,MA,1.3,,
1560,FAIRVIEW HOSPITAL (221302),2021,Critical Access,Voluntary non-profit - Private,24.0,42.191982,-73.372523,MA,4.2,,4.8
1561,ATHOL MEMORIAL HOSPITAL (221303),2021,Critical Access,Voluntary non-profit - Private,24.0,42.586273,-72.208748,MA,4.5,,
1562,ST JOE MERCY HOSPITAL SYSTEM LIVONIA (230002),2021,Acute Care,Voluntary non-profit - Private,301.0,42.39657,-83.404577,MI,1.3,,
1563,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL (230003),2021,Acute Care,Voluntary non-profit - Private,57.0,42.819539,-85.988129,MI,3.4,,
1564,PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL (230005),2021,Acute Care,Voluntary non-profit - Private,80.0,41.912713,-84.049555,MI,1.3,,5.7
1565,THREE RIVERS HEALTH (230015),2021,Acute Care,Government - Hospital District or Authority,60.0,41.934946,-85.647048,MI,2.2,,
1566,BRONSON METHODIST HOSPITAL (230017),2021,Acute Care,Voluntary non-profit - Private,407.0,42.286165,-85.581333,MI,2.2,44.4,3.7
1567,"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI (230019)",2021,Acute Care,Voluntary non-profit - Church,584.0,42.459196,-83.205163,MI,2.5,29.2,3.6
1568,BEAUMONT HOSPITAL - DEARBORN (230020),2021,Acute Care,Voluntary non-profit - Private,595.0,42.291912,-83.211951,MI,1.6,,6.0
1569,"LAKELAND HOSPITAL, ST JOSEPH (230021)",2021,Acute Care,Voluntary non-profit - Private,302.0,42.089742,-86.477194,MI,0.7,,4.9
1570,PROMEDICA COLDWATER REGIONAL HOSPITAL (230022),2021,Acute Care,Government - Local,87.0,41.938969,-84.990585,MI,2.5,,4.7
1571,SINAI-GRACE HOSPITAL (230024),2021,Acute Care,Proprietary,371.0,42.420102,-83.181471,MI,3.7,,
1572,ST JOSEPH MERCY OAKLAND (230029),2021,Acute Care,Voluntary non-profit - Private,432.0,42.614943,-83.2751,MI,2.2,42.1,4.1
1573,MIDMICHIGAN MEDICAL CENTER-GRATIOT (230030),2021,Acute Care,Voluntary non-profit - Private,103.0,43.39168,-84.662278,MI,3.1,,6.4
1574,LAKE HURON MEDICAL CENTER (230031),2021,Acute Care,Voluntary non-profit - Church,164.0,42.955785,-82.431961,MI,2.1,,
1575,SPECTRUM HEALTH UNITED HOSPITAL (230035),2021,Acute Care,Voluntary non-profit - Other,85.0,43.175469,-85.268781,MI,1.4,52.8,0.0
1576,MIDMICHIGAN MEDICAL CENTER - ALPENA (230036),2021,Acute Care,Proprietary,129.0,45.076857,-83.450672,MI,1.3,48.0,2.9
1577,HILLSDALE HOSPITAL (230037),2021,Acute Care,Voluntary non-profit - Private,91.0,41.911437,-84.631702,MI,1.3,,
1578,SPECTRUM HEALTH (230038),2021,Acute Care,Voluntary non-profit - Private,1202.0,42.970527,-85.665319,MI,2.2,41.0,4.0
1579,MCLAREN BAY REGION (230041),2021,Acute Care,Voluntary non-profit - Private,521.0,43.589392,-83.868089,MI,2.9,40.8,7.1
1580,UNIVERSITY OF MICHIGAN HEALTH SYSTEM (230046),2021,Acute Care,Voluntary non-profit - Private,973.0,42.28534,-83.72904,MI,1.3,42.0,3.1
1581,HENRY FORD MACOMB HOSPITAL (230047),2021,Acute Care,Proprietary,455.0,42.612671,-82.963405,MI,2.5,40.4,4.3
1582,HENRY FORD HOSPITAL (230053),2021,Acute Care,Voluntary non-profit - Private,698.0,42.366114,-83.084592,MI,3.9,43.9,8.1
1583,UPHS MARQUETTE DLP HOSPITAL (230054),2021,Acute Care,Government - Local,268.0,46.543081,-87.411036,MI,7.8,40.9,2.1
1584,DICKINSON COUNTY MEMORIAL HOSPITAL (230055),2021,Acute Care,Government - Local,73.0,45.808572,-88.044268,MI,3.4,,4.8
1585,MUNSON HEALTHCARE GRAYLING HOSPITAL (230058),2021,Acute Care,Voluntary non-profit - Church,92.0,44.667251,-84.707939,MI,0.8,,4.3
1586,MERCY HEALTH SAINT MARY'S (230059),2021,Acute Care,Voluntary non-profit - Church,334.0,42.958252,-85.664114,MI,0.7,38.8,4.5
1587,MERCY HEALTH HACKLEY CAMPUS (230066),2021,Acute Care,Voluntary non-profit - Private,298.0,43.221939,-86.243075,MI,1.7,28.8,2.6
1588,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL (230069),2021,Acute Care,Voluntary non-profit - Other,52.0,42.615372,-83.939355,MI,0.6,,2.2
1589,COVENANT MEDICAL CENTER (230070),2021,Acute Care,Voluntary non-profit - Other,529.0,43.428097,-83.955548,MI,2.8,40.9,3.5
1590,HOLLAND COMMUNITY HOSPITAL (230072),2021,Acute Care,Voluntary non-profit - Private,189.0,42.774581,-86.112772,MI,1.2,,
1591,BRONSON BATTLE CREEK HOSPITAL (230075),2021,Acute Care,Proprietary,204.0,42.330618,-85.180404,MI,1.0,,5.6
1592,ASCENSION ST MARY'S HOSPITAL (230077),2021,Acute Care,Voluntary non-profit - Church,220.0,43.426012,-83.941936,MI,4.6,34.6,4.7
1593,LAKELAND HOSPITAL WATERVLIET (230078),2021,Acute Care,Voluntary non-profit - Private,46.0,42.184866,-86.25076,MI,0.5,,
1594,MCLAREN CENTRAL MICHIGAN (230080),2021,Acute Care,Voluntary non-profit - Private,72.0,43.598528,-84.761389,MI,4.3,,0.8
1595,MUNSON HEALTHCARE CADILLAC HOSPITAL (230081),2021,Acute Care,Voluntary non-profit - Church,67.0,44.246148,-85.390456,MI,0.7,,4.6
1596,BRONSON SOUTH HAVEN HOSPITAL (230085),2021,Acute Care,Government - Hospital District or Authority,32.0,42.391252,-86.26413,MI,2.3,,
1597,BEAUMONT HOSPITAL - GROSSE POINTE (230089),2021,Acute Care,Voluntary non-profit - Private,241.0,42.384197,-82.915386,MI,1.0,,3.8
1598,HENRY FORD ALLEGIANCE HEALTH (230092),2021,Acute Care,Voluntary non-profit - Other,367.0,42.250356,-84.393603,MI,1.2,30.0,5.5
1599,SPECTRUM HEALTH BIG RAPIDS HOSPITAL (230093),2021,Acute Care,Government - Local,50.0,43.693126,-85.475763,MI,2.4,,5.3
1600,MIDMICHIGAN MEDICAL CENTER - WEST BRANCH (230095),2021,Acute Care,Government - Local,88.0,44.26283,-84.24623,MI,3.0,,7.2
1601,STURGIS HOSPITAL (230096),2021,Acute Care,Government - Local,49.0,41.794193,-85.407308,MI,0.8,,
1602,MUNSON MEDICAL CENTER (230097),2021,Acute Care,Voluntary non-profit - Other,416.0,44.761645,-85.641588,MI,1.4,,3.6
1603,PROMEDICA MONROE REGIONAL HOSPITAL (230099),2021,Acute Care,Voluntary non-profit - Other,172.0,41.925143,-83.389075,MI,1.3,,
1604,TAWAS ST JOSEPH HOSPITAL (230100),2021,Acute Care,Government - Hospital District or Authority,48.0,44.274911,-83.511002,MI,2.4,,5.3
1605,HARPER UNIVERSITY HOSPITAL (230104),2021,Acute Care,Proprietary,363.0,42.351375,-83.057892,MI,2.5,42.9,2.2
1606,MCLAREN NORTHERN MICHIGAN (230105),2021,Acute Care,Voluntary non-profit - Other,197.0,45.373477,-84.969152,MI,3.5,33.3,3.3
1607,UP HEALTH SYSTEM PORTAGE (230108),2021,Acute Care,Voluntary non-profit - Other,96.0,47.141346,-88.585643,MI,0.0,,
1608,SPECTRUM HEALTH LUDINGTON HOSPITAL (230110),2021,Acute Care,Voluntary non-profit - Other,59.0,,,MI,4.7,,8.5
1609,BORGESS MEDICAL CENTER (230117),2021,Acute Care,Voluntary non-profit - Other,355.0,42.304759,-85.561425,MI,0.7,33.6,2.6
1610,MCLAREN THUMB REGION (230118),2021,Acute Care,Voluntary non-profit - Other,50.0,43.802234,-83.030815,MI,2.3,,5.6
1611,MEMORIAL HEALTHCARE (230121),2021,Acute Care,Voluntary non-profit - Other,156.0,43.005075,-84.182076,MI,2.4,47.1,0.0
1612,BEAUMONT HOSPITAL ROYAL OAK (230130),2021,Acute Care,Voluntary non-profit - Private,1088.0,42.517687,-83.192142,MI,1.5,35.8,4.5
1613,HURLEY MEDICAL CENTER (230132),2021,Acute Care,Voluntary non-profit - Other,418.0,,,MI,0.9,,
1614,MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL (230133),2021,Acute Care,Voluntary non-profit - Private,80.0,45.035332,-84.673887,MI,1.6,,4.1
1615,MCLAREN FLINT (230141),2021,Acute Care,Voluntary non-profit - Private,337.0,43.014187,-83.733578,MI,3.3,,
1616,BEAUMONT HOSPITAL - WAYNE (230142),2021,Acute Care,Voluntary non-profit - Private,152.0,42.274275,-83.365625,MI,2.0,,
1617,HENRY FORD WYANDOTTE HOSPITAL (230146),2021,Acute Care,Voluntary non-profit - Private,355.0,42.209694,-83.148776,MI,0.8,,1.6
1618,BEAUMONT HOSPITAL - FARMINGTON HILLS (230151),2021,Acute Care,Voluntary non-profit - Private,298.0,42.44363,-83.324789,MI,2.1,,4.0
1619,ST JOSEPH MERCY HOSPITAL (230156),2021,Acute Care,Voluntary non-profit - Church,505.0,42.261803,-83.659819,MI,1.9,34.0,4.2
1620,ASCENSION ST JOHN HOSPITAL (230165),2021,Acute Care,Voluntary non-profit - Church,650.0,42.419011,-82.915008,MI,2.5,37.0,6.3
1621,MCLAREN GREATER LANSING (230167),2021,Acute Care,Voluntary non-profit - Private,282.0,42.704799,-84.555111,MI,3.0,,4.3
1622,NORTH OTTAWA COMMUNITY HEALTH SYSTEM (230174),2021,Acute Care,Government - Hospital District or Authority,70.0,43.05161,-86.227963,MI,3.3,,
1623,BEAUMONT HOSPITAL - TRENTON (230176),2021,Acute Care,Voluntary non-profit - Private,192.0,42.115786,-83.211814,MI,3.6,38.3,2.6
1624,MIDMICHIGAN MEDICAL CENTER-CLARE (230180),2021,Acute Care,Voluntary non-profit - Other,49.0,43.820724,-84.768349,MI,0.4,,6.1
1625,MCLAREN LAPEER REGION (230193),2021,Acute Care,Voluntary non-profit - Private,193.0,43.06271,-83.319345,MI,1.4,,
1626,ASCENSION MACOMB OAKLAND HOSP-WARREN CAMPUS (230195),2021,Acute Care,Voluntary non-profit - Private,518.0,42.507178,-83.003535,MI,2.0,46.5,5.5
1627,ASCENSION GENESYS HOSPITAL (230197),2021,Acute Care,Voluntary non-profit - Church,373.0,,,MI,1.0,53.1,4.1
1628,MCLAREN OAKLAND (230207),2021,Acute Care,Voluntary non-profit - Private,166.0,42.638394,-83.291095,MI,2.9,,
1629,SPARROW CARSON HOSPITAL (230208),2021,Acute Care,Voluntary non-profit - Other,52.0,43.175989,-84.843788,MI,1.5,,
1630,MCLAREN PORT HURON (230216),2021,Acute Care,Voluntary non-profit - Private,185.0,42.986743,-82.427839,MI,0.7,,2.8
1631,OAKLAWN HOSPITAL (230217),2021,Acute Care,Voluntary non-profit - Other,78.0,42.273533,-84.957796,MI,1.3,,4.6
1632,MIDMICHIGAN MEDICAL CENTER-MIDLAND (230222),2021,Acute Care,Voluntary non-profit - Other,290.0,43.635617,-84.261689,MI,1.9,30.4,5.0
1633,MCLAREN MACOMB (230227),2021,Acute Care,Proprietary,282.0,42.586795,-82.896918,MI,2.9,,3.2
1634,EDWARD W SPARROW HOSPITAL (230230),2021,Acute Care,Voluntary non-profit - Other,616.0,42.733609,-84.534816,MI,0.7,30.3,3.8
1635,METRO HEALTH HOSPITAL (230236),2021,Acute Care,Voluntary non-profit - Private,208.0,42.858067,-85.722937,MI,2.4,,3.4
1636,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL (230239),2021,Acute Care,Voluntary non-profit - Private,138.0,46.498099,-84.349513,MI,3.7,,6.5
1637,ASCENSION RIVER DISTRICT HOSPITAL (230241),2021,Acute Care,Government - Hospital District or Authority,68.0,42.786505,-82.478208,MI,1.6,,
1638,GARDEN CITY HOSPITAL (230244),2021,Acute Care,Voluntary non-profit - Private,168.0,42.332356,-83.311771,MI,2.0,,
1639,ASCENSION PROVIDENCE ROCHESTER HOSPITAL (230254),2021,Acute Care,Voluntary non-profit - Private,230.0,42.680882,-83.149228,MI,2.1,,
1640,ST JOSEPH MERCY CHELSEA (230259),2021,Acute Care,Voluntary non-profit - Private,126.0,42.310594,-84.016571,MI,2.1,,3.8
1641,"BEAUMONT HOSPITAL, TROY (230269)",2021,Acute Care,Voluntary non-profit - Private,484.0,,,MI,2.3,38.0,5.7
1642,BEAUMONT HOSPITAL - TAYLOR (230270),2021,Acute Care,Voluntary non-profit - Private,184.0,42.233501,-83.269667,MI,1.2,,
1643,DETROIT RECEIVING HOSPITAL (230273),2021,Acute Care,Proprietary,229.0,,,MI,0.0,,
1644,HURON VALLEY-SINAI HOSPITAL (230277),2021,Acute Care,Proprietary,142.0,,,MI,1.9,,4.2
1645,KARMANOS CANCER CENTER (230297),2021,Acute Care,Proprietary,122.0,42.35189,-83.058192,MI,2.6,,
1646,HENRY FORD WEST BLOOMFIELD HOSPITAL (230302),2021,Acute Care,Voluntary non-profit - Private,191.0,42.541451,-83.409433,MI,1.8,46.3,4.8
1647,MUNSON HEALTHCARE MANISTEE HOSPITAL (230303),2021,Acute Care,Voluntary non-profit - Other,40.0,44.272355,-86.273439,MI,2.2,,
1648,PAUL OLIVER MEMORIAL HOSPITAL (231300),2021,Critical Access,Government - Local,46.0,44.637376,-86.242913,MI,3.8,,
1649,KALKASKA MEMORIAL HEALTH CENTER (231301),2021,Critical Access,Government - Hospital District or Authority,104.0,44.730897,-85.183837,MI,2.8,,
1650,SCHOOLCRAFT MEMORIAL HOSPITAL (231303),2021,Critical Access,Government - Local,13.0,45.944963,-86.275716,MI,3.5,,
1651,HELEN NEWBERRY JOY HOSPITAL (231304),2021,Critical Access,Government - Local,67.0,46.352761,-85.515687,MI,3.8,,
1652,SAINT MARY'S STANDISH COMMUNITY HOSPITAL (231305),2021,Critical Access,Voluntary non-profit - Church,57.0,43.98283,-83.969352,MI,2.8,,4.3
1653,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER (231306),2021,Critical Access,Voluntary non-profit - Private,63.0,45.891024,-84.727569,MI,1.6,,
