,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),Breast Cancer Screening Recall Rates (OP-39),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
2017,ST JOSEPH MEDICAL CENTER (260085),2022,Acute Care,Voluntary non-profit - Private,183.0,38.934471,-94.605342,MO,1.9,5.5,,4.4
2018,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS (260091),2022,Acute Care,Voluntary non-profit - Private,609.0,38.633943,-90.310138,MO,3.7,8.5,,5.6
2019,COX MEDICAL CENTER BRANSON (260094),2022,Acute Care,Voluntary non-profit - Private,139.0,36.650541,-93.220376,MO,7.3,6.8,48.5,2.6
2020,CENTERPOINT MEDICAL CENTER (260095),2022,Acute Care,Voluntary non-profit - Private,246.0,39.047771,-94.349313,MO,2.2,8.0,60.7,3.6
2021,NORTH KANSAS CITY HOSPITAL (260096),2022,Acute Care,Government - Local,417.0,39.15081,-94.551852,MO,8.5,9.5,51.6,4.0
2022,WESTERN MISSOURI MEDICAL CENTER (260097),2022,Acute Care,Government - Hospital District or Authority,64.0,38.766474,-93.723701,MO,9.1,6.3,,3.9
2023,UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER (260102),2022,Acute Care,Voluntary non-profit - Private,305.0,38.973583,-94.390407,MO,11.4,10.3,,
2024,SSM HEALTH DEPAUL HOSPITAL ST LOUIS (260104),2022,Acute Care,Voluntary non-profit - Private,490.0,38.748965,-90.432379,MO,3.0,7.4,50.8,3.6
2025,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL (260105),2022,Acute Care,Proprietary,316.0,38.622459,-90.239052,MO,3.0,17.6,,3.4
2026,MISSOURI BAPTIST MEDICAL CENTER (260108),2022,Acute Care,Voluntary non-profit - Private,433.0,38.635532,-90.443636,MO,4.3,7.9,45.5,3.4
2027,SOUTHEASTHEALTH (260110),2022,Acute Care,Voluntary non-profit - Private,224.0,37.311273,-89.540936,MO,25.6,8.3,44.2,3.6
2028,MISSOURI DELTA MEDICAL CENTER (260113),2022,Acute Care,Voluntary non-profit - Other,147.0,36.889048,-89.584346,MO,10.8,3.8,,2.9
2029,POPLAR BLUFF REGIONAL MEDICAL CENTER (260119),2022,Acute Care,Proprietary,287.0,36.788987,-90.443287,MO,6.4,10.9,31.0,1.7
2030,FREEMAN HEALTH SYSTEM - FREEMAN WEST (260137),2022,Acute Care,Voluntary non-profit - Other,393.0,37.054408,-94.526884,MO,3.5,7.5,53.1,3.5
2031,ST LUKES HOSPITAL OF KANSAS CITY (260138),2022,Acute Care,Government - Hospital District or Authority,470.0,39.046134,-94.59015,MO,0.0,5.4,,4.4
2032,UNIVERSITY OF MISSOURI HEALTH CARE (260141),2022,Acute Care,Government - State,529.0,,,MO,6.1,10.6,46.7,5.4
2033,FITZGIBBON HOSPITAL (260142),2022,Acute Care,Voluntary non-profit - Private,51.0,,,MO,3.6,4.5,,6.1
2034,SOUTHEASTHEALTH CENTER OF STODDARD COUNTY (260160),2022,Acute Care,Proprietary,47.0,36.807432,-89.969973,MO,9.6,11.8,,1.3
2035,BARNES-JEWISH WEST COUNTY HOSPITAL (260162),2022,Acute Care,Voluntary non-profit - Private,75.0,38.676997,-90.466227,MO,5.9,5.1,39.4,
2036,PARKLAND HEALTH CENTER (260163),2022,Acute Care,Voluntary non-profit - Private,105.0,37.780624,-90.438195,MO,1.3,6.8,55.8,6.5
2037,GOLDEN VALLEY MEMORIAL HOSPITAL (260175),2022,Acute Care,Government - Hospital District or Authority,49.0,38.391389,-93.770506,MO,1.8,6.0,57.1,2.7
2038,ST LUKE'S DES PERES HOSPITAL (260176),2022,Acute Care,Proprietary,109.0,38.581081,-90.450408,MO,11.5,,,1.6
2039,NEW LIBERTY HOSPITAL DISTRICT (260177),2022,Acute Care,Government - Hospital District or Authority,215.0,39.276757,-94.424343,MO,7.9,13.2,45.8,3.9
2040,ST LUKES HOSPITAL (260179),2022,Acute Care,Voluntary non-profit - Private,538.0,38.653066,-90.50592,MO,5.2,9.2,42.4,4.0
2041,CHRISTIAN HOSPITAL NORTHEAST (260180),2022,Acute Care,Voluntary non-profit - Private,385.0,38.775759,-90.239054,MO,3.2,6.1,,0.0
2042,SAINT FRANCIS MEDICAL CENTER (260183),2022,Acute Care,Voluntary non-profit - Church,290.0,,,MO,7.0,12.3,40.2,3.8
2043,LAKE REGIONAL HEALTH SYSTEM (260186),2022,Acute Care,Voluntary non-profit - Other,116.0,38.118486,-92.681085,MO,0.9,,,3.3
2044,LEE'S SUMMIT MEDICAL CENTER (260190),2022,Acute Care,Proprietary,71.0,38.902285,-94.332151,MO,2.0,10.4,,3.9
2045,BARNES-JEWISH ST PETERS HOSPITAL (260191),2022,Acute Care,Voluntary non-profit - Other,115.0,38.792719,-90.579377,MO,1.9,10.3,,2.9
2046,ST MARYS MEDICAL CENTER (260193),2022,Acute Care,Voluntary non-profit - Church,98.0,39.023528,-94.266042,MO,2.6,4.6,,3.1
2047,CITIZENS MEMORIAL HOSPITAL (260195),2022,Acute Care,Government - Hospital District or Authority,70.0,37.625971,-93.420915,MO,2.7,1.7,52.5,2.4
2048,SSM ST JOSEPH HOSPITAL WEST (260200),2022,Acute Care,Voluntary non-profit - Church,157.0,38.803742,-90.774423,MO,3.5,7.7,,4.2
2049,BELTON REGIONAL MEDICAL CENTER (260214),2022,Acute Care,Voluntary non-profit - Private,71.0,,,MO,1.2,8.8,,6.2
2050,SAINT LUKE'S EAST  HOSPITAL (260216),2022,Acute Care,Voluntary non-profit - Private,168.0,38.940551,-94.378443,MO,6.6,4.8,46.3,3.2
2051,PROGRESS WEST HOSPITAL (260219),2022,Acute Care,Voluntary non-profit - Private,71.0,38.715097,-90.696597,MO,2.8,8.2,,2.1
2052,WASHINGTON COUNTY MEMORIAL HOSPITAL (261308),2022,Critical Access,Government - Local,25.0,37.92599,-90.773133,MO,8.3,16.9,,
2053,WRIGHT MEMORIAL HOSPITAL (261309),2022,Critical Access,Voluntary non-profit - Private,21.0,40.068275,-93.579936,MO,2.0,4.5,,
2054,SCOTLAND COUNTY  HOSPITAL (261310),2022,Critical Access,Government - Hospital District or Authority,25.0,40.466023,-92.168171,MO,5.1,8.7,,
2055,PERRY COUNTY MEMORIAL HOSPITAL (261311),2022,Critical Access,Government - Local,25.0,37.73162,-89.864801,MO,21.9,13.8,,
2056,HARRISON COUNTY COMMUNITY HOSPITAL (261312),2022,Critical Access,Government - Hospital District or Authority,15.0,40.265292,-94.026145,MO,6.7,8.2,,
2057,MACON COUNTY SAMARITAN MEMORIAL HOSPITAL (261313),2022,Critical Access,Government - Local,25.0,39.747885,-92.468031,MO,21.6,,47.9,
2058,MERCY HOSPITAL - AURORA (261316),2022,Critical Access,Voluntary non-profit - Church,24.0,36.97051,-93.710962,MO,3.1,7.9,,
2059,MERCY HOSPITAL - CASSVILLE (261317),2022,Critical Access,Voluntary non-profit - Church,20.0,36.674077,-93.871886,MO,3.7,9.4,,
2060,MERCY HOSPITAL LINCOLN (261319),2022,Critical Access,Government - Local,25.0,38.983989,-90.964767,MO,1.9,12.6,,
2061,LAFAYETTE REGIONAL HEALTH CENTER (261320),2022,Critical Access,Proprietary,25.0,39.189146,-93.877065,MO,4.5,5.9,,
2062,HEDRICK MEDICAL CENTER (261321),2022,Critical Access,Voluntary non-profit - Private,24.0,39.816125,-93.552781,MO,2.8,4.1,,2.8
2063,EXCELSIOR SPRINGS HOSPITAL (261322),2022,Critical Access,Government - Local,70.0,39.362217,-94.236519,MO,5.1,8.9,,
2064,CEDAR COUNTY MEMORIAL HOSPITAL (261323),2022,Critical Access,Government - Local,25.0,37.860674,-94.018505,MO,6.6,3.3,,
2065,CASS REGIONAL MEDICAL CENTER (261324),2022,Critical Access,Government - Local,35.0,38.663345,-94.375321,MO,3.6,9.4,50.0,3.8
2066,COX BARTON COUNTY HOSPITAL (261325),2022,Critical Access,Government - Local,25.0,37.505282,-94.299482,MO,8.3,9.6,,
2067,MOSAIC MEDICAL CENTER ALBANY (261328),2022,Critical Access,Voluntary non-profit - Private,25.0,40.252124,-94.325476,MO,3.3,9.7,,
2068,COX MONETT HOSPITAL (261329),2022,Critical Access,Voluntary non-profit - Private,23.0,36.926633,-93.93125,MO,4.7,10.5,,
2069,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL (261330),2022,Critical Access,Government - Hospital District or Authority,25.0,37.968347,-90.053968,MO,4.1,10.0,,1.7
2070,FREEMAN NEOSHO HOSPITAL (261331),2022,Critical Access,Voluntary non-profit - Private,25.0,36.867614,-94.368787,MO,2.5,7.3,48.8,
2071,CARROLL COUNTY MEMORIAL HOSPITAL (261332),2022,Critical Access,Voluntary non-profit - Private,22.0,39.376161,-93.494218,MO,10.4,8.3,,
2072,PIKE COUNTY MEMORIAL HOSPITAL (261333),2022,Critical Access,Government - Local,25.0,39.441679,-91.065383,MO,3.6,13.1,,
2073,MERCY ST FRANCIS HOSPITAL (261335),2022,Critical Access,Voluntary non-profit - Private,24.0,,,MO,3.4,9.6,,
2074,MISSOURI BAPTIST SULLIVAN HOSPITAL (261337),2022,Critical Access,Voluntary non-profit - Private,35.0,38.195574,-91.169288,MO,2.5,7.2,,
2075,MERCY HOSPITAL CARTHAGE (261338),2022,Critical Access,Government - Local,25.0,37.1367,-94.320872,MO,5.4,9.0,52.2,
2076,ST PETERS HEALTH (270003),2022,Acute Care,Voluntary non-profit - Private,125.0,,,MT,5.9,7.9,43.8,2.5
2077,BILLINGS CLINIC (270004),2022,Acute Care,Voluntary non-profit - Private,288.0,45.790452,-108.51415,MT,7.5,7.1,50.6,2.8
2078,BENEFIS HOSPITALS INC (270012),2022,Acute Care,Voluntary non-profit - Private,488.0,47.491848,-111.262615,MT,8.2,5.0,45.8,3.5
2079,ST. PATRICK HOSPITAL (270014),2022,Acute Care,Voluntary non-profit - Church,200.0,46.873905,-113.999891,MT,8.2,7.2,45.2,2.9
2080,ST JAMES HEALTHCARE (270017),2022,Acute Care,Voluntary non-profit - Private,73.0,46.00928,-112.546068,MT,17.7,15.1,51.4,2.9
2081,COMMUNITY MEDICAL CENTER (270023),2022,Acute Care,Voluntary non-profit - Private,145.0,46.842062,-114.055919,MT,6.7,8.1,49.5,3.4
2082,NORTHERN MONTANA HOSPITAL (270032),2022,Acute Care,Voluntary non-profit - Private,198.0,48.539326,-109.686363,MT,11.7,10.8,46.3,1.4
2083,ST VINCENT HEALTHCARE (270049),2022,Acute Care,Voluntary non-profit - Church,248.0,45.793166,-108.520281,MT,5.6,7.5,41.7,4.7
2084,LOGAN HEALTH MEDICAL CENTER (270051),2022,Acute Care,Voluntary non-profit - Private,292.0,48.215685,-114.324753,MT,8.4,8.2,33.3,2.3
2085,BOZEMAN HEALTH DEACONESS HOSPITAL (270057),2022,Acute Care,Voluntary non-profit - Private,89.0,45.670278,-111.017239,MT,3.7,,,3.5
2086,GREAT FALLS CLINIC HOSPITAL (270086),2022,Acute Care,Proprietary,20.0,47.487737,-111.254561,MT,14.5,3.7,,2.7
2087,LIVINGSTON HEALTHCARE (271317),2022,Critical Access,Voluntary non-profit - Private,24.0,45.676043,-110.525425,MT,4.2,12.3,,0.0
2088,BARRETT HOSPITAL & HEALTHCARE (271318),2022,Critical Access,Government - Hospital District or Authority,20.0,45.200654,-112.646003,MT,5.3,7.6,,2.6
2089,ST LUKE COMMUNITY HOSPITAL (271325),2022,Critical Access,Voluntary non-profit - Private,100.0,47.528835,-114.106242,MT,8.8,9.3,,
2090,MINERAL COMMUNITY HOSPITAL (271331),2022,Critical Access,Voluntary non-profit - Private,25.0,47.184726,-114.876579,MT,,2.0,,
2091,GLENDIVE MEDICAL CENTER (271332),2022,Critical Access,Voluntary non-profit - Other,85.0,47.117226,-104.704953,MT,9.3,3.5,,
2092,COMMUNITY HOSPITAL OF ANACONDA (271335),2022,Critical Access,Voluntary non-profit - Private,87.0,46.133111,-112.956153,MT,5.2,4.8,35.6,4.3
2093,LOGAN HEALTH - WHITEFISH (271336),2022,Critical Access,Voluntary non-profit - Private,25.0,48.381032,-114.331326,MT,5.4,7.9,,
2094,NORTHERN ROCKIES MEDICAL CENTER (271337),2022,Critical Access,Voluntary non-profit - Private,20.0,48.62878,-112.326345,MT,,5.5,,
2095,BITTERROOT HEALTH - DALY HOSPITAL (271340),2022,Critical Access,Voluntary non-profit - Private,30.0,46.247158,-114.171365,MT,3.9,3.9,64.7,2.6
2096,PROVIDENCE ST JOSEPH MEDICAL CENTER (271343),2022,Critical Access,Voluntary non-profit - Private,22.0,47.683344,-114.163327,MT,5.1,7.6,,
2097,SIDNEY HEALTH CENTER (271344),2022,Critical Access,Voluntary non-profit - Private,115.0,47.715839,-104.174171,MT,9.5,7.3,,4.3
2098,CENTRAL MONTANA MEDICAL CENTER (271345),2022,Critical Access,Voluntary non-profit - Private,60.0,47.058464,-109.442243,MT,13.3,11.0,,5.5
2099,HOLY ROSARY HEALTHCARE (271347),2022,Critical Access,Voluntary non-profit - Church,109.0,46.397355,-105.827837,MT,2.4,7.2,50.0,
2100,BRYAN MEDICAL CENTER (280003),2022,Acute Care,Voluntary non-profit - Private,569.0,40.796598,-96.653661,NE,12.1,7.0,44.2,4.6
2101,CHI HEALTH GOOD SAMARITAN (280009),2022,Acute Care,Voluntary non-profit - Church,250.0,,,NE,6.3,3.7,,3.9
2102,THE NEBRASKA MEDICAL CENTER (280013),2022,Acute Care,Voluntary non-profit - Private,542.0,,,NE,3.6,7.9,51.2,3.9
2103,CHI HEALTH ST. ELIZABETH (280020),2022,Acute Care,Voluntary non-profit - Private,244.0,40.807609,-96.625179,NE,7.5,14.2,,
2104,CHI HEALTH ST. FRANCIS (280023),2022,Acute Care,Voluntary non-profit - Church,184.0,40.924267,-98.370887,NE,6.5,5.4,,
2105,MARY LANNING HEALTHCARE (280032),2022,Acute Care,Voluntary non-profit - Other,138.0,40.592416,-98.387474,NE,11.1,9.0,48.9,5.4
2106,THE NEBRASKA METHODIST HOSPITAL (280040),2022,Acute Care,Voluntary non-profit - Private,369.0,41.259682,-96.041771,NE,2.9,7.8,41.6,6.6
2107,CHI HEALTH BERGAN MERCY (280060),2022,Acute Care,Voluntary non-profit - Private,358.0,41.237904,-96.028717,NE,1.7,9.4,52.8,4.4
2108,REGIONAL WEST MEDICAL CENTER (280061),2022,Acute Care,Voluntary non-profit - Private,164.0,41.885055,-103.665837,NE,11.8,7.9,45.9,2.7
2109,GREAT PLAINS HEALTH (280065),2022,Acute Care,Voluntary non-profit - Private,105.0,41.120746,-100.770199,NE,5.7,7.3,43.8,4.6
2110,METHODIST FREMONT HEALTH (280077),2022,Acute Care,Government - Local,187.0,41.451464,-96.492473,NE,9.9,5.8,23.0,4.5
2111,CHI HEALTH IMMANUEL (280081),2022,Acute Care,Voluntary non-profit - Private,308.0,41.321839,-96.023788,NE,2.3,7.7,59.0,7.9
2112,CHI HEALTH MIDLANDS (280105),2022,Acute Care,Voluntary non-profit - Church,46.0,41.136866,-96.042825,NE,3.0,7.2,52.6,5.6
2113,COLUMBUS COMMUNITY HOSPITAL (280111),2022,Acute Care,Voluntary non-profit - Other,51.0,41.453273,-97.3849,NE,10.0,3.0,41.5,0.6
2114,FAITH REGIONAL HEALTH SERVICES (280125),2022,Acute Care,Voluntary non-profit - Private,127.0,42.032526,-97.450942,NE,5.0,,,7.4
2115,CHI HEALTH NEBRASKA HEART (280128),2022,Acute Care,Voluntary non-profit - Private,54.0,40.735476,-96.594607,NE,,,,1.7
2116,NEBRASKA ORTHOPAEDIC HOSPITAL (280129),2022,Acute Care,Physician,24.0,41.232001,-96.135396,NE,3.6,,42.4,
2117,CHI HEALTH LAKESIDE (280130),2022,Acute Care,Voluntary non-profit - Church,121.0,41.23904,-96.180532,NE,3.1,6.1,48.7,3.6
2118,MIDWEST SURGICAL HOSPITAL LLC (280131),2022,Acute Care,Physician,19.0,41.258155,-96.036891,NE,,,51.6,
2119,"BELLEVUE MEDICAL CENTER, LLC (280132)",2022,Acute Care,Proprietary,62.0,41.13639,-95.94586,NE,2.5,10.8,46.6,4.2
2120,KEARNEY REGIONAL MEDICAL CENTER (280134),2022,Acute Care,Proprietary,70.0,40.6975,-99.0931,NE,7.5,11.3,49.2,4.2
2121,GRAND ISLAND REGIONAL MEDICAL CENTER (280139),2022,Acute Care,Voluntary non-profit - Private,56.0,,,NE,20.7,2.2,,
2122,PAWNEE COUNTY MEMORIAL HOSPITAL (281302),2022,Critical Access,Government - Local,17.0,,,NE,,9.7,,
2123,THAYER COUNTY HEALTH SERVICES (281304),2022,Critical Access,Government - Local,19.0,40.160123,-97.593267,NE,7.8,6.9,,
2124,KEARNEY COUNTY HEALTH SERVICES HOSPITAL (281306),2022,Critical Access,Government - Local,35.0,40.495778,-98.943203,NE,10.3,7.6,,
2125,SAUNDERS MEDICAL CENTER (281307),2022,Critical Access,Government - Local,76.0,41.191555,-96.635312,NE,8.3,4.0,,
2126,HENDERSON HEALTH CARE SERVICES (281308),2022,Critical Access,Voluntary non-profit - Private,54.0,40.782888,-97.807361,NE,,7.5,,
2127,SYRACUSE AREA HEALTH (281309),2022,Critical Access,Government - Hospital District or Authority,14.0,,,NE,,6.5,,
2128,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER (281314),2022,Critical Access,Government - Local,16.0,,,NE,,9.8,,
2129,BRODSTONE MEMORIAL HOSPITAL (281315),2022,Critical Access,Voluntary non-profit - Private,25.0,,,NE,6.8,5.4,,
2130,MORRILL COUNTY COMMUNITY HOSPITAL (281318),2022,Critical Access,Government - Local,20.0,41.66189,-103.091374,NE,4.6,,,
2131,JEFFERSON COMMUNITY HEALTH & LIFE (281319),2022,Critical Access,Voluntary non-profit - Private,60.0,,,NE,1.9,13.3,,1.9
2132,MEMORIAL HOSPITAL (281320),2022,Critical Access,Voluntary non-profit - Private,62.0,40.871812,-98.009531,NE,9.2,6.2,,7.0
2133,ST FRANCIS MEMORIAL HOSPITAL (281322),2022,Critical Access,Voluntary non-profit - Private,25.0,41.842945,-96.706763,NE,19.5,5.9,,
2134,CHI HEALTH SCHUYLER (281323),2022,Critical Access,Voluntary non-profit - Private,25.0,41.454579,-97.059725,NE,4.3,4.9,,
2135,NEMAHA COUNTY HOSPITAL (281324),2022,Critical Access,Government - Local,17.0,40.392033,-95.85302,NE,6.3,10.0,,0.0
2136,MERRICK MEDICAL CENTER/LITZENBERG MEMORIAL COUNTY HOSPITAL (281328),2022,Critical Access,Government - Local,47.0,41.10661,-98.002652,NE,5.4,2.0,,
2137,AVERA ST ANTHONY'S HOSPITAL (281329),2022,Critical Access,Voluntary non-profit - Church,25.0,42.460338,-98.651118,NE,5.8,8.2,,
2138,AVERA CREIGHTON HOSPITAL (281331),2022,Critical Access,Voluntary non-profit - Private,66.0,,,NE,3.8,16.2,,
2139,BUTLER COUNTY HEALTH CARE CENTER (281332),2022,Critical Access,Government - Local,20.0,41.246471,-97.123038,NE,11.1,3.6,,
2140,ROCK COUNTY HOSPITAL (281333),2022,Critical Access,Government - Local,54.0,42.575812,-99.537891,NE,,7.3,,
2141,BOONE COUNTY HEALTH CENTER (281334),2022,Critical Access,Government - Local,25.0,,,NE,13.6,6.0,,
2142,CALLAWAY DISTRICT HOSPITAL (281335),2022,Critical Access,Government - Hospital District or Authority,12.0,,,NE,1.6,6.8,,
2143,HOWARD COUNTY MEDICAL CENTER (281338),2022,Critical Access,Voluntary non-profit - Other,18.0,,,NE,11.1,7.6,,
2144,MEMORIAL HEALTH CARE SYSTEMS (281339),2022,Critical Access,Voluntary non-profit - Private,24.0,40.909217,-97.091916,NE,5.7,10.2,,7.0
2145,DUNDY COUNTY HOSPITAL (281340),2022,Critical Access,Government - Local,14.0,,,NE,,1.8,,
2146,CHI HEALTH ST. MARY'S (281342),2022,Critical Access,Voluntary non-profit - Church,18.0,40.658152,-95.862109,NE,6.1,13.9,,5.6
2147,WEST HOLT MEMORIAL HOSPITAL (281343),2022,Critical Access,Voluntary non-profit - Private,17.0,42.52853,-98.98236,NE,9.7,7.4,,
2148,PROVIDENCE MEDICAL CENTER (281345),2022,Critical Access,Voluntary non-profit - Private,23.0,42.241705,-97.008061,NE,6.9,11.7,,
2149,TRI VALLEY HEALTH SYSTEM (281348),2022,Critical Access,Voluntary non-profit - Private,51.0,40.279904,-100.179667,NE,,7.5,,
2150,PENDER COMMUNITY HOSPITAL (281349),2022,Critical Access,Government - Hospital District or Authority,21.0,,,NE,,10.5,,
2151,JOHNSON COUNTY HOSPITAL (281350),2022,Critical Access,Government - Local,18.0,40.379192,-96.197342,NE,3.8,12.6,,
2152,CRETE AREA MEDICAL CENTER (281354),2022,Critical Access,Voluntary non-profit - Private,24.0,,,NE,9.5,4.4,,
2153,OGALLALA COMMUNITY HOSPITAL (281355),2022,Critical Access,Government - Hospital District or Authority,18.0,41.150177,-101.720447,NE,3.5,11.8,,
2154,MEMORIAL COMMUNITY HOSPITAL & HEALTH SYSTEM (281359),2022,Critical Access,Voluntary non-profit - Private,23.0,41.551152,-96.145519,NE,2.9,7.3,,
2155,LEXINGTON REGIONAL HEALTH CENTER (281361),2022,Critical Access,Government - Hospital District or Authority,25.0,,,NE,9.2,8.6,,
2156,PHELPS MEMORIAL HEALTH CENTER (281362),2022,Critical Access,Voluntary non-profit - Private,25.0,40.447655,-99.382005,NE,8.5,14.0,,4.1
2157,COMMUNITY HOSPITAL (281363),2022,Critical Access,Voluntary non-profit - Other,25.0,,,NE,6.8,6.8,,0.8
2158,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC (281364)",2022,Critical Access,Voluntary non-profit - Private,25.0,,,NE,6.7,9.0,49.0,1.4
2159,JENNIE M MELHAM MEMORIAL MEDICAL CENTER (281365),2022,Critical Access,Voluntary non-profit - Private,52.0,41.409054,-99.632262,NE,3.5,5.5,,
2160,RENOWN REGIONAL MEDICAL CENTER (290001),2022,Acute Care,Voluntary non-profit - Other,604.0,39.524747,-119.796721,NV,7.8,7.7,37.8,2.8
2161,SUNRISE HOSPITAL AND MEDICAL CENTER (290003),2022,Acute Care,Proprietary,645.0,36.134586,-115.136883,NV,0.7,7.1,,
2162,NORTH VISTA HOSPITAL (290005),2022,Acute Care,Voluntary non-profit - Private,178.0,36.195739,-115.122986,NV,0.0,,,
2163,UNIVERSITY MEDICAL CENTER (290007),2022,Acute Care,Government - Local,502.0,36.158941,-115.165945,NV,0.8,,,
2164,NORTHEASTERN NEVADA REGIONAL HOSPITAL (290008),2022,Acute Care,Voluntary non-profit - Private,65.0,40.822508,-115.729026,NV,4.9,2.3,,
2165,SAINT MARY'S REGIONAL MEDICAL CENTER (290009),2022,Acute Care,Voluntary non-profit - Private,282.0,39.531619,-119.818243,NV,4.0,16.1,,2.9
2166,SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA (290012),2022,Acute Care,Voluntary non-profit - Church,86.0,36.038829,-114.983192,NV,0.0,,,
2167,CARSON TAHOE REGIONAL MEDICAL CENTER (290019),2022,Acute Care,Voluntary non-profit - Private,202.0,39.201899,-119.781729,NV,8.3,5.9,40.0,3.3
2168,VALLEY HOSPITAL MEDICAL CENTER (290021),2022,Acute Care,Proprietary,286.0,36.163914,-115.165463,NV,0.8,,,
2169,DESERT SPRINGS HOSPITAL (290022),2022,Acute Care,Proprietary,271.0,36.114561,-115.125548,NV,1.3,,,
2170,NORTHERN NEVADA MEDICAL CENTER (290032),2022,Acute Care,Proprietary,113.0,39.542488,-119.697974,NV,5.4,4.2,,2.6
2171,MOUNTAINVIEW HOSPITAL (290039),2022,Acute Care,Proprietary,346.0,36.2156,-115.250795,NV,1.2,11.1,,4.4
2172,SUMMERLIN HOSPITAL MEDICAL CENTER (290041),2022,Acute Care,Proprietary,432.0,36.179638,-115.315776,NV,1.4,3.3,,
2173,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS (290045),2022,Acute Care,Voluntary non-profit - Private,283.0,,,NV,0.5,,,
2174,SPRING VALLEY HOSPITAL MEDICAL CENTER (290046),2022,Acute Care,Proprietary,287.0,36.089714,-115.242882,NV,0.0,,,
2175,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER (290047),2022,Acute Care,Voluntary non-profit - Private,182.0,36.070256,-115.295512,NV,0.2,5.2,,
2176,RENOWN SOUTH MEADOWS MEDICAL CENTER (290049),2022,Acute Care,Voluntary non-profit - Private,138.0,39.435894,-119.758393,NV,6.6,,,2.4
2177,SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS (290053),2022,Acute Care,Voluntary non-profit - Church,140.0,36.055545,-115.271323,NV,0.0,,,
2178,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER (290054),2022,Acute Care,Proprietary,228.0,36.286014,-115.28773,NV,0.8,,,
2179,HENDERSON HOSPITAL (290057),2022,Acute Care,Proprietary,181.0,,,NV,0.2,,,
2180,SAINT ROSE DOMINICAN HOSPITALS - NORTH LAS VEGAS (290058),2022,Acute Care,Proprietary,32.0,,,NV,0.2,,,
2181,WILLIAM BEE RIRIE HOSPITAL (291302),2022,Critical Access,Government - Hospital District or Authority,25.0,39.256065,-114.860086,NV,5.8,1.6,,
2182,CARSON VALLEY MEDICAL CENTER (291306),2022,Critical Access,Voluntary non-profit - Private,23.0,,,NV,3.7,5.3,,6.2
2183,MESA VIEW REGIONAL HOSPITAL (291307),2022,Critical Access,Voluntary non-profit - Private,25.0,36.808859,-114.114456,NV,7.1,6.7,48.8,4.8
2184,DESERT VIEW HOSPITAL (291311),2022,Critical Access,Proprietary,25.0,36.214376,-116.023381,NV,6.5,7.0,,
2185,BANNER CHURCHILL COMMUNITY HOSPITAL (291313),2022,Critical Access,Voluntary non-profit - Private,25.0,39.474876,-118.76518,NV,5.4,1.6,,
2186,CONCORD HOSPITAL (300001),2022,Acute Care,Voluntary non-profit - Private,212.0,43.196329,-71.562366,NH,3.0,,,4.0
2187,MARY HITCHCOCK MEMORIAL HOSPITAL (300003),2022,Acute Care,Voluntary non-profit - Other,405.0,43.67797,-72.273746,NH,4.9,5.5,41.7,3.7
2188,CONCORD HOSPITAL- LACONIA (300005),2022,Acute Care,Voluntary non-profit - Private,94.0,43.528103,-71.460771,NH,4.8,3.8,46.4,1.4
2189,ST JOSEPH HOSPITAL (300011),2022,Acute Care,Voluntary non-profit - Other,208.0,42.750441,-71.479886,NH,4.5,11.7,,5.9
2190,ELLIOT HOSPITAL (300012),2022,Acute Care,Voluntary non-profit - Private,243.0,42.982795,-71.435739,NH,6.2,8.8,47.9,2.9
2191,FRISBIE MEMORIAL HOSPITAL (300014),2022,Acute Care,Voluntary non-profit - Private,77.0,43.298189,-70.961194,NH,4.7,,,2.3
2192,PARKLAND MEDICAL CENTER (300017),2022,Acute Care,Proprietary,159.0,42.875825,-71.317578,NH,8.0,9.0,,1.8
2193,WENTWORTH-DOUGLASS HOSPITAL (300018),2022,Acute Care,Voluntary non-profit - Private,116.0,43.212442,-70.875139,NH,4.1,20.4,43.3,3.6
2194,CHESHIRE MEDICAL CENTER (300019),2022,Acute Care,Voluntary non-profit - Private,124.0,42.949854,-72.290725,NH,4.4,4.3,55.4,6.3
2195,SOUTHERN NH MEDICAL CENTER (300020),2022,Acute Care,Voluntary non-profit - Private,163.0,42.756061,-71.461229,NH,2.4,6.7,40.8,4.8
2196,EXETER HOSPITAL INC (300023),2022,Acute Care,Voluntary non-profit - Private,98.0,42.983066,-70.934319,NH,7.1,6.6,38.0,2.7
2197,PORTSMOUTH REGIONAL HOSPITAL (300029),2022,Acute Care,Proprietary,168.0,43.064093,-70.787774,NH,7.8,10.2,40.0,6.1
