,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
1474,GARDEN CITY HOSPITAL (230244),2015,Acute Care,Voluntary non-profit - Private,168.0,42.332356,-83.311771,MI,1.1819,20.1,213.0,60.0,23.7,1.018,22.1,572.0,130.0,22.5,1.1614,23.0,655.0,184.0,26.7,1.0656,6.1,181.0,13.0,6.5,1.1336,18.9,429.0,100.0,21.5
1475,CRITTENTON HOSPITAL MEDICAL CENTER (230254),2015,Acute Care,Voluntary non-profit - Private,230.0,42.680882,-83.149228,MI,1.0092,18.6,141.0,27.0,18.8,1.0407,22.1,601.0,141.0,23.0,0.9234,23.2,545.0,112.0,21.4,1.1405,5.4,1004.0,64.0,6.1,1.0239,19.2,400.0,80.0,19.6
1476,ST JOSEPH MERCY CHELSEA (230259),2015,Acute Care,Voluntary non-profit - Private,126.0,42.310594,-84.016571,MI,,,,,,0.9929,18.0,115.0,20.0,17.8,0.9109,20.9,138.0,21.0,19.1,0.9805,5.1,465.0,23.0,5.0,1.022,16.2,155.0,27.0,16.6
1477,"BEAUMONT HOSPITAL, TROY (230269)",2015,Acute Care,Voluntary non-profit - Private,484.0,,,MI,1.1098,18.1,642.0,135.0,20.1,1.0828,22.4,1428.0,352.0,24.2,1.0664,23.1,1492.0,371.0,24.6,1.0825,5.8,834.0,54.0,6.3,1.1649,18.1,894.0,198.0,21.1
1478,OAKWOOD HOSPITAL - TAYLOR (230270),2015,Acute Care,Voluntary non-profit - Private,184.0,42.233501,-83.269667,MI,0.9916,24.8,59.0,14.0,24.6,1.0614,23.3,454.0,117.0,24.7,1.0409,28.0,293.0,88.0,29.2,0.8228,6.0,,,5.0,1.0335,22.0,386.0,90.0,22.8
1479,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER (230273),2015,Acute Care,Proprietary,229.0,,,MI,1.1024,22.2,193.0,53.0,24.5,1.0008,23.0,352.0,81.0,23.0,1.1946,26.5,380.0,132.0,31.7,1.0585,7.7,158.0,14.0,8.2,1.0476,19.5,172.0,38.0,20.4
1480,HURON VALLEY-SINAI HOSPITAL (230277),2015,Acute Care,Proprietary,142.0,,,MI,1.1022,21.5,246.0,64.0,23.7,1.0405,23.1,349.0,87.0,24.0,1.0724,24.1,533.0,142.0,25.8,1.2718,5.6,235.0,21.0,7.1,0.9793,18.8,246.0,44.0,18.4
1481,KARMANOS CANCER CENTER (230297),2015,Acute Care,Proprietary,122.0,42.35189,-83.058192,MI,,,,,,,,,,,,,,,,,,,,,0.9668,24.3,,,23.5
1482,HENRY FORD WEST BLOOMFIELD HOSPITAL (230302),2015,Acute Care,Voluntary non-profit - Private,191.0,42.541451,-83.409433,MI,1.007,21.2,162.0,35.0,21.4,1.0353,22.8,294.0,72.0,23.6,0.9907,23.0,473.0,107.0,22.7,0.9249,5.4,246.0,11.0,5.0,1.0332,18.5,428.0,84.0,19.2
1483,NORTH MEMORIAL MEDICAL CENTER (240001),2015,Acute Care,Voluntary non-profit - Private,398.0,45.014214,-93.321172,MN,0.8672,15.7,223.0,23.0,13.6,0.9231,18.7,207.0,30.0,17.2,0.9097,21.9,363.0,67.0,20.0,0.8488,5.1,324.0,11.0,4.3,0.9371,17.0,200.0,28.0,15.9
1484,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER (240002),2015,Acute Care,Voluntary non-profit - Private,335.0,46.792843,-92.096395,MN,0.9285,15.3,592.0,80.0,14.2,0.9779,19.4,230.0,42.0,19.0,0.9062,20.9,426.0,75.0,18.9,1.0171,5.4,708.0,39.0,5.5,1.0584,16.4,297.0,55.0,17.4
1485,HENNEPIN COUNTY MEDICAL CENTER (240004),2015,Acute Care,Government - Local,469.0,44.97285,-93.262707,MN,0.9263,19.1,,,17.7,0.9601,22.1,109.0,20.0,21.2,1.0894,24.4,161.0,48.0,26.6,0.9614,4.8,,,4.6,1.0728,20.3,144.0,36.0,21.8
1486,OLMSTED MEDICAL CENTER (240006),2015,Acute Care,Voluntary non-profit - Private,61.0,44.020994,-92.439958,MN,,,,,,,,,,,0.947,20.5,,,19.4,0.9363,4.6,,,4.3,0.9516,14.0,,,13.4
1487,MAYO CLINIC HOSPITAL ROCHESTER (240010),2015,Acute Care,Voluntary non-profit - Church,1151.0,44.021643,-92.481355,MN,0.8687,15.9,789.0,102.0,13.8,1.0482,20.7,477.0,107.0,21.7,0.8801,21.9,1406.0,264.0,19.3,1.0739,4.7,,,5.1,1.011,16.6,701.0,118.0,16.7
1488,NORTHFIELD HOSPITAL (240014),2015,Acute Care,Government - Local,77.0,44.471386,-93.191159,MN,,,,,,0.9671,17.6,,,17.0,1.0061,21.0,79.0,17.0,21.1,0.9162,4.4,,,4.0,0.9294,13.9,,,12.9
1489,MAYO CLINIC HEALTH SYSTEM IN RED WING (240018),2015,Acute Care,Voluntary non-profit - Private,62.0,44.560274,-92.575197,MN,,,,,,0.9977,17.5,,,17.5,0.9754,20.8,66.0,12.0,20.3,1.136,4.7,,,5.4,0.9728,14.5,,,14.1
1490,ESSENTIA HEALTH DULUTH (240019),2015,Acute Care,Voluntary non-profit - Private,141.0,46.793074,-92.094155,MN,,,,,,0.9549,19.3,,,18.4,,,,,,,,,,,0.9815,15.7,,,15.4
1491,CAMBRIDGE MEDICAL CENTER (240020),2015,Acute Care,Voluntary non-profit - Private,72.0,45.56657,-93.229319,MN,,,,,,1.0433,22.0,73.0,20.0,23.0,0.9929,21.7,81.0,17.0,21.5,1.2396,4.9,,,6.1,1.0037,16.9,,,17.0
1492,SANFORD  WORTHINGTON MEDICAL CENTER (240022),2015,Acute Care,Voluntary non-profit - Private,48.0,43.621858,-95.599179,MN,,,,,,1.0567,20.1,,,21.2,0.9323,20.2,,,18.9,0.9134,5.0,,,4.6,0.9838,15.4,79.0,11.0,15.1
1493,DOUGLAS COUNTY HOSPITAL (240030),2015,Acute Care,Government - Local,99.0,45.872669,-95.37638,MN,,,,,,1.0543,19.2,65.0,17.0,20.2,0.9745,19.4,103.0,18.0,18.9,1.0334,5.0,316.0,17.0,5.2,0.9149,17.0,,,15.6
1494,ST CLOUD HOSPITAL (240036),2015,Acute Care,Voluntary non-profit - Private,482.0,45.575325,-94.17045,MN,0.8902,14.7,497.0,59.0,13.1,1.042,19.9,361.0,78.0,20.8,0.8925,20.8,740.0,131.0,18.6,0.8762,5.1,610.0,25.0,4.5,1.0104,16.3,453.0,75.0,16.4
1495,UNITED HOSPITAL (240038),2015,Acute Care,Voluntary non-profit - Private,372.0,44.94185,-93.108302,MN,1.0535,15.2,314.0,53.0,16.0,1.0029,19.3,200.0,39.0,19.4,0.8713,21.4,433.0,73.0,18.7,1.0566,5.3,268.0,16.0,5.6,0.9493,15.2,236.0,31.0,14.4
1496,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS (240040),2015,Acute Care,Voluntary non-profit - Other,78.0,47.411053,-92.929534,MN,,,,,,1.0476,17.9,110.0,24.0,18.8,1.0651,19.0,86.0,21.0,20.3,0.9649,5.1,,,5.0,0.9816,15.4,146.0,21.0,15.1
1497,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA (240043),2015,Acute Care,Voluntary non-profit - Private,126.0,43.651558,-93.372469,MN,0.9326,18.2,,,17.0,0.9477,17.8,,,16.9,0.9296,21.5,106.0,17.0,20.0,0.9125,5.3,,,4.9,0.9881,14.8,216.0,31.0,14.7
1498,WINONA HEALTH SERVICES (240044),2015,Acute Care,Voluntary non-profit - Private,54.0,44.033016,-91.622136,MN,1.0005,19.9,,,19.9,0.9133,19.5,104.0,12.0,17.8,0.8825,21.7,136.0,19.0,19.2,0.8967,5.3,,,4.7,1.0324,16.3,244.0,43.0,16.8
1499,ST LUKES HOSPITAL (240047),2015,Acute Care,Voluntary non-profit - Private,267.0,46.797027,-92.087038,MN,0.9254,16.0,224.0,29.0,14.8,0.9214,19.0,165.0,23.0,17.5,0.9301,21.8,262.0,49.0,20.3,0.981,5.0,664.0,32.0,4.9,0.9712,16.6,253.0,39.0,16.1
1500,FAIRVIEW LAKES MEDICAL CENTER (240050),2015,Acute Care,Voluntary non-profit - Private,54.0,45.322267,-92.998466,MN,,,,,,1.0341,18.7,91.0,20.0,19.3,0.9484,21.3,99.0,17.0,20.2,0.9033,4.5,,,4.1,0.9741,15.3,,,14.9
1501,LAKE REGION HEALTHCARE CORPORATION (240052),2015,Acute Care,Voluntary non-profit - Private,103.0,46.277138,-96.072407,MN,0.9656,17.8,,,17.2,0.9985,18.6,,,18.6,0.9622,18.8,89.0,14.0,18.1,0.9244,4.5,,,4.2,0.9143,15.2,116.0,11.0,13.9
1502,PARK NICOLLET METHODIST HOSPITAL (240053),2015,Acute Care,Voluntary non-profit - Private,374.0,44.927054,-93.362391,MN,1.0266,16.0,260.0,44.0,16.4,0.9964,20.2,295.0,59.0,20.1,0.9652,21.0,592.0,118.0,20.3,0.9059,5.1,489.0,21.0,4.7,1.0521,16.2,579.0,102.0,17.1
1503,RIDGEVIEW MEDICAL CENTER (240056),2015,Acute Care,Voluntary non-profit - Private,118.0,44.843306,-93.790772,MN,0.9291,18.6,,,17.3,0.9824,18.9,66.0,11.0,18.6,1.0072,20.0,117.0,24.0,20.2,1.0441,4.6,236.0,12.0,4.8,0.9533,15.1,137.0,17.0,14.4
1504,ABBOTT NORTHWESTERN HOSPITAL (240057),2015,Acute Care,Voluntary non-profit - Private,670.0,44.951954,-93.262248,MN,0.8712,14.7,584.0,68.0,12.8,0.9452,21.2,281.0,52.0,20.0,0.9043,21.9,750.0,143.0,19.8,1.0601,4.9,629.0,34.0,5.2,0.9741,17.3,294.0,48.0,16.9
1505,REGINA HOSPITAL (240059),2015,Acute Care,Voluntary non-profit - Church,61.0,44.747131,-92.871399,MN,,,,,,0.9623,15.8,,,15.2,1.0107,19.0,75.0,15.0,19.2,1.1888,4.7,,,5.6,0.9746,13.7,,,13.4
1506,ST JOSEPH'S HOSPITAL (240063),2015,Acute Care,Voluntary non-profit - Private,210.0,44.949062,-93.100127,MN,0.9412,17.0,263.0,39.0,16.0,0.9938,19.6,167.0,32.0,19.4,0.8368,20.8,299.0,42.0,17.4,0.8854,5.0,,,4.4,1.045,15.7,155.0,28.0,16.4
1507,GRAND ITASCA CLINIC AND HOSPITAL (240064),2015,Acute Care,Voluntary non-profit - Private,38.0,47.221039,-93.554716,MN,0.9689,18.7,,,18.1,0.9706,20.3,,,19.7,0.9478,20.1,,,19.0,1.0616,5.3,,,5.6,0.9249,16.5,148.0,18.0,15.3
1508,LAKEVIEW MEMORIAL HOSPITAL (240066),2015,Acute Care,Voluntary non-profit - Private,68.0,45.048126,-92.818489,MN,,,,,,0.9754,17.7,,,17.3,0.9613,19.6,86.0,14.0,18.8,0.9757,4.5,573.0,25.0,4.4,1.031,14.2,77.0,13.0,14.6
1509,OWATONNA HOSPITAL (240069),2015,Acute Care,Voluntary non-profit - Other,40.0,44.109798,-93.236301,MN,1.0721,19.5,39.0,12.0,21.0,1.0273,18.9,62.0,14.0,19.5,0.9477,20.3,135.0,23.0,19.3,1.2028,5.1,,,6.2,0.9538,14.6,106.0,12.0,13.9
1510,DISTRICT ONE HOSPITAL (240071),2015,Acute Care,Voluntary non-profit - Private,34.0,44.288715,-93.256022,MN,,,,,,1.0382,18.7,63.0,15.0,19.4,0.9586,21.9,69.0,12.0,21.0,1.098,5.1,,,5.7,0.949,16.2,,,15.4
1511,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER (240075),2015,Acute Care,Voluntary non-profit - Private,144.0,46.362509,-94.205143,MN,0.9937,17.5,94.0,16.0,17.4,0.9574,18.4,154.0,24.0,17.6,1.0071,21.3,231.0,50.0,21.5,0.8915,5.3,,,4.8,1.0551,15.9,148.0,28.0,16.8
1512,BUFFALO HOSPITAL (240076),2015,Acute Care,Voluntary non-profit - Other,42.0,45.1932,-93.87053,MN,,,,,,0.9307,20.2,,,18.8,1.046,20.7,85.0,21.0,21.7,1.0311,4.4,,,4.6,1.0184,15.7,81.0,14.0,16.0
1513,FAIRVIEW SOUTHDALE HOSPITAL (240078),2015,Acute Care,Voluntary non-profit - Other,333.0,44.886279,-93.328857,MN,0.9944,15.5,287.0,44.0,15.4,0.9802,19.0,196.0,35.0,18.6,0.9448,21.3,434.0,84.0,20.1,0.9477,5.1,623.0,29.0,4.8,0.9106,15.6,333.0,42.0,14.2
1514,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW (240080)",2015,Acute Care,Voluntary non-profit - Private,832.0,44.966335,-93.23812,MN,0.976,16.1,129.0,19.0,15.7,0.9583,23.1,,,22.1,1.0815,24.7,251.0,72.0,26.8,0.9027,5.0,286.0,11.0,4.5,1.0055,19.3,122.0,24.0,19.4
1515,ESSENTIA HEALTH VIRGINIA (240084),2015,Acute Care,Government - Local,146.0,47.530711,-92.548797,MN,0.9926,17.7,,,17.6,0.9835,16.5,75.0,11.0,16.2,0.9487,19.7,,,18.7,0.8356,4.6,,,3.9,0.9686,14.7,,,14.2
1516,RICE MEMORIAL HOSPITAL (240088),2015,Acute Care,Government - Local,164.0,45.120514,-95.046366,MN,,,,,,0.966,17.4,,,16.8,0.9428,19.5,110.0,17.0,18.4,0.9844,5.1,,,5.0,0.9186,14.7,176.0,19.0,13.5
1517,MAYO CLINIC HEALTH SYSTEM - MANKATO (240093),2015,Acute Care,Voluntary non-profit - Private,168.0,44.165047,-93.983738,MN,0.9619,14.2,161.0,20.0,13.6,0.9828,18.8,175.0,31.0,18.4,0.8128,20.4,299.0,38.0,16.5,0.875,5.4,498.0,21.0,4.7,0.982,17.3,218.0,36.0,17.0
1518,SANFORD BEMIDJI MEDICAL CENTER (240100),2015,Acute Care,Voluntary non-profit - Private,192.0,47.505009,-94.898125,MN,0.9887,19.9,,,19.7,0.8474,20.7,,,17.5,0.9207,21.3,152.0,25.0,19.6,0.7564,5.0,,,3.8,1.0709,16.9,160.0,33.0,18.1
1519,ESSENTIA HEALTH ST MARYS - DETROIT LAKES (240101),2015,Acute Care,Voluntary non-profit - Church,133.0,46.815307,-95.845453,MN,,,,,,0.9925,17.8,,,17.6,0.9599,19.5,,,18.7,0.9784,5.0,,,4.9,1.0062,16.0,97.0,16.0,16.1
1520,ST FRANCIS REGIONAL MEDICAL CENTER (240104),2015,Acute Care,Voluntary non-profit - Church,85.0,44.770075,-93.503569,MN,,,,,,1.0307,19.0,142.0,30.0,19.6,1.1044,20.9,135.0,37.0,23.1,1.1283,4.8,,,5.5,0.9828,15.9,122.0,18.0,15.6
1521,REGIONS HOSPITAL (240106),2015,Acute Care,Voluntary non-profit - Private,450.0,44.955338,-93.096277,MN,0.8516,14.5,260.0,24.0,12.4,0.8898,19.3,148.0,17.0,17.2,0.9386,21.6,279.0,53.0,20.3,0.9638,5.2,,,5.0,0.9581,17.7,145.0,22.0,17.0
1522,MERCY HOSPITAL (240115),2015,Acute Care,Voluntary non-profit - Private,360.0,45.183842,-93.368221,MN,1.0834,14.7,200.0,36.0,15.9,1.0115,19.8,265.0,54.0,20.1,0.8267,21.3,384.0,57.0,17.6,1.1562,5.2,258.0,18.0,6.0,0.9255,16.9,209.0,28.0,15.6
1523,UNITY HOSPITAL (240132),2015,Acute Care,Voluntary non-profit - Other,194.0,,,MN,,,,,,1.0135,19.6,226.0,46.0,19.9,0.9622,21.0,169.0,32.0,20.2,1.2147,4.8,199.0,15.0,5.8,1.0971,16.3,182.0,38.0,17.8
1524,FAIRVIEW NORTHLAND REGIONAL HOSPITAL (240141),2015,Acute Care,Voluntary non-profit - Other,38.0,45.55888,-93.588931,MN,,,,,,0.9607,19.1,,,18.3,0.974,20.3,,,19.8,0.9644,5.2,,,5.0,0.9494,15.3,,,14.5
1525,MAYO CLINIC HEALTH SYSTEM - FAIRMONT (240166),2015,Acute Care,Voluntary non-profit - Private,78.0,43.637688,-94.451728,MN,0.9631,18.7,,,18.0,1.0344,19.0,69.0,16.0,19.7,1.1442,20.9,147.0,43.0,23.9,1.1025,5.0,,,5.5,1.0228,15.0,167.0,27.0,15.4
1526,HUTCHINSON HEALTH (240187),2015,Acute Care,Voluntary non-profit - Private,119.0,44.875105,-94.375533,MN,,,,,,1.0785,18.3,43.0,14.0,19.8,1.0233,20.8,55.0,13.0,21.2,1.0763,5.0,,,5.4,0.9737,15.0,,,14.6
1527,RED LAKE HOSPITAL A (240206),2015,Acute Care,Government - Federal,23.0,,,MN,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1528,FAIRVIEW RIDGES HOSPITAL (240207),2015,Acute Care,Voluntary non-profit - Church,170.0,44.749947,-93.274858,MN,0.9993,15.1,,,15.1,0.9716,19.0,179.0,31.0,18.5,1.1208,21.8,255.0,69.0,24.4,1.0731,4.7,294.0,16.0,5.0,1.0504,15.3,187.0,33.0,16.1
1529,HEALTHEAST ST JOHN'S HOSPITAL (240210),2015,Acute Care,Voluntary non-profit - Private,184.0,45.028131,-93.033508,MN,1.033,19.4,46.0,11.0,20.0,0.9571,18.1,203.0,32.0,17.3,1.0468,21.5,255.0,60.0,22.5,1.0336,5.0,,,5.2,1.0006,15.7,223.0,35.0,15.7
1530,HEALTHEAST WOODWINDS HOSPITAL (240213),2015,Acute Care,Voluntary non-profit - Private,86.0,44.92351,-92.975353,MN,,,,,,1.0242,18.3,76.0,16.0,18.8,0.947,21.0,131.0,23.0,19.9,0.7874,4.6,448.0,12.0,3.6,0.9922,16.1,128.0,20.0,16.0
1531,MAPLE GROVE HOSPITAL (240214),2015,Acute Care,Voluntary non-profit - Private,121.0,45.133377,-93.479488,MN,,,,,,0.977,18.7,,,18.3,1.0076,20.9,74.0,16.0,21.0,1.0293,4.3,,,4.5,1.0378,14.0,82.0,14.0,14.5
1532,UNIVERSITY OF MISSISSIPPI MED CENTER (250001),2015,Acute Care,Government - State,685.0,32.328783,-90.17558,MS,1.0192,15.3,296.0,47.0,15.5,1.0223,20.4,179.0,39.0,20.9,1.0571,21.5,281.0,67.0,22.7,1.2173,4.9,228.0,17.0,5.9,0.9331,17.7,164.0,23.0,16.5
1533,TISHOMINGO HEALTH SERVICES INC (250002),2015,Acute Care,Voluntary non-profit - Private,48.0,34.803686,-88.209218,MS,,,,,,0.9341,18.6,108.0,14.0,17.4,0.9417,22.2,,,20.9,,,,,,0.9009,16.9,152.0,17.0,15.2
1534,NORTH MISSISSIPPI MEDICAL CENTER (250004),2015,Acute Care,Voluntary non-profit - Private,627.0,34.242203,-88.717758,MS,0.9918,15.2,777.0,117.0,15.1,1.0386,18.8,868.0,172.0,19.5,0.8864,21.2,1053.0,191.0,18.8,0.993,4.7,664.0,31.0,4.7,1.0251,16.8,763.0,133.0,17.2
1535,BAPTIST MEMORIAL HOSPITAL UNION COUNTY (250006),2015,Acute Care,Voluntary non-profit - Other,98.0,,,MS,1.0126,21.4,,,21.7,1.0332,17.8,249.0,48.0,18.3,1.1218,20.2,196.0,51.0,22.6,1.0544,4.6,,,4.8,0.9845,15.3,179.0,26.0,15.0
1536,BILOXI REGIONAL MEDICAL CENTER (250007),2015,Acute Care,Proprietary,190.0,30.396112,-88.890438,MS,1.0132,20.8,,,21.1,1.0108,18.3,217.0,41.0,18.5,1.0969,22.6,260.0,70.0,24.8,0.9271,4.7,,,4.3,1.0155,16.5,204.0,35.0,16.7
1537,MAGNOLIA REGIONAL HEALTH CENTER (250009),2015,Acute Care,Voluntary non-profit - Other,193.0,34.935867,-88.558648,MS,0.9732,16.1,315.0,48.0,15.7,1.1213,20.5,607.0,148.0,23.0,1.1034,22.3,501.0,129.0,24.6,0.8976,5.8,361.0,17.0,5.2,1.0973,18.0,457.0,96.0,19.8
1538,TIPPAH COUNTY HOSPITAL (250010),2015,Acute Care,Government - Local,95.0,,,MS,,,,,,1.0449,19.4,68.0,17.0,20.3,1.0245,20.1,110.0,24.0,20.6,,,,,,1.0698,15.6,138.0,27.0,16.7
1539,ALLIANCE HEALTHCARE SYSTEM (250012),2015,Acute Care,Physician,40.0,34.786835,-89.415027,MS,,,,,,1.007,18.3,57.0,11.0,18.4,1.0418,20.4,55.0,14.0,21.2,,,,,,1.0528,15.4,68.0,14.0,16.2
1540,TRACE REGIONAL HOSP AND SWING BED (250017),2015,Acute Care,Proprietary,119.0,33.89479,-88.985085,MS,,,,,,1.0058,18.9,82.0,16.0,19.0,1.0224,23.3,49.0,13.0,23.9,,,,,,1.0531,15.4,86.0,17.0,16.3
1541,MEMORIAL HOSPITAL AT GULFPORT (250019),2015,Acute Care,Government - Local,431.0,30.366928,-89.114907,MS,0.9941,17.8,421.0,74.0,17.7,0.9524,22.1,607.0,124.0,21.0,1.0226,24.4,951.0,239.0,25.0,0.8898,5.8,,,5.1,0.9859,19.1,545.0,102.0,18.9
1542,WEBSTER GENERAL HOSPITAL/SWING BED (250020),2015,Acute Care,Voluntary non-profit - Other,38.0,33.534736,-89.266943,MS,,,,,,0.9805,16.4,77.0,11.0,16.0,1.0015,21.0,123.0,26.0,21.1,,,,,,1.0641,15.2,262.0,46.0,16.2
1543,GILMORE MEMORIAL REGIONAL MEDICAL CENTER (250025),2015,Acute Care,Proprietary,95.0,33.977551,-88.477625,MS,,,,,,1.0755,16.8,237.0,48.0,18.1,1.1066,19.6,158.0,40.0,21.7,,,,,,0.9675,14.5,177.0,23.0,14.1
1544,WINSTON MEDICAL CENTER & SWINGBED (250027),2015,Acute Care,Voluntary non-profit - Private,136.0,33.124291,-89.036671,MS,,,,,,0.9544,16.3,,,15.5,0.9486,18.9,,,17.9,,,,,,0.9229,13.1,,,12.1
1545,RIVER REGION HEALTH SYSTEM (250031),2015,Acute Care,Proprietary,298.0,32.374802,-90.827497,MS,1.0971,16.3,146.0,31.0,17.8,1.0874,19.7,336.0,78.0,21.4,1.0383,23.0,469.0,114.0,23.8,0.9167,5.6,,,5.2,1.1296,17.2,389.0,83.0,19.4
1546,BAPTIST MEMORIAL HOSPITAL NORTH MS (250034),2015,Acute Care,Voluntary non-profit - Private,209.0,34.346609,-89.5212,MS,0.9627,15.9,287.0,42.0,15.3,1.0196,20.1,266.0,56.0,20.5,1.0122,23.0,417.0,98.0,23.3,0.8202,5.0,,,4.1,1.0272,18.0,385.0,73.0,18.5
1547,GEORGE REGIONAL HEALTH SYSTEM (250036),2015,Acute Care,Government - Local,41.0,30.922235,-88.592853,MS,,,,,,1.0534,18.1,117.0,26.0,19.0,0.928,20.6,116.0,18.0,19.2,,,,,,1.0448,15.2,91.0,17.0,15.9
1548,MADISON RIVER OAKS MEDICAL CENTER (250038),2015,Acute Care,Proprietary,67.0,32.582157,-90.081677,MS,,,,,,0.992,19.2,82.0,15.0,19.0,1.1366,20.0,108.0,32.0,22.8,0.8769,5.0,,,4.3,1.0167,13.7,,,13.9
1549,SINGING RIVER HOSPITAL (250040),2015,Acute Care,Government - Local,393.0,30.374871,-88.532404,MS,1.1078,16.0,454.0,86.0,17.7,1.1933,20.3,717.0,187.0,24.2,1.0618,22.3,793.0,191.0,23.6,1.1314,5.0,576.0,35.0,5.7,1.1367,17.6,535.0,115.0,20.0
1550,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER (250042),2015,Acute Care,Proprietary,181.0,34.197133,-90.552764,MS,1.055,20.0,90.0,22.0,21.1,1.0217,18.7,149.0,30.0,19.1,1.2052,23.0,330.0,103.0,27.8,1.1221,5.6,,,6.3,0.9558,15.2,,,14.5
1551,NESHOBA COUNTY GENERAL HOSPITAL (250043),2015,Acute Care,Government - Local,207.0,32.757816,-89.105415,MS,,,,,,1.1204,17.2,98.0,27.0,19.3,0.9808,20.7,89.0,17.0,20.3,,,,,,0.9502,14.3,147.0,17.0,13.5
1552,BAPTIST MEMORIAL HOSPITAL BOONEVILLE (250044),2015,Acute Care,Voluntary non-profit - Church,55.0,34.656337,-88.565763,MS,,,,,,0.9575,19.1,329.0,57.0,18.3,1.0447,22.6,116.0,30.0,23.6,,,,,,0.9896,16.1,167.0,26.0,15.9
1553,ST DOMINIC-JACKSON MEMORIAL HOSPITAL (250048),2015,Acute Care,Voluntary non-profit - Church,548.0,32.333691,-90.165103,MS,1.0134,15.5,640.0,101.0,15.7,1.018,20.9,722.0,155.0,21.3,1.0763,22.1,1143.0,276.0,23.8,1.094,5.4,365.0,23.0,5.9,1.0013,16.7,807.0,135.0,16.7
1554,BEACHAM MEMORIAL HOSPITAL (250049),2015,Acute Care,Proprietary,34.0,31.145626,-90.45929,MS,,,,,,0.9761,19.0,85.0,14.0,18.5,1.0885,20.8,80.0,23.0,22.6,,,,,,0.9757,16.9,197.0,31.0,16.5
1555,OCH REGIONAL MEDICAL CENTER (250050),2015,Acute Care,Government - Local,90.0,33.474957,-88.820554,MS,,,,,,1.0715,17.6,138.0,31.0,18.9,1.0535,18.7,92.0,21.0,19.7,1.0058,4.2,,,4.2,1.0879,14.9,185.0,35.0,16.3
1556,KILMICHAEL HOSPITAL (250051),2015,Acute Care,Government - Local,19.0,,,MS,,,,,,1.0133,16.1,,,16.4,,,,,,,,,,,0.9963,16.3,,,16.2
1557,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN (250057),2015,Acute Care,Voluntary non-profit - Other,96.0,,,MS,,,,,,1.0207,18.5,114.0,23.0,18.9,1.0471,21.2,204.0,48.0,22.2,,,,,,0.9924,16.0,273.0,43.0,15.9
1558,SOUTH CENTRAL REG MED CTR (250058),2015,Acute Care,Government - Local,267.0,31.685911,-89.14135,MS,1.0805,17.9,51.0,14.0,19.3,1.0449,19.3,257.0,55.0,20.1,0.9229,21.4,372.0,69.0,19.8,0.9735,5.3,,,5.1,1.0283,17.0,501.0,89.0,17.4
1559,YALOBUSHA GENERAL HOSPITAL (250061),2015,Acute Care,Government - Local,148.0,34.1307,-89.641013,MS,,,,,,0.9142,20.1,101.0,12.0,18.4,1.0924,20.7,57.0,18.0,22.6,,,,,,1.0029,18.6,85.0,16.0,18.6
1560,CLAY COUNTY MEDICAL CENTER (250067),2015,Acute Care,Voluntary non-profit - Private,54.0,33.618616,-88.661549,MS,,,,,,1.0021,16.3,97.0,16.0,16.3,1.0869,19.1,180.0,42.0,20.7,,,,,,0.9444,13.7,164.0,18.0,12.9
1561,RUSH FOUNDATION HOSPITAL (250069),2015,Acute Care,Voluntary non-profit - Private,183.0,32.370664,-88.697779,MS,0.9126,15.5,168.0,19.0,14.1,0.9393,19.5,183.0,29.0,18.3,0.9693,22.5,247.0,52.0,21.8,1.1447,4.9,313.0,20.0,5.6,0.929,15.3,227.0,28.0,14.2
1562,MERIT HEALTH CENTRAL (250072),2015,Acute Care,Proprietary,336.0,32.286929,-90.255755,MS,1.0091,18.4,89.0,17.0,18.5,0.948,19.7,208.0,35.0,18.7,1.0966,22.4,226.0,61.0,24.6,1.065,5.3,,,5.7,1.0381,16.9,153.0,29.0,17.5
