,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
1839,ENGLEWOOD HOSPITAL AND MEDICAL CENTER (310045),2014,Acute Care,Voluntary non-profit - Private,302.0,40.902855,-73.967993,NJ,1.1508,18.4,416.0,95.0,21.2,1.01,22.1,901.0,202.0,22.4,1.0048,17.2,531.0,92.0,17.3
1840,SHORE MEDICAL CENTER (310047),2014,Acute Care,Voluntary non-profit - Private,252.0,39.314673,-74.592772,NJ,1.072,20.9,123.0,31.0,22.4,1.0512,22.7,591.0,144.0,23.9,0.9805,16.5,297.0,47.0,16.2
1841,SOMERSET MEDICAL CENTER (310048),2014,Acute Care,Voluntary non-profit - Private,279.0,40.568854,-74.595695,NJ,0.9774,18.1,317.0,55.0,17.7,1.1501,22.2,1037.0,273.0,25.6,0.9848,16.1,599.0,94.0,15.8
1842,SAINT CLARE'S HOSPITAL (310050),2014,Acute Care,Proprietary,362.0,40.894376,-74.464479,NJ,1.2089,20.1,233.0,66.0,24.3,1.0604,21.7,1067.0,249.0,23.0,1.0585,16.0,530.0,93.0,17.0
1843,OVERLOOK MEDICAL CENTER (310051),2014,Acute Care,Voluntary non-profit - Other,484.0,40.71241,-74.354023,NJ,0.9452,18.5,324.0,54.0,17.5,0.9111,21.7,1221.0,236.0,19.7,0.9393,15.9,926.0,135.0,14.9
1844,OCEAN MEDICAL CENTER (310052),2014,Acute Care,Voluntary non-profit - Other,302.0,40.078327,-74.129748,NJ,1.1023,21.2,262.0,66.0,23.3,1.0437,23.8,1443.0,361.0,24.8,1.0413,18.4,828.0,161.0,19.2
1845,HACKENSACK-UMC MOUNTAINSIDE (310054),2014,Acute Care,Voluntary non-profit - Private,229.0,,,NJ,1.0312,21.1,200.0,45.0,21.7,0.9703,22.9,638.0,140.0,22.2,1.0357,17.1,412.0,75.0,17.7
1846,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY (310057),2014,Acute Care,Voluntary non-profit - Private,334.0,39.985698,-74.795832,NJ,1.0093,19.9,311.0,63.0,20.1,1.0315,22.5,888.0,208.0,23.2,0.8558,16.0,573.0,70.0,13.7
1847,BERGEN REGIONAL MEDICAL CENTER (310058),2014,Acute Care,Government - Local,1004.0,40.958602,-74.062151,NJ,,,,,,0.9263,25.7,31.0,,23.8,1.09,16.2,86.0,20.0,17.6
1848,ST LUKE'S WARREN HOSPITAL (310060),2014,Acute Care,Voluntary non-profit - Other,110.0,40.701628,-75.179608,NJ,1.0525,24.0,61.0,18.0,25.2,1.0582,24.5,401.0,107.0,25.9,0.9399,18.6,277.0,45.0,17.5
1849,LOURDES MEDICAL CENTER OF BURLINGTON COUNTY (310061),2014,Acute Care,Voluntary non-profit - Private,147.0,40.048632,-74.881982,NJ,1.1927,22.1,76.0,29.0,26.3,1.0163,23.0,399.0,94.0,23.3,1.0256,17.5,187.0,35.0,18.0
1850,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV (310064),2014,Acute Care,Voluntary non-profit - Other,537.0,39.357791,-74.433942,NJ,1.0383,18.3,571.0,110.0,19.0,1.0254,23.5,1264.0,306.0,24.1,1.0419,18.5,694.0,136.0,19.3
1851,INSPIRA MEDICAL CENTER ELMER (310069),2014,Acute Care,Voluntary non-profit - Private,133.0,39.588142,-75.179457,NJ,1.0439,20.3,56.0,14.0,21.2,0.9416,22.2,283.0,56.0,20.9,1.0277,17.7,228.0,43.0,18.2
1852,SAINT PETER'S UNIVERSITY HOSPITAL (310070),2014,Acute Care,Voluntary non-profit - Church,359.0,40.501846,-74.45913,NJ,1.0494,20.6,128.0,30.0,21.6,1.1147,22.1,515.0,133.0,24.7,1.1544,17.0,417.0,90.0,19.6
1853,JERSEY SHORE UNIVERSITY MEDICAL CENTER (310073),2014,Acute Care,Voluntary non-profit - Private,577.0,,,NJ,1.0553,19.0,983.0,200.0,20.1,0.9836,23.7,1678.0,390.0,23.3,0.927,19.2,574.0,98.0,17.8
1854,LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS (310074),2014,Acute Care,Voluntary non-profit - Private,311.0,40.716666,-74.049952,NJ,1.1984,19.3,225.0,61.0,23.2,1.2728,23.4,523.0,170.0,29.8,1.0857,16.6,141.0,30.0,18.0
1855,MONMOUTH MEDICAL CENTER (310075),2014,Acute Care,Voluntary non-profit - Private,329.0,40.295448,-73.983598,NJ,0.9607,20.6,121.0,22.0,19.8,0.945,23.0,538.0,114.0,21.8,0.9865,18.6,315.0,57.0,18.3
1856,SAINT BARNABAS MEDICAL CENTER (310076),2014,Acute Care,Voluntary non-profit - Other,571.0,40.764045,-74.302334,NJ,0.9489,19.6,450.0,81.0,18.6,1.0255,23.0,1124.0,266.0,23.5,0.9582,17.3,642.0,104.0,16.6
1857,INSPIRA MEDICAL CENTER WOODBURY (310081),2014,Acute Care,Voluntary non-profit - Private,256.0,39.843556,-75.149023,NJ,1.1452,17.8,194.0,46.0,20.4,1.174,22.5,824.0,227.0,26.4,1.0647,17.3,497.0,95.0,18.4
1858,EAST ORANGE GENERAL HOSPITAL (310083),2014,Acute Care,Voluntary non-profit - Private,196.0,40.753707,-74.213333,NJ,1.1802,26.8,126.0,49.0,31.6,1.146,25.3,331.0,104.0,29.0,1.2417,22.4,170.0,61.0,27.8
1859,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS (310084),2014,Acute Care,Voluntary non-profit - Private,237.0,40.074178,-74.21735,NJ,1.1179,22.9,165.0,48.0,25.6,1.1761,24.1,613.0,183.0,28.3,1.1287,18.9,444.0,102.0,21.4
1860,KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV (310086),2014,Acute Care,Voluntary non-profit - Private,520.0,39.828853,-75.008799,NJ,1.037,22.2,287.0,68.0,23.1,1.1278,24.4,1520.0,425.0,27.5,1.1867,18.6,1163.0,267.0,22.1
1861,MEMORIAL HOSPITAL OF SALEM COUNTY (310091),2014,Acute Care,Voluntary non-profit - Private,119.0,39.593404,-75.445855,NJ,1.028,21.7,52.0,13.0,22.3,1.1197,25.5,305.0,94.0,28.6,1.1451,18.0,248.0,59.0,20.6
1862,CAPITAL HEALTH SYSTEM-FULD CAMPUS (310092),2014,Acute Care,Voluntary non-profit - Private,185.0,40.235987,-74.752776,NJ,,,,,,1.1675,23.9,269.0,84.0,27.9,1.0996,19.7,200.0,49.0,21.7
1863,"SAINT MICHAEL'S MEDICAL CENTER, INC (310096)",2014,Acute Care,Voluntary non-profit - Private,152.0,40.743034,-74.174503,NJ,1.3857,19.7,229.0,79.0,27.3,1.0576,24.6,648.0,172.0,26.0,1.1689,20.5,173.0,51.0,24.0
1864,JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY (310108),2014,Acute Care,Voluntary non-profit - Private,446.0,40.55787,-74.349499,NJ,1.0443,19.5,285.0,60.0,20.3,1.0498,23.4,1193.0,296.0,24.6,1.021,18.3,833.0,157.0,18.7
1865,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON (310110),2014,Acute Care,Voluntary non-profit - Private,184.0,,,NJ,1.1013,21.2,142.0,38.0,23.4,1.0808,23.7,760.0,199.0,25.6,1.0659,18.0,461.0,92.0,19.2
1866,CENTRASTATE MEDICAL CENTER (310111),2014,Acute Care,Voluntary non-profit - Private,259.0,40.23566,-74.312025,NJ,1.013,23.5,115.0,28.0,23.8,0.9738,23.6,732.0,167.0,23.0,1.0037,18.2,688.0,126.0,18.3
1867,BAYSHORE COMMUNITY HOSPITAL (310112),2014,Acute Care,Proprietary,161.0,40.404203,-74.193354,NJ,1.0255,23.2,201.0,49.0,23.7,1.1289,23.7,493.0,139.0,26.8,1.0117,19.8,420.0,85.0,20.1
1868,SOUTHERN OCEAN MEDICAL CENTER (310113),2014,Acute Care,Voluntary non-profit - Private,156.0,39.721499,-74.287136,NJ,0.985,23.2,130.0,29.0,22.9,0.9817,25.1,532.0,130.0,24.6,0.9095,19.3,395.0,64.0,17.6
1869,HACKETTSTOWN REGIONAL MEDICAL CENTER (310115),2014,Acute Care,Voluntary non-profit - Church,83.0,40.861646,-74.81378,NJ,0.9697,23.9,93.0,20.0,23.2,1.102,22.8,393.0,104.0,25.1,0.9804,16.7,159.0,25.0,16.4
1870,MEADOWLANDS HOSPITAL MEDICAL CENTER (310118),2014,Acute Care,Proprietary,116.0,40.791805,-74.072099,NJ,,,,,,1.09,22.2,199.0,53.0,24.2,1.158,17.0,140.0,36.0,19.7
1871,UNIVERSITY HOSPITAL (310119),2014,Acute Care,Government - State,372.0,40.74095,-74.19213,NJ,1.0514,17.7,68.0,15.0,18.6,1.1173,23.6,181.0,54.0,26.3,1.035,18.2,85.0,18.0,18.8
1872,UNM HOSPITAL (320001),2014,Acute Care,Voluntary non-profit - Other,557.0,35.087483,-106.618148,NM,0.9711,15.7,140.0,20.0,15.2,0.9782,22.2,139.0,29.0,21.7,0.8912,16.9,161.0,18.0,15.1
1873,ST VINCENT HOSPITAL (320002),2014,Acute Care,Voluntary non-profit - Private,201.0,35.657789,-105.946946,NM,0.9731,15.6,193.0,28.0,15.2,0.8056,21.7,254.0,33.0,17.5,1.1024,17.0,307.0,63.0,18.7
1874,ALTA VISTA REGIONAL HOSPITAL (320003),2014,Acute Care,Government - Hospital District or Authority,46.0,35.62215,-105.209851,NM,,,,,,0.9178,20.7,92.0,13.0,19.0,0.9932,14.2,130.0,18.0,14.1
1875,GERALD CHAMPION REGIONAL MEDICAL CENTER (320004),2014,Acute Care,Voluntary non-profit - Private,106.0,32.926862,-105.933917,NM,,,,,,0.9804,21.7,127.0,26.0,21.3,0.9308,16.1,173.0,22.0,15.0
1876,SAN JUAN REGIONAL MEDICAL CENTER (320005),2014,Acute Care,Voluntary non-profit - Private,188.0,36.724323,-108.215501,NM,0.8378,17.7,164.0,16.0,14.8,0.9842,21.8,340.0,72.0,21.4,0.8609,18.2,436.0,60.0,15.7
1877,EASTERN NEW MEXICO MEDICAL CENTER (320006),2014,Acute Care,Proprietary,162.0,33.4233,-104.527405,NM,0.9891,16.0,117.0,18.0,15.8,0.988,22.1,177.0,38.0,21.8,1.0107,16.2,277.0,46.0,16.4
1878,LOVELACE MEDICAL CENTER (320009),2014,Acute Care,Voluntary non-profit - Private,287.0,35.085622,-106.639765,NM,0.7786,16.0,251.0,20.0,12.4,0.8779,21.7,267.0,44.0,19.1,0.9654,17.7,140.0,22.0,17.1
1879,PRESBYTERIAN ESPANOLA HOSPITAL (320011),2014,Acute Care,Voluntary non-profit - Private,60.0,35.997101,-106.086683,NM,,,,,,0.966,20.8,54.0,,20.1,1.0092,14.1,109.0,16.0,14.2
1880,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS (320013),2014,Acute Care,Voluntary non-profit - Private,38.0,,,NM,,,,,,1.0501,20.7,66.0,17.0,21.7,0.9875,16.0,169.0,26.0,15.8
1881,GILA REGIONAL MEDICAL CENTER (320016),2014,Acute Care,Government - Hospital District or Authority,58.0,32.795524,-108.260908,NM,,,,,,0.9309,20.1,127.0,20.0,18.7,1.0253,15.7,153.0,26.0,16.1
1882,LOVELACE WOMEN'S HOSPITAL (320017),2014,Acute Care,Government - State,164.0,35.131005,-106.591037,NM,,,,,,0.9522,19.1,25.0,,18.2,0.9068,14.2,79.0,,12.9
1883,MEMORIAL MEDICAL CENTER INC (320018),2014,Acute Care,Proprietary,235.0,32.291993,-106.735018,NM,0.9043,16.5,178.0,22.0,14.9,0.9209,23.1,247.0,48.0,21.3,1.0143,16.4,385.0,65.0,16.7
1884,PRESBYTERIAN HOSPITAL (320021),2014,Acute Care,Government - Hospital District or Authority,777.0,35.082295,-106.63453,NM,1.0144,15.3,441.0,69.0,15.5,0.886,21.0,471.0,81.0,18.6,0.8754,16.5,619.0,82.0,14.4
1885,PLAINS REGIONAL MEDICAL CENTER (320022),2014,Acute Care,Government - Federal,106.0,34.42049,-103.231763,NM,0.9748,19.1,28.0,,18.6,0.9722,22.5,144.0,30.0,21.9,0.9034,16.0,212.0,25.0,14.4
1886,ARTESIA GENERAL HOSPITAL (320030),2014,Acute Care,Government - Hospital District or Authority,45.0,32.848603,-104.412752,NM,,,,,,0.9591,20.4,42.0,,19.6,0.9801,15.4,107.0,15.0,15.0
1887,LOS ALAMOS MEDICAL CENTER (320033),2014,Acute Care,Proprietary,44.0,35.882165,-106.319765,NM,,,0.0,,,0.8928,19.8,39.0,,17.7,0.9964,15.4,73.0,11.0,15.3
1888,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES (320038),2014,Acute Care,Voluntary non-profit - Private,56.0,35.5075,-108.727248,NM,,,,,,0.9556,20.2,90.0,15.0,19.3,0.924,16.2,222.0,29.0,15.0
1889,SANTA FE PHS INDIAN HOSPITAL (320057),2014,Acute Care,Government - Federal,4.0,35.66695,-105.969665,NM,,,0.0,,,,,,,,,,,,
1890,MESCALERO PHS INDIAN HOSPITAL (320058),2014,Acute Care,Government - Federal,8.0,,,NM,,,0.0,,,,,,,,0.9677,16.0,25.0,,15.5
1891,NORTHERN NAVAJO MEDICAL CENTER (320059),2014,Acute Care,Government - Federal,60.0,,,NM,,,,,,1.0364,19.2,56.0,13.0,19.9,0.8857,13.5,228.0,21.0,12.0
1892,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER (320060),2014,Acute Care,Government - Federal,27.0,,,NM,,,,,,,,,,,0.9596,13.5,40.0,,12.9
1893,GALLUP INDIAN MEDICAL CENTER (320061),2014,Acute Care,Government - Federal,76.0,35.508444,-108.730226,NM,,,,,,1.0105,20.8,64.0,14.0,21.0,1.0577,14.3,231.0,38.0,15.1
1894,CROWNPOINT HEALTHCARE FACILITY (320062),2014,Acute Care,Government - Federal,20.0,,,NM,,,,,,,,,,,0.9285,12.8,58.0,,11.9
1895,CARLSBAD MEDICAL CENTER (320063),2014,Acute Care,Proprietary,102.0,32.44184,-104.258642,NM,0.958,20.6,36.0,,19.7,0.9323,21.8,161.0,29.0,20.4,1.0212,16.0,158.0,27.0,16.4
1896,LEA REGIONAL MEDICAL CENTER (320065),2014,Acute Care,Proprietary,133.0,32.765988,-103.186034,NM,,,,,,1.1429,21.4,76.0,26.0,24.5,0.9053,16.8,82.0,,15.2
1897,GUADALUPE COUNTY HOSPITAL (320067),2014,Acute Care,Government - Local,10.0,34.929504,-104.694224,NM,,,,,,,,,,,1.0122,15.3,28.0,,15.5
1898,LOVELACE WESTSIDE HOSPITAL (320074),2014,Acute Care,Government - Federal,74.0,35.207508,-106.675974,NM,,,,,,0.9886,22.7,43.0,,22.4,0.9564,15.9,95.0,12.0,15.2
1899,ROOSEVELT GENERAL HOSPITAL (320084),2014,Acute Care,Government - State,22.0,34.165665,-103.368199,NM,,,,,,1.0159,20.2,64.0,14.0,20.6,1.0154,14.6,129.0,20.0,14.9
1900,MOUNTAIN VIEW REGIONAL MEDICAL CENTER (320085),2014,Acute Care,Proprietary,162.0,32.322639,-106.728297,NM,0.9407,15.3,297.0,40.0,14.4,1.0224,22.8,265.0,63.0,23.3,1.1251,17.3,346.0,74.0,19.4
1901,LOVELACE REGIONAL HOSPITAL - ROSWELL (320086),2014,Acute Care,Proprietary,26.0,33.415976,-104.521754,NM,,,,,,0.9695,20.7,128.0,24.0,20.0,0.9842,15.2,86.0,12.0,15.0
1902,UNM SANDOVAL REGIONAL MEDICAL CENTER (320089),2014,Acute Care,Voluntary non-profit - Private,66.0,35.307351,-106.677003,NM,,,0.0,,,,,0.0,,,,,0.0,,
1903,ALBANY MEMORIAL HOSPITAL (330003),2014,Acute Care,Voluntary non-profit - Private,110.0,42.674685,-73.748861,NY,1.0641,20.1,42.0,12.0,21.3,1.0515,21.9,248.0,60.0,23.1,1.0542,16.5,293.0,54.0,17.4
1904,HEALTH ALLIANCE HOSPITAL BROADWAY CAMPUS (330004),2014,Acute Care,Voluntary non-profit - Private,146.0,41.92635,-73.995402,NY,1.0303,19.9,144.0,31.0,20.5,1.1129,21.5,510.0,128.0,23.9,1.0734,17.4,450.0,88.0,18.7
1905,KALEIDA HEALTH (330005),2014,Acute Care,Voluntary non-profit - Private,1089.0,42.900329,-78.864937,NY,1.1495,18.6,740.0,165.0,21.4,1.0634,22.4,1226.0,296.0,23.9,0.9726,16.9,746.0,121.0,16.4
1906,ST JOSEPH'S MEDICAL CENTER (330006),2014,Acute Care,Voluntary non-profit - Private,411.0,40.929614,-73.897003,NY,0.9818,22.0,32.0,,21.6,1.1258,23.9,209.0,63.0,26.9,1.0651,18.6,163.0,36.0,19.9
1907,WYOMING COUNTY COMMUNITY HOSPITAL (330008),2014,Acute Care,Government - Local,214.0,42.753447,-78.132533,NY,,,,,,1.039,23.5,73.0,20.0,24.5,1.0085,17.4,100.0,18.0,17.5
1908,BRONX-LEBANON HOSPITAL CENTER (330009),2014,Acute Care,Proprietary,570.0,40.83175,-73.903756,NY,1.0441,20.2,42.0,11.0,21.1,1.1041,23.7,177.0,52.0,26.2,1.2277,17.7,115.0,37.0,21.7
1909,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC (330011)",2014,Acute Care,Voluntary non-profit - Private,158.0,42.09264,-75.935558,NY,1.075,20.4,203.0,48.0,21.9,1.023,22.4,514.0,119.0,22.9,0.9873,18.1,590.0,105.0,17.9
1910,ALBANY MEDICAL CENTER HOSPITAL (330013),2014,Acute Care,Voluntary non-profit - Private,736.0,42.653254,-73.77386,NY,0.9948,18.4,394.0,72.0,18.3,1.0276,23.7,392.0,97.0,24.4,1.0353,18.0,225.0,44.0,18.7
1911,JAMAICA HOSPITAL MEDICAL CENTER (330014),2014,Acute Care,Voluntary non-profit - Private,608.0,40.701412,-73.816302,NY,1.1795,18.8,189.0,50.0,22.2,1.1197,22.3,415.0,110.0,25.0,1.0675,15.9,173.0,33.0,17.0
1912,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC. (330019)",2014,Acute Care,Voluntary non-profit - Private,134.0,40.613783,-73.948321,NY,1.0893,25.9,90.0,30.0,28.3,1.1569,24.0,538.0,158.0,27.8,1.0859,19.2,236.0,54.0,20.8
1913,VASSAR BROTHERS MEDICAL CENTER (330023),2014,Acute Care,Voluntary non-profit - Private,361.0,41.694567,-73.935723,NY,0.975,17.5,533.0,90.0,17.1,1.0941,22.3,1281.0,318.0,24.4,1.1515,17.5,722.0,154.0,20.2
1914,MOUNT SINAI HOSPITAL (330024),2014,Acute Care,Voluntary non-profit - Private,1166.0,,,NY,1.1104,20.0,575.0,133.0,22.2,1.0664,23.3,1445.0,363.0,24.9,1.1226,18.1,874.0,184.0,20.3
1915,NASSAU UNIVERSITY MEDICAL CENTER (330027),2014,Acute Care,Government - Local,710.0,40.725298,-73.554413,NY,1.0821,20.6,50.0,15.0,22.3,1.2532,24.1,211.0,77.0,30.2,1.2078,17.6,141.0,41.0,21.3
1916,RICHMOND UNIVERSITY MEDICAL CENTER (330028),2014,Acute Care,Voluntary non-profit - Private,315.0,40.63551,-74.106693,NY,1.0921,22.0,73.0,22.0,24.0,1.1139,23.7,177.0,53.0,26.4,1.0425,20.2,226.0,50.0,21.0
1917,NEWARK-WAYNE COMMUNITY HOSPITAL (330030),2014,Acute Care,Voluntary non-profit - Private,300.0,43.059959,-77.100736,NY,1.0031,23.5,29.0,,23.6,1.0485,23.6,143.0,38.0,24.7,1.0596,16.7,157.0,31.0,17.7
1918,"CHENANGO MEMORIAL HOSPITAL, INC (330033)",2014,Acute Care,Voluntary non-profit - Private,138.0,42.542038,-75.524724,NY,0.954,20.3,53.0,,19.3,1.002,20.0,129.0,26.0,20.1,0.9569,15.5,144.0,19.0,14.9
1919,SOUTHSIDE HOSPITAL (330043),2014,Acute Care,Voluntary non-profit - Private,294.0,40.724858,-73.240889,NY,0.9904,19.1,230.0,43.0,18.9,0.9536,22.9,612.0,131.0,21.8,0.9676,17.8,389.0,65.0,17.2
1920,FAXTON-ST LUKE'S HEALTHCARE (330044),2014,Acute Care,Voluntary non-profit - Private,271.0,,,NY,1.0069,20.7,152.0,32.0,20.8,1.0534,23.5,594.0,150.0,24.8,1.1111,18.5,613.0,132.0,20.5
1921,HUNTINGTON HOSPITAL (330045),2014,Acute Care,Voluntary non-profit - Private,287.0,40.879201,-73.417488,NY,0.9588,19.6,234.0,42.0,18.8,1.0274,23.3,1022.0,246.0,23.9,1.1387,18.0,769.0,165.0,20.5
1922,ST LUKE'S ROOSEVELT HOSPITAL (330046),2014,Acute Care,Voluntary non-profit - Private,814.0,40.770129,-73.987846,NY,1.1141,18.4,350.0,77.0,20.5,1.2797,22.0,617.0,188.0,28.2,1.1542,16.0,553.0,110.0,18.4
1923,ST MARY'S HOSPITAL AT AMSTERDAM (330047),2014,Acute Care,Voluntary non-profit - Private,290.0,42.953648,-74.216041,NY,0.8992,21.6,93.0,13.0,19.4,0.9613,24.0,422.0,95.0,23.0,0.8952,19.4,243.0,36.0,17.4
1924,NORTHERN DUTCHESS HOSPITAL (330049),2014,Acute Care,Voluntary non-profit - Private,76.0,,,NY,0.9967,21.8,33.0,,21.7,0.9559,21.2,170.0,32.0,20.3,1.0233,16.2,113.0,20.0,16.6
1925,MEDINA MEMORIAL HOSPITAL (330053),2014,Acute Care,Voluntary non-profit - Private,96.0,,,NY,0.9499,22.3,26.0,,21.2,1.0425,22.9,120.0,31.0,23.9,1.0308,17.1,132.0,25.0,17.7
1926,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS (330055),2014,Acute Care,Voluntary non-profit - Private,484.0,,,NY,1.1121,19.0,363.0,82.0,21.2,1.0848,23.0,1293.0,327.0,24.9,1.1307,17.8,946.0,198.0,20.2
1927,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS (330056),2014,Acute Care,Voluntary non-profit - Private,292.0,40.689785,-73.9774,NY,1.0417,24.2,71.0,20.0,25.2,1.1338,24.0,278.0,83.0,27.2,1.0757,18.3,202.0,44.0,19.7
1928,ST PETER'S HOSPITAL (330057),2014,Acute Care,Voluntary non-profit - Private,474.0,42.660176,-73.802382,NY,0.942,18.2,576.0,96.0,17.2,0.9458,23.2,812.0,175.0,21.9,1.0364,18.1,661.0,126.0,18.8
1929,GENEVA GENERAL HOSPITAL (330058),2014,Acute Care,Voluntary non-profit - Private,473.0,,,NY,0.9823,19.2,31.0,,18.9,0.9999,21.0,162.0,34.0,21.0,0.9088,16.3,116.0,12.0,14.8
1930,MONTEFIORE MEDICAL CENTER (330059),2014,Acute Care,Voluntary non-profit - Private,1501.0,40.879777,-73.879975,NY,1.1784,19.0,540.0,129.0,22.4,1.1484,23.4,1419.0,389.0,26.9,1.0763,18.5,816.0,167.0,19.9
1931,LAWRENCE HOSPITAL CENTER (330061),2014,Acute Care,Voluntary non-profit - Private,265.0,,,NY,1.044,19.7,58.0,14.0,20.6,0.9958,21.3,458.0,97.0,21.2,1.022,16.6,388.0,67.0,17.0
1932,NIAGARA FALLS MEMORIAL MEDICAL CENTER (330065),2014,Acute Care,Voluntary non-profit - Other,134.0,43.093433,-79.050429,NY,1.0214,21.9,31.0,,22.4,1.0716,22.0,145.0,38.0,23.6,1.0281,17.7,107.0,21.0,18.2
1933,ST FRANCIS HOSPITAL (330067),2014,Acute Care,Voluntary non-profit - Private,288.0,,,NY,1.0476,18.5,30.0,,19.4,1.1614,21.9,148.0,46.0,25.4,1.1938,16.1,192.0,47.0,19.3
1934,UNITED MEMORIAL MEDICAL CENTER (330073),2014,Acute Care,Voluntary non-profit - Private,131.0,43.003997,-78.177592,NY,0.953,22.1,30.0,,21.1,1.0699,21.5,175.0,44.0,23.0,1.0768,17.1,157.0,33.0,18.4
1935,F F THOMPSON HOSPITAL (330074),2014,Acute Care,Voluntary non-profit - Private,277.0,42.875591,-77.288198,NY,1.0142,17.9,35.0,,18.1,1.0204,19.8,143.0,30.0,20.2,1.058,16.4,178.0,34.0,17.3
1936,SISTERS OF CHARITY HOSPITAL (330078),2014,Acute Care,Voluntary non-profit - Private,462.0,42.92917,-78.849916,NY,0.982,20.7,98.0,19.0,20.3,1.0785,22.4,492.0,123.0,24.1,0.9835,17.5,244.0,41.0,17.2
1937,ADIRONDACK MEDICAL CENTER (330079),2014,Acute Care,Voluntary non-profit - Other,152.0,44.344548,-74.144597,NY,0.959,20.9,40.0,,20.1,0.9841,21.8,130.0,27.0,21.4,1.0178,16.9,99.0,18.0,17.2
1938,LINCOLN MEDICAL & MENTAL HEALTH CENTER (330080),2014,Acute Care,Government - Local,344.0,40.817681,-73.924072,NY,1.0618,23.4,52.0,16.0,24.9,1.1025,23.0,120.0,36.0,25.4,1.0993,16.6,113.0,26.0,18.2
1939,ALICE HYDE MEDICAL CENTER (330084),2014,Acute Care,Voluntary non-profit - Other,198.0,44.856658,-74.29193,NY,1.0674,23.1,31.0,11.0,24.6,1.0632,22.8,130.0,35.0,24.3,1.0108,17.1,135.0,24.0,17.3
1940,AURELIA OSBORN FOX MEMORIAL HOSPITAL (330085),2014,Acute Care,Voluntary non-profit - Other,198.0,,,NY,1.0687,19.3,67.0,17.0,20.6,1.1487,22.2,319.0,89.0,25.5,0.9833,16.6,244.0,39.0,16.4
1941,MONTEFIORE MOUNT VERNON HOSPITAL (330086),2014,Acute Care,Voluntary non-profit - Private,94.0,40.912754,-73.840011,NY,0.9432,23.2,27.0,,21.9,1.037,21.5,112.0,27.0,22.3,1.0778,18.2,75.0,19.0,19.6
1942,EASTERN LONG ISLAND HOSPITAL (330088),2014,Acute Care,Voluntary non-profit - Private,90.0,41.110951,-72.361459,NY,0.9762,18.1,29.0,,17.7,0.9875,20.8,81.0,16.0,20.6,0.9765,15.8,138.0,20.0,15.4
1943,ARNOT OGDEN MEDICAL CENTER (330090),2014,Acute Care,Voluntary non-profit - Private,256.0,42.099256,-76.826668,NY,1.0813,17.3,343.0,68.0,18.7,0.9717,23.3,373.0,83.0,22.7,1.1439,19.0,520.0,121.0,21.8
1944,COLUMBIA MEMORIAL HOSPITAL (330094),2014,Acute Care,Voluntary non-profit - Private,194.0,42.246254,-73.776128,NY,0.9827,22.3,118.0,25.0,21.9,1.0499,23.5,329.0,84.0,24.7,1.0903,18.0,307.0,65.0,19.6
1945,JONES MEMORIAL HOSPITAL (330096),2014,Acute Care,Voluntary non-profit - Private,60.0,42.122878,-77.949784,NY,,,,,,1.0354,22.4,121.0,30.0,23.2,0.9765,17.1,116.0,18.0,16.7
1946,NY EYE AND EAR INFIRMARY (330100),2014,Acute Care,Voluntary non-profit - Private,23.0,40.732559,-73.984816,NY,,,0.0,,,,,0.0,,,,,0.0,,
1947,NEW YORK-PRESBYTERIAN HOSPITAL (330101),2014,Acute Care,Voluntary non-profit - Private,2546.0,40.76415,-73.954335,NY,1.0171,19.0,1402.0,272.0,19.3,1.0811,22.9,2376.0,593.0,24.8,1.0844,17.7,1390.0,271.0,19.2
1948,KENMORE MERCY HOSPITAL (330102),2014,Acute Care,Voluntary non-profit - Church,344.0,42.9779,-78.878678,NY,1.0508,19.8,80.0,19.0,20.8,0.9211,21.4,271.0,49.0,19.7,1.0327,15.6,101.0,18.0,16.1
