,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
2048,STRONG MEMORIAL HOSPITAL (330285),2013,Acute Care,Voluntary non-profit - Private,822.0,43.124394,-77.623692,NY,0.9487,18.3,363.0,61.0,17.4,0.9556,24.7,528.0,122.0,23.6,1.1263,18.4,200.0,48.0,20.8
2049,GOOD SAMARITAN HOSPITAL MEDICAL CENTER (330286),2013,Acute Care,Voluntary non-profit - Church,437.0,40.696807,-73.286321,NY,1.0502,20.5,251.0,56.0,21.5,1.0397,24.8,1047.0,272.0,25.8,1.0253,18.0,801.0,149.0,18.4
2050,WHITE PLAINS HOSPITAL CENTER (330304),2013,Acute Care,Voluntary non-profit - Private,292.0,,,NY,1.0601,20.6,131.0,31.0,21.8,1.0521,23.1,573.0,142.0,24.3,1.0473,17.0,650.0,118.0,17.8
2051,LUTHERAN MEDICAL CENTER (330306),2013,Acute Care,Voluntary non-profit - Private,390.0,,,NY,1.0977,23.3,219.0,60.0,25.5,1.1804,27.9,575.0,200.0,32.9,1.0264,19.7,320.0,66.0,20.2
2052,CAYUGA MEDICAL CENTER AT ITHACA (330307),2013,Acute Care,Voluntary non-profit - Private,174.0,42.467096,-76.538808,NY,0.9731,18.9,93.0,16.0,18.4,0.853,22.6,244.0,38.0,19.3,0.9085,17.5,333.0,48.0,15.9
2053,NS/LIJ HS PLAINVIEW HOSPITAL (330331),2013,Acute Care,Voluntary non-profit - Private,169.0,40.774456,-73.478063,NY,1.129,23.9,143.0,44.0,27.0,1.0744,24.0,704.0,186.0,25.8,1.0007,17.8,483.0,86.0,17.8
2054,CHSLI ST JOSEPH HOSPITAL (330332),2013,Acute Care,Voluntary non-profit - Private,201.0,40.725795,-73.478755,NY,1.1604,23.0,92.0,31.0,26.6,0.9844,24.6,569.0,137.0,24.2,0.953,18.8,266.0,45.0,17.9
2055,SOUTHAMPTON HOSPITAL (330340),2013,Acute Care,Voluntary non-profit - Private,94.0,,,NY,1.0106,24.1,35.0,9.0,24.4,1.0924,24.2,214.0,62.0,26.5,1.0338,19.0,397.0,80.0,19.7
2056,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN (330350),2013,Acute Care,Government - State,450.0,40.654457,-73.94516,NY,1.2437,20.7,161.0,51.0,25.8,1.2194,25.1,452.0,151.0,30.6,1.1115,17.8,168.0,39.0,19.8
2057,NS/LIJ HS-NORTH SHORE UNIV HOSP AT FOREST HILLS (330353),2013,Acute Care,Voluntary non-profit - Other,228.0,,,NY,1.0928,24.0,107.0,32.0,26.2,1.1599,25.7,365.0,118.0,29.8,1.1278,20.0,644.0,152.0,22.6
2058,FRANKLIN HOSPITAL (330372),2013,Acute Care,Voluntary non-profit - Private,349.0,,,NY,1.0531,24.6,57.0,17.0,25.9,1.0516,24.1,434.0,113.0,25.3,1.1083,18.2,300.0,66.0,20.1
2059,NORTH CENTRAL BRONX HOSPITAL (330385),2013,Acute Care,Government - Local,205.0,,,NY,,,19.0,,,1.0335,23.3,54.0,15.0,24.1,1.0563,17.0,34.0,9.0,17.9
2060,CATSKILL REGIONAL MEDICAL CENTER (330386),2013,Acute Care,Voluntary non-profit - Private,167.0,41.70642,-74.736752,NY,0.9986,23.3,39.0,9.0,23.2,0.9663,25.4,192.0,45.0,24.5,1.1115,19.9,236.0,58.0,22.1
2061,SUNY/STONY BROOK UNIVERSITY HOSPITAL (330393),2013,Acute Care,Government - State,662.0,,,NY,1.159,19.9,1118.0,264.0,23.1,0.9567,25.5,744.0,179.0,24.4,1.129,19.5,414.0,98.0,22.0
2062,"UNITED HEALTH SERVICES HOSPITALS, INC (330394)",2013,Acute Care,Voluntary non-profit - Private,485.0,42.088097,-75.914166,NY,0.9486,18.4,598.0,102.0,17.4,0.9409,23.7,816.0,178.0,22.3,0.9465,18.1,705.0,118.0,17.1
2063,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE (330395),2013,Acute Care,Voluntary non-profit - Private,268.0,40.598675,-73.75268,NY,1.1195,25.4,35.0,15.0,28.4,1.1338,25.9,167.0,57.0,29.4,1.1833,21.4,187.0,57.0,25.4
2064,WOODHULL MEDICAL AND MENTAL HEALTH CENTER (330396),2013,Acute Care,Government - Local,371.0,40.700512,-73.941557,NY,,,10.0,,,1.2449,24.4,156.0,61.0,30.3,1.2,16.6,82.0,26.0,19.9
2065,INTERFAITH MEDICAL CENTER (330397),2013,Acute Care,Voluntary non-profit - Private,256.0,40.677866,-73.937154,NY,1.2485,21.9,27.0,17.0,27.3,1.1928,24.9,104.0,42.0,29.7,1.112,19.0,53.0,17.0,21.1
2066,ST BARNABAS HOSPITAL (330399),2013,Acute Care,Voluntary non-profit - Private,445.0,40.85277,-73.892168,NY,1.059,23.6,26.0,9.0,25.0,1.1152,24.4,115.0,38.0,27.2,1.0805,19.5,146.0,35.0,21.0
2067,ST CATHERINE OF SIENA HOSPITAL (330401),2013,Acute Care,Voluntary non-profit - Private,548.0,40.867592,-73.220142,NY,0.9338,22.4,186.0,36.0,20.9,1.1926,25.0,740.0,232.0,29.9,1.1328,19.0,492.0,113.0,21.6
2068,MONROE COMMUNITY HOSPITAL (330403),2013,Acute Care,Government - State,571.0,43.111856,-77.616078,NY,,,0.0,,,,,0.0,,,,,0.0,,
2069,WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL (330404),2013,Acute Care,Voluntary non-profit - Private,150.0,,,NY,,,0.0,,,,,0.0,,,,,0.0,,
2070,HELEN HAYES HOSPITAL (330405),2013,Acute Care,Government - Local,155.0,41.212779,-73.985768,NY,,,0.0,,,,,0.0,,,,,0.0,,
2071,SUNNYVIEW HOSPITAL AND REHABILITATION CENTER (330406),2013,Acute Care,Voluntary non-profit - Private,115.0,42.822229,-73.91386,NY,,,0.0,,,,,0.0,,,,,0.0,,
2072,CAROLINAS MEDICAL CENTER-NORTHEAST (340001),2013,Acute Care,Government - Hospital District or Authority,457.0,35.434313,-80.603088,NC,1.0057,18.3,606.0,112.0,18.4,0.9691,24.7,1170.0,278.0,23.9,0.9507,18.8,1054.0,186.0,17.9
2073,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE (340002),2013,Acute Care,Voluntary non-profit - Private,753.0,35.577942,-82.54837,NC,0.9865,16.9,1483.0,246.0,16.6,0.8317,24.0,1524.0,294.0,20.0,0.9403,18.0,1142.0,190.0,16.9
2074,NORTHERN HOSPITAL OF SURRY COUNTY (340003),2013,Acute Care,Government - Hospital District or Authority,133.0,36.488418,-80.611181,NC,1.0223,24.0,41.0,11.0,24.5,0.9397,24.6,288.0,63.0,23.2,1.068,19.0,175.0,39.0,20.2
2075,HIGH POINT REGIONAL HEALTH SYSTEM (340004),2013,Acute Care,Voluntary non-profit - Private,317.0,35.962486,-80.012027,NC,0.9067,17.2,391.0,57.0,15.6,0.9391,24.6,565.0,127.0,23.1,1.0373,19.0,518.0,104.0,19.7
2076,SCOTLAND MEMORIAL HOSPITAL (340008),2013,Acute Care,Voluntary non-profit - Private,125.0,34.7517,-79.47042,NC,0.9916,21.4,77.0,16.0,21.2,1.0843,24.4,480.0,132.0,26.5,0.995,17.8,177.0,31.0,17.7
2077,WAYNE MEMORIAL HOSPITAL (340010),2013,Acute Care,Voluntary non-profit - Private,258.0,35.400831,-77.953342,NC,0.9558,25.4,70.0,15.0,24.2,0.947,25.9,666.0,160.0,24.5,1.2333,19.0,382.0,101.0,23.4
2078,BLUE RIDGE REGIONAL HOSPITAL (340011),2013,Acute Care,Voluntary non-profit - Other,49.0,,,NC,,,22.0,,,1.0182,24.2,146.0,37.0,24.6,0.9235,16.8,322.0,46.0,15.6
2079,RUTHERFORD HOSPITAL INC (340013),2013,Acute Care,Proprietary,137.0,35.363396,-81.964842,NC,1.0305,20.5,70.0,16.0,21.1,1.0623,22.9,356.0,90.0,24.3,1.0689,16.2,378.0,69.0,17.3
2080,FORSYTH MEMORIAL HOSPITAL (340014),2013,Acute Care,Voluntary non-profit - Private,890.0,36.073942,-80.298565,NC,0.9802,17.9,621.0,108.0,17.5,0.985,23.9,1044.0,245.0,23.6,0.968,17.9,820.0,140.0,17.3
2081,ROWAN REGIONAL MEDICAL CENTER (340015),2013,Acute Care,Voluntary non-profit - Private,208.0,35.681766,-80.471456,NC,0.8782,20.8,193.0,30.0,18.3,0.9483,24.4,307.0,68.0,23.2,1.0008,17.9,512.0,92.0,18.0
2082,MEDWEST HARRIS (340016),2013,Acute Care,Voluntary non-profit - Private,83.0,35.383923,-83.20279,NC,0.9857,23.1,29.0,6.0,22.8,0.9591,23.5,175.0,37.0,22.5,0.8567,17.6,265.0,32.0,15.1
2083,MARGARET R PARDEE MEMORIAL HOSPITAL (340017),2013,Acute Care,Government - Local,188.0,35.320814,-82.468153,NC,0.825,21.3,118.0,13.0,17.6,0.9199,23.4,380.0,77.0,21.5,0.8905,17.3,395.0,55.0,15.4
2084,CENTRAL CAROLINA HOSPITAL (340020),2013,Acute Care,Voluntary non-profit - Private,127.0,35.469093,-79.1888,NC,0.9658,18.9,35.0,5.0,18.3,1.0864,23.7,384.0,104.0,25.8,0.9931,17.6,322.0,56.0,17.5
2085,CLEVELAND REGIONAL MEDICAL CENTER (340021),2013,Acute Care,Government - Hospital District or Authority,301.0,35.301837,-81.535343,NC,0.9588,21.6,100.0,19.0,20.8,0.9861,24.0,548.0,129.0,23.7,0.9647,16.9,385.0,61.0,16.3
2086,PARK RIDGE HEALTH (340023),2013,Acute Care,Voluntary non-profit - Private,98.0,35.391907,-82.488056,NC,0.9563,21.0,39.0,6.0,20.1,0.8584,23.1,125.0,16.0,19.8,0.8807,16.7,207.0,24.0,14.7
2087,SAMPSON REGIONAL MEDICAL CENTER (340024),2013,Acute Care,Government - Local,78.0,35.007783,-78.323635,NC,0.9463,23.0,29.0,4.0,21.8,0.9103,25.2,338.0,72.0,23.0,0.9296,18.5,226.0,35.0,17.2
2088,LENOIR MEMORIAL HOSPITAL (340027),2013,Acute Care,Voluntary non-profit - Private,180.0,35.290955,-77.581407,NC,1.0094,21.8,180.0,40.0,22.0,0.9994,24.9,664.0,165.0,24.9,1.0172,18.4,508.0,96.0,18.7
2089,CAPE FEAR VALLEY MEDICAL CENTER (340028),2013,Acute Care,Voluntary non-profit - Private,617.0,35.032412,-78.931096,NC,1.0117,19.0,524.0,101.0,19.2,0.9523,25.4,1271.0,304.0,24.2,1.1227,19.0,635.0,142.0,21.4
2090,DUKE UNIVERSITY HOSPITAL (340030),2013,Acute Care,Proprietary,924.0,,,NC,1.1212,19.7,668.0,152.0,22.0,0.9677,24.7,924.0,219.0,23.9,1.1494,18.3,454.0,103.0,21.0
2091,GASTON MEMORIAL HOSPITAL (340032),2013,Acute Care,Government - Local,377.0,35.274593,-81.143023,NC,0.8768,18.7,568.0,88.0,16.4,1.0263,24.4,996.0,251.0,25.0,1.048,18.9,998.0,200.0,19.8
2092,FRANKLIN REGIONAL MEDICAL CENTER (340036),2013,Acute Care,Voluntary non-profit - Private,69.0,,,NC,,,2.0,,,0.9583,23.6,113.0,23.0,22.6,0.9634,18.5,112.0,18.0,17.8
2093,KINGS MOUNTAIN HOSPITAL (340037),2013,Acute Care,Government - Local,67.0,35.240871,-81.356017,NC,,,23.0,,,0.9469,24.6,87.0,17.0,23.3,0.9762,19.2,71.0,12.0,18.7
2094,IREDELL MEMORIAL HOSPITAL INC (340039),2013,Acute Care,Voluntary non-profit - Private,204.0,35.79986,-80.876817,NC,0.9453,18.5,110.0,17.0,17.5,1.0437,24.4,496.0,129.0,25.5,1.0836,17.8,444.0,90.0,19.3
2095,VIDANT MEDICAL CENTER (340040),2013,Acute Care,Voluntary non-profit - Private,933.0,35.60581,-77.400952,NC,1.088,18.1,1361.0,272.0,19.7,1.0326,24.1,1417.0,355.0,24.9,1.0144,18.2,657.0,122.0,18.5
2096,CALDWELL MEMORIAL HOSPITAL (340041),2013,Acute Care,Voluntary non-profit - Other,114.0,35.910633,-81.536239,NC,0.9279,24.4,32.0,4.0,22.6,0.9615,24.2,178.0,39.0,23.2,0.9466,19.3,284.0,49.0,18.3
2097,ONSLOW MEMORIAL HOSPITAL (340042),2013,Acute Care,Government - Hospital District or Authority,162.0,34.762285,-77.382571,NC,0.9921,22.0,52.0,11.0,21.8,0.9418,23.4,384.0,81.0,22.0,1.042,17.8,338.0,65.0,18.6
2098,NORTH CAROLINA BAPTIST HOSPITAL (340047),2013,Acute Care,Voluntary non-profit - Private,863.0,,,NC,1.0376,17.6,490.0,91.0,18.3,1.1652,23.8,806.0,233.0,27.7,1.2386,19.0,566.0,145.0,23.5
2099,NORTH CAROLINA SPECIALTY HOSPITAL (340049),2013,Acute Care,Proprietary,18.0,36.042865,-78.897548,NC,,,0.0,,,,,0.0,,,,,0.0,,
2100,SOUTHEASTERN REGIONAL MEDICAL CENTER (340050),2013,Acute Care,Voluntary non-profit - Private,380.0,34.636452,-79.010553,NC,1.0507,20.4,265.0,59.0,21.5,1.0898,26.8,852.0,254.0,29.2,1.1101,20.1,521.0,122.0,22.3
2101,WATAUGA MEDICAL CENTER (340051),2013,Acute Care,Government - Local,94.0,36.198753,-81.652423,NC,1.1788,23.8,102.0,36.0,28.1,0.985,24.2,268.0,63.0,23.8,0.9799,18.2,426.0,75.0,17.9
2102,PRESBYTERIAN HOSPITAL (340053),2013,Acute Care,Voluntary non-profit - Private,622.0,35.212879,-80.825614,NC,0.9529,17.7,569.0,94.0,16.9,0.9289,24.0,881.0,192.0,22.3,0.9788,18.3,576.0,102.0,17.9
2103,MOREHEAD MEMORIAL HOSPITAL (340060),2013,Acute Care,Voluntary non-profit - Private,229.0,36.49321,-79.740112,NC,1.0623,23.3,50.0,15.0,24.8,1.0694,24.1,318.0,86.0,25.8,1.1659,17.9,319.0,75.0,20.9
2104,UNIVERSITY OF NORTH CAROLINA HOSPITAL (340061),2013,Acute Care,Government - State,876.0,35.903551,-79.051894,NC,0.9482,19.6,313.0,56.0,18.6,1.0476,25.3,637.0,172.0,26.6,1.0657,18.8,443.0,92.0,20.0
2105,WILKES REGIONAL MEDICAL CENTER (340064),2013,Acute Care,Government - Local,103.0,36.158465,-81.157013,NC,1.0353,22.6,28.0,8.0,23.4,0.9681,23.5,189.0,41.0,22.7,1.083,18.1,305.0,64.0,19.6
2106,COLUMBUS REGIONAL HEALTHCARE SYSTEM (340068),2013,Acute Care,Voluntary non-profit - Other,154.0,34.338657,-78.693644,NC,,,18.0,,,1.0093,26.2,316.0,84.0,26.4,0.9034,19.8,299.0,48.0,17.9
2107,"WAKEMED, RALEIGH CAMPUS (340069)",2013,Acute Care,Voluntary non-profit - Private,682.0,35.786139,-78.589067,NC,1.0363,18.5,1652.0,318.0,19.2,0.9197,24.4,1721.0,382.0,22.5,0.9812,18.8,542.0,99.0,18.5
2108,ALAMANCE REGIONAL MEDICAL CENTER (340070),2013,Acute Care,Voluntary non-profit - Private,216.0,36.063749,-79.502528,NC,0.9835,19.9,152.0,29.0,19.5,0.9993,23.4,423.0,99.0,23.4,1.0102,17.4,293.0,52.0,17.6
2109,BETSY JOHNSON REGIONAL HOSPITAL (340071),2013,Acute Care,Voluntary non-profit - Private,134.0,35.306555,-78.633088,NC,,,17.0,,,1.0435,26.0,348.0,97.0,27.1,1.0434,19.4,378.0,79.0,20.3
2110,DUKE HEALTH RALEIGH HOSPITAL (340073),2013,Acute Care,Voluntary non-profit - Private,162.0,35.828998,-78.619549,NC,1.0479,20.1,105.0,24.0,21.0,0.9801,24.4,185.0,43.0,23.9,0.9478,18.3,195.0,31.0,17.4
2111,GRACE HOSPITAL INC (340075),2013,Acute Care,Proprietary,157.0,35.723793,-81.658223,NC,0.9238,21.5,67.0,10.0,19.8,0.9927,24.0,191.0,45.0,23.8,1.0216,18.3,309.0,59.0,18.7
2112,ANSON COMMUNITY HOSPITAL (340084),2013,Acute Care,Government - Hospital District or Authority,48.0,34.978532,-80.109679,NC,,,9.0,,,1.0327,25.9,112.0,32.0,26.8,1.0924,17.1,98.0,23.0,18.7
2113,THOMASVILLE MEDICAL CENTER (340085),2013,Acute Care,Voluntary non-profit - Private,128.0,35.882029,-80.11138,NC,0.9858,22.4,39.0,8.0,22.1,1.0563,23.6,119.0,33.0,25.0,0.9552,18.5,155.0,25.0,17.7
2114,THE MCDOWELL HOSPITAL (340087),2013,Acute Care,Voluntary non-profit - Private,44.0,35.665187,-82.021772,NC,,,17.0,,,0.9647,23.4,107.0,22.0,22.5,0.9641,16.3,133.0,19.0,15.7
2115,JOHNSTON MEMORIAL HOSPITAL (340090),2013,Acute Care,Government - Hospital District or Authority,201.0,35.513161,-78.333659,NC,0.9644,22.1,68.0,13.0,21.3,0.9565,26.0,425.0,103.0,24.9,1.0719,19.8,425.0,94.0,21.2
2116,"MOSES H CONE MEMORIAL HOSPITAL, THE (340091)",2013,Acute Care,Voluntary non-profit - Private,882.0,36.090652,-79.788815,NC,0.95,18.1,663.0,112.0,17.2,0.9771,23.1,1364.0,306.0,22.5,0.9711,17.1,1215.0,200.0,16.6
2117,LEXINGTON MEMORIAL HOSPITAL INC (340096),2013,Acute Care,Voluntary non-profit - Private,77.0,35.802754,-80.287224,NC,1.0092,20.5,66.0,14.0,20.6,1.035,23.6,196.0,50.0,24.5,1.0086,17.2,234.0,41.0,17.3
2118,HUGH CHATHAM MEMORIAL HOSPITAL (340097),2013,Acute Care,Voluntary non-profit - Private,116.0,36.266391,-80.835793,NC,1.0152,20.7,78.0,17.0,21.0,1.1158,23.8,227.0,67.0,26.6,1.0552,17.4,235.0,46.0,18.4
2119,CAROLINAS MED CENTER-MERCY (340098),2013,Acute Care,Government - Hospital District or Authority,291.0,35.09135,-80.869529,NC,0.928,19.1,271.0,45.0,17.7,0.9781,23.6,586.0,134.0,23.1,0.9326,17.0,394.0,59.0,15.9
2120,ROANOKE CHOWAN HOSPITAL (340099),2013,Acute Care,Voluntary non-profit - Private,103.0,36.285149,-76.993924,NC,0.9574,22.3,46.0,8.0,21.3,1.1572,22.7,294.0,86.0,26.3,1.1466,16.9,195.0,45.0,19.4
2121,SANDHILLS REGIONAL MEDICAL CENTER (340106),2013,Acute Care,Proprietary,64.0,,,NC,1.0643,22.0,27.0,9.0,23.5,1.1855,25.1,230.0,79.0,29.7,1.0506,19.7,108.0,25.0,20.7
2122,HERITAGE HOSPITAL (340107),2013,Acute Care,Government - Local,116.0,35.921885,-77.556994,NC,0.9926,20.9,40.0,8.0,20.8,1.0399,23.8,322.0,82.0,24.7,1.0973,17.2,197.0,42.0,18.8
2123,ALBEMARLE HOSPITAL AUTHORITY (340109),2013,Acute Care,Government - Hospital District or Authority,122.0,36.32153,-76.22002,NC,0.9919,21.4,77.0,16.0,21.2,0.9125,25.4,373.0,81.0,23.2,0.9641,18.1,297.0,50.0,17.5
2124,CAROLINAS MEDICAL CENTER/BEHAV HEALTH (340113),2013,Acute Care,Government - Hospital District or Authority,1148.0,35.204983,-80.839845,NC,1.1082,16.8,1003.0,191.0,18.6,0.8739,24.3,994.0,203.0,21.2,1.1192,18.6,436.0,97.0,20.8
2125,REX HOSPITAL (340114),2013,Acute Care,Government - State,560.0,35.815458,-78.705032,NC,1.0449,18.5,566.0,111.0,19.3,0.8514,24.4,1018.0,202.0,20.8,0.9347,17.4,618.0,97.0,16.3
2126,FIRSTHEALTH MOORE REGIONAL HOSPITAL (340115),2013,Acute Care,Voluntary non-profit - Private,456.0,35.206599,-79.458109,NC,0.9761,17.7,788.0,135.0,17.3,1.0284,24.6,1359.0,345.0,25.3,1.1121,18.2,863.0,180.0,20.2
2127,FRYE REGIONAL MEDICAL CENTER (340116),2013,Acute Care,Proprietary,355.0,35.737175,-81.337778,NC,0.8869,17.0,502.0,71.0,15.1,0.8726,23.7,484.0,92.0,20.6,0.8854,18.5,497.0,75.0,16.4
2128,STANLY REGIONAL MEDICAL CENTER (340119),2013,Acute Care,Voluntary non-profit - Private,111.0,35.362606,-80.194398,NC,0.9171,21.6,99.0,16.0,19.8,0.9035,23.7,354.0,70.0,21.5,1.0108,18.0,293.0,54.0,18.2
2129,VIDANT DUPLIN  HOSPITAL (340120),2013,Acute Care,Government - Local,70.0,34.964769,-77.960479,NC,,,18.0,,,0.9862,23.2,135.0,30.0,22.8,1.058,17.4,163.0,33.0,18.4
2130,RANDOLPH HOSPITAL (340123),2013,Acute Care,Voluntary non-profit - Private,145.0,35.711958,-79.814825,NC,1.0052,21.2,60.0,13.0,21.3,1.0401,23.8,354.0,90.0,24.8,1.0787,17.7,492.0,98.0,19.1
2131,WILSON MEDICAL CENTER (340126),2013,Acute Care,Voluntary non-profit - Private,269.0,35.720524,-77.944047,NC,1.0118,23.9,93.0,23.0,24.2,0.9982,26.4,449.0,118.0,26.3,1.1093,19.5,509.0,116.0,21.7
2132,GRANVILLE MEDICAL CENTER (340127),2013,Acute Care,Government - Local,122.0,36.326338,-78.594407,NC,,,21.0,,,0.9009,23.8,122.0,20.0,21.4,1.0117,18.3,126.0,24.0,18.6
2133,LAKE NORMAN REGIONAL MEDICAL CENTER (340129),2013,Acute Care,Proprietary,938.0,35.547748,-80.852939,NC,1.0078,19.6,120.0,24.0,19.7,0.9711,23.8,297.0,67.0,23.1,0.9322,18.4,191.0,29.0,17.1
2134,CAROLINAS MEDICAL CENTER-UNION (340130),2013,Acute Care,Government - Hospital District or Authority,230.0,34.975111,-80.522853,NC,1.0939,22.3,95.0,27.0,24.4,0.9422,24.2,633.0,141.0,22.8,0.9837,18.9,359.0,66.0,18.6
2135,CAROLINA EAST MEDICAL CENTER (340131),2013,Acute Care,Government - Hospital District or Authority,304.0,35.111893,-77.066216,NC,1.0352,17.8,508.0,95.0,18.4,0.9757,24.6,1026.0,245.0,24.0,0.9718,18.6,528.0,94.0,18.1
2136,MARIA PARHAM MEDICAL CENTER (340132),2013,Acute Care,Proprietary,111.0,,,NC,1.0074,21.4,45.0,10.0,21.5,0.9428,23.0,214.0,43.0,21.7,0.9582,18.1,151.0,24.0,17.4
2137,MARTIN GENERAL HOSPITAL (340133),2013,Acute Care,Government - Local,44.0,35.840477,-77.071178,NC,0.9965,20.6,25.0,5.0,20.6,0.9865,23.1,210.0,47.0,22.8,1.1836,17.6,178.0,46.0,20.8
2138,NEW HANOVER REGIONAL MEDICAL CENTER (340141),2013,Acute Care,Government - Local,761.0,34.206183,-77.924182,NC,0.9573,18.2,1013.0,175.0,17.4,0.8876,24.7,1731.0,372.0,21.9,0.8799,18.6,1012.0,159.0,16.4
2139,CARTERET GENERAL HOSPITAL (340142),2013,Acute Care,Proprietary,104.0,34.724814,-76.75413,NC,1.1024,22.6,144.0,40.0,24.9,0.9628,24.8,482.0,113.0,23.9,0.9992,18.2,291.0,53.0,18.2
2140,CATAWBA VALLEY MEDICAL CENTER (340143),2013,Acute Care,Voluntary non-profit - Other,258.0,35.711195,-81.264779,NC,0.9316,18.3,128.0,19.0,17.0,0.8882,22.2,232.0,39.0,19.7,0.9076,16.1,281.0,36.0,14.6
2141,DAVIS REGIONAL MEDICAL CENTER (340144),2013,Acute Care,Proprietary,136.0,,,NC,,,18.0,,,1.1274,25.5,179.0,59.0,28.8,1.1306,17.9,135.0,34.0,20.3
2142,CAROLINAS MEDICAL CENTER-LINCOLN (340145),2013,Acute Care,Government - Hospital District or Authority,101.0,35.488387,-81.201314,NC,0.9538,24.3,26.0,4.0,23.2,1.0287,24.5,231.0,60.0,25.2,0.9867,18.8,171.0,31.0,18.6
2143,NASH GENERAL HOSPITAL (340147),2013,Acute Care,Government - Hospital District or Authority,341.0,35.973443,-77.848919,NC,1.1407,24.8,421.0,125.0,28.3,1.0566,25.3,627.0,171.0,26.7,1.075,18.7,581.0,121.0,20.2
2144,MEDICAL PARK HOSPITAL (340148),2013,Acute Care,Voluntary non-profit - Other,24.0,36.078159,-80.295715,NC,,,0.0,,,,,0.0,,,,,0.0,,
2145,HALIFAX REGIONAL MEDICAL CENTER INC (340151),2013,Acute Care,Voluntary non-profit - Private,124.0,36.435313,-77.647046,NC,1.0171,25.5,55.0,15.0,25.9,1.0567,25.0,446.0,121.0,26.4,1.062,18.2,289.0,59.0,19.3
2146,PRESBYTERIAN-ORTHOPAEDIC HOSPITAL (340153),2013,Acute Care,Voluntary non-profit - Other,80.0,,,NC,,,0.0,,,,,1.0,,,,,0.0,,
2147,DURHAM REGIONAL HOSPITAL (340155),2013,Acute Care,Government - Local,350.0,36.037439,-78.897037,NC,0.872,19.1,261.0,38.0,16.7,1.0041,24.7,507.0,126.0,24.8,1.0632,17.4,481.0,92.0,18.5
2148,CHEROKEE INDIAN HOSPITAL AUTHORITY (340156),2013,Acute Care,Government - Federal,21.0,,,NC,,,1.0,,,,,8.0,,,0.9895,16.6,46.0,7.0,16.4
2149,BRUNSWICK COMMUNITY HOSPITAL (340158),2013,Acute Care,Voluntary non-profit - Other,63.0,34.009092,-78.289923,NC,,,13.0,,,0.9412,24.0,211.0,44.0,22.6,1.0456,18.3,207.0,42.0,19.1
2150,PERSON MEMORIAL HOSPITAL (340159),2013,Acute Care,Proprietary,100.0,36.407549,-78.984763,NC,,,7.0,,,0.9419,23.1,163.0,32.0,21.8,0.9755,17.9,156.0,26.0,17.5
2151,MURPHY MEDICAL CENTER INC (340160),2013,Acute Care,Voluntary non-profit - Private,189.0,,,NC,0.9199,22.6,36.0,4.0,20.8,1.0244,24.2,123.0,32.0,24.8,0.9858,18.0,196.0,34.0,17.7
2152,CAROLINAS MED CTR-UNIVERSITY (340166),2013,Acute Care,Government - Hospital District or Authority,102.0,35.307836,-80.747985,NC,0.958,20.2,40.0,6.0,19.4,0.9343,23.5,173.0,34.0,22.0,1.0051,15.4,108.0,17.0,15.5
2153,PRESBYTERIAN HOSPITAL MATTHEWS (340171),2013,Acute Care,Voluntary non-profit - Other,126.0,,,NC,1.0473,20.1,105.0,24.0,21.0,0.9025,22.9,343.0,65.0,20.7,0.9675,17.8,370.0,62.0,17.2
2154,"WAKEMED, CARY HOSPITAL (340173)",2013,Acute Care,Voluntary non-profit - Private,179.0,35.740188,-78.779918,NC,0.9232,21.8,76.0,12.0,20.2,0.9135,22.9,456.0,90.0,20.9,0.989,17.4,318.0,54.0,17.2
2155,PRESBYTERIAN HOSPITAL HUNTERSVILLE (340183),2013,Acute Care,Voluntary non-profit - Private,99.0,35.407899,-80.860744,NC,0.9752,26.1,28.0,6.0,25.4,0.9957,24.3,183.0,44.0,24.2,0.883,19.1,193.0,26.0,16.9
2156,MEDWEST HAYWOOD (340184),2013,Acute Care,Government - Hospital District or Authority,138.0,35.527856,-82.945437,NC,0.9536,22.8,46.0,8.0,21.7,0.9272,23.5,231.0,46.0,21.8,0.9118,17.0,380.0,54.0,15.5
2157,BEAUFORT HOSPITAL (340186),2013,Acute Care,Voluntary non-profit - Private,90.0,35.548662,-77.038833,NC,,,0.0,,,,,0.0,,,,,0.0,,
2158,ST ALEXIUS MEDICAL CENTER (350002),2013,Acute Care,Voluntary non-profit - Private,237.0,46.806369,-100.777075,ND,0.7496,15.9,276.0,22.0,11.9,0.8734,22.4,377.0,66.0,19.6,0.9222,17.5,348.0,52.0,16.2
