,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
2065,BEACHAM MEMORIAL HOSPITAL (250049),2021,Acute Care,Proprietary,34.0,31.145626,-90.45929,MS,54.0,20.6,52.0,15.9,43.0,17.0,26.0,20.0,,,,,,,,,,,,,54.0,-35.5,43.0,15.0,43.0,56.1,40.0,11.0,,,,,
2066,OCH REGIONAL MEDICAL CENTER (250050),2021,Acute Care,Government - Local,90.0,33.474957,-88.820554,MS,52.0,21.9,163.0,15.8,161.0,16.9,38.0,19.9,64.0,4.8,,,,,,,,,,,52.0,-15.0,47.0,24.0,161.0,1.5,143.0,49.0,,949.0,16.4,342.0,0.8
2067,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN (250057),2021,Acute Care,Voluntary non-profit - Other,96.0,,,MS,115.0,23.6,249.0,16.8,204.0,16.1,80.0,21.5,,,,,,,,,,,,,115.0,20.6,98.0,42.0,204.0,16.5,185.0,46.0,,739.0,15.9,486.0,0.9
2068,SOUTH CENTRAL REG MED CTR (250058),2021,Acute Care,Government - Local,267.0,31.685911,-89.14135,MS,327.0,23.8,771.0,15.9,523.0,19.5,242.0,19.4,90.0,4.5,50.0,14.7,,,152.0,5.7,50.0,-0.2,50.0,12.0,327.0,35.9,263.0,109.0,523.0,55.9,434.0,145.0,12.9,86.0,16.6,184.0,0.8
2069,YALOBUSHA GENERAL HOSPITAL (250061),2021,Acute Care,Government - Local,148.0,34.1307,-89.641013,MS,59.0,22.1,134.0,16.1,88.0,17.7,78.0,19.9,,,,,,,,,,,,,59.0,-37.2,46.0,16.0,88.0,25.2,83.0,22.0,,,,,
2070,CLAY COUNTY MEDICAL CORPORATION (250067),2021,Acute Care,Voluntary non-profit - Private,54.0,33.618616,-88.661549,MS,108.0,21.4,133.0,15.2,103.0,16.3,53.0,20.0,,,,,,,102.0,8.8,,,,,108.0,-26.0,84.0,39.0,103.0,-30.9,97.0,26.0,10.5,222.0,16.9,,
2071,RUSH FOUNDATION HOSPITAL (250069),2021,Acute Care,Voluntary non-profit - Private,183.0,32.370664,-88.697779,MS,155.0,22.1,718.0,14.9,270.0,16.0,191.0,19.2,350.0,3.8,101.0,16.5,,,,,101.0,17.5,101.0,35.0,155.0,-7.8,135.0,51.0,270.0,-5.6,249.0,59.0,,1765.0,16.6,499.0,0.7
2072,MERIT HEALTH CENTRAL (250072),2021,Acute Care,Proprietary,336.0,32.286929,-90.255755,MS,94.0,23.0,343.0,15.9,132.0,17.7,71.0,19.4,30.0,4.2,174.0,18.7,,,,,174.0,60.8,172.0,63.0,94.0,53.9,79.0,31.0,132.0,41.1,125.0,43.0,,251.0,16.1,149.0,0.9
2073,WAYNE GENERAL HOSPITAL (250077),2021,Acute Care,Government - Local,61.0,31.673601,-88.633312,MS,66.0,23.0,125.0,15.4,94.0,17.8,38.0,19.3,,,,,,,,,,,,,66.0,-2.0,51.0,15.0,94.0,13.5,85.0,25.0,,98.0,16.8,,
2074,FORREST GENERAL HOSPITAL (250078),2021,Acute Care,Government - Local,458.0,,,MS,936.0,24.9,2561.0,16.0,974.0,18.6,743.0,24.3,1155.0,4.1,334.0,16.6,251.0,13.4,141.0,7.0,334.0,11.2,327.0,88.0,936.0,33.4,751.0,298.0,974.0,19.4,871.0,274.0,15.3,42.0,19.5,919.0,1.0
2075,DELTA HEALTH- THE MEDICAL CENTER (250082),2021,Acute Care,Government - Local,200.0,33.409907,-91.035243,MS,313.0,23.1,532.0,17.0,212.0,19.5,132.0,21.0,49.0,5.0,146.0,16.5,,,,,146.0,8.2,139.0,42.0,313.0,30.3,233.0,101.0,212.0,67.8,183.0,73.0,,768.0,15.8,73.0,1.1
2076,MERIT HEALTH NATCHEZ (250084),2021,Acute Care,Proprietary,179.0,,,MS,198.0,21.9,393.0,15.7,186.0,16.9,151.0,21.5,,,,,,,,,,,,,198.0,2.3,161.0,62.0,186.0,13.9,170.0,44.0,,290.0,16.0,130.0,1.2
2077,MARION GENERAL HOSPITAL (250085),2021,Acute Care,Voluntary non-profit - Other,47.0,31.256354,-89.806273,MS,104.0,20.7,100.0,15.4,88.0,17.6,75.0,19.4,,,,,,,,,,,,,104.0,-16.3,86.0,35.0,88.0,16.1,82.0,26.0,,,,,
2078,BOLIVAR MEDICAL CENTER (250093),2021,Acute Care,Proprietary,199.0,33.747471,-90.708128,MS,157.0,24.7,348.0,15.6,239.0,17.6,204.0,21.0,,,,,,,,,,,,,157.0,14.6,122.0,54.0,239.0,11.0,196.0,71.0,,424.0,20.9,120.0,1.1
2079,MERIT HEALTH WESLEY (250094),2021,Acute Care,Voluntary non-profit - Private,187.0,31.323058,-89.3669,MS,283.0,25.1,593.0,16.1,252.0,17.0,151.0,19.6,40.0,3.9,80.0,16.3,56.0,11.9,,,80.0,15.5,78.0,32.0,283.0,29.1,221.0,105.0,252.0,-21.3,236.0,69.0,,,,241.0,1.1
2080,SOUTH SUNFLOWER COUNTY HOSPITAL (250095),2021,Acute Care,Government - Local,48.0,33.457234,-90.65024,MS,63.0,21.2,96.0,15.0,86.0,15.8,36.0,20.2,,,,,,,,,,,,,63.0,-3.6,51.0,23.0,86.0,-36.9,74.0,18.0,,195.0,16.3,,
2081,CROSSGATES RIVER OAKS HOSPITAL (250096),2021,Acute Care,Proprietary,122.0,32.286214,-90.03596,MS,37.0,23.0,148.0,15.5,54.0,16.4,54.0,18.9,,,,,,,,,,,,,37.0,14.3,34.0,14.0,54.0,10.1,51.0,12.0,,98.0,17.2,134.0,1.0
2082,SOUTHWEST MS REGIONAL MEDICAL CENTER (250097),2021,Acute Care,Government - Local,148.0,,,MS,253.0,24.7,482.0,18.1,309.0,17.5,123.0,20.6,,,122.0,17.2,31.0,15.0,105.0,6.3,122.0,7.0,118.0,51.0,253.0,19.4,204.0,95.0,309.0,27.6,280.0,91.0,13.9,1278.0,17.9,128.0,1.1
2083,GREENWOOD LEFLORE HOSPITAL (250099),2021,Acute Care,Government - Local,207.0,33.518254,-90.200189,MS,224.0,21.7,465.0,16.1,177.0,18.3,159.0,19.1,109.0,3.9,55.0,16.3,,,,,55.0,33.3,54.0,22.0,224.0,-3.5,172.0,77.0,177.0,18.5,165.0,57.0,,956.0,19.9,408.0,0.9
2084,BMH-GOLDEN TRIANGLE (250100),2021,Acute Care,Voluntary non-profit - Private,272.0,33.526488,-88.429071,MS,232.0,22.6,954.0,16.9,436.0,17.4,170.0,21.3,215.0,3.7,138.0,14.7,61.0,12.1,198.0,9.0,138.0,-10.6,132.0,43.0,232.0,23.7,204.0,81.0,436.0,18.7,392.0,118.0,14.3,,,409.0,1.0
2085,MISSISSIPPI BAPTIST MEDICAL CENTER (250102),2021,Acute Care,Voluntary non-profit - Private,527.0,32.314278,-90.178228,MS,992.0,22.6,2870.0,16.1,1175.0,18.6,449.0,20.4,1492.0,3.2,274.0,15.5,88.0,11.0,125.0,6.5,274.0,13.5,272.0,65.0,992.0,30.7,798.0,287.0,1175.0,25.5,1046.0,296.0,13.2,151.0,18.1,1173.0,0.8
2086,ANDERSON REGIONAL MEDICAL CTR (250104),2021,Acute Care,Voluntary non-profit - Private,261.0,32.370775,-88.699858,MS,591.0,22.2,1220.0,15.2,578.0,18.9,400.0,18.6,181.0,3.6,249.0,16.6,137.0,11.2,102.0,5.8,249.0,6.3,241.0,83.0,591.0,-0.4,456.0,191.0,578.0,25.8,508.0,155.0,13.5,780.0,15.5,447.0,1.0
2087,HIGHLAND COMMUNITY  HOSPITAL (250117),2021,Acute Care,Government - Hospital District or Authority,54.0,30.552471,-89.665422,MS,76.0,22.7,161.0,16.5,188.0,17.9,96.0,21.5,,,,,,,,,,,,,76.0,42.6,67.0,22.0,188.0,35.2,168.0,56.0,,377.0,16.8,51.0,0.9
2088,SINGING RIVER GULFPORT (250123),2021,Acute Care,Proprietary,129.0,30.44201,-89.092766,MS,109.0,21.8,185.0,15.7,85.0,15.7,59.0,20.1,102.0,3.9,,,,,,,,,,,109.0,-1.6,90.0,38.0,85.0,-30.7,81.0,16.0,,51.0,17.0,92.0,0.9
2089,MAGEE GENERAL HOSPITAL (250124),2021,Acute Care,Voluntary non-profit - Private,50.0,31.870585,-89.728389,MS,46.0,22.7,90.0,15.2,148.0,17.3,31.0,19.4,,,,,,,,,,,,,46.0,30.1,38.0,19.0,148.0,52.9,124.0,38.0,,307.0,17.6,,
2090,PANOLA MEDICAL CENTER (250128),2021,Acute Care,Proprietary,98.0,34.306319,-89.916488,MS,50.0,24.1,53.0,15.7,80.0,17.8,57.0,19.6,,,,,,,,,,,,,50.0,7.2,47.0,23.0,80.0,11.6,72.0,23.0,,61.0,16.0,37.0,1.0
2091,WHITFIELD MEDICAL SURGICAL HOSPITAL (250134),2021,Acute Care,Government - State,32.0,,,MS,,,,,37.0,17.4,,,,,,,,,,,,,,,,,,,37.0,36.6,25.0,6.0,,,,,
2092,MERIT HEALTH WOMEN'S HOSPITAL (250136),2021,Acute Care,Proprietary,59.0,32.32583,-90.106656,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,0.8
2093,MERIT HEALTH RIVER OAKS (250138),2021,Acute Care,Proprietary,158.0,32.32614,-90.106447,MS,69.0,23.1,369.0,15.9,93.0,17.4,73.0,19.5,331.0,3.8,,,,,,,,,,,69.0,24.4,59.0,29.0,93.0,17.9,85.0,27.0,,,,396.0,0.9
2094,BAPTIST MEMORIAL HOSPITAL DESOTO (250141),2021,Acute Care,Voluntary non-profit - Private,336.0,34.968348,-89.995535,MS,875.0,25.2,1882.0,16.2,855.0,17.4,380.0,21.1,,,283.0,16.1,121.0,12.6,191.0,5.3,283.0,58.0,270.0,71.0,875.0,40.5,682.0,270.0,855.0,32.2,762.0,213.0,16.4,81.0,16.9,304.0,1.0
2095,ALLIANCE HEALTH CENTER (250151),2021,Acute Care,Proprietary,195.0,32.409988,-88.678811,MS,,,38.0,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2096,OCHSNER MEDICAL CENTER-HANCOCK (250162),2021,Acute Care,Government - Local,68.0,30.31304,-89.355657,MS,54.0,21.9,80.0,15.5,66.0,15.6,,,,,,,,,,,,,,,54.0,12.7,48.0,23.0,66.0,-18.1,62.0,11.0,,227.0,16.6,95.0,0.9
2097,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL (250167),2021,Acute Care,Voluntary non-profit - Private,51.0,34.922615,-89.794873,MS,152.0,22.1,383.0,15.9,211.0,17.8,114.0,19.0,29.0,4.0,70.0,16.0,,,,,70.0,-9.4,66.0,19.0,152.0,28.0,137.0,57.0,211.0,-9.9,197.0,60.0,,37.0,16.0,43.0,1.0
2098,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA (250168),2021,Acute Care,Government - State,80.0,33.763307,-89.817532,MS,99.0,22.2,178.0,15.5,126.0,18.1,77.0,18.5,35.0,4.1,,,,,35.0,5.4,,,,,99.0,6.2,86.0,32.0,126.0,32.4,117.0,44.0,11.6,238.0,18.1,126.0,1.1
2099,VA GULF COAST HEALTHCARE SYSTEM (25042F),2021,Acute Care (VA),Government - Federal,,,,,116.0,19.4,232.0,15.6,169.0,16.1,137.0,18.3,,,,,,,,,,,,,116.0,-37.2,93.0,28.0,169.0,-5.5,144.0,38.0,,,,,
2100,G. V. (SONNY) MONTGOMERY VA MEDICAL CENTER (JACKSON) (25043F),2021,Acute Care (VA),Government - Federal,,,,,298.0,20.8,530.0,16.8,256.0,17.6,169.0,19.0,52.0,4.5,89.0,15.9,,,,,89.0,-13.1,83.0,32.0,298.0,-4.2,234.0,90.0,256.0,2.4,234.0,73.0,,,,,
2101,S E LACKEY MEMORIAL HOSPITAL (251300),2021,Critical Access,Voluntary non-profit - Private,94.0,32.365907,-89.470963,MS,,,41.0,14.9,29.0,16.7,28.0,20.3,,,,,,,,,,,,,,,,,29.0,-7.5,26.0,6.0,,252.0,17.9,,
2102,TALLAHATCHIE GENERAL HOSPITAL-CAH (251304),2021,Critical Access,Government - Local,11.0,34.005079,-90.058165,MS,,,,,41.0,15.9,,,,,,,,,,,,,,,,,,,41.0,-36.5,34.0,10.0,,,,,
2103,LAWRENCE COUNTY HOSPITAL CAH (251305),2021,Critical Access,Government - Local,25.0,31.553419,-90.100262,MS,32.0,23.0,70.0,15.4,98.0,17.7,,,,,,,,,,,,,,,32.0,9.2,27.0,12.0,98.0,3.5,83.0,19.0,,,,,
2104,PONTOTOC HEALTH SERVICE INC CAH (251308),2021,Critical Access,Voluntary non-profit - Private,25.0,34.242827,-88.9968,MS,,,28.0,15.3,47.0,16.0,39.0,18.8,,,,,,,,,,,,,,,,,47.0,-11.4,45.0,6.0,,,,,
2105,FIELD HEALTH SYSTEM (251309),2021,Critical Access,Government - Local,20.0,,,MS,32.0,22.4,70.0,16.0,33.0,17.9,25.0,19.7,,,,,,,,,,,,,32.0,14.8,27.0,12.0,33.0,25.1,28.0,10.0,,,,,
2106,TYLER HOLMES MEMORIAL HOSPITAL CAH (251312),2021,Critical Access,Voluntary non-profit - Private,25.0,33.490652,-89.737748,MS,28.0,21.2,62.0,15.7,44.0,16.5,28.0,19.4,,,,,,,,,,,,,28.0,-7.9,21.0,6.0,44.0,40.0,43.0,9.0,,,,,
2107,BAPTIST MEDICAL CENTER-YAZOO (251313),2021,Critical Access,Voluntary non-profit - Private,27.0,32.85873,-90.403321,MS,38.0,22.1,55.0,15.8,64.0,16.2,,,,,,,,,,,,,,,38.0,2.3,33.0,12.0,64.0,-9.4,59.0,16.0,,171.0,15.7,,
2108,BAPTIST MEDICAL CENTER-LEAKE (251315),2021,Critical Access,Voluntary non-profit - Private,43.0,32.738533,-89.51641,MS,40.0,21.7,93.0,16.0,85.0,17.0,55.0,19.0,,,,,,,,,,,,,40.0,-5.7,35.0,9.0,85.0,-2.2,72.0,16.0,,149.0,16.3,,
2109,H C WATKINS MEMORIAL HOSPITAL INC (251316),2021,Critical Access,Voluntary non-profit - Other,25.0,32.031259,-88.727955,MS,,,,,44.0,16.2,,,,,,,,,,,,,,,,,,,44.0,-20.9,42.0,9.0,,,,,
2110,SIMPSON GENERAL HOSPITAL CAH (251317),2021,Critical Access,Voluntary non-profit - Private,35.0,31.968094,-89.886996,MS,,,42.0,15.9,26.0,17.0,35.0,19.9,,,,,,,,,,,,,,,,,26.0,33.5,25.0,7.0,,34.0,18.0,,
2111,NORTH SUNFLOWER MEDICAL CENTER CAH (251318),2021,Critical Access,Government - Local,70.0,33.734839,-90.546823,MS,59.0,21.8,76.0,15.2,108.0,17.4,38.0,18.6,,,,,,,,,,,,,59.0,1.5,43.0,17.0,108.0,-3.8,99.0,29.0,,,,,
2112,HOLMES COUNTY HOSPITAL AND CLINICS (251319),2021,Critical Access,Government - State,25.0,33.111077,-90.029741,MS,,,27.0,15.4,25.0,17.1,,,,,,,,,,,,,,,,,,,25.0,19.3,22.0,8.0,,,,,
2113,CLAIBORNE COUNTY HOSPITAL (251320),2021,Critical Access,Government - Local,32.0,31.945992,-90.985395,MS,34.0,22.1,68.0,15.5,62.0,17.2,34.0,20.0,,,,,,,,,,,,,34.0,-34.8,25.0,9.0,62.0,24.4,50.0,18.0,,,,,
2114,LAIRD HOSPITAL INC (251322),2021,Critical Access,Voluntary non-profit - Private,25.0,32.559207,-89.102561,MS,,,32.0,15.4,41.0,16.1,,,,,,,,,,,,,,,,,,,41.0,-20.6,34.0,7.0,,37.0,16.7,,
2115,SCOTT REGIONAL HOSPITAL CAH (251323),2021,Critical Access,Voluntary non-profit - Private,25.0,32.344625,-89.671295,MS,,,25.0,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,15.7,,
2116,WALTHALL COUNTY GENERAL HOSPITAL CAH (251324),2021,Critical Access,Government - Local,25.0,31.119583,-90.155618,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,16.4,,
2117,COVINGTON COUNTY HOSPITAL CAH (251325),2021,Critical Access,Government - Local,30.0,31.638236,-89.554424,MS,48.0,22.3,54.0,15.9,46.0,17.1,30.0,18.9,,,,,,,,,,,,,48.0,17.5,40.0,14.0,46.0,-8.8,40.0,13.0,,,,,
2118,FRANKLIN COUNTY MEMORIAL HOSPITAL (251330),2021,Critical Access,Voluntary non-profit - Other,28.0,31.473248,-90.884924,MS,27.0,22.5,,,31.0,16.6,,,,,,,,,,,,,,,27.0,-0.1,24.0,7.0,31.0,8.1,26.0,5.0,,,,,
2119,"BAPTIST MEMORIAL HOSPITAL - CALHOUN, INC. (251331)",2021,Critical Access,Government - Local,56.0,33.869665,-89.317176,MS,,,59.0,14.9,49.0,16.0,27.0,19.2,,,,,,,,,,,,,,,,,49.0,4.7,46.0,9.0,,,,,
2120,CHOCTAW REGIONAL MEDICAL CENTER (251334),2021,Critical Access,Government - Local,52.0,33.318465,-89.182304,MS,,,33.0,15.2,52.0,16.3,,,,,,,,,,,,,,,,,,,52.0,1.5,42.0,13.0,,,,,
2121,JOHN C STENNIS MEMORIAL HOSPITAL (251335),2021,Critical Access,Voluntary non-profit - Private,25.0,32.776819,-88.679122,MS,,,,,25.0,16.2,,,,,,,,,,,,,,,,,,,25.0,-15.2,21.0,5.0,,,,,
2122,BAPTIST MEDICAL CENTER ATTALA (251336),2021,Critical Access,Voluntary non-profit - Other,25.0,33.065592,-89.596721,MS,26.0,22.4,60.0,14.9,101.0,16.8,,,,,,,,,,,,,,,26.0,61.0,21.0,7.0,101.0,-8.1,90.0,31.0,,239.0,15.7,,
2123,TIPPAH COUNTY HOSPITAL (251337),2021,Critical Access,Government - Local,69.0,34.739322,-88.949512,MS,36.0,21.3,113.0,14.7,109.0,15.4,58.0,18.8,,,,,,,,,,,,,36.0,15.1,33.0,12.0,109.0,-23.1,98.0,21.0,,,,,
2124,MERCY HOSPITAL JOPLIN (260001),2021,Acute Care,Voluntary non-profit - Church,222.0,37.034697,-94.511799,MO,504.0,25.7,1074.0,17.2,670.0,18.3,237.0,19.5,,,168.0,17.4,71.0,16.6,179.0,4.7,168.0,27.9,166.0,58.0,504.0,34.6,417.0,186.0,670.0,20.9,562.0,168.0,13.4,1204.0,19.3,398.0,1.0
2125,SSM ST JOSEPH HEALTH CENTER (260005),2021,Acute Care,Voluntary non-profit - Private,394.0,38.780377,-90.484508,MO,362.0,23.0,741.0,15.4,291.0,15.8,184.0,20.3,92.0,3.8,116.0,15.2,53.0,12.3,,,116.0,-23.2,116.0,32.0,362.0,15.6,301.0,120.0,291.0,4.2,258.0,70.0,,485.0,18.1,370.0,0.9
2126,MOSAIC LIFE CARE AT ST JOSEPH (260006),2021,Acute Care,Voluntary non-profit - Private,352.0,39.770201,-94.770247,MO,764.0,22.4,1947.0,15.8,1160.0,17.3,587.0,18.8,602.0,4.1,363.0,17.1,201.0,10.4,329.0,6.4,363.0,25.1,345.0,113.0,764.0,10.9,607.0,224.0,1160.0,14.3,975.0,268.0,13.9,991.0,17.0,726.0,1.1
2127,BOTHWELL REGIONAL HEALTH CENTER (260009),2021,Acute Care,Government - Local,127.0,38.699051,-93.222089,MO,239.0,23.5,527.0,15.9,235.0,16.2,399.0,20.4,215.0,4.2,29.0,15.9,,,100.0,4.9,29.0,-16.5,29.0,9.0,239.0,37.9,196.0,68.0,235.0,31.3,220.0,50.0,10.5,118.0,15.4,277.0,0.8
2128,SSM HEALTH ST MARY'S HOSPITAL JEFFERSON CITY (260011),2021,Acute Care,Proprietary,167.0,38.560142,-92.220285,MO,231.0,20.4,642.0,15.6,407.0,19.1,233.0,19.4,243.0,3.2,106.0,15.7,32.0,10.8,,,106.0,30.8,105.0,31.0,231.0,21.9,192.0,63.0,407.0,37.6,350.0,109.0,,800.0,17.6,356.0,0.9
2129,PHELPS COUNTY REGIONAL MEDICAL CENTER (260017),2021,Acute Care,Government - Local,242.0,37.951442,-91.784993,MO,268.0,21.9,698.0,15.6,330.0,16.9,206.0,18.1,145.0,3.7,53.0,15.4,,,130.0,5.4,53.0,-29.7,53.0,16.0,268.0,9.5,229.0,78.0,330.0,20.6,283.0,82.0,10.2,905.0,16.4,419.0,0.8
2130,MERCY HOSPITAL ST LOUIS (260020),2021,Acute Care,Voluntary non-profit - Private,902.0,,,MO,942.0,21.9,2242.0,14.3,737.0,18.2,237.0,19.9,735.0,3.9,210.0,18.3,159.0,9.4,485.0,5.3,210.0,35.9,206.0,63.0,942.0,1.4,724.0,226.0,737.0,15.6,668.0,179.0,12.0,6034.0,14.5,1328.0,0.8
2131,NORTHEAST REGIONAL MEDICAL CENTER (260022),2021,Acute Care,Proprietary,83.0,40.192523,-92.590849,MO,89.0,22.7,245.0,14.7,179.0,16.3,62.0,18.8,47.0,3.9,48.0,16.1,,,,,48.0,-2.0,48.0,16.0,89.0,18.6,81.0,28.0,179.0,13.6,151.0,50.0,,552.0,14.7,120.0,1.1
2132,MERCY HOSPITAL JEFFERSON (260023),2021,Acute Care,Voluntary non-profit - Private,303.0,38.195962,-90.395423,MO,517.0,21.8,724.0,16.5,361.0,16.7,206.0,21.3,59.0,3.8,173.0,17.1,,,161.0,4.6,173.0,31.6,170.0,59.0,517.0,8.5,398.0,141.0,361.0,10.4,322.0,98.0,14.8,536.0,16.1,367.0,1.0
2133,TEXAS COUNTY MEMORIAL HOSPITAL (260024),2021,Acute Care,Voluntary non-profit - Other,47.0,37.315756,-91.959559,MO,50.0,23.3,125.0,15.9,178.0,17.2,97.0,20.5,,,,,,,,,,,,,50.0,31.6,47.0,23.0,178.0,24.7,153.0,54.0,,220.0,18.5,,
2134,HANNIBAL REGIONAL HOSPITAL (260025),2021,Acute Care,Voluntary non-profit - Private,98.0,39.710595,-91.443967,MO,284.0,22.5,609.0,16.0,454.0,16.6,335.0,23.7,219.0,4.2,57.0,15.4,,,37.0,6.4,57.0,4.0,55.0,14.0,284.0,4.4,236.0,83.0,454.0,11.2,395.0,96.0,11.7,273.0,18.0,194.0,1.1
2135,RESEARCH MEDICAL CENTER (260027),2021,Acute Care,Proprietary,430.0,39.007169,-94.558731,MO,217.0,21.9,979.0,15.6,191.0,17.0,79.0,18.4,64.0,4.2,132.0,17.2,46.0,13.5,145.0,4.7,132.0,-1.3,130.0,43.0,217.0,19.6,178.0,63.0,191.0,6.6,182.0,51.0,14.1,523.0,18.9,357.0,1.1
2136,BARNES JEWISH HOSPITAL (260032),2021,Acute Care,Voluntary non-profit - Other,1334.0,,,MO,897.0,22.3,3922.0,16.1,498.0,17.9,244.0,20.5,449.0,4.1,361.0,16.7,152.0,13.1,465.0,4.8,361.0,20.7,351.0,110.0,897.0,28.0,702.0,263.0,498.0,50.0,467.0,149.0,15.4,1467.0,18.5,1766.0,1.0
2137,BATES COUNTY MEMORIAL HOSPITAL (260034),2021,Acute Care,Government - Local,45.0,38.249611,-94.343391,MO,57.0,21.4,103.0,15.7,94.0,16.6,82.0,19.4,,,,,,,,,,,,,57.0,-0.3,48.0,17.0,94.0,-2.0,84.0,22.0,,215.0,20.4,35.0,1.2
2138,COX MEDICAL CENTERS (260040),2021,Acute Care,Voluntary non-profit - Private,713.0,37.144966,-93.27808,MO,784.0,22.1,2244.0,15.7,926.0,16.2,449.0,20.4,708.0,3.4,352.0,17.8,213.0,13.7,187.0,5.8,352.0,33.6,346.0,102.0,784.0,15.1,647.0,222.0,926.0,11.0,828.0,221.0,14.8,3863.0,19.1,1632.0,0.8
2139,CAPITAL REGION MEDICAL CENTER (260047),2021,Acute Care,Voluntary non-profit - Private,114.0,38.567018,-92.181588,MO,288.0,23.3,598.0,15.2,306.0,15.9,273.0,18.6,201.0,4.5,145.0,14.6,33.0,12.3,119.0,7.6,145.0,-31.7,142.0,26.0,288.0,2.1,241.0,91.0,306.0,-22.0,271.0,68.0,10.0,1257.0,15.6,458.0,0.8
2140,TRUMAN MEDICAL CENTER HOSPITAL HILL (260048),2021,Acute Care,Voluntary non-profit - Private,241.0,39.084815,-94.575799,MO,62.0,22.3,153.0,15.6,53.0,16.8,48.0,19.9,,,,,,,56.0,6.1,,,,,62.0,11.5,48.0,19.0,53.0,52.4,50.0,18.0,10.3,265.0,21.0,51.0,0.9
2141,KANSAS CITY VA MEDICAL CENTER (26004F),2021,Acute Care (VA),Government - Federal,,,,,437.0,22.8,1315.0,15.9,403.0,16.5,372.0,20.7,227.0,4.0,94.0,17.2,,,,,94.0,14.6,93.0,31.0,437.0,-0.3,336.0,133.0,403.0,-23.0,342.0,90.0,,,,,
2142,SSM HEALTH ST. FRANCIS HOSPITAL- MARYVILLE (260050),2021,Acute Care,Voluntary non-profit - Church,55.0,40.326053,-94.874038,MO,27.0,20.9,113.0,15.0,133.0,15.3,38.0,20.1,,,,,,,,,,,,,27.0,-33.4,24.0,6.0,133.0,-35.5,117.0,24.0,,328.0,15.3,52.0,1.0
2143,MERCY HOSPITAL WASHINGTON (260052),2021,Acute Care,Voluntary non-profit - Private,160.0,38.5522,-91.002023,MO,295.0,20.1,464.0,15.6,292.0,16.3,123.0,20.1,222.0,4.1,114.0,16.2,,,121.0,6.5,114.0,3.7,107.0,34.0,295.0,-31.0,249.0,86.0,292.0,-21.2,265.0,70.0,12.3,1276.0,15.6,364.0,1.0
2144,CAMERON REGIONAL MEDICAL CENTER (260057),2021,Acute Care,Voluntary non-profit - Private,54.0,39.731504,-94.218308,MO,73.0,22.3,193.0,15.8,218.0,16.6,101.0,18.8,68.0,3.9,,,,,,,,,,,73.0,-15.5,65.0,25.0,218.0,-6.1,197.0,52.0,,262.0,15.7,80.0,0.9
2145,MERCY HOSPITAL LEBANON (260059),2021,Acute Care,Voluntary non-profit - Church,49.0,37.681437,-92.635875,MO,99.0,21.5,125.0,15.0,148.0,17.2,90.0,18.9,107.0,3.9,,,,,104.0,5.5,,,,,99.0,-38.2,77.0,24.0,148.0,-11.5,132.0,37.0,12.6,813.0,17.1,131.0,1.0
