,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32)
2517,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER (320002),2019,Acute Care,Voluntary non-profit - Private,201.0,35.657789,-105.946946,NM,271.0,18.0,2523.0,12.9,419.0,14.7,223.0,17.9,498.0,3.6,325.0,14.2,,,325.0,-12.5,271.0,-34.3,419.0,-21.6,32.0,14.5
2518,ALTA VISTA REGIONAL HOSPITAL (320003),2019,Acute Care,Government - Hospital District or Authority,46.0,35.62215,-105.209851,NM,84.0,21.9,298.0,15.6,149.0,16.1,78.0,18.6,,,,,,,,,84.0,-12.8,149.0,6.1,,
2519,GERALD CHAMPION REGIONAL MEDICAL CENTER (320004),2019,Acute Care,Voluntary non-profit - Private,106.0,32.926862,-105.933917,NM,122.0,20.8,895.0,14.6,233.0,14.0,138.0,17.9,225.0,4.6,84.0,14.8,,,84.0,-26.3,122.0,-26.9,233.0,-40.1,431.0,14.3
2520,SAN JUAN REGIONAL MEDICAL CENTER (320005),2019,Acute Care,Voluntary non-profit - Private,188.0,36.724323,-108.215501,NM,374.0,20.6,2675.0,14.7,678.0,15.8,422.0,20.6,478.0,4.3,257.0,15.1,,,257.0,-15.4,374.0,-7.1,678.0,-3.3,193.0,15.0
2521,EASTERN NEW MEXICO MEDICAL CENTER (320006),2019,Acute Care,Proprietary,162.0,33.4233,-104.527405,NM,241.0,19.7,1018.0,14.9,308.0,16.5,154.0,20.8,72.0,3.6,182.0,16.9,,,182.0,24.0,241.0,-16.2,308.0,-4.5,419.0,14.7
2522,LOVELACE MEDICAL CENTER (320009),2019,Acute Care,Voluntary non-profit - Private,287.0,35.085622,-106.639765,NM,504.0,18.9,2715.0,14.0,279.0,16.4,117.0,19.3,251.0,4.3,532.0,14.3,186.0,12.3,532.0,-21.7,504.0,-19.7,279.0,24.1,,
2523,PRESBYTERIAN ESPANOLA HOSPITAL (320011),2019,Acute Care,Voluntary non-profit - Private,60.0,35.997101,-106.086683,NM,58.0,21.5,369.0,14.6,146.0,14.7,80.0,20.0,103.0,3.9,,,,,,,58.0,10.7,146.0,-9.2,63.0,14.9
2524,GILA REGIONAL MEDICAL CENTER (320016),2019,Acute Care,Government - Hospital District or Authority,58.0,32.795524,-108.260908,NM,88.0,20.5,505.0,14.8,186.0,15.9,73.0,18.9,91.0,4.0,,,,,,,88.0,-23.5,186.0,-8.7,198.0,14.4
2525,LOVELACE WOMEN'S HOSPITAL (320017),2019,Acute Care,Government - State,164.0,35.131005,-106.591037,NM,49.0,20.9,552.0,14.9,116.0,15.0,62.0,18.5,118.0,5.1,,,,,,,49.0,-11.4,116.0,-12.0,237.0,15.8
2526,MEMORIAL MEDICAL CENTER (320018),2019,Acute Care,Proprietary,235.0,32.291993,-106.735018,NM,229.0,21.7,1695.0,16.0,366.0,17.9,183.0,20.7,238.0,4.1,172.0,15.7,57.0,13.9,172.0,-22.8,229.0,19.2,366.0,29.3,,
2527,PRESBYTERIAN HOSPITAL (320021),2019,Acute Care,Government - Hospital District or Authority,777.0,35.082295,-106.63453,NM,730.0,19.7,5777.0,14.4,1009.0,14.1,388.0,18.7,1299.0,3.9,595.0,14.5,127.0,11.3,595.0,-11.0,730.0,-9.6,1009.0,-15.5,759.0,14.1
2528,PLAINS REGIONAL MEDICAL CENTER (320022),2019,Acute Care,Government - Federal,106.0,34.42049,-103.231763,NM,84.0,20.5,687.0,14.3,235.0,14.3,145.0,17.6,83.0,4.3,,,,,,,84.0,-23.8,236.0,-8.5,70.0,15.6
2529,ARTESIA GENERAL HOSPITAL (320030),2019,Acute Care,Government - Hospital District or Authority,45.0,32.848603,-104.412752,NM,25.0,22.4,362.0,15.2,89.0,17.7,48.0,18.8,162.0,4.2,,,,,,,25.0,-20.3,89.0,-9.6,78.0,15.2
2530,LOS ALAMOS MEDICAL CENTER (320033),2019,Acute Care,Proprietary,44.0,35.882165,-106.319765,NM,34.0,21.8,246.0,15.3,122.0,16.2,43.0,19.8,,,,,,,,,34.0,34.0,122.0,-0.1,264.0,13.9
2531,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES (320038),2019,Acute Care,Voluntary non-profit - Private,56.0,35.5075,-108.727248,NM,94.0,21.1,530.0,16.3,249.0,17.5,52.0,19.5,,,,,,,,,94.0,23.4,249.0,-11.9,58.0,14.3
2532,NORTHERN NAVAJO MEDICAL CENTER (320059),2019,Acute Care,Government - Federal,60.0,,,NM,58.0,23.1,340.0,15.8,165.0,17.1,,,,,,,,,,,58.0,-0.1,165.0,17.3,,
2533,VA NEW MEXICO HEALTHCARE SYSTEM (32005F),2019,Acute Care (VA),Government - Federal,,,,,560.0,22.4,,,462.0,15.4,,,,,227.0,18.1,,,,,,,,,,
2534,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER (320060),2019,Acute Care,Government - Federal,27.0,,,NM,,,42.0,15.3,32.0,16.7,,,,,,,,,,,,,32.0,1.5,,
2535,GALLUP INDIAN MEDICAL CENTER (320061),2019,Acute Care,Government - Federal,76.0,35.508444,-108.730226,NM,73.0,22.3,502.0,16.1,209.0,19.7,25.0,19.3,,,,,,,,,73.0,11.8,209.0,20.4,,
2536,CROWNPOINT HEALTHCARE FACILITY (320062),2019,Acute Care,Government - Federal,20.0,,,NM,,,75.0,15.2,50.0,16.2,,,,,,,,,,,,,50.0,6.9,,
2537,CARLSBAD MEDICAL CENTER (320063),2019,Acute Care,Proprietary,102.0,32.44184,-104.258642,NM,114.0,19.5,525.0,15.0,237.0,16.0,104.0,19.2,,,65.0,16.4,,,65.0,-2.5,114.0,-3.4,237.0,-4.8,196.0,15.9
2538,LEA REGIONAL MEDICAL CENTER (320065),2019,Acute Care,Proprietary,133.0,32.765988,-103.186034,NM,107.0,20.9,432.0,15.0,111.0,17.2,108.0,18.7,,,29.0,15.1,,,29.0,-12.2,107.0,-6.7,111.0,-22.1,40.0,14.9
2539,GUADALUPE COUNTY HOSPITAL (320067),2019,Acute Care,Government - Local,10.0,34.929504,-104.694224,NM,,,84.0,15.3,27.0,16.1,25.0,19.6,,,,,,,,,,,27.0,0.7,,
2540,LOVELACE WESTSIDE HOSPITAL (320074),2019,Acute Care,Government - Federal,74.0,35.207508,-106.675974,NM,48.0,21.7,451.0,15.6,93.0,16.5,31.0,19.6,155.0,4.0,,,,,,,48.0,15.4,93.0,13.9,,
2541,ROOSEVELT GENERAL HOSPITAL (320084),2019,Acute Care,Government - State,22.0,34.165665,-103.368199,NM,63.0,22.0,228.0,15.7,81.0,16.1,97.0,20.6,,,,,,,,,63.0,13.3,81.0,-14.0,69.0,14.3
2542,MOUNTAIN VIEW REGIONAL MEDICAL CENTER (320085),2019,Acute Care,Proprietary,162.0,32.322639,-106.728297,NM,392.0,21.7,2551.0,15.2,554.0,16.4,259.0,19.0,331.0,4.6,231.0,16.2,111.0,13.3,231.0,26.6,392.0,17.2,554.0,17.9,,
2543,LOVELACE REGIONAL HOSPITAL - ROSWELL (320086),2019,Acute Care,Proprietary,26.0,33.415976,-104.521754,NM,72.0,21.8,490.0,15.7,87.0,17.0,75.0,18.6,289.0,4.6,,,,,,,72.0,11.0,87.0,27.6,37.0,14.4
2544,UNM SANDOVAL REGIONAL MEDICAL CENTER (320089),2019,Acute Care,Voluntary non-profit - Private,66.0,35.307351,-106.677003,NM,45.0,20.3,527.0,15.1,104.0,16.0,,,291.0,4.4,,,,,,,45.0,9.4,104.0,-30.7,,
2545,SIERRA VISTA HOSPITAL (321300),2019,Critical Access,Proprietary,15.0,33.139104,-107.241975,NM,25.0,22.3,132.0,15.2,95.0,15.8,43.0,18.8,,,,,,,,,25.0,-22.8,95.0,-24.3,,
2546,SOCORRO GENERAL HOSPITAL (321301),2019,Critical Access,Proprietary,24.0,34.038721,-106.912014,NM,,,49.0,15.0,,,,,,,,,,,,,,,,,,
2547,DR DAN C TRIGG MEMORIAL HOSPITAL (321302),2019,Critical Access,Voluntary non-profit - Private,25.0,35.156231,-103.723446,NM,,,32.0,15.5,,,,,,,,,,,,,,,,,,
2548,NOR-LEA HOSPITAL DISTRICT (321305),2019,Critical Access,Government - Hospital District or Authority,25.0,32.96479,-103.348637,NM,74.0,20.6,191.0,14.5,75.0,16.1,82.0,18.2,,,,,,,,,74.0,34.0,75.0,-16.2,,
2549,LINCOLN COUNTY MEDICAL CENTER (321306),2019,Critical Access,Voluntary non-profit - Private,25.0,33.323052,-105.631136,NM,43.0,20.5,251.0,13.9,98.0,15.9,81.0,18.3,,,,,,,,,43.0,-20.3,98.0,2.9,,
2550,MINERS' COLFAX MEDICAL CENTER (321307),2019,Critical Access,Government - State,66.0,36.863548,-104.443184,NM,38.0,20.2,179.0,15.0,75.0,16.1,37.0,18.7,,,,,,,,,38.0,-17.5,75.0,-16.8,,
2551,MIMBRES MEMORIAL HOSPITAL (321309),2019,Critical Access,Proprietary,25.0,,,NM,51.0,22.0,315.0,15.7,106.0,17.2,61.0,19.1,45.0,4.1,,,,,,,51.0,35.2,106.0,9.2,39.0,15.5
2552,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS (321310),2019,Critical Access,Voluntary non-profit - Private,25.0,36.367397,-105.577458,NM,76.0,21.5,395.0,14.6,126.0,16.3,57.0,19.0,93.0,4.9,,,,,,,76.0,-25.5,126.0,-8.6,113.0,14.1
2553,ALBANY MEMORIAL HOSPITAL (330003),2019,Acute Care,Voluntary non-profit - Private,110.0,42.674685,-73.748861,NY,121.0,20.8,584.0,15.7,177.0,17.0,77.0,17.8,,,,,,,,,121.0,15.0,177.0,18.9,153.0,14.6
2554,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS (330004),2019,Acute Care,Voluntary non-profit - Private,146.0,41.92635,-73.995402,NY,465.0,22.5,2089.0,16.7,625.0,19.5,374.0,21.4,,,69.0,16.8,,,69.0,24.3,465.0,35.8,625.0,29.4,38.0,14.9
2555,KALEIDA HEALTH (330005),2019,Acute Care,Voluntary non-profit - Private,1089.0,42.900329,-78.864937,NY,1154.0,23.5,6131.0,15.3,886.0,17.2,617.0,20.1,863.0,3.2,626.0,15.7,212.0,12.7,626.0,8.6,1155.0,38.2,887.0,22.8,523.0,14.8
2556,ST JOSEPH'S MEDICAL CENTER (330006),2019,Acute Care,Voluntary non-profit - Private,411.0,40.929614,-73.897003,NY,130.0,22.0,632.0,16.3,117.0,18.0,122.0,20.9,34.0,3.9,,,,,,,130.0,22.7,117.0,60.8,55.0,14.7
2557,WYOMING COUNTY COMMUNITY HOSPITAL (330008),2019,Acute Care,Government - Local,214.0,42.753447,-78.132533,NY,38.0,21.6,231.0,15.6,118.0,18.2,93.0,20.5,,,,,,,,,39.0,54.5,118.0,23.2,40.0,14.4
2558,BRONX-LEBANON HOSPITAL CENTER (330009),2019,Acute Care,Proprietary,570.0,40.83175,-73.903756,NY,136.0,21.8,757.0,16.6,121.0,17.5,66.0,19.0,,,25.0,15.8,,,25.0,-23.2,136.0,-11.8,121.0,5.6,56.0,14.5
2559,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC (330011)",2019,Acute Care,Voluntary non-profit - Private,158.0,42.09264,-75.935558,NY,461.0,23.5,2311.0,15.7,740.0,16.0,329.0,19.4,367.0,3.5,110.0,15.4,,,110.0,18.1,461.0,4.1,740.0,-2.0,535.0,15.8
2560,ALBANY MEDICAL CENTER HOSPITAL (330013),2019,Acute Care,Voluntary non-profit - Private,736.0,42.653254,-73.77386,NY,563.0,20.5,6229.0,16.6,365.0,20.0,303.0,20.3,652.0,3.4,402.0,16.5,153.0,12.7,402.0,14.8,563.0,31.8,365.0,51.9,239.0,14.0
2561,JAMAICA HOSPITAL MEDICAL CENTER (330014),2019,Acute Care,Voluntary non-profit - Private,608.0,40.701412,-73.816302,NY,310.0,20.0,1289.0,15.2,231.0,17.6,158.0,19.5,,,131.0,15.6,,,131.0,49.6,310.0,-0.9,231.0,41.8,64.0,14.3
2562,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC. (330019)",2019,Acute Care,Voluntary non-profit - Private,134.0,40.613783,-73.948321,NY,701.0,21.8,2734.0,16.2,504.0,21.2,269.0,17.1,,,44.0,15.8,,,44.0,74.2,702.0,37.7,504.0,128.2,,
2563,VASSAR BROTHERS MEDICAL CENTER (330023),2019,Acute Care,Voluntary non-profit - Private,361.0,41.694567,-73.935723,NY,1218.0,24.8,6989.0,17.2,1577.0,18.7,1004.0,24.1,286.0,4.7,698.0,17.0,159.0,10.9,698.0,20.2,1219.0,37.1,1578.0,31.9,195.0,13.4
2564,MOUNT SINAI HOSPITAL (330024),2019,Acute Care,Voluntary non-profit - Private,1166.0,,,NY,1179.0,21.1,9005.0,15.1,998.0,18.6,417.0,20.2,556.0,4.3,548.0,17.4,173.0,13.2,548.0,27.5,1179.0,41.2,998.0,52.1,408.0,13.0
2565,NASSAU UNIVERSITY MEDICAL CENTER (330027),2019,Acute Care,Government - Local,710.0,40.725298,-73.554413,NY,166.0,23.8,1773.0,17.2,148.0,19.4,101.0,21.2,,,28.0,16.4,,,28.0,127.8,166.0,61.1,148.0,50.1,,
2566,RICHMOND UNIVERSITY MEDICAL CENTER (330028),2019,Acute Care,Voluntary non-profit - Private,315.0,40.63551,-74.106693,NY,223.0,22.8,1357.0,15.3,295.0,17.2,197.0,20.8,50.0,4.1,93.0,16.9,,,93.0,43.6,223.0,47.1,295.0,37.9,290.0,13.6
2567,NEWARK-WAYNE COMMUNITY HOSPITAL (330030),2019,Acute Care,Voluntary non-profit - Private,300.0,43.059959,-77.100736,NY,189.0,25.5,915.0,16.9,231.0,18.3,170.0,21.6,72.0,4.8,,,,,,,189.0,26.7,231.0,52.0,61.0,14.7
2568,CHENANGO MEMORIAL HOSPITAL (330033),2019,Acute Care,Voluntary non-profit - Private,138.0,42.542038,-75.524724,NY,74.0,22.2,292.0,15.5,141.0,16.2,83.0,19.3,89.0,4.4,,,,,,,74.0,7.5,141.0,5.7,51.0,15.4
2569,SOUTHSIDE HOSPITAL (330043),2019,Acute Care,Voluntary non-profit - Private,294.0,40.724858,-73.240889,NY,814.0,22.2,4408.0,15.4,638.0,16.3,420.0,19.1,590.0,3.6,202.0,15.7,138.0,12.3,202.0,5.7,814.0,29.0,638.0,41.4,335.0,15.6
2570,FAXTON-ST LUKE'S HEALTHCARE (330044),2019,Acute Care,Voluntary non-profit - Private,271.0,,,NY,371.0,22.9,2422.0,15.9,618.0,17.1,414.0,19.9,46.0,4.4,38.0,15.1,,,38.0,61.1,371.0,47.2,618.0,51.8,368.0,15.1
2571,HUNTINGTON HOSPITAL (330045),2019,Acute Care,Voluntary non-profit - Private,287.0,40.879201,-73.417488,NY,1175.0,24.3,5829.0,15.7,1371.0,18.6,487.0,21.4,635.0,3.8,308.0,14.7,,,308.0,15.9,1175.0,39.1,1371.0,41.8,294.0,13.4
2572,MOUNT SINAI WEST (330046),2019,Acute Care,Voluntary non-profit - Private,814.0,40.770129,-73.987846,NY,561.0,23.3,4400.0,15.4,536.0,18.1,256.0,19.6,471.0,4.6,283.0,18.5,92.0,10.7,283.0,51.8,561.0,36.4,536.0,27.9,206.0,14.8
2573,ST MARY'S HOSPITAL AT AMSTERDAM (330047),2019,Acute Care,Voluntary non-profit - Private,290.0,42.953648,-74.216041,NY,266.0,21.9,991.0,15.2,341.0,17.2,212.0,20.8,97.0,4.0,70.0,15.2,,,70.0,-25.5,266.0,46.7,341.0,11.9,202.0,14.4
2574,NORTHERN DUTCHESS HOSPITAL (330049),2019,Acute Care,Voluntary non-profit - Private,76.0,,,NY,243.0,21.7,1634.0,15.4,383.0,17.8,169.0,19.9,708.0,4.1,33.0,15.8,,,33.0,-4.2,243.0,0.5,383.0,21.3,192.0,14.3
2575,NEW YORK-PRESBYTERIAN/QUEENS (330055),2019,Acute Care,Voluntary non-profit - Private,484.0,,,NY,897.0,23.4,5650.0,16.5,1347.0,17.9,478.0,19.9,451.0,3.9,217.0,17.6,31.0,13.3,217.0,51.4,897.0,59.5,1347.0,47.8,221.0,14.7
2576,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS (330056),2019,Acute Care,Voluntary non-profit - Private,292.0,40.689785,-73.9774,NY,187.0,27.0,1146.0,16.4,185.0,18.4,103.0,19.7,78.0,3.8,60.0,15.5,,,60.0,67.7,187.0,143.2,185.0,26.0,122.0,14.3
2577,ST PETER'S HOSPITAL (330057),2019,Acute Care,Voluntary non-profit - Private,474.0,42.660176,-73.802382,NY,909.0,20.8,5439.0,15.2,1015.0,17.1,468.0,19.3,1138.0,4.1,518.0,15.7,217.0,11.8,518.0,28.8,909.0,17.5,1015.0,13.0,253.0,13.3
2578,GENEVA GENERAL HOSPITAL (330058),2019,Acute Care,Voluntary non-profit - Private,473.0,,,NY,97.0,23.9,977.0,16.7,202.0,19.8,237.0,21.6,146.0,4.5,,,,,,,97.0,57.3,202.0,73.5,386.0,14.2
2579,MONTEFIORE MEDICAL CENTER (330059),2019,Acute Care,Voluntary non-profit - Private,1501.0,40.879777,-73.879975,NY,1660.0,24.2,8542.0,17.0,1342.0,18.3,782.0,23.1,403.0,3.9,499.0,17.1,147.0,13.7,500.0,54.3,1660.0,66.3,1342.0,45.5,257.0,14.5
2580,NIAGARA FALLS MEMORIAL MEDICAL CENTER (330065),2019,Acute Care,Voluntary non-profit - Other,134.0,43.093433,-79.050429,NY,126.0,22.8,427.0,15.4,92.0,17.6,87.0,19.9,,,38.0,15.5,,,38.0,1.0,126.0,63.8,92.0,31.7,79.0,14.7
2581,UNITED MEMORIAL MEDICAL CENTER (330073),2019,Acute Care,Voluntary non-profit - Private,131.0,43.003997,-78.177592,NY,134.0,21.0,569.0,14.9,177.0,16.7,108.0,19.4,86.0,4.5,,,,,,,134.0,10.4,177.0,-15.4,99.0,14.6
2582,F F THOMPSON HOSPITAL (330074),2019,Acute Care,Voluntary non-profit - Private,277.0,42.875591,-77.288198,NY,155.0,23.0,832.0,16.2,251.0,17.6,126.0,19.4,180.0,4.0,27.0,16.3,,,27.0,-2.7,155.0,57.5,251.0,23.6,205.0,14.9
2583,SISTERS OF CHARITY HOSPITAL (330078),2019,Acute Care,Voluntary non-profit - Private,462.0,42.92917,-78.849916,NY,250.0,21.0,1589.0,14.6,261.0,17.8,243.0,20.2,319.0,3.8,35.0,16.2,,,35.0,30.8,250.0,31.1,261.0,15.4,301.0,13.8
2584,ADIRONDACK MEDICAL CENTER - PHYSICIAN (330079),2019,Acute Care,Voluntary non-profit - Other,152.0,44.344548,-74.144597,NY,73.0,21.4,604.0,16.7,115.0,17.2,48.0,20.0,256.0,4.7,,,,,,,73.0,2.8,115.0,-14.0,267.0,14.1
2585,LINCOLN MEDICAL & MENTAL HEALTH CENTER (330080),2019,Acute Care,Government - Local,344.0,40.817681,-73.924072,NY,91.0,21.6,575.0,16.4,73.0,18.2,79.0,20.8,,,,,,,,,91.0,-25.7,73.0,52.9,43.0,15.0
2586,ALICE HYDE MEDICAL CENTER (330084),2019,Acute Care,Voluntary non-profit - Other,198.0,44.856658,-74.29193,NY,99.0,21.7,403.0,16.0,159.0,17.6,104.0,20.0,36.0,3.7,26.0,15.3,,,26.0,-6.0,99.0,-31.6,159.0,13.6,83.0,15.1
2587,AURELIA OSBORN FOX MEMORIAL HOSPITAL (330085),2019,Acute Care,Voluntary non-profit - Other,198.0,,,NY,227.0,21.7,789.0,16.8,308.0,18.1,209.0,20.1,106.0,3.6,33.0,15.4,,,33.0,4.4,227.0,-2.2,308.0,23.9,270.0,14.3
2588,MONTEFIORE MOUNT VERNON HOSPITAL (330086),2019,Acute Care,Voluntary non-profit - Private,94.0,40.912754,-73.840011,NY,64.0,22.2,435.0,16.8,58.0,17.6,64.0,20.3,,,,,,,,,64.0,29.6,58.0,67.3,30.0,15.0
2589,EASTERN LONG ISLAND HOSPITAL (330088),2019,Acute Care,Voluntary non-profit - Private,90.0,41.110951,-72.361459,NY,65.0,19.9,361.0,15.3,148.0,15.3,50.0,19.4,,,,,,,,,65.0,-10.3,148.0,12.3,146.0,14.0
2590,ARNOT OGDEN MEDICAL CENTER (330090),2019,Acute Care,Voluntary non-profit - Private,256.0,42.099256,-76.826668,NY,403.0,24.9,2443.0,15.8,529.0,17.6,407.0,19.2,403.0,5.2,335.0,15.6,30.0,12.3,335.0,17.2,403.0,32.5,529.0,13.0,,
2591,COLUMBIA MEMORIAL HOSPITAL (330094),2019,Acute Care,Voluntary non-profit - Private,194.0,42.246254,-73.776128,NY,295.0,24.3,1268.0,16.2,371.0,18.4,304.0,20.4,135.0,4.2,31.0,15.9,,,31.0,-6.5,295.0,58.3,371.0,67.8,272.0,15.1
2592,JONES MEMORIAL HOSPITAL (330096),2019,Acute Care,Voluntary non-profit - Private,60.0,42.122878,-77.949784,NY,79.0,21.7,481.0,16.2,187.0,16.7,115.0,19.3,,,,,,,,,79.0,8.5,187.0,1.8,78.0,14.2
2593,ALBANY VA MEDICAL CENTER (33009F),2019,Acute Care (VA),Government - Federal,,,,,281.0,25.3,,,324.0,17.2,,,,,100.0,16.3,,,,,,,,,,
2594,NEW YORK-PRESBYTERIAN HOSPITAL (330101),2019,Acute Care,Voluntary non-profit - Private,2546.0,40.76415,-73.954335,NY,2367.0,22.8,18079.0,15.9,2364.0,16.5,810.0,20.6,739.0,4.4,1082.0,15.1,538.0,14.4,1082.0,3.7,2367.0,29.9,2364.0,39.8,1626.0,16.6
2595,KENMORE MERCY HOSPITAL (330102),2019,Acute Care,Voluntary non-profit - Church,344.0,42.9779,-78.878678,NY,174.0,21.7,1202.0,15.2,166.0,16.7,147.0,20.1,499.0,3.4,40.0,16.2,,,40.0,76.3,174.0,29.8,166.0,7.4,138.0,15.3
2596,OLEAN GENERAL HOSPITAL (330103),2019,Acute Care,Proprietary,260.0,42.089448,-78.426977,NY,263.0,22.4,1538.0,15.9,388.0,18.3,381.0,20.6,98.0,3.9,154.0,15.0,,,154.0,5.8,263.0,27.8,388.0,19.5,230.0,14.9
2597,NYACK HOSPITAL (330104),2019,Acute Care,Voluntary non-profit - Other,249.0,41.095251,-73.925253,NY,264.0,21.4,2780.0,15.9,1012.0,19.5,467.0,20.9,217.0,3.7,57.0,15.1,,,57.0,23.9,264.0,14.1,1012.0,79.3,89.0,14.8
2598,NORTH SHORE UNIVERSITY HOSPITAL (330106),2019,Acute Care,Voluntary non-profit - Private,984.0,40.779269,-73.703029,NY,1850.0,24.8,11648.0,16.2,1838.0,18.0,675.0,20.0,1618.0,3.2,693.0,18.2,376.0,13.6,693.0,51.5,1851.0,54.9,1838.0,49.6,273.0,14.5
2599,PECONIC BAY MEDICAL CENTER (330107),2019,Acute Care,Voluntary non-profit - Private,181.0,40.933577,-72.674317,NY,457.0,25.7,3222.0,15.2,558.0,18.2,359.0,20.6,1081.0,3.6,33.0,16.4,,,33.0,2.8,457.0,38.9,558.0,30.5,52.0,14.2
2600,"ST JOSEPH'S HOSPITAL, INC (330108)",2019,Acute Care,Voluntary non-profit - Private,193.0,,,NY,,,81.0,14.7,66.0,16.1,,,,,,,,,,,,,66.0,-10.1,324.0,13.8
2601,BERTRAND CHAFFEE HOSPITAL (330111),2019,Acute Care,Voluntary non-profit - Private,103.0,42.508484,-78.659235,NY,37.0,23.0,186.0,15.8,96.0,18.8,60.0,19.9,,,,,,,,,37.0,25.9,96.0,25.2,44.0,14.4
2602,ONEIDA HEALTH HOSPITAL (330115),2019,Acute Care,Voluntary non-profit - Other,261.0,43.078755,-75.654264,NY,131.0,21.1,452.0,15.1,216.0,16.2,140.0,17.7,28.0,3.8,,,,,,,131.0,0.9,216.0,-11.1,312.0,14.2
2603,LENOX HILL HOSPITAL (330119),2019,Acute Care,Voluntary non-profit - Private,457.0,40.773964,-73.960611,NY,581.0,23.3,4623.0,15.4,664.0,15.5,215.0,19.4,912.0,3.4,287.0,15.3,167.0,11.4,287.0,11.5,581.0,46.7,664.0,28.0,67.0,15.1
2604,BATH VA MEDICAL CENTER (33011F),2019,Acute Care (VA),Government - Federal,,,,,46.0,22.6,,,82.0,17.2,,,,,,,,,,,,,,,,
2605,ROCHESTER GENERAL HOSPITAL (330125),2019,Acute Care,Voluntary non-profit - Private,517.0,43.192542,-77.584424,NY,719.0,22.7,3564.0,16.9,467.0,17.1,297.0,22.7,247.0,3.7,381.0,16.8,164.0,15.6,381.0,8.6,719.0,47.0,467.0,34.5,263.0,16.7
2606,ORANGE REGIONAL MEDICAL CENTER (330126),2019,Acute Care,Voluntary non-profit - Private,382.0,41.439962,-74.369415,NY,1136.0,23.6,5959.0,15.1,1340.0,18.2,1009.0,20.7,677.0,4.9,435.0,16.8,,,435.0,23.5,1136.0,42.1,1340.0,48.3,173.0,14.2
2607,JACOBI MEDICAL CENTER (330127),2019,Acute Care,Government - Local,477.0,40.857455,-73.84721,NY,138.0,22.9,1206.0,16.0,148.0,17.9,68.0,19.6,,,,,,,,,138.0,39.4,148.0,91.4,,
2608,ELMHURST HOSPITAL CENTER (330128),2019,Acute Care,Government - Local,528.0,40.74434,-73.88598,NY,179.0,22.1,1212.0,16.1,248.0,18.9,114.0,21.0,,,104.0,15.8,,,104.0,12.6,179.0,48.5,248.0,73.1,46.0,14.5
2609,UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM) (33012F),2019,Acute Care (VA),Government - Federal,,,,,613.0,22.9,,,489.0,16.0,,,,,217.0,18.7,,,,,,,,,,
2610,BON SECOURS COMMUNITY HOSPITAL (330135),2019,Acute Care,Voluntary non-profit - Church,181.0,41.367766,-74.682593,NY,228.0,21.7,701.0,15.1,213.0,18.2,181.0,19.5,30.0,4.1,27.0,15.5,,,27.0,63.4,228.0,10.1,213.0,6.0,93.0,13.9
2611,MARY IMOGENE BASSETT HOSPITAL (330136),2019,Acute Care,Voluntary non-profit - Private,180.0,,,NY,376.0,22.6,2547.0,16.6,324.0,17.6,190.0,20.7,322.0,3.9,302.0,14.5,82.0,12.3,302.0,0.0,376.0,2.4,324.0,-6.6,638.0,15.6
2612,ST JOSEPH'S HOSPITAL HEALTH CENTER (330140),2019,Acute Care,Voluntary non-profit - Private,437.0,43.055589,-76.149176,NY,1145.0,24.0,5866.0,15.5,1391.0,18.9,702.0,23.1,1290.0,3.3,775.0,15.9,347.0,10.5,775.0,23.0,1146.0,32.1,1391.0,42.6,374.0,13.2
