,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
2471,PRESBYTERIAN HOSPITAL (320021),2023,Acute Care,Government - Hospital District or Authority,777.0,35.082295,-106.63453,NM,619.0,16.9,4284.0,13.6,489.0,18.2,181.0,16.2,341.0,4.5,347.0,12.5,75.0,12.1,402.0,4.8,347.0,6.1,341.0,72.0,619.0,-31.1,551.0,136.0,489.0,25.7,472.0,123.0,11.1,1859.0,12.8,694.0,0.8
2472,PLAINS REGIONAL MEDICAL CENTER (320022),2023,Acute Care,Government - Federal,106.0,34.42049,-103.231763,NM,72.0,21.2,369.0,13.6,121.0,16.2,56.0,19.3,,,,,,,76.0,4.5,,,,,72.0,9.2,63.0,29.0,121.0,54.2,113.0,29.0,8.7,274.0,14.1,61.0,1.0
2473,ARTESIA GENERAL HOSPITAL (320030),2023,Acute Care,Government - Hospital District or Authority,45.0,32.848603,-104.412752,NM,,,209.0,14.8,29.0,16.6,,,148.0,4.3,,,,,,,,,,,,,,,29.0,-32.4,29.0,7.0,,110.0,15.4,107.0,1.0
2474,LOS ALAMOS MEDICAL CENTER (320033),2023,Acute Care,Proprietary,44.0,35.882165,-106.319765,NM,,,160.0,13.9,30.0,16.9,,,,,,,,,,,,,,,,,,,30.0,-10.4,28.0,10.0,,625.0,14.3,84.0,0.9
2475,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES (320038),2023,Acute Care,Voluntary non-profit - Private,56.0,35.5075,-108.727248,NM,29.0,21.2,176.0,14.8,74.0,16.2,,,,,,,,,,,,,,,29.0,28.4,29.0,12.0,74.0,55.0,70.0,14.0,,208.0,13.9,51.0,0.9
2476,NORTHERN NAVAJO MEDICAL CENTER (320059),2023,Acute Care,Government - Federal,60.0,,,NM,42.0,21.0,278.0,14.7,47.0,16.6,,,,,,,,,,,,,,,42.0,-7.7,34.0,11.0,47.0,4.6,45.0,8.0,,,,,
2477,VA NEW MEXICO HEALTHCARE SYSTEM (32005F),2023,Acute Care (VA),Government - Federal,,,,,468.0,18.1,2557.0,15.0,288.0,17.2,133.0,20.1,125.0,4.1,120.0,14.4,,,,,120.0,3.5,115.0,41.0,468.0,-23.4,361.0,119.0,288.0,16.8,268.0,81.0,,,,,
2478,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER (320060),2023,Acute Care,Government - Federal,27.0,,,NM,,,41.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,GALLUP INDIAN MEDICAL CENTER (320061),2023,Acute Care,Government - Federal,76.0,35.508444,-108.730226,NM,31.0,20.1,258.0,14.4,39.0,16.9,,,,,,,,,,,,,,,31.0,26.0,26.0,6.0,39.0,15.3,37.0,6.0,,,,,
2480,CROWNPOINT PHS INDIAN HOSPITAL (320062),2023,Acute Care,Government - Federal,20.0,,,NM,,,34.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,CARLSBAD MEDICAL CENTER (320063),2023,Acute Care,Proprietary,102.0,32.44184,-104.258642,NM,56.0,20.5,330.0,14.9,92.0,16.9,26.0,20.2,,,54.0,14.4,,,,,54.0,20.1,54.0,20.0,56.0,12.5,50.0,16.0,92.0,35.1,88.0,22.0,,392.0,13.2,85.0,1.0
2482,COVENANT HEALTH HOBBS HOSPITAL (320065),2023,Acute Care,Proprietary,133.0,32.765988,-103.186034,NM,45.0,20.7,198.0,14.0,45.0,16.3,33.0,18.5,,,,,,,,,,,,,45.0,-7.8,37.0,17.0,45.0,-38.7,43.0,7.0,,64.0,13.7,,
2483,GUADALUPE COUNTY HOSPITAL (320067),2023,Acute Care,Government - Local,10.0,34.929504,-104.694224,NM,,,27.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,LOVELACE WESTSIDE HOSPITAL (320074),2023,Acute Care,Government - Federal,74.0,35.207508,-106.675974,NM,30.0,20.0,292.0,13.7,73.0,18.3,,,36.0,4.9,,,,,,,,,,,30.0,-20.7,27.0,10.0,73.0,39.7,71.0,24.0,,230.0,14.8,109.0,0.9
2485,ROOSEVELT GENERAL HOSPITAL (320084),2023,Acute Care,Government - State,22.0,34.165665,-103.368199,NM,,,93.0,14.8,34.0,17.3,,,,,,,,,,,,,,,,,,,34.0,-6.1,32.0,7.0,,84.0,14.1,,
2486,MOUNTAIN VIEW REGIONAL MEDICAL CENTER (320085),2023,Acute Care,Proprietary,162.0,32.322639,-106.728297,NM,216.0,23.1,1390.0,15.3,237.0,18.0,64.0,18.7,38.0,5.1,123.0,13.8,43.0,10.5,34.0,5.6,123.0,23.9,119.0,26.0,216.0,22.6,189.0,75.0,237.0,29.6,224.0,58.0,9.8,182.0,15.4,273.0,0.9
2487,LOVELACE REGIONAL HOSPITAL - ROSWELL (320086),2023,Acute Care,Proprietary,26.0,33.415976,-104.521754,NM,37.0,19.9,205.0,14.0,36.0,16.4,,,58.0,4.2,,,,,,,,,,,37.0,5.9,36.0,6.0,36.0,-42.4,35.0,8.0,,85.0,14.6,214.0,1.1
2488,UNM SANDOVAL REGIONAL MEDICAL CENTER (320089),2023,Acute Care,Voluntary non-profit - Private,66.0,35.307351,-106.677003,NM,53.0,19.7,352.0,13.5,44.0,16.7,,,41.0,4.6,,,,,,,,,,,53.0,7.8,46.0,12.0,44.0,12.0,42.0,10.0,,180.0,15.8,140.0,1.2
2489,PRESBYTERIAN SANTA FE MEDICAL CENTER (320090),2023,Acute Care,Voluntary non-profit - Private,36.0,,,NM,27.0,20.8,227.0,14.8,43.0,17.1,,,,,,,,,,,,,,,27.0,-13.1,24.0,12.0,43.0,-21.1,40.0,12.0,,139.0,14.5,131.0,1.1
2490,THREE CROSSES REGIONAL HOSPITAL LLC (320091),2023,Acute Care,Proprietary,46.0,,,NM,,,157.0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,0.9
2491,SIERRA VISTA HOSPITAL (321300),2023,Critical Access,Proprietary,15.0,33.139104,-107.241975,NM,,,59.0,14.4,25.0,16.9,,,,,,,,,,,,,,,,,,,25.0,-21.6,24.0,7.0,,,,,
2492,SOCORRO GENERAL HOSPITAL (321301),2023,Critical Access,Proprietary,24.0,34.038721,-106.912014,NM,,,59.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,NOR-LEA HOSPITAL DISTRICT (321305),2023,Critical Access,Government - Hospital District or Authority,25.0,32.96479,-103.348637,NM,,,64.0,14.3,36.0,15.6,,,,,,,,,65.0,7.5,,,,,,,,,36.0,-44.5,34.0,4.0,10.4,,,,
2494,LINCOLN COUNTY MEDICAL CENTER (321306),2023,Critical Access,Voluntary non-profit - Private,25.0,33.323052,-105.631136,NM,26.0,21.4,188.0,15.4,51.0,17.3,,,,,,,,,,,,,,,26.0,20.7,26.0,10.0,51.0,31.0,51.0,10.0,,,,,
2495,MINERS' COLFAX MEDICAL CENTER (321307),2023,Critical Access,Government - State,66.0,36.863548,-104.443184,NM,,,92.0,14.7,44.0,17.3,,,,,,,,,,,,,,,,,,,44.0,-12.8,44.0,13.0,,,,,
2496,MIMBRES MEMORIAL HOSPITAL (321309),2023,Critical Access,Proprietary,25.0,,,NM,27.0,20.6,124.0,14.7,35.0,17.9,,,,,,,,,,,,,,,27.0,-17.2,26.0,10.0,35.0,35.5,34.0,14.0,,85.0,14.0,,
2497,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS (321310),2023,Critical Access,Voluntary non-profit - Private,25.0,36.367397,-105.577458,NM,37.0,18.9,279.0,14.1,61.0,17.0,,,,,,,,,,,,,,,37.0,-27.0,36.0,6.0,61.0,2.0,59.0,18.0,,406.0,14.3,151.0,1.0
2498,GILA REGIONAL MEDICAL CENTER (321311),2023,Critical Access,Government - Local,25.0,,,NM,40.0,19.5,262.0,14.3,60.0,17.7,,,100.0,3.9,,,,,60.0,4.8,,,,,40.0,-7.8,37.0,9.0,60.0,-22.4,56.0,20.0,9.2,230.0,14.7,99.0,1.0
2499,KALEIDA HEALTH (330005),2023,Acute Care,Voluntary non-profit - Private,1089.0,42.900329,-78.864937,NY,706.0,21.0,4466.0,14.9,468.0,16.0,221.0,19.7,195.0,4.3,286.0,14.1,131.0,11.9,148.0,5.2,286.0,5.2,284.0,67.0,706.0,18.3,612.0,197.0,468.0,1.1,430.0,106.0,9.8,841.0,13.6,796.0,1.0
2500,ST JOSEPH'S MEDICAL CENTER (330006),2023,Acute Care,Voluntary non-profit - Private,411.0,40.929614,-73.897003,NY,34.0,20.0,293.0,15.8,59.0,16.5,35.0,20.4,,,,,,,,,,,,,34.0,-19.1,30.0,7.0,59.0,40.4,55.0,13.0,,131.0,14.1,78.0,1.1
2501,WYOMING COUNTY COMMUNITY HOSPITAL (330008),2023,Acute Care,Government - Local,214.0,42.753447,-78.132533,NY,41.0,20.5,233.0,15.2,94.0,18.6,26.0,19.6,,,,,,,,,,,,,41.0,-26.9,40.0,19.0,94.0,42.5,78.0,32.0,,154.0,14.5,,
2502,BRONX HEALTH SYSTEM (330009),2023,Acute Care,Proprietary,570.0,40.83175,-73.903756,NY,81.0,21.1,558.0,15.3,109.0,17.2,42.0,20.2,,,,,,,,,,,,,81.0,40.5,69.0,25.0,109.0,13.9,106.0,30.0,,103.0,13.4,,
2503,OUR LADY OF LOURDES MEMORIAL HOSPITAL (330011),2023,Acute Care,Voluntary non-profit - Private,158.0,42.09264,-75.935558,NY,319.0,21.2,1548.0,15.4,332.0,17.3,88.0,19.5,220.0,4.4,36.0,13.9,,,171.0,4.0,,,,,319.0,22.5,266.0,87.0,332.0,15.3,301.0,79.0,9.5,1449.0,12.7,702.0,0.7
2504,ALBANY MEDICAL CENTER HOSPITAL (330013),2023,Acute Care,Voluntary non-profit - Private,736.0,42.653254,-73.77386,NY,429.0,18.6,4439.0,14.9,244.0,17.3,124.0,19.4,136.0,4.0,293.0,13.9,108.0,10.9,138.0,4.7,293.0,19.2,288.0,65.0,429.0,-6.2,373.0,107.0,244.0,40.0,231.0,61.0,9.7,740.0,14.1,853.0,0.8
2505,JAMAICA HOSPITAL MEDICAL CENTER (330014),2023,Acute Care,Voluntary non-profit - Private,608.0,40.701412,-73.816302,NY,185.0,22.2,947.0,14.8,132.0,18.7,65.0,20.1,,,70.0,13.2,,,,,70.0,-1.3,69.0,10.0,185.0,41.5,157.0,61.0,132.0,75.8,120.0,39.0,,164.0,14.6,31.0,1.0
2506,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC. (330019)",2023,Acute Care,Voluntary non-profit - Private,134.0,40.613783,-73.948321,NY,330.0,20.6,1917.0,17.5,285.0,20.5,97.0,22.3,,,27.0,14.2,,,,,,,,,330.0,55.7,280.0,84.0,285.0,88.7,265.0,92.0,,43.0,14.7,227.0,1.2
2507,VASSAR BROTHERS MEDICAL CENTER (330023),2023,Acute Care,Voluntary non-profit - Private,361.0,41.694567,-73.935723,NY,1046.0,19.8,5272.0,15.5,707.0,19.4,230.0,22.5,,,405.0,14.4,119.0,11.7,190.0,4.6,405.0,10.6,388.0,94.0,1046.0,18.1,843.0,281.0,707.0,35.7,648.0,202.0,11.6,491.0,14.9,453.0,0.9
2508,MOUNT SINAI HOSPITAL (330024),2023,Acute Care,Voluntary non-profit - Private,1166.0,,,NY,797.0,18.0,7007.0,14.4,423.0,17.3,139.0,19.5,428.0,3.6,260.0,14.7,89.0,9.8,841.0,4.4,260.0,30.0,255.0,69.0,797.0,4.0,671.0,175.0,423.0,34.8,403.0,100.0,11.1,754.0,13.1,1043.0,0.8
2509,NASSAU UNIVERSITY MEDICAL CENTER (330027),2023,Acute Care,Government - Local,710.0,40.725298,-73.554413,NY,73.0,21.1,1388.0,16.0,105.0,18.1,68.0,20.8,,,,,,,,,,,,,73.0,85.7,64.0,20.0,105.0,59.7,101.0,29.0,,71.0,13.6,,
2510,RICHMOND UNIVERSITY MEDICAL CENTER (330028),2023,Acute Care,Voluntary non-profit - Private,315.0,40.63551,-74.106693,NY,105.0,21.5,1046.0,16.6,175.0,17.3,58.0,19.5,32.0,4.5,54.0,14.0,,,32.0,5.1,54.0,35.6,52.0,11.0,105.0,40.7,88.0,32.0,175.0,62.7,162.0,53.0,12.0,834.0,12.2,234.0,1.1
2511,NEWARK-WAYNE COMMUNITY HOSPITAL (330030),2023,Acute Care,Voluntary non-profit - Private,300.0,43.059959,-77.100736,NY,111.0,22.3,522.0,15.3,99.0,18.4,57.0,19.2,,,,,,,,,,,,,111.0,22.7,87.0,35.0,99.0,41.8,89.0,22.0,,144.0,14.0,91.0,0.9
2512,CHENANGO MEMORIAL HOSPITAL (330033),2023,Acute Care,Voluntary non-profit - Private,138.0,42.542038,-75.524724,NY,42.0,20.6,184.0,14.3,50.0,16.8,27.0,19.5,,,,,,,,,,,,,42.0,-9.4,36.0,16.0,50.0,26.5,44.0,10.0,,101.0,14.0,59.0,1.1
2513,NS/LIJ HS SOUTHSIDE HOSPITAL (330043),2023,Acute Care,Voluntary non-profit - Private,294.0,40.724858,-73.240889,NY,689.0,18.7,4087.0,14.7,440.0,18.1,159.0,19.5,616.0,3.4,180.0,13.9,135.0,10.3,48.0,5.4,180.0,11.4,177.0,43.0,689.0,6.6,576.0,161.0,440.0,43.8,407.0,130.0,10.6,781.0,13.8,51.0,1.4
2514,FAXTON-ST LUKE'S HEALTHCARE (330044),2023,Acute Care,Voluntary non-profit - Private,271.0,,,NY,224.0,21.1,1824.0,14.5,325.0,17.7,105.0,20.1,,,,,,,177.0,5.1,,,,,224.0,24.8,194.0,66.0,325.0,21.5,298.0,87.0,8.4,456.0,13.6,266.0,0.8
2515,NS/LIJ HS HUNTINGTON HOSPITAL (330045),2023,Acute Care,Voluntary non-profit - Private,287.0,40.879201,-73.417488,NY,823.0,18.8,5078.0,15.2,796.0,17.9,195.0,18.3,409.0,4.5,165.0,13.9,,,,,165.0,20.7,160.0,44.0,823.0,14.7,672.0,196.0,796.0,22.0,705.0,200.0,,712.0,11.7,499.0,1.1
2516,MOUNT SINAI ST LUKE'S ROOSEVELT HOSPITAL (330046),2023,Acute Care,Voluntary non-profit - Private,814.0,40.770129,-73.987846,NY,413.0,21.7,4132.0,15.0,275.0,15.8,93.0,19.2,393.0,4.0,113.0,13.7,94.0,9.9,102.0,6.0,113.0,32.2,112.0,26.0,413.0,29.4,333.0,118.0,275.0,21.9,267.0,57.0,12.3,904.0,13.6,760.0,0.9
2517,ST MARY'S HEALTHCARE (330047),2023,Acute Care,Voluntary non-profit - Private,290.0,42.953648,-74.216041,NY,202.0,20.3,552.0,14.7,133.0,16.7,49.0,18.2,,,,,,,49.0,4.8,,,,,202.0,29.7,150.0,44.0,133.0,30.6,125.0,32.0,9.8,472.0,14.4,126.0,0.8
2518,NORTHERN DUTCHESS HOSPITAL (330049),2023,Acute Care,Voluntary non-profit - Private,76.0,,,NY,212.0,19.4,1258.0,13.7,201.0,16.8,74.0,19.1,208.0,4.5,,,,,89.0,4.7,,,,,212.0,8.2,183.0,49.0,201.0,2.8,186.0,47.0,12.1,515.0,13.9,222.0,1.0
2519,NEW YORK-PRESBYTERIAN/QUEENS (330055),2023,Acute Care,Voluntary non-profit - Private,484.0,,,NY,625.0,20.4,3652.0,13.0,403.0,14.5,169.0,17.9,342.0,3.3,131.0,14.3,,,83.0,4.5,131.0,16.0,127.0,31.0,625.0,44.2,510.0,154.0,403.0,0.1,385.0,77.0,10.9,419.0,14.6,432.0,0.9
2520,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS (330056),2023,Acute Care,Voluntary non-profit - Private,292.0,40.689785,-73.9774,NY,111.0,21.0,766.0,16.0,92.0,17.6,42.0,19.0,40.0,4.1,33.0,14.2,,,29.0,5.1,,,,,111.0,9.8,83.0,30.0,92.0,66.3,91.0,25.0,13.2,167.0,13.4,103.0,1.0
2521,ST PETER'S HOSPITAL (330057),2023,Acute Care,Voluntary non-profit - Private,474.0,42.660176,-73.802382,NY,683.0,19.9,4533.0,14.6,604.0,16.3,167.0,18.6,265.0,4.2,289.0,13.3,158.0,10.4,238.0,5.3,289.0,12.9,285.0,57.0,683.0,-1.5,576.0,166.0,604.0,13.6,551.0,128.0,12.4,641.0,12.9,891.0,1.0
2522,FINGER LAKE HEALTH-GENEVA GENERAL HOSPITAL (330058),2023,Acute Care,Voluntary non-profit - Private,473.0,,,NY,103.0,19.9,541.0,14.6,139.0,17.5,68.0,21.0,46.0,4.3,,,,,,,,,,,103.0,39.0,88.0,25.0,139.0,45.8,123.0,37.0,,834.0,13.5,47.0,0.9
2523,MONTEFIORE MEDICAL CENTER (330059),2023,Acute Care,Voluntary non-profit - Private,1501.0,40.879777,-73.879975,NY,852.0,20.1,5740.0,15.3,662.0,17.6,264.0,21.7,250.0,4.3,329.0,15.3,90.0,10.8,365.0,4.3,329.0,28.5,319.0,89.0,852.0,11.5,677.0,200.0,662.0,38.4,608.0,166.0,11.4,622.0,12.5,550.0,0.9
2524,NIAGARA FALLS MEMORIAL MEDICAL CENTER (330065),2023,Acute Care,Voluntary non-profit - Other,134.0,43.093433,-79.050429,NY,50.0,19.9,226.0,14.1,38.0,17.3,31.0,19.6,,,36.0,14.3,,,31.0,5.8,,,,,50.0,-3.3,45.0,13.0,38.0,21.9,37.0,13.0,10.2,90.0,14.1,64.0,0.9
2525,UNITED MEMORIAL MEDICAL CENTER (330073),2023,Acute Care,Voluntary non-profit - Private,131.0,43.003997,-78.177592,NY,84.0,20.6,563.0,16.1,98.0,17.4,59.0,20.9,32.0,4.2,,,,,27.0,5.1,,,,,84.0,-18.3,72.0,24.0,98.0,29.1,90.0,25.0,10.7,355.0,14.2,134.0,1.0
2526,F F THOMPSON HOSPITAL (330074),2023,Acute Care,Voluntary non-profit - Private,277.0,42.875591,-77.288198,NY,129.0,24.1,649.0,15.9,118.0,16.9,50.0,20.6,32.0,4.2,,,,,,,,,,,129.0,99.9,112.0,41.0,118.0,22.6,110.0,32.0,,455.0,14.0,140.0,1.0
2527,SISTERS OF CHARITY HOSPITAL (330078),2023,Acute Care,Voluntary non-profit - Private,462.0,42.92917,-78.849916,NY,138.0,21.2,718.0,15.8,91.0,16.3,48.0,18.8,31.0,4.8,,,,,,,,,,,138.0,23.6,113.0,41.0,91.0,58.8,86.0,21.0,,529.0,12.5,172.0,0.8
2528,ADIRONDACK MEDICAL CENTER - SARANAC LAKE (330079),2023,Acute Care,Voluntary non-profit - Other,152.0,44.344548,-74.144597,NY,42.0,19.6,501.0,14.1,71.0,16.1,26.0,18.2,365.0,3.1,,,,,76.0,5.5,,,,,42.0,-16.9,38.0,13.0,71.0,5.8,60.0,16.0,8.8,666.0,13.6,218.0,1.0
2529,LINCOLN MEDICAL & MENTAL HEALTH CENTER (330080),2023,Acute Care,Government - Local,344.0,40.817681,-73.924072,NY,77.0,21.3,383.0,15.7,52.0,16.3,27.0,20.4,,,,,,,,,,,,,77.0,52.5,57.0,22.0,52.0,3.3,48.0,12.0,,50.0,13.9,,
2530,ALICE HYDE MEDICAL CENTER (330084),2023,Acute Care,Voluntary non-profit - Other,198.0,44.856658,-74.29193,NY,73.0,20.1,192.0,14.0,68.0,16.4,37.0,20.1,,,,,,,56.0,6.3,,,,,73.0,-5.6,62.0,24.0,68.0,10.6,62.0,24.0,10.4,146.0,13.6,97.0,0.9
2531,AURELIA OSBORN FOX MEMORIAL HOSPITAL (330085),2023,Acute Care,Voluntary non-profit - Other,198.0,,,NY,86.0,19.9,387.0,14.9,104.0,17.0,55.0,19.6,42.0,4.8,,,,,,,,,,,86.0,16.2,77.0,29.0,104.0,18.2,94.0,27.0,,97.0,15.7,123.0,0.9
2532,MONTEFIORE MOUNT VERNON HOSPITAL (330086),2023,Acute Care,Voluntary non-profit - Private,94.0,40.912754,-73.840011,NY,25.0,20.2,80.0,14.0,25.0,16.9,,,,,,,,,,,,,,,25.0,46.0,19.0,5.0,25.0,3.3,23.0,7.0,,41.0,13.9,,
2533,ARNOT OGDEN MEDICAL CENTER (330090),2023,Acute Care,Voluntary non-profit - Private,256.0,42.099256,-76.826668,NY,283.0,20.3,1195.0,14.2,248.0,16.5,127.0,20.9,117.0,4.1,132.0,14.9,,,209.0,5.5,132.0,14.3,126.0,40.0,283.0,-8.0,221.0,81.0,248.0,-5.1,223.0,62.0,10.1,608.0,13.8,218.0,1.2
2534,COLUMBIA MEMORIAL HOSPITAL (330094),2023,Acute Care,Voluntary non-profit - Private,194.0,42.246254,-73.776128,NY,130.0,19.9,736.0,14.2,103.0,17.2,97.0,21.6,103.0,5.3,,,,,44.0,4.8,,,,,130.0,23.6,108.0,41.0,103.0,26.5,100.0,29.0,9.7,670.0,12.9,297.0,1.1
2535,JONES MEMORIAL HOSPITAL (330096),2023,Acute Care,Voluntary non-profit - Private,60.0,42.122878,-77.949784,NY,69.0,21.0,271.0,13.8,104.0,16.7,35.0,20.3,,,,,,,60.0,6.2,,,,,69.0,-12.0,54.0,21.0,104.0,-30.7,92.0,30.0,7.9,192.0,15.0,60.0,1.1
2536,ALBANY VA MEDICAL CENTER (33009F),2023,Acute Care (VA),Government - Federal,,,,,296.0,23.7,1581.0,15.6,214.0,18.2,139.0,21.4,116.0,5.0,29.0,13.8,,,,,,,,,296.0,7.9,224.0,103.0,214.0,-0.8,188.0,69.0,,,,,
2537,NY EYE AND EAR INFIRMARY OF MOUNT SINAI (330100),2023,Acute Care,Voluntary non-profit - Private,23.0,40.732559,-73.984816,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,1.0
2538,NEW YORK-PRESBYTERIAN HOSPITAL (330101),2023,Acute Care,Voluntary non-profit - Private,2546.0,40.76415,-73.954335,NY,1876.0,18.9,15311.0,13.9,1549.0,17.7,447.0,20.0,478.0,3.6,643.0,14.6,354.0,11.9,1535.0,3.9,643.0,41.5,630.0,138.0,1876.0,7.3,1584.0,446.0,1549.0,28.8,1453.0,340.0,12.4,5352.0,10.2,3197.0,1.0
2539,KENMORE MERCY HOSPITAL (330102),2023,Acute Care,Voluntary non-profit - Church,344.0,42.9779,-78.878678,NY,130.0,19.2,711.0,14.4,90.0,18.2,45.0,21.3,57.0,3.9,25.0,13.6,,,,,,,,,130.0,-3.5,111.0,37.0,90.0,49.3,87.0,28.0,,150.0,13.6,100.0,0.8
2540,OLEAN GENERAL HOSPITAL (330103),2023,Acute Care,Proprietary,260.0,42.089448,-78.426977,NY,257.0,23.6,914.0,14.1,343.0,17.0,142.0,20.8,84.0,4.4,78.0,14.1,,,102.0,5.1,78.0,11.8,76.0,21.0,257.0,49.1,208.0,73.0,343.0,12.0,301.0,88.0,9.8,967.0,13.1,226.0,1.2
2541,NYACK HOSPITAL (330104),2023,Acute Care,Voluntary non-profit - Other,249.0,41.095251,-73.925253,NY,195.0,21.8,2289.0,15.0,583.0,18.9,102.0,19.7,111.0,4.3,47.0,14.5,,,141.0,5.0,,,,,195.0,59.3,167.0,57.0,583.0,69.6,516.0,152.0,12.5,211.0,12.6,310.0,0.7
2542,NORTH SHORE UNIVERSITY HOSPITAL (330106),2023,Acute Care,Voluntary non-profit - Private,984.0,40.779269,-73.703029,NY,1309.0,20.8,9985.0,15.3,930.0,18.3,197.0,20.6,1021.0,4.2,449.0,14.2,224.0,11.4,228.0,3.9,449.0,12.4,441.0,96.0,1309.0,31.4,1112.0,312.0,930.0,47.0,869.0,202.0,7.6,652.0,11.3,1142.0,0.9
2543,PECONIC BAY MEDICAL CENTER (330107),2023,Acute Care,Voluntary non-profit - Private,181.0,40.933577,-72.674317,NY,420.0,20.9,2958.0,15.8,366.0,17.7,134.0,20.3,979.0,3.3,84.0,15.3,,,,,84.0,-3.3,83.0,25.0,420.0,14.9,347.0,108.0,366.0,28.4,340.0,94.0,,204.0,15.0,285.0,1.1
2544,BERTRAND CHAFFEE HOSPITAL (330111),2023,Acute Care,Voluntary non-profit - Private,103.0,42.508484,-78.659235,NY,32.0,20.4,109.0,15.1,61.0,17.8,,,,,,,,,,,,,,,32.0,-10.8,28.0,9.0,61.0,26.8,55.0,24.0,,144.0,15.1,,
2545,ONEIDA HEALTH HOSPITAL (330115),2023,Acute Care,Voluntary non-profit - Other,261.0,43.078755,-75.654264,NY,79.0,20.8,361.0,14.9,91.0,17.6,35.0,18.0,,,,,,,54.0,5.1,,,,,79.0,21.8,68.0,23.0,91.0,13.6,83.0,27.0,10.2,544.0,15.2,180.0,0.8
2546,LENOX HILL HOSPITAL (330119),2023,Acute Care,Voluntary non-profit - Private,457.0,40.773964,-73.960611,NY,398.0,20.6,3993.0,14.9,307.0,16.7,83.0,19.8,305.0,4.2,152.0,14.2,172.0,10.6,82.0,4.4,152.0,-18.3,152.0,36.0,398.0,15.8,340.0,109.0,307.0,32.9,288.0,76.0,11.3,239.0,13.4,605.0,1.0
2547,BATH VA MEDICAL CENTER (33011F),2023,Acute Care (VA),Government - Federal,,,,,,,111.0,14.8,39.0,16.2,26.0,19.3,,,,,,,,,,,,,,,,,39.0,-41.6,35.0,3.0,,,,,
2548,ROCHESTER GENERAL HOSPITAL (330125),2023,Acute Care,Voluntary non-profit - Private,517.0,43.192542,-77.584424,NY,435.0,20.3,2143.0,15.2,149.0,17.2,105.0,21.3,132.0,4.5,201.0,15.3,107.0,12.9,158.0,5.8,201.0,48.8,195.0,50.0,435.0,33.8,364.0,114.0,149.0,70.9,142.0,33.0,11.6,557.0,14.7,393.0,1.0
2549,GARNET HEALTH MEDICAL CENTER (330126),2023,Acute Care,Voluntary non-profit - Private,382.0,41.439962,-74.369415,NY,576.0,20.6,4492.0,15.7,669.0,18.3,398.0,18.7,176.0,3.9,290.0,12.3,,,103.0,5.3,290.0,16.6,282.0,62.0,576.0,13.9,476.0,148.0,669.0,37.8,585.0,193.0,10.8,807.0,14.2,691.0,1.1
