,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
1641,BATON ROUGE GENERAL MEDICAL CENTER (190065),2022,Acute Care,Voluntary non-profit - Private,397.0,30.450336,-91.154638,LA,420.0,21.9,2383.0,14.7,68.0,20.5,289.0,3.8,110.0,15.5,79.0,10.5,,,110.0,-25.4,110.0,31.0,420.0,1.1,342.0,112.0,369.0,-28.4,348.0,80.0,,253.0,16.4,143.0,1.4
1642,ST CHARLES PARISH HOSPITAL (190079),2022,Acute Care,Government - Hospital District or Authority,58.0,29.924513,-90.371751,LA,30.0,21.2,77.0,15.3,,,,,,,,,,,,,,,30.0,-16.7,27.0,13.0,,,,,,42.0,16.7,,
1643,WEST CARROLL MEMORIAL HOSPITAL (190081),2022,Acute Care,Proprietary,32.0,32.867813,-91.383196,LA,27.0,21.0,126.0,15.1,61.0,18.9,,,,,,,,,,,,,27.0,-49.0,23.0,9.0,70.0,33.9,58.0,14.0,,76.0,15.1,,
1644,NORTHERN LOUISIANA MEDICAL CENTER (190086),2022,Acute Care,Proprietary,142.0,32.515281,-92.633902,LA,207.0,20.1,702.0,14.3,66.0,18.8,29.0,4.5,50.0,16.3,,,,,50.0,30.9,49.0,16.0,207.0,-32.3,170.0,52.0,189.0,-17.0,164.0,43.0,,396.0,16.6,95.0,0.9
1645,SPRINGHILL MEDICAL CENTER (190088),2022,Acute Care,Voluntary non-profit - Private,59.0,33.010622,-93.442839,LA,51.0,22.4,148.0,15.5,38.0,19.3,,,,,,,,,,,,,51.0,20.5,48.0,17.0,62.0,14.8,59.0,16.0,,131.0,15.1,,
1646,WINN PARISH MEDICAL CENTER (190090),2022,Acute Care,Proprietary,55.0,31.924979,-92.645139,LA,26.0,21.4,182.0,15.7,35.0,19.4,,,,,,,,,,,,,26.0,-23.2,22.0,7.0,88.0,22.0,76.0,25.0,,76.0,17.6,,
1647,OCHSNER LSU HEALTH SHREVEPORT (190098),2022,Acute Care,Voluntary non-profit - Private,435.0,32.481791,-93.76159,LA,154.0,20.5,1409.0,15.2,52.0,19.8,,,52.0,16.2,,,120.0,3.5,52.0,60.8,49.0,19.0,154.0,21.5,113.0,39.0,69.0,-20.1,65.0,20.0,7.1,478.0,17.2,136.0,1.0
1648,AVOYELLES HOSPITAL (190099),2022,Acute Care,Proprietary,52.0,31.143127,-92.064433,LA,25.0,21.4,157.0,14.7,45.0,19.3,,,,,,,,,,,,,25.0,11.6,24.0,7.0,110.0,17.1,100.0,29.0,,273.0,15.8,,
1649,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC (190102)",2022,Acute Care,Voluntary non-profit - Private,239.0,30.150001,-92.040447,LA,477.0,22.0,3328.0,14.4,166.0,18.8,126.0,4.8,231.0,13.9,89.0,11.4,151.0,5.0,231.0,0.8,228.0,64.0,477.0,19.7,409.0,148.0,508.0,22.9,483.0,134.0,7.3,313.0,16.2,315.0,1.1
1650,OAKDALE COMMUNITY HOSPITAL (190106),2022,Acute Care,Proprietary,55.0,30.816264,-92.644545,LA,27.0,21.2,100.0,15.2,67.0,18.3,,,,,,,,,,,,,27.0,-9.1,26.0,7.0,45.0,9.4,42.0,12.0,,117.0,18.0,,
1651,"WILLIS KNIGHTON MEDICAL CENTER, INC (190111)",2022,Acute Care,Voluntary non-profit - Private,781.0,32.483923,-93.778748,LA,1285.0,22.0,7303.0,14.9,707.0,19.5,472.0,3.1,404.0,16.0,207.0,11.0,428.0,3.5,404.0,32.0,395.0,104.0,1285.0,7.8,1017.0,367.0,1186.0,3.8,1084.0,294.0,10.0,1864.0,13.7,660.0,1.0
1652,CLAIBORNE MEMORIAL MEDICAL CENTER (190114),2022,Acute Care,Government - Local,51.0,32.794327,-93.062469,LA,50.0,20.8,200.0,15.1,51.0,18.5,,,,,,,,,,,,,50.0,-16.5,41.0,12.0,108.0,24.9,101.0,30.0,,104.0,15.2,,
1653,MOREHOUSE GENERAL HOSPITAL (190116),2022,Acute Care,Government - Hospital District or Authority,49.0,,,LA,46.0,23.4,167.0,15.4,46.0,21.5,,,,,,,,,,,,,46.0,36.3,41.0,23.0,94.0,15.2,74.0,28.0,,532.0,17.6,,
1654,DESOTO REGIONAL HEALTH SYSTEM (190118),2022,Acute Care,Voluntary non-profit - Private,36.0,32.035258,-93.709136,LA,29.0,21.6,101.0,15.6,,,,,,,,,,,,,,,29.0,16.8,24.0,12.0,25.0,18.3,24.0,5.0,,275.0,16.1,,
1655,ST FRANCIS MEDICAL CENTER (190125),2022,Acute Care,Voluntary non-profit - Private,475.0,32.499732,-92.11479,LA,456.0,22.2,2205.0,14.7,108.0,19.3,142.0,4.1,289.0,14.0,42.0,13.1,41.0,4.2,289.0,-11.5,276.0,64.0,456.0,14.8,381.0,140.0,477.0,17.7,429.0,108.0,8.1,110.0,17.3,205.0,0.9
1656,WOMANS HOSPITAL (190128),2022,Acute Care,Voluntary non-profit - Private,225.0,30.40886,-91.03102,LA,,,61.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,65.0,15.5,95.0,1.0
1657,ALLEN PARISH HOSPITAL (190133),2022,Acute Care,Government - Hospital District or Authority,49.0,30.491453,-92.855648,LA,,,79.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,FRANKLIN MEDICAL CENTER (190140),2022,Acute Care,Government - Hospital District or Authority,38.0,32.15888,-91.705234,LA,32.0,21.7,151.0,14.9,32.0,19.0,,,,,,,,,,,,,32.0,0.8,30.0,11.0,97.0,-3.5,85.0,27.0,,94.0,16.1,,
1659,MINDEN MEDICAL CENTER (190144),2022,Acute Care,Proprietary,154.0,,,LA,120.0,22.4,421.0,14.6,56.0,20.1,30.0,4.0,,,,,,,,,,,120.0,7.5,97.0,44.0,162.0,8.1,149.0,45.0,,329.0,17.0,,
1660,LASALLE GENERAL HOSPITAL (190145),2022,Acute Care,Government - Hospital District or Authority,47.0,,,LA,33.0,22.3,130.0,14.3,,,,,,,,,,,,,,,33.0,21.8,32.0,15.0,93.0,-19.1,82.0,26.0,,,,,
1661,EAST JEFFERSON GENERAL HOSPITAL (190146),2022,Acute Care,Government - Hospital District or Authority,404.0,30.014162,-90.181468,LA,400.0,22.7,1938.0,15.3,109.0,18.1,67.0,3.9,90.0,15.9,30.0,11.7,196.0,3.3,90.0,24.1,87.0,27.0,400.0,5.1,329.0,115.0,334.0,2.3,298.0,83.0,7.5,301.0,16.2,224.0,1.1
1662,RICHARDSON MEDICAL CENTER (190151),2022,Acute Care,Government - Hospital District or Authority,38.0,32.463973,-91.747879,LA,40.0,21.6,116.0,15.0,33.0,21.0,,,,,,,,,,,,,40.0,-29.6,34.0,11.0,48.0,-17.1,43.0,14.0,,72.0,15.8,,
1663,GLENWOOD REGIONAL MEDICAL CENTER (190160),2022,Acute Care,Proprietary,258.0,32.513462,-92.156761,LA,541.0,26.1,2589.0,18.9,219.0,19.9,88.0,4.2,251.0,17.9,61.0,14.5,,,251.0,44.1,241.0,80.0,541.0,27.4,431.0,175.0,457.0,8.9,413.0,124.0,,141.0,18.5,94.0,0.9
1664,BYRD REGIONAL HOSPITAL (190164),2022,Acute Care,Proprietary,51.0,31.137324,-93.268791,LA,202.0,21.3,460.0,14.6,87.0,19.2,42.0,4.2,,,,,,,,,,,202.0,-5.2,155.0,62.0,128.0,-10.0,116.0,46.0,,296.0,16.5,48.0,1.0
1665,MERCY REGIONAL MEDICAL CENTER (190167),2022,Acute Care,Proprietary,95.0,30.684931,-92.265973,LA,151.0,21.6,413.0,15.3,114.0,19.6,,,,,,,,,,,,,151.0,-9.4,116.0,45.0,369.0,-1.1,294.0,108.0,,392.0,16.5,,
1666,TULANE MEDICAL CENTER (190176),2022,Acute Care,Proprietary,419.0,29.955263,-90.076121,LA,335.0,24.1,1948.0,16.5,80.0,21.1,56.0,4.5,129.0,17.9,80.0,16.4,70.0,4.7,129.0,34.6,127.0,49.0,335.0,35.0,270.0,118.0,235.0,5.9,219.0,71.0,8.0,349.0,18.4,178.0,1.0
1667,LEONARD J CHABERT MEDICAL CENTER (190183),2022,Acute Care,Voluntary non-profit - Other,107.0,29.571318,-90.687625,LA,56.0,21.6,172.0,15.1,30.0,19.0,,,,,,,50.0,4.7,,,,,56.0,9.4,47.0,20.0,35.0,-33.1,34.0,13.0,7.2,358.0,19.6,,
1668,CITIZENS MEDICAL CENTER (190184),2022,Acute Care,Government - Hospital District or Authority,40.0,32.077871,-92.095218,LA,37.0,21.7,140.0,15.0,27.0,20.2,,,,,,,,,,,,,37.0,48.7,26.0,7.0,85.0,-1.1,71.0,30.0,,38.0,16.1,,
1669,"CALDWELL MEMORIAL HOSPITAL, INC (190190)",2022,Acute Care,Proprietary,45.0,32.104142,-92.076155,LA,49.0,21.7,68.0,15.0,39.0,19.3,,,,,,,,,,,,,49.0,-9.2,27.0,8.0,,,,,,,,,
1670,CHRISTUS OCHSNER LAKE AREA HOSPITAL (190201),2022,Acute Care,Proprietary,108.0,30.182071,-93.249348,LA,,,45.0,15.3,,,,,,,,,29.0,4.0,,,,,,,,,,,,,7.6,67.0,16.5,93.0,1.1
1671,OCHSNER MEDICAL CENTER - BATON ROUGE (190202),2022,Acute Care,Voluntary non-profit - Private,163.0,30.440994,-91.001513,LA,164.0,20.9,665.0,15.5,65.0,20.3,,,80.0,15.4,,,88.0,5.0,80.0,-10.8,78.0,27.0,164.0,4.1,142.0,53.0,121.0,14.1,117.0,45.0,7.6,1060.0,15.3,131.0,1.1
1672,"OCHSNER MEDICAL CENTER - NORTHSHORE, L L C (190204)",2022,Acute Care,Voluntary non-profit - Private,164.0,30.286243,-89.743132,LA,102.0,22.5,554.0,15.1,42.0,19.5,65.0,4.1,,,,,,,,,,,102.0,38.9,87.0,36.0,96.0,6.2,94.0,33.0,,502.0,14.9,124.0,0.9
1673,EAST CARROLL PARISH HOSPITAL (190208),2022,Acute Care,Government - Hospital District or Authority,23.0,32.811076,-91.171656,LA,29.0,23.8,85.0,16.4,63.0,22.2,,,,,,,,,,,,,29.0,54.8,17.0,9.0,33.0,44.1,30.0,10.0,,,,,
1674,SABINE MEDICAL CENTER (190218),2022,Acute Care,Proprietary,49.0,31.560448,-93.470983,LA,29.0,21.5,124.0,14.8,,,,,,,,,,,,,,,29.0,8.2,23.0,9.0,84.0,-8.2,74.0,29.0,,88.0,16.0,,
1675,PHYSICIANS MEDICAL CENTER (190241),2022,Acute Care,Proprietary,30.0,29.600053,-90.750288,LA,,,46.0,14.9,,,43.0,3.9,,,,,,,,,,,,,,,,,,,,255.0,16.0,93.0,0.9
1676,MONROE SURGICAL HOSPITAL (190245),2022,Acute Care,Proprietary,10.0,32.536771,-92.102204,LA,,,44.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,95.0,17.3,134.0,0.9
1677,SURGICAL SPECIALTY CENTER OF BATON ROUGE (190251),2022,Acute Care,Physician,16.0,30.376565,-91.099333,LA,,,80.0,15.4,,,69.0,4.0,,,,,,,,,,,,,,,,,,,,,,419.0,0.8
1678,PARK PLACE SURGICAL HOSPITAL (190255),2022,Acute Care,Proprietary,10.0,30.149798,-92.040114,LA,,,50.0,14.7,,,67.0,4.1,,,,,,,,,,,,,,,,,,,,594.0,14.6,384.0,0.7
1679,STERLING SURGICAL HOSPITAL (190256),2022,Acute Care,Proprietary,10.0,30.29078,-89.769402,LA,,,70.0,15.2,,,45.0,4.0,,,,,,,,,,,,,,,,,,,,,,47.0,1.5
1680,LAFAYETTE SURGICAL SPECIALTY HOSPITAL (190259),2022,Acute Care,Physician,20.0,30.175866,-92.02802,LA,,,122.0,15.7,,,189.0,3.8,,,,,,,,,,,,,,,,,,,,,,141.0,1.2
1681,THE SPINE HOSPITAL OF LOUISIANA (190266),2022,Acute Care,Proprietary,23.0,30.380304,-91.094453,LA,,,203.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,1.0
1682,AVALA (190267),2022,Acute Care,Physician,21.0,30.408713,-90.082943,LA,,,169.0,14.7,,,170.0,3.3,,,,,,,,,,,,,,,,,,,,231.0,14.9,101.0,0.9
1683,OUR LADY OF THE LAKE SURGICAL HOSPITAL (190270),2022,Acute Care,Physician,37.0,30.273779,-89.754498,LA,,,88.0,14.5,,,47.0,4.3,,,,,,,,,,,,,,,,,,,,,,,
1684,OCHSNER MEDICAL CENTER-KENNER (190274),2022,Acute Care,Voluntary non-profit - Private,116.0,30.02322,-90.27294,LA,135.0,20.5,558.0,15.9,32.0,19.8,,,68.0,15.7,,,29.0,4.6,68.0,1.9,67.0,25.0,135.0,-8.4,115.0,47.0,91.0,-6.3,87.0,22.0,8.1,323.0,18.2,36.0,0.9
1685,SPECIALISTS HOSPITAL SHREVEPORT (190278),2022,Acute Care,Physician,18.0,32.496926,-93.746046,LA,,,310.0,15.3,,,233.0,4.0,,,,,,,,,,,,,,,,,,,,,,332.0,0.9
1686,CHRISTUS CENTRAL LOUISIANA SURGICAL HOSPITAL (190298),2022,Acute Care,Physician,24.0,31.315236,-92.467478,LA,,,246.0,14.6,,,566.0,4.3,,,,,,,,,,,,,,,,,,,,2192.0,16.9,288.0,1.0
1687,CYPRESS POINTE SURGICAL HOSPITAL (190303),2022,Acute Care,Physician,30.0,30.477042,-90.414264,LA,,,116.0,15.0,,,43.0,4.8,,,,,,,,,,,,,,,,,,,,34.0,15.6,93.0,1.1
1688,ST BERNARD PARISH HOSPITAL (190308),2022,Acute Care,Government - Hospital District or Authority,40.0,29.957043,-89.98842,LA,41.0,21.7,148.0,14.3,30.0,19.9,,,,,,,,,,,,,41.0,1.3,29.0,11.0,49.0,-13.8,45.0,14.0,,99.0,16.7,,
1689,OUR LADY OF THE ANGELS HOSPITAL (190312),2022,Acute Care,Government - State,48.0,30.778263,-89.868455,LA,58.0,21.5,221.0,15.4,51.0,18.9,,,,,,,,,,,,,58.0,21.9,47.0,18.0,61.0,-25.1,53.0,14.0,,188.0,15.6,,
1690,NEW ORLEANS EAST HOSPITAL (190313),2022,Acute Care,Government - Hospital District or Authority,64.0,30.030738,-89.971583,LA,,,113.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,61.0,16.5,,
1691,ACADIAN MEDICAL CENTER (190318),2022,Acute Care,Proprietary,51.0,,,LA,,,277.0,16.0,,,,,,,,,,,,,,,,,,,37.0,49.1,34.0,8.0,,,,,
1692,ALEXANDRIA VA MEDICAL CENTER (19043F),2022,Acute Care (VA),Government - Federal,,,,,55.0,20.1,158.0,14.2,,,,,,,,,,,,,,,55.0,-6.2,47.0,7.0,27.0,-24.8,25.0,2.0,,,,,
1693,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM (19047F),2022,Acute Care (VA),VA,,,,,389.0,22.3,2017.0,17.5,183.0,23.0,,,35.0,16.3,,,,,35.0,28.9,33.0,15.0,389.0,12.2,289.0,121.0,160.0,33.9,147.0,50.0,,,,,
1694,OVERTON BROOKS VA MEDICAL CENTER (SHREVEPORT) (19048F),2022,Acute Care (VA),Government - Federal,,,,,238.0,22.7,1644.0,17.6,194.0,22.2,56.0,5.1,96.0,15.8,,,,,96.0,15.7,94.0,28.0,238.0,8.1,187.0,71.0,154.0,53.5,141.0,49.0,,,,,
1695,OCHSNER ST MARTIN HOSPITAL (191302),2022,Critical Access,Voluntary non-profit - Private,25.0,30.282445,-91.890553,LA,,,92.0,14.2,,,,,,,,,,,,,,,,,,,45.0,-9.3,43.0,8.0,,,,,
1696,ST JAMES PARISH HOSPITAL (191305),2022,Critical Access,Government - Hospital District or Authority,25.0,30.051391,-90.70189,LA,,,36.0,15.3,,,,,,,,,,,,,,,,,,,25.0,-18.3,23.0,5.0,,152.0,15.6,,
1697,FRANKLIN FOUNDATION HOSPITAL (191310),2022,Critical Access,Government - Hospital District or Authority,25.0,29.80187,-91.525272,LA,29.0,21.2,73.0,14.5,,,,,,,,,,,,,,,29.0,-11.0,24.0,7.0,25.0,3.5,25.0,1.0,,57.0,16.0,,
1698,CHRISTUS COUSHATTA HEALTH CARE CENTER (191312),2022,Critical Access,Voluntary non-profit - Private,25.0,32.021658,-93.343734,LA,63.0,21.6,155.0,15.2,55.0,19.0,,,,,,,,,,,,,63.0,-11.0,44.0,20.0,50.0,3.8,44.0,9.0,,,,,
1699,HARDTNER MEDICAL CENTER (191315),2022,Critical Access,Government - Hospital District or Authority,35.0,31.85976,-92.27602,LA,53.0,21.5,152.0,16.2,43.0,19.5,,,,,,,,,,,,,53.0,10.6,45.0,17.0,58.0,37.2,53.0,16.0,,,,,
1700,LALLIE KEMP MEDICAL CENTER (191321),2022,Critical Access,Government - State,24.0,30.622194,-90.496999,LA,,,35.0,15.1,,,,,,,,,,,,,,,,,,,,,,,,153.0,18.3,,
1701,ABROM KAPLAN MEMORIAL HOSPITAL (191322),2022,Critical Access,Government - Hospital District or Authority,35.0,30.007591,-92.297337,LA,,,47.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,OCHSNER ST ANNE GENERAL HOSPITAL (191324),2022,Critical Access,Voluntary non-profit - Private,35.0,29.703447,-90.564133,LA,38.0,21.2,93.0,15.0,,,,,,,,,,,,,,,38.0,-8.8,34.0,11.0,57.0,24.0,52.0,18.0,,95.0,15.2,,
1703,ST JOSEPH HOSPITAL (200001),2022,Acute Care,Voluntary non-profit - Church,107.0,44.81453,-68.77126,ME,151.0,20.6,773.0,14.6,98.0,19.3,316.0,3.4,37.0,15.7,,,,,37.0,59.7,37.0,12.0,151.0,24.2,138.0,49.0,282.0,45.7,257.0,91.0,,1211.0,17.3,149.0,1.2
1704,NORTHERN LIGHT MERCY HOSPITAL (200008),2022,Acute Care,Voluntary non-profit - Church,115.0,43.652088,-70.265209,ME,99.0,21.0,470.0,13.7,43.0,19.6,183.0,3.6,,,,,,,,,,,99.0,1.6,92.0,26.0,164.0,13.5,153.0,29.0,,638.0,16.1,237.0,1.0
1705,MAINE MEDICAL CENTER (200009),2022,Acute Care,Voluntary non-profit - Private,630.0,43.652193,-70.275104,ME,836.0,18.6,4839.0,12.8,151.0,17.3,822.0,3.2,678.0,13.1,238.0,11.0,234.0,4.8,678.0,-4.0,669.0,161.0,836.0,0.0,679.0,208.0,481.0,-21.3,456.0,94.0,8.8,917.0,13.9,722.0,0.8
1706,A R GOULD HOSPITAL (200018),2022,Acute Care,Voluntary non-profit - Private,126.0,,,ME,119.0,21.3,367.0,14.8,50.0,20.3,,,,,,,78.0,3.6,,,,,119.0,18.3,99.0,38.0,121.0,36.4,109.0,35.0,7.4,517.0,15.2,112.0,1.0
1707,SOUTHERN MAINE HEALTH CARE (200019),2022,Acute Care,Voluntary non-profit - Private,214.0,43.478436,-70.492174,ME,381.0,18.7,1355.0,13.8,109.0,19.1,119.0,4.5,69.0,16.3,,,,,69.0,21.5,68.0,21.0,381.0,-12.6,322.0,88.0,422.0,-18.7,376.0,100.0,,1353.0,14.7,159.0,0.9
1708,YORK HOSPITAL (200020),2022,Acute Care,Voluntary non-profit - Private,63.0,43.142799,-70.651094,ME,213.0,20.5,780.0,14.5,48.0,20.2,53.0,4.0,64.0,13.8,,,69.0,4.8,64.0,-33.4,64.0,12.0,213.0,10.2,180.0,54.0,191.0,-5.4,179.0,50.0,7.6,1108.0,17.8,165.0,1.0
1709,MID COAST HOSPITAL (200021),2022,Acute Care,Voluntary non-profit - Private,92.0,43.905661,-69.892006,ME,230.0,20.6,914.0,14.3,133.0,20.8,138.0,4.6,35.0,14.2,,,45.0,4.3,35.0,-25.3,32.0,14.0,230.0,8.5,185.0,60.0,194.0,32.8,187.0,48.0,7.4,1473.0,14.7,208.0,1.0
1710,CENTRAL MAINE MEDICAL CENTER (200024),2022,Acute Care,Voluntary non-profit - Private,233.0,44.100976,-70.214557,ME,299.0,19.0,1240.0,14.1,99.0,19.3,114.0,4.2,181.0,13.3,33.0,11.6,59.0,3.9,181.0,-28.9,175.0,45.0,299.0,-21.8,242.0,80.0,204.0,-6.7,185.0,56.0,9.3,815.0,16.2,127.0,0.8
1711,CARY MEDICAL CENTER (200031),2022,Acute Care,Government - Local,56.0,46.878237,-68.009639,ME,102.0,21.9,283.0,14.4,131.0,19.1,46.0,4.1,,,,,45.0,3.6,,,,,102.0,-12.5,86.0,42.0,73.0,41.0,66.0,15.0,7.5,350.0,17.3,68.0,1.2
1712,EASTERN MAINE MEDICAL CENTER (200033),2022,Acute Care,Voluntary non-profit - Private,356.0,,,ME,730.0,18.2,3776.0,13.5,172.0,20.6,200.0,4.3,781.0,13.7,148.0,11.3,369.0,5.6,781.0,-6.9,759.0,211.0,730.0,-12.2,600.0,187.0,398.0,7.7,366.0,97.0,9.6,1334.0,15.1,458.0,0.9
1713,ST MARY'S REGIONAL MEDICAL CENTER (200034),2022,Acute Care,Voluntary non-profit - Private,311.0,44.101414,-70.198216,ME,49.0,22.4,317.0,14.8,27.0,19.9,113.0,3.9,25.0,14.8,,,30.0,5.3,25.0,-19.2,24.0,7.0,49.0,-8.8,43.0,18.0,129.0,-16.0,118.0,36.0,7.9,402.0,13.9,70.0,0.9
1714,FRANKLIN MEMORIAL HOSPITAL (200037),2022,Acute Care,Voluntary non-profit - Private,48.0,44.625115,-70.161244,ME,90.0,20.7,271.0,15.3,25.0,19.4,,,,,,,,,,,,,90.0,40.3,78.0,26.0,53.0,-10.1,50.0,12.0,,289.0,16.6,54.0,1.1
1715,MAINE GENERAL MEDICAL CENTER (200039),2022,Acute Care,Voluntary non-profit - Other,206.0,44.360853,-69.785718,ME,292.0,20.2,1421.0,14.2,102.0,21.1,87.0,3.9,56.0,14.0,,,229.0,3.8,56.0,-44.9,54.0,18.0,292.0,9.5,239.0,76.0,320.0,-13.5,288.0,77.0,7.2,1631.0,15.2,347.0,1.0
1716,TOGUS VA MEDICAL CENTER (20003F),2022,Acute Care (VA),Government - Federal,,,,,149.0,19.4,851.0,16.7,95.0,20.5,66.0,3.9,,,,,,,,,,,149.0,-20.4,118.0,37.0,163.0,8.3,148.0,41.0,,,,,
1717,NORTHERN LIGHT INLAND HOSPITAL (200041),2022,Acute Care,Voluntary non-profit - Private,41.0,44.54269,-69.661405,ME,47.0,20.3,130.0,14.1,27.0,19.7,25.0,4.0,,,,,,,,,,,47.0,18.0,46.0,9.0,58.0,30.3,57.0,10.0,,239.0,14.7,37.0,1.0
1718,NORTHERN LIGHT MAINE COAST HOSPITAL (200050),2022,Acute Care,Voluntary non-profit - Other,47.0,44.546574,-68.415526,ME,97.0,20.9,365.0,15.0,46.0,20.4,,,,,,,58.0,5.0,,,,,97.0,30.6,88.0,32.0,146.0,-1.8,129.0,42.0,7.6,629.0,14.2,169.0,0.8
1719,NORTHERN MAINE MEDICAL CENTER (200052),2022,Acute Care,Voluntary non-profit - Private,94.0,47.265068,-68.591177,ME,47.0,20.5,233.0,14.3,26.0,19.1,,,,,,,,,,,,,47.0,-14.6,45.0,10.0,109.0,-11.1,95.0,28.0,,418.0,14.5,38.0,1.2
1720,PENOBSCOT BAY MEDICAL CENTER (200063),2022,Acute Care,Voluntary non-profit - Private,165.0,44.144434,-69.086537,ME,102.0,19.8,598.0,14.1,59.0,19.2,58.0,3.7,,,,,73.0,4.2,,,,,102.0,-5.0,87.0,25.0,146.0,30.8,135.0,32.0,6.5,783.0,16.0,102.0,0.8
1721,NORTHERN LIGHT BLUE HILL MEMORIAL HOSPITAL (201300),2022,Critical Access,Voluntary non-profit - Private,25.0,44.41142,-68.586213,ME,30.0,22.1,116.0,14.6,,,,,,,,,,,,,,,30.0,31.1,28.0,12.0,,,,,,,,,
1722,CHARLES A DEAN MEMORIAL HOSPITAL (201301),2022,Critical Access,Voluntary non-profit - Private,25.0,,,ME,,,35.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,LINCOLNHEALTH (201302),2022,Critical Access,Voluntary non-profit - Private,62.0,44.026199,-69.527164,ME,86.0,21.4,317.0,14.8,60.0,18.4,35.0,3.9,,,,,,,,,,,86.0,5.0,73.0,26.0,95.0,-7.0,89.0,22.0,,,,,
1724,PENOBSCOT VALLEY HOSPITAL (201303),2022,Critical Access,Voluntary non-profit - Private,25.0,45.348733,-68.516258,ME,,,53.0,14.7,,,,,,,,,,,,,,,,,,,34.0,-6.2,30.0,10.0,,,,,
1725,MOUNT DESERT ISLAND HOSPITAL (201304),2022,Critical Access,Voluntary non-profit - Private,25.0,44.384369,-68.202331,ME,,,207.0,15.2,,,,,,,,,,,,,,,,,,,31.0,-24.0,31.0,4.0,,,,,
1726,CALAIS COMMUNITY HOSPITAL (201305),2022,Critical Access,Voluntary non-profit - Private,25.0,45.180639,-67.270521,ME,34.0,22.3,123.0,15.5,84.0,19.4,,,,,,,,,,,,,34.0,-10.8,26.0,16.0,59.0,-22.1,56.0,15.0,,68.0,15.9,,
1727,RUMFORD  HOSPITAL (201306),2022,Critical Access,Voluntary non-profit - Private,25.0,44.551721,-70.557171,ME,,,52.0,15.5,,,,,,,,,,,,,,,,,,,37.0,3.4,34.0,12.0,,,,,
1728,MILLINOCKET REGIONAL HOSPITAL (201307),2022,Critical Access,Voluntary non-profit - Private,25.0,45.652729,-68.715076,ME,,,78.0,14.8,30.0,20.2,,,,,,,,,,,,,,,,,27.0,4.7,26.0,8.0,,,,,
1729,HOULTON REGIONAL HOSPITAL (201308),2022,Critical Access,Voluntary non-profit - Private,32.0,46.132962,-67.842644,ME,33.0,20.4,217.0,15.1,48.0,20.5,,,,,,,,,,,,,33.0,-7.7,31.0,6.0,98.0,-0.3,86.0,38.0,,,,,
1730,NORTHERN LIGHT MAYO HOSPITAL (201309),2022,Critical Access,Government - Hospital District or Authority,25.0,45.186556,-69.237798,ME,48.0,21.8,230.0,14.9,43.0,20.2,,,,,,,,,,,,,48.0,-1.5,42.0,14.0,67.0,-16.7,60.0,17.0,,35.0,15.7,,
